JPJP.msbt
[0552A456]_CombatVisor	コンバットバイザー
[0552A456]_Boss5MetroidPrime	メトロイドプライム
[0552A456]_Boss6	 
[0552A456]_Energy	ENERGY
[0552A456]_ThardusBoost	ブーストボールを{r2[つか]}使{/r2}って\n{r2[かいひ]}回避{/r2}してください。
[0552A456]_ArtifactAcquired	アーティファクトを{r2[にゅうしゅ]}入手{/r2}しました。
[0552A456]_FirstPowerBombPickup	パワーボムを{r2[にゅうしゅ]}入手{/r2}しました。
[CEDB5BA7]_000	{size[5a00]}{color[ffffffff]}その{r2[しょう]}正{/r2}{r2[たい]}体{/r2}{r2[ふ]}不{/r2}{r2[めい]}明{/r2}の{r2[きゅう]}救{/r2}{r2[なん]}難{/r2}{r2[しん]}信{/r2}{r2[ごう]}号{/r2}は\n{r2[わく]}惑{/r2}{r2[せい]}星{/r2}ターロンⅣの{r2[き]}軌{/r2}{r2[どう]}道{/r2}{r2[じょう]}上{/r2}に{r2[う]}浮{/r2}かぶ\n{r2[ほう]}放{/r2}{r2[き]}棄{/r2}された{r2[う]}宇{/r2}{r2[ちゅう]}宙{/r2}{r2[せん]}船{/r2}から{r2[はっ]}発{/r2}{r2[しん]}信{/r2}されていた…{color[000000ff]}{size[6400]}
[CEDB5BA7]_001	{color[ffffffff]}その{r2[しょうたい]}正体{/r2}{r2[ふめい]}不明{/r2}の{r2[きゅうなん]}救難{/r2}{r2[しんごう]}信号{/r2}は\n{r2[わくせい]}惑星{/r2}ターロンⅣの{r2[きどう]}軌道{/r2}{r2[じょう]}上{/r2}に{r2[う]}浮{/r2}かぶ\n{r2[ほうき]}放棄{/r2}された{r2[うちゅう]}宇宙{/r2}{r2[せん]}船{/r2}から{r2[はっしん]}発信{/r2}されていた…{color[000000ff]}
[C5F409E5]_000	{size[5a00]}{color[ffffffff]}クレーターは{r2[ま]}間{/r2}もなく{r2[ほう]}崩{/r2}{r2[かい]}壊{/r2}します。\n{r2[いそ]}急{/r2}いで{r2[だっ]}脱{/r2}{r2[しゅつ]}出{/r2}してください！{color[000000ff]}{size[6400]}
[C5F409E5]_001	{color[ffffffff]}クレーターは{r2[ま]}間{/r2}もなく{r2[ほうかい]}崩壊{/r2}します。\n{r2[いそ]}急{/r2}いで{r2[だっしゅつ]}脱出{/r2}してください！{color[000000ff]}
[398D1DEC]_000	{size[5a00]}{color[ffffffff]}{r2[ほ]}捕{/r2}{r2[そく]}捉{/r2}した{r2[てき]}敵{/r2}ターゲットをロスト。\n{r2[わく]}惑{/r2}{r2[せい]}星{/r2}{r2[ない]}内{/r2}の{r2[たん]}探{/r2}{r2[さく]}策{/r2}を{r2[かい]}開{/r2}{r2[し]}始{/r2}します。\nこれより{r2[ちゃく]}着{/r2}{r2[りく]}陸{/r2}{r2[じゅん]}準{/r2}{r2[び]}備{/r2}に{r2[はい]}入{/r2}ります。{color[000000ff]}{size[6400]}
[398D1DEC]_001	{color[ffffffff]}{r2[ほそく]}捕捉{/r2}した{r2[てき]}敵{/r2}ターゲットをロスト。\n{r2[わくせい]}惑星{/r2}{r2[ない]}内{/r2}の{r2[たんさく]}探索{/r2}を{r2[かいし]}開始{/r2}します。\nこれより{r2[ちゃくりく]}着陸{/r2}{r2[じゅんび]}準備{/r2}に{r2[はい]}入{/r2}ります。{color[000000ff]}
[19C3F7F7]_EncodingMismatch	データが{r2[こわ]}壊{/r2}れているため、\nこのファイルは{r2[しよう]}使用{/r2}できません。
[19C3F7F7]_CorruptedFile	データが{r2[こわ]}壊{/r2}れているため、\nこのファイルは{r2[しよう]}使用{/r2}できません。
[19C3F7F7]_SaveFile	セーブしますか？
[19C3F7F7]_ChoiceYes	はい
[19C3F7F7]_ChoiceNo	いいえ
[19C3F7F7]_ChoiceContinueWithWarning	続ける
[19C3F7F7]_ChoiceContinueWithoutSave	セーブしないで続ける
[19C3F7F7]_ChoiceRetry	リトライ
[19C3F7F7]_ChoiceCancel	キャンセル
[19C3F7F7]_ChoiceDeleteCorruptedFile	壊れたファイルの消去
[19C3F7F7]_ChoiceSave	セーブ
[19C3F7F7]_StatusWriting	セーブしています。\n\n{r2[ほんたい]}本体{/r2}の{r2[でんげん]}電源{/r2}ボタンに{r2[さわ]}触{/r2}らないでください。
[19C3F7F7]_TitleWarning	警告
[500EC6A0]_LogScreenTitle	【 ログブック 】
[500EC6A0]_SpacePirate	パイレーツ\nデ ー タ
[500EC6A0]_ChozoLore	チョウゾロア
[500EC6A0]_Creatures	クリーチャー
[500EC6A0]_Gameplay	リ サ ー チ
[500EC6A0]_Artifacts	ア ー テ ィ\nフ ァ ク ト
[500EC6A0]_LogBookScreenInstructionPanelLabel	ログブック
[500EC6A0]_OptionsScreenInstructionPanelLabel	オプション
[500EC6A0]_InventoryScreenInstructionPanelLabel	ステータス
[500EC6A0]_InventoryScreenTitle	【 ステータス 】
[500EC6A0]_BeamCategory	ア  ー  ム\nキ ャ ノ ン
[500EC6A0]_MorphBallCategory	モーフボール
[500EC6A0]_SuitsCategory	パ ワ ー ド\nス  ー  ツ
[500EC6A0]_VisorsCategory	バ イ ザ ー
[500EC6A0]_SecondaryItemsCategory	サブアイテム
[500EC6A0]_OptionsTitle	【 オプション 】
[500EC6A0]_HudOptions	バ イ ザ ー
[500EC6A0]_DisplayOptions	ディスプレイ
[500EC6A0]_SoundOptions	サ ウ ン ド
[500EC6A0]_ControllerOptions	コントロール
[500EC6A0]_QuitGameOption	ゲーム終了
[500EC6A0]_HudOpacityOption	バイザー透明度
[500EC6A0]_HelmetOpacityOption	フレーム透明度
[500EC6A0]_HudLagOption	フレームのゆれ
[500EC6A0]_RedundantHintOption	ヒントシステム
[500EC6A0]_EnglishHudOption	表 示 言 語
[500EC6A0]_SFXVolumeOption	Ｓ Ｅ\nボリューム
[500EC6A0]_MusicVolumeOption	Ｂ Ｇ Ｍ\nボリューム
[500EC6A0]_SwichVisorBeamOption_00	{size[5a00]}バイザー/ビーム{size[6400]}\n{size[5500]}セレクト入れ替え{size[6400]}
[500EC6A0]_SwichVisorBeamOption	{size[5a00]}バイザー/ビーム{size[6400]}\n{size[5500]}セレクト入れ替え{size[6400]}
[500EC6A0]_RestoreDefaultOption	デフォルト
[500EC6A0]_PowerBeam	パワービーム
[500EC6A0]_IceBeam	アイスビーム
[500EC6A0]_WaveBeam	ウェイブビーム
[500EC6A0]_PlasmaBeam	プラズマビーム
[500EC6A0]_PhazonBeam	フェイゾン\nビ ー ム
[500EC6A0]_PowerBeamCombo	ス ー パー\nミ サ イ ル
[500EC6A0]_IceBeamCombo	ア イ ス\nスプレッダー
[500EC6A0]_WaveBeamCombo	ウ ェ イ ブ\nバ ス タ ー
[500EC6A0]_PlasmaBeamCombo	フ レ イ ム\nスローワー
[500EC6A0]_MorphBall	モーフボール
[500EC6A0]_BoostBall	ブーストボール
[500EC6A0]_SpiderBall	スパイダー\nボ ー ル
[500EC6A0]_Bomb	ボ　ム
[500EC6A0]_PowerBomb	パワーボム
[500EC6A0]_PowerSuit	ノーマルスーツ
[500EC6A0]_VariaSuit	バリアスーツ
[500EC6A0]_GravitySuit	グラビティ\nス ー ツ
[500EC6A0]_PhazonSuit	フェイゾン\nス ー ツ
[500EC6A0]_EnergyTank	エネルギー\nタ ン ク
[500EC6A0]_CombatVisor	コンバット\nバ イ ザ ー
[500EC6A0]_ScanVisor	ス キ ャ ン\nバ イ ザ ー
[500EC6A0]_XRayVisor	Ｘ レ イ\nバ イ ザ ー
[500EC6A0]_ThermalVisor	サ ー モ\nバ イ ザ ー
[500EC6A0]_SpaceJumpBoots	ス ペ ー ス\nジ ャ ン プ
[500EC6A0]_GrappleBeam	グラップリング\nビ ー ム
[500EC6A0]_MissileLauncher	ミ サ イ ル
[500EC6A0]_ChargeBeam	チャージビーム
[500EC6A0]_BeamCombo	チャージコンボ
[500EC6A0]_EmptyBeamComboDescription	\n[ ？？？ ]\n\n\n\n\n\n\n\n\n
[500EC6A0]_CombatVisorDescription	{color[89d6ffff]}コンバットバイザー：\n{color[000000ff]}{r2[ひょうじゅんそうび]}標準装備{/r2}されている{r2[つうじょうしかい]}通常視界{/r2}のバイザー。\n\nバイザーの{r2[ちゅうおう]}中央{/r2}に{r2[ひょうじ]}表示{/r2}された、{color[ffaf00ff]}ターゲットスコープ{color[000000ff]}{r2[ふきん]}付近{/r2}に{r2[てき]}敵{/r2}を{r2[あ]}合{/r2}わせ {[0100|0bcd]} を{r2[お]}押{/r2}して{color[ffaf00ff]}ロックオン{color[000000ff]}します。\n\n{r2[そうび]}装備{/r2}{r2[ちゅう]}中{/r2}のバイザーは、バイザー{r2[かたん]}下端{/r2}{r2[ぶ]}部{/r2}にアイコンで{r2[ひょうじ]}表示{/r2}されます。\n{[0100|10cd]} で、コンバットバイザーから{color[ffaf00ff]}スキャンバイザー{color[000000ff]}に{r2[き]}切{/r2}り{r2[か]}替{/r2}えられます。\n\n{color[89d6ffff]}サムスの{r2[きろく]}記録{/r2}：{color[000000ff]}\n{color[ffaf00ff]}「オプション」{color[000000ff]}{r2[ない]}内{/r2}の{color[ffaf00ff]}「バイザー/ビームセレクト{r2[い]}入{/r2}れ{r2[か]}替{/r2}え」{color[000000ff]}で、バイザー{r2[き]}切{/r2}り{r2[か]}替{/r2}え{r2[そうさ]}操作{/r2}と、ビーム{r2[き]}切{/r2}り{r2[か]}替{/r2}え{r2[そうさ]}操作{/r2}の{color[ffaf00ff]}{r2[い]}入{/r2}れ{r2[か]}替{/r2}え{color[000000ff]}が{r2[かのう]}可能{/r2}だ。
[500EC6A0]_ScanVisorDescription	{color[89d6ffff]}スキャンバイザー：\n{color[000000ff]}{r2[ひょうじゅんそうび]}標準装備{/r2}されている{r2[つうじょうしかい]}通常視界{/r2}のバイザー。\n\n{color[ffaf00ff]}スキャン{color[000000ff]}することで、あらゆる{color[ffaf00ff]}データ{r2[しゅうしゅう]}収集{/r2}{color[000000ff]}が{r2[かのう]}可能{/r2}です。また、{r2[とくてい]}特定{/r2}の{r2[そうち]}装置{/r2}の{r2[さどう]}作動{/r2}プログラムを{r2[かいせき]}解析{/r2}して、{color[ffaf00ff]}{r2[どうさ]}動作{/r2}{color[000000ff]}させることもできます。\n{color[ffaf00ff]}スキャンバイザー{r2[しようちゅう]}使用中{/r2}{color[000000ff]}は、{r2[いっさい]}一切{/r2}の{color[ffaf00ff]}{r2[こうげき]}攻撃{/r2}ができません。{color[000000ff]}\n\n{[0100|10cd]} で{color[ffaf00ff]}スキャンバイザー{color[000000ff]}に{r2[き]}切{/r2}り{r2[か]}替{/r2}わります。\nターゲット {[0100|3acd]} を {[0100|0bcd]} で{color[ffaf00ff]}ロックオン{color[000000ff]}し{r2[つづ]}続{/r2}けると、{color[ffaf00ff]}スキャン{r2[かのう]}可能{/r2}{color[000000ff]}です。\nスキャンバイザー{r2[しようちゅう]}使用中{/r2}に {[0100|11cd]} または {[0100|30cd]} で、{color[ffaf00ff]}コンバットバイザー{color[000000ff]}に{r2[き]}切{/r2}り{r2[か]}替{/r2}えることができます。\n\n{color[89d6ffff]}サムスの{r2[きろく]}記録{/r2}：{color[000000ff]}\n{[0100|3bcd]} は、{r2[じゅうよう]}重要{/r2}な{r2[じょうほう]}情報{/r2}のターゲットのようだ。\n{r2[てき]}敵{/r2}を{color[ffaf00ff]}スキャン{color[000000ff]}すると、{r2[のうりょく]}能力{/r2}や{r2[じゃくてんとう]}弱点等{/r2}の{r2[じょうほう]}情報{/r2}を{r2[にゅうしゅ]}入手{/r2}できる。\n\nスキャンデータの{r2[さい]}再{/r2}{r2[かくにん]}確認{/r2}はポーズメニューの{color[ffaf00ff]}「ログブック」{color[000000ff]}で{r2[おこな]}行{/r2}うことが{r2[かのう]}可能{/r2}。\nこの{r2[がめん]}画面{/r2}で {[0100|2dcd]} を{r2[お]}押{/r2}して、{color[ffaf00ff]}ログブック{color[000000ff]}を{r2[かくにん]}確認{/r2}してみよう。
[500EC6A0]_XRayVisorDescription	{color[89d6ffff]}Ｘレイバイザー：{color[000000ff]}\n{r2[つうじょうしかい]}通常視界{/r2}では{r2[とら]}捉{/r2}えられないものを{r2[はんべつ]}判別{/r2}するバイザーです。 \n{color[ffaf00ff]}{r2[み]}見{/r2}えない{r2[てき]}敵{/r2}や{r2[もの]}物{/r2}の{r2[しにん]}視認{/r2}、{r2[かべ]}壁{/r2}の{r2[とうし]}透視{/r2}{color[000000ff]}などが{r2[かのう]}可能{/r2}です。\n\n{[0100|0ecd]} で{color[ffaf00ff]}Ｘレイバイザー{color[000000ff]}に{r2[き]}切{/r2}り{r2[か]}替{/r2}わります。\n\n{color[89d6ffff]}サムスの{r2[きろく]}記録{/r2}：{color[000000ff]}\n{r2[ふ]}不{/r2}{r2[とうし]}透視{/r2}{r2[ぶっしつ]}物質{/r2}{r2[いがい]}以外{/r2}の{r2[しにん]}視認{/r2}が{r2[むずか]}難{/r2}しいので、{r2[まわ]}周{/r2}りの{r2[　じょうきょう]}状況{/r2}を{r2[　はあく　]}把握{/r2}しづらい{r2[てん]}点{/r2}が{r2[もんだい]}問題{/r2}だ。
[500EC6A0]_ThermoVisorDescription	{color[89d6ffff]}サーモバイザー：{color[000000ff]}\n{r2[せきがいせん]}赤外線{/r2}スペクトルを{r2[かんち]}感知{/r2}するバイザー。\n{r2[あんしょ]}暗所{/r2}でも{color[ffaf00ff]}{r2[おんど]}温度{/r2}{r2[さ]}差{/r2}で{r2[じょうきょう]}状況{/r2}を{r2[しにん]}視認{/r2}{r2[かのう]}可能{/r2}{color[000000ff]}にします。{r2[こうおん]}高温{/r2}ほど{r2[あか]}明{/r2}るい{r2[いろ]}色{/r2}で{r2[ひょうじ]}表示{/r2}されます。\n\n{[0100|0fcd]} で{color[ffaf00ff]}サーモバイザー{color[000000ff]}に{r2[き]}切{/r2}り{r2[か]}替{/r2}わります。\n\n{color[89d6ffff]}サムスの{r2[きろく]}記録{/r2}：{color[000000ff]}\n{r2[くらやみ]}暗闇{/r2}や{r2[あく]}悪{/r2}{r2[てんこう]}天候{/r2}{r2[か]}下{/r2}など、{r2[しにん]}視認{/r2}{r2[せい]}性{/r2}の{r2[わる]}悪{/r2}い{r2[ばしょ]}場所{/r2}での{r2[しよう]}使用{/r2}が{r2[こうか]}効果{/r2}{r2[てき]}的{/r2}だ。\n{r2[ぎゃく]}逆{/r2}に、{color[ffaf00ff]}{r2[こうおん]}高温{/r2}{r2[ちたい]}地帯{/r2}や{r2[ばくはつ]}爆発{/r2}{r2[じ]}時{/r2}の{r2[そうちゃく]}装着{/r2}は{r2[さ]}避{/r2}ける{color[000000ff]}べきだろう。
[500EC6A0]_PowerBeamDescription	{color[89d6ffff]}パワービーム：{color[000000ff]}\n{r2[しょき]}初期{/r2}{r2[そうび]}装備{/r2}の{color[ffaf00ff]}アームキャノン{color[000000ff]}で、サムスの{r2[せいたい]}生体{/r2}エネルギーを{r2[へんかん]}変換{/r2}して{r2[はっしゃ]}発射{/r2}するビームです。\n{r2[こうげきりょく]}攻撃力{/r2}は{r2[たか]}高{/r2}くありませんが、{color[ffaf00ff]}１{r2[びょうかん]}秒間{/r2}に{r2[やく]}約{/r2}９{r2[はつ]}発{/r2}{color[000000ff]}の{r2[れんしゃ]}連射{/r2}が{r2[かのう]}可能{/r2}です。\n\n{[0100|07cd]} で、{color[ffaf00ff]}パワービーム{color[000000ff]}に{r2[き]}切{/r2}り{r2[か]}替{/r2}えられます。\n\n{color[89d6ffff]}サムスの{r2[きろく]}記録{/r2}：{color[000000ff]}\nターゲットに{r2[たい]}対{/r2}して、パワービームの{color[ffaf00ff]}{r2[こうか]}効果{/r2}がない{color[000000ff]}{r2[ばあい]}場合{/r2}は、ビームが{color[ffaf00ff]}{r2[は]}跳{/r2}ね{r2[かえ]}返{/r2}される{color[000000ff]}ようだ。
[500EC6A0]_PowerBeamComboDescription	\n\n{color[89d6ffff]}スーパーミサイル：\n{color[000000ff]}{color[ffaf00ff]}{r2[たんぱつがた]}単発型{/r2}コンボ{color[000000ff]}である。\n{r2[はっしゃ]}発射{/r2}{r2[じ]}時{/r2}に{color[ffaf00ff]}１{r2[ぱつ]}発{/r2}につき、５{r2[はつ]}発{/r2}のミサイルを{r2[しょうひ]}消費{/r2}{color[000000ff]}するようだ。\n\n{color[ffaf00ff]}コルダイト{color[000000ff]}と{r2[よ]}呼{/r2}ばれる{r2[きょうこ]}強固{/r2}な{r2[ぶっしつ]}物質{/r2}も{color[ffaf00ff]}{r2[はかい]}破壊{/r2}{r2[かのう]}可能{/r2}{color[000000ff]}である。\n
[500EC6A0]_IceBeamDescription	{color[89d6ffff]}アイスビーム：{color[000000ff]}\n{r2[こう]}高{/r2}{r2[しゅうは]}周波{/r2}の{r2[でんじ]}電磁{/r2}{r2[ば]}場{/r2}で{r2[ふ]}負{/r2}の{r2[おんど]}温度{/r2}{r2[か]}化{/r2}がされた{r2[でんしりゅう]}電子粒{/r2}のビームです。\n{r2[あ]}当{/r2}たった{r2[てき]}敵{/r2}の{r2[ねつりょう]}熱量{/r2}を{r2[うば]}奪{/r2}い、{color[ffaf00ff]}{r2[とうけつ]}凍結{/r2}させしばらくの{r2[あいだ]}間{/r2}その{r2[じゆう]}自由{/r2}を{r2[うば]}奪{/r2}います。{color[000000ff]}\n\n{[0100|08cd]} で、{color[ffaf00ff]}アイスビーム{color[000000ff]}に{r2[き]}切{/r2}り{r2[か]}替{/r2}えられます。\n\n{color[89d6ffff]}サムスの{r2[きろく]}記録{/r2}：{color[000000ff]}\n{r2[こうおん]}高温{/r2}{r2[ちたい]}地帯{/r2}の{r2[てき]}敵{/r2}に{r2[ゆうこう]}有効{/r2}なようだ。\n{color[ffaf00ff]}{r2[こお]}凍{/r2}りついた{r2[てき]}敵{/r2}は、ミサイル{r2[こうげき]}攻撃{/r2}で{r2[ふんさい]}粉砕{/r2}{color[000000ff]}することができる。
[500EC6A0]_IceBeamComboDescription	\n\n{color[89d6ffff]}アイススプレッダー：{color[000000ff]}\n{color[ffaf00ff]}{r2[たんぱつがた]}単発型{/r2}コンボ{color[000000ff]}である。\n{r2[ついびのうりょく]}追尾能力{/r2}を{r2[も]}持{/r2}ち{r2[こうげきりょく]}攻撃力{/r2}も{r2[ぜつだい]}絶大{/r2}だ。\n{r2[はっしゃ]}発射{/r2}{r2[じ]}時{/r2}に{color[ffaf00ff]}１{r2[ぱつ]}発{/r2}につき、10{r2[ぱつ]}発{/r2}のミサイルを{r2[しょうひ]}消費{/r2}{color[000000ff]}するようだ。\nただし、{color[ffaf00ff]}メカニズム{color[000000ff]}{r2[けい]}系{/r2}の{r2[てき]}敵{/r2}は、{color[ffaf00ff]}{r2[こお]}凍{/r2}らせても{r2[ふっ]}復{/r2}{r2[かつ]}活{/r2}{color[000000ff]}されてしまう。
[500EC6A0]_WaveBeamDescription	{color[89d6ffff]}ウェイブビーム：{color[000000ff]}\n{r2[ちょうこうでんあつ]}超高電圧{/r2}の{r2[でんりゅう]}電流{/r2}に{r2[しこう]}指向{/r2}{r2[せい]}性{/r2}を{r2[も]}持{/r2}たせて{r2[はっしゃ]}発射{/r2}するビームです。\n{color[ffaf00ff]}{r2[めいちゅうせいど]}命中精度{/r2}{color[000000ff]}は、かなり{color[ffaf00ff]}{r2[たか]}高{/r2}い{color[000000ff]}のですが、ビームを３{r2[ぼん]}本{/r2}に{r2[ぶんさん]}分散{/r2}させているので、{color[ffaf00ff]}１{r2[ぽん]}本{/r2}{r2[ぶん]}分{/r2}のパワーは{r2[よわ]}弱{/r2}く{color[000000ff]}なっています。\n{[0100|09cd]} で、{color[ffaf00ff]}ウェイブビーム{color[000000ff]}に{r2[き]}切{/r2}り{r2[か]}替{/r2}わります。\n\n{color[89d6ffff]}サムスの{r2[きろく]}記録{/r2}：{color[000000ff]}\nこの{r2[こうげき]}攻撃{/r2}を{r2[う]}受{/r2}けた{r2[てき]}敵{/r2}はしばらくの{r2[あいだ]}間{/r2}、{color[ffaf00ff]}{r2[かんでん]}感電{/r2}し{r2[みうご]}身動{/r2}きができなく{color[000000ff]}なるようだ。
[500EC6A0]_WaveBeamComboDescription	\n\n{color[89d6ffff]}ウェイブバスター：{color[000000ff]}\n{color[ffaf00ff]}{r2[けいぞく]}継続{/r2}{r2[がた]}型{/r2}コンボ{color[000000ff]}である。\n{r2[れんぞく]}連続{/r2}して{r2[でんりゅう]}電流{/r2}を{r2[はっせい]}発生{/r2}させ、その{r2[あいだ]}間{/r2}、{r2[てき]}敵{/r2}を{r2[ついび]}追尾{/r2}し{r2[つづ]}続{/r2}ける。\n\n{color[ffaf00ff]}ロックオンしなくても{color[000000ff]}、{r2[たいしょう]}対象{/r2}に{r2[あ]}当{/r2}たれば、その{r2[じてん]}時点{/r2}から{color[ffaf00ff]}{r2[ついび]}追尾{/r2}{color[000000ff]}してくれる。\n{r2[はっしゃ]}発射{/r2}の{r2[さい]}際{/r2}に{color[ffaf00ff]}ミサイルを10{r2[ぱつ]}発{/r2}{r2[しょうひ]}消費{/r2}{color[000000ff]}し、その{r2[ご]}後{/r2}、{color[ffaf00ff]}１{r2[びょうごと]}秒毎{/r2}に５{r2[はつ]}発{/r2}ずつミサイル{color[000000ff]}を{r2[しょうひ]}消費{/r2}してゆく。
[500EC6A0]_PlasmaBeamDescription	{color[89d6ffff]}プラズマビーム：{color[000000ff]}\n{r2[かでん]}荷電{/r2}{r2[りゅうし]}粒子{/r2}を{r2[かっせい]}活性{/r2}{r2[か]}化{/r2}させた、{r2[ちょうこうおん]}超高温{/r2}エネルギービームです。\n{color[ffaf00ff]}チャージビーム{color[000000ff]}で{r2[はっ]}発{/r2}するプラズマ{r2[かきゅう]}火球{/r2}は、{r2[てき]}敵{/r2}を{color[ffaf00ff]}{r2[えんじょう]}炎上{/r2}させ、その{r2[あいだ]}間{/r2}ダメージ{color[000000ff]}を{r2[あた]}与{/r2}えます。\n\n{[0100|0acd]} で、{color[ffaf00ff]}プラズマビーム{color[000000ff]}に{r2[き]}切{/r2}り{r2[か]}替{/r2}わります。\n\n{color[89d6ffff]}サムスの{r2[きろく]}記録{/r2}：{color[000000ff]}\n{r2[ていおん]}低温{/r2}{r2[ちたい]}地帯{/r2}の{r2[てき]}敵{/r2}に{r2[たい]}対{/r2}して{r2[とく]}特{/r2}に{r2[こうか]}効果{/r2}{r2[てき]}的{/r2}なようだ。
[500EC6A0]_PlasmaBeamComboDescription	\n\n{color[89d6ffff]}フレイムスローワー：{color[000000ff]}\n{color[ffaf00ff]}{r2[けいぞく]}継続{/r2}{r2[がた]}型{/r2}コンボ{color[000000ff]}である。\n{r2[れんぞく]}連続{/r2}して{r2[こうおん]}高温{/r2}の{r2[かえん]}火炎{/r2}を{r2[ほうしゅつ]}放出{/r2}する。\n\n{r2[はっしゃ]}発射{/r2}{r2[じ]}時{/r2}に{color[ffaf00ff]}ミサイルを10{r2[ぱつ]}発{/r2}{r2[しょうひ]}消費{/r2}{color[000000ff]}し、その{r2[ご]}後{/r2}、{color[ffaf00ff]}１{r2[びょうごと]}秒毎{/r2}に５{r2[はつ]}発{/r2}ずつミサイルを{r2[しょうひ]}消費{/r2}{color[000000ff]}してゆく。\n
[500EC6A0]_PhazonBeamDescription	{color[89d6ffff]}フェイゾンビーム：{color[000000ff]}\n{color[ffaf00ff]}フェイゾン{color[000000ff]}がパワードスーツへ{r2[しんとう]}浸透{/r2}し、{color[ffaf00ff]}アームキャノンにも{r2[えいきょう]}影響{/r2}{color[000000ff]}を{r2[あた]}与{/r2}えました。\nこの{r2[えいきょう]}影響{/r2}により、{r2[きょうりょく]}強力{/r2}な{color[ffaf00ff]}フェイゾンビーム{color[000000ff]}が{r2[はっしゃ]}発射{/r2}{r2[かのう]}可能{/r2}になります。\n\nただし、チャージビームやミサイルとの{color[ffaf00ff]}コンボは{r2[ふ]}不{/r2}{r2[かのう]}可能{/r2}{color[000000ff]}です。\n\n{color[89d6ffff]}サムスの{r2[きろく]}記録{/r2}：{color[000000ff]}\n{color[ffaf00ff]}フェイゾンビーム{color[000000ff]}は、{color[ffaf00ff]}フェイゾンエネルギーを{r2[きゅうしゅうかのう]}吸収可能{/r2}な{r2[じょうきょう]}状況{/r2}でのみ{color[000000ff]}{r2[はっしゃ]}発射{/r2}{r2[かのう]}可能{/r2}なようだ。
