A0.asset
A0_1023_PIKACHU_100_1000	鋼鎧鴉那傢伙，\n竟然把我重要的帽子給帶走了。
A0_1135_OHPOLICEWOMAN01_100_1000	巴特勒局長！\n所有居民似乎都平安無事！
A0_1135_BUTLER_100_6000	嗯！辛苦了！
A0_1135_BUTLER_100_7000	嗯，雖然我很想去引導居民避難，\n但也不能放著昏倒的豆豆鴿不管……
A0_1135_BUTLER_100_8000	偵探小弟，\n你們也快點去避難吧。
A0_1135_TIM_100_3000	巴特勒先生！
A0_1135_TIM_100_4000	請讓我們幫忙救豆豆鴿。
A0_1135_TIM_100_5000	我們一定會找出讓牠醒來的方法！
A0_1135_PIKACHU_100_1000	交給我倆名偵探就對了。
A0_1135_BUTLER_100_9000	你們？
A0_1135_BUTLER_100_10000	的確現在情況緊急，\n借用偵探的力量也是個辦法……
A0_1135_BUTLER_100_11000	我知道了。你們去找出\n能讓豆豆鴿醒過來的辦法吧。
A0_1135_BUTLER_100_12000	拜託你了，偵探小弟！
A0_1135_TIM_100_6000	是！
A0_1135_TIM_100_7000	走吧，皮卡丘！
A0_1135_PIKACHU_100_2000	好！
A0_1135_MAMEPATO03_100_1000	豆啵～
A0_1135_PIKACHU_100_3000	嗯？
A0_1140_TIM_100_1000	對了，能不能去問問那裡的\n其他豆豆鴿？
A0_1140_PIKACHU_100_1000	嗯，去問問牠們吧。
A0_1141_PIKACHU_100_1000	提姆，你要去哪裡？\n我們去問問豆豆鴿牠們吧。
A0_1142_PIKACHU_100_1000	提姆，你要去哪裡？\n我們去問問豆豆鴿牠們吧。
A0_1143_PIKACHU_100_1000	提姆，你要去哪裡？\n我們去問問豆豆鴿牠們吧。
A0_1144_PIKACHU_100_1000	提姆，你要去哪裡？\n我們去問問豆豆鴿牠們吧。
A0_1145_BUTLER_100_1000	你們去找出\n能讓豆豆鴿醒過來的辦法吧。
A0_1145_BUTLER_100_2000	拜託你了，偵探小弟！
A0_1146_TABUNNE_100_1000	差不多。
A0_1146_PIKACHU_100_1000	嗯，包在我們身上。
A0_1147_MAMEPATO02_100_1000	……
A0_1147_TIM_100_1000	豆豆鴿，你等著喔！
A0_1148_PIKACHU_100_1000	對了，提姆，稍等一下。
A0_1148_PIKACHU_100_2000	在我們向牠們打聽消息之前，\n我有事要先跟你說一聲。
A0_1148_TIM_100_1000	咦，什麼事？
A0_1148_PIKACHU_100_3000	……提姆，事件是不會在\n我們希望的時候發生的。
A0_1148_PIKACHU_100_4000	這道理你應該知道吧？
A0_1148_TIM_100_2000	嗯。
A0_1148_PIKACHU_100_5000	正如現在，不知怎麼地，\n我們已經好一段時間沒調查事件了……
A0_1148_TIM_100_3000	嗯……這個嘛……的確。
A0_1148_PIKACHU_100_6000	來複習一下我們調查的方法吧。
A0_1148_PIKACHU_100_7000	也就是所謂的「勿忘初心」！
A0_1148_TIM_100_4000	原、原來如此……
A0_1148_PIKACHU_100_8000	提姆，這是暌違已久的調查。
A0_1148_PIKACHU_100_9000	豆豆鴿的傷已經好了。
A0_1148_PIKACHU_100_10000	現在只需要找到讓牠醒來的方法……
A0_1148_PIKACHU_100_11000	說不定這只是湊巧，但……
A0_1148_PIKACHU_100_12000	既然我們很久沒展開偵探活動了，\n那麼作為暖身運動，
A0_1148_PIKACHU_100_13000	你不覺得這是個很不錯的事件嗎？
A0_1148_TIM_100_5000	的、的確……
A0_1148_PIKACHU_100_14000	就當是為了回憶從前，\n我們仔細地來調查吧！
A0_1148_TIM_100_6000	好，我明白了！
A0_1148_PIKACHU_100_15000	那麼，來複習一下我們的調查法吧。
A0_1148_PIKACHU_100_16000	由我去向寶可夢問話，\n然後……提姆？
A0_1148_TIM_100_7000	嗯！我去向人們打聽！
A0_1148_PIKACHU_100_17000	由我倆去蒐集寶可夢與人類提供的\n證詞和證據，然後解決問題。
A0_1148_TIM_100_8000	這就是我們的作法。
A0_1148_PIKACHU_100_18000	沒錯。
A0_1148_TIM_100_9000	那就拜託你囉，皮卡丘。
A0_1148_PIKACHU_100_19000	好！這就來開始吧！
A0_1148_PIKACHU_100_20000	喂～那邊的豆豆鴿們！
A0_1148_PIKACHU_100_21000	你們是昏倒的豆豆鴿的夥伴嗎？\n我想問你們一些事。
A0_1148_MAMEPATO03_100_1000	豆啵～
A0_1148_PIKACHU_100_22000	牠說「夥伴一直在睡，不肯醒來～」。
A0_1148_TIM_100_10000	牠以為失去意識的豆豆鴿\n是在睡覺嗎？
A0_1148_MAMEPATO03_100_2000	豆啵～♪
A0_1148_PIKACHU_100_23000	什麼？「我最愛那個氣味了♪」？\n你突然在說什麼啊？
A0_1148_MAMEPATO03_100_3000	豆啵～豆啵～♪
A0_1148_PIKACHU_100_24000	牠說，直衝鼻梁的香氣，\n一聞就睡意全消～♪
A0_1148_PIKACHU_100_25000	夥伴都昏倒了呢，你們還這麼悠哉。\n先別提氣味了，好歹擔心一下夥伴吧。
A0_1148_TIM_100_11000	豆豆鴿牠們有熱愛的氣味啊。
A0_1148_PIKACHU_100_26000	看來只能問出這些了……\n我們去問問其他傢伙吧。
A0_1150_PIKACHU_100_1000	那邊好像被封鎖了。\n還是別過去吧。
A0_1160_PIKACHU_100_1000	那邊好像被封鎖了。\n還是別過去吧。
A0_1170_BUTLER_100_1000	你們去找出\n能讓豆豆鴿醒過來的辦法吧。
A0_1170_BUTLER_100_2000	拜託你了，偵探小弟！
A0_1210_TABUNNE_100_1000	……差不多？
A0_1210_PIKACHU_100_1000	你知道什麼\n直衝鼻梁的香氣嗎？
A0_1210_TABUNNE_100_2000	差不多……
A0_1210_PIKACHU_100_2000	這樣啊，不清楚是吧。
A0_1215_MAMEPATO04_100_1000	豆啵～♪
A0_1215_PIKACHU_100_1000	「我最愛這氣味了♪」是嗎？
A0_1215_PIKACHU_100_2000	嗯？你最愛這氣味了？該不會是……
A0_1225_MAMEPATO05_100_1000	豆啵～豆啵～♪
A0_1225_PIKACHU_100_1000	直衝鼻梁的香氣，一聞就睡意全消～♪
A0_1225_PIKACHU_100_2000	難道說，讓牠們聚集的原因是……
A0_1240_FREFUWAN_100_1000	芳～香？
A0_1240_PIKACHU_100_1000	是芳香精啊。\n你怎麼會被豆豆鴿包圍著？
A0_1240_FREFUWAN_100_2000	芳～香。
A0_1240_PIKACHU_100_2000	牠說不知道為什麼，只要來到這裡，\n就會被豆豆鴿們纏著。
A0_1240_TIM_100_1000	豆豆鴿在糾纏芳香精？
A0_1240_MAMEPATO04_100_1000	豆啵～♪
A0_1240_PIKACHU_100_3000	什麼？「散發那個氣味吧♪」？
A0_1240_MAMEPATO05_100_1000	豆啵～豆啵～♪
A0_1240_PIKACHU_100_4000	那個香氣，快點快點？
A0_1240_FREFUWAN_100_3000	芳香，芳～香！
A0_1240_PIKACHU_100_5000	唉唷！牠們到底想怎樣！\n……牠說的。
A0_1240_PIKACHU_100_6000	看樣子豆豆鴿會被\n芳香精散發的氣味給吸引。
A0_1240_PIKACHU_100_7000	也就是說，如果是芳香精，\n說不定就能讓豆豆鴿醒來。
A0_1240_TIM_100_2000	有道理。皮卡丘，\n你拜託牠看看嘛！
A0_1240_PIKACHU_100_8000	嗯～芳香精，\n我們想請你幫個忙……
A0_1240_FREFUWAN_100_4000	芳～香。
A0_1240_PIKACHU_100_9000	牠說，要是我們能弄走纏著牠的豆豆鴿，\n牠就願意幫我們一把。
A0_1240_PIKACHU_100_10000	既然如此，\n那我得跟豆豆鴿們說一聲了。
A0_1240_PIKACHU_100_11000	希望能跟牠們講得通……
A0_1240_FREFUWAN_200_1000	芳～香。
A0_1240_PIKACHU_200_1000	牠說，要是我們能弄走纏著牠的豆豆鴿，\n牠就願意幫我們。
A0_1240_PIKACHU_200_2000	希望能跟這裡的豆豆鴿們\n講得通……
A0_1240_TIM_200_1000	總之，你去跟牠們說說看吧。
A0_1242_MAMEPATO04_100_1000	豆啵～♪
A0_1242_PIKACHU_100_1000	各位，不好意思，\n可以請你們移到別的地方去嗎？
A0_1242_MAMEPATO04_100_2000	……♪
A0_1242_PIKACHU_100_2000	別聞得那麼陶醉了！\n這都是為了幫助你們的夥伴啊。
A0_1242_PIKACHU_100_3000	喂，你們聽我說！芳香精會在別的地方\n釋放出濃濃～的香氣喔！
A0_1242_MAMEPATO04_100_3000	豆啵～♪
A0_1242_PIKACHU_100_4000	牠們說，香氣濃濃？知道了～
A0_1242_TIM_100_1000	牠們願意離開了嗎？太好了！
A0_1244_MAMEPATO05_100_1000	豆啵～♪
A0_1244_PIKACHU_100_1000	各位，不好意思，\n可以請你們移到別的地方去嗎？
A0_1244_MAMEPATO05_100_2000	……♪
A0_1244_PIKACHU_100_2000	別聞得那麼陶醉了！\n這都是為了幫助你們的夥伴啊。
A0_1244_PIKACHU_100_3000	喂，你們聽我說！芳香精會在別的地方\n釋放出濃濃～的香氣喔！
A0_1244_MAMEPATO05_100_3000	豆啵～♪
A0_1244_PIKACHU_100_4000	牠們說，香氣濃濃？知道了～
A0_1244_TIM_100_1000	牠們願意離開了嗎？太好了！
A0_1246_TIM_100_2000	這樣一來，芳香精也願意幫忙了吧！
A0_1248_FREFUWAN_100_1000	芳～香。
A0_1248_PIKACHU_100_1000	牠在謝謝我們挪開了豆豆鴿。\n而且說我們要牠幫什麼，牠都願意。
A0_1248_TIM_100_1000	太好了！那我們就跟芳香精\n一起回廣場去吧！
A0_1252_MAMEPATO02_100_1000	……
A0_1252_TIM_100_1000	豆豆鴿，你等著喔！
A0_1254_MAMEPATO03_100_1000	豆啵～♪
A0_1254_PIKACHU_100_1000	這樣啊。\n你們也在擔心夥伴啊。
A0_1270_PIKACHU_300_1000	要是豆豆鴿沒有醒來，\n就請你幫我們一下吧。
A0_1270_COIL_300_1000	磁磁磁！
A0_1270_PIKACHU_400_1000	牠是小磁怪。由牠劈哩地電一下，\n說不定豆豆鴿就會醒來……
A0_1270_TIM_400_1000	皮卡丘你使不出招式，\n所以也只能拜託小磁怪了。
A0_1270_PIKACHU_400_2000	別這麼說啊。提姆你也知道，\n即使我想使出招式也力不從心啊。
A0_1270_COIL_400_1000	磁磁磁？
A0_1270_PIKACHU_400_3000	我們是不是遇到麻煩？\n嗯，豆豆鴿牠昏迷不醒。
A0_1270_PIKACHU_400_4000	雖然這招有點狠，但我在想\n說不定由你電一下牠就會醒來。
A0_1270_COIL_400_2000	磁磁磁！
A0_1270_PIKACHU_400_5000	你願意幫忙嗎？謝謝！
A0_1270_PIKACHU_400_6000	要是怎麼樣都沒辦法讓牠醒來，\n就請你幫幫我們囉。
A0_1270_COIL_400_3000	磁磁磁！
A0_1290_NATIO_300_1000	天然。
A0_1290_PIKACHU_300_1000	牠正在日光浴，要我們別吵牠。
A0_1290_PIKACHU_300_2000	我們去問其他的寶可夢吧。
A0_1290_PIKACHU_400_1000	是天然鳥。
A0_1290_PIKACHU_400_2000	這傢伙既難以捉摸牠在看哪裡，\n也難以瞭解牠在想什麼，不過……
A0_1290_PIKACHU_400_3000	越是這種傢伙，\n說不定越會知道些厲害的線索！
A0_1290_TIM_400_1000	是、是這樣嗎……\n那你問問看要怎麼叫醒豆豆鴿。
A0_1290_PIKACHU_400_4000	包在我身上。\n喂～！天然鳥！
A0_1290_NATIO_400_1000	……
A0_1290_PIKACHU_400_5000	是沒聽見嗎？喂～～～
A0_1290_NATIO_400_2000	……
A0_1290_TIM_400_2000	怎麼回事？牠什麼都不回答。
A0_1290_NATIO_400_3000	……天然。
A0_1290_PIKACHU_400_6000	……牠正在日光浴，要我們別吵牠。
A0_1290_TIM_400_3000	在這種狀況下，牠可真冷靜。
A0_1290_PIKACHU_400_7000	……我們去問其他的寶可夢吧。
A0_1391_PIKACHU_100_1000	對了，提姆？
A0_1391_PIKACHU_100_2000	給我一點時間好嗎？
A0_1392_PIKACHU_100_1000	我說啊，提姆。
A0_1392_PIKACHU_100_2000	如果你在調查中遇上困難，\n就像現在這樣叫我一聲吧。
A0_1392_PIKACHU_100_3000	我會在不被周圍的人類察覺的狀況下\n把我的想法告訴你，當作建議。
A0_1392_PIKACHU_100_4000	當然，你要靠自己思考也行。
A0_1392_PIKACHU_100_5000	但別把自己逼太緊了。\n適當地休息和回顧也很重要。
A0_1392_PIKACHU_100_6000	好，我們走吧！
A0_1393_PIKACHU_100_1000	在你要移動之前，<color=#F39800FF>記得告訴我一聲</color>。
A0_1560_PIKACHU_100_1000	芳香精，就是這隻豆豆鴿。\n你幫幫牠吧！
A0_1560_FREFUWAN_100_1000	香～精！
A0_1572_BUTLER_100_1000	哦哦！豆豆鴿牠！
A0_1572_TABUNNE_100_1000	差不多！差不多！！
A0_1572_PIKACHU_100_1000	芳香精散發的這氣味\n的確是香氣沒錯，但……
A0_1572_TIM_100_1000	聞起來就像……味道很重的香水……
A0_1572_PIKACHU_100_2000	真是搞不懂豆豆鴿的喜好啊。
A0_1572_MAMEPATO03_100_1000	豆啵～♪
A0_1572_MAMEPATO04_100_1000	豆啵～♪♪
A0_1572_MAMEPATO05_100_1000	豆啵～♪♪♪
A0_1572_PIKACHU_100_3000	恭喜你們。
A0_1572_FREFUWAN_100_1000	芳～香。
A0_1572_PIKACHU_100_4000	嗯，多虧有你，芳香精。\n謝謝你喔。
A0_1574_BUTLER_100_1000	真不愧是偵探小弟！\n豆豆鴿已經完全恢復了，謝謝！
A0_1574_BUTLER_100_2000	我還真沒想到\n可以找城市裡的寶可夢來幫忙。
A0_1574_PIKACHU_100_1000	……對了，這個大個頭的人，\n警察們都叫他局長是吧。
A0_1574_TIM_100_1000	他為什麼會被叫做局長呢？
A0_1574_PIKACHU_100_2000	提姆，你去打聽一下吧。
A0_1574_SEL_0_1000	關於巴特勒局長
A0_1574_SEL_0_2000	關於保護局
A0_1574_BUTLER_300_1000	我重新自我介紹一次。\n我是寶可夢保護局的局長，名叫巴特勒。
A0_1574_TIM_300_1000	寶可夢保護局？
A0_1574_BUTLER_300_2000	保護住在萊姆市的寶可夢的組織……
A0_1574_BUTLER_300_3000	就是所謂的「寶可夢保護局」。
A0_1574_PIKACHU_300_1000	類似於保護寶可夢的警察嗎？
A0_1574_TIM_300_2000	想不到有這樣的組織。
A0_1574_BUTLER_300_4000	我們才剛開始正式活動。
A0_1574_BUTLER_300_5000	現在我們借用萊姆警察局的辦公室，\n跟警察一起合作來展開活動。
A0_1574_BUTLER_300_6000	我們今天會出動是作為警備的一環，\n卻發生了這種事。
A0_1574_BUTLER_300_7000	真是的，我人在這卻還發生這種事……\n太沒面子了。
A0_1574_BUTLER_400_1000	設立保護局的契機，\n是２年前你們解決的那個Ｒ事件。
A0_1574_BUTLER_400_2000	當時市區到處發生了\n騷動或事故，對吧？
A0_1574_BUTLER_400_3000	不管是萊姆市的市民，還是寶可夢，\n都受到了很大的傷害。
A0_1574_PIKACHU_400_1000	……
A0_1574_BUTLER_400_4000	霍華德市長很是心痛，\n作為對策，他設立了寶可夢保護局。
A0_1574_BUTLER_400_5000	杜絕像Ｒ事件那樣，\n牽扯到寶可夢的犯罪再次發生……
A0_1574_BUTLER_400_6000	為此所設立的正是寶可夢保護局。
A0_1574_TIM_400_1000	那不是警察的工作嗎？
A0_1574_BUTLER_400_7000	……這幾年，萊姆市的\n事件跟事故都增加了。
A0_1574_BUTLER_400_8000	警察已經沒有餘力\n來處理寶可夢的事件了。
A0_1574_BUTLER_400_9000	警察局保護萊姆市的居民，\n而保護局保護寶可夢。
A0_1574_BUTLER_400_10000	這樣的分工合作，\n也成為了必要之舉。
A0_1574_TIM_400_2000	原來如此。真符合萊姆市！\n這就是設立保護局的理由啊。
A0_1574_PIKACHU_400_2000	霍華德他有好好地\n在為寶可夢們著想呢。
A0_1576_BUTLER_100_1000	話說回來，偵探小弟……
A0_1576_BUTLER_100_2000	我看著你們的調查，\n發現了一件事……
A0_1576_BUTLER_100_3000	你是一邊調查，\n一邊說明給皮卡丘聽嗎？
A0_1576_TIM_100_1000	咦！？
A0_1576_BUTLER_100_4000	就算你跟皮卡丘說話，\n我想牠也聽不懂就是了。
A0_1576_BUTLER_100_5000	該不會，你跟皮卡丘……
A0_1576_TIM_100_2000	嗯……與其說你是在跟牠說話，\n或者該說是商量，也不對，呃……
A0_1576_BUTLER_100_6000	原來如此！
A0_1576_BUTLER_100_7000	對著皮卡丘說話，\n偵探小弟你就能理清自己的思路，對吧？
A0_1576_BUTLER_100_8000	真是有趣的推理方式！哇哈哈！
A0_1576_TIM_100_3000	就、就是那樣！
A0_1578_PIKACHU_100_1000	哎，其實我和提姆之間\n莫名其妙可以對話就是了。
A0_1578_TIM_100_1000	……嚇我一跳。\n還以為被他發現我們能溝通了。
A0_1578_PIKACHU_100_2000	當心點。我和你能對話這種事，\n一般是沒有會人相信的。
A0_1580_OKPOLICEMAN01_100_1000	哇啊！？
A0_1580_TIM_100_1000	啊！
A0_1584_TIM_100_1000	又是鋼鎧鴉！
A0_1584_PIKACHU_100_1000	喂～！還我帽子來～！
A0_1586_TIM_100_1000	局長他們開著巡邏車\n去追鋼鎧鴉了。
A0_1586_PIKACHU_100_1000	我的帽子應該是在\n鋼鎧鴉那裡。
A0_1586_PIKACHU_100_2000	我們也追上去吧！
A0_1590_SECRETANASSY_100_1000	椰～～～～蛋～～～～！！
A0_1590_SECRETKAJICCHU01_100_1000	啃果！
A0_1590_TIM_100_1000	是寶可夢的聲音！\n從牠飛去的方向傳來的！
A0_1590_PIKACHU_100_1000	我們去看看！
A0_1592_FREFUWAN_100_1000	芳～香……
A0_1592_PIKACHU_100_1000	我是聽了皮卡丘你的話，\n才幫了你們的……？
A0_1592_FREFUWAN_100_2000	芳香芳香！
A0_1592_PIKACHU_100_2000	結果纏著我的豆豆鴿\n從２隻變成５隻了？
A0_1592_PIKACHU_100_3000	你這是要我怎麼辦！……這樣啊。
A0_1592_TIM_100_1000	抱、抱歉，芳香精。
A0_1592_PIKACHU_100_4000	唉，真是抱歉，\n豆豆鴿牠們也沒有惡意……
A0_1594_COIL_100_1000	磁磁磁？
A0_1594_PIKACHU_100_1000	你問我為什麼不逃走？\n因為我想從鋼鎧鴉那裡拿回帽子啊。
A0_1594_COIL_100_2000	磁磁磁。
A0_1594_PIKACHU_100_2000	謝謝你為我擔心。\n你自己也要多小心喔。
A0_1596_NATIO_100_1000	天然。
A0_1596_PIKACHU_100_1000	……牠叫我們別著急。
A0_1596_TIM_100_1000	在這種狀況下，牠可真冷靜。
A0_1600_TIM_100_1000	啊！？
A0_1600_TIM_100_2000	皮卡丘，快看！
A0_1600_PIKACHU_100_1000	蘋果散了一地，真糟糕……
A0_1615_TIM_100_1000	這是……一棵樹？
A0_1615_PIKACHU_100_1000	長在這種地方……？
A0_1615_TIM_100_2000	雖然感覺很奇怪，不過你看。
A0_1615_PIKACHU_100_2000	嗯～怎麼看都不自然……
A0_1640_KAJICCHU02_100_1000	啃果……
A0_1640_PIKACHU_100_1000	是啃果蟲啊，待在這裡很危險的。\n你快找個地方避難吧。
A0_1640_KAJICCHU02_100_2000	啃果……
A0_1640_TIM_100_1000	牠的樣子有點奇怪。\n是不是不想離開這裡？
A0_1640_PIKACHU_100_2000	來問問牠吧。
A0_1640_PIKACHU_200_1000	啃果蟲，我可以問你一些事嗎？
A0_1640_KAJICCHU02_200_1000	啃果……
A0_1640_SEL_0_1000	關於啃果蟲
A0_1640_SEL_0_2000	這裡發生了什麼事？
A0_1640_PIKACHU_300_1000	我在這個城市裡沒見過你這種寶可夢，\n你是從哪裡來的呀？
A0_1640_KAJICCHU02_300_1000	啃果啃果。
A0_1640_PIKACHU_300_2000	牠說牠和夥伴們都睡在木箱子裡，\n醒來總是身在陌生的地方。
A0_1640_TIM_300_1000	啃果蟲一直跟著賣蘋果的人\n到處做生意啊。
A0_1640_PIKACHU_300_3000	賣蘋果的人大概不知道\n牠們也在吧。
A0_1640_KAJICCHU02_300_2000	啃果。
A0_1640_PIKACHU_300_4000	牠今天似乎是\n被突然一陣晃動給搖醒的。
A0_1640_TIM_300_2000	那大概是鋼鎧鴉造成的。\n還有散亂的木箱子也是。
A0_1640_PIKACHU_300_5000	附近沒看到賣蘋果的人。\n大概是去避難了吧。
A0_1640_KAJICCHU02_400_1000	啃果啃果……
A0_1640_PIKACHU_400_1000	牠說牠被晃動的木箱子給甩到外面後，\n才發現夥伴們不見了。
A0_1640_TIM_400_1000	是跟夥伴失散了嗎？\n我們幫牠尋找吧。
A0_1640_PIKACHU_400_2000	我也這麼想。\n你一共有幾隻夥伴？
A0_1640_KAJICCHU02_400_2000	啃果。
A0_1640_PIKACHU_400_3000	２隻嗎？我知道了。
A0_1650_PIKACHU_100_1000	問了啃果蟲之後，能了解這個狀況了。
A0_1650_PIKACHU_100_2000	雖然我很想去追那隻\n拿了我帽子的鋼鎧鴉，但……
A0_1650_TIM_100_1000	遇到有困難的寶可夢，也不能坐視不管。
A0_1650_PIKACHU_100_3000	沒錯！濟弱扶傾才稱得上是名偵探。
A0_1650_TIM_100_2000	那麼，我們就對那些掉了一地的\n蘋果來進行<color=#F39800FF>現場勘察</color>吧。
A0_1650_PIKACHU_100_4000	我是很想那麼做，\n但那裡的樹有點礙事。
A0_1650_PIKACHU_100_5000	那棵樹怎麼看都不太自然。\n先去調查它吧。
A0_1652_TIM_100_1000	這棵樹妨礙了現場勘察。\n該怎麼辦呢？
A0_1652_PIKACHU_100_1000	讓我想想。\n總不能砍倒它……
A0_1652_SECRETANASSY_100_1000	椰～蛋～\n椰～蛋～\n椰～蛋～
A0_1654_PIKACHU_100_1000	什麼啊，\n原來是阿羅拉地區的椰蛋樹！
A0_1654_TIM_100_1000	我是第一次看到，所以沒有發現……\n牠怎麼會出現在萊姆市？
A0_1654_PIKACHU_100_2000	不請牠讓開的話，就沒辦法調查了。\n在拜託牠時，也順便打聽一下吧。
A0_1654_PIKACHU_100_3000	喂～椰蛋樹！在這裡！\n你看一下腳邊！喂～～～！！
A0_1654_ANASSY_100_1000	椰蛋。\n椰蛋。\n椰蛋。
A0_1654_PIKACHU_100_4000	哇！？竟然３顆頭一起開口了……
A0_1654_PIKACHU_100_5000	我說啊，椰蛋樹～～！\n只要我指定的那顆頭來回答就行了！
A0_1654_ANASSY_100_2000	椰蛋。\n椰蛋。\n椰蛋。
A0_1654_PIKACHU_100_6000	啊！我忘了先指定！
A0_1654_ANASSY_200_1000	椰蛋。\n椰蛋。\n椰蛋。
A0_1654_PIKACHU_200_1000	讓我問幾個問題吧～～！\n只要我指定的那顆頭來回答就行了！
A0_1654_SEL_0_1000	關於椰蛋樹
A0_1654_SEL_0_2000	這裡發生了什麼事？
A0_1654_PIKACHU_300_1000	呃～中間的椰蛋樹！
A0_1654_PIKACHU_300_2000	你為什麼會在這裡～？？
A0_1654_ANASSY_300_1000	椰蛋。
A0_1654_PIKACHU_300_3000	牠似乎跟著賣蘋果的人\n遊走各地。
A0_1654_TIM_300_1000	所以才會來到萊姆市啊。
A0_1654_PIKACHU_400_1000	嘿，右邊的椰蛋樹！\n告訴我這裡發生了什麼事吧～！
A0_1654_ANASSY_400_1000	椰蛋。
A0_1654_PIKACHU_400_2000	聽說是飛過來的鋼鎧鴉為了\n閃避椰蛋樹，結果撞上了攤子。
A0_1654_TIM_400_1000	跟想像的一樣呢。
A0_1654_PIKACHU_400_3000	對了，你有沒有看到一頂帽子？\n我的帽子被鋼鎧鴉拿走了。
A0_1654_ANASSY_400_2000	椰蛋。
A0_1654_PIKACHU_400_4000	太突然了，所以你沒注意到啊……\n說的也是。
A0_1655_PIKACHU_100_1000	我說啊～左邊的椰蛋樹！\n我有事想拜託你們！
A0_1655_ANASSY_100_1000	椰蛋。
A0_1655_PIKACHU_100_2000	我想調查這裡\n散了一地的蘋果。
A0_1655_PIKACHU_100_3000	抱歉，可以請你們讓開一點嗎～？
A0_1655_ANASSY_100_2000	椰蛋。
A0_1657_TIM_100_1000	太好了，牠移開了。
A0_1657_PIKACHU_100_1000	這下就能進行現場勘察了。
A0_1660_TIM_100_1000	這裡就是蘋果散落的地方。
A0_1660_PIKACHU_100_1000	我們這就來勘察現場吧。
A0_1670_PIKACHU_100_1000	你記得我們要找什麼嗎？
A0_1670_TIM_100_1000	２隻啃果蟲，對吧。
A0_1670_PIKACHU_100_2000	沒錯。這裡有這麼多蘋果，\n可別看漏了喔？
A0_1680_PIKACHU_5000_1000	是不是還有地方沒調查？
A0_1685_PIKACHU_100_1000	這蘋果味道很好耶。\n提姆，你要不要也吃點？
A0_1685_PIKACHU_100_2000	就交給你付帳囉！
A0_1690_TIM_100_1000	是裝蘋果的木箱子。\n裡面看來是沒有啃果蟲。
A0_1710_PIKACHU_100_1000	是我的帽子！
A0_1710_TIM_100_1000	鋼鎧鴉早就把帽子丟下來啦！
A0_1710_PIKACHU_100_2000	我覺得剛才在這裡沒有看到它啊。\n不過，找到了就好。
A0_1715_PIKACHU_100_1000	蘋果散了一地。
A0_1715_TIM_100_1000	啃果蟲……到處都找不到呢。
A0_1715_PIKACHU_100_2000	都這樣子了，這些蘋果只能\n拿來打果汁或做果醬了吧。
A0_1715_PIKACHU_100_3000	我倒是一點都不介意它有撞傷。
A0_1725_TIM_100_1000	找到了！是啃果蟲！
A0_1725_KAJICCHU01_100_1000	啃果。
