A0.asset
A0_1023_PIKACHU_100_1000	アーマーガアのヤツ\nオレの大事な帽子を持って行っちまった
A0_1135_BUTLER_100_7000	さて　避難誘導を進めたいところだが\n気絶したマメパトを放ってはおけないな……
A0_1135_BUTLER_100_8000	探偵くん　\nキミたちも　早く避難したまえ
A0_1135_TIM_100_3000	バトラーさん！
A0_1135_TIM_100_4000	ぼくたちに　マメパトの救助を\n手伝わせてください
A0_1135_TIM_100_5000	かならず　マメパトが目を覚ます方法を\n見つけ出します！
A0_1135_PIKACHU_100_1000	名探偵のオレたちに　まかせりゃいい
A0_1135_BUTLER_100_9000	キミたちが？
A0_1135_BUTLER_100_10000	たしかに　いまは緊急事態\n探偵のちからを借りてもよいか……
A0_1135_BUTLER_100_11000	わかった　マメパトを目覚めさせる方法を\n探し出してくれ
A0_1135_BUTLER_100_12000	たのんだよ　探偵くん！
A0_1135_TIM_100_6000	はい！
A0_1135_TIM_100_7000	行こう　ピカチュウ！
A0_1135_PIKACHU_100_2000	おう！
A0_1135_MAMEPATO03_100_1000	プルッポー
A0_1135_PIKACHU_100_3000	ん？
A0_1140_TIM_100_1000	そうだ　そこにいる　別のマメパトたちから\n話を聞けないかな？
A0_1140_PIKACHU_100_1000	ああ　話を聞いてみようぜ
A0_1141_PIKACHU_100_1000	ティム　どこへ行くんだ？\nマメパトたちから　話を聞いてみようぜ
A0_1142_PIKACHU_100_1000	ティム　どこへ行くんだ？\nマメパトたちから　話を聞いてみようぜ
A0_1143_PIKACHU_100_1000	ティム　どこへ行くんだ？\nマメパトたちから　話を聞いてみようぜ
A0_1144_PIKACHU_100_1000	ティム　どこへ行くんだ？\nマメパトたちから　話を聞いてみようぜ
A0_1145_BUTLER_100_1000	マメパトを目覚めさせる方法を\n探し出してくれ
A0_1145_BUTLER_100_2000	たのんだよ　探偵くん！
A0_1146_TABUNNE_100_1000	タブンネ
A0_1146_PIKACHU_100_1000	ああ　オレたちに　まかせておけ
A0_1147_MAMEPATO02_100_1000	……
A0_1147_TIM_100_1000	待っててね　マメパト！
A0_1148_PIKACHU_100_1000	おっと　ティム　ちょっと待て
A0_1148_PIKACHU_100_2000	こいつらから　話を聞く前に\nおまえに　伝えたいことがある
A0_1148_TIM_100_1000	えっ　なに？
A0_1148_PIKACHU_100_3000	……ティムよ　事件は\nこっちの都合で　起きてはくれない
A0_1148_PIKACHU_100_4000	それは　わかってるな？
A0_1148_TIM_100_2000	うん
A0_1148_PIKACHU_100_5000	現に　前回の事件調査から　なぜか　\nずいぶんと時間が経ってしまっている……
A0_1148_TIM_100_3000	うん……　まあ……　そうだよね
A0_1148_PIKACHU_100_6000	オレたちの調査スタイルを思い出そう
A0_1148_PIKACHU_100_7000	「初心忘るべからず！」ってことだ
A0_1148_TIM_100_4000	な　なるほど……
A0_1148_PIKACHU_100_8000	ティムよ　久々の事件調査だ
A0_1148_PIKACHU_100_9000	マメパトのケガは　すでに治っている
A0_1148_PIKACHU_100_10000	必要なのは　目を覚まさせる方法だけだ……
A0_1148_PIKACHU_100_11000	これは偶然かもしれないが
A0_1148_PIKACHU_100_12000	オレたちの　久々の探偵活動の\nチュートリアルとして
A0_1148_PIKACHU_100_13000	いい感じの事件だと思わないか？
A0_1148_TIM_100_5000	た　たしかに……
A0_1148_PIKACHU_100_14000	昔を　思い出す意味でも\nていねいに　調査を進めるぞ！
A0_1148_TIM_100_6000	うん　わかった！
A0_1148_PIKACHU_100_15000	さて　オレたちの調査方法の　おさらいだ
A0_1148_PIKACHU_100_16000	オレが　ポケモンに話を聞く\nそして……　ティム？
A0_1148_TIM_100_7000	うん！　ぼくが　人間に話を聞く！
A0_1148_PIKACHU_100_17000	ふたりで　ポケモンや人間の証言や\n証拠を集めて　問題を解決するんだ
A0_1148_TIM_100_8000	それが　ぼくたちのやり方だからね
A0_1148_PIKACHU_100_18000	そういうことだ
A0_1148_TIM_100_9000	じゃあ　たのんだよ　ピカチュウ
A0_1148_PIKACHU_100_19000	よし！　はじめるか
A0_1148_PIKACHU_100_20000	おーい　そこのマメパトたち！
A0_1148_PIKACHU_100_21000	おまえら　気絶したマメパトの仲間か？\nちょっと話を聞かせて欲しいんだ
A0_1148_MAMEPATO03_100_1000	プルッポー
A0_1148_PIKACHU_100_22000	仲間が　寝てて起きないよ～　だとさ
A0_1148_TIM_100_10000	気絶したマメパトのことを寝てると\n思ってるのかな？
A0_1148_MAMEPATO03_100_2000	プルッポー♪
A0_1148_PIKACHU_100_23000	あのニオイ　大好き♪　だと？\nいきなり　なんの話だ？
A0_1148_MAMEPATO03_100_3000	プルッポー　プルッポー♪
A0_1148_PIKACHU_100_24000	ツーンとイイニオイ\n眠けスッキリー♪　って
A0_1148_PIKACHU_100_25000	仲間が気絶してるのに　のんきなヤツらだ\nニオイの話より仲間を心配しろ
A0_1148_TIM_100_11000	マメパトたちが　大好きな\nニオイがあるんだね
A0_1148_PIKACHU_100_26000	聞けたのは　これだけだな……\nほかのヤツに聞いてみよう
A0_1150_PIKACHU_100_1000	そっちは封鎖されているみたいだ\n行かないでおこう
A0_1160_PIKACHU_100_1000	そっちは封鎖されているみたいだ\n行かないでおこう
A0_1170_BUTLER_100_1000	マメパトを目覚めさせる方法を\n探し出してくれ
A0_1170_BUTLER_100_2000	たのんだよ　探偵くん！
A0_1210_TABUNNE_100_1000	……タブンネ？
A0_1210_PIKACHU_100_1000	おまえ　ツーンとイイニオイについて\n心当たりはないか？
A0_1210_TABUNNE_100_2000	タブンネ……
A0_1210_PIKACHU_100_2000	そうか　わからないか
A0_1215_MAMEPATO04_100_1000	プルッポー♪
A0_1215_PIKACHU_100_1000	このニオイ　大好き♪　か
A0_1215_PIKACHU_100_2000	ん？　このニオイ大好きって　まさか？
A0_1225_MAMEPATO05_100_1000	プルッポー　プルッポー♪
A0_1225_PIKACHU_100_1000	ツーンとイイニオイ　眠けスッキリー♪
A0_1225_PIKACHU_100_2000	もしかして\nこいつらが集まっているのって？
A0_1240_FREFUWAN_100_1000	フ～レ？
A0_1240_PIKACHU_100_1000	フレフワンだ\nなんで　マメパトに囲まれてるんだ？
A0_1240_FREFUWAN_100_2000	フ～レ
A0_1240_PIKACHU_100_2000	ここに来ると　なぜかマメパトたちに\nつきまとわれるの　だってさ
A0_1240_TIM_100_1000	マメパトが　フレフワンに\nつきまとってる？
A0_1240_MAMEPATO04_100_1000	プルッポー♪
A0_1240_PIKACHU_100_3000	あのニオイ出して♪　だと？
A0_1240_MAMEPATO05_100_1000	プルッポー　プルッポー♪
A0_1240_PIKACHU_100_4000	イイニオイ　早く　早く？
A0_1240_FREFUWAN_100_3000	フレ　フーレ！
A0_1240_PIKACHU_100_5000	もう　なんなの　この子たち！\n……だってさ
A0_1240_PIKACHU_100_6000	どうも　マメパトは　フレフワンの出す\nニオイに　ひかれているようだな
A0_1240_PIKACHU_100_7000	ってことは　フレフワンなら\nマメパトの目を覚ますことができるかもな
A0_1240_TIM_100_2000	そうだね　ピカチュウ\nフレフワンにお願いしてよ！
A0_1240_PIKACHU_100_8000	え～と　フレフワン　ひとつ\nおまえのちからを借りたいんだが……
A0_1240_FREFUWAN_100_4000	フ～レ
A0_1240_PIKACHU_100_9000	つきまとっているマメパトを\nどかしてくれたら　ちからを貸すわよってさ
A0_1240_PIKACHU_100_10000	そうか　じゃあマメパトたちに伝えないと
A0_1240_PIKACHU_100_11000	話が通じるといいが……
A0_1240_FREFUWAN_200_1000	フ～レ
A0_1240_PIKACHU_200_1000	つきまとっているマメパトを\nどかしてくれたら　手伝うってさ
A0_1240_PIKACHU_200_2000	ここにいるマメパトたちに\n話が通じるといいが……
A0_1240_TIM_200_1000	とりあえず　話してみてよ
A0_1242_MAMEPATO04_100_1000	プルッポー♪
A0_1242_PIKACHU_100_1000	おまえたち　すまないが\n別の場所に移動してくれないか？
A0_1242_MAMEPATO04_100_2000	……♪
A0_1242_PIKACHU_100_2000	ニオイをかいでウットリしてるんじゃない！\nおまえらの仲間を助けるためなんだ
A0_1242_PIKACHU_100_3000	おい　おまえら！　フレフワンが別の場所で\nイイニオイを　たくさん出してくれるぞ！
A0_1242_MAMEPATO04_100_3000	プルッポー♪
A0_1242_PIKACHU_100_4000	イイニオイたくさん？　わかった～　だとさ
A0_1242_TIM_100_1000	移動してくれるんだね　よかった！
A0_1244_MAMEPATO05_100_1000	プルッポー♪
A0_1244_PIKACHU_100_1000	おまえたち　すまないが\n別の場所に移動してくれないか？
A0_1244_MAMEPATO05_100_2000	……♪
A0_1244_PIKACHU_100_2000	ニオイをかいでウットリしてるんじゃない！\nおまえらの仲間を助けるためなんだ
A0_1244_PIKACHU_100_3000	おい　おまえら！　フレフワンが別の場所で\nイイニオイを　たくさん出してくれるぞ！
A0_1244_MAMEPATO05_100_3000	プルッポー♪
A0_1244_PIKACHU_100_4000	イイニオイたくさん？　わかった～　だとさ
A0_1244_TIM_100_1000	移動してくれるんだね　よかった！
A0_1246_TIM_100_2000	これで　フレフワンも協力してくれるね！
A0_1248_FREFUWAN_100_1000	フ～レ
A0_1248_PIKACHU_100_1000	マメパトをどかしてくれて　ありがとう\nなんでも手伝うわ　だってさ
A0_1248_TIM_100_1000	やったね！　じゃあ　フレフワンと\nいっしょに広場にもどろう！
A0_1252_MAMEPATO02_100_1000	……
A0_1252_TIM_100_1000	待っててね　マメパト！
A0_1254_MAMEPATO03_100_1000	プルッポー♪
A0_1254_PIKACHU_100_1000	そうか\nおまえたちも仲間を心配してるんだな
A0_1270_PIKACHU_300_1000	マメパトが目を覚まさなかったら\nおまえのちからを貸してくれ
A0_1270_COIL_300_1000	ルルル！
A0_1270_PIKACHU_400_1000	コイルだ　こいつが　ビリッとやれば\nマメパトも目を覚ますんじゃ……
A0_1270_TIM_400_1000	ピカチュウは　わざを出せないから\nコイルに　たのむしかないもんね
A0_1270_PIKACHU_400_2000	それを言うなよ　わざを出したくても\n出せないのは　ティムも知ってるだろ
A0_1270_COIL_400_1000	ルルル？
A0_1270_PIKACHU_400_3000	困ってるのかって？\nマメパトが目を覚まさないんだよ
A0_1270_PIKACHU_400_4000	少々荒療治だが　おまえの電気で\nビリッとやれば目を覚ますかと思ってな
A0_1270_COIL_400_2000	ルルル！
A0_1270_PIKACHU_400_5000	手伝ってくれるのか？　ありがとう
A0_1270_PIKACHU_400_6000	もし　どうやっても目を覚まさなかったら\nおまえのちからを貸してくれよな
A0_1270_COIL_400_3000	ルルル！
A0_1290_NATIO_300_1000	ティオ
A0_1290_PIKACHU_300_1000	日光浴中は静かに　だってさ
A0_1290_PIKACHU_300_2000	ほかをあたってみよう
A0_1290_PIKACHU_400_1000	ネイティオだ
A0_1290_PIKACHU_400_2000	こいつは　どこを見ているかも\nなにを考えているかも　わからんが
A0_1290_PIKACHU_400_3000	こういうヤツこそ　スゴイなにかを\n知っているかもしれん！
A0_1290_TIM_400_1000	そ　そうなのかな……　じゃあ\nマメパトを起こす方法とか　聞いてみてよ
A0_1290_PIKACHU_400_4000	まかせとけ　おーい　ネイティオ
A0_1290_NATIO_400_1000	……
A0_1290_PIKACHU_400_5000	聞こえないのか？　おーーーい
A0_1290_NATIO_400_2000	……
A0_1290_TIM_400_2000	どうしたんだろう　なにも言わないね
A0_1290_NATIO_400_3000	……ティオ
A0_1290_PIKACHU_400_6000	……日光浴中は静かに　だってさ
A0_1290_TIM_400_3000	この状況で　すごい冷静だね
A0_1290_PIKACHU_400_7000	……ほかをあたってみよう
A0_1391_PIKACHU_100_1000	なあ　ティム？
A0_1391_PIKACHU_100_2000	ちょっと　いいか？
A0_1392_PIKACHU_100_1000	いいか　ティム
A0_1392_PIKACHU_100_2000	もし　調査中に　困ったことがあれば\nいまみたいに　オレを呼んでくれ
A0_1392_PIKACHU_100_3000	まわりの人間に気づかれないように\nオレの考えを　アドバイスするからな
A0_1392_PIKACHU_100_4000	もちろん　自力で考えるのも　いいんだが
A0_1392_PIKACHU_100_5000	あまり根を詰めすぎず　休憩したり\n振り返ったりすることも大事だぞ
A0_1392_PIKACHU_100_6000	よし　行くぞ！
A0_1393_PIKACHU_100_1000	移動する前に　<color=#F39800FF>オレを呼んでくれ</color>
A0_1560_PIKACHU_100_1000	フレフワン　このマメパトだ\n助けてやってくれ！
A0_1560_FREFUWAN_100_1000	レッフーウ！
A0_1572_BUTLER_100_1000	おお　マメパトが！
A0_1572_TABUNNE_100_1000	タブンネ！　タブンネ！！
A0_1572_PIKACHU_100_1000	フレフワンが出したニオイ\nたしかに　イイニオイだが……
A0_1572_TIM_100_1000	強めの……　香水みたいな感じ……　だね
A0_1572_PIKACHU_100_2000	マメパトの　好みは　わからんな
A0_1572_MAMEPATO03_100_1000	プルッポー♪
A0_1572_MAMEPATO04_100_1000	プルッポー♪♪
A0_1572_MAMEPATO05_100_1000	プルッポー♪♪♪
A0_1572_PIKACHU_100_3000	おまえたち　よかったな
A0_1572_FREFUWAN_100_1000	フ～レ
A0_1572_PIKACHU_100_4000	ああ　おまえのおかげだ　フレフワン\nありがとうな
A0_1574_BUTLER_100_1000	さすが探偵くん！\nマメパトは　すっかり元気だ　ありがとう！
A0_1574_BUTLER_100_2000	街のポケモンに手伝ってもらうとは\n考え付かなかったよ
A0_1574_PIKACHU_100_1000	……そういや　このデカイ男は\n警察官から　局長と呼ばれていたな
A0_1574_TIM_100_1000	なぜ　局長と呼ばれているんだろう？
A0_1574_PIKACHU_100_2000	ティム　聞いてみてくれ
A0_1574_SEL_0_1000	バトラー局長について
A0_1574_SEL_0_2000	保護局について
A0_1574_BUTLER_300_1000	あらためて　わたしはポケモン保護局の局長\nバトラーだ
A0_1574_TIM_300_1000	ポケモン保護局？
A0_1574_BUTLER_300_2000	ライムシティに住むポケモンたちを\n守る組織……
A0_1574_BUTLER_300_3000	それが「ポケモン保護局」だ
A0_1574_PIKACHU_300_1000	ポケモンを守る警察みたいなものか？
A0_1574_TIM_300_2000	そんな組織があったなんて
A0_1574_BUTLER_300_4000	正式な活動を開始したばかりでね
A0_1574_BUTLER_300_5000	いまはライム警察署にオフィスを借りていて\n警察と協力して活動しているんだ
A0_1574_BUTLER_300_6000	今日は　警備の一環で　出動したんだが\nこのありさまだ
A0_1574_BUTLER_300_7000	まったく　わたしがついていながら……\nお恥ずかしいかぎりだよ
A0_1574_BUTLER_400_1000	設立のきっかけは　２年前\nキミたちが解決した　あのＲ事件だ
A0_1574_BUTLER_400_2000	あのとき　街のあちこちで\n騒ぎや事故が起こっただろう？
A0_1574_BUTLER_400_3000	ライムシティの市民も　ポケモンも\n大きな被害を受けた
A0_1574_PIKACHU_400_1000	……
A0_1574_BUTLER_400_4000	ハワード市長は　とても心を痛めてね\n対策として　ポケモン保護局を設立したんだ
A0_1574_BUTLER_400_5000	Ｒ事件のような　ポケモンにまつわる犯罪が\n二度と起こらないようにする
A0_1574_BUTLER_400_6000	そのために　つくられたのが\nポケモン保護局なんだ
A0_1574_TIM_400_1000	それは　警察の仕事では？
A0_1574_BUTLER_400_7000	……ここ数年　ライムシティの\n事件や事故が増えていてね
A0_1574_BUTLER_400_8000	警察はポケモンの事件まで\n手がまわらなくなってしまったんだ
A0_1574_BUTLER_400_9000	警察はライムシティの住民を守り\n保護局はポケモンを守る
A0_1574_BUTLER_400_10000	そうした役割分担が\n必要になったということだ
A0_1574_TIM_400_2000	なるほど　ライムシティらしい！\nそれが　設立の理由なんですね
A0_1574_PIKACHU_400_2000	ハワードは　ポケモンたちのことを\nちゃんと　考えてくれているんだな
A0_1576_BUTLER_100_1000	そういえば　探偵くん
A0_1576_BUTLER_100_2000	キミたちの調査を見ていて\n気づいたのだが……
A0_1576_BUTLER_100_3000	キミは　調査をしながら　ピカチュウに\n説明してあげているのかね？
A0_1576_TIM_100_1000	えっ！？
A0_1576_BUTLER_100_4000	話しかけたところで　ピカチュウが\n理解するとは思えんのだが
A0_1576_BUTLER_100_5000	まさか　キミとピカチュウは……
A0_1576_TIM_100_2000	えっと　話すというか\n相談　じゃなくて　その……
A0_1576_BUTLER_100_6000	そうか！
A0_1576_BUTLER_100_7000	ピカチュウに話すことで　探偵くん自身の\n考えをまとめているんだな？
A0_1576_BUTLER_100_8000	おもしろい推理方法だ　ワッハッハ！
A0_1576_TIM_100_3000	そ　そんなところです！
A0_1578_PIKACHU_100_1000	まあ　オレとティムは　なぜか\n会話ができるんだけどな
A0_1578_TIM_100_1000	……ビックリしたよ\n話せることが　バレたのかと思った
A0_1578_PIKACHU_100_2000	気を付けろよ　オレとおまえが話せるなんて\n普通は信じてもらえないだろうからな
A0_1580_OKPOLICEMAN01_100_1000	わあっ！？
A0_1580_TIM_100_1000	あっ！
A0_1584_TIM_100_1000	アーマーガアが　また！
A0_1584_PIKACHU_100_1000	おーい　オレの帽子を返しやがれー！
A0_1586_TIM_100_1000	局長さんたち　アーマーガアを\nパトカーで追いかけて行ったね
A0_1586_PIKACHU_100_1000	アーマーガアは　オレの帽子を\n持ってるはずだ
A0_1586_PIKACHU_100_2000	オレたちも追いかけようぜ！
A0_1590_SECRETANASSY_100_1000	ナーーーーッシーーーー！！
A0_1590_SECRETKAJICCHU01_100_1000	カジッ！
A0_1590_TIM_100_1000	ポケモンの声だ！\n飛んで行った方から聞こえたよ！？
A0_1590_PIKACHU_100_1000	行ってみよう！
A0_1592_FREFUWAN_100_1000	フ～レ……
A0_1592_PIKACHU_100_1000	ピカチュウに言われて\nちからを貸してあげたのに……？
A0_1592_FREFUWAN_100_2000	フレフーレ！
A0_1592_PIKACHU_100_2000	つきまとうマメパトが\n２匹から５匹に増えた？
A0_1592_PIKACHU_100_3000	どうしてくれるのよ！　だってさ
A0_1592_TIM_100_1000	ご　ごめんよ　フレフワン
A0_1592_PIKACHU_100_4000	いや　申し訳ない\nマメパトに悪気はないんだ……
A0_1594_COIL_100_1000	ルルル？
A0_1594_PIKACHU_100_1000	逃げないのかって？　アーマーガアから\n帽子を取りもどしたいからな
A0_1594_COIL_100_2000	ルルル
A0_1594_PIKACHU_100_2000	心配してくれて　ありがとうな\nおまえも気をつけろよ
A0_1596_NATIO_100_1000	ティオ
A0_1596_PIKACHU_100_1000	……あわてるな　だってさ
A0_1596_TIM_100_1000	この状況で　すごい冷静だね
A0_1600_TIM_100_1000	あっ！？
A0_1600_TIM_100_2000	ピカチュウ　見て！
A0_1600_PIKACHU_100_1000	リンゴが散らばってるぞ　ひどいな……
A0_1615_TIM_100_1000	これは……　木が生えてる？
A0_1615_PIKACHU_100_1000	こんなところに……？
A0_1615_TIM_100_2000	おかしいとは思うけど　でも　ほら
A0_1615_PIKACHU_100_2000	うーん　どう見ても不自然だな……
A0_1640_KAJICCHU02_100_1000	カジッ……
A0_1640_PIKACHU_100_1000	カジッチュか　ここにいたら危ないぞ\nどこかに避難するんだ
A0_1640_KAJICCHU02_100_2000	カジッ……
A0_1640_TIM_100_1000	なんだか　様子がおかしいね\nここを　離れたくないのかな
A0_1640_PIKACHU_100_2000	話を聞いてみるか
A0_1640_PIKACHU_200_1000	カジッチュ　話を聞かせてくれないか？
A0_1640_KAJICCHU02_200_1000	カジッ……
A0_1640_SEL_0_1000	カジッチュについて
A0_1640_SEL_0_2000	ここで　なにがあった？
A0_1640_PIKACHU_300_1000	おまえ　この街では見ないポケモンだな\nどこから来た？
A0_1640_KAJICCHU02_300_1000	カジカジッ
A0_1640_PIKACHU_300_2000	木箱の中で眠っていて\n目が覚めると　いつも知らない場所なんだと
A0_1640_TIM_300_1000	カジッチュは　リンゴ屋さんの行商に\nついて行ってるんだね
A0_1640_PIKACHU_300_3000	リンゴ屋は　おそらく\nこいつらのこと知らないんだろうな
A0_1640_KAJICCHU02_300_2000	カジッ
A0_1640_PIKACHU_300_4000	今日は　いきなり揺れて目が覚めたらしい
A0_1640_TIM_300_2000	おそらく　アーマーガアのせいだね\n木箱が散乱してるのも
A0_1640_PIKACHU_300_5000	リンゴ屋が見当たらないが\n避難しちまったみたいだな
A0_1640_KAJICCHU02_400_1000	カジカジッ……
A0_1640_PIKACHU_400_1000	木箱が揺れて　外に放り出された後\n仲間がいないことに　気づいたそうだ
A0_1640_TIM_400_1000	仲間と　はぐれちゃったの？\n捜してあげようよ
A0_1640_PIKACHU_400_2000	そうだな\nおまえの仲間は何匹いるんだ？
A0_1640_KAJICCHU02_400_2000	カジッ
A0_1640_PIKACHU_400_3000	２匹か　よし　わかった
A0_1650_PIKACHU_100_1000	カジッチュの話で　状況がわかったな
A0_1650_PIKACHU_100_2000	オレの帽子を持って行ったアーマーガアを\n追いかけたいところだが……
A0_1650_TIM_100_1000	困っているポケモンは見過ごせないよね
A0_1650_PIKACHU_100_3000	その通り！　助けてこそ名探偵だ
A0_1650_TIM_100_2000	じゃあ　そこの　散らばったリンゴを\n<color=#F39800FF>現場検証</color>で　調べてみようよ
A0_1650_PIKACHU_100_4000	そうしたいが　そこの木がじゃまだな
A0_1650_PIKACHU_100_5000	あの木　なんか不自然なんだよな\nまずは木を調べてみよう
A0_1652_TIM_100_1000	この木が　現場検証のじゃまだね\nどうしよう
A0_1652_PIKACHU_100_1000	そうだなぁ\n切り倒すわけにもいかんし
A0_1652_SECRETANASSY_100_1000	ナ～ッシ～\nナ～ッシ～\nナ～ッシ～
A0_1654_PIKACHU_100_1000	なんだ\nアローラ地方のナッシーじゃないか！
A0_1654_TIM_100_1000	初めて見るから　わからなかったよ……\nなんで　ライムシティにいるんだろう
A0_1654_PIKACHU_100_2000	どいてもらわないと　調べられんからな\nお願いついでに　本人に聞いてみるとするか
A0_1654_PIKACHU_100_3000	おーい　ナッシー！　ここだ\n足もとを見てくれ！　おーーーい！！
A0_1654_ANASSY_100_1000	ナッシー\nナッシー\nナッシー
A0_1654_PIKACHU_100_4000	うわっ！？　３つ同時にしゃべるとは……
A0_1654_PIKACHU_100_5000	あのな　ナッシーーー！\n指名したヤツだけ　しゃべってくれ！
A0_1654_ANASSY_100_2000	ナッシー\nナッシー\nナッシー
A0_1654_PIKACHU_100_6000	うわっ\n指名し忘れた！
A0_1654_ANASSY_200_1000	ナッシー\nナッシー\nナッシー
A0_1654_PIKACHU_200_1000	ちょっと　話を　聞かせてくれーー！\n指名したヤツだけ　しゃべってくれ！
A0_1654_SEL_0_1000	ナッシーについて
A0_1654_SEL_0_2000	ここで　なにがあった？
A0_1654_PIKACHU_300_1000	えーっと　真ん中のナッシー！
A0_1654_PIKACHU_300_2000	おまえは　なんで　ここにいるんだー？？
A0_1654_ANASSY_300_1000	ナッシー
A0_1654_PIKACHU_300_3000	行商のリンゴ屋といっしょに\n各地をまわってるらしい
A0_1654_TIM_300_1000	それで　ライムシティに来ていたんだ
A0_1654_PIKACHU_400_1000	おい　右のナッシー！\nここで　なにがあったのか教えてくれー！
A0_1654_ANASSY_400_1000	ナッシー
A0_1654_PIKACHU_400_2000	飛んできたアーマーガアが　ナッシーを\nよけるときに　屋台にぶつかったそうだ
A0_1654_TIM_400_1000	思った通りだったね
A0_1654_PIKACHU_400_3000	そうだ　帽子を見なかったか？\nアーマーガアに持ってかれちまったんだ
A0_1654_ANASSY_400_2000	ナッシー
A0_1654_PIKACHU_400_4000	突然のことで　わからないか……\nまあ　そうだよな
A0_1655_PIKACHU_100_1000	あのなー　左のナッシー！　たのみがある！
A0_1655_ANASSY_100_1000	ナッシー
A0_1655_PIKACHU_100_2000	ここに　散らばってるリンゴを\n調べたいんだ
A0_1655_PIKACHU_100_3000	すまんが　ちょっと　どいてくれないかー？
A0_1655_ANASSY_100_2000	ナッシー
A0_1657_TIM_100_1000	よかった\n移動してくれたね
A0_1657_PIKACHU_100_1000	これで　現場検証ができるな
A0_1660_TIM_100_1000	ここが　リンゴが散らばった　現場だね
A0_1660_PIKACHU_100_1000	さっそく　現場検証だ
A0_1670_PIKACHU_100_1000	捜すものは　覚えてるか？
A0_1670_TIM_100_1000	２匹のカジッチュだね
A0_1670_PIKACHU_100_2000	そうだ\nリンゴがたくさんだからな　見落とすなよ？
A0_1680_PIKACHU_5000_1000	まだ調べてないところが\nあるんじゃないか？
A0_1685_PIKACHU_100_1000	うまいぞ　このリンゴ\nティム　おまえも食うか？
A0_1685_PIKACHU_100_2000	お代は　よろしく！
A0_1690_TIM_100_1000	リンゴの木箱だ\nカジッチュは　いないみたいだね
A0_1710_PIKACHU_100_1000	オレの帽子だ！
A0_1710_TIM_100_1000	アーマーガアは　帽子を落としてたんだ！
A0_1710_PIKACHU_100_2000	さっきまで　ここには無かった気がするが\nまあ　見つかってよかった
A0_1715_PIKACHU_100_1000	リンゴが　散らばってるな
A0_1715_TIM_100_1000	カジッチュ……　見当たらないね
A0_1715_PIKACHU_100_2000	こうなっちまったら　このリンゴは　もう\nジュースかジャムにするしか　ないだろうな
A0_1715_PIKACHU_100_3000	オレはキズものでも　気にならねえがな
A0_1725_TIM_100_1000	見つけた！　カジッチュだよ！
A0_1725_KAJICCHU01_100_1000	カジッ
A0_1725_PIKACHU_100_1000	おまえ　ずっとそこで動かずに\nリンゴのふりをしてたのか
