A0.asset
A0_1023_PIKACHU_100_1000	钢铠鸦那家伙，\n把我的宝贝帽子给拿走了！
A0_1148_PIKACHU_100_8000	蒂姆，我们要开始久违的事件调查了。
A0_1148_PIKACHU_100_9000	豆豆鸽的伤已经治好了。
A0_1148_PIKACHU_100_10000	我们只需要找到让它醒过来的方法……
A0_1148_PIKACHU_100_11000	这或许是偶然吧……
A0_1148_PIKACHU_100_12000	但我们很久没有展开侦探工作了，\n就当这次事件是新手教学。
A0_1148_PIKACHU_100_13000	你不觉得这样很合适吗？
A0_1148_TIM_100_5000	确、确实挺合适……
A0_1148_PIKACHU_100_14000	就当是为了找回以前的感觉，\n我们仔细进行调查吧！
A0_1148_TIM_100_6000	嗯，我知道了！
A0_1148_PIKACHU_100_15000	好，接下来就要复习我们的调查方法了。
A0_1148_PIKACHU_100_16000	我来跟宝可梦交流，\n然后……蒂姆呢？
A0_1148_TIM_100_7000	嗯！我负责跟人类交流！
A0_1148_PIKACHU_100_17000	我们分别收集宝可梦和人类的\n证言与证据，借此来解决问题。
A0_1148_TIM_100_8000	这就是我们的做法。
A0_1148_PIKACHU_100_18000	没错。
A0_1148_TIM_100_9000	那就拜托你了，皮卡丘。
A0_1148_PIKACHU_100_19000	好！我们开始吧！
A0_1148_PIKACHU_100_20000	喂～那边的豆豆鸽们！
A0_1148_PIKACHU_100_21000	晕倒的豆豆鸽是你们的伙伴吗？\n我有些事想问问你们。
A0_1148_MAMEPATO03_100_1000	豆豆～
A0_1148_PIKACHU_100_22000	它们说“伙伴睡着了不醒来～”。
A0_1148_TIM_100_10000	它们以为晕倒的豆豆鸽\n是在睡觉？
A0_1148_MAMEPATO03_100_2000	豆豆～♪
A0_1148_PIKACHU_100_23000	“我好喜欢那个味道♪”？\n怎么突然提起这个啊？
A0_1148_MAMEPATO03_100_3000	豆豆～豆豆～♪
A0_1148_PIKACHU_100_24000	“醒神气味，驱散睡意，神清气爽～♪”
A0_1148_PIKACHU_100_25000	伙伴都晕过去了还这么不上心，\n比起味道还是多担心你的伙伴吧。
A0_1148_TIM_100_11000	豆豆鸽它们\n有很喜欢的味道啊。
A0_1148_PIKACHU_100_26000	能问到的就只有这些啊……\n再去问问其他家伙吧。
A0_1150_PIKACHU_100_1000	那边好像被封锁了，\n就别过去了吧。
A0_1160_PIKACHU_100_1000	那边好像被封锁了，\n就别过去了吧。
A0_1170_BUTLER_100_1000	麻烦你们找出\n能让豆豆鸽醒来的方法吧！
A0_1170_BUTLER_100_2000	拜托你了，侦探！
A0_1210_TABUNNE_100_1000	……差不多？
A0_1210_PIKACHU_100_1000	你知道有什么香味比较醒神吗？
A0_1210_TABUNNE_100_2000	差不多……
A0_1210_PIKACHU_100_2000	是吗，你也不知道啊。
A0_1215_MAMEPATO04_100_1000	豆豆～♪
A0_1215_PIKACHU_100_1000	“我最喜欢这个味道了♪”啊。
A0_1215_PIKACHU_100_2000	嗯？你说最喜欢这味道，该不会是……
A0_1225_MAMEPATO05_100_1000	豆豆～豆豆～♪
A0_1225_PIKACHU_100_1000	“醒神气味，驱散睡意，神清气爽～♪”
A0_1225_PIKACHU_100_2000	莫非它们围在这里是因为……
A0_1240_FREFUWAN_100_1000	芳～香？
A0_1240_PIKACHU_100_1000	是芳香精啊，\n为什么豆豆鸽会围着你啊？
A0_1240_FREFUWAN_100_2000	芳～香。
A0_1240_PIKACHU_100_2000	它说自己也不清楚，\n一来这里就被豆豆鸽包围了。
A0_1240_TIM_100_1000	豆豆鸽缠着芳香精？
A0_1240_MAMEPATO04_100_1000	豆豆～♪
A0_1240_PIKACHU_100_3000	快散发出那种味道来吧♪？
A0_1240_MAMEPATO05_100_1000	豆豆～豆豆～♪
A0_1240_PIKACHU_100_4000	那种香味，快点，快点？
A0_1240_FREFUWAN_100_3000	芳香，芳～香！
A0_1240_PIKACHU_100_5000	“这些豆豆鸽到底怎么回事！”\n……它这么说。
A0_1240_PIKACHU_100_6000	看来豆豆鸽很喜欢\n芳香精散发出的味道啊。
A0_1240_PIKACHU_100_7000	也就是说，\n芳香精或许能让豆豆鸽醒过来。
A0_1240_TIM_100_2000	没错，皮卡丘，\n我们拜托芳香精帮忙吧！
A0_1240_PIKACHU_100_8000	唔……芳香精，\n你能帮我们一个忙吗……
A0_1240_FREFUWAN_100_4000	芳～香。
A0_1240_PIKACHU_100_9000	它说如果我们能赶走缠着它的豆豆鸽，\n它就愿意帮我们。
A0_1240_PIKACHU_100_10000	是吗，那我们得跟豆豆鸽它们说一声。
A0_1240_PIKACHU_100_11000	希望它们能听劝……
A0_1240_FREFUWAN_200_1000	芳～香。
A0_1240_PIKACHU_200_1000	它说如果我们能赶走缠着它的豆豆鸽，\n它就会帮忙。
A0_1240_PIKACHU_200_2000	如果这些豆豆鸽\n能听劝就好了……
A0_1240_TIM_200_1000	总之跟它们聊聊看吧。
A0_1242_MAMEPATO04_100_1000	豆豆♪
A0_1242_PIKACHU_100_1000	不好意思啊，\n能麻烦你们去别的地方吗？
A0_1242_MAMEPATO04_100_2000	……♪
A0_1242_PIKACHU_100_2000	别闻得那么入迷啊！\n这可是为了帮助你们的伙伴！
A0_1242_PIKACHU_100_3000	喂，你们听好了！芳香精会在别的地方\n散发浓郁的香味哦！
A0_1242_MAMEPATO04_100_3000	豆豆♪
A0_1242_PIKACHU_100_4000	它们说，“浓郁香味？知道啦～”
A0_1242_TIM_100_1000	它们愿意走开了，太好了！
A0_1244_MAMEPATO05_100_1000	豆豆♪
A0_1244_PIKACHU_100_1000	不好意思啊，\n能麻烦你们去别的地方吗？
A0_1244_MAMEPATO05_100_2000	……♪
A0_1244_PIKACHU_100_2000	别闻得那么入迷啊！\n这可是为了帮助你们的伙伴！
A0_1244_PIKACHU_100_3000	喂，你们听好了！芳香精会在别的地方\n散发浓郁的香味哦！
A0_1244_MAMEPATO05_100_3000	豆豆♪
A0_1244_PIKACHU_100_4000	它们说，“浓郁香味？知道啦～”
A0_1244_TIM_100_1000	它们愿意走开了，太好了！
A0_1246_TIM_100_2000	这样一来芳香精也能帮我们了！
A0_1248_FREFUWAN_100_1000	芳～香。
A0_1248_PIKACHU_100_1000	它说谢谢我们帮它赶走豆豆鸽，\n现在愿意帮我们做任何事。
A0_1248_TIM_100_1000	太好了！那我们就和芳香精\n一起回广场吧！
A0_1252_MAMEPATO02_100_1000	……
A0_1252_TIM_100_1000	你等一下哦，豆豆鸽！
A0_1254_MAMEPATO03_100_1000	豆豆♪
A0_1254_PIKACHU_100_1000	是吗，\n你们也很担心伙伴啊。
A0_1270_PIKACHU_300_1000	豆豆鸽一直没能醒过来，\n拜托你帮帮它吧。
A0_1270_COIL_300_1000	磁磁磁！
A0_1270_PIKACHU_400_1000	是小磁怪，让它电一下的话，\n是不是就能让豆豆鸽醒过来……
A0_1270_TIM_400_1000	皮卡丘你没办法使用招式，\n只能拜托小磁怪了。
A0_1270_PIKACHU_400_2000	别这么说啊，\n我是有心无力，蒂姆你也清楚的吧？
A0_1270_COIL_400_1000	磁磁磁？
A0_1270_PIKACHU_400_3000	你问我们是不是有什么麻烦？\n是这样的，豆豆鸽一直醒不过来。
A0_1270_PIKACHU_400_4000	这种治疗方法可能有些过激……\n但我们想着能不能让你电醒它。
A0_1270_COIL_400_2000	磁磁磁！
A0_1270_PIKACHU_400_5000	你愿意来帮忙？谢谢你。
A0_1270_PIKACHU_400_6000	如果无论如何它都醒不过来，\n你会来帮忙的，对吧？
A0_1270_COIL_400_3000	磁磁磁！
A0_1290_NATIO_300_1000	天然。
A0_1290_PIKACHU_300_1000	它说它在晒日光浴，让我们安静点。
A0_1290_PIKACHU_300_2000	去找找其他宝可梦吧。
A0_1290_PIKACHU_400_1000	是天然鸟。
A0_1290_PIKACHU_400_2000	也不知道它到底在看哪里，\n更不清楚它到底在想什么。
A0_1290_PIKACHU_400_3000	可越是这种家伙\n就越有可能知道一些惊人线索！
A0_1290_TIM_400_1000	是、是吗……那你去问问它\n有没有叫醒豆豆鸽的方法吧。
A0_1290_PIKACHU_400_4000	包在我身上啦！喂～天然鸟。
A0_1290_NATIO_400_1000	……
A0_1290_PIKACHU_400_5000	你听不见吗？喂～～～
A0_1290_NATIO_400_2000	……
A0_1290_TIM_400_2000	怎么回事，它一言不发啊。
A0_1290_NATIO_400_3000	……天然。
A0_1290_PIKACHU_400_6000	……它说它在晒日光浴，让我们安静点。
A0_1290_TIM_400_3000	在这种情况下还能这么冷静啊。
A0_1290_PIKACHU_400_7000	……我们还是去找找其他线索吧。
A0_1391_PIKACHU_100_1000	对了，蒂姆？
A0_1391_PIKACHU_100_2000	有空听我说几句话吗？
A0_1392_PIKACHU_100_1000	听好了，蒂姆。
A0_1392_PIKACHU_100_2000	如果在调查的时候遇到了困难，\n就像现在这样叫我一声吧。
A0_1392_PIKACHU_100_3000	我会偷偷跟你说我的建议，\n不会让周围的人听见的。
A0_1392_PIKACHU_100_4000	当然了，你也可以自己思考。
A0_1392_PIKACHU_100_5000	不过也不用过于专注，适当休息，\n回想一下之前的信息也很重要。
A0_1392_PIKACHU_100_6000	好，我们走吧！
A0_1393_PIKACHU_100_1000	在走之前<color=#F39800FF>记得喊我一声</color>。
A0_1560_PIKACHU_100_1000	芳香精，就是这只豆豆鸽，\n你快帮帮它吧！
A0_1560_FREFUWAN_100_1000	香～香！
A0_1572_BUTLER_100_1000	啊，豆豆鸽它……！
A0_1572_TABUNNE_100_1000	差不多！差不多！！
A0_1572_PIKACHU_100_1000	芳香精散发出来的味道\n确实很好闻，只是……
A0_1572_TIM_100_1000	闻起来像是……气味很强的……香水。
A0_1572_PIKACHU_100_2000	真是搞不懂豆豆鸽的喜好啊。
A0_1572_MAMEPATO03_100_1000	豆豆～♪
A0_1572_MAMEPATO04_100_1000	豆豆～♪♪
A0_1572_MAMEPATO05_100_1000	豆豆～♪♪♪
A0_1572_PIKACHU_100_3000	真是太好了。
A0_1572_FREFUWAN_100_1000	芳～香。
A0_1572_PIKACHU_100_4000	嗯，芳香精，这都是你的功劳，\n谢谢你。
A0_1574_BUTLER_100_1000	不愧是侦探！\n豆豆鸽已经恢复精神了，谢谢你！
A0_1574_BUTLER_100_2000	我都没想到\n可以找附近的宝可梦来帮忙。
A0_1574_PIKACHU_100_1000	……说起来，\n警察管这个大块头叫局长吧？
A0_1574_TIM_100_1000	为什么叫他局长呢？
A0_1574_PIKACHU_100_2000	蒂姆，你去问问看。
A0_1574_SEL_0_1000	关于巴特勒局长
A0_1574_SEL_0_2000	关于保护局
A0_1574_BUTLER_300_1000	重新自我介绍一下，\n我是宝可梦保护局的局长，名叫巴特勒。
A0_1574_TIM_300_1000	宝可梦保护局？
A0_1574_BUTLER_300_2000	保护住在莱姆市的\n宝可梦的组织……
A0_1574_BUTLER_300_3000	就是所谓的“宝可梦保护局”。
A0_1574_PIKACHU_300_1000	类似于保护宝可梦的警察吗？
A0_1574_TIM_300_2000	居然还有这种组织啊。
A0_1574_BUTLER_300_4000	我们才刚开始进行正式活动呢。
A0_1574_BUTLER_300_5000	现在正借用莱姆警察局的办公室，\n与警察合作来进行勤务。
A0_1574_BUTLER_300_6000	今天这次出动也是警备任务的一环，\n只是没想到会发生这种事。
A0_1574_BUTLER_300_7000	唉，明明有我在，还会变成这样……\n真是太丢人了。
A0_1574_BUTLER_400_1000	设立保护局的契机，就是两年前\n你们解决的那起Ｒ事件。
A0_1574_BUTLER_400_2000	当时城市里到处\n都发生了骚动和事故吧？
A0_1574_BUTLER_400_3000	莱姆市的市民和宝可梦\n都受到了很大的伤害。
A0_1574_PIKACHU_400_1000	……
A0_1574_BUTLER_400_4000	霍华德市长对此很痛心，\n所以作为对策，设立了宝可梦保护局。
A0_1574_BUTLER_400_5000	杜绝像Ｒ事件那样的\n宝可梦犯罪再次发生……
A0_1574_BUTLER_400_6000	这就是宝可梦保护局创办的初衷。
A0_1574_TIM_400_1000	那不是警察的工作吗？
A0_1574_BUTLER_400_7000	……最近这几年，\n莱姆市的事件与事故都有所增加。
A0_1574_BUTLER_400_8000	警察已经忙得顾不上\n处理宝可梦相关的事件了。
A0_1574_BUTLER_400_9000	警察负责莱姆市市民的安全，\n而保护局就保护宝可梦。
A0_1574_BUTLER_400_10000	这样的职责分担\n也成为了必要之举。
A0_1574_TIM_400_2000	原来如此啊，真有莱姆市的风格！\n这就是设立保护局的理由啊。
A0_1574_PIKACHU_400_2000	霍华德他在好好地\n为宝可梦们着想啊。
A0_1576_BUTLER_100_1000	对了，侦探。
A0_1576_BUTLER_100_2000	我在观察你们调查的时候\n注意到了一点……
A0_1576_BUTLER_100_3000	你是在一边调查，\n一边跟皮卡丘说明情况吗？
A0_1576_TIM_100_1000	咦！？
A0_1576_BUTLER_100_4000	就算你跟皮卡丘说话，\n我也不觉得它能听懂就是了……
A0_1576_BUTLER_100_5000	难道你和皮卡丘……
A0_1576_TIM_100_2000	呃，不是在跟它说话，\n更像是商量……啊不对，呃……
A0_1576_BUTLER_100_6000	是吗！
A0_1576_BUTLER_100_7000	你对皮卡丘说话，\n其实是在梳理你自己的想法吧？
A0_1576_BUTLER_100_8000	真是有意思的推理方法，哇哈哈！
A0_1576_TIM_100_3000	没、没错！
A0_1578_PIKACHU_100_1000	嗯……我也不知道为什么，\n只能跟蒂姆对话。
A0_1578_TIM_100_1000	吓我一跳……\n我还以为你会说话的事暴露了。
A0_1578_PIKACHU_100_2000	你要当心点哦，毕竟一般是不会有人相信\n我们之间能交流的。
A0_1580_OKPOLICEMAN01_100_1000	哇啊！？
A0_1580_TIM_100_1000	啊！
A0_1584_TIM_100_1000	钢铠鸦又来了！
A0_1584_PIKACHU_100_1000	喂～！把帽子还给我啊～！
A0_1586_TIM_100_1000	局长他们\n开警车去追赶钢铠鸦了。
A0_1586_PIKACHU_100_1000	我的帽子应该\n还在钢铠鸦那里。
A0_1586_PIKACHU_100_2000	我们也赶紧去追吧！
A0_1590_SECRETANASSY_100_1000	椰～～～～～椰～～～～！！
A0_1590_SECRETKAJICCHU01_100_1000	啃！
A0_1590_TIM_100_1000	宝可梦的声音！\n是从钢铠鸦飞去的方向传来的！？
A0_1590_PIKACHU_100_1000	我们去看看吧！
A0_1592_FREFUWAN_100_1000	芳～香……
A0_1592_PIKACHU_100_1000	我明明听了皮卡丘的话，\n帮助了你们……？
A0_1592_FREFUWAN_100_2000	芳香芳～香！
A0_1592_PIKACHU_100_2000	结果缠着自己的豆豆鸽\n从２只变成了５只？
A0_1592_PIKACHU_100_3000	它说“你要怎么补偿我！”
A0_1592_TIM_100_1000	真、真对不起啊，芳香精。
A0_1592_PIKACHU_100_4000	哎，真抱歉，\n豆豆鸽它们没有恶意的……
A0_1594_COIL_100_1000	磁磁磁？
A0_1594_PIKACHU_100_1000	你问我们为什么不逃？\n因为我们要把帽子拿回来啊。
A0_1594_COIL_100_2000	磁磁磁。
A0_1594_PIKACHU_100_2000	谢谢你为我担心，\n你自己也要小心哦。
A0_1596_NATIO_100_1000	天然。
A0_1596_PIKACHU_100_1000	……它让我们别慌张。
A0_1596_TIM_100_1000	在这种情况下还能这么冷静啊。
A0_1600_TIM_100_1000	啊！？
A0_1600_TIM_100_2000	皮卡丘，快看！
A0_1600_PIKACHU_100_1000	苹果掉了一地！太过分了……
A0_1615_TIM_100_1000	嗯……有一棵树长在这里？
A0_1615_PIKACHU_100_1000	在这种地方……？
A0_1615_TIM_100_2000	我也觉得挺奇怪的，可是你看。
A0_1615_PIKACHU_100_2000	唔～怎么看都不自然……
A0_1640_KAJICCHU02_100_1000	啃……
A0_1640_PIKACHU_100_1000	是啃果虫啊，你待在这里会很危险，\n快去避难吧。
A0_1640_KAJICCHU02_100_2000	啃……
A0_1640_TIM_100_1000	它看起来有点奇怪啊，\n是不想离开这里吗？
A0_1640_PIKACHU_100_2000	不如问问看吧。
A0_1640_PIKACHU_200_1000	啃果虫，能问你一些问题吗？
A0_1640_KAJICCHU02_200_1000	啃……
A0_1640_SEL_0_1000	关于啃果虫
A0_1640_SEL_0_2000	这里发生了什么？
A0_1640_PIKACHU_300_1000	我没在市里见过你这种宝可梦，\n你是从哪里来的？
A0_1640_KAJICCHU02_300_1000	啃啃。
A0_1640_PIKACHU_300_2000	它在木箱子里睡着了，\n一醒过来就发现自己来到了陌生的地方。
A0_1640_TIM_300_1000	苹果商到处做生意，\n啃果虫就一直跟着啊。
A0_1640_PIKACHU_300_3000	苹果商估计不知道\n还有这群家伙在吧。
A0_1640_KAJICCHU02_300_2000	啃。
A0_1640_PIKACHU_300_4000	它今天是被一阵突然的晃动给摇醒的。
A0_1640_TIM_300_2000	应该是钢铠鸦的缘故吧，\n木箱子也翻倒在地上了。
A0_1640_PIKACHU_300_5000	苹果商不在这里，\n应该是去避难了吧。
A0_1640_KAJICCHU02_400_1000	啃啃……
A0_1640_PIKACHU_400_1000	当时木箱晃了晃，自己掉了出来，\n之后它好像就发现伙伴们不见了。
A0_1640_TIM_400_1000	是跟伙伴走散了？\n我们来帮它找伙伴吧。
A0_1640_PIKACHU_400_2000	嗯，\n你的伙伴一共几只？
A0_1640_KAJICCHU02_400_2000	啃。
A0_1640_PIKACHU_400_3000	２只对吧，好，我知道了。
A0_1650_PIKACHU_100_1000	听了啃果虫的话，我们也掌握情况了。
A0_1650_PIKACHU_100_2000	我很想追上钢铠鸦\n拿回帽子，可是……
A0_1650_TIM_100_1000	遇上有困难的宝可梦，我也不能坐视不管。
A0_1650_PIKACHU_100_3000	没错！名侦探就该帮助大家。
A0_1650_TIM_100_2000	那就对散落在那边的苹果\n做个<color=#F39800FF>现场勘查</color>吧。
A0_1650_PIKACHU_100_4000	我也想这么做，可那边的树很碍事啊。
A0_1650_PIKACHU_100_5000	那棵树看起来好奇怪，\n先去调查一下那棵树吧。
A0_1652_TIM_100_1000	这棵树妨碍了现场勘查，\n该怎么办呢？
A0_1652_PIKACHU_100_1000	是啊，\n总不能砍倒它。
A0_1652_SECRETANASSY_100_1000	椰～椰～\n椰～椰～\n椰～椰～
A0_1654_PIKACHU_100_1000	什么啊，\n这不是阿罗拉地区的椰蛋树嘛！
A0_1654_TIM_100_1000	我还是头一次见，所以没能认出来……\n它怎么跑到莱姆市来了？
A0_1654_PIKACHU_100_2000	它要是不让开道，我们就没法调查了，\n请它让路时也顺便打听一下吧。
A0_1654_PIKACHU_100_3000	喂，椰蛋树！看这里，\n看看你脚边！喂～～～！！
A0_1654_ANASSY_100_1000	椰椰。\n椰椰。\n椰椰。
A0_1654_PIKACHU_100_4000	哇！？怎么３个一起说话了……
A0_1654_PIKACHU_100_5000	我说啊，椰蛋树～～～！\n只要被点名的那个说话就行啦！
A0_1654_ANASSY_100_2000	椰椰。\n椰椰。\n椰椰。
A0_1654_PIKACHU_100_6000	啊，\n我忘记点名了！
A0_1654_ANASSY_200_1000	椰椰。\n椰椰。\n椰椰。
A0_1654_PIKACHU_200_1000	我想跟你们问一些事～～！\n只要被点名的那个开口就行啦！
A0_1654_SEL_0_1000	关于椰蛋树
A0_1654_SEL_0_2000	这里发生了什么？
A0_1654_PIKACHU_300_1000	嗯～正中间的椰蛋树！
A0_1654_PIKACHU_300_2000	你为什么会在这里啊？？
A0_1654_ANASSY_300_1000	椰椰。
A0_1654_PIKACHU_300_3000	它好像是一直都跟着\n苹果商辗转各地。
A0_1654_TIM_300_1000	然后就来到莱姆市了。
A0_1654_PIKACHU_400_1000	喂，右边的椰蛋树！\n你跟我说说这里发生了什么吧～！
A0_1654_ANASSY_400_1000	椰椰。
A0_1654_PIKACHU_400_2000	似乎是钢铠鸦飞过来的时候\n想避开椰蛋树，结果撞到了摊子上。
A0_1654_TIM_400_1000	跟我们想的情况一样呢。
A0_1654_PIKACHU_400_3000	对了，你有见过一顶帽子吗？\n我的帽子被钢铠鸦拿走了。
A0_1654_ANASSY_400_2000	椰椰。
A0_1654_PIKACHU_400_4000	事发突然，你没注意到啊……\n不过这也没办法。
A0_1655_PIKACHU_100_1000	喂～！左边的椰蛋树！我有事想拜托你！
A0_1655_ANASSY_100_1000	椰椰。
A0_1655_PIKACHU_100_2000	我想调查一下\n散落在这里的苹果。
A0_1655_PIKACHU_100_3000	不好意思啊，能麻烦你让一让吗～？
A0_1655_ANASSY_100_2000	椰椰。
A0_1657_TIM_100_1000	太好了，它移开了。
A0_1657_PIKACHU_100_1000	这下就能做现场勘查了。
A0_1660_TIM_100_1000	这里就是散落着苹果的现场。
A0_1660_PIKACHU_100_1000	赶紧开始现场勘查吧。
A0_1670_PIKACHU_100_1000	你还记得我们要找什么吗？
A0_1670_TIM_100_1000	２只啃果虫，对吧。
A0_1670_PIKACHU_100_2000	没错。\n地面上有很多苹果，你可别看漏了哦？
A0_1680_PIKACHU_5000_1000	你还有地方没调查吧？
A0_1685_PIKACHU_100_1000	这个苹果很好吃啊，\n蒂姆，你要不要尝尝看？
A0_1685_PIKACHU_100_2000	钱就由你掏啦！
A0_1690_TIM_100_1000	这是装苹果的木箱，\n啃果虫好像不在里面。
A0_1710_PIKACHU_100_1000	是我的帽子！
A0_1710_TIM_100_1000	原来钢铠鸦已经把帽子丢下来啦！
A0_1710_PIKACHU_100_2000	我记得刚才这里没有帽子啊……\n不过找到就好。
A0_1715_PIKACHU_100_1000	苹果散落一地啊。
A0_1715_TIM_100_1000	啃果虫……找不到啊。
A0_1715_PIKACHU_100_2000	都成这样了，这个苹果只能\n拿来榨汁，或者做成果酱了。
A0_1715_PIKACHU_100_3000	我倒是不在意苹果有瑕疵。
A0_1725_TIM_100_1000	找到了！是啃果虫！
A0_1725_KAJICCHU01_100_1000	啃。
A0_1725_PIKACHU_100_1000	你就一直在这里\n一动不动装作是苹果吗？
A0_1725_PIKACHU_100_2000	这也太能忍了吧……
A0_1725_KAJICCHU01_100_2000	啃啃。
A0_1725_PIKACHU_100_3000	你擅长纹丝不动，也擅长忍耐？\n你可真厉害啊。
A0_1725_PIKACHU_100_4000	说起来你也是因为钢铠鸦才遭了罪。
A0_1725_PIKACHU_100_5000	你的伙伴在等着你呢。
A0_1755_PIKACHU_100_1000	这样我们就算是全都调查了一遍。
A0_1755_PIKACHU_100_2000	可帽子和剩下的那只啃果虫\n还是没有找到。
A0_1755_TIM_100_1000	唔……会在哪里呢……
A0_1758_PIKACHU_100_1000	嗯？\n木箱子后面是不是有什么动了一下？
A0_1758_TIM_100_1000	咦？我没注意。
A0_1758_PIKACHU_100_2000	再仔细调查一遍吧，\n说不定情况有变。
A0_1823_TIM_100_1000	皮卡丘！啃果虫！
A0_1823_PIKACHU_100_1000	唔哇！
