A0.asset
A0_1023_PIKACHU_100_1000	アーマーガアのヤツ\nオレの　だいじなぼうしを\nもっていっちまった
A0_1135_PIKACHU_100_1000	めいたんていの　オレたちに\nまかせりゃいい
A0_1135_BUTLER_100_9000	キミたちが？
A0_1135_BUTLER_100_10000	たしかに　いまは　きんきゅうじたい\nたんていの　ちからを　かりてもよいか……
A0_1135_BUTLER_100_11000	わかった　マメパトを\nめざめさせる　ほうほうを\nさがしだしてくれ
A0_1135_BUTLER_100_12000	たのんだよ　たんていくん！
A0_1135_TIM_100_6000	はい！
A0_1135_TIM_100_7000	いこう　ピカチュウ！
A0_1135_PIKACHU_100_2000	おう！
A0_1135_MAMEPATO03_100_1000	プルッポー
A0_1135_PIKACHU_100_3000	ん？
A0_1140_TIM_100_1000	そうだ　そこにいる\nべつのマメパトたちから\nはなしを　きけないかな？
A0_1140_PIKACHU_100_1000	ああ　はなしを　きいてみようぜ
A0_1141_PIKACHU_100_1000	ティム　どこへ　いくんだ？\nマメパトたちから\nはなしを　きいてみようぜ
A0_1142_PIKACHU_100_1000	ティム　どこへ　いくんだ？\nマメパトたちから\nはなしを　きいてみようぜ
A0_1143_PIKACHU_100_1000	ティム　どこへ　いくんだ？\nマメパトたちから\nはなしを　きいてみようぜ
A0_1144_PIKACHU_100_1000	ティム　どこへ　いくんだ？\nマメパトたちから\nはなしを　きいてみようぜ
A0_1145_BUTLER_100_1000	マメパトを　めざめさせる　ほうほうを\nさがしだしてくれ
A0_1145_BUTLER_100_2000	たのんだよ　たんていくん！
A0_1146_TABUNNE_100_1000	タブンネ
A0_1146_PIKACHU_100_1000	ああ　オレたちに　まかせておけ
A0_1147_MAMEPATO02_100_1000	……
A0_1147_TIM_100_1000	まっててね　マメパト！
A0_1148_PIKACHU_100_1000	おっと　ティム　ちょっとまて
A0_1148_PIKACHU_100_2000	こいつらから　はなしを　きくまえに\nおまえに　つたえたいことがある
A0_1148_TIM_100_1000	えっ　なに？
A0_1148_PIKACHU_100_3000	……ティムよ　じけんは\nこっちの　つごうで　おきてはくれない
A0_1148_PIKACHU_100_4000	それは　わかってるな？
A0_1148_TIM_100_2000	うん
A0_1148_PIKACHU_100_5000	げんに　ぜんかいの　じけんちょうさから\nなぜか　ずいぶんとじかんが\nたってしまっている……
A0_1148_TIM_100_3000	うん……　まあ……　そうだよね
A0_1148_PIKACHU_100_6000	オレたちの　ちょうさスタイルを\nおもいだそう
A0_1148_PIKACHU_100_7000	「しょしんわするべからず！」\nってことだ
A0_1148_TIM_100_4000	な　なるほど……
A0_1148_PIKACHU_100_8000	ティムよ　ひさびさの　じけんちょうさだ
A0_1148_PIKACHU_100_9000	マメパトのケガは　すでになおっている
A0_1148_PIKACHU_100_10000	ひつようなのは\nめをさまさせる　ほうほうだけだ……
A0_1148_PIKACHU_100_11000	これは　ぐうぜんかも　しれないが
A0_1148_PIKACHU_100_12000	オレたちの\nひさびさの　たんていかつどうの\nチュートリアルとして
A0_1148_PIKACHU_100_13000	いいかんじの　じけんだと　おもわないか？
A0_1148_TIM_100_5000	た　たしかに……
A0_1148_PIKACHU_100_14000	むかしを　おもいだすいみでも\nていねいに　ちょうさをすすめるぞ！
A0_1148_TIM_100_6000	うん　わかった！
A0_1148_PIKACHU_100_15000	さて　オレたちの\nちょうさほうほうの　おさらいだ
A0_1148_PIKACHU_100_16000	オレが　ポケモンに　はなしをきく\nそして……　ティム？
A0_1148_TIM_100_7000	うん！\nぼくが　にんげんに　はなしをきく！
A0_1148_PIKACHU_100_17000	ふたりで　ポケモンや　にんげんの\nしょうげんや　しょうこを　あつめて\nもんだいを　かいけつするんだ
A0_1148_TIM_100_8000	それが　ぼくたちの　やりかた　だからね
A0_1148_PIKACHU_100_18000	そういうことだ
A0_1148_TIM_100_9000	じゃあ　たのんだよ　ピカチュウ
A0_1148_PIKACHU_100_19000	よし！　はじめるか
A0_1148_PIKACHU_100_20000	おーい　そこのマメパトたち！
A0_1148_PIKACHU_100_21000	おまえら\nきぜつしたマメパトの　なかまか？\nちょっと　はなしを　きかせてほしいんだ
A0_1148_MAMEPATO03_100_1000	プルッポー
A0_1148_PIKACHU_100_22000	なかまが　ねてて　おきないよ～　だとさ
A0_1148_TIM_100_10000	きぜつしたマメパトの　ことを　ねてると\nおもってるのかな？
A0_1148_MAMEPATO03_100_2000	プルッポー♪
A0_1148_PIKACHU_100_23000	あのニオイ　だいすき♪　だと？\nいきなり　なんのはなしだ？
A0_1148_MAMEPATO03_100_3000	プルッポー　プルッポー♪
A0_1148_PIKACHU_100_24000	ツーンとイイニオイ\nねむけスッキリー♪　って
A0_1148_PIKACHU_100_25000	なかまが　きぜつしてるのに\nのんきなヤツらだ　ニオイのはなしより\nなかまを　しんぱいしろ
A0_1148_TIM_100_11000	マメパトたちが　だいすきな\nニオイがあるんだね
A0_1148_PIKACHU_100_26000	きけたのは　これだけだな……\nほかのヤツに　きいてみよう
A0_1150_PIKACHU_100_1000	そっちは　ふうさ　されているみたいだ\nいかないでおこう
A0_1160_PIKACHU_100_1000	そっちは　ふうさ　されているみたいだ\nいかないでおこう
A0_1170_BUTLER_100_1000	マメパトを　めざめさせる　ほうほうを\nさがしだしてくれ
A0_1170_BUTLER_100_2000	たのんだよ　たんていくん！
A0_1210_TABUNNE_100_1000	……タブンネ？
A0_1210_PIKACHU_100_1000	おまえ　ツーンとイイニオイについて\nこころあたりは　ないか？
A0_1210_TABUNNE_100_2000	タブンネ……
A0_1210_PIKACHU_100_2000	そうか　わからないか
A0_1215_MAMEPATO04_100_1000	プルッポー♪
A0_1215_PIKACHU_100_1000	このニオイ　だいすき♪　か
A0_1215_PIKACHU_100_2000	ん？　このニオイだいすきって　まさか？
A0_1225_MAMEPATO05_100_1000	プルッポー　プルッポー♪
A0_1225_PIKACHU_100_1000	ツーンとイイニオイ　ねむけスッキリー♪
A0_1225_PIKACHU_100_2000	もしかして\nこいつらが　あつまっているのって？
A0_1240_FREFUWAN_100_1000	フ～レ？
A0_1240_PIKACHU_100_1000	フレフワンだ\nなんで　マメパトに　かこまれてるんだ？
A0_1240_FREFUWAN_100_2000	フ～レ
A0_1240_PIKACHU_100_2000	ここにくると　なぜか　マメパトたちに\nつきまとわれるの　だってさ
A0_1240_TIM_100_1000	マメパトが　フレフワンに\nつきまとってる？
A0_1240_MAMEPATO04_100_1000	プルッポー♪
A0_1240_PIKACHU_100_3000	あのニオイだして♪　だと？
A0_1240_MAMEPATO05_100_1000	プルッポー　プルッポー♪
A0_1240_PIKACHU_100_4000	イイニオイ　はやく　はやく？
A0_1240_FREFUWAN_100_3000	フレ　フーレ！
A0_1240_PIKACHU_100_5000	もう　なんなの　このこたち！\n……だってさ
A0_1240_PIKACHU_100_6000	どうも　マメパトは　フレフワンのだす\nニオイに　ひかれているようだな
A0_1240_PIKACHU_100_7000	ってことは　フレフワンなら　マメパトの\nめをさますことが　できるかもな
A0_1240_TIM_100_2000	そうだね　ピカチュウ\nフレフワンに　おねがいしてよ！
A0_1240_PIKACHU_100_8000	え～と　フレフワン　ひとつ\nおまえのちからを　かりたいんだが……
A0_1240_FREFUWAN_100_4000	フ～レ
A0_1240_PIKACHU_100_9000	つきまとっているマメパトを\nどかしてくれたら　ちからをかすわよってさ
A0_1240_PIKACHU_100_10000	そうか　じゃあ　マメパトたちに\nつたえないと
A0_1240_PIKACHU_100_11000	はなしが　つうじると　いいが……
A0_1240_FREFUWAN_200_1000	フ～レ
A0_1240_PIKACHU_200_1000	つきまとっているマメパトを\nどかしてくれたら　てつだうってさ
A0_1240_PIKACHU_200_2000	ここにいるマメパトたちに\nはなしが　つうじると　いいが……
A0_1240_TIM_200_1000	とりあえず　はなしてみてよ
A0_1242_MAMEPATO04_100_1000	プルッポー♪
A0_1242_PIKACHU_100_1000	おまえたち　すまないが\nべつのばしょに　いどうしてくれないか？
A0_1242_MAMEPATO04_100_2000	……♪
A0_1242_PIKACHU_100_2000	ニオイをかいでウットリしてるんじゃない！\nおまえらのなかまを　たすけるためなんだ
A0_1242_PIKACHU_100_3000	おい　おまえら！\nフレフワンがべつのばしょで\nイイニオイを　たくさん　だしてくれるぞ！
A0_1242_MAMEPATO04_100_3000	プルッポー♪
A0_1242_PIKACHU_100_4000	イイニオイたくさん？　わかった～　だとさ
A0_1242_TIM_100_1000	いどうしてくれるんだね　よかった！
A0_1244_MAMEPATO05_100_1000	プルッポー♪
A0_1244_PIKACHU_100_1000	おまえたち　すまないが\nべつのばしょに　いどうしてくれないか？
A0_1244_MAMEPATO05_100_2000	……♪
A0_1244_PIKACHU_100_2000	ニオイをかいでウットリしてるんじゃない！\nおまえらのなかまを　たすけるためなんだ
A0_1244_PIKACHU_100_3000	おい　おまえら！\nフレフワンがべつのばしょで\nイイニオイを　たくさん　だしてくれるぞ！
A0_1244_MAMEPATO05_100_3000	プルッポー♪
A0_1244_PIKACHU_100_4000	イイニオイたくさん？　わかった～　だとさ
A0_1244_TIM_100_1000	いどうしてくれるんだね　よかった！
A0_1246_TIM_100_2000	これで　フレフワンも\nきょうりょくしてくれるね！
A0_1248_FREFUWAN_100_1000	フ～レ
A0_1248_PIKACHU_100_1000	マメパトをどかしてくれて　ありがとう\nなんでもてつだうわ　だってさ
A0_1248_TIM_100_1000	やったね！　じゃあ　フレフワンと\nいっしょに　ひろばにもどろう！
A0_1252_MAMEPATO02_100_1000	……
A0_1252_TIM_100_1000	まっててね　マメパト！
A0_1254_MAMEPATO03_100_1000	プルッポー♪
A0_1254_PIKACHU_100_1000	そうか　おまえたちも\nなかまを　しんぱいしてるんだな
A0_1270_PIKACHU_300_1000	マメパトが　めをさまさなかったら\nおまえのちからを　かしてくれ
A0_1270_COIL_300_1000	ルルル！
A0_1270_PIKACHU_400_1000	コイルだ　こいつが　ビリッとやれば\nマメパトも　めをさますんじゃ……
A0_1270_TIM_400_1000	ピカチュウは　わざをだせないから\nコイルに　たのむしかないもんね
A0_1270_PIKACHU_400_2000	それをいうなよ　わざをだしたくても\nだせないのは　ティムもしってるだろ
A0_1270_COIL_400_1000	ルルル？
A0_1270_PIKACHU_400_3000	こまってるのかって？\nマメパトが　めをさまさないんだよ
A0_1270_PIKACHU_400_4000	しょうしょう　あらりょうじだが\nおまえのでんきで　ビリッとやれば\nめをさますかとおもってな
A0_1270_COIL_400_2000	ルルル！
A0_1270_PIKACHU_400_5000	てつだってくれるのか？　ありがとう
A0_1270_PIKACHU_400_6000	もし　どうやっても　めをさまさなかったら\nおまえのちからを　かしてくれよな
A0_1270_COIL_400_3000	ルルル！
A0_1290_NATIO_300_1000	ティオ
A0_1290_PIKACHU_300_1000	にっこうよく　ちゅうは　しずかに\nだってさ
A0_1290_PIKACHU_300_2000	ほかを　あたってみよう
A0_1290_PIKACHU_400_1000	ネイティオだ
A0_1290_PIKACHU_400_2000	こいつは　どこを　みているかも\nなにを　かんがえているかも　わからんが
A0_1290_PIKACHU_400_3000	こういうヤツこそ　スゴイなにかを\nしっているかもしれん！
A0_1290_TIM_400_1000	そ　そうなのかな……　じゃあ\nマメパトを　おこすほうほうとか\nきいてみてよ
A0_1290_PIKACHU_400_4000	まかせとけ　おーい　ネイティオ
A0_1290_NATIO_400_1000	……
A0_1290_PIKACHU_400_5000	きこえないのか？　おーーーい
A0_1290_NATIO_400_2000	……
A0_1290_TIM_400_2000	どうしたんだろう　なにもいわないね
A0_1290_NATIO_400_3000	……ティオ
A0_1290_PIKACHU_400_6000	……にっこうよく　ちゅうは　しずかに\nだってさ
A0_1290_TIM_400_3000	この　じょうきょうで\nすごい　れいせいだね
A0_1290_PIKACHU_400_7000	……ほかを　あたってみよう
A0_1391_PIKACHU_100_1000	なあ　ティム？
A0_1391_PIKACHU_100_2000	ちょっと　いいか？
A0_1392_PIKACHU_100_1000	いいか　ティム
A0_1392_PIKACHU_100_2000	もし　ちょうさちゅうに\nこまったことがあれば\nいまみたいに　オレを　よんでくれ
A0_1392_PIKACHU_100_3000	まわりのにんげんに　きづかれないように\nオレのかんがえを　アドバイスするからな
A0_1392_PIKACHU_100_4000	もちろん　じりきでかんがえるのも\nいいんだが
A0_1392_PIKACHU_100_5000	あまり　こんをつめすぎず\nきゅうけいしたり\nふりかえったりすることも　だいじだぞ
A0_1392_PIKACHU_100_6000	よし　いくぞ！
A0_1393_PIKACHU_100_1000	いどうするまえに　<color=#F39800FF>オレを　よんでくれ</color>
A0_1560_PIKACHU_100_1000	フレフワン　このマメパトだ\nたすけてやってくれ！
A0_1560_FREFUWAN_100_1000	レッフーウ！
A0_1572_BUTLER_100_1000	おお　マメパトが！
A0_1572_TABUNNE_100_1000	タブンネ！　タブンネ！！
A0_1572_PIKACHU_100_1000	フレフワンが　だしたニオイ\nたしかに　イイニオイだが……
A0_1572_TIM_100_1000	つよめの……　こうすい\nみたいなかんじ……　だね
A0_1572_PIKACHU_100_2000	マメパトの　このみは　わからんな
A0_1572_MAMEPATO03_100_1000	プルッポー♪
A0_1572_MAMEPATO04_100_1000	プルッポー♪♪
A0_1572_MAMEPATO05_100_1000	プルッポー♪♪♪
A0_1572_PIKACHU_100_3000	おまえたち　よかったな
A0_1572_FREFUWAN_100_1000	フ～レ
A0_1572_PIKACHU_100_4000	ああ　おまえのおかげだ　フレフワン\nありがとうな
A0_1574_BUTLER_100_1000	さすが　たんていくん！\nマメパトは　すっかりげんきだ\nありがとう！
A0_1574_BUTLER_100_2000	まちのポケモンに　てつだってもらうとは\nかんがえつかなかったよ
A0_1574_PIKACHU_100_1000	……そういや　このデカイおとこは\nけいさつかん　から　きょくちょう　と\nよばれていたな
A0_1574_TIM_100_1000	なぜ　きょくちょう　と\nよばれているんだろう？
A0_1574_PIKACHU_100_2000	ティム　きいてみてくれ
A0_1574_SEL_0_1000	バトラーきょくちょうに　ついて
A0_1574_SEL_0_2000	ほごきょくに　ついて
A0_1574_BUTLER_300_1000	あらためて　わたしは\nポケモンほごきょくの　きょくちょう\nバトラーだ
A0_1574_TIM_300_1000	ポケモンほごきょく？
A0_1574_BUTLER_300_2000	ライムシティにすむ　ポケモンたちを\nまもるそしき……
A0_1574_BUTLER_300_3000	それが「ポケモンほごきょく」だ
A0_1574_PIKACHU_300_1000	ポケモンをまもるけいさつ\nみたいなものか？
A0_1574_TIM_300_2000	そんな　そしきが　あったなんて
A0_1574_BUTLER_300_4000	せいしきなかつどうを\nかいしした　ばかりでね
A0_1574_BUTLER_300_5000	いまは　ライムけいさつしょに\nオフィスを　かりていて　けいさつと\nきょうりょくして　かつどうしているんだ
A0_1574_BUTLER_300_6000	きょうは　けいびのいっかんで\nしゅつどうしたんだが　このありさまだ
A0_1574_BUTLER_300_7000	まったく　わたしが　ついていながら……\nおはずかしい　かぎりだよ
A0_1574_BUTLER_400_1000	せつりつのきっかけは　２ねんまえ\nキミたちが　かいけつした\nあの　Ｒじけんだ
A0_1574_BUTLER_400_2000	あのとき　まちのあちこちで\nさわぎや　じこが　おこっただろう？
A0_1574_BUTLER_400_3000	ライムシティの　しみんも　ポケモンも\nおおきな　ひがいを　うけた
A0_1574_PIKACHU_400_1000	……
A0_1574_BUTLER_400_4000	ハワードしちょうは　とても\nこころをいためてね　たいさくとして\nポケモンほごきょくを　せつりつしたんだ
A0_1574_BUTLER_400_5000	Ｒじけんのような\nポケモンに　まつわる　はんざいが\nにどと　おこらないように　する
A0_1574_BUTLER_400_6000	そのために　つくられたのが\nポケモンほごきょく　なんだ
A0_1574_TIM_400_1000	それは　けいさつのしごとでは？
A0_1574_BUTLER_400_7000	……ここ　すうねん　ライムシティの\nじけんや　じこが　ふえていてね
A0_1574_BUTLER_400_8000	けいさつは　ポケモンのじけんまで\nてが　まわらなくなって　しまったんだ
A0_1574_BUTLER_400_9000	けいさつは\nライムシティのじゅうみんを　まもり\nほごきょくは　ポケモンを　まもる
A0_1574_BUTLER_400_10000	そうした　やくわりぶんたんが\nひつようになったということだ
A0_1574_TIM_400_2000	なるほど　ライムシティらしい！\nそれが　せつりつのりゆう　なんですね
A0_1574_PIKACHU_400_2000	ハワードは　ポケモンたちのことを\nちゃんと　かんがえてくれているんだな
A0_1576_BUTLER_100_1000	そういえば　たんていくん
A0_1576_BUTLER_100_2000	キミたちの　ちょうさを　みていて\nきづいたのだが……
A0_1576_BUTLER_100_3000	キミは　ちょうさをしながら　ピカチュウに\nせつめいしてあげて　いるのかね？
A0_1576_TIM_100_1000	えっ！？
A0_1576_BUTLER_100_4000	はなしかけたところで　ピカチュウが\nりかいするとは　おもえんのだが
A0_1576_BUTLER_100_5000	まさか　キミとピカチュウは……
A0_1576_TIM_100_2000	えっと　はなすというか\nそうだん　じゃなくて　その……
A0_1576_BUTLER_100_6000	そうか！
A0_1576_BUTLER_100_7000	ピカチュウに　はなすことで\nたんていくん　じしんの　かんがえを\nまとめているんだな？
A0_1576_BUTLER_100_8000	おもしろい　すいりほうほう　だ\nワッハッハ！
A0_1576_TIM_100_3000	そ　そんなところです！
A0_1578_PIKACHU_100_1000	まあ　オレとティムは　なぜか\nかいわが　できるんだけどな
A0_1578_TIM_100_1000	……ビックリしたよ\nはなせることが　バレたのかと　おもった
A0_1578_PIKACHU_100_2000	きをつけろよ　オレと　おまえが\nはなせるなんて　ふつうは\nしんじてもらえないだろうからな
A0_1580_OKPOLICEMAN01_100_1000	わあっ！？
A0_1580_TIM_100_1000	あっ！
A0_1584_TIM_100_1000	アーマーガアが　また！
A0_1584_PIKACHU_100_1000	おーい　オレのぼうしを　かえしやがれー！
A0_1586_TIM_100_1000	きょくちょうさんたち　アーマーガアを\nパトカーで　おいかけていったね
A0_1586_PIKACHU_100_1000	アーマーガアは　オレのぼうしを\nもってるはずだ
A0_1586_PIKACHU_100_2000	オレたちも　おいかけようぜ！
A0_1590_SECRETANASSY_100_1000	ナーーーーッシーーーー！！
A0_1590_SECRETKAJICCHU01_100_1000	カジッ！
A0_1590_TIM_100_1000	ポケモンのこえだ！\nとんでいったほうから　きこえたよ！？
A0_1590_PIKACHU_100_1000	いってみよう！
A0_1592_FREFUWAN_100_1000	フ～レ……
A0_1592_PIKACHU_100_1000	ピカチュウに　いわれて\nちからをかしてあげたのに……？
A0_1592_FREFUWAN_100_2000	フレフーレ！
A0_1592_PIKACHU_100_2000	つきまとうマメパトが\n２ひきから　５ひきにふえた？
A0_1592_PIKACHU_100_3000	どうしてくれるのよ！　だってさ
A0_1592_TIM_100_1000	ご　ごめんよ　フレフワン
A0_1592_PIKACHU_100_4000	いや　もうしわけない\nマメパトに　わるぎは　ないんだ……
A0_1594_COIL_100_1000	ルルル？
A0_1594_PIKACHU_100_1000	にげないのかって？　アーマーガアから\nぼうしを　とりもどしたいからな
A0_1594_COIL_100_2000	ルルル
A0_1594_PIKACHU_100_2000	しんぱいしてくれて　ありがとうな\nおまえも　きをつけろよ
A0_1596_NATIO_100_1000	ティオ
A0_1596_PIKACHU_100_1000	……あわてるな　だってさ
A0_1596_TIM_100_1000	この　じょうきょうで\nすごい　れいせい　だね
A0_1600_TIM_100_1000	あっ！？
A0_1600_TIM_100_2000	ピカチュウ　みて！
A0_1600_PIKACHU_100_1000	リンゴが　ちらばってるぞ　ひどいな……
A0_1615_TIM_100_1000	これは……　きが　はえてる？
A0_1615_PIKACHU_100_1000	こんなところに……？
A0_1615_TIM_100_2000	おかしいとはおもうけど　でも　ほら
A0_1615_PIKACHU_100_2000	うーん　どうみても　ふしぜんだな……
A0_1640_KAJICCHU02_100_1000	カジッ……
A0_1640_PIKACHU_100_1000	カジッチュか　ここにいたら　あぶないぞ\nどこかに　ひなんするんだ
A0_1640_KAJICCHU02_100_2000	カジッ……
A0_1640_TIM_100_1000	なんだか　ようすが　おかしいね\nここを　はなれたくないのかな
A0_1640_PIKACHU_100_2000	はなしを　きいてみるか
A0_1640_PIKACHU_200_1000	カジッチュ　はなしをきかせてくれないか？
A0_1640_KAJICCHU02_200_1000	カジッ……
A0_1640_SEL_0_1000	カジッチュに　ついて
A0_1640_SEL_0_2000	ここで　なにがあった？
A0_1640_PIKACHU_300_1000	おまえ　このまちでは　みないポケモンだな\nどこからきた？
A0_1640_KAJICCHU02_300_1000	カジカジッ
A0_1640_PIKACHU_300_2000	きばこの　なかで　ねむっていて\nめが　さめると\nいつも　しらないばしょに　いるんだと
A0_1640_TIM_300_1000	カジッチュは　リンゴやさんの\nぎょうしょうに　ついていってるんだね
A0_1640_PIKACHU_300_3000	リンゴやは　おそらく\nこいつらのこと　しらないんだろうな
A0_1640_KAJICCHU02_300_2000	カジッ
A0_1640_PIKACHU_300_4000	きょうは　いきなりゆれて\nめがさめたらしい
A0_1640_TIM_300_2000	おそらく　アーマーガアのせいだね\nきばこが　さんらんしてるのも
A0_1640_PIKACHU_300_5000	リンゴやが　みあたらないが\nひなんしちまったみたいだな
A0_1640_KAJICCHU02_400_1000	カジカジッ……
A0_1640_PIKACHU_400_1000	きばこがゆれて\nそとに　ほうりだされたあと\nなかまが　いないことに　きづいたそうだ
A0_1640_TIM_400_1000	なかまと　はぐれちゃったの？\nさがしてあげようよ
A0_1640_PIKACHU_400_2000	そうだな\nおまえのなかまは　なんびきいるんだ？
A0_1640_KAJICCHU02_400_2000	カジッ
A0_1640_PIKACHU_400_3000	２ひきか　よし　わかった
A0_1650_PIKACHU_100_1000	カジッチュの　はなしで\nじょうきょうが　わかったな
A0_1650_PIKACHU_100_2000	オレのぼうしを\nもっていった　アーマーガアを\nおいかけたいところだが……
A0_1650_TIM_100_1000	こまっているポケモンは　みすごせないよね
A0_1650_PIKACHU_100_3000	そのとおり！\nたすけてこそ　めいたんていだ
A0_1650_TIM_100_2000	じゃあ　そこの　ちらばったリンゴを\n<color=#F39800FF>げんばけんしょう</color>で　しらべてみようよ
A0_1650_PIKACHU_100_4000	そうしたいが　そこのきが　じゃまだな
A0_1650_PIKACHU_100_5000	あのき　なんか　ふしぜんなんだよな\nまずは　きをしらべてみよう
A0_1652_TIM_100_1000	このきが　げんばけんしょうの　じゃまだね\nどうしよう
A0_1652_PIKACHU_100_1000	そうだなぁ\nきりたおすわけにもいかんし
A0_1652_SECRETANASSY_100_1000	ナ～ッシ～\nナ～ッシ～\nナ～ッシ～
A0_1654_PIKACHU_100_1000	なんだ\nアローラちほうのナッシーじゃないか！
A0_1654_TIM_100_1000	はじめてみるから　わからなかったよ……\nなんで　ライムシティにいるんだろう
A0_1654_PIKACHU_100_2000	どいてもらわないと　しらべられんからな\nおねがいついでに\nほんにんに　きいてみるとするか
A0_1654_PIKACHU_100_3000	おーい　ナッシー！　ここだ\nあしもとを　みてくれ！　おーーーい！！
A0_1654_ANASSY_100_1000	ナッシー\nナッシー\nナッシー
A0_1654_PIKACHU_100_4000	うわっ！？\n３つどうじに　しゃべるとは……
A0_1654_PIKACHU_100_5000	あのな　ナッシーーー！\nしめいしたヤツだけ　しゃべってくれ！
A0_1654_ANASSY_100_2000	ナッシー\nナッシー\nナッシー
A0_1654_PIKACHU_100_6000	うわっ\nしめいしわすれた！
A0_1654_ANASSY_200_1000	ナッシー\nナッシー\nナッシー
A0_1654_PIKACHU_200_1000	ちょっと　はなしを　きかせてくれーーー！\nしめいしたヤツだけ　しゃべってくれ！
A0_1654_SEL_0_1000	ナッシーに　ついて
A0_1654_SEL_0_2000	ここで　なにがあった？
A0_1654_PIKACHU_300_1000	えーっと　まんなかのナッシー！
A0_1654_PIKACHU_300_2000	おまえは　なんで　ここにいるんだー？？
A0_1654_ANASSY_300_1000	ナッシー
A0_1654_PIKACHU_300_3000	ぎょうしょうのリンゴやと　いっしょに\nかくちを　まわってるらしい
A0_1654_TIM_300_1000	それで　ライムシティに　きていたんだ
A0_1654_PIKACHU_400_1000	おい　みぎのナッシー！\nここで　なにがあったのか\nおしえてくれー！
A0_1654_ANASSY_400_1000	ナッシー
A0_1654_PIKACHU_400_2000	とんできたアーマーガアが\nナッシーを　よけるときに\nやたいに　ぶつかったそうだ
A0_1654_TIM_400_1000	おもったとおりだったね
A0_1654_PIKACHU_400_3000	そうだ　ぼうしを　みなかったか？\nアーマーガアに　もってかれちまったんだ
A0_1654_ANASSY_400_2000	ナッシー
A0_1654_PIKACHU_400_4000	とつぜんのことで　わからないか……\nまあ　そうだよな
A0_1655_PIKACHU_100_1000	あのなー　ひだりのナッシー！\nたのみがある！
A0_1655_ANASSY_100_1000	ナッシー
A0_1655_PIKACHU_100_2000	ここに　ちらばってるリンゴを\nしらべたいんだ
