Battle\COMMON.msbt
NOT_MOVE	様子を見ている…
KIRIA_02	\x0e\x04\0\x1d\x1a\0EVT_s1009_b_09_0001_pc1009\0……よし。\nなんとなくイメージは掴めた。
QB4_INFO_02	\x0e\0\x03\x02\x02\0キリア\x0e\0\x03\x02ÿÿはこのバトル中\nスキル\x0e\0\x03\x02\x02\0「悩殺ポーズ」\x0e\0\x03\x02ÿÿを使えるようになった！
KIRIA_03	\x0e\x04\0\x18\x15\0EVT_REPLY_0030_pc1009\0そのかわいさ…ものにしてみせる！\nいくわよ！　土塊人形！
QB4_INFO_01	\x0e\0\x03\x02\x02\0ツバサ\x0e\0\x03\x02ÿÿはこのバトル中\nスキル\x0e\0\x03\x02\x02\0「悩殺ポーズ」\x0e\0\x03\x02ÿÿを使えるようになった！
MAZI_01	\x0e\x04\0\x18\x15\0BTL_REACT_0010_em2334\0ソッチノクールナヤツ！
KIRIA_04	…………。
MAZI_02	\x0e\x04\0\x18\x15\0BTL_OTHER_0015_em2334\0マブイジャネーカコノヤロー！
QB4_INFO_03	どうやらキリアが好みらしい…。
SAZI_01	\x0e\x04\0\x18\x15\0BTL_REACT_0008_em2333\0ソッチノキュートナヤツ！
TSUB_04	\x0e\x04\0\x1d\x1a\0EVT_s1002_s_12_0007_pc1002\0は、はい？！
SAZI_02	\x0e\x04\0\x18\x15\0BTL_OTHER_0015_em2333\0カワイイジャネーカコノヤロー！
QB4_INFO_04	どうやらツバサを気に入ったようだ…。
SAR_03	\x0e\x04\0\x18\x15\0EVT_REPLY_0035_mr1054\0一撃で射止めるなんてあなたもやるじゃない。\nさ、ご執心の今がチャンスよ。
KIRIA_05	\x0e\x04\0\x18\x15\0EVT_REPLY_0039_pc1009\0ええ、一気にたたみかけるわ！
SAZI_03	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2333\0オラッ、マジ！\nテメェシクジンジャネーゾ！
MAZI_03	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2334\0サジ！　テメェ、トロインダヨ！
Battle\EV_BTL_QB5_1.msbt
ELLEE_01	結構倒したわね…！\nだけど、まだまだ行くわよっ！
VIOL_01	\x0e\x04\0\x1d\x1a\0EVT_s1006_a_09_0002_mr1055\0待ちたまえ、エリー君。\nどうやら、新しい客人が来るようだね。
ELLEE_02	\x0e\x04\0\x1d\x1a\0EVT_s1006_a_09_0003_pc1006\0フンっ！　まとめてやっつけてやるわ！\nイツキ、フォローよろしくね！
ITSUKI_01	\x0e\x04\0\x1d\x1a\0EVT_s1006_a_09_0004_pc1001\0ああっ！
Battle\EV_BTL_QB6_1.msbt
LAWR_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2335\0なにもかも…空虚なものよ…。
Battle\EV_BTL_QB7_1.msbt
YASIRO_01	\x0e\x04\0\x18\x15\0EVT_REPLY_0031_pc1008\0俺たち２人のコンビネーションの習得こそが、\nこの稽古の目的だ。\n蒼井樹…お前はフォローに徹しろ。
QB7_INFO_01	\x0e\0\x03\x02\x02\0ヤシロ\x0e\0\x03\x02ÿÿはこのバトル中\nスキル\x0e\0\x03\x02\x02\0「手がかりは…」\x0e\0\x03\x02ÿÿを使えるようになった！
QB7_INFO_02	\x0e\0\x03\x02\x02\0エリー\x0e\0\x03\x02ÿÿはこのバトル中\nスキル\x0e\0\x03\x02\x02\0「犯人は…」\x0e\0\x03\x02ÿÿを使えるようになった！
WANPA_01	ワンパの弱点が変化した！
Battle\EV_BTL_QB7_2.msbt
LONG_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2400\0剣弥代…貴様のパフォーマもいただく。
Battle\EV_GIMMIK.msbt
COLOR_CHG	エクセライの耐性が変化した！
NICO_CHG	セルバンテスの耐性が変化した！
ESCAPE	逃げ出した
TIKI_EVENT_1	\x0e\x04\0\x18\x15\0BTL_OTHER_1004_pc1010\0お兄ちゃん！　ついにメディウスを追い詰めたよ！\nぜんぶの…、\nすべての力をここで出しきって！
TIKI_EVENT_2	チキの力によって\nイツキたちのＨＰと状態異常が回復した！
TIKI_EVENT_3	\x0e\0\x03\x02\x02\0イツキ\x0e\0\x03\x02ÿÿはこのバトル中\nスペシャルパフォーマンス\x0e\0\x03\x02\x02\0「神竜の加護」\n\x0e\0\x03\x02ÿÿを使えるようになった！
Battle\TU_ADL.msbt
TU_ADL_T	アドリブパフォーマンスについて
TU_ADL_001	\x0e\0\x03\x02\x02\0アドリブパフォーマンス\x0e\0\x03\x02ÿÿは\n習得しているキャストがスキルを使用する時に\n\x0e\0\x03\x02\x02\0ランダムで発動する\x0e\0\x03\x02ÿÿことがあります。\n\n発動すると、そのスキルは、\n\x0e\0\x03\x02\x02\0威力や効果が大幅に強化された\nパフォーマンス\x0e\0\x03\x02ÿÿに変化します！
TU_ADL_002	\x0e\0\x03\x02\x02\0アドリブパフォーマンス\x0e\0\x03\x02ÿÿが発動しました！\n使用しようとしたスキルに代わって、\n強化されたパフォーマンスが追加効果や\n大ダメージを与えます！
Battle\TU_ATK.msbt
TU_ATK_T	バトルについて
TU_ATK_000	バトルステージに入りました。\nステージの外側にいるのがプレイヤーの分身で\nある樹たち、中央にいるのが敵です。\n『ＳＫＩＬＬ』から武器による攻撃を選んで、\n敵をすべて倒してください。
TU_ATK_001	テキスト２
TU_ATK_002	テキスト３
TU_ATK_003	テキスト４
TU_ATK_004	テキスト５
TU_ATK_005	テキスト６
TU_ATK_006	テキスト７
TU_ATK_007	テキスト８
TU_ATK_008	テキスト９
Battle\TU_CAT.msbt
TU_CAT_T	特効スキルについて
TU_CAT_000	この\x0e\0\x03\x02\x02\0特効スキル\x0e\0\x03\x02ÿÿとは、\n騎兵や竜といった\x0e\0\x03\x02\x02\0特定のクラス\x0e\0\x03\x02ÿÿに対し、\n防御相性に関係なくセッションを\n発生させることができるスキルです。\n\n例えば、ホースキラーはクラスが騎兵である\n敵の防御相性を無視して攻撃できます。\n※特効スキルは通常の武器属性も持っています。
Battle\TU_CHG.msbt
TU_CHG_T	ＣＨＡＮＧＥについて
TU_CHG_000	\x0e\0\x03\x02\x02\0ＣＨＡＮＧＥ\x0e\0\x03\x02ÿÿを選択することで\n\x0e\0\x03\x02\x02\0バトルに参加しているイツキ以外のキャストと、\n控えのキャストを入れ替えることができます。\x0e\0\x03\x02ÿÿ\n\n敵の弱点を突けないときや、\nキャストの体力が危ないときに活用し、\n柔軟に戦いましょう。
Battle\TU_CHM.msbt
TU_CHM_T	魅了状態について
TU_CHM_000	\x0e\0\x03\x02\x02\0魅了状態\x0e\0\x03\x02ÿÿになると、\x0e\0\x03\x02\x02\0一切の行動指示を\n受け付けず\x0e\0\x03\x02ÿÿ、また敵に回復アイテムやスキルを\n使用したり、味方を攻撃したり、\n敵に見惚れて何もしなかったり、と\n\x0e\0\x03\x02\x02\0ランダムな行動を取るようになります。\nセッションに参加することもできません。\x0e\0\x03\x02ÿÿ\n\n自然治癒することもありますが、\nスキルやアイテムを活用し、\n早めに回復させましょう。
Battle\TU_CLS.msbt
TU_CLS_T	封印状態について
TU_CLS_000	\x0e\0\x03\x02\x02\0封印状態\x0e\0\x03\x02ÿÿになるとミラージュの力が封じられ、\n\x0e\0\x03\x02\x02\0スキルが使用不可能になります。\x0e\0\x03\x02ÿÿ\nまた、\x0e\0\x03\x02\x02\0キャストの能力は弱体化し、\nセッションに参加することもできません。\x0e\0\x03\x02ÿÿ\n\n自然治癒することもありますが、\nもし味方が封印状態になってしまった場合\n\x0e\0\x03\x02\x02\0バトル終了後も封印状態は\n継続されますのでご注意下さい。\x0e\0\x03\x02ÿÿ
Battle\TU_DUO.msbt
TU_DUO_T	デュオアーツについて
TU_DUO_000	\x0e\0\x03\x02\x02\0デュオアーツとは、\nセッション中に発動することがある\n強力なパフォーマンスです。\x0e\0\x03\x02ÿÿ\n\nセッションを数多く繋いでいると、\nカットインが発生することがあり、\nその時に\x0e\x03\0\x04\0\0\x0d\0もしくは\x0e\x03\0\x04\0\0\x0e\0を押すと発動します。\n\x0e\0\x03\x02\x02\0あらゆる敵の防御相性を無視して、\nさらに多くのセッションを\n繋げることが可能になります！\x0e\0\x03\x02ÿÿ
Battle\TU_ELE.msbt
TU_ELE_T	弱点を狙おう
TU_ELE_000	敵、味方にはそれぞれ、各武器・各魔法の\n属性に対する防御相性があります。\n敵の防御相性が高い属性で攻撃しても\n本来のダメージを与えることはできません。\n逆に防御が弱い武器、魔法で攻撃すると、\nＷｅａｋ！表示とともにより高いダメージを\n与えることができます。
Battle\TU_ESC.msbt
TU_ESC_T	逃走について
TU_ESC_000	『ＥＳＣＡＰＥ』を選ぶとバトルからの離脱を\n試みることができます。\nただし失敗した場合は１回分の行動を\n消費してしまいます。
Battle\TU_FLM.msbt
TU_FLM_T	炎上状態について
TU_FLM_000	メディウスの炎を受け、\x0e\0\x03\x02\x02\0炎上状態\x0e\0\x03\x02ÿÿになりました。\n\n炎上状態では\x0e\0\x03\x02\x02\0行動ごとにダメージを受けます。\x0e\0\x03\x02ÿÿ\nまた、\x0e\0\x03\x02\x02\0火炎属性の防御相性が低下するため\n炎上中は火炎属性のダメージが\n大きく増加します。\nセッションを行うこともできず、\x0e\0\x03\x02ÿÿ\n非常に危険な状態ですので、アイテムや\nスキルなどで速やかに対処しましょう！
Battle\TU_GDS.msbt
TU_GDS_T	アイテムの使用について
TU_GDS_000	『ＧＯＯＤＳ』コマンドでは所持している\nアイテムを消費して回復などが行えます。\n使用したアイテムは失われます。
Battle\TU_GRD.msbt
TU_GRD_T	ダメージについて
TU_GRD_000	右側に緑色／赤色のバーで表示されているのが\n各キャラクターの残り体力です。\n体力がなくなると戦闘不能になります。\n全員の体力がなくなるとゲームオーバーです。\n行動時に『GUARD』を選んでおくと、\n１回だけ受ける被害を減らすことができます。
Battle\TU_MAS.msbt
TU_MAS_T	スキルの習得
TU_MAS_000	バトルで装備中の武器『\x0e\0\x03\x02\x02\0カルネージ\x0e\0\x03\x02ÿÿ』を\n活用すると、熟練度が貯まります。\n\n熟練度がＭＡＸになると、\nカルネージからスキルを引き出し、\n習得させることができます。
Battle\TU_MIR.msbt
TU_MIR_T	スペシャルパフォーマンスについて
TU_MIR_000	\x0e\0\x03\x02\x02\0スペシャルパフォーマンス\x0e\0\x03\x02ÿÿが\n使用可能になりました！\n\nスペシャルパフォーマンスとは画面右上にある\n\x0e\0\x03\x02\x02\0ＳＰゲージ\x0e\0\x03\x02ÿÿを消費して使用するスキルです。\n\x0e\0\x03\x02\x02\0属性を無視してセッションを発生させたり、\n他にはない強力な効果をもつものばかりです。\x0e\0\x03\x02ÿÿ\n\nＳＰゲージはバトル中に行動したりセッションを\n繋いだりすることで溜まっていきます。
Battle\TU_MND.msbt
TU_MND_T	マインドサージ状態について
TU_MND_000	\x0e\0\x03\x02\x02\0マインドサージ\x0e\0\x03\x02ÿÿ中は\x0e\0\x03\x02\x02\0行動ごとに\nＥＰが減少していきます。\x0e\0\x03\x02ÿÿ\n\n自然治癒することもありますが、\nアイテムやスキルで早めに対処しましょう。
Battle\TU_OVK.msbt
TU_OVK_T	オーバーキルについて
TU_OVK_001	セッション中に敵の残りＨＰが０になったため\n\x0e\0\x03\x02\x02\0オーバーキル\x0e\0\x03\x02ÿÿが発生しました！\n\nオーバーキルが発生していると、\nそのセッションでの残りの追撃は、\n\x0e\0\x03\x02\x02\0敵の耐性・無効・反射・吸収を無視します。\x0e\0\x03\x02ÿÿ
Battle\TU_PNC.msbt
TU_PNC_T	混乱状態について
TU_PNC_000	\x0e\0\x03\x02\x02\0混乱状態\x0e\0\x03\x02ÿÿになると、\x0e\0\x03\x02\x02\0一切の行動指示を\n受け付けず\x0e\0\x03\x02ÿÿ、また敵味方にアイテムやスキルを\n使用したり、なにもしなかったり、と\n\x0e\0\x03\x02\x02\0ランダムな行動を取るようになります。\nセッションに参加することもできません。\x0e\0\x03\x02ÿÿ\n\n自然治癒することもありますが、\nもし味方が混乱状態になってしまった場合、\nスキルやアイテムを活用し、\n早めに回復させましょう。
Battle\TU_PSN.msbt
TU_PSN_T	毒状態について
