Battle\COMMON.msbt
NOT_MOVE	正在观察情况……
Battle\EVT_BTL_B2_2.msbt
GAN_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2303\0啊，真无趣……\n不管是哪个家伙都好无趣……
GAN_03	\x0e\x04\0\x18\x15\0BTL_OTHER_0027_em2303\0你们几个！\n还不快去帮我挡住！
Battle\EVT_SKILL_0.msbt
Battle\EV_BOSS_00.msbt
ACT_START_00	\x0e\x04\0\x16\x13\0BTL_ACT_0008_em2301\0现在要开始大家期待已久的！\n猜谜\xb7幻影在哪里ＳＨＯＷ！！
ACT_START_01	\x0e\x04\0\x16\x13\0BTL_ACT_0031_em2301\0猜错的笨蛋们要一起接受处罚游戏！\n哈哈哈，这可没有小抄也没有解答板哦！
ACT_START_02	\x0e\x04\0\x18\x15\0BTL_REACT_0017_em2301\0笨蛋就好～好地思考吧！
ACT_END_00	\x0e\x04\0\x16\x13\0BTL_ACT_0031_em2301\0找出藏起来的本大爷吧！\n找错人的下场可是很惨的哦！
ACT_FAILED_00	\x0e\x04\0\x18\x15\0BTL_REACT_0017_em2301\0是那家伙吗？\n你觉得是那家伙吗？\n你们真是一群蠢蛋啊～！
ACT_FAILED_01	\x0e\x04\0\x16\x13\0BTL_ACT_0031_em2301\0猜、错、了。哇哈哈哈！\n处罚游戏开始！
ACT_SUCCESS_00	\x0e\x04\0\x16\x13\0BTL_ACT_0013_em2301\0唔啊啊啊啊！
ACT_SUCCESS_01	\x0e\x04\0\x18\x15\0BTL_OTHER_0040_em2301\0你为什么知道那是本大爷啊啊啊啊！？
BT00_PC_YUJIN_00	\x0e\x04\0\x1b\x18\0EVT_m0011_01_0001_pc1003\0哈，漂亮的开场！……咦，奇怪？\n连阿树他们也变成幻影主人了！？
BT00_MIRAGE_SCK_01_00	\x0e\x04\0\x1b\x18\0EVT_m0011_01_0002_mr1053\0看来确实如此啊。
BT00_NPC_SHIKAI_00	\x0e\x04\0\x1b\x18\0EVT_m0011_01_0003_np1101\0啊哈哈哈哈哈哈哈哈！！
BT00_PC_YUJIN_01	\x0e\x04\0\x1b\x18\0EVT_m0011_01_0004_pc1003\0……啊？
BT00_NPC_SHIKAI_01	\x0e\x04\0\x1b\x18\0EVT_m0011_01_0005_np1101\0幻影增加了！\n所有人都跟我走吧！
BT00_PC_YUJIN_02	\x0e\x04\0\x1b\x18\0EVT_m0011_01_0006_pc1003\0……什么，怎么可能这么轻易地跟你走！\n我要反过来，\n把你体内那个幻影赶出去！
Battle\EV_BTL_B1_3.msbt
INV_01	\x0e\x04\0\x19\x16\0BTL_OPEN_0001_em2302_b\0啊……好忌妒……\n好忌妒……好忌妒……\n好忌妒好忌妒好忌妒好忌妒！
INV_02	\x0e\x04\0\x19\x16\0BTL_OPEN_0001_em2302_a\0好忌妒那家伙！\n快杀了那家伙！
INV_04	\x0e\x04\0\x1b\x18\0EVT_m1034_01_0001_mr2302\0呜……呜呜……\n即使打倒我……也不会有任何改变……
INV_05	\x0e\x04\0\x1b\x18\0EVT_m1034_01_0002_mr2302\0我们的大批同胞……\n会不断地……来到这个世界……
INV_06	\x0e\x04\0\x1d\x1a\0EVT_m1034_01_0003_mr2302_a\0战争才刚刚开始……\n最后会胜利的……是我们～～！
Battle\EV_BTL_B3_1.msbt
ITSUKI_01	\x0e\x04\0\x1b\x18\0EVT_m3067_03_0001_pc1001\0原来剑弥代……也是幻影主人吗！？
RIVAL_01	\x0e\x04\0\x1b\x18\0EVT_m3067_03_0002_pc1008\0……给我让开。
ITSUKI_02	\x0e\x04\0\x1b\x18\0EVT_m3067_03_0003_pc1001\0我不会……让你得逞的！
RIVAL_02	\x0e\x04\0\x17\x14\0BTL_OPEN_0002_em1008\0还算是有点本事……\n但不是我的对手。
RIVAL_03	\x0e\x04\0\x18\x15\0BTL_OTHER_0008_em1008\0你还不懂我们之间力量的差距吗？
RIVAL_04	\x0e\x04\0\x18\x15\0BTL_OTHER_0009_em1008\0乖乖把琪姬交出来。
Battle\EV_BTL_B3_3.msbt
Battle\EV_BTL_B4_2.msbt
GERIBA_02	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2037\0不是说了别过来吗！？
Battle\EV_BTL_B4_3.msbt
RIVAL_03	\x0e\x04\0\x17\x14\0BTL_OPEN_0003_em1008\0虽然是情势所逼，但我不打算手下留情。
DIRM_01	\x0e\x04\0\x16\x13\0BTL_ACT_0008_em2306\0我会让你戏剧性地退场的！
DIRM_02	\x0e\x04\0\x18\x15\0BTL_OTHER_0022_em2306\0要重拍哟！\n压轴才没这么容易退场！
DIRM_03	\x0e\x04\0\x18\x15\0BTL_OTHER_0022_em2306\0再加强一点！\n还需要再戏剧化一些！
RIVAL_04	\x0e\x04\0\x17\x14\0BTL_OPEN_0004_em1008\0就到此为止了吗？我就在此退场了。
Battle\EV_BTL_B5_3.msbt
DYASI_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2309\0哥才是真正的剑弥代……！
DYASI_03	\x0e\x04\0\x16\x13\0BTL_ACT_0007_em2309\0就让你们见识一下本尊的威力！
DYASI_04	\x0e\x04\0\x1b\x18\0EVT_m5145_03_0001_mr2009\0哥、哥的歌声……消失了……！？
DYASI_05	\x0e\x04\0\x1b\x18\0EVT_m5145_03_0006_mr2009\0唔唔唔……为什么！\n哥跟你究竟有什么差别！？
Battle\EV_BTL_B5_4.msbt
Battle\EV_BTL_B6_1.msbt
TOMS_01	\x0e\x04\0\x16\x13\0BTL_ACT_0007_em2338\0我要来真的了哦！
MISHERAN_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2346\0让我见识见识你们的本事吧！
RINDA_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2339\0来吧，一决胜负！
RINDA_02	\x0e\x04\0\x18\x15\0BTL_OTHER_0015_em2339\0可别让我失望啊……
GODON_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2340\0能不能让我见识你的力量呢？
Battle\EV_BTL_B6_2.msbt
OGMA_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2341\0我是个只知道战斗的男人。
PAORA_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2342\0让我见识你们的力量吧！
JAYGAN_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2343\0让吾见识你的力量吧！
Battle\EV_BTL_B6_3.msbt
GANEF_01	\x0e\x04\0\x18\x15\0BTL_OTHER_0014_em2311\0呵呵呵……哈哈哈哈……
Battle\EV_BTL_Q61_5.msbt
MSG_Q61_5_01	\x0e\x04\0\x18\x15\0BTL_OTHER_0009_em2017\0你还不懂吗？\n就凭你是无法伤到这肉体一丝一毫的！
MSG_Q61_5_02	\x0e\x04\0\x16\x13\0BTL_ACT_0011_em2017\0我的弟子就足以对付你们了。\n喂！他们就交给你们了！
MSG_Q61_5_03	\x0e\x04\0\x18\x15\0BTL_OTHER_0009_em2017\0你还不懂吗？\n就凭你是无法伤到这肉体的……？
MSG_Q61_5_04	\x0e\x04\0\x18\x15\0BTL_REACT_0005_em2017\0受，受伤了！我这无敌的身体居然有了伤痕！\n你这家伙作弊了吧！
MSG_Q61_5_05	\x0e\x04\0\x16\x13\0BTL_ACT_0011_em2017\0既然如此……\n我也使出全力，动员全军来击溃你吧！\n小子们！上啊！
Battle\EV_BTL_QB10_1.msbt
CERV_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2337\0吾的胡须因胜利而热血沸腾！
CERV_02	\x0e\x04\0\x1a\x17\0BTL_SESSION_0012_em2337\0哈哈哈！太棒了！\n只要有这么强大的表现晶，\n甚至连这种事都可以做到！
Battle\EV_BTL_QB2_1.msbt
FEL_01	\x0e\x04\0\x1d\x1a\0EVT_s1002_s_10_0001_em2412\0怎么会……！我……！\n身为传说中的偶像的我！\n居然会输给这样的小丫头！
TSUB_01	\x0e\x04\0\x1d\x1a\0EVT_s1002_s_10_0002_pc1002\0传说中的偶像是前川梓小姐。\n才不是你呢！
FEL_02	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2412\0我……前川梓……\n满怀哀叹怨意……为大家献唱。
FEL_03	\x0e\x04\0\x18\x15\0BTL_OTHER_0015_em2412\0小丫头……！
Battle\EV_BTL_QB3_1.msbt
ABEL_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2401\0就用你的身体……\n来承受我这怨叹之枪吧！
Battle\EV_BTL_QB4_1.msbt
SAR_01	\x0e\x04\0\x18\x15\0EVT_REPLY_0004_mr1054\0不把这些家伙诱惑住的话，很难打倒他们哦……\n小翼，示范给她看吧。
TSUB_01	\x0e\x04\0\x1d\x1a\0EVT_s1002_s_12_0007_pc1002\0是，是的！雾亚小姐，请仔细看哦！
TSUB_02	\x0e\x04\0\x1d\x1a\0EVT_s1009_s_08_0003_pc1002\0成功了！就是这种感觉哦，雾亚小姐！
SAR_02	\x0e\x04\0\x18\x15\0EVT_REPLY_0014_mr1054\0不愧是小翼……但另一边似乎还有点不满足呢……\n雾亚，该轮到你出场了哦。
KIRIA_01	\x0e\x04\0\x1d\x1a\0EVT_s1009_s_13_0002_pc1009\0……
TSUB_03	\x0e\x04\0\x18\x15\0EVT_REPLY_0099_pc1002\0那，那个……\n雾亚小姐？
KIRIA_02	\x0e\x04\0\x1d\x1a\0EVT_s1009_b_09_0001_pc1009\0……嗯\n我大概抓到感觉了。
QB4_INFO_02	\x0e\0\x03\x02\x02\0雾亚\x0e\0\x03\x02\xff\xff在这场战斗中\n学会如何使用技能\x0e\0\x03\x02\x02\0“诱惑姿势”\x0e\0\x03\x02\xff\xff了！
KIRIA_03	\x0e\x04\0\x18\x15\0EVT_REPLY_0030_pc1009\0就让我彻底展现……那可爱之处吧！\n要上了哦！泥土人偶！
QB4_INFO_01	\x0e\0\x03\x02\x02\0小翼\x0e\0\x03\x02\xff\xff在这场战斗中\n学会如何使用技能\x0e\0\x03\x02\x02\0“诱惑姿势”\x0e\0\x03\x02\xff\xff了！
MAZI_01	\x0e\x04\0\x18\x15\0BTL_REACT_0010_em2334\0那边那个酷酷的家伙！
KIRIA_04	……
MAZI_02	\x0e\x04\0\x18\x15\0BTL_OTHER_0015_em2334\0你这家伙太耀眼了吧！
QB4_INFO_03	看来雾亚似乎是他喜欢的类型……
SAZI_01	\x0e\x04\0\x18\x15\0BTL_REACT_0008_em2333\0那边那个可爱的家伙！
TSUB_04	\x0e\x04\0\x1d\x1a\0EVT_s1002_s_12_0007_pc1002\0是，是？！
SAZI_02	\x0e\x04\0\x18\x15\0BTL_OTHER_0015_em2333\0你这家伙太可爱了吧！
QB4_INFO_04	看来似乎很喜欢小翼……
SAR_03	\x0e\x04\0\x18\x15\0EVT_REPLY_0035_mr1054\0居然一次就成功，你很不错嘛。\n好了，他们被迷住的这时候就是良机。
KIRIA_05	\x0e\x04\0\x18\x15\0EVT_REPLY_0039_pc1009\0嗯，一口气收拾他们吧！
SAZI_03	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2333\0喂，玛吉！\n你这家伙别搞砸了啊！
MAZI_03	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2334\0萨吉！你这家伙太蠢了！
Battle\EV_BTL_QB5_1.msbt
VIOL_01	\x0e\x04\0\x1d\x1a\0EVT_s1006_a_09_0002_mr1055\0等等，艾莉。\n看来有新的客人来了呢。
ELLEE_02	\x0e\x04\0\x1d\x1a\0EVT_s1006_a_09_0003_pc1006\0哼！看我将他们一网打尽！\n阿树，好好掩护我哦！
ITSUKI_01	\x0e\x04\0\x1d\x1a\0EVT_s1006_a_09_0004_pc1001\0没问题！
Battle\EV_BTL_QB6_1.msbt
LAWR_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2335\0全都是……不切实际的东西……
Battle\EV_BTL_QB7_1.msbt
YASIRO_01	\x0e\x04\0\x18\x15\0EVT_REPLY_0031_pc1008\0这个训练的目的，\n是要让我们两个学会携手合作。\n苍井树……你就专注于支援吧。
QB7_INFO_01	\x0e\0\x03\x02\x02\0弥代\x0e\0\x03\x02\xff\xff在这场战斗中\n学会如何使用技能\x0e\0\x03\x02\x02\0“线索……”\x0e\0\x03\x02\xff\xff了！
QB7_INFO_02	\x0e\0\x03\x02\x02\0艾莉\x0e\0\x03\x02\xff\xff在这场战斗中\n学会如何使用技能\x0e\0\x03\x02\x02\0“犯人……”\x0e\0\x03\x02\xff\xff了！
Battle\EV_BTL_QB7_2.msbt
LONG_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2400\0剑弥代……你的表现晶我也收下了。
Battle\EV_GIMMIK.msbt
TIKI_EVENT_1	\x0e\x04\0\x18\x15\0BTL_OTHER_1004_pc1010\0大哥哥！总算将梅迪乌斯逼入绝境了！\n就在此刻……\n使出所有的、全部的力量吧！
TIKI_EVENT_2	由于琪姬的力量，\n阿树等人的ＨＰ及异常状态回复了！
TIKI_EVENT_3	\x0e\0\x03\x02\x02\0阿树\x0e\0\x03\x02\xff\xff在这场战斗中\n学会如何使用特别演出\x0e\0\x03\x02\x02\0“神龙的加护”\x0e\0\x03\x02\xff\xff了！
Battle\TU_ADL.msbt
Battle\TU_ATK.msbt
Battle\TU_CAT.msbt
TU_CAT_T	关于克制技能
TU_CAT_000	\x0e\0\x03\x02\x02\0克制技能\x0e\0\x03\x02\xff\xff就是可以无视防御相克，\n对骑兵或是龙等\x0e\0\x03\x02\x02\0特定职业\x0e\0\x03\x02\xff\xff发动协奏的技能。\n\n例如，杀马枪能无视\n职业为骑兵的敌人之防御相克进行攻击。\n※克制技能也具备一般的武器属性。
Battle\TU_CHG.msbt
TU_CHG_T	关于ＣＨＡＮＧＥ
TU_CHG_000	选择\x0e\0\x03\x02\x02\0ＣＨＡＮＧＥ\x0e\0\x03\x02\xff\xff之后，\n\x0e\0\x03\x02\x02\0可以在战斗中让阿树以外的成员与\n后备成员替换。\x0e\0\x03\x02\xff\xff\n\n可活用于攻击不到敌方的弱点及\n成员血量过少等状况，\n随机应变地战斗吧！
Battle\TU_CHM.msbt
TU_CHM_T	关于魅惑状态
TU_CHM_000	陷入\x0e\0\x03\x02\x02\0魅惑状态时\x0e\0\x03\x02\xff\xff，将\x0e\0\x03\x02\x02\0无法接受任何行动指示，\n并会随机采取行动。\x0e\0\x03\x02\xff\xff\n例如会对敌方使用回复道具或技能、\n攻击我方成员、看敌方看得入迷而不行动。\n\x0e\0\x03\x02\x02\0同时也无法参与协奏。\x0e\0\x03\x02\xff\xff\n\n虽然魅惑状态也可能自然解除，\n但还是活用技能或道具，\n尽早让成员回复吧。
Battle\TU_CLS.msbt
TU_CLS_T	关于封印状态
TU_CLS_000	陷入\x0e\0\x03\x02\x02\0封印状态\x0e\0\x03\x02\xff\xff时，幻影的力量会被封印，\n\x0e\0\x03\x02\x02\0将无法使用技能。\x0e\0\x03\x02\xff\xff\n此外，\x0e\0\x03\x02\x02\0成员的能力将被弱化，\n同时也无法参与协奏。\x0e\0\x03\x02\xff\xff\n\n请注意，虽然封印状态也可能自然解除，\n但若我方成员陷入封印状态，\n\x0e\0\x03\x02\x02\0即使战斗结束也将持续维持。\x0e\0\x03\x02\xff\xff
Battle\TU_DUO.msbt
Battle\TU_ELE.msbt
Battle\TU_ESC.msbt
Battle\TU_FLM.msbt
TU_FLM_T	关于燃烧状态
TU_FLM_000	受到梅迪乌斯的火焰攻击，陷入\x0e\0\x03\x02\x02\0燃烧状态\x0e\0\x03\x02\xff\xff了。\n\n燃烧状态中，会在\x0e\0\x03\x02\x02\0每次行动时受到伤害。\x0e\0\x03\x02\xff\xff\n此外，\x0e\0\x03\x02\x02\0因陷入燃烧状态时\n对火焰属性的防御相克会下降，\n所受的火焰属性伤害会大幅增加。\n同时也无法参与协奏，\x0e\0\x03\x02\xff\xff\n是非常危险的异常状态，\n尽快使用道具或是技能来应对吧！
Battle\TU_GDS.msbt
Battle\TU_GRD.msbt
Battle\TU_MAS.msbt
Battle\TU_MIR.msbt
TU_MIR_T	关于特别演出
TU_MIR_000	可以使用\x0e\0\x03\x02\x02\0特别演出\x0e\0\x03\x02\xff\xff了！\n\n特别演出是需要消耗屏幕右上角的\n\x0e\0\x03\x02\x02\0ＳＰ槽\x0e\0\x03\x02\xff\xff才能使用的技能。\n\x0e\0\x03\x02\x02\0都是些能够无视属性发动协奏、\n或是具有特殊强力效果的技能。\x0e\0\x03\x02\xff\xff\n\nＳＰ槽会根据战斗中的行动和协奏攻击累积。
Battle\TU_MND.msbt
TU_MND_T	关于心智波动状态
TU_MND_000	\x0e\0\x03\x02\x02\0心智波动状态\x0e\0\x03\x02\xff\xff中，\n\x0e\0\x03\x02\x02\0每一次行动都会造成ＥＰ减少。\x0e\0\x03\x02\xff\xff\n\n虽然心智波动状态也可能自然解除，\n但还是尽早使用道具或是技能来应对吧。
Battle\TU_OVK.msbt
TU_OVK_T	关于过量击杀
TU_OVK_001	因为敌方剩余ＨＰ在协奏攻击中归零，\n发生了\x0e\0\x03\x02\x02\0过量击杀\x0e\0\x03\x02\xff\xff！\n\n当发生过量击杀时，\n该协奏剩余的追击将会\n\x0e\0\x03\x02\x02\0无视敌方的抗性、无效、反弹以及吸收。\x0e\0\x03\x02\xff\xff
Battle\TU_PNC.msbt
TU_PNC_T	关于混乱状态
TU_PNC_000	陷入\x0e\0\x03\x02\x02\0混乱状态时\x0e\0\x03\x02\xff\xff，将\x0e\0\x03\x02\x02\0无法接受任何行动指示，\n并会随机采取行动。\x0e\0\x03\x02\xff\xff\n例如会对敌我双方使用回复道具或技能、\n或是什么都不做。\n\x0e\0\x03\x02\x02\0同时也无法参与协奏。\x0e\0\x03\x02\xff\xff\n\n我方成员陷入混乱状态时，\n虽然也可能自然解除，\n但还是活用技能或是道具，\n尽早让成员回复吧。
Battle\TU_PSN.msbt
TU_PSN_T	关于中毒状态
TU_PSN_000	陷入\x0e\0\x03\x02\x02\0中毒状态\x0e\0\x03\x02\xff\xff时，\n会在\x0e\0\x03\x02\x02\0每次行动时受到伤害。\x0e\0\x03\x02\xff\xff\n\n此外，若我方成员\x0e\0\x03\x02\x02\0在战斗结束后\n仍然维持中毒状态，\n即使在地图上移动也会造成伤害，\x0e\0\x03\x02\xff\xff\n所以还是活用技能或是道具，\n尽早让成员回复吧。
Battle\TU_RGK.msbt
TU_RGK_T	特定条件下的协奏
TU_RGK_001	有部分闪耀技能，\n\x0e\0\x03\x02\x02\0能够无视防御克制，\n并且对陷入特定异常状态的敌人进行协奏。\x0e\0\x03\x02\xff\xff\n\n现在已经满足能以其效果引发协奏的条件。\n积极地尝试发动技能吧！
Battle\TU_SES.msbt
TU_SES_T	关于协奏
TU_SES_000	\x0e\0\x03\x02\x02\0当以技能攻击敌方弱点时，\n拥有能配合该技能之协奏技能的我方成员\n将会进行追击。\x0e\0\x03\x02\xff\xff\n这就称为\x0e\0\x03\x02\x02\0协奏\x0e\0\x03\x02\xff\xff。\n\n比起一般的攻击，\n协奏能更有效地给予更多的伤害。\n积极瞄准弱点，串起协奏吧！
TU_SES_001	……小翼新学到的协奏技能——\n\x0e\0\x03\x02\x02\0追雷突击\x0e\0\x03\x02\xff\xff是雷属性……也就是说，\n能与阿树的\x0e\0\x03\x02\x02\0吉欧\x0e\0\x03\x02\xff\xff进行协奏。\n\n先试着使用阿树的吉欧，\n瞄准敌方弱点吧！
Battle\TU_SES2.msbt
Battle\TU_SKL.msbt
Battle\TU_SLP.msbt
TU_SLP_T	关于睡眠状态
TU_SLP_000	陷入\x0e\0\x03\x02\x02\0睡眠状态\x0e\0\x03\x02\xff\xff时，包含协奏在内，\n\x0e\0\x03\x02\x02\0将无法采取任何行动。\x0e\0\x03\x02\xff\xff\n此外，受到的攻击必定是暴击。\n\n我方成员陷入睡眠状态时，\n虽然也可能自然解除，\n但还是活用技能或是道具，\n尽早让成员回复吧。
Battle\TU_SSB.msbt
TU_SSB_T	关于击败定量目标的支线剧情
TU_SSB_000	这个支线剧情，\n必须在将指定成员编入主要成员的状态下，\n打倒特定数量的指定敌人才能进行。\n\n除了由指定成员的攻击所击败的目标外，\n\x0e\0\x03\x02\x02\0该成员参与协奏攻击后击败的目标，\n也会被计算在内。\x0e\0\x03\x02\xff\xff
Battle\TU_STN.msbt
TU_STN_T	关于昏厥状态
TU_STN_000	\x0e\0\x03\x02\x02\0陷入昏厥状态的回合，\n既无法行动也无法参与协奏。\x0e\0\x03\x02\xff\xff\n在下一个行动回合时便会自然解除昏厥状态，\n但在昏厥状态期间，\n比较容易受到来自敌方的暴击。
Battle\TU_TAC.msbt
TU_TAC_T	关于ＴＡＣＴＩＣＳ
TU_TAC_001	在\x0e\0\x03\x02\x02\0ＴＡＣＴＩＣＳ\x0e\0\x03\x02\xff\xff中，\n可以设置除了阿树以外所有成员的行动方针。\n给予个别指示以外的指示时，\n该成员会依照行动方针的指示自行行动。\n\n按下\x0e\x03\0\x04\0\0\x07\0确认指示，\n按下\x0e\x03\0\x04\0\0\x08\0则会取消指示。\n设置好的指示在自动战斗中无效，\n且在下一个阿树的行动回合前无法更改。
Battle\TU_ZMB.msbt
TU_ZMB_T	关于僵尸状态
TU_ZMB_000	陷入\x0e\0\x03\x02\x02\0僵尸状态\x0e\0\x03\x02\xff\xff时，\x0e\0\x03\x02\x02\0无法接受任何行动指示，\n且每次行动都会受到伤害。\n同时也无法参与协奏。\x0e\0\x03\x02\xff\xff\n另外，陷入僵尸状态的成员会攻击我方成员，\n\x0e\0\x03\x02\x02\0受到攻击的我方成员，也会感染僵尸状态，\x0e\0\x03\x02\xff\xff\n活用技能或是道具，尽早让成员回复吧。
Camp\Camp.msbt
CAMP_MENU_000	？？？
CAMP_MENU_00	确认或使用技能。
CAMP_MENU_01	确认或使用道具。
CAMP_MENU_02	确认或搭配装备。
CAMP_MENU_03	确认角色状态及个人资料。
CAMP_MENU_04	配置参加战斗的成员。
CAMP_MENU_05	确认敌方幻影信息。
CAMP_MENU_06	进行保存及读取等整体管理。
CAMP_MENU_07	保存游戏数据。
CAMP_MENU_08	读取游戏数据。
CAMP_MENU_09	设置游戏环境及更改难易度。
CAMP_ANALYSIS_HELP_01	\x0e\x02\0\x02\0\0的信息。按下\x0e\x03\0\x04\0\0\x04\0能确认详细的状态。
CAMP_ITEM_HELP_01	与敌人战斗时获得的神秘物质。当中似乎蕴藏着某种力量……
CAMP_ITEM_HELP_02	未持有该类道具。
CAMP_ITEM_HELP_00	此效果已发生。
CAMP_STATUS_HELP_00	可以确认\x0e\x02\0\x02\0\0的状态信息。
