MESS_ARCHIVE_Result


Message Name: Message


MID_リザルト_戦果: 戰果
MID_リザルト_パオラ_辛勝: 總算獲勝了。
MID_リザルト_パオラ_死亡: 失去夥伴真難受呢……
MID_リザルト_パオラ_死亡_1: 竟然會……！唉……如果我能代替她死去就好了……
MID_リザルト_カチュア_完勝: 打得好不盡興喔。
MID_リザルト_カチュア_辛勝: 既然贏了就好。
MID_リザルト_カチュア_死亡: 對不起，沒能保護得了……
MID_リザルト_カチュア_死亡_1: 這是……騙人的吧……我們可是缺一不可啊……
MID_リザルト_アトラス_完勝: 好耶，你們活該！
MID_リザルト_アトラス_辛勝: 呼，好險喔。
MID_リザルト_アトラス_死亡: 如果我更強的話……
MID_リザルト_ジェシー_完勝: 哼哼，贏得真輕鬆。
MID_リザルト_ジェシー_辛勝: 唉，希望下次能贏得輕鬆點。
MID_リザルト_ジェシー_死亡: 離別真令人討厭……
MID_リザルト_ソニア_完勝: 哎呀，已經結束了？真無趣呢……
MID_リザルト_ソニア_辛勝: 打得真辛苦，一點都不像我的作風。
MID_リザルト_ソニア_死亡: 要是不切割情緒，就撐不下去了啊……
MID_リザルト_ディーン_完勝: 真無趣，才這點程度嗎？
MID_リザルト_ディーン_辛勝: 挺行的嘛……
MID_リザルト_ディーン_死亡: 犧牲總是難免，沒時間一一哀嘆。
MID_リザルト_エスト_完勝: 如果我幫上了各位，那就太開心了。
MID_リザルト_エスト_辛勝: 呼，真是驚險。沒事吧？
MID_リザルト_エスト_死亡: 大家不能一起前進，真可惜……
MID_リザルト_エスト_死亡_1: 姊姊！不要不要，我不要這樣――！！
MID_リザルト_ノーマ_完勝: 呵呵呵，贏得真輕鬆。
MID_リザルト_ノーマ_辛勝: 呼，真是嚇出一身冷汗。
MID_リザルト_ノーマ_死亡: 看年輕人死去真讓老夫難受……
MID_リザルト_ベルクト_完勝: 這是當然的，勝利總是與我同在啊。
MID_リザルト_ベルクト_辛勝: 竟然把我逼到這種地步……
MID_リザルト_ベルクト_死亡: 犧牲總是難免，最好明白明天或許就輪到自己。
MID_リザルト_フェルナン_完勝: 如何？這就是我的實力。
MID_リザルト_フェルナン_辛勝: 可惡，竟然如此難對付……
MID_リザルト_フェルナン_死亡: 要是我更有力量……
MID_リザルト_フェルナン_死亡_1: 克雷貝，你……到底在做什麼啊……！
