MESS_ARCHIVE_Sortie


Message Name: Message


MID_SORTIE_タイトル: 進擊準備
MID_SORTIE_持ち物整理_統合: 統整
MID_SORTIE_持ち物整理_装備: 裝備
MID_SORTIE_持ち物整理_外す: 卸下
MID_SORTIE_持ち物整理_並べ替え: 變更排序
MID_SORTIE_持ち物整理_使う: 使用
MID_SORTIE_持ち物整理_使う警告: 行囊已經裝滿了，\n無法使用持有物。
MID_SORTIE_持ち物整理_捨てる: 丟棄
MID_SORTIE_持ち物整理_無し: 無任何持有物
MID_SORTIE_持ち物整理_輸送隊: 行囊
MID_SORTIE_持ち物整理_在庫: 庫存
MID_RELIANCE_会話相手選択: 請選擇對象
MID_RELIANCE_名前不明: ？？？？？？
