MESS_ARCHIVE_Skill


Message Name: Message


MSID_無し: －－－－－－
MSID_H_ディル無効: 滅魔無效
MSID_H_召喚AI: 召喚AI
MSID_H_召喚独立: 召喚獨立
MSID_H_ビグル道連れ: 比格魯同行
MSID_H_分裂: 以一定機率進行分裂
MSID_H_ダメージ床無効: 使地板所造成的傷害無效
MSID_H_生存ロスト: 亡逝
MSID_H_祈り: 受到使ＨＰ為０的攻擊時，\n將以幸運×２的機率存活
MSID_H_攻撃時2回攻撃: 攻擊時，可進行2次攻擊
MSID_H_特殊演出: 特殊演出
MSID_H_準特殊演出: 準特殊演出
MSID_H_魔力射程: 魔力射程
MSID_H_半魔力射程: １／２魔力射程
MSID_H_四半魔力射程: １／４魔力射程
MSID_H_弓射程＋１: 弓的攻擊射程\n增加１格
MSID_H_弓射程＋２: 弓的攻擊射程\n增加２格
MSID_H_被毒: 每回合\nＨＰ減少１０
MSID_H_被毒２: 每回合\nＨＰ減少１０
MSID_H_被毒３: 每回合\nＨＰ減少１０
MSID_H_被足止め: 無法移動，\n且回避率下降３０％
MSID_H_被足止め始: 無法移動，\n且回避率下降３０％
MSID_H_被魔封じ: 無法使用魔法、傳送
MSID_H_被魔封じ始: 無法使用魔法、傳送
MSID_H_毒パッシブ: 若攻擊命中，\n將使對手陷入【中毒】狀態
MSID_H_足止めパッシブ: 若攻擊命中，\n將使對手陷入【封鎖移動】狀態
MSID_H_魔封じパッシブ: 若攻擊命中，\n將使對手陷入【封鎖魔法】狀態
MSID_H_ドーマの加護: 藉由多瑪神之力，\n封鎖對手的攻擊
MSID_H_メガクェイク: 大地魔法\n對敵方全體造成傷害
MSID_H_ダークスパイク: 邪龍的刺棘\n對範圍內的敵人造成傷害
MSID_H_邪竜の鱗: 所受傷害減半
MSID_H_赤の呪い: 使周遭３格內的敵人\n其回避值下降２０
MSID_H_防御無効: 無視對手的防禦
MSID_H_アルム攻撃禁止: 阿雷武禁止攻擊
MSID_H_状態異常無効: 不會陷入\n毒、麻痺等異常狀態
MSID_H_騎馬: 騎著馬奔馳戰場\n高移動力
MSID_H_飛行: 移動或戰鬥時，\n將不受地形影響
MSID_H_鎧: 穿著鎧甲的士兵\n以高防禦力著稱
MSID_H_魔物: 受詛咒的生物\n具有高生命力
MSID_H_上級魔物: 獲得力量而進化的魔物\n可使滅魔無效化
MSID_H_竜族: 存在稀有的龍族\n具有壓倒性的力量
MSID_H_神: 持續追求力量，\n最後失去自我的神龍
MSID_H_神_ギムレー: 由神之力與負面意念\n所形成的邪龍
MSID_H_騎馬特効: 對持有【騎馬】的對手\n具有攻擊特效
MSID_H_飛行特効: 對持有【飛行】的對手\n具有攻擊特效
MSID_H_鎧特効: 對持有【鎧兵】的對手\n具有攻擊特效
MSID_H_魔物特効: 對持有【魔物】系的對手\n具有攻擊特效
MSID_H_女武器威力２倍: 女性使用時，\n武器威力變為２倍
MSID_H_魔法ＨＰ消費無し: 使用魔法時，\n將不消耗ＨＰ
MSID_H_ダメージ床無効_公開: 不會受到\n來自地形的傷害
MSID_H_amiibo召喚: 使用amiibo，\n召喚幻影兵
