MESS_ARCHIVE_System


Message Name: Message


MID_SYS_クラシック: 經典
MID_SYS_ノーダメージ: NO DAMAGE
MID_SYS_ガード: GUARD
MID_TLP_青軍フェイズ: Player　Phase
MID_TLP_赤軍フェイズ: Enemy　Phase
MID_TLP_緑軍フェイズ: Ally　Phase
MID_TLP_マップクリア: 戰鬥結束
MID_TLP_退却: 撤退
MID_MSG_アイテム入手: $a獲得$a0
MID_MSG_アイテム送り: $a$a0已送至行囊
MID_MSG_ゴールド入手: $a獲得$a0Ｇ
MID_SYS_通貨入手: $a獲得$a0枚
MID_MSG_材料入手: $a獲得$a1個$a0了
MID_MSG_アイテム略奪: $a$a0被奪走了
MID_MSG_ゴールド略奪: $a$a0Ｇ被奪走了
MID_MSG_アイテム破損: $a$a0毀損了
MID_MSG_アイテム破損２: $a$a1的$a0毀損了
MID_MSG_疲労回復: 疲勞回復了
MID_MSG_パラメータアップ: $a$a0的$a1提升了
MID_MSG_パラメータダウン: $a$a0的$a1下降了
MID_MSG_武器レベルアップ: $a武器等級$a0提升至$a2了
MID_MSG_武器レベルアップ２: $a$a1的武器等級$a0提升至$a2了
MID_MSG_武器使用可能: $a$a0能使用\n新武器了！
MID_MSG_魔法習得: $a$a0學會新魔法了！
MID_MSG_戦技習得: $a$a0修得戰技\n$a1了！
MID_MSG_CC可能_村人: $a$a0獲得\n轉職的資格了
MID_MSG_CC可能_村人以外: $a$a0獲得轉職為\n$a1的資格了
MID_MSG_スキル習得: $a$a0修得新技能了！
MID_MSG_スキル習得２: $a$a1修得技能\n$a0了
MID_MSG_支援レベル上昇: $a$a0與$a1的\n支援等級提升至$a2
MID_MSG_捕獲: $a捕獲$a0了
MID_MSG_効果無し: 無效果
MID_MSG_能力強化: $a$a0與$a1的狀態提升了
MID_MSG_武器経験値入手: 操控武器的技術提升了
MID_MSG_支援強化: $a$a0與$a1的感情提升了
MID_MSG_通信交流終了: 已結束通訊交流
MID_MSG_戦闘予測_死亡: 非常危險
MID_MSG_戦闘予測_特効: 敵方的武器很危險
MID_MSG_戦闘予測_3すくみ: 武器的契合度不佳
MID_TRICK_命中: $a命中＋$a0
MID_TRICK_必殺: $a爆擊＋$a0
MID_TRICK_回避: $a回避＋$a0
MID_TRICK_必殺回避: $a爆擊回避＋$a0
MID_TRICK_ダメージ強化: $a造成傷害＋$a0
MID_TRICK_ダメージ軽減: $a所受傷害－$a0
MID_TRICK_ターンダメージ: $a回合傷害$a0％
MID_TRICK_ターン回復: $a回合回復$a0％
MID_BTL_アタック: 攻擊！
MID_BTL_サポート: 支援！
MID_MESSAGECARD_紹介: 請多指教。
MID_MESSAGECARD_広場: 你好。
MID_MESSAGECARD_玉座: 歡迎。
MID_MESSAGECARD_戦闘: 決一勝負！
MID_HISTORY_離脱: $a於$a0脫離
MID_HISTORY_異伝: 異傳
MID_仲間入り_1: $a$a0成為夥伴了。
MID_仲間入り_2: $a$a0、$a1成為夥伴了。
MID_仲間入り_3: $a$a0、$a1、$a2成為夥伴了。
MID_アルム攻撃禁止_メッセージ: $a$a0不知為何並未攻擊！
MID_ドーマの加護_メッセージ: $a$a0的攻擊被封鎖了！
MID_ドーマの眼光_メッセージ: $a$a0的攻擊被封鎖了！
MID_H_ULIST_クラス: 以兵種排序
MID_H_ULIST_レベル: 以等級排序
MID_H_ULIST_経験値: 以經驗值排序
MID_H_ULIST_ＨＰ: 以目前ＨＰ排序
MID_H_ULIST_ＭＨＰ: 以最大ＨＰ排序
MID_H_ULIST_力: 以攻擊強度排序
MID_H_ULIST_技: 以技巧排序
MID_H_ULIST_速さ: 以速度排序
MID_H_ULIST_幸運: 以幸運排序
MID_H_ULIST_守備: 以防守排序
MID_H_ULIST_魔防: 以魔法防禦排序
MID_H_ULIST_命中: 以命中率排序
MID_H_ULIST_必殺: 以爆擊率排序
MID_H_ULIST_物理回避: 以物理回避率排序
MID_H_ULIST_魔法回避: 以魔法回避率排序
MID_H_ULIST_移動: 以移動力排序
MID_名声_加算100以上: 名聲提高了！
MID_名声_加算300以上: 名聲大幅提高了！
MID_名声_加算500以上: 名聲響徹了瓦倫西亞陸地！
MID_名声_等級アップ: $a名聲等級自「$a0」\n提升至「$a1」了！
MID_記憶の欠片_無し: 要窺視此記憶\n必須有記憶碎片
MID_ミラの歯車メニュー_NoItem: 美拉齒輪毫無反應……
MID_ミラの歯車_警告: 美拉齒輪開始發出怪聲
MID_ミラの歯車_限界: 美拉齒輪的狀況變差了！
MID_FIN: FIN
