MESS_ARCHIVE_Profile


Message Name: Message


MID_PROFILE_名前: 名字
MID_PROFILE_出身地_モーリタニア: 茅利塔尼亞
MID_PROFILE_出身地_メキシコ: 墨西哥
MID_PROFILE_出身地_モナコ: 摩納哥
MID_PROFILE_出身地_モンテネグロ: 蒙特內哥羅
MID_PROFILE_出身地_モントセラト: 蒙哲臘
MID_PROFILE_出身地_モザンビーク: 莫三比克
MID_PROFILE_出身地_ナミビア: 納米比亞
MID_PROFILE_出身地_オランダ: 荷蘭
MID_PROFILE_出身地_オランダ領アンティル: 荷屬安地列斯
MID_PROFILE_出身地_ニュージーランド: 紐西蘭
MID_PROFILE_出身地_ニカラグア: 尼加拉瓜
MID_PROFILE_出身地_ニジェール: 尼日
MID_PROFILE_出身地_ノルウェー: 挪威
MID_PROFILE_出身地_オマーン: 阿曼
MID_PROFILE_出身地_その他: 其他
MID_PROFILE_出身地_パナマ: 巴拿馬
MID_PROFILE_出身地_パラグアイ: 巴拉圭
MID_PROFILE_出身地_ペルー: 秘魯
MID_PROFILE_出身地_フィリピン: 菲律賓
MID_PROFILE_出身地_ポーランド: 波蘭
MID_PROFILE_出身地_ポルトガル: 葡萄牙
MID_PROFILE_出身地_カタール: 卡達
MID_PROFILE_出身地_ルーマニア: 羅馬尼亞
MID_PROFILE_出身地_ロシア: 俄羅斯
MID_PROFILE_出身地_エルサルバドル: 薩爾瓦多
MID_PROFILE_出身地_サンマリノ: 聖馬利諾
MID_PROFILE_出身地_サウジアラビア: 沙烏地阿拉伯
MID_PROFILE_出身地_セルビア: 塞爾維亞
MID_PROFILE_出身地_シンガポール: 新加坡
MID_PROFILE_出身地_スロバキア: 斯洛伐克
MID_PROFILE_出身地_スロベニア: 斯洛維尼亞
MID_PROFILE_出身地_ソマリア: 索馬利亞
MID_PROFILE_出身地_南アフリカ: 南非
MID_PROFILE_出身地_韓国: 大韓民國
MID_PROFILE_出身地_スペイン: 西班牙
MID_PROFILE_出身地_セントキッツ・ネイビス: 聖克里斯多福及尼維斯
MID_PROFILE_出身地_セントルシア: 聖露西亞
MID_PROFILE_出身地_セントビンセント・グレナディーン: 聖文森及格瑞那丁
MID_PROFILE_出身地_スーダン: 蘇丹
MID_PROFILE_出身地_スリナム: 蘇利南
MID_PROFILE_出身地_スワジランド: 史瓦濟蘭
MID_PROFILE_出身地_スウェーデン: 瑞典
MID_PROFILE_出身地_スイス: 瑞士
MID_PROFILE_出身地_シリア: 敘利亞
MID_PROFILE_出身地_台湾: 台灣
MID_PROFILE_出身地_タイ: 泰國
MID_PROFILE_出身地_トリニダード・トバゴ: 千里達及托巴哥
MID_PROFILE_出身地_トルコ: 土耳其
MID_PROFILE_出身地_タークス・カイコス諸島: 土克凱可群島
MID_PROFILE_出身地_アラブ首長国連邦: 阿拉伯聯合大公國
MID_PROFILE_出身地_イギリス: 英國
MID_PROFILE_出身地_アメリカ: 美國
MID_PROFILE_出身地_ウルグアイ: 烏拉圭
MID_PROFILE_出身地_米領バージン諸島: 美屬維京群島
MID_PROFILE_出身地_バチカン: 梵蒂岡
MID_PROFILE_出身地_ベネズエラ: 委內瑞拉
MID_PROFILE_出身地_ザンビア: 尚比亞
MID_PROFILE_出身地_ジンバブエ: 辛巴威
MID_PROFILE_出身地_アカネイア王国: 阿卡奈亞王國
MID_PROFILE_出身地_アグストリア: 阿古斯特里亞諸侯聯合
MID_PROFILE_出身地_アリティア王国: 阿利提亞王國
MID_PROFILE_出身地_暗夜王国: 暗夜王國
MID_PROFILE_出身地_イーリス聖王国: 伊里斯聖王國
MID_PROFILE_出身地_イザーク王国: 伊扎克王國
MID_PROFILE_出身地_イズモ公国: 出雲公國
MID_PROFILE_出身地_イリア: 伊利亞
MID_PROFILE_出身地_ヴァルム帝国: 瓦雷姆帝國
MID_PROFILE_出身地_ヴァロール島: 瓦洛爾島
MID_PROFILE_出身地_ヴェルダン王国: 凡爾登王國
MID_PROFILE_出身地_エトルリア王国: 伊特魯里亞王國
MID_PROFILE_出身地_オレルアン王国: 奧利安王國
MID_PROFILE_出身地_カシミア: 卡西米亞
MID_PROFILE_出身地_カダイン: 卡達因
MID_PROFILE_出身地_ガリア王国: 加利亞王國
MID_PROFILE_出身地_ガルダ: 加爾達
MID_PROFILE_出身地_カルチノ共和国: 卡爾奇諾共和國
MID_PROFILE_出身地_キルヴァス王国: 奇爾沃斯王國
MID_PROFILE_出身地_グラ王国: 格拉王國
MID_PROFILE_出身地_グラド帝国: 格拉多帝國
MID_PROFILE_出身地_グランベル王国: 格蘭貝魯王國
MID_PROFILE_出身地_クリミア王国: 克里米亞王國
MID_PROFILE_出身地_グルニア王国: 哥爾尼亞王國
MID_PROFILE_出身地_ゴルドア王国: 格魯多亞王國
MID_PROFILE_出身地_サカ: 塞迦
MID_PROFILE_出身地_ジャハナ王国: 賈哈納王國
MID_PROFILE_出身地_シュヴァリエ公国: 舒瓦利埃公國
MID_PROFILE_出身地_シレジア王国: 西里西亞王國
MID_PROFILE_出身地_ソフィア王国: 索菲亞王國
MID_PROFILE_出身地_タリス王国: 塔利斯王國
MID_PROFILE_出身地_ディール: 迪爾
MID_PROFILE_出身地_デイン王国: 戴因王國
MID_PROFILE_出身地_テーベ: 泰貝
MID_PROFILE_出身地_トラキア王国: 色雷斯王國
MID_PROFILE_出身地_ドルーア帝国: 多魯亞帝國
MID_PROFILE_出身地_ナバタ: 納巴塔
MID_PROFILE_出身地_ノーヴァ島: 諾瓦島
MID_PROFILE_出身地_白夜王国: 白夜王國
MID_PROFILE_出身地_フウマ公国: 風魔公國
MID_PROFILE_出身地_フェニキス王国: 菲尼奇斯王國
MID_PROFILE_出身地_フェリア連合王国: 菲利亞聯合王國
MID_PROFILE_出身地_フレリア王国: 弗萊利亞王國
MID_PROFILE_出身地_ベグニオン帝国: 貝格尼昂帝國
MID_PROFILE_出身地_ペラティ王国: 佩拉提王國
MID_PROFILE_出身地_ベルン王国: 伯爾尼王國
MID_PROFILE_出身地_ペレジア王国: 佩萊吉亞王國
MID_PROFILE_出身地_マケドニア王国: 馬其頓王國
MID_PROFILE_出身地_ミューズ公国: 繆斯公國
MID_PROFILE_出身地_ラムの村: 拉姆村
MID_PROFILE_出身地_リキア同盟: 呂基亞同盟
MID_PROFILE_出身地_リゲル帝国: 利蓋爾帝國
MID_PROFILE_出身地_ルネス王国: 路奈斯王國
MID_PROFILE_出身地_レフカンディ: 勒夫坎第
MID_PROFILE_出身地_レンスター王国: 倫斯特王國
MID_PROFILE_出身地_ロストン聖教国: 羅斯通聖教國
MID_PROFILE_出身地_透魔王国: 透魔王國
