MESS_ARCHIVE_ResidentMenu


Message Name: Message


MID_MENU_戻る: 返回
MID_MENU_Amiibo: amiibo
MID_H_MENU_Amiibo: 可以使用amiibo遊玩
MID_MENU_Amiibo_Write: 寫入
MID_H_MENU_Amiibo_Write: 讓amiibo反映出遊戲裡的強度
MID_MENU_Amiibo_Dungeon: 迷宮
MID_H_MENU_Amiibo_Dungeon: 使用amiibo，挑戰特殊的迷宮
MID_H_MENU_Amiibo_Dungeon_NG: 在迷宮或據點裡無法使用。
MID_MENU_Duma_Dungeon: 戰神的考驗
MID_H_MENU_Duma_Dungeon: 可以挑戰戰神多瑪的考驗
MID_MENU_Mila_Dungeon: 女神的考驗
MID_H_MENU_Mila_Dungeon: 可以挑戰女神美拉的考驗
MID_MENU_AmiiboDung_女神の試練_説明: 在女神美拉的迷宮裡挑戰強敵！\n遊玩此迷宮需要有賽莉卡的amiibo。
MID_MENU_AmiiboDung_戦神の試練_説明: 在戰神多瑪的迷宮裡挑戰強敵！\n遊玩此迷宮需要有阿雷武的amiibo。
MID_MENU_記憶の欠片: 記憶碎片
MID_H_MENU_記憶の欠片: 可以使用記憶碎片觀看往事
MID_MENU_支援会話回想: 支援對話回想
MID_H_MENU_支援会話回想: 可以觀看單位之間的對話
MID_H_MENU_記憶の欠片_誘導: 要觀看哪個記憶呢？
MID_H_INFO_クラスチェンジ可能: 獲得轉職資格的證明
MID_H_INFO_レベル: 看出成為這個兵種後，\n累積了多少經驗的基準
MID_H_INFO_経験値: 累積戰鬥經驗而成的數值，\n達到１００就會升級
MID_H_INFO_ＨＰ: 生命力　現在值／上限值\n變成０即陣亡
MID_H_INFO_疲労度_元気: 疲勞度\n經歷戰鬥就會累積，\n一旦到達極限，最大HP就會下降\n現在精神飽滿
MID_H_INFO_疲労度_通常: 疲勞度\n經歷戰鬥就會累積，\n一旦到達極限，最大HP就會下降\n現在狀態一般
MID_H_INFO_疲労度_ピンチ: 疲勞度\n經歷戰鬥就會累積，\n一旦到達極限，最大HP就會下降\n現在狀態危險
MID_H_INFO_疲労度_疲労: 疲勞度\n經歷戰鬥就會累積，\n一旦到達極限，最大HP就會下降\n現在疲憊不堪
MID_H_INFO_支援ユニット: 情誼深厚的夥伴
MID_H_INFO_力: 攻擊的強度　數值越高，\n給敵人的傷害越大
MID_H_INFO_技: 技巧　數值越高，\n命中或爆擊率越高
MID_H_INFO_速さ: 速度　數值越高，迴避機率越高\n比敵人高就有機會追擊（攻擊２次）
MID_H_INFO_幸運: 幸運程度　會影響諸多層面\n數值越高，越不易遭敵人爆擊
MID_H_INFO_守備: 防守　數值越高，敵人使用劍等\n武器造成的物理攻擊傷害會越少
MID_H_INFO_魔防: 魔法防禦　數值越高，敵人使用\n魔法攻擊所造成的傷害會越少
MID_H_INFO_移動: 移動力　數值越高，\n就可以在越大的範圍裡移動
MID_H_INFO_攻撃: 武器或魔法的攻擊力
MID_H_INFO_命中: 數值越高，攻擊越容易命中敵人
MID_H_INFO_必殺: 數值越高，越容易使出爆擊
MID_H_INFO_回避: 數值越高，越容易迴避敵人攻擊
MID_H_INFO_戦闘力: 單位的綜合\n強度基準
MID_H_INFO_戦力: 軍隊的綜合強度基準
MID_H_INFO_未習得戦技: 尚未學會的戰技
MID_MENU_詳細UIに変更: 變更為普通介面了
MID_MENU_簡単UIに変更: 變更為簡易介面了
MID_MENU_バックアップ_記録中: 正在儲存資料。\n請勿關閉電源，\n或取出卡片。
MID_MENU_バックアップ_記録中2: 資料更新中。
MID_MENU_バックアップ_記録確認: 要儲存資料嗎？
MID_MENU_バックアップ_記録無し確認: 不儲存資料就\n前進到下一章嗎？
MID_MENU_バックアップ_記録無し確認_メインメニュー: 不儲存資料就\n回到主選單嗎？
MID_MENU_バックアップ_中断削除確認: 中斷資料將會消失，是否確認？
MID_MENU_バックアップ_削除確認: 是否確認刪除資料？
MID_MENU_バックアップ_コピー確認: 要複製資料嗎？
MID_MENU_バックアップ_消去中: 正在刪除儲存資料。\n請勿關閉電源，\n或取出卡片。
MID_MENU_バックアップ_中断消去中: 正在刪除中斷資料。\n請勿關閉電源，\n或取出卡片。
MID_MENU_バックアップ_ロード失敗: 未能讀取儲存資料。
MID_MENU_ファイル_ロード失敗: 未能讀取檔案。
MID_MENU_ファイル_バージョンエラー: 儲存資料版本與遊戲不同，\n因此未能讀取。\n請將遊戲更新到最新版本。
MID_戦績_TURN: TURN
MID_戦績_MVP: MVP
MID_戦績_MVPなし: 無
MID_戦績_MVPコネクト: ＆
MID_Movie_Skip: 跳過
MID_追加コンテンツ_破損_警告: 新增內容已毀損。\n若要正常開始遊戲。\n請至特別項目選單裡，\n重新下載新增內容。
MID_追加コンテンツ_破損_中断: 找不到新增內容，\n因此無法開始遊戲。\n請至特別項目選單裡，\n重新下載新增內容。
MID_AMIIBO_召喚確認: $a是否消耗$a0HP，\n在$a1回合內\n召喚單位？
MID_AMIIBO_召喚二回目: 已經召喚過amiibo了。\n將會消除先前召喚的amiibo，\n是否確認？
MID_AMIIBO_召喚済み: 無法召喚相同的amiibo。
MID_AMIIBO_召喚オーバー: 無法召喚更多\namiibo。
