MESS_ARCHIVE_後日談


Message Name: Message


MID_AFT_DLCで死亡: 在戰爭中倒下後辭世……
MID_AFT_リュート: 他驚覺自己的魔道尚未精熟，\n便渡海前往另一端的陸地。\n據說雖然他就此不知去向，\n但仍不斷有好鬥之人，\n為尋找古怪的魔道士\n而前來瓦倫西亞。
MID_AFT_デューテ: 據說戰後她便不再使用魔法，\n以一位普通女性的身分，\n自由地過著幸福的日子。\n在王都與理想的男性結為夫妻，\n但每當她偶爾回到森林村落，\n便會熱烈地談起哥哥的往事。
MID_AFT_ティータ: 與吉克過著幸福的生活，\n同時，她內心也祈求\n吉克不要恢復記憶，\n雖偶爾會分隔兩地，\n但據說他的歸所，\n總是有她在的地方。
MID_AFT_ティータ_1: 失去最愛的人後，\n便將自己關在修道院中以祈禱度日。\n據說一位舊識不忍看她如此，\n便展開熱烈追求。她被其熱情打動，\n兩人最終成為伴侶。
MID_AFT_カチュア: 順利達成\n救出愛絲特的目的後，\n便滿足地回到了故鄉。\n關於她之後的活躍事蹟，\n在阿卡奈亞陸地的歷史中\n有詳細的描述。
MID_AFT_カチュア_1: 失去姊妹後，\n便滿懷悲傷地回到了故鄉。\n關於她之後的活躍事蹟，\n在阿卡奈亞陸地的歷史中\n有詳細的描述。
MID_AFT_パオラ: 順利達成\n救出愛絲特的目的後，\n便滿足地回到了故鄉。\n關於她之後的活躍事蹟，\n在阿卡奈亞陸地的歷史中\n有詳細的描述。
MID_AFT_パオラ_1: 失去姊妹後，\n便滿懷悲傷地回到了故鄉。\n關於她之後的活躍事蹟，\n在阿卡奈亞陸地的歷史中\n有詳細的描述。
MID_AFT_エスト: 順利與姊姊們重逢後，\n便滿足地\n回到了故鄉。\n關於她之後的活躍事蹟，\n在阿卡奈亞陸地的歷史中\n有詳細的描述。
MID_AFT_エスト_1: 失去姊妹後，\n便滿懷悲傷地回到了故鄉。\n關於她之後的活躍事蹟，\n在阿卡奈亞陸地的歷史中\n有詳細的描述。
MID_AFT_ジーク: 在激烈的戰事中，\n他恢復了記憶。\n但不知是為了深愛著他的蒂塔，\n抑或是那段記憶\n實在過於痛苦，\n據說他絕口不提過去的事，\n與蒂塔一同生活。
MID_AFT_ジーク_1: 對深愛自己的蒂塔\n死去一事感慨不已，\n就此消失並隱跡埋名。\n也有人說曾在阿卡奈亞陸地\n看見他的身影，\n但此說法已不可考。
