MESS_ARCHIVE_Link


Message Name: Message


MID_LINK_NSD_CONFIRM: 發佈資料已毀損。\n將刪除發佈資料。
MID_DLC_CHECK: 要查看新增內容嗎？
MID_CEC_BOX_NAME: FIRE EMBLEM Echoes
MID_CEC_BOX_INFO: 瞬間交錯記錄已更新。
MID_CEC_オーバー: 主機已無法再登錄瞬間交錯通訊。\n請到主機設定的瞬間交錯通訊管理，\n停止其他軟體的瞬間交錯通訊。
MID_CEC_ビジー: 無法登錄\n瞬間交錯通訊。\n隔一段時間後再嘗試，\n便可能成功執行。
MID_CEC_規約確認: 使用瞬間交錯通訊\n需先同意最新的使用協議。\n若要使用瞬間交錯通訊，\n請至主機設定中依序選擇\n「網路設定」⇒「其他資訊」⇒\n「確認使用協議」，同意最新的使用協議。
MID_CEC_保護者制限: 與其他使用者的瞬間交錯通訊\n受到家長或監護人所限制，\n因此無法使用瞬間交錯通訊。
MID_CEC_登録失敗: 未能登錄\n瞬間交錯通訊。
MID_CEC_登録確認: 使用瞬間交錯通訊\n便可與其他玩家\n交換資訊。\n要登錄瞬間交錯通訊嗎？
MID_CEC_停止確認: 要停止接收\n此儲存資料的瞬間交錯通訊嗎？
MID_CEC_停止完了: 已停止接受\n此儲存資料的瞬間交錯通訊。
MID_CEC_上書確認: 已用其他儲存資料\n登錄瞬間交錯通訊。\n確定要覆寫資料嗎？
MID_CEC_登録中: 正在登錄瞬間交錯通訊。\n請勿關閉主機電源。
MID_CEC_登録完了: 已登錄瞬間交錯通訊。\n已登錄的簡介卡資訊\n將於每次進入\n「瞬間交錯記錄」時更新。
MID_CEC_更新中: 正在更新瞬間交錯記錄
MID_CEC_キャンセル: 若要稍後再登錄\n瞬間交錯通訊，\n請選擇\n「瞬間交錯記錄」。
MID_CEC_受信停止確認: 要停止接收\n此儲存資料的瞬間交錯通訊嗎？
MID_CEC_受信開始確認: 要開始接收\n此儲存資料的瞬間交錯通訊嗎？
MID_CEC_自動保存停止確認: 要停止自動保存\n此儲存資料的瞬間交錯通訊嗎？
MID_CEC_自動保存停止完了: 已停止自動保存\n此儲存資料的瞬間交錯通訊。
MID_CEC_自動保存開始確認: 要開始自動保存\n此儲存資料的瞬間交錯通訊嗎？
MID_CEC_自動保存開始完了: 已開始自動保存\n此儲存資料的瞬間交錯通訊。
MID_BOSS_ENTRY_TASK: 要使用悄悄通訊，\n接收通知（含廣告／宣傳）\n及資料嗎？
MID_BOSS_ENTRY_REPORT: 此軟體的遊戲資訊將發送給任天堂參考。\n發送的資訊將根據\n「Nintendo 3DS網路服務使用條款」或\n「Nintendo Network使用條款」進行處理。\n同意發送遊戲資訊嗎？
MID_BOSS_CONFIRM_STOP: 已登錄悄悄通訊。\n要停止悄悄通訊嗎？
MID_BOSS_CONFIRM_TASK: 要連線至網路，\n接收現在\n已發佈的資料嗎？
MID_BOSS_EXEC_TASK: 正在下載。\n請勿碰觸ＳＤ卡，\n或是電源鍵。
MID_BOSS_CREATE_TASK: 正在登錄悄悄通訊。\n請勿碰觸ＳＤ卡，\n或是電源鍵。
MID_BOSS_CREATE_EXT: 正在建立新增資料。\n請勿碰觸ＳＤ卡，\n或是電源鍵。
MID_BOSS_STOP_TASK: 正在停止悄悄通訊。\n請勿碰觸ＳＤ卡，\n或是電源鍵。
MID_BOSS_MOUNT_TASK: 正在確認發佈資料
MID_BOSS_RESULT_ENTRY: 已登錄悄悄通訊。
MID_BOSS_RESULT_STOP: 已停止悄悄通訊。
MID_BOSS_NOT_EULA: 使用悄悄通訊\n需先同意最新的使用協議。\n若要使用悄悄通訊，\n請至主機設定中依序選擇\n「網路設定」⇒「其他資訊」⇒\n「確認使用協議」，同意最新的使用協議。
MID_BOSS_NSD_DELETE: 正在刪除發佈資料。\n請勿碰觸ＳＤ卡，\n或是電源鍵。
MID_BOSS_INIT_NOT_MEDIA: 無法辨識ＳＤ卡，\n因此無法使用悄悄通訊。\n要停止悄悄通訊嗎？
MID_BOSS_INIT_NOT_WRITE: ＳＤ卡已開啟防寫保護。\n因此無法使用悄悄通訊。\n要停止悄悄通訊嗎？
MID_BOSS_INIT_NOT_EXT: 找不到新增資料，\n因此無法使用悄悄通訊。\n要停止悄悄通訊嗎？
MID_BOSS_NOT_TASK: 接收資料前，\n必須登錄\n悄悄通訊。
MID_BOSS_NOT_RECV: 無法接收\n新資料。
MID_BOSS_ERROR_ENTRY: 未能登錄悄悄通訊。
MID_BOSS_ERROR_STOP: 未能停止悄悄通訊。
MID_BOSS_NOT_MEDIA: 無法辨識ＳＤ卡。
MID_BOSS_NOT_WRITE: ＳＤ卡已開啟防寫保護。\n請先關閉電源\n及ＳＤ卡的防寫保護開關，\n再重新插入ＳＤ卡。
MID_BOSS_NOT_EXT: 找不到新增資料。
MID_BOSS_NOT_STORAGE: 尚未登錄悄悄通訊。
MID_BOSS_NOT_DELETE: 未能刪除發佈資料。\n請重新登錄悄悄通訊。
MID_REPORT_CREATE_TASK: 正在登錄傳送遊玩內容。\n請勿碰觸ＳＤ卡，\n或是電源鍵。
MID_REPORT_RESULT_ENTRY: 已登錄傳送遊玩內容。
MID_REPORT_ERROR_ENTRY: 未能登錄傳送遊玩內容。
MID_REPORT_CONFIRM_STOP: 正在登錄傳送遊玩內容。\n要停止傳送遊玩內容嗎？
MID_REPORT_STOP_TASK: 正在停止傳送遊玩內容。\n請勿碰觸ＳＤ卡，\n或是電源鍵。
MID_REPORT_RESULT_STOP: 已停止傳送遊玩內容。
MID_DATASTORE_SEARCH_NO_DATA: 找不到相關資料。
MID_DATASTORE_GET_DATA_COMPLETE: 已取得。
MID_DATASTORE_WAIT_CONNECTING: 正在連線至網路
MID_DATASTORE_WAIT_UPDATING: 正在更新
MID_DATASTORE_WAIT_SEARCHING: 正在搜尋
MID_DATASTORE_WAIT_GETTING: 正在取得
MID_DATASTORE_WAIT_NG_WORD_CHECK: 正在確認已接收資料
MID_DATASTORE_ERROR_NOT_FOUND: 找不到資料。
MID_DATASTORE_ERROR_INVALID_DATA: 發生錯誤。
MID_LOCAL_EXCHANGE_NG_USERNAME: ？？？
MID_LOCAL_EXCHANGE_SEND_COMPLETE: 已傳送。
MID_LOCAL_EXCHANGE_RECEIVE_COMPLETE: 已接收。
MID_LOCAL_ERROR_GENERAL: 發生錯誤。
MID_LOCAL_ERROR_WIRELESS_OFF: 由於無線通訊已關閉，\n因此無法通訊。\n請開啟無線通訊。
MID_LOCAL_ERROR_INVALID_CONNECTION: 發生錯誤。\n（※若無線通訊已關閉，\n　　請開啟無線通訊。）
MID_LOCAL_ERROR_INVALID_DATA: 發生錯誤。
MID_MATCH_NG_USERNAME: ？？？
MID_MATCH_WIFI_WAIT_CONNECT: 正在連線至網路
MID_MATCH_WIFI_ERROR_INVALID_DATA: 發生錯誤。
MID_WIFI_ERROR_GENERAL: 發生錯誤。\n■請稍後再試。\n■如果錯誤狀況無法修復，\n　請洽詢您主機使用說明書上\n　記載的任天堂技術服務中心。
MID_WIFI_ERROR_GENERAL_00: 發生錯誤。\n■請稍後再試。\n■如果錯誤狀況無法修復，\n　請洽詢您主機使用說明書上\n　記載的任天堂技術服務中心。
MID_BOSS_セブンスポット_無効: 無反應
MID_BOSS_セブンスポット_失敗: 接收失敗
