aoc_error.txt
aoc_error_01	需要新增内容\n才能继续前进。
donut_app_select_07	没什么
donut_app_talk_02	要做甜甜圈的话，\n需要３个树果！
donut_app_make_01	请让我用一下\n[VAR 0100(0000)]你得到的超级黄油。
donut_app_make_01_01	可以用来制作甜甜圈的\n树果增加到４个了！
donut_app_make_02	请让我用一下\n[VAR 0100(0000)]你得到的高级黄油。
donut_app_make_02_01	可以用来制作甜甜圈的\n树果增加到５个了！
donut_app_make_03	请让我用一下\n[VAR 0100(0000)]你得到的究极黄油。
donut_app_make_03_01	可以用来制作甜甜圈的\n树果增加到６个了！
donut_app_make_04	请让我用一下\n[VAR 0100(0000)]你得到的大师黄油。
donut_app_make_04_01	可以用来制作甜甜圈的\n树果增加到７个了！
donut_app_make_05	请让我用一下\n[VAR 0100(0000)]你得到的异次元黄油。
donut_app_make_05_01	可以用来制作甜甜圈的\n树果增加到８个了！
donut_app_make_06	通过地图确认扭洞的位置，\n调查异次元密阿雷吧！
donut_app_05_14	没有能给胡帕\n吃的甜甜圈！
donut_flavor.txt
msg_d41d8cd98f00b204e9800998ecf8427e	[~ 0]
donut_kurabo_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n铺满香～甜蛋白霜的甜甜圈。
donut_kurabo_spicy_info	加入了炒过的[VAR 0109(0000)]，\n微辣的正宗派咖喱甜甜圈。
donut_kurabo_sour_info	放上炖成蜜饯的[VAR 0109(0000)]，\n味道酸酸的甜甜圈。
donut_kurabo_bitter_info	涂上拌入[VAR 0109(0000)]的巧克力，\n味道微苦的甜甜圈。
donut_kurabo_fresh_info	配上挤入了[VAR 0109(0000)]汁的\n新鲜奶油的甜甜圈。
donut_kurabo_mix_info	混合了[VAR 0109(0000)]，\n味道无法简单概括的甜甜圈。
donut_kago_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n铺满香～甜蛋白霜的甜甜圈。
donut_kago_spicy_info	加入了炒过的[VAR 0109(0000)]，\n微辣的正宗派咖喱甜甜圈。
donut_kago_sour_info	放上炖成蜜饯的[VAR 0109(0000)]，\n味道酸酸的甜甜圈。
donut_kago_bitter_info	涂上拌入[VAR 0109(0000)]的巧克力，\n味道微苦的甜甜圈。
donut_kago_fresh_info	配上挤入了[VAR 0109(0000)]汁的\n新鲜奶油的甜甜圈。
donut_kago_mix_info	混合了[VAR 0109(0000)]，\n味道无法简单概括的甜甜圈。
donut_momon_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n铺满香～甜蛋白霜的甜甜圈。
donut_momon_spicy_info	加入了炒过的[VAR 0109(0000)]，\n微辣的正宗派咖喱甜甜圈。
donut_momon_sour_info	放上炖成蜜饯的[VAR 0109(0000)]，\n味道酸酸的甜甜圈。
donut_momon_bitter_info	涂上拌入[VAR 0109(0000)]的巧克力，\n味道微苦的甜甜圈。
donut_momon_fresh_info	配上挤入了[VAR 0109(0000)]汁的\n新鲜奶油的甜甜圈。
donut_momon_mix_info	混合了[VAR 0109(0000)]，\n味道无法简单概括的甜甜圈。
donut_chigo_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n铺满香～甜蛋白霜的甜甜圈。
donut_chigo_spicy_info	加入了炒过的[VAR 0109(0000)]，\n微辣的正宗派咖喱甜甜圈。
donut_chigo_sour_info	放上炖成蜜饯的[VAR 0109(0000)]，\n味道酸酸的甜甜圈。
donut_chigo_bitter_info	涂上拌入[VAR 0109(0000)]的巧克力，\n味道微苦的甜甜圈。
donut_chigo_fresh_info	配上挤入了[VAR 0109(0000)]汁的\n新鲜奶油的甜甜圈。
donut_chigo_mix_info	混合了[VAR 0109(0000)]，\n味道无法简单概括的甜甜圈。
donut_nanashi_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n铺满香～甜蛋白霜的甜甜圈。
donut_nanashi_spicy_info	加入了炒过的[VAR 0109(0000)]，\n微辣的正宗派咖喱甜甜圈。
donut_nanashi_sour_info	放上炖成蜜饯的[VAR 0109(0000)]，\n味道酸酸的甜甜圈。
donut_nanashi_bitter_info	涂上拌入[VAR 0109(0000)]的巧克力，\n味道微苦的甜甜圈。
donut_nanashi_fresh_info	配上挤入了[VAR 0109(0000)]汁的\n新鲜奶油的甜甜圈。
donut_nanashi_mix_info	混合了[VAR 0109(0000)]，\n味道无法简单概括的甜甜圈。
donut_oren_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n铺满香～甜蛋白霜的甜甜圈。
donut_oren_spicy_info	加入了炒过的[VAR 0109(0000)]，\n微辣的正宗派咖喱甜甜圈。
donut_oren_sour_info	放上炖成蜜饯的[VAR 0109(0000)]，\n味道酸酸的甜甜圈。
donut_oren_bitter_info	涂上拌入[VAR 0109(0000)]的巧克力，\n味道微苦的甜甜圈。
donut_oren_fresh_info	配上挤入了[VAR 0109(0000)]汁的\n新鲜奶油的甜甜圈。
donut_oren_mix_info	混合了[VAR 0109(0000)]，\n味道无法简单概括的甜甜圈。
donut_ki_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n铺满香～甜蛋白霜的甜甜圈。
donut_ki_spicy_info	加入了炒过的[VAR 0109(0000)]，\n微辣的正宗派咖喱甜甜圈。
donut_ki_sour_info	放上炖成蜜饯的[VAR 0109(0000)]，\n味道酸酸的甜甜圈。
donut_ki_bitter_info	涂上拌入[VAR 0109(0000)]的巧克力，\n味道微苦的甜甜圈。
donut_ki_fresh_info	配上挤入了[VAR 0109(0000)]汁的\n新鲜奶油的甜甜圈。
donut_ki_mix_info	混合了[VAR 0109(0000)]，\n味道无法简单概括的甜甜圈。
donut_ramu_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n铺满香～甜蛋白霜的甜甜圈。
donut_ramu_spicy_info	加入了炒过的[VAR 0109(0000)]，\n微辣的正宗派咖喱甜甜圈。
donut_ramu_sour_info	放上炖成蜜饯的[VAR 0109(0000)]，\n味道酸酸的甜甜圈。
donut_ramu_bitter_info	涂上拌入[VAR 0109(0000)]的巧克力，\n味道微苦的甜甜圈。
donut_ramu_fresh_info	配上挤入了[VAR 0109(0000)]汁的\n新鲜奶油的甜甜圈。
donut_ramu_mix_info	混合了[VAR 0109(0000)]，\n味道无法简单概括的甜甜圈。
donut_obon_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n铺满香～甜蛋白霜的甜甜圈。
donut_obon_spicy_info	加入了炒过的[VAR 0109(0000)]，\n微辣的正宗派咖喱甜甜圈。
donut_obon_sour_info	放上炖成蜜饯的[VAR 0109(0000)]，\n味道酸酸的甜甜圈。
donut_obon_bitter_info	涂上拌入[VAR 0109(0000)]的巧克力，\n味道微苦的甜甜圈。
donut_obon_fresh_info	配上挤入了[VAR 0109(0000)]汁的\n新鲜奶油的甜甜圈。
donut_obon_mix_info	混合了[VAR 0109(0000)]，\n味道无法简单概括的甜甜圈。
donut_zaroku_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n铺满香～甜蛋白霜的甜甜圈。
donut_zaroku_spicy_info	加入了炒过的[VAR 0109(0000)]，\n微辣的正宗派咖喱甜甜圈。
donut_zaroku_sour_info	放上炖成蜜饯的[VAR 0109(0000)]，\n味道酸酸的甜甜圈。
donut_zaroku_bitter_info	涂上拌入[VAR 0109(0000)]的巧克力，\n味道微苦的甜甜圈。
donut_zaroku_fresh_info	配上挤入了[VAR 0109(0000)]汁的\n新鲜奶油的甜甜圈。
donut_zaroku_mix_info	混合了[VAR 0109(0000)]，\n味道无法简单概括的甜甜圈。
donut_nekobu_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n铺满香～甜蛋白霜的甜甜圈。
donut_nekobu_spicy_info	加入了炒过的[VAR 0109(0000)]，\n微辣的正宗派咖喱甜甜圈。
donut_nekobu_sour_info	放上炖成蜜饯的[VAR 0109(0000)]，\n味道酸酸的甜甜圈。
donut_nekobu_bitter_info	涂上拌入[VAR 0109(0000)]的巧克力，\n味道微苦的甜甜圈。
donut_nekobu_fresh_info	配上挤入了[VAR 0109(0000)]汁的\n新鲜奶油的甜甜圈。
donut_nekobu_mix_info	混合了[VAR 0109(0000)]，\n味道无法简单概括的甜甜圈。
donut_taporu_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n铺满香～甜蛋白霜的甜甜圈。
donut_taporu_spicy_info	加入了炒过的[VAR 0109(0000)]，\n微辣的正宗派咖喱甜甜圈。
donut_taporu_sour_info	放上炖成蜜饯的[VAR 0109(0000)]，\n味道酸酸的甜甜圈。
donut_taporu_bitter_info	涂上拌入[VAR 0109(0000)]的巧克力，\n味道微苦的甜甜圈。
donut_taporu_fresh_info	配上挤入了[VAR 0109(0000)]汁的\n新鲜奶油的甜甜圈。
donut_taporu_mix_info	混合了[VAR 0109(0000)]，\n味道无法简单概括的甜甜圈。
donut_rome_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n铺满香～甜蛋白霜的甜甜圈。
donut_rome_spicy_info	加入了炒过的[VAR 0109(0000)]，\n微辣的正宗派咖喱甜甜圈。
donut_rome_sour_info	放上炖成蜜饯的[VAR 0109(0000)]，\n味道酸酸的甜甜圈。
donut_rome_bitter_info	涂上拌入[VAR 0109(0000)]的巧克力，\n味道微苦的甜甜圈。
donut_rome_fresh_info	配上挤入了[VAR 0109(0000)]汁的\n新鲜奶油的甜甜圈。
donut_rome_mix_info	混合了[VAR 0109(0000)]，\n味道无法简单概括的甜甜圈。
donut_ubu_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n铺满香～甜蛋白霜的甜甜圈。
donut_ubu_spicy_info	加入了炒过的[VAR 0109(0000)]，\n微辣的正宗派咖喱甜甜圈。
donut_ubu_sour_info	放上炖成蜜饯的[VAR 0109(0000)]，\n味道酸酸的甜甜圈。
donut_ubu_bitter_info	涂上拌入[VAR 0109(0000)]的巧克力，\n味道微苦的甜甜圈。
donut_ubu_fresh_info	配上挤入了[VAR 0109(0000)]汁的\n新鲜奶油的甜甜圈。
donut_ubu_mix_info	混合了[VAR 0109(0000)]，\n味道无法简单概括的甜甜圈。
donut_matoma_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n铺满香～甜蛋白霜的甜甜圈。
donut_matoma_spicy_info	加入了炒过的[VAR 0109(0000)]，\n微辣的正宗派咖喱甜甜圈。
donut_matoma_sour_info	放上炖成蜜饯的[VAR 0109(0000)]，\n味道酸酸的甜甜圈。
donut_matoma_bitter_info	涂上拌入[VAR 0109(0000)]的巧克力，\n味道微苦的甜甜圈。
donut_matoma_fresh_info	配上挤入了[VAR 0109(0000)]汁的\n新鲜奶油的甜甜圈。
donut_matoma_mix_info	混合了[VAR 0109(0000)]，\n味道无法简单概括的甜甜圈。
donut_okka_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n铺满香～甜蛋白霜的甜甜圈。
donut_okka_spicy_info	加入了炒过的[VAR 0109(0000)]，\n微辣的正宗派咖喱甜甜圈。
donut_okka_sour_info	放上炖成蜜饯的[VAR 0109(0000)]，\n味道酸酸的甜甜圈。
donut_okka_bitter_info	涂上拌入[VAR 0109(0000)]的巧克力，\n味道微苦的甜甜圈。
donut_okka_fresh_info	配上挤入了[VAR 0109(0000)]汁的\n新鲜奶油的甜甜圈。
donut_okka_mix_info	混合了[VAR 0109(0000)]，\n味道无法简单概括的甜甜圈。
donut_itoke_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n铺满香～甜蛋白霜的甜甜圈。
donut_itoke_spicy_info	加入了炒过的[VAR 0109(0000)]，\n微辣的正宗派咖喱甜甜圈。
donut_itoke_sour_info	放上炖成蜜饯的[VAR 0109(0000)]，\n味道酸酸的甜甜圈。
donut_itoke_bitter_info	涂上拌入[VAR 0109(0000)]的巧克力，\n味道微苦的甜甜圈。
donut_itoke_fresh_info	配上挤入了[VAR 0109(0000)]汁的\n新鲜奶油的甜甜圈。
donut_itoke_mix_info	混合了[VAR 0109(0000)]，\n味道无法简单概括的甜甜圈。
donut_sokuno_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n铺满香～甜蛋白霜的甜甜圈。
donut_sokuno_spicy_info	加入了炒过的[VAR 0109(0000)]，\n微辣的正宗派咖喱甜甜圈。
donut_sokuno_sour_info	放上炖成蜜饯的[VAR 0109(0000)]，\n味道酸酸的甜甜圈。
donut_sokuno_bitter_info	涂上拌入[VAR 0109(0000)]的巧克力，\n味道微苦的甜甜圈。
donut_sokuno_fresh_info	配上挤入了[VAR 0109(0000)]汁的\n新鲜奶油的甜甜圈。
donut_sokuno_mix_info	混合了[VAR 0109(0000)]，\n味道无法简单概括的甜甜圈。
donut_rindo_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n铺满香～甜蛋白霜的甜甜圈。
donut_rindo_spicy_info	加入了炒过的[VAR 0109(0000)]，\n微辣的正宗派咖喱甜甜圈。
donut_rindo_sour_info	放上炖成蜜饯的[VAR 0109(0000)]，\n味道酸酸的甜甜圈。
donut_rindo_bitter_info	涂上拌入[VAR 0109(0000)]的巧克力，\n味道微苦的甜甜圈。
donut_rindo_fresh_info	配上挤入了[VAR 0109(0000)]汁的\n新鲜奶油的甜甜圈。
donut_rindo_mix_info	混合了[VAR 0109(0000)]，\n味道无法简单概括的甜甜圈。
donut_yatye_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n铺满香～甜蛋白霜的甜甜圈。
donut_yatye_spicy_info	加入了炒过的[VAR 0109(0000)]，\n微辣的正宗派咖喱甜甜圈。
donut_yatye_sour_info	放上炖成蜜饯的[VAR 0109(0000)]，\n味道酸酸的甜甜圈。
donut_yatye_bitter_info	涂上拌入[VAR 0109(0000)]的巧克力，\n味道微苦的甜甜圈。
donut_yatye_fresh_info	配上挤入了[VAR 0109(0000)]汁的\n新鲜奶油的甜甜圈。
donut_yatye_mix_info	混合了[VAR 0109(0000)]，\n味道无法简单概括的甜甜圈。
donut_yopu_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n铺满香～甜蛋白霜的甜甜圈。
donut_yopu_spicy_info	加入了炒过的[VAR 0109(0000)]，\n微辣的正宗派咖喱甜甜圈。
donut_yopu_sour_info	放上炖成蜜饯的[VAR 0109(0000)]，\n味道酸酸的甜甜圈。
donut_yopu_bitter_info	涂上拌入[VAR 0109(0000)]的巧克力，\n味道微苦的甜甜圈。
donut_yopu_fresh_info	配上挤入了[VAR 0109(0000)]汁的\n新鲜奶油的甜甜圈。
donut_yopu_mix_info	混合了[VAR 0109(0000)]，\n味道无法简单概括的甜甜圈。
donut_pia_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n铺满香～甜蛋白霜的甜甜圈。
donut_pia_spicy_info	加入了炒过的[VAR 0109(0000)]，\n微辣的正宗派咖喱甜甜圈。
donut_pia_sour_info	放上炖成蜜饯的[VAR 0109(0000)]，\n味道酸酸的甜甜圈。
donut_pia_bitter_info	涂上拌入[VAR 0109(0000)]的巧克力，\n味道微苦的甜甜圈。
donut_pia_fresh_info	配上挤入了[VAR 0109(0000)]汁的\n新鲜奶油的甜甜圈。
donut_pia_mix_info	混合了[VAR 0109(0000)]，\n味道无法简单概括的甜甜圈。
donut_syuka_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n铺满香～甜蛋白霜的甜甜圈。
donut_syuka_spicy_info	加入了炒过的[VAR 0109(0000)]，\n微辣的正宗派咖喱甜甜圈。
donut_syuka_sour_info	放上炖成蜜饯的[VAR 0109(0000)]，\n味道酸酸的甜甜圈。
donut_syuka_bitter_info	涂上拌入[VAR 0109(0000)]的巧克力，\n味道微苦的甜甜圈。
donut_syuka_fresh_info	配上挤入了[VAR 0109(0000)]汁的\n新鲜奶油的甜甜圈。
donut_syuka_mix_info	混合了[VAR 0109(0000)]，\n味道无法简单概括的甜甜圈。
donut_bakou_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n铺满香～甜蛋白霜的甜甜圈。
donut_bakou_spicy_info	加入了炒过的[VAR 0109(0000)]，\n微辣的正宗派咖喱甜甜圈。
donut_bakou_sour_info	放上炖成蜜饯的[VAR 0109(0000)]，\n味道酸酸的甜甜圈。
donut_bakou_bitter_info	涂上拌入[VAR 0109(0000)]的巧克力，\n味道微苦的甜甜圈。
donut_bakou_fresh_info	配上挤入了[VAR 0109(0000)]汁的\n新鲜奶油的甜甜圈。
donut_bakou_mix_info	混合了[VAR 0109(0000)]，\n味道无法简单概括的甜甜圈。
donut_utan_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n铺满香～甜蛋白霜的甜甜圈。
donut_utan_spicy_info	加入了炒过的[VAR 0109(0000)]，\n微辣的正宗派咖喱甜甜圈。
donut_utan_sour_info	放上炖成蜜饯的[VAR 0109(0000)]，\n味道酸酸的甜甜圈。
donut_utan_bitter_info	涂上拌入[VAR 0109(0000)]的巧克力，\n味道微苦的甜甜圈。
donut_utan_fresh_info	配上挤入了[VAR 0109(0000)]汁的\n新鲜奶油的甜甜圈。
donut_utan_mix_info	混合了[VAR 0109(0000)]，\n味道无法简单概括的甜甜圈。
donut_tanga_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n铺满香～甜蛋白霜的甜甜圈。
donut_tanga_spicy_info	加入了炒过的[VAR 0109(0000)]，\n微辣的正宗派咖喱甜甜圈。
donut_tanga_sour_info	放上炖成蜜饯的[VAR 0109(0000)]，\n味道酸酸的甜甜圈。
donut_tanga_bitter_info	涂上拌入[VAR 0109(0000)]的巧克力，\n味道微苦的甜甜圈。
donut_tanga_fresh_info	配上挤入了[VAR 0109(0000)]汁的\n新鲜奶油的甜甜圈。
donut_tanga_mix_info	混合了[VAR 0109(0000)]，\n味道无法简单概括的甜甜圈。
donut_yorogi_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n铺满香～甜蛋白霜的甜甜圈。
donut_yorogi_spicy_info	加入了炒过的[VAR 0109(0000)]，\n微辣的正宗派咖喱甜甜圈。
donut_yorogi_sour_info	放上炖成蜜饯的[VAR 0109(0000)]，\n味道酸酸的甜甜圈。
donut_yorogi_bitter_info	涂上拌入[VAR 0109(0000)]的巧克力，\n味道微苦的甜甜圈。
donut_yorogi_fresh_info	配上挤入了[VAR 0109(0000)]汁的\n新鲜奶油的甜甜圈。
donut_yorogi_mix_info	混合了[VAR 0109(0000)]，\n味道无法简单概括的甜甜圈。
donut_kashibu_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n铺满香～甜蛋白霜的甜甜圈。
donut_kashibu_spicy_info	加入了炒过的[VAR 0109(0000)]，\n微辣的正宗派咖喱甜甜圈。
donut_kashibu_sour_info	放上炖成蜜饯的[VAR 0109(0000)]，\n味道酸酸的甜甜圈。
donut_kashibu_bitter_info	涂上拌入[VAR 0109(0000)]的巧克力，\n味道微苦的甜甜圈。
donut_kashibu_fresh_info	配上挤入了[VAR 0109(0000)]汁的\n新鲜奶油的甜甜圈。
donut_kashibu_mix_info	混合了[VAR 0109(0000)]，\n味道无法简单概括的甜甜圈。
donut_haban_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n铺满香～甜蛋白霜的甜甜圈。
donut_haban_spicy_info	加入了炒过的[VAR 0109(0000)]，\n微辣的正宗派咖喱甜甜圈。
donut_haban_sour_info	放上炖成蜜饯的[VAR 0109(0000)]，\n味道酸酸的甜甜圈。
