aoc_error.txt
aoc_error_01	ここから{先|さき}は\n{追加|ついか}コンテンツが{必要|ひつよう}です。
donut_app_05_13	{特別|とくべつ}なドーナツが{含|ふく}まれますが\nよろしいですか？
donut_app_05_08	オレが{頼|たの}んだナイトメアクルーラーを\n{選|えら}ぶところから{作戦開始|さくせんかいし}やで
donut_app_05_09	{条件|じょうけん}を{満|み}たしたドーナツがないと\n{目的|もくてき}の{異次元|いじげん}ミアレに{行|い}けないよね
donut_app_05_11	オールドファッションアルファでないと\n{目的|もくてき}の{異次元|いじげん}ミアレに{行|い}けないよね
donut_app_05_12	オールドファッションデルタでないと\n{目的|もくてき}の{異次元|いじげん}ミアレに{行|い}けないよね
donut_app_05_10	プラズマディップでないと\n{異次元|いじげん}ミアレに{行|い}けないと{思|おも}うよ
donut_app_07_01	えらぶ
donut_app_07_02	はずす
donut_app_07_03	これでつくる
donut_app_07_04	スキップ
donut_app_08_01	すべて
donut_app_08_02	ふつうのきのみ
donut_app_08_03	いじげんきのみ
donut_app_09_01	アンシャのひとこと\nアンシャのひとこと
donut_app_10_01	やめる
donut_app_10_02	質問する
donut_app_10_03	続けてつくる
donut_app_10_04	決定
donut_app_10_05	リセット
donut_app_10_06	まとめて選ぶ
donut_app_10_07	つぎへ
donut_app_11_01	[VAR 0202(0000)]
donut_app_11_02	/
donut_app_11_03	100
donut_app_11_04	選んだドーナツ
donut_app_11_05	合計
donut_app_11_06	[VAR 0202(0000)]個
donut_app_12_01	ドーナツ
donut_app_13_00	フレーバーパワーがない\nドーナツです
donut_app_13_01	パワー１：「フレーバーパワー名」\n「フレーバーパワー説明文」
donut_app_13_02	パワー２：「フレーバーパワー名」\n「フレーバーパワー説明文」
donut_app_13_03	パワー３：「フレーバーパワー名」\n「フレーバーパワー説明文」
donut_app_13_10	フレーバーパワー詳細説明文\nフレーバーパワー詳細説明文\nフレーバーパワー詳細説明文
donut_app_14_01	推定ハラモチ時間
donut_app_14_02	[VAR 0201(0000)]:[VAR 0201(0001)]
donut_app_15_01	ドーナツづくり\nやめてしまいますの……？
donut_app_15_02	つづける
donut_app_15_03	やめる
donut_app_15_11	うけたまわりましたわ！\nさっそくドーナツをつくります！
donut_app_15_12	この{組|く}み{合|あ}わせではつくれません……
donut_app_15_13	ドーナツをつくっても\nこれ{以上|いじょう}は{持|も}てないようですね
donut_app_15_21	{上手|じょうず}にできました！\nまだドーナツをつくりますか？
donut_app_15_25	ドーナツはたくさん{持|も}っていると\n{異次元|いじげん}の{調査|ちょうさ}もはかどると{思|おも}います！
donut_app_15_22	{続|つづ}けてつくる
donut_app_15_23	{同|おな}じものをつくる
donut_app_15_24	またあとで
donut_app_15_31	きのみを３つ{選|えら}んでください\nどのきのみでも{大丈夫|だいじょうぶ}ですよ！
donut_app_talk_01	アンシャのドーナツ{屋|や}にようこそ！
donut_app_select_01	ドーナツをつくる
donut_app_select_02	クルーラーのレシピでつくる
donut_app_select_03	アルファのレシピでつくる
donut_app_select_04	オメガのレシピでつくる
donut_app_select_05	デルタのレシピでつくる
donut_app_select_06	ディップのレシピでつくる
donut_app_select_07	なんでもないです
donut_app_talk_02	ドーナツをつくるのでしたら\n３{個|こ}はきのみが{必要|ひつよう}です！
donut_app_make_01	[VAR 0100(0000)]さんが{手|て}に{入|い}れた\nスーパーバターを{使|つか}わせていただきます
donut_app_make_01_01	ドーナツづくりで{使|つか}える\nきのみが４コに{増|ふ}えた！
donut_app_make_02	[VAR 0100(0000)]さんが{手|て}に{入|い}れた\nハイパーバターを{使|つか}わせていただきます
donut_app_make_02_01	ドーナツづくりで{使|つか}える\nきのみが５コに{増|ふ}えた！
donut_app_make_03	[VAR 0100(0000)]さんが{手|て}に{入|い}れた\nウルトラバターを{使|つか}わせていただきます
donut_app_make_03_01	ドーナツづくりで{使|つか}える\nきのみが６コに{増|ふ}えた！
donut_app_make_04	[VAR 0100(0000)]さんが{手|て}に{入|い}れた\nマスターバターを{使|つか}わせていただきます
donut_app_make_04_01	ドーナツづくりで{使|つか}える\nきのみが７コに{増|ふ}えた！
donut_app_make_05	[VAR 0100(0000)]さんが{手|て}に{入|い}れた\nいじげんバターを{使|つか}わせていただきます
donut_app_make_05_01	ドーナツづくりで{使|つか}える\nきのみが８コに{増|ふ}えた！
donut_app_make_06	{地図|ちず}でひずみの{場所|ばしょ}を{確認|かくにん}して\n{異次元|いじげん}ミアレを{調査|ちょうさ}しよう！
donut_app_05_14	フーパに{食|た}べてもらう\nドーナツがありません！
donut_flavor.txt
msg_d41d8cd98f00b204e9800998ecf8427e	[~ 0]
donut_kurabo_sweet_info	[VAR 0109(0000)]を擦りおろした\nあま～いメレンゲたっぷりのドーナツ。
donut_kurabo_spicy_info	[VAR 0109(0000)]を炒めた\nピリ辛で本格派のカリードーナツ。
donut_kurabo_sour_info	[VAR 0109(0000)]を煮込んだ\nすっぱいコンフィをのせたドーナツ。
donut_kurabo_bitter_info	[VAR 0109(0000)]を練りこんだ\nほろ苦いチョコレートがけのドーナツ。
donut_kurabo_fresh_info	[VAR 0109(0000)]を絞った\nフレッシュなクリーム仕立てのドーナツ。
donut_kurabo_mix_info	[VAR 0109(0000)]を混ぜた\nひとことでは言い表せない味のドーナツ。
donut_kago_sweet_info	[VAR 0109(0000)]を擦りおろした\nあま～いメレンゲたっぷりのドーナツ。
donut_kago_spicy_info	[VAR 0109(0000)]を炒めた\nピリ辛で本格派のカリードーナツ。
donut_kago_sour_info	[VAR 0109(0000)]を煮込んだ\nすっぱいコンフィをのせたドーナツ。
donut_kago_bitter_info	[VAR 0109(0000)]を練りこんだ\nほろ苦いチョコレートがけのドーナツ。
donut_kago_fresh_info	[VAR 0109(0000)]を絞った\nフレッシュなクリーム仕立てのドーナツ。
donut_kago_mix_info	[VAR 0109(0000)]を混ぜた\nひとことでは言い表せない味のドーナツ。
donut_momon_sweet_info	[VAR 0109(0000)]を擦りおろした\nあま～いメレンゲたっぷりのドーナツ。
donut_momon_spicy_info	[VAR 0109(0000)]を炒めた\nピリ辛で本格派のカリードーナツ。
donut_momon_sour_info	[VAR 0109(0000)]を煮込んだ\nすっぱいコンフィをのせたドーナツ。
donut_momon_bitter_info	[VAR 0109(0000)]を練りこんだ\nほろ苦いチョコレートがけのドーナツ。
donut_momon_fresh_info	[VAR 0109(0000)]を絞った\nフレッシュなクリーム仕立てのドーナツ。
donut_momon_mix_info	[VAR 0109(0000)]を混ぜた\nひとことでは言い表せない味のドーナツ。
donut_chigo_sweet_info	[VAR 0109(0000)]を擦りおろした\nあま～いメレンゲたっぷりのドーナツ。
donut_chigo_spicy_info	[VAR 0109(0000)]を炒めた\nピリ辛で本格派のカリードーナツ。
donut_chigo_sour_info	[VAR 0109(0000)]を煮込んだ\nすっぱいコンフィをのせたドーナツ。
donut_chigo_bitter_info	[VAR 0109(0000)]を練りこんだ\nほろ苦いチョコレートがけのドーナツ。
donut_chigo_fresh_info	[VAR 0109(0000)]を絞った\nフレッシュなクリーム仕立てのドーナツ。
donut_chigo_mix_info	[VAR 0109(0000)]を混ぜた\nひとことでは言い表せない味のドーナツ。
donut_nanashi_sweet_info	[VAR 0109(0000)]を擦りおろした\nあま～いメレンゲたっぷりのドーナツ。
donut_nanashi_spicy_info	[VAR 0109(0000)]を炒めた\nピリ辛で本格派のカリードーナツ。
donut_nanashi_sour_info	[VAR 0109(0000)]を煮込んだ\nすっぱいコンフィをのせたドーナツ。
donut_nanashi_bitter_info	[VAR 0109(0000)]を練りこんだ\nほろ苦いチョコレートがけのドーナツ。
donut_nanashi_fresh_info	[VAR 0109(0000)]を絞った\nフレッシュなクリーム仕立てのドーナツ。
donut_nanashi_mix_info	[VAR 0109(0000)]を混ぜた\nひとことでは言い表せない味のドーナツ。
donut_oren_sweet_info	[VAR 0109(0000)]を擦りおろした\nあま～いメレンゲたっぷりのドーナツ。
donut_oren_spicy_info	[VAR 0109(0000)]を炒めた\nピリ辛で本格派のカリードーナツ。
donut_oren_sour_info	[VAR 0109(0000)]を煮込んだ\nすっぱいコンフィをのせたドーナツ。
donut_oren_bitter_info	[VAR 0109(0000)]を練りこんだ\nほろ苦いチョコレートがけのドーナツ。
donut_oren_fresh_info	[VAR 0109(0000)]を絞った\nフレッシュなクリーム仕立てのドーナツ。
donut_oren_mix_info	[VAR 0109(0000)]を混ぜた\nひとことでは言い表せない味のドーナツ。
donut_ki_sweet_info	[VAR 0109(0000)]を擦りおろした\nあま～いメレンゲたっぷりのドーナツ。
donut_ki_spicy_info	[VAR 0109(0000)]を炒めた\nピリ辛で本格派のカリードーナツ。
donut_ki_sour_info	[VAR 0109(0000)]を煮込んだ\nすっぱいコンフィをのせたドーナツ。
donut_ki_bitter_info	[VAR 0109(0000)]を練りこんだ\nほろ苦いチョコレートがけのドーナツ。
donut_ki_fresh_info	[VAR 0109(0000)]を絞った\nフレッシュなクリーム仕立てのドーナツ。
donut_ki_mix_info	[VAR 0109(0000)]を混ぜた\nひとことでは言い表せない味のドーナツ。
donut_ramu_sweet_info	[VAR 0109(0000)]を擦りおろした\nあま～いメレンゲたっぷりのドーナツ。
donut_ramu_spicy_info	[VAR 0109(0000)]を炒めた\nピリ辛で本格派のカリードーナツ。
donut_ramu_sour_info	[VAR 0109(0000)]を煮込んだ\nすっぱいコンフィをのせたドーナツ。
donut_ramu_bitter_info	[VAR 0109(0000)]を練りこんだ\nほろ苦いチョコレートがけのドーナツ。
donut_ramu_fresh_info	[VAR 0109(0000)]を絞った\nフレッシュなクリーム仕立てのドーナツ。
donut_ramu_mix_info	[VAR 0109(0000)]を混ぜた\nひとことでは言い表せない味のドーナツ。
donut_obon_sweet_info	[VAR 0109(0000)]を擦りおろした\nあま～いメレンゲたっぷりのドーナツ。
donut_obon_spicy_info	[VAR 0109(0000)]を炒めた\nピリ辛で本格派のカリードーナツ。
donut_obon_sour_info	[VAR 0109(0000)]を煮込んだ\nすっぱいコンフィをのせたドーナツ。
donut_obon_bitter_info	[VAR 0109(0000)]を練りこんだ\nほろ苦いチョコレートがけのドーナツ。
donut_obon_fresh_info	[VAR 0109(0000)]を絞った\nフレッシュなクリーム仕立てのドーナツ。
donut_obon_mix_info	[VAR 0109(0000)]を混ぜた\nひとことでは言い表せない味のドーナツ。
donut_zaroku_sweet_info	[VAR 0109(0000)]を擦りおろした\nあま～いメレンゲたっぷりのドーナツ。
donut_zaroku_spicy_info	[VAR 0109(0000)]を炒めた\nピリ辛で本格派のカリードーナツ。
donut_zaroku_sour_info	[VAR 0109(0000)]を煮込んだ\nすっぱいコンフィをのせたドーナツ。
donut_zaroku_bitter_info	[VAR 0109(0000)]を練りこんだ\nほろ苦いチョコレートがけのドーナツ。
donut_zaroku_fresh_info	[VAR 0109(0000)]を絞った\nフレッシュなクリーム仕立てのドーナツ。
donut_zaroku_mix_info	[VAR 0109(0000)]を混ぜた\nひとことでは言い表せない味のドーナツ。
donut_nekobu_sweet_info	[VAR 0109(0000)]を擦りおろした\nあま～いメレンゲたっぷりのドーナツ。
donut_nekobu_spicy_info	[VAR 0109(0000)]を炒めた\nピリ辛で本格派のカリードーナツ。
donut_nekobu_sour_info	[VAR 0109(0000)]を煮込んだ\nすっぱいコンフィをのせたドーナツ。
donut_nekobu_bitter_info	[VAR 0109(0000)]を練りこんだ\nほろ苦いチョコレートがけのドーナツ。
donut_nekobu_fresh_info	[VAR 0109(0000)]を絞った\nフレッシュなクリーム仕立てのドーナツ。
donut_nekobu_mix_info	[VAR 0109(0000)]を混ぜた\nひとことでは言い表せない味のドーナツ。
donut_taporu_sweet_info	[VAR 0109(0000)]を擦りおろした\nあま～いメレンゲたっぷりのドーナツ。
donut_taporu_spicy_info	[VAR 0109(0000)]を炒めた\nピリ辛で本格派のカリードーナツ。
donut_taporu_sour_info	[VAR 0109(0000)]を煮込んだ\nすっぱいコンフィをのせたドーナツ。
donut_taporu_bitter_info	[VAR 0109(0000)]を練りこんだ\nほろ苦いチョコレートがけのドーナツ。
donut_taporu_fresh_info	[VAR 0109(0000)]を絞った\nフレッシュなクリーム仕立てのドーナツ。
donut_taporu_mix_info	[VAR 0109(0000)]を混ぜた\nひとことでは言い表せない味のドーナツ。
donut_rome_sweet_info	[VAR 0109(0000)]を擦りおろした\nあま～いメレンゲたっぷりのドーナツ。
donut_rome_spicy_info	[VAR 0109(0000)]を炒めた\nピリ辛で本格派のカリードーナツ。
donut_rome_sour_info	[VAR 0109(0000)]を煮込んだ\nすっぱいコンフィをのせたドーナツ。
donut_rome_bitter_info	[VAR 0109(0000)]を練りこんだ\nほろ苦いチョコレートがけのドーナツ。
donut_rome_fresh_info	[VAR 0109(0000)]を絞った\nフレッシュなクリーム仕立てのドーナツ。
donut_rome_mix_info	[VAR 0109(0000)]を混ぜた\nひとことでは言い表せない味のドーナツ。
donut_ubu_sweet_info	[VAR 0109(0000)]を擦りおろした\nあま～いメレンゲたっぷりのドーナツ。
donut_ubu_spicy_info	[VAR 0109(0000)]を炒めた\nピリ辛で本格派のカリードーナツ。
donut_ubu_sour_info	[VAR 0109(0000)]を煮込んだ\nすっぱいコンフィをのせたドーナツ。
donut_ubu_bitter_info	[VAR 0109(0000)]を練りこんだ\nほろ苦いチョコレートがけのドーナツ。
donut_ubu_fresh_info	[VAR 0109(0000)]を絞った\nフレッシュなクリーム仕立てのドーナツ。
donut_ubu_mix_info	[VAR 0109(0000)]を混ぜた\nひとことでは言い表せない味のドーナツ。
donut_matoma_sweet_info	[VAR 0109(0000)]を擦りおろした\nあま～いメレンゲたっぷりのドーナツ。
donut_matoma_spicy_info	[VAR 0109(0000)]を炒めた\nピリ辛で本格派のカリードーナツ。
donut_matoma_sour_info	[VAR 0109(0000)]を煮込んだ\nすっぱいコンフィをのせたドーナツ。
donut_matoma_bitter_info	[VAR 0109(0000)]を練りこんだ\nほろ苦いチョコレートがけのドーナツ。
donut_matoma_fresh_info	[VAR 0109(0000)]を絞った\nフレッシュなクリーム仕立てのドーナツ。
donut_matoma_mix_info	[VAR 0109(0000)]を混ぜた\nひとことでは言い表せない味のドーナツ。
donut_okka_sweet_info	[VAR 0109(0000)]を擦りおろした\nあま～いメレンゲたっぷりのドーナツ。
donut_okka_spicy_info	[VAR 0109(0000)]を炒めた\nピリ辛で本格派のカリードーナツ。
donut_okka_sour_info	[VAR 0109(0000)]を煮込んだ\nすっぱいコンフィをのせたドーナツ。
donut_okka_bitter_info	[VAR 0109(0000)]を練りこんだ\nほろ苦いチョコレートがけのドーナツ。
donut_okka_fresh_info	[VAR 0109(0000)]を絞った\nフレッシュなクリーム仕立てのドーナツ。
donut_okka_mix_info	[VAR 0109(0000)]を混ぜた\nひとことでは言い表せない味のドーナツ。
donut_itoke_sweet_info	[VAR 0109(0000)]を擦りおろした\nあま～いメレンゲたっぷりのドーナツ。
donut_itoke_spicy_info	[VAR 0109(0000)]を炒めた\nピリ辛で本格派のカリードーナツ。
donut_itoke_sour_info	[VAR 0109(0000)]を煮込んだ\nすっぱいコンフィをのせたドーナツ。
donut_itoke_bitter_info	[VAR 0109(0000)]を練りこんだ\nほろ苦いチョコレートがけのドーナツ。
donut_itoke_fresh_info	[VAR 0109(0000)]を絞った\nフレッシュなクリーム仕立てのドーナツ。
donut_itoke_mix_info	[VAR 0109(0000)]を混ぜた\nひとことでは言い表せない味のドーナツ。
donut_sokuno_sweet_info	[VAR 0109(0000)]を擦りおろした\nあま～いメレンゲたっぷりのドーナツ。
donut_sokuno_spicy_info	[VAR 0109(0000)]を炒めた\nピリ辛で本格派のカリードーナツ。
donut_sokuno_sour_info	[VAR 0109(0000)]を煮込んだ\nすっぱいコンフィをのせたドーナツ。
donut_sokuno_bitter_info	[VAR 0109(0000)]を練りこんだ\nほろ苦いチョコレートがけのドーナツ。
donut_sokuno_fresh_info	[VAR 0109(0000)]を絞った\nフレッシュなクリーム仕立てのドーナツ。
donut_sokuno_mix_info	[VAR 0109(0000)]を混ぜた\nひとことでは言い表せない味のドーナツ。
donut_rindo_sweet_info	[VAR 0109(0000)]を擦りおろした\nあま～いメレンゲたっぷりのドーナツ。
donut_rindo_spicy_info	[VAR 0109(0000)]を炒めた\nピリ辛で本格派のカリードーナツ。
donut_rindo_sour_info	[VAR 0109(0000)]を煮込んだ\nすっぱいコンフィをのせたドーナツ。
donut_rindo_bitter_info	[VAR 0109(0000)]を練りこんだ\nほろ苦いチョコレートがけのドーナツ。
donut_rindo_fresh_info	[VAR 0109(0000)]を絞った\nフレッシュなクリーム仕立てのドーナツ。
donut_rindo_mix_info	[VAR 0109(0000)]を混ぜた\nひとことでは言い表せない味のドーナツ。
donut_yatye_sweet_info	[VAR 0109(0000)]を擦りおろした\nあま～いメレンゲたっぷりのドーナツ。
donut_yatye_spicy_info	[VAR 0109(0000)]を炒めた\nピリ辛で本格派のカリードーナツ。
donut_yatye_sour_info	[VAR 0109(0000)]を煮込んだ\nすっぱいコンフィをのせたドーナツ。
donut_yatye_bitter_info	[VAR 0109(0000)]を練りこんだ\nほろ苦いチョコレートがけのドーナツ。
donut_yatye_fresh_info	[VAR 0109(0000)]を絞った\nフレッシュなクリーム仕立てのドーナツ。
donut_yatye_mix_info	[VAR 0109(0000)]を混ぜた\nひとことでは言い表せない味のドーナツ。
donut_yopu_sweet_info	[VAR 0109(0000)]を擦りおろした\nあま～いメレンゲたっぷりのドーナツ。
donut_yopu_spicy_info	[VAR 0109(0000)]を炒めた\nピリ辛で本格派のカリードーナツ。
donut_yopu_sour_info	[VAR 0109(0000)]を煮込んだ\nすっぱいコンフィをのせたドーナツ。
donut_yopu_bitter_info	[VAR 0109(0000)]を練りこんだ\nほろ苦いチョコレートがけのドーナツ。
donut_yopu_fresh_info	[VAR 0109(0000)]を絞った\nフレッシュなクリーム仕立てのドーナツ。
donut_yopu_mix_info	[VAR 0109(0000)]を混ぜた\nひとことでは言い表せない味のドーナツ。
donut_pia_sweet_info	[VAR 0109(0000)]を擦りおろした\nあま～いメレンゲたっぷりのドーナツ。
donut_pia_spicy_info	[VAR 0109(0000)]を炒めた\nピリ辛で本格派のカリードーナツ。
donut_pia_sour_info	[VAR 0109(0000)]を煮込んだ\nすっぱいコンフィをのせたドーナツ。
donut_pia_bitter_info	[VAR 0109(0000)]を練りこんだ\nほろ苦いチョコレートがけのドーナツ。
donut_pia_fresh_info	[VAR 0109(0000)]を絞った\nフレッシュなクリーム仕立てのドーナツ。
donut_pia_mix_info	[VAR 0109(0000)]を混ぜた\nひとことでは言い表せない味のドーナツ。
donut_syuka_sweet_info	[VAR 0109(0000)]を擦りおろした\nあま～いメレンゲたっぷりのドーナツ。
donut_syuka_spicy_info	[VAR 0109(0000)]を炒めた\nピリ辛で本格派のカリードーナツ。
donut_syuka_sour_info	[VAR 0109(0000)]を煮込んだ\nすっぱいコンフィをのせたドーナツ。
donut_syuka_bitter_info	[VAR 0109(0000)]を練りこんだ\nほろ苦いチョコレートがけのドーナツ。
donut_syuka_fresh_info	[VAR 0109(0000)]を絞った\nフレッシュなクリーム仕立てのドーナツ。
donut_syuka_mix_info	[VAR 0109(0000)]を混ぜた\nひとことでは言い表せない味のドーナツ。
donut_bakou_sweet_info	[VAR 0109(0000)]を擦りおろした\nあま～いメレンゲたっぷりのドーナツ。
donut_bakou_spicy_info	[VAR 0109(0000)]を炒めた\nピリ辛で本格派のカリードーナツ。
donut_bakou_sour_info	[VAR 0109(0000)]を煮込んだ\nすっぱいコンフィをのせたドーナツ。
donut_bakou_bitter_info	[VAR 0109(0000)]を練りこんだ\nほろ苦いチョコレートがけのドーナツ。
donut_bakou_fresh_info	[VAR 0109(0000)]を絞った\nフレッシュなクリーム仕立てのドーナツ。
donut_bakou_mix_info	[VAR 0109(0000)]を混ぜた\nひとことでは言い表せない味のドーナツ。
donut_utan_sweet_info	[VAR 0109(0000)]を擦りおろした\nあま～いメレンゲたっぷりのドーナツ。
donut_utan_spicy_info	[VAR 0109(0000)]を炒めた\nピリ辛で本格派のカリードーナツ。
donut_utan_sour_info	[VAR 0109(0000)]を煮込んだ\nすっぱいコンフィをのせたドーナツ。
donut_utan_bitter_info	[VAR 0109(0000)]を練りこんだ\nほろ苦いチョコレートがけのドーナツ。
donut_utan_fresh_info	[VAR 0109(0000)]を絞った\nフレッシュなクリーム仕立てのドーナツ。
donut_utan_mix_info	[VAR 0109(0000)]を混ぜた\nひとことでは言い表せない味のドーナツ。
donut_tanga_sweet_info	[VAR 0109(0000)]を擦りおろした\nあま～いメレンゲたっぷりのドーナツ。
donut_tanga_spicy_info	[VAR 0109(0000)]を炒めた\nピリ辛で本格派のカリードーナツ。
donut_tanga_sour_info	[VAR 0109(0000)]を煮込んだ\nすっぱいコンフィをのせたドーナツ。
donut_tanga_bitter_info	[VAR 0109(0000)]を練りこんだ\nほろ苦いチョコレートがけのドーナツ。
donut_tanga_fresh_info	[VAR 0109(0000)]を絞った\nフレッシュなクリーム仕立てのドーナツ。
donut_tanga_mix_info	[VAR 0109(0000)]を混ぜた\nひとことでは言い表せない味のドーナツ。
