aoc_error.txt
aoc_error_01	需要擁有新增內容\n才能繼續前進。
donut_app_04_03	按增幅Lv.排序
donut_app_04_04	按飽腹能量排序
donut_app_04_05	按風味分類
donut_app_04_06	取消
donut_app_05_01	要給胡帕吃甜甜圈，\n開始調查異次元密阿雷嗎？
donut_app_05_02	要
donut_app_05_03	不要
donut_app_05_04	要把選好的甜甜圈給牠吃嗎？
donut_app_05_05	要取消一併選擇嗎？
donut_app_05_06	這是特別的甜甜圈，\n確定要繼續嗎？
donut_app_05_07	目前包含了特別的甜甜圈，\n確定要繼續嗎？
donut_app_05_13	目前包含了特別的甜甜圈，\n確定要繼續嗎？
donut_app_05_08	得選我拜託你們做的夢魘螺旋甜甜圈，\n作戰才能開始啊。
donut_app_05_09	如果沒有符合條件的甜甜圈，\n就不能去想去的異次元密阿雷囉。
donut_app_05_11	不是阿爾法蛋糕甜甜圈的話，\n就不能去想去的異次元密阿雷囉。
donut_app_05_12	不是德爾塔蛋糕甜甜圈的話，\n就不能去想去的異次元密阿雷囉。
donut_app_05_10	不是等離子閃電甜甜圈的話，\n應該就不能去異次元密阿雷喔。
donut_app_07_01	選擇
donut_app_07_02	移除
donut_app_07_03	以此製作
donut_app_07_04	跳過
donut_app_08_01	全部
donut_app_08_02	普通的樹果
donut_app_08_03	異次元樹果
donut_app_09_01	アンシャのひとこと\nアンシャのひとこと
donut_app_10_01	退出
donut_app_10_02	發問
donut_app_10_03	繼續製作
donut_app_10_04	確定
donut_app_10_05	重置
donut_app_10_06	一併選擇
donut_app_10_07	下一步
donut_app_11_01	[VAR 0202(0000)]
donut_app_11_02	/
donut_app_11_03	100
donut_app_11_04	選擇的甜甜圈
donut_app_11_05	總計
donut_app_11_06	[VAR 0202(0000)]
donut_app_12_01	甜甜圈
donut_app_13_00	沒有風味力量的甜甜圈。
donut_app_13_01	パワー１：「フレーバーパワー名」\n「フレーバーパワー説明文」
donut_app_13_02	パワー２：「フレーバーパワー名」\n「フレーバーパワー説明文」
donut_app_13_03	パワー３：「フレーバーパワー名」\n「フレーバーパワー説明文」
donut_app_13_10	フレーバーパワー詳細説明文\nフレーバーパワー詳細説明文\nフレーバーパワー詳細説明文
donut_app_14_01	預估飽腹時間
donut_app_14_02	[VAR 0201(0000)]:[VAR 0201(0001)]
donut_app_15_01	真的不製作甜甜圈嗎……？
donut_app_15_02	繼續
donut_app_15_03	結束
donut_app_15_11	收到點單！\n我這就開始做甜甜圈！
donut_app_15_12	這個組合沒有辦法製作甜甜圈呢……
donut_app_15_13	就算做了甜甜圈，\n[VAR 1100(00FF,0101)]你妳身上似乎也放不下了呢。
donut_app_15_21	做得很成功！\n要再製作甜甜圈嗎？
donut_app_15_25	身上多帶一些甜甜圈，\n異次元的調查應該也會更有效率喔！
donut_app_15_22	繼續製作
donut_app_15_23	製作一樣的
donut_app_15_24	待會再說
donut_app_15_31	請選擇３個樹果。\n哪一個樹果都可以喔！
donut_app_talk_01	歡迎來到安馨兒的甜甜圈店！
donut_app_select_01	製作甜甜圈
donut_app_select_02	照夢魘螺旋甜甜圈的食譜製作
donut_app_select_03	照阿爾法蛋糕甜甜圈的食譜製作
donut_app_select_04	照歐米加蛋糕甜甜圈的食譜製作
donut_app_select_05	照德爾塔蛋糕甜甜圈的食譜製作
donut_app_select_06	照等離子閃電甜甜圈的食譜製作
donut_app_select_07	沒什麼事
donut_app_talk_02	要做甜甜圈的話，\n需要３個樹果喔！
donut_app_make_01	那麼請讓我使用\n[VAR 0100(0000)][VAR 1100(00FF,0101)]你妳獲得的超級奶油。
donut_app_make_01_01	可以用來製作甜甜圈的\n樹果增加到４個了！
donut_app_make_02	那麼請讓我使用\n[VAR 0100(0000)][VAR 1100(00FF,0101)]你妳獲得的高級奶油。
donut_app_make_02_01	可以用來製作甜甜圈的\n樹果增加到５個了！
donut_app_make_03	那麼請讓我使用\n[VAR 0100(0000)][VAR 1100(00FF,0101)]你妳獲得的究極奶油。
donut_app_make_03_01	可以用來製作甜甜圈的\n樹果增加到６個了！
donut_app_make_04	那麼請讓我使用\n[VAR 0100(0000)][VAR 1100(00FF,0101)]你妳獲得的大師奶油。
donut_app_make_04_01	可以用來製作甜甜圈的\n樹果增加到７個了！
donut_app_make_05	那麼請讓我使用\n[VAR 0100(0000)][VAR 1100(00FF,0101)]你妳獲得的異次元奶油。
donut_app_make_05_01	可以用來製作甜甜圈的\n樹果增加到８個了！
donut_app_make_06	在地圖上確認扭洞的地點，\n去調查異次元密阿雷吧！
donut_app_05_14	沒有可以給胡帕\n吃的甜甜圈！
donut_flavor.txt
msg_d41d8cd98f00b204e9800998ecf8427e	[~ 0]
donut_kurabo_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n鋪滿甜～甜蛋白霜的甜甜圈。
donut_kurabo_spicy_info	拌炒[VAR 0109(0000)]，\n微辣又正統的咖哩甜甜圈。
donut_kurabo_sour_info	放上燉煮成蜜餞的[VAR 0109(0000)]，\n滋味酸酸的甜甜圈。
donut_kurabo_bitter_info	淋上拌入了[VAR 0109(0000)]的巧克力，\n滋味微苦的甜甜圈。
donut_kurabo_fresh_info	佐上擠入了[VAR 0109(0000)]汁的\n新鮮鮮奶油的甜甜圈。
donut_kurabo_mix_info	拌入[VAR 0109(0000)]，\n滋味無法一語道盡的甜甜圈。
donut_kago_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n鋪滿甜～甜蛋白霜的甜甜圈。
donut_kago_spicy_info	拌炒[VAR 0109(0000)]，\n微辣又正統的咖哩甜甜圈。
donut_kago_sour_info	放上燉煮成蜜餞的[VAR 0109(0000)]，\n滋味酸酸的甜甜圈。
donut_kago_bitter_info	淋上拌入了[VAR 0109(0000)]的巧克力，\n滋味微苦的甜甜圈。
donut_kago_fresh_info	佐上擠入了[VAR 0109(0000)]汁的\n新鮮鮮奶油的甜甜圈。
donut_kago_mix_info	拌入[VAR 0109(0000)]，\n滋味無法一語道盡的甜甜圈。
donut_momon_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n鋪滿甜～甜蛋白霜的甜甜圈。
donut_momon_spicy_info	拌炒[VAR 0109(0000)]，\n微辣又正統的咖哩甜甜圈。
donut_momon_sour_info	放上燉煮成蜜餞的[VAR 0109(0000)]，\n滋味酸酸的甜甜圈。
donut_momon_bitter_info	淋上拌入了[VAR 0109(0000)]的巧克力，\n滋味微苦的甜甜圈。
donut_momon_fresh_info	佐上擠入了[VAR 0109(0000)]汁的\n新鮮鮮奶油的甜甜圈。
donut_momon_mix_info	拌入[VAR 0109(0000)]，\n滋味無法一語道盡的甜甜圈。
donut_chigo_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n鋪滿甜～甜蛋白霜的甜甜圈。
donut_chigo_spicy_info	拌炒[VAR 0109(0000)]，\n微辣又正統的咖哩甜甜圈。
donut_chigo_sour_info	放上燉煮成蜜餞的[VAR 0109(0000)]，\n滋味酸酸的甜甜圈。
donut_chigo_bitter_info	淋上拌入了[VAR 0109(0000)]的巧克力，\n滋味微苦的甜甜圈。
donut_chigo_fresh_info	佐上擠入了[VAR 0109(0000)]汁的\n新鮮鮮奶油的甜甜圈。
donut_chigo_mix_info	拌入[VAR 0109(0000)]，\n滋味無法一語道盡的甜甜圈。
donut_nanashi_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n鋪滿甜～甜蛋白霜的甜甜圈。
donut_nanashi_spicy_info	拌炒[VAR 0109(0000)]，\n微辣又正統的咖哩甜甜圈。
donut_nanashi_sour_info	放上燉煮成蜜餞的[VAR 0109(0000)]，\n滋味酸酸的甜甜圈。
donut_nanashi_bitter_info	淋上拌入了[VAR 0109(0000)]的巧克力，\n滋味微苦的甜甜圈。
donut_nanashi_fresh_info	佐上擠入了[VAR 0109(0000)]汁的\n新鮮鮮奶油的甜甜圈。
donut_nanashi_mix_info	拌入[VAR 0109(0000)]，\n滋味無法一語道盡的甜甜圈。
donut_oren_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n鋪滿甜～甜蛋白霜的甜甜圈。
donut_oren_spicy_info	拌炒[VAR 0109(0000)]，\n微辣又正統的咖哩甜甜圈。
donut_oren_sour_info	放上燉煮成蜜餞的[VAR 0109(0000)]，\n滋味酸酸的甜甜圈。
donut_oren_bitter_info	淋上拌入了[VAR 0109(0000)]的巧克力，\n滋味微苦的甜甜圈。
donut_oren_fresh_info	佐上擠入了[VAR 0109(0000)]汁的\n新鮮鮮奶油的甜甜圈。
donut_oren_mix_info	拌入[VAR 0109(0000)]，\n滋味無法一語道盡的甜甜圈。
donut_ki_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n鋪滿甜～甜蛋白霜的甜甜圈。
donut_ki_spicy_info	拌炒[VAR 0109(0000)]，\n微辣又正統的咖哩甜甜圈。
donut_ki_sour_info	放上燉煮成蜜餞的[VAR 0109(0000)]，\n滋味酸酸的甜甜圈。
donut_ki_bitter_info	淋上拌入了[VAR 0109(0000)]的巧克力，\n滋味微苦的甜甜圈。
donut_ki_fresh_info	佐上擠入了[VAR 0109(0000)]汁的\n新鮮鮮奶油的甜甜圈。
donut_ki_mix_info	拌入[VAR 0109(0000)]，\n滋味無法一語道盡的甜甜圈。
donut_ramu_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n鋪滿甜～甜蛋白霜的甜甜圈。
donut_ramu_spicy_info	拌炒[VAR 0109(0000)]，\n微辣又正統的咖哩甜甜圈。
donut_ramu_sour_info	放上燉煮成蜜餞的[VAR 0109(0000)]，\n滋味酸酸的甜甜圈。
donut_ramu_bitter_info	淋上拌入了[VAR 0109(0000)]的巧克力，\n滋味微苦的甜甜圈。
donut_ramu_fresh_info	佐上擠入了[VAR 0109(0000)]汁的\n新鮮鮮奶油的甜甜圈。
donut_ramu_mix_info	拌入[VAR 0109(0000)]，\n滋味無法一語道盡的甜甜圈。
donut_obon_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n鋪滿甜～甜蛋白霜的甜甜圈。
donut_obon_spicy_info	拌炒[VAR 0109(0000)]，\n微辣又正統的咖哩甜甜圈。
donut_obon_sour_info	放上燉煮成蜜餞的[VAR 0109(0000)]，\n滋味酸酸的甜甜圈。
donut_obon_bitter_info	淋上拌入了[VAR 0109(0000)]的巧克力，\n滋味微苦的甜甜圈。
donut_obon_fresh_info	佐上擠入了[VAR 0109(0000)]汁的\n新鮮鮮奶油的甜甜圈。
donut_obon_mix_info	拌入[VAR 0109(0000)]，\n滋味無法一語道盡的甜甜圈。
donut_zaroku_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n鋪滿甜～甜蛋白霜的甜甜圈。
donut_zaroku_spicy_info	拌炒[VAR 0109(0000)]，\n微辣又正統的咖哩甜甜圈。
donut_zaroku_sour_info	放上燉煮成蜜餞的[VAR 0109(0000)]，\n滋味酸酸的甜甜圈。
donut_zaroku_bitter_info	淋上拌入了[VAR 0109(0000)]的巧克力，\n滋味微苦的甜甜圈。
donut_zaroku_fresh_info	佐上擠入了[VAR 0109(0000)]汁的\n新鮮鮮奶油的甜甜圈。
donut_zaroku_mix_info	拌入[VAR 0109(0000)]，\n滋味無法一語道盡的甜甜圈。
donut_nekobu_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n鋪滿甜～甜蛋白霜的甜甜圈。
donut_nekobu_spicy_info	拌炒[VAR 0109(0000)]，\n微辣又正統的咖哩甜甜圈。
donut_nekobu_sour_info	放上燉煮成蜜餞的[VAR 0109(0000)]，\n滋味酸酸的甜甜圈。
donut_nekobu_bitter_info	淋上拌入了[VAR 0109(0000)]的巧克力，\n滋味微苦的甜甜圈。
donut_nekobu_fresh_info	佐上擠入了[VAR 0109(0000)]汁的\n新鮮鮮奶油的甜甜圈。
donut_nekobu_mix_info	拌入[VAR 0109(0000)]，\n滋味無法一語道盡的甜甜圈。
donut_taporu_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n鋪滿甜～甜蛋白霜的甜甜圈。
donut_taporu_spicy_info	拌炒[VAR 0109(0000)]，\n微辣又正統的咖哩甜甜圈。
donut_taporu_sour_info	放上燉煮成蜜餞的[VAR 0109(0000)]，\n滋味酸酸的甜甜圈。
donut_taporu_bitter_info	淋上拌入了[VAR 0109(0000)]的巧克力，\n滋味微苦的甜甜圈。
donut_taporu_fresh_info	佐上擠入了[VAR 0109(0000)]汁的\n新鮮鮮奶油的甜甜圈。
donut_taporu_mix_info	拌入[VAR 0109(0000)]，\n滋味無法一語道盡的甜甜圈。
donut_rome_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n鋪滿甜～甜蛋白霜的甜甜圈。
donut_rome_spicy_info	拌炒[VAR 0109(0000)]，\n微辣又正統的咖哩甜甜圈。
donut_rome_sour_info	放上燉煮成蜜餞的[VAR 0109(0000)]，\n滋味酸酸的甜甜圈。
donut_rome_bitter_info	淋上拌入了[VAR 0109(0000)]的巧克力，\n滋味微苦的甜甜圈。
donut_rome_fresh_info	佐上擠入了[VAR 0109(0000)]汁的\n新鮮鮮奶油的甜甜圈。
donut_rome_mix_info	拌入[VAR 0109(0000)]，\n滋味無法一語道盡的甜甜圈。
donut_ubu_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n鋪滿甜～甜蛋白霜的甜甜圈。
donut_ubu_spicy_info	拌炒[VAR 0109(0000)]，\n微辣又正統的咖哩甜甜圈。
donut_ubu_sour_info	放上燉煮成蜜餞的[VAR 0109(0000)]，\n滋味酸酸的甜甜圈。
donut_ubu_bitter_info	淋上拌入了[VAR 0109(0000)]的巧克力，\n滋味微苦的甜甜圈。
donut_ubu_fresh_info	佐上擠入了[VAR 0109(0000)]汁的\n新鮮鮮奶油的甜甜圈。
donut_ubu_mix_info	拌入[VAR 0109(0000)]，\n滋味無法一語道盡的甜甜圈。
donut_matoma_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n鋪滿甜～甜蛋白霜的甜甜圈。
donut_matoma_spicy_info	拌炒[VAR 0109(0000)]，\n微辣又正統的咖哩甜甜圈。
donut_matoma_sour_info	放上燉煮成蜜餞的[VAR 0109(0000)]，\n滋味酸酸的甜甜圈。
donut_matoma_bitter_info	淋上拌入了[VAR 0109(0000)]的巧克力，\n滋味微苦的甜甜圈。
donut_matoma_fresh_info	佐上擠入了[VAR 0109(0000)]汁的\n新鮮鮮奶油的甜甜圈。
donut_matoma_mix_info	拌入[VAR 0109(0000)]，\n滋味無法一語道盡的甜甜圈。
donut_okka_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n鋪滿甜～甜蛋白霜的甜甜圈。
donut_okka_spicy_info	拌炒[VAR 0109(0000)]，\n微辣又正統的咖哩甜甜圈。
donut_okka_sour_info	放上燉煮成蜜餞的[VAR 0109(0000)]，\n滋味酸酸的甜甜圈。
donut_okka_bitter_info	淋上拌入了[VAR 0109(0000)]的巧克力，\n滋味微苦的甜甜圈。
donut_okka_fresh_info	佐上擠入了[VAR 0109(0000)]汁的\n新鮮鮮奶油的甜甜圈。
donut_okka_mix_info	拌入[VAR 0109(0000)]，\n滋味無法一語道盡的甜甜圈。
donut_itoke_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n鋪滿甜～甜蛋白霜的甜甜圈。
donut_itoke_spicy_info	拌炒[VAR 0109(0000)]，\n微辣又正統的咖哩甜甜圈。
donut_itoke_sour_info	放上燉煮成蜜餞的[VAR 0109(0000)]，\n滋味酸酸的甜甜圈。
donut_itoke_bitter_info	淋上拌入了[VAR 0109(0000)]的巧克力，\n滋味微苦的甜甜圈。
donut_itoke_fresh_info	佐上擠入了[VAR 0109(0000)]汁的\n新鮮鮮奶油的甜甜圈。
donut_itoke_mix_info	拌入[VAR 0109(0000)]，\n滋味無法一語道盡的甜甜圈。
donut_sokuno_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n鋪滿甜～甜蛋白霜的甜甜圈。
donut_sokuno_spicy_info	拌炒[VAR 0109(0000)]，\n微辣又正統的咖哩甜甜圈。
donut_sokuno_sour_info	放上燉煮成蜜餞的[VAR 0109(0000)]，\n滋味酸酸的甜甜圈。
donut_sokuno_bitter_info	淋上拌入了[VAR 0109(0000)]的巧克力，\n滋味微苦的甜甜圈。
donut_sokuno_fresh_info	佐上擠入了[VAR 0109(0000)]汁的\n新鮮鮮奶油的甜甜圈。
donut_sokuno_mix_info	拌入[VAR 0109(0000)]，\n滋味無法一語道盡的甜甜圈。
donut_rindo_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n鋪滿甜～甜蛋白霜的甜甜圈。
donut_rindo_spicy_info	拌炒[VAR 0109(0000)]，\n微辣又正統的咖哩甜甜圈。
donut_rindo_sour_info	放上燉煮成蜜餞的[VAR 0109(0000)]，\n滋味酸酸的甜甜圈。
donut_rindo_bitter_info	淋上拌入了[VAR 0109(0000)]的巧克力，\n滋味微苦的甜甜圈。
donut_rindo_fresh_info	佐上擠入了[VAR 0109(0000)]汁的\n新鮮鮮奶油的甜甜圈。
donut_rindo_mix_info	拌入[VAR 0109(0000)]，\n滋味無法一語道盡的甜甜圈。
donut_yatye_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n鋪滿甜～甜蛋白霜的甜甜圈。
donut_yatye_spicy_info	拌炒[VAR 0109(0000)]，\n微辣又正統的咖哩甜甜圈。
donut_yatye_sour_info	放上燉煮成蜜餞的[VAR 0109(0000)]，\n滋味酸酸的甜甜圈。
donut_yatye_bitter_info	淋上拌入了[VAR 0109(0000)]的巧克力，\n滋味微苦的甜甜圈。
donut_yatye_fresh_info	佐上擠入了[VAR 0109(0000)]汁的\n新鮮鮮奶油的甜甜圈。
donut_yatye_mix_info	拌入[VAR 0109(0000)]，\n滋味無法一語道盡的甜甜圈。
donut_yopu_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n鋪滿甜～甜蛋白霜的甜甜圈。
donut_yopu_spicy_info	拌炒[VAR 0109(0000)]，\n微辣又正統的咖哩甜甜圈。
donut_yopu_sour_info	放上燉煮成蜜餞的[VAR 0109(0000)]，\n滋味酸酸的甜甜圈。
donut_yopu_bitter_info	淋上拌入了[VAR 0109(0000)]的巧克力，\n滋味微苦的甜甜圈。
donut_yopu_fresh_info	佐上擠入了[VAR 0109(0000)]汁的\n新鮮鮮奶油的甜甜圈。
donut_yopu_mix_info	拌入[VAR 0109(0000)]，\n滋味無法一語道盡的甜甜圈。
donut_pia_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n鋪滿甜～甜蛋白霜的甜甜圈。
donut_pia_spicy_info	拌炒[VAR 0109(0000)]，\n微辣又正統的咖哩甜甜圈。
donut_pia_sour_info	放上燉煮成蜜餞的[VAR 0109(0000)]，\n滋味酸酸的甜甜圈。
donut_pia_bitter_info	淋上拌入了[VAR 0109(0000)]的巧克力，\n滋味微苦的甜甜圈。
donut_pia_fresh_info	佐上擠入了[VAR 0109(0000)]汁的\n新鮮鮮奶油的甜甜圈。
donut_pia_mix_info	拌入[VAR 0109(0000)]，\n滋味無法一語道盡的甜甜圈。
donut_syuka_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n鋪滿甜～甜蛋白霜的甜甜圈。
donut_syuka_spicy_info	拌炒[VAR 0109(0000)]，\n微辣又正統的咖哩甜甜圈。
donut_syuka_sour_info	放上燉煮成蜜餞的[VAR 0109(0000)]，\n滋味酸酸的甜甜圈。
donut_syuka_bitter_info	淋上拌入了[VAR 0109(0000)]的巧克力，\n滋味微苦的甜甜圈。
donut_syuka_fresh_info	佐上擠入了[VAR 0109(0000)]汁的\n新鮮鮮奶油的甜甜圈。
donut_syuka_mix_info	拌入[VAR 0109(0000)]，\n滋味無法一語道盡的甜甜圈。
donut_bakou_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n鋪滿甜～甜蛋白霜的甜甜圈。
donut_bakou_spicy_info	拌炒[VAR 0109(0000)]，\n微辣又正統的咖哩甜甜圈。
donut_bakou_sour_info	放上燉煮成蜜餞的[VAR 0109(0000)]，\n滋味酸酸的甜甜圈。
donut_bakou_bitter_info	淋上拌入了[VAR 0109(0000)]的巧克力，\n滋味微苦的甜甜圈。
donut_bakou_fresh_info	佐上擠入了[VAR 0109(0000)]汁的\n新鮮鮮奶油的甜甜圈。
donut_bakou_mix_info	拌入[VAR 0109(0000)]，\n滋味無法一語道盡的甜甜圈。
donut_utan_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n鋪滿甜～甜蛋白霜的甜甜圈。
donut_utan_spicy_info	拌炒[VAR 0109(0000)]，\n微辣又正統的咖哩甜甜圈。
donut_utan_sour_info	放上燉煮成蜜餞的[VAR 0109(0000)]，\n滋味酸酸的甜甜圈。
donut_utan_bitter_info	淋上拌入了[VAR 0109(0000)]的巧克力，\n滋味微苦的甜甜圈。
donut_utan_fresh_info	佐上擠入了[VAR 0109(0000)]汁的\n新鮮鮮奶油的甜甜圈。
donut_utan_mix_info	拌入[VAR 0109(0000)]，\n滋味無法一語道盡的甜甜圈。
donut_tanga_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n鋪滿甜～甜蛋白霜的甜甜圈。
donut_tanga_spicy_info	拌炒[VAR 0109(0000)]，\n微辣又正統的咖哩甜甜圈。
donut_tanga_sour_info	放上燉煮成蜜餞的[VAR 0109(0000)]，\n滋味酸酸的甜甜圈。
donut_tanga_bitter_info	淋上拌入了[VAR 0109(0000)]的巧克力，\n滋味微苦的甜甜圈。
donut_tanga_fresh_info	佐上擠入了[VAR 0109(0000)]汁的\n新鮮鮮奶油的甜甜圈。
donut_tanga_mix_info	拌入[VAR 0109(0000)]，\n滋味無法一語道盡的甜甜圈。
donut_yorogi_sweet_info	撒上磨碎的[VAR 0109(0000)]，\n鋪滿甜～甜蛋白霜的甜甜圈。
donut_yorogi_spicy_info	拌炒[VAR 0109(0000)]，\n微辣又正統的咖哩甜甜圈。
donut_yorogi_sour_info	放上燉煮成蜜餞的[VAR 0109(0000)]，\n滋味酸酸的甜甜圈。
donut_yorogi_bitter_info	淋上拌入了[VAR 0109(0000)]的巧克力，\n滋味微苦的甜甜圈。
