Achievement.txt
Achievement/NoticeText	「{AchievementName}」达成了！
Achievement/19_UfoInTheSeaClearDescription	换上年轻水手或\n大渔旗<sprite=14>完成了\n大海的工作
Achievement/20_CircusHutUfoName	马戏团UFO
Achievement/20_CircusHutUfoClearCheckerName	马戏团UFO
Achievement/20_CircusHutUfoDescription	配合马戏团的\n搭配
Achievement/20_CircusHutUfoClearDescription	换上马戏团小<sprite=13>\n<sprite=14>完成了\n马戏团的工作
Achievement/21_SpaceUfoName	宇宙UFO
Achievement/21_SpaceUfoClearCheckerName	宇宙UFO
Achievement/21_SpaceUfoDescription	配合〇〇〇〇的\n搭配
Achievement/21_SpaceUfoClearDescription	换上太空衣\n<sprite=14>完成了\n月球的工作
Achievement/22_SengokuUfoName	战国UFO
Achievement/22_SengokuUfoClearCheckerName	战国UFO
Achievement/22_SengokuUfoDescription	配合战国时代的\n搭配
Achievement/22_SengokuUfoClearDescription	换上日本武士\n或忍者装<sprite=14>完成了\n工地现场②的工作
Achievement/23_UfoAndArtName	UFO与艺术
Achievement/23_UfoAndArtClearCheckerName	UFO与艺术
Achievement/23_UfoAndArtDescription	配合艺术感觉的\n搭配
Achievement/23_UfoAndArtClearDescription	换上画家帽\n<sprite=14>完成了\n博物馆的工作
Achievement/24_UfoAndSafetyName	UFO与安全
Achievement/24_UfoAndSafetyClearCheckerName	UFO与安全
Achievement/24_UfoAndSafetyDescription	配合工地现场的\n搭配
Achievement/24_UfoAndSafetyClearDescription	换上工地帽\n<sprite=14>完成了\n工地现场的工作
Achievement/25_UfoShotName	镜头拍到UFO了！
Achievement/25_UfoShotClearCheckerName	镜头拍到\nUFO了！
Achievement/25_UfoShotDescription	完成了工作后\n分享了截图
Achievement/26_EnergySaving01Name	节能挑战‧1
Achievement/26_EnergySaving01ClearCheckerName	节能\n挑战‧1
Achievement/26_EnergySaving01Description	在大海①\n<sprite=8>使用5次机器爪\n<sprite=14>完成了工作
Achievement/27_EnergySaving02Name	节能挑战‧2
Achievement/27_EnergySaving02ClearCheckerName	节能\n挑战‧2
Achievement/27_EnergySaving02Description	在玩具店①\n<sprite=8>使用4次机器爪\n<sprite=14>完成了工作
Achievement/28_EnergySaving03Name	节能挑战‧3
Achievement/28_EnergySaving03ClearCheckerName	节能\n挑战‧3
Achievement/28_EnergySaving03Description	在博物馆③\n<sprite=8>使用6次机器爪\n<sprite=14>完成了工作
Achievement/29_EnergySaving04Name	节能挑战‧4
Achievement/29_EnergySaving04ClearCheckerName	节能\n挑战‧4
Achievement/29_EnergySaving04Description	在实验室③\n<sprite=8>使用7次机器爪\n<sprite=14>完成了工作
Achievement/30_GoodByeUfoName	再见了！UFO！
Achievement/30_GoodByeUfoClearCheckerName	再见了！\nUFO！
Achievement/30_GoodByeUfoDescription	被蒙面的小偷\n逃走了
Achievement/31_HatTrickName	帽子戏法
Achievement/31_HatTrickClearCheckerName	帽子戏法
Achievement/31_HatTrickDescription	在15个工作中\n一次获得了\n3枚奖章
Achievement/32_HatTrickMasterName	帽子戏法大师
Achievement/32_HatTrickMasterClearCheckerName	帽子戏法\n大师
Achievement/32_HatTrickMasterDescription	在30个工作中\n一次获得了\n3枚奖章
Achievement/33_SpaceHunterName	宇宙猎人
Achievement/33_SpaceHunterClearCheckerName	宇宙猎人
Achievement/33_SpaceHunterDescription	合计打倒了100个\n〇〇〇〇〇\n
Achievement/33_SpaceHunterClearDescription	合计打倒了100个\n坏蛋邪恶外星人\n
Achievement/34_InvertedCastleName	上下翻转
Achievement/34_InvertedCastleClearCheckerName	上下翻转
Achievement/34_InvertedCastleDescription	建造了\n上下翻转的城池
Achievement/35_InvertedTotemPoleName	颠倒的雕像
Achievement/35_InvertedTotemPoleClearCheckerName	颠倒的雕像
Achievement/35_InvertedTotemPoleDescription	堆叠了\n颠倒的神秘雕像
Achievement/36_LoginBonusName	登入奖励
Achievement/36_LoginBonusClearCheckerName	登入奖励
Achievement/36_LoginBonusDescription	连续两天<sprite=18>玩了
Achievement/37_HaveFarToGoName	前路漫漫
Achievement/37_HaveFarToGoClearCheckerName	前路漫漫
Achievement/37_HaveFarToGoDescription	完成了10个\n★★的工作
Achievement/38_MacadamiaNutsName	夏威夷果
Achievement/38_MacadamiaNutsClearCheckerName	夏威夷果
Achievement/38_MacadamiaNutsDescription	宝藏岛过关
Achievement/39_FriendshipOrAppetiteName	友情吗？食欲吗？
Achievement/39_FriendshipOrAppetiteClearCheckerName	友情吗？\n食欲吗？
Achievement/39_FriendshipOrAppetiteDescription	两人一起<sprite=18>玩\n或一人堆叠了\n10片松饼
Achievement/40_FriendshipOrHonorName	友情吗？名誉吗？
Achievement/40_FriendshipOrHonorClearCheckerName	友情吗？\n名誉吗？
Achievement/40_FriendshipOrHonorDescription	两人一起搬运了货篮\n或一人在无尽堆叠\n超过了100m
Achievement/41_NoNeedForHelpName	无须帮手
Achievement/41_NoNeedForHelpClearCheckerName	无须帮手
Achievement/41_NoNeedForHelpDescription	在无尽堆叠中\n没有连续出现\n5块魔法块
Achievement/42_UnbalancedMonkeyName	不平衡猴子
Achievement/42_UnbalancedMonkeyClearCheckerName	不平衡\n猴子
Achievement/42_UnbalancedMonkeyDescription	在大象的棒子单边上\n堆叠所有猴子\n<sprite=14>完成了工作
Achievement/43_HundredLegsName	100条腿
Achievement/43_HundredLegsClearCheckerName	100条腿
Achievement/43_HundredLegsDescription	堆叠10<sprite=17>乌贼\n<sprite=14>完成了工作
Achievement/44_DestroyerName	破坏者UFO
Achievement/44_DestroyerClearCheckerName	破坏者UFO
Achievement/44_DestroyerDescription	利用爆破消除\n所有岩石
Achievement/45_TresureHunterName	宝藏猎人
Achievement/45_TresureHunterClearCheckerName	宝藏猎人
Achievement/45_TresureHunterDescription	入手所有\n宝藏岛的宝藏
Achievement/46_SlidingSafetyName	安全上垒
Achievement/46_SlidingSafetyClearCheckerName	安全上垒
Achievement/46_SlidingSafetyDescription	在剩馀时间\n最后1秒时\n完成了工作
Achievement/47_CompleteConquestName	完全称霸
Achievement/47_CompleteConquestClearCheckerName	完全称霸
Achievement/47_CompleteConquestDescription	完成了所有\n★★的工作
Achievement/48_GodMedalsitName	神级奖章收藏家
Achievement/48_GodMedalsitClearCheckerName	神级\n奖章收藏家
Achievement/48_GodMedalsitDescription	获得了\n100枚奖章
Challenge.txt
Challenge/S01Farm	农场 {Number}
Challenge/S02Circus	马戏团 {Number}
Challenge/S03Ocean	大海 {Number}
Challenge/S04Museum	博物馆 {Number}
Challenge/S05HighSchool	高中 {Number}
Challenge/S06WorkSite	工地现场 {Number}
Challenge/S07Restaurant	餐厅 {Number}
Challenge/S08Laboratory	实验室 {Number}
Challenge/S09Moon	月球 {Number}
Challenge/S10ToyStore	玩具店 {Number}
Challenge/S11TreasureIsland	宝藏岛
Challenge/Endless	无尽堆叠
Challenge/Number1	①
Challenge/Number2	②
Challenge/Number3	③
ChallengeExplain/S01Farm01	拿到第一份\n打工薪水了
ChallengeExplain/S01Farm01First	把散落一地的货物\n全放上卡车吧！
ChallengeExplain/S01Farm02	把牛全都抓住 放上卡车吧！
ChallengeExplain/S01Farm03	把大头菜一棵棵拔出来\n要放到卡车上喔！
ChallengeExplain/S02Circus01	完美的平衡感\n有点难度喔！
ChallengeExplain/S02Circus02	小猴子的表演\n惊险万分的平衡感！
ChallengeExplain/S02Circus03	出现了！仓鼠军团！\n要保持平衡喔！
ChallengeExplain/S03Ocean01	把游来游去的鱼儿\n抓住吧！
ChallengeExplain/S03Ocean02	限时3分钟\n海洋动物任你抓！
ChallengeExplain/S03Ocean03	掉下去就糟了！\n海上交易
ChallengeExplain/S04Museum01	把倒下的展示品\n偷偷扶起来！
ChallengeExplain/S04Museum02	把奇妙的艺术品\n放上来展示
ChallengeExplain/S04Museum03	把恐龙的化石\n拼起来！
ChallengeExplain/S05HighSchool01	来帮啦啦队\n完成表演吧！
ChallengeExplain/S05HighSchool02	把年轻的相扑们 叠起来！
ChallengeExplain/S05HighSchool03	在游泳池的水面上\n叠起个塔来吧！
ChallengeExplain/S06WorkSite01	要是柱子歪了\n会被骂喔！
ChallengeExplain/S06WorkSite02	来到战国时代\n小心忍者！
ChallengeExplain/S06WorkSite03	开<sprite=10>岩山\n盖一座神殿吧！
ChallengeExplain/S07Restaurant01	用许多食物做出\n营养均衡的沙拉
ChallengeExplain/S07Restaurant02	收集甜点\n把圣代堆高高！
ChallengeExplain/S07Restaurant03	软绵绵的松饼\n特别堆高高！
ChallengeExplain/S08Laboratory01	把萤幕上的图案\n组出来看看！
ChallengeExplain/S08Laboratory02	要把神秘的机器 组装起来！
ChallengeExplain/S08Laboratory03	做好保护地球的机器人吧！
ChallengeExplain/S09Moon01	月亮是地球的卫星\n一起来调查吧！
ChallengeExplain/S09Moon02	打倒邪恶外星人派来的\n机器怪物
ChallengeExplain/S09Moon03	邪恶外星人的头头要逃跑了！\n快用残骸跟石头\n压住他的太空船
ChallengeExplain/S10ToyStore01	整理玩具后\n盖子要好好地盖上喔
ChallengeExplain/S10ToyStore02	推车放得下\n全部的布娃娃吗？
ChallengeExplain/S10ToyStore03	在很久很久以前\n某个地方有个积木国
ChallengeExplain/S11TreasureIsland00	在宝藏岛度假胜地度假
ChallengeExplain/Endless	就是高高地堆上去吧！
Costume.txt
Costume/CosAnkhName	同款头巾
Costume/CosAnkhDescription	和可爱的店员同款
Costume/CosAstronautName	太空衣
Costume/CosAstronautDescription	机器爪的速度变得好快
Costume/CosBeeName	工蜂
Costume/CosBeeDescription	花粉以外的东西也会搬运
Costume/CosBeretName	画家帽
Costume/CosBeretDescription	时髦归时髦　性能很普通
Costume/CosChampionName	冠军称号腰带
Costume/CosChampionDescription	世界第一精力充沛钢铁肌肉
Costume/CosChihuahuaName	狗狗布娃娃
Costume/CosChihuahuaDescription	可爱的狗狗　让速度加快一点
Costume/CosChinaName	武打猴
Costume/CosChinaDescription	练习不让货物摇来晃去
Costume/CosCookName	三星厨师帽
Costume/CosCookDescription	在厨房的工作干净利落
Costume/CosDeliverymanName	配送员帽子
Costume/CosDeliverymanDescription	感谢您的配送
Costume/CosExplorerName	探险队员
Costume/CosExplorerDescription	不畏艰险的浪漫主义者
Costume/CosHakoName	Qbby的UFO
Costume/CosHakoDescription	能取出箱子吗？
Costume/CosHelmetName	工地帽
Costume/CosHelmetDescription	可以马上停住　看看安不安全
Costume/CosKingName	奖章之王
Costume/CosKingDescription	拥有国王的威严
Costume/CosMufflerName	毛帽搭围巾
Costume/CosMufflerDescription	舒适保暖　也比较容易慢下来
Costume/CosNightName	UFO睡衣
Costume/CosNightDescription	睡眼惺忪　所以停不太下来
Costume/CosNinjaName	忍者装
Costume/CosNinjaDescription	速度就像旋风一样快
Costume/CosNormalName	标准天<sprite=23>
Costume/CosNormalDescription	可不是光溜溜喔
Costume/CosParasolName	蕾丝花边太阳伞
Costume/CosParasolDescription	再重的货物　都能轻松搬过去
Costume/CosBatonName	乐队主指挥棒
Costume/CosBatonDescription	威风凛凛的鼓笛队
Costume/CosPierrotName	马戏团小<sprite=13>
Costume/CosPierrotDescription	抓到的东西会用力摆<sprite=15>
Costume/CosPostmanName	邮差先生
Costume/CosPostmanDescription	运送信件和笑颜
Costume/CosPowerName	动力装甲
Costume/CosPowerDescription	再重的货物都能轻松搞定
Costume/CosPropellerName	竹蜻蜓飞行帽
Costume/CosPropellerDescription	可以自由地在天空飞翔吗～
Costume/CosRealName	拟真UFO
Costume/CosRealDescription	跟超音速一样快
Costume/CosSailorName	年轻水手
Costume/CosSailorDescription	机器爪的速度　会变得很快
Costume/CosShipFlagName	大渔旗
Costume/CosShipFlagDescription	可以快速地抓鱼
Costume/CosSilkHatName	英国绅士
Costume/CosSilkHatDescription	沉著稳重　像大人一样成熟
Costume/CosTigerName	老虎布偶装
Costume/CosTigerDescription	用老虎的力量紧紧抓住
Costume/CosTopKnotName	日本武士
Costume/CosTopKnotDescription	配戴的刀子<sprite=8>是装饰品
Costume/CosWitchName	魔女扫把
Costume/CosWitchDescription	<sprite=8>能在空中飞
Demo.txt
Demo/Farm01FirstText00	哎呀！糟糕了\n珍贵的巨大橘子全掉出来了…\n光靠我一个人\n哪有办法全部放回卡车上啊…
Demo/Farm01FirstText01	嗯？\n那边那个轻轻浮著的年轻人！\n你能不能帮帮我的忙？
Demo/Farm01Text00	做得好！你帮了大忙！\n这是你的工钱 <sprite=9>管收下吧！
Demo/Farm01Text01	…你说什么？\n这是你第一次打工拿到薪水？
Demo/Farm01Text02	有前途的年轻人\n可不能老是<sprite=11><sprite=11>待著…\n<sprite=11><sprite=11>飘著啊！
Demo/Farm01Text03	大叔看不下去UFO一直<sprite=11><sprite=11>飘著\n给了他一本打工杂<sprite=12>
Demo/Farm01Text04	UFO便这样展开了\n在地球上的生活
Demo/Tutorial01Text00	<sprite=8>要在想抓住的东西上面\n按下 <sprite=2> 或 <sprite=0> 键就会出现机器爪
Demo/Tutorial01Text01	要是跟目标靠得太近\n机器爪就不会出现喔！
Demo/Tutorial01Text02	想放开抓住的东西时\n<sprite=8>要再按一次 <sprite=2> 或 <sprite=0> 键\n就可以了
Demo/Tutorial02Text00	那些闪著白光的东西\n是重要的货物
Demo/Tutorial02Text01	<sprite=8>要把规定的数量放到上面\n工作就完成了！
Demo/Tutorial02Text02	如果把不太重要的货物也放上去\n可以额外加分喔！
Demo/Tutorial02Text03	不过要是没在规定的时间内做完\n就得不到加分了喔！\n就算加班也没有好处
Demo/Moon03Text00	做得好啊！UFO！
Demo/Moon03Text01	虽然也遇上了一些阻碍\n不过你的表现\n实在超过了我的期待！
Demo/Moon03Text02	对地球劳动文化的调查\n就这样全部结束了！
Demo/Moon03Text03	恭喜你！\n你赶快回来吧！
Demo/MedalTutorialText00	打工时\n<sprite=8>要达到隐藏条件\n就能拿到奖章
Demo/MedalTutorialText01	收集奖章后\n可以挑战的工作就会增加！
Demo/MedalTutorialText02	还有！！\n完成一次取得3枚奖章的工作后\n可以挑战稍微困难★★模式！
Demo/TimeupTutorialText00	剩下的时间变成0 就得不到加分了！
Demo/TimeupTutorialText01	按下 <sprite=5> 键就会停止工作\n可以选择重新开始
MessageLabels.txt
EmptyText01	
Share/ExplainText	将你辛勤工作的一面展现给\n还没工作的大家看看吧！{Next}\n按下 <sprite=5> 键就能拍下\n完美地完成工作的纪念照片……{Next}\n可以上传到社群网站！\n……不清楚的话就忽略吧！{Next}\n作为分享的谢礼\n准备了每个工作不同的插画喔
EmptyText02	
EmptyText03	
Share/ErrorText	无法分享
Share/ShareText	用 <sprite=5> 键分享
MainMenu/AchievementButtonText	光荣记录
MainMenu/JobOfferButtonText	寻找工作
MainMenu/MultiPlayButtonText	两人
MainMenu/ToSinglePlayButtonText	再见
MainMenu/ShopButtonText	逛逛商店
MainMenu/MultiGuideTitle	两人
MainMenu/MultiGuideText	两人一起挑战工作
MainMenu/TicketWarning	需要机票\n请在商店购买
TreasureIsland/TicketName	机票
TreasureIsland/TicketPurchaseText	前往热带度假胜地宝藏岛
Challenge/PageLockTitle	再多收集些奖章吧！
Challenge/PageLockText	接下来的关卡 收集{MedalNum}个奖章\n就能开放喔！
ClearChecker/ExplainText	这个是「光荣记录」{Next}\n来挑战排得满满的\n课题吧{Next}\n完成了同个框框中的4个课题的话\n就给予奖励\n可以观看「UFO的回忆」！{Next}\n……虽然说是奖励\n但不是太厉害的东西喔
PresentWindow/CompleteTitle	奖章收集完毕
PresentWindow/EndlessRewardTitle	排行榜第1名
PresentWindow/TreasureIslandRewardTitle	宝藏岛过关
PresentWindow/Text	获得特殊服装\n「{CompleteCostume}」
FittingRoom/NegativeText	算了
FittingRoom/PositiveText	决定了
Endless/AltitudeDemoText	ｍ 突破！
Endless/SupportBlock	魔法块
EmptyText04	
Endless/SubTitle	无尽堆叠
Endless/StartButtonName	开始
Endless/RecordButtonName	查看记录
Endless/HowtoButtonName	<sprite=18>玩方式
Endless/IntroductionMainText	将直升机运来的货物\n高高地堆上去\n<sprite=14>注意不要掉落\n也要注意限制时间！
Endless/IntroductionSubText01	目标！
Endless/IntroductionSubText02	新记录！
Endless/IntroductionSubText03	有时候会用\n魔法力量帮忙
Staffroll/TicketPurchaseAvailable	完成大工作后就是度假！\n可以前往热带度假胜地\n宝藏岛了！{Next}\n已赠送1张票券\n请务必前来{Next}\n也可以在商店购买票券
Alert/PedestalJudgeNG	撞到平台外的东西\n就无法过关喔！
Challenge/EndlessTicketTitle	无尽堆叠
Challenge/EndlessTicketMainText	可以放到多高？
Challenge/TreasureIslandTicketTitle	宝藏岛
Challenge/TreasureIslandTicketMainText	热带度假胜地
Staffroll/MachigaiText	左右的画各有5个不同处喔！
Staffroll/CharaText	希望你一开始就告诉我
ClearChecker/GroupTitle01	农场的\n回忆
ClearChecker/GroupTitle02	马戏团的\n回忆
ClearChecker/GroupTitle03	大海的\n回忆
ClearChecker/GroupTitle04	博物馆的\n回忆
ClearChecker/GroupTitle05	高中的\n回忆
ClearChecker/GroupTitle06	工地现场的\n回忆
ClearChecker/GroupTitle07	餐厅的\n回忆
ClearChecker/GroupTitle08	实验室的\n回忆
ClearChecker/GroupTitle09	月球的\n回忆
ClearChecker/GroupTitle10	玩具店的\n回忆
ClearChecker/GroupTitle11	无尽堆叠的\n回忆
ClearChecker/GroupTitle12	商店的\n回忆
Shop.txt
Shop/SoldOutText	已售完
Shop/NegativeButtonText	算了
Shop/PositiveButtonText	买下来！
Shop/AllPurchasedText00	！！！！\n这下我终<sprite=22>把东西都卖完了！
Shop/AllPurchasedText01	钱也存<sprite=21>， 可以安心收店了！\n我要环<sprite=18>世界，到处吃遍美食！
Shop/AllPurchasedText02	谢谢你！\n有缘再见了喔！
Shop/CloseText00	（留下了一封信）
Shop/CloseText01	我要去环<sprite=18>世界 不开店了\n隔壁的老奶奶会帮忙照顾<sprite=20>咪\n所以不用担心
Shop/ExitText00	欢迎再来～
Shop/FirstWelcomText00	欢迎光临！
Shop/FirstWelcomText01	这<sprite=16>是大宇宙服饰店的\n地球分店喔！
Shop/FirstWelcomText02	我特意配合地球的作风\n来布置店面\n<sprite=19><sprite=8>有小孩子光顾…
Shop/FirstWelcomText03	你一定是位好客人！\n请慢慢选购！
Shop/FirstWelcomText04	有一些服装\n穿上后动起来会稍微不一样喔！
Shop/PurchaseCancelText00	慢慢看喔～
Shop/PurchaseFailText00	很抱歉\n你身上的钱不<sprite=21>…
Shop/PurchaseSuccessText00	多谢惠顾～\n很适合你喔～
Shop/PurchaseTicketSuccessText00	慢走～\n一路平安～
Shop/PurchaseTicketConfirmationText00	{Description}\n{Name}\n价钱是{Price}<sprite=1>
Shop/FirstPurchaseSuccessText00	我<sprite=8>告诉你喔……
Shop/FirstPurchaseSuccessText01	工作中时按下 <sprite=3> 或 <sprite=6> 的话\n好像会出现什么喔
Shop/FirstPurchaseSuccessText02	至<sprite=22>会出现什么\n则是根据穿著物品而有不同……
Shop/FirstPurchaseSuccessText03	还请试试看喔！
Shop/TicketPurchaseAvailableText00	我要扩大事业！\n作为商人踏出崭新的一步！
Shop/TicketPurchaseAvailableText01	我开始贩售前往热带度假胜地\n宝藏岛的特价机票了
Shop/TicketPurchaseAvailableText02	虽然要获得贩卖票券的营业许可\n还真是费了我一番工夫……
Shop/TicketPurchaseAvailableText03	以后也请继续光顾本店<sprite=7>
Shop/WelcomeText00	欢迎光临！\n如果这些东西全都卖完\n我就能把店收起来，放长假了！
Shop/WelcomeText01	哇！欢迎光临！\n好开心你又来光顾了！
Shop/WelcomeText02	欢迎光临！\n地球人完全不买我的东西…唉～～
Shop/WelcomeText03	欢迎光临！\n如果难得买下了服装，\n就请穿去工作吧！
Shop/WelcomeText04	欢迎光临！\n请买点东西吧！
Shop/PurchaseConfirmation	{Description}\n你要选购「{Name}」是吧\n价钱是{Price}<sprite=1>
Staffroll.txt
Staffroll/Position00	DIRECTOR
Staffroll/Name00	TERUHIKO SUZUKI
Staffroll/Position01	<cspace=-0.06em>PROJECT MANAGEMENT</cspace>
Staffroll/Name01	KOJIRO OOKI
Staffroll/Position02	PROGRAMMING
Staffroll/Name02	KEITA YAMADA\nSATORU YOSHIDA\n<cspace=-0.1em>SHINYA WAKAYAMA</cspace>\nKOKI TAJIMA\n<cspace=-0.01em>YUTO NAKAYAMA</cspace>\n<cspace=-0.095em>HIROMU WATANABE</cspace>\n<cspace=-0.05em>TATSUYA NOGUCHI</cspace>
Staffroll/Position03	DESIGN
Staffroll/Name03	KANAKO OMORI\nMAO YAMASE
Staffroll/Position04	SOUND
Staffroll/Name04	MEGUMI OHARA\nSHOGO SAKAI
Staffroll/Position05	ARTWORK
Staffroll/Name05	<size=91%>RIEKO KAWAHARA\nTOMOMI OZAKI</size>
Staffroll/Position06	TECHNICAL SUPPORT
Staffroll/Name06	<size=91%>SHINYA WATANABE\nRYOICHIRO ATONO\nTOSHIYUKI TAGOYA\nKAZUKI SEKIMORI\nTETSUYA NOGE\nKOICHIRO HIRANO</size>
Staffroll/Position07	TESTING
Staffroll/Name07	MASARU KOBAYASHI\nDAIKI MORIYAMA\nMAKI YOSHITAKE\nAIHO KUBO\nHAL DEBUG TEAM\nMario Club Co., Ltd.
Staffroll/Position08	NOA LOCALIZATION
Staffroll/Name08	MICHAEL BENEDETTO\nGABRIELA BERGOLLO-DROUYN\nMARJOLAINE DROUIN\nRAYMOND ELLIGET\nNICKO GONZALEZ DE SANTIAGO\nSARA HOAD\nBILL HUTCHENS\nCÉSAR PÉREZ\nERIN PETERSON\nCAROLINA QUESADA\nFANNIE SENÉCAL\nLUDOVIC TIENTCHEU
Staffroll/Position09	NOA LOCALIZATION MANAGEMENT
Staffroll/Name09	NATE BIHLDORFF\nREIKO NINOMIYA\nRICH AMTOWER\nANN LIN\nTIM O'LEARY\nÁLEX ZARZA
Staffroll/Position10	NOA PRODUCT TESTING
Staffroll/Name10	KENTARO NISHIMURA\nKIRK BUCHANAN\nTOMO ISHIYAMA\nSEAN EGAN\nTOMOKO MIKAMI\nANDY KOLDEN\nJIM HOLDEMAN\nDAVID FIGLAR\nTAKUYA NISHIWAKI \nTOM HERTZOG\nMICHAEL SAHLIN\nJAMES DILLON\nJOSH YAGI-STANTON\nJAKE LOKHOLM \nLAURA VINADO\nALISON JEUDEVINE\nISAAC NELSON-KING\n<cspace=-0.05em>PRODUCT TESTING TECHNICIANS</cspace>
Staffroll/Position11	NOE LOCALISATION PRODUCERS
Staffroll/Name11	FLAVIA MADONIA\nMATTHEW MAWER
Staffroll/Position12	NOE TRANSLATION
Staffroll/Name12	PATRICK JOYCE\nDANIELLE JORGENSON-MURRAY\nCLÉMENCE DIERYCK\nDAVID CAUSSÈQUE\nMIRKO CAPOCELLI\nANNA TARANTINI\nSEBASTIAN BRÜCK\nSASCHA WEINARD\nAINHOA BERNAD HURTADO\nJÓNATAN MARCOS MILLÁN
Staffroll/Position13	NOE QUALITY ASSURANCE
Staffroll/Name13	SEBASTIAN DONNERSTAG\nSTEFFEN LOTZ\nOLIVER MUELLER\nGUILLAUME DESCHAMPS\nALESSANDRO CROSA\nSARAH NIST\nÁNGELES GARRIDO
Staffroll/Position14	NOK LOCALIZATION COORDINATION
Staffroll/Name14	DONGYEON KIM
Staffroll/Position15	NOK TRANSLATION
Staffroll/Name15	YUNJIN PARK
Staffroll/Position16	NOK QUALITY ASSURANCE
Staffroll/Name16	JEEWAN CHUN
Staffroll/Position17	NHL LOCALIZATION COORDINATION
Staffroll/Name17	WANG ZHONG LONG
Staffroll/Position18	NHL TRANSLATION
Staffroll/Name18	NATALIE YU\nSEAN SHEN
Staffroll/Position19	NHL QUALITY ASSURANCE
Staffroll/Name19	DIGITAL HEARTS Co., Ltd.
Staffroll/Position20	iQue LOCALIZATION COORDINATION
Staffroll/Name20	KEISUKE FUKUSHIMA
Staffroll/Position21	iQue TRANSLATION
