Achievement.txt
Achievement/NoticeText	「{AchievementName}」を　たっせいした！
Achievement/18_IwillBeBackClearDescription	げつめんで\nエイリアンのおやだまに\nにげられてしまった
Achievement/19_UfoInTheSeaName	うみのＵＦＯ
Achievement/19_UfoInTheSeaClearCheckerName	うみのＵＦＯ
Achievement/19_UfoInTheSeaDescription	うみに　あわせた\nコーディネート
Achievement/19_UfoInTheSeaClearDescription	ヤングセイラーマン　か\nたいりょうばた　を\nみにつけて　うみの\nしごとを　おえた
Achievement/20_CircusHutUfoName	サーカスごやのＵＦＯ
Achievement/20_CircusHutUfoClearCheckerName	サーカスごやの\nＵＦＯ
Achievement/20_CircusHutUfoDescription	サーカスに　あわせた\nコーディネート
Achievement/20_CircusHutUfoClearDescription	ジャグリングピエロ　を\nみにつけて　サーカスの\nしごとを　おえた
Achievement/21_SpaceUfoName	うちゅうのＵＦＯ
Achievement/21_SpaceUfoClearCheckerName	うちゅうのＵＦＯ
Achievement/21_SpaceUfoDescription	〇〇〇〇に　あわせた\nコーディネート
Achievement/21_SpaceUfoClearDescription	うちゅうふく　を\nみにつけて　げつめんの\nしごとを　おえた
Achievement/22_SengokuUfoName	せんごくＵＦＯ
Achievement/22_SengokuUfoClearCheckerName	せんごくＵＦＯ
Achievement/22_SengokuUfoDescription	せんごくじだいに\nあわせた　コーディネート
Achievement/22_SengokuUfoClearDescription	ちょんまげサムライ　か\nシノビしょうぞく　を\nみにつけて\nけんせつげんば②の\nしごとを　おえた
Achievement/23_UfoAndArtName	ＵＦＯとげいじゅつ
Achievement/23_UfoAndArtClearCheckerName	ＵＦＯとげいじゅつ
Achievement/23_UfoAndArtDescription	アートな　かんじの\nコーディネート
Achievement/23_UfoAndArtClearDescription	おえかきベレー　を\nみにつけて\nミュージアムの\nしごとを　　おえた
Achievement/24_UfoAndSafetyName	ＵＦＯとあんぜん
Achievement/24_UfoAndSafetyClearCheckerName	ＵＦＯとあんぜん
Achievement/24_UfoAndSafetyDescription	けんせつげんばに\nあわせた　コーディネート
Achievement/24_UfoAndSafetyClearDescription	あんぜんヘルメット　を\nみにつけて\nけんせつげんばの\nしごとを　おえた
Achievement/25_UfoShotName	カメラがＵＦＯをとらえた！
Achievement/25_UfoShotClearCheckerName	カメラがＵＦＯを\nとらえた！
Achievement/25_UfoShotDescription	しごとを　おえたあとに\nスクリーンショットを\nシェアした
Achievement/26_EnergySaving01Name	しょうエネチャレンジ・１
Achievement/26_EnergySaving01ClearCheckerName	しょうエネ\nチャレンジ・１
Achievement/26_EnergySaving01Description	うみ①で\nクレーンを　５かいだけ\nつかって\nしごとを　おえた
Achievement/27_EnergySaving02Name	しょうエネチャレンジ・２
Achievement/27_EnergySaving02ClearCheckerName	しょうエネ\nチャレンジ・２
Achievement/27_EnergySaving02Description	おもちゃや①で\nクレーンを　４かいだけ\nつかって\nしごとを　おえた
Achievement/28_EnergySaving03Name	しょうエネチャレンジ・３
Achievement/28_EnergySaving03ClearCheckerName	しょうエネ\nチャレンジ・３
Achievement/28_EnergySaving03Description	ミュージアム③で\nクレーンを　６かいだけ\nつかって\nしごとを　おえた
Achievement/29_EnergySaving04Name	しょうエネチャレンジ・４
Achievement/29_EnergySaving04ClearCheckerName	しょうエネ\nチャレンジ・４
Achievement/29_EnergySaving04Description	ラボラトリー③で\nクレーンを　７かいだけ\nつかって\nしごとを　おえた
Achievement/30_GoodByeUfoName	さらばだ！ＵＦＯくん！
Achievement/30_GoodByeUfoClearCheckerName	さらばだ！\nＵＦＯくん！
Achievement/30_GoodByeUfoDescription	ふくめんの　どろぼうに\nにげられた
Achievement/31_HatTrickName	ハットトリック
Achievement/31_HatTrickClearCheckerName	ハットトリック
Achievement/31_HatTrickDescription	１５の　しごとで\nメダルを　３まいとも\nいちどに　ゲットした
Achievement/32_HatTrickMasterName	ハットトリックマスター
Achievement/32_HatTrickMasterClearCheckerName	ハットトリック\nマスター
Achievement/32_HatTrickMasterDescription	３０の　しごとで\nメダルを　３まいとも\nいちどに　ゲットした
Achievement/33_SpaceHunterName	うちゅうのかりうど
Achievement/33_SpaceHunterClearCheckerName	うちゅうのかりうど
Achievement/33_SpaceHunterDescription	〇〇〇〇〇を\nごうけい　１００　たおした
Achievement/33_SpaceHunterClearDescription	わるいエイリアンを\nごうけい　１００　たおした
Achievement/34_InvertedCastleName	さかさまでござる
Achievement/34_InvertedCastleClearCheckerName	さかさまでござる
Achievement/34_InvertedCastleDescription	うえした　さかさまに\nおしろを　たてた
Achievement/35_InvertedTotemPoleName	アベコベのぞう
Achievement/35_InvertedTotemPoleClearCheckerName	アベコベのぞう
Achievement/35_InvertedTotemPoleDescription	うえした　さかさまに\nミステリアスな　ぞうを\nつんだ
Achievement/36_LoginBonusName	ログボ
Achievement/36_LoginBonusClearCheckerName	ログボ
Achievement/36_LoginBonusDescription	２日れんぞくで　あそんだ
Achievement/37_HaveFarToGoName	まだまだ　さきはながい
Achievement/37_HaveFarToGoClearCheckerName	まだまだ\nさきはながい
Achievement/37_HaveFarToGoDescription	★★の　しごとを\n１０こ　おえた
Achievement/38_MacadamiaNutsName	マカダミアナッツ
Achievement/38_MacadamiaNutsClearCheckerName	マカダミアナッツ
Achievement/38_MacadamiaNutsDescription	たからじまをクリアした
Achievement/39_FriendshipOrAppetiteName	ゆうじょうか？　くいけか？
Achievement/39_FriendshipOrAppetiteClearCheckerName	ゆうじょうか？\nくいけか？
Achievement/39_FriendshipOrAppetiteDescription	ふたりであそんだ\nまたは\nひとりで　パンケーキを\n１０まい　つんだ
Achievement/40_FriendshipOrHonorName	ゆうじょうか？　めいよか？
Achievement/40_FriendshipOrHonorClearCheckerName	ゆうじょうか？\nめいよか？
Achievement/40_FriendshipOrHonorDescription	ふたりで　カゴをはこんだ\nまたは\nエンドレスのせのせ\nひとりで　１００ｍこえた
Achievement/41_NoNeedForHelpName	てだすけむよう
Achievement/41_NoNeedForHelpClearCheckerName	てだすけむよう
Achievement/41_NoNeedForHelpDescription	エンドレスのせのせで\nまほうブロックを\n５かい　つづけて\nしゅつげん　させなかった
Achievement/42_UnbalancedMonkeyName	アンバランスモンキー
Achievement/42_UnbalancedMonkeyClearCheckerName	アンバランス\nモンキー
Achievement/42_UnbalancedMonkeyDescription	ぞうの　かたほうのぼうに\nすべての　サルをのせて\nしごとを　おえた
Achievement/43_HundredLegsName	あしが１００ぽん
Achievement/43_HundredLegsClearCheckerName	あしが１００ぽん
Achievement/43_HundredLegsDescription	イカを　１０ぴきつんで\nしごとを　おえた
Achievement/44_DestroyerName	こわしやＵＦＯ
Achievement/44_DestroyerClearCheckerName	こわしやＵＦＯ
Achievement/44_DestroyerDescription	いわを　すべて\nばくはで　けした
Achievement/45_TresureHunterName	トレジャーハンター
Achievement/45_TresureHunterClearCheckerName	トレジャーハンター
Achievement/45_TresureHunterDescription	たからじまの　おたからを\nすべて　てにいれた
Achievement/46_SlidingSafetyName	すべりこみセーフ
Achievement/46_SlidingSafetyClearCheckerName	すべりこみセーフ
Achievement/46_SlidingSafetyDescription	のこりじかんが\n１ぴったりで\nしごとを　おえた
Achievement/47_CompleteConquestName	かんぜんせいは
Achievement/47_CompleteConquestClearCheckerName	かんぜんせいは
Achievement/47_CompleteConquestDescription	★★の　しごとを\nすべて　おえた
Achievement/48_GodMedalsitName	ゴッドメダリスト
Achievement/48_GodMedalsitClearCheckerName	ゴッドメダリスト
Achievement/48_GodMedalsitDescription	メダルを\n１００まい　ゲットした
Challenge.txt
Challenge/S01Farm	のうじょう{Number}
Challenge/S02Circus	サーカス{Number}
Challenge/S03Ocean	うみ{Number}
Challenge/S04Museum	ミュージアム{Number}
Challenge/S05HighSchool	ハイスクール{Number}
Challenge/S06WorkSite	けんせつげんば{Number}
Challenge/S07Restaurant	レストラン{Number}
Challenge/S08Laboratory	ラボラトリー{Number}
Challenge/S09Moon	げつめん{Number}
Challenge/S10ToyStore	おもちゃや{Number}
Challenge/S11TreasureIsland	たからじま
Challenge/Endless	エンドレスのせのせ
Challenge/Number1	①
Challenge/Number2	②
Challenge/Number3	③
ChallengeExplain/S01Farm01	バイトだいを　はじめて\nもらったよ
ChallengeExplain/S01Farm01First	ちらばった　にもつを\nトラックにのせよう
ChallengeExplain/S01Farm02	うしをつかまえて\nトラックにのせよう
ChallengeExplain/S01Farm03	どんどんカブをぬいて\nトラックにのせるのだ
ChallengeExplain/S02Circus01	かみわざバランス！\nちょっとむずかしいぞ
ChallengeExplain/S02Circus02	おさるのきょくげい\nきわどいバランス
ChallengeExplain/S02Circus03	でた！　ハムスターぐんだん\nバランスをとれ
ChallengeExplain/S03Ocean01	うごきまわる　さかなを\nつかまえよう
ChallengeExplain/S03Ocean02	３ぷんかん　うみのさち\nつかみほうだい
ChallengeExplain/S03Ocean03	おとしたらアウト！\nうみのうえの　とりひき
ChallengeExplain/S04Museum01	たおした　てんじぶつを\nこっそり　なおせ！
ChallengeExplain/S04Museum02	ふしぎな　ゲイジュツを\nてんじしよう
ChallengeExplain/S04Museum03	きょうりゅうの　ホネを\nくみたてよう！
ChallengeExplain/S05HighSchool01	チアガールの　えんぎを\nてつだおう！
ChallengeExplain/S05HighSchool02	ヤングスモウレスラーを\nつみあげよう！
ChallengeExplain/S05HighSchool03	プールの　うえに\nタワーを　たてよう！
ChallengeExplain/S06WorkSite01	はしらがかたむいてると\nしかられるぞ！
ChallengeExplain/S06WorkSite02	ときはせんごく\nニンジャにちゅうい！
ChallengeExplain/S06WorkSite03	いわやまをこわして\nしんでんを　たてよう！
ChallengeExplain/S07Restaurant01	いろんな　たべもので\nバランスのとれた　サラダを
ChallengeExplain/S07Restaurant02	スイーツ　あつめて\nパフェをもりもり！
ChallengeExplain/S07Restaurant03	ふわふわのパンケーキ\nもりもり　スペシャル！
ChallengeExplain/S08Laboratory01	うつしだされるカタチに\nくみたてるのじゃ！
ChallengeExplain/S08Laboratory02	ナゾの　きかいを\nくみたてさせられる
ChallengeExplain/S08Laboratory03	ちきゅうをまもるロボを\nかんせいさせるぞ
ChallengeExplain/S09Moon01	ちきゅうの　えいせい\nつきを　ちょうさするよ
ChallengeExplain/S09Moon02	エイリアンのロボット\nコモエスタスをたおそう
ChallengeExplain/S09Moon03	にげるエイリアンのおやだま\nおもしを　のせてしまおう
ChallengeExplain/S10ToyStore01	おもちゃの　かたづけ\nフタは　きちんとしめてね
ChallengeExplain/S10ToyStore02	ぜんぶの　ぬいぐるみを\nワゴンに　のせられるかな？
ChallengeExplain/S10ToyStore03	むかしむかし　あるところに\nつみきのくにが　ありました
ChallengeExplain/S11TreasureIsland00	たからじまリゾートでバカンス
ChallengeExplain/Endless	とにかくたかくつみあげよう！
Costume.txt
Costume/CosAnkhName	おそろいターバン
Costume/CosAnkhDescription	かわいい　てんいんさんと　おそろい
Costume/CosAstronautName	うちゅうふく
Costume/CosAstronautDescription	すばやい　クレーンさばき
Costume/CosBeeName	はたらきバチ
Costume/CosBeeDescription	かふん　いがいも　はこびます
Costume/CosBeretName	おえかきベレー
Costume/CosBeretDescription	しゃれてるけど　せいのうは　ふつう
Costume/CosChampionName	チャンピオンシップベルト
Costume/CosChampionDescription	せかいいちの　ハッスルで　マッスル
Costume/CosChihuahuaName	ぬいぐるみわんこ
Costume/CosChihuahuaDescription	かわいくて　すこし　すばやい
Costume/CosChinaName	カンフーモンキー
Costume/CosChinaDescription	にもつを　ゆらさない　しゅぎょう
Costume/CosCookName	みつぼしコックぼう
Costume/CosCookDescription	キッチンを　きびきびうごく
Costume/CosDeliverymanName	はいたつキャップ
Costume/CosDeliverymanDescription	いつも　はいたつ　ありがとう
Costume/CosExplorerName	たんけんたいいん
Costume/CosExplorerDescription	いのちしらずな　ロマンティスト
Costume/CosHakoName	キュービィのユーフォー
Costume/CosHakoDescription	ハコを　だせちゃう？
Costume/CosHelmetName	あんぜんヘルメット
Costume/CosHelmetDescription	びしっと　とまって　あんぜんかくにん
Costume/CosKingName	メダルのおうさま
Costume/CosKingDescription	おうじゃの　かんろく
Costume/CosMufflerName	ニットキャップマン
Costume/CosMufflerDescription	すこし　げんそくしやすく　あたたかい
Costume/CosNightName	おやすみユーフォー
Costume/CosNightDescription	ねぼけまなこで　とまりにくい
Costume/CosNinjaName	シノビしょうぞく
Costume/CosNinjaDescription	しっぷうの　スピード
Costume/CosNormalName	ノーマルアンテナ
Costume/CosNormalDescription	ハダカじゃないのよ
Costume/CosParasolName	フリルレースパラソル
Costume/CosParasolDescription	おもいにもつも　ふわっと　はこべます
Costume/CosBatonName	ドラムメジャーバトン
Costume/CosBatonDescription	りりしい　すがたの　こてきたい
Costume/CosPierrotName	ジャグリングピエロ
Costume/CosPierrotDescription	つかんだものが　おおきくゆれる
Costume/CosPostmanName	ミスターポストマン
Costume/CosPostmanDescription	おてがみと　えがおを　はこぶ
Costume/CosPowerName	パワードスーツ
Costume/CosPowerDescription	おもいにもつも　へっちゃら
Costume/CosPropellerName	プロペラフライトキャップ
Costume/CosPropellerDescription	じゆうに　そらを　とべるかな～
Costume/CosRealName	リアルユーフォー
Costume/CosRealDescription	でんこうせっかの　スピード
Costume/CosSailorName	ヤングセイラーマン
Costume/CosSailorDescription	クレーンそうさが　とっても　はやい
Costume/CosShipFlagName	たいりょうばた
Costume/CosShipFlagDescription	さかなを　すばやく　わしづかみする
Costume/CosSilkHatName	イングリッシュマン
Costume/CosSilkHatDescription	どっしりおちついた　おとなのおきがえ
Costume/CosTigerName	タイガースーツ
Costume/CosTigerDescription	がっちりつかむ　とらのパワー
Costume/CosTopKnotName	ちょんまげサムライ
Costume/CosTopKnotDescription	もってるカタナは　つかえません
Costume/CosWitchName	ウィッチブルーム
Costume/CosWitchDescription	そらをとぶことしか　できないけれど
Demo.txt
Demo/Farm01FirstText00	あちゃあ！　やっちまったべ\nだいじな　ジャイアントみかん・・・\nオラひとりでは　トラックに\nのせられねーだよ・・・
Demo/Farm01FirstText01	おんや？\nそこのフワフワしとるわかいの！\nちびっとヘルプしてくんねえべか？
Demo/Farm01Text00	いやぁ　たすかっただ！\nこれは　バイトだいだべ\nとっといてけれ
Demo/Farm01Text01	・・・なんだぁ　おめさ\nバイトだいもらうの　はじめてかい？
Demo/Farm01Text02	いい　わかものが　いつまでも\nふらふら・・・フワフワしてても\nしょうがねえべ
Demo/Farm01Text03	いつまでもフワフワしている\nＵＦＯをみかねて\nおじさんは　バイトざっしを\nくれました
Demo/Farm01Text04	ここから　ＵＦＯの\nちきゅうでの　くらしが\nはじまります
Demo/Tutorial01Text00	つかみたいものの　うえで　\n㊨ か　㊦ ボタンを　おすと\nクレーンが　でます
Demo/Tutorial01Text01	ものに　ちかすぎると　\nクレーンを　だすことが　できません
Demo/Tutorial01Text02	つかんだものを　はなすときは　\nもういちど　㊨ か　㊦ ボタンを　おします
Demo/Tutorial02Text00	しろく　てんめつしているのは　\nだいじなにもつ
Demo/Tutorial02Text01	これを　もくひょうのかず　\nだいに　のせると　しごとはおわり！
Demo/Tutorial02Text02	それほど　だいじじゃない　にもつも　\nのせれば　ボーナスが　もらえます
Demo/Tutorial02Text03	ただし　じかんないに　おわらないと　\nボーナスとりけしなので　ちゅうい！　\nざんぎょうしても　いいことはない
Demo/Moon03Text00	よくやった！　ＵＦＯ！
Demo/Moon03Text01	ジャマもはいったが\nきみはきたいいじょうの　はたらきを\nみせてくれた！
Demo/Moon03Text02	ちきゅうの　ろうどうぶんかの\nちょうさは　これで\nすべて　しゅうりょうだ！
Demo/Moon03Text03	おめでとう！\nさっそくだが　きかんしてくれ！
Demo/MedalTutorialText00	はたらいてるときに　\nヒミツの　じょうけんをみたすと　\nメダルが　てにはいります
Demo/MedalTutorialText01	メダルをあつめると　\nチャレンジできる　しごとがふえます
Demo/MedalTutorialText02	さらに！！\nメダルを　３まいとも　とった　しごとは\nちょいムズ★★モードにチャレンジできる！
Demo/TimeupTutorialText00	のこりじかんが　０になると　\nボーナスを　もらえません
Demo/TimeupTutorialText01	㊤ ボタンを　おすと　しごとを　とめて\nやりなおしを　えらぶことができます
MessageLabels.txt
EmptyText01	
Share/ExplainText	あなたの　はたらきっぷりを\nまだ　はたらいてない　みんなに\nみせつけよう！{Next}\n㊤ ボタンを　おすと\nみごと　しごとを　やりおえたようすを\nきねんしゃしんに　とって・・・{Next}\nＳＮＳに　アップロードできます！\n・・・よくわからなかったら　ムシして！{Next}\nシェアしてくれた　おれいに\nそれぞれの　しごとで　ちがったイラストを\nよういしましたよ
EmptyText02	
EmptyText03	
Share/ErrorText	シェア　できませんでした
Share/ShareText	㊤ボタンでシェア
MainMenu/AchievementButtonText	栄光の記録
MainMenu/JobOfferButtonText	しごとをさがす
MainMenu/MultiPlayButtonText	ふたりで
MainMenu/ToSinglePlayButtonText	ばいばい
MainMenu/ShopButtonText	ショップ
MainMenu/MultiGuideTitle	ふたりで
MainMenu/MultiGuideText	ふたりで　いっしょに　おしごとに\nチャレンジします
MainMenu/TicketWarning	ひこうきチケットが　ひつようです\nショップで　かってくださいね
TreasureIsland/TicketName	ひこうきチケット
TreasureIsland/TicketPurchaseText	ねったいのリゾート　たからじま　いき
Challenge/PageLockTitle	メダルをあつめよう
Challenge/PageLockText	このさきのページは\nメダルを{MedalNum}まい　あつめると\nひらきますよ
ClearChecker/ExplainText	これは「栄光の記録」です{Next}\nずらっと　ならんだ　かだいに\nチャレンジしましょう{Next}\nおなじワクのなかの　４つのかだいを\nやりとげたら　ごほうびとして\n「ＵＦＯのおもいで」が　みられます！{Next}\n・・・ごほうびと　いっても\nそんなに　たいしたものじゃ　ないですよ
PresentWindow/CompleteTitle	メダルコンプリート
PresentWindow/EndlessRewardTitle	ランキング１位
PresentWindow/TreasureIslandRewardTitle	たからじまクリア
PresentWindow/Text	とくべつな　おきがえ\n{CompleteCostume}　を\nてにいれた
FittingRoom/NegativeText	やめとく
FittingRoom/PositiveText	キマった
Endless/AltitudeDemoText	ｍ とっぱ！
Endless/SupportBlock	まほうブロック
EmptyText04	
Endless/SubTitle	エンドレスのせのせ
Endless/StartButtonName	はじめる
Endless/RecordButtonName	きろくをみる
Endless/HowtoButtonName	あそびかた
Endless/IntroductionMainText	ヘリコプターが　はこんでくる\nにもつを　おとさないように\nたかく　たかくつみあげよう\nせいげんじかんにも　きをつけろ！
Endless/IntroductionSubText01	めざせ！
Endless/IntroductionSubText02	しんきろく！
Endless/IntroductionSubText03	ときどき\nまほうの　チカラで\nてだすけ　するれす
Staffroll/TicketPurchaseAvailable	おおしごとを　おえたあとは　バカンス！\nねったいのリゾート　たからじまへ\nいけるように　なりました！{Next}\nチケットを１まい　プレゼントするので\nぜひ　おこしください{Next}\nチケットは　ショップでも\nかうことが できます
Alert/PedestalJudgeNG	だいの　そとにあるものに　あたっていると\nクリアに　ならないよ！
Challenge/EndlessTicketTitle	エンドレスのせのせ
Challenge/EndlessTicketMainText	どこまでのせられるか？
Challenge/TreasureIslandTicketTitle	たからじま
Challenge/TreasureIslandTicketMainText	ねったいのリゾート
Staffroll/MachigaiText	右と左の絵にマチガイが５コずつあったよ！
Staffroll/CharaText	はじめに　いってほしかったれす
ClearChecker/GroupTitle01	のうじょう　の\nおもいで
ClearChecker/GroupTitle02	サーカス　の\nおもいで
ClearChecker/GroupTitle03	うみ　の\nおもいで
ClearChecker/GroupTitle04	ミュージアム　の\nおもいで
ClearChecker/GroupTitle05	ハイスクール　の\nおもいで
ClearChecker/GroupTitle06	けんせつげんば　の\nおもいで
ClearChecker/GroupTitle07	レストラン　の\nおもいで
ClearChecker/GroupTitle08	ラボラトリー　の\nおもいで
ClearChecker/GroupTitle09	げつめん　の\nおもいで
ClearChecker/GroupTitle10	おもちゃや　の\nおもいで
ClearChecker/GroupTitle11	エンドレスのせのせ\nの　おもいで
ClearChecker/GroupTitle12	ショップ　の\nおもいで
Shop.txt
Shop/SoldOutText	うりきれ
Shop/NegativeButtonText	やめとく
Shop/PositiveButtonText	かう！
Shop/AllPurchasedText00	！！！！\nこれで　ぜんぶの　シナモノ\nうりきったれす！
Shop/AllPurchasedText01	おかねもたまったし　みせたたんで\nせかいじゅうの　おいしいもの\nたべにいくのれす！
Shop/AllPurchasedText02	ありがとーれす！\nまたいつか　あいましょうね
Shop/CloseText00	（てがみが　おいてある）
Shop/CloseText01	あそびにいくので　へいてんします\nネコは　となりのおばあちゃんが\nせわしてるので　あんしんれす
Shop/ExitText00	またどうぞ～
Shop/FirstWelcomText00	！\nいらっさいませー！
Shop/FirstWelcomText01	ここは　だいうちゅうアパレルショップの\nちきゅうしてん　れすよ！
Shop/FirstWelcomText02	せっかく　ちきゅうのけしきに　あわせた\nみせがまえに　したのに　おきゃくさん\nコドモしか　こないれす・・・
Shop/FirstWelcomText03	おきゃくさん　きっといいひと！\nなにか　かっていって　くらさいませ！
Shop/FirstWelcomText04	みにつけると　ビミョーに\nうごきやすさが　かわるものもあるれすよ
Shop/PurchaseCancelText00	ゆっくり　みてってくらさいねー
Shop/PurchaseFailText00	ザンネンれすけど　おかねたりない\nみたいれす・・・　
Shop/PurchaseSuccessText00	まいどあり～\nとてもおにあいなのれす～
Shop/PurchaseTicketSuccessText00	いってら～\nボン　ボヤージュ　れす～
Shop/PurchaseTicketConfirmationText00	{Description}\n{Name}\n{Price}￥　れす
Shop/FirstPurchaseSuccessText00	ここだけの　ハナシなんれすが・・・
Shop/FirstPurchaseSuccessText01	おしごとちゅうに　┏か┓をおすと\nナニかが　でちゃうらしいれす
Shop/FirstPurchaseSuccessText02	ナニがでるかは　\nみにつけた　モノによって　かわるとか
Shop/FirstPurchaseSuccessText03	ためしてみて　くらさいね
Shop/TicketPurchaseAvailableText00	ジギョウカクダイ　れすよ！\nしょうばいにん　として　あらたな\nいっぽを　ふみだしたのれす～！
Shop/TicketPurchaseAvailableText01	ねったいのリゾート　たからじまへの\nかくやす　ひこうきチケットを\nとりあつかうように　なったれす
Shop/TicketPurchaseAvailableText02	チケットはんばいの　えいぎょうきょかを\nもらうのが　なかなか\nめんどくさかったれすけど・・・
Shop/TicketPurchaseAvailableText03	これからも　よろしく　おねがいするれす♪
Shop/WelcomeText00	いらっさいませー！\nここに　あるだけの　シナモノ　うったら\nみせたたんで　ロングバケーションれす！
Shop/WelcomeText01	ひゃあ！　いらっさいませー！\nまたきてくれて　うれしーれす！
Shop/WelcomeText02	いらっさいませー！\nちきゅうの　おきゃくさんには\nまったく　うれないのれす・・・　はー
Shop/WelcomeText03	いらっさいませー！\nかった　シナモノ　せっかくれすから\nしごとばに　きていってくらさいね！
Shop/WelcomeText04	いらっさいませー！\nなにか　かっていって　くらさいませ！
Shop/PurchaseConfirmation	{Description}\n「{Name}」れすね\n{Price}￥　れす
Staffroll.txt
Staffroll/Position00	ディレクター
Staffroll/Name00	すずき　てるひこ
Staffroll/Position01	プロジェクトマネージャー
Staffroll/Name01	おおき　こうじろう
Staffroll/Position02	プログラム
Staffroll/Name02	やまだ　けいた\nよしだ　さとる\nわかやま　しんや\nたじま　こうき\nなかやま　ゆうと\nわたなべ　ひろむ\nのぐち　たつや
Staffroll/Position03	デザイン
Staffroll/Name03	おおもり　かなこ\nやませ　まお
Staffroll/Position04	サウンド
Staffroll/Name04	おおはら　めぐみ\nさかい　しょうご
Staffroll/Position05	アートワーク
Staffroll/Name05	かわはら　りえこ\nおざき　ともみ
Staffroll/Position06	テクニカルサポート
Staffroll/Name06	わたなべ　しんや\n<cspace=-0.08em>あとの　りょういちろう</cspace>\nたごや　としゆき\nせきもり　かずき\nのげ　てつや\nひらの　こういちろう
Staffroll/Position07	テスティング
Staffroll/Name07	こばやし　まさる\nもりやま　だいき\nよしたけ　まき\nくぼ　あいほ\nはるでばっぐちーむ\nまりおくらぶ
Staffroll/Position08	NOA LOCALIZATION
