Achievement.txt
Achievement/NoticeText	“{AchievementName}”达成了！
Achievement/20_CircusHutUfoClearCheckerName	马戏团小屋UFO
Achievement/20_CircusHutUfoDescription	配合马戏团的\n搭配
Achievement/20_CircusHutUfoClearDescription	换上杂耍小丑\n并完成了\n马戏团的工作
Achievement/21_SpaceUfoName	宇宙UFO
Achievement/21_SpaceUfoClearCheckerName	宇宙UFO
Achievement/21_SpaceUfoDescription	配合〇〇〇〇的\n搭配
Achievement/21_SpaceUfoClearDescription	换上航天服\n并完成了\n月球表面的工作
Achievement/22_SengokuUfoName	战国UFO
Achievement/22_SengokuUfoClearCheckerName	战国UFO
Achievement/22_SengokuUfoDescription	配合战国时代的\n搭配
Achievement/22_SengokuUfoClearDescription	换上日本武士\n或忍者装束完成了\n建筑工地②的工作
Achievement/23_UfoAndArtName	UFO与艺术
Achievement/23_UfoAndArtClearCheckerName	UFO与艺术
Achievement/23_UfoAndArtDescription	配合艺术感觉的\n搭配
Achievement/23_UfoAndArtClearDescription	换上画家贝雷帽\n并完成了\n博物馆的工作
Achievement/24_UfoAndSafetyName	UFO与安全
Achievement/24_UfoAndSafetyClearCheckerName	UFO与安全
Achievement/24_UfoAndSafetyDescription	配合建筑工地的\n搭配
Achievement/24_UfoAndSafetyClearDescription	换上安全帽\n并完成了\n建筑工地的工作
Achievement/25_UfoShotName	镜头拍到UFO了！
Achievement/25_UfoShotClearCheckerName	镜头拍到\nUFO了！
Achievement/25_UfoShotDescription	完成工作之后\n分享了截图
Achievement/26_EnergySaving01Name	节能挑战·1
Achievement/26_EnergySaving01ClearCheckerName	节能\n挑战·1
Achievement/26_EnergySaving01Description	在海边①\n仅使用5次机器爪\n并完成了工作
Achievement/27_EnergySaving02Name	节能挑战·2
Achievement/27_EnergySaving02ClearCheckerName	节能\n挑战·2
Achievement/27_EnergySaving02Description	在玩具店①\n仅使用4次机器爪\n并完成了工作
Achievement/28_EnergySaving03Name	节能挑战·3
Achievement/28_EnergySaving03ClearCheckerName	节能\n挑战·3
Achievement/28_EnergySaving03Description	在博物馆③\n仅使用6次机器爪\n并完成了工作
Achievement/29_EnergySaving04Name	节能挑战·4
Achievement/29_EnergySaving04ClearCheckerName	节能\n挑战·4
Achievement/29_EnergySaving04Description	在博物馆③\n仅使用7次机器爪\n并完成了工作
Achievement/30_GoodByeUfoName	再见了！UFO！
Achievement/30_GoodByeUfoClearCheckerName	再见了！\nUFO！
Achievement/30_GoodByeUfoDescription	被蒙面的小偷\n逃走了
Achievement/31_HatTrickName	帽子戏法
Achievement/31_HatTrickClearCheckerName	帽子戏法
Achievement/31_HatTrickDescription	有15份工作\n获得了\n全部3枚奖章
Achievement/32_HatTrickMasterName	帽子戏法大师
Achievement/32_HatTrickMasterClearCheckerName	帽子戏法\n大师
Achievement/32_HatTrickMasterDescription	有30份工作\n获得了\n全部3枚奖章
Achievement/33_SpaceHunterName	宇宙猎人
Achievement/33_SpaceHunterClearCheckerName	宇宙猎人
Achievement/33_SpaceHunterDescription	合计打倒了100个\n〇〇〇〇〇\n
Achievement/33_SpaceHunterClearDescription	合计打倒了100个\n邪恶外星人
Achievement/34_InvertedCastleName	上下翻转
Achievement/34_InvertedCastleClearCheckerName	上下翻转
Achievement/34_InvertedCastleDescription	建造了\n上下翻转的城堡
Achievement/35_InvertedTotemPoleName	颠倒的雕像
Achievement/35_InvertedTotemPoleClearCheckerName	颠倒的雕像
Achievement/35_InvertedTotemPoleDescription	堆叠了\n颠倒的神秘雕像
Achievement/36_LoginBonusName	登录奖励
Achievement/36_LoginBonusClearCheckerName	登录奖励
Achievement/36_LoginBonusDescription	连续游玩2天了
Achievement/37_HaveFarToGoName	前路漫漫
Achievement/37_HaveFarToGoClearCheckerName	前路漫漫
Achievement/37_HaveFarToGoDescription	完成了10个\n★★工作
Achievement/38_MacadamiaNutsName	夏威夷果
Achievement/38_MacadamiaNutsClearCheckerName	夏威夷果
Achievement/38_MacadamiaNutsDescription	宝藏岛通关
Achievement/39_FriendshipOrAppetiteName	友情吗？食欲吗？
Achievement/39_FriendshipOrAppetiteClearCheckerName	友情吗？\n食欲吗？
Achievement/39_FriendshipOrAppetiteDescription	两人一起游玩\n或一人堆叠了\n10片煎饼
Achievement/40_FriendshipOrHonorName	友情吗？名誉吗？
Achievement/40_FriendshipOrHonorClearCheckerName	友情吗？\n名誉吗？
Achievement/40_FriendshipOrHonorDescription	两人一起搬运了货篮\n或一人在无尽堆叠\n超过了100m
Achievement/41_NoNeedForHelpName	无须帮手
Achievement/41_NoNeedForHelpClearCheckerName	无须帮手
Achievement/41_NoNeedForHelpDescription	在无尽堆叠中\n没有连续出现\n5块魔法块
Achievement/42_UnbalancedMonkeyName	不平衡猴子
Achievement/42_UnbalancedMonkeyClearCheckerName	不平衡\n猴子
Achievement/42_UnbalancedMonkeyDescription	在大象的单侧棒子上\n堆叠所有猴子\n并完成了工作
Achievement/43_HundredLegsName	100只脚
Achievement/43_HundredLegsClearCheckerName	100只脚
Achievement/43_HundredLegsDescription	堆叠10只乌贼\n并完成了工作
Achievement/44_DestroyerName	破坏者UFO
Achievement/44_DestroyerClearCheckerName	破坏者UFO
Achievement/44_DestroyerDescription	利用爆破消除\n所有岩石
Achievement/45_TresureHunterName	宝藏猎人
Achievement/45_TresureHunterClearCheckerName	宝藏猎人
Achievement/45_TresureHunterDescription	获得宝藏岛上\n所有宝物
Achievement/46_SlidingSafetyName	安全上垒
Achievement/46_SlidingSafetyClearCheckerName	安全上垒
Achievement/46_SlidingSafetyDescription	在剩余时间\n最后1秒时\n完成了工作
Achievement/47_CompleteConquestName	完全称霸
Achievement/47_CompleteConquestClearCheckerName	完全称霸
Achievement/47_CompleteConquestDescription	完成了所有\n★★工作\n
Achievement/48_GodMedalsitName	神级奖章获得者
Achievement/48_GodMedalsitClearCheckerName	神级奖章获得者
Achievement/48_GodMedalsitDescription	获得了\n100枚奖章
Challenge.txt
Challenge/S01Farm	农场 {Number}
Challenge/S02Circus	马戏团 {Number}
Challenge/S03Ocean	海边 {Number}
Challenge/S04Museum	博物馆 {Number}
Challenge/S05HighSchool	高中 {Number}
Challenge/S06WorkSite	建筑工地 {Number}
Challenge/S07Restaurant	餐厅 {Number}
Challenge/S08Laboratory	实验室 {Number}
Challenge/S09Moon	月球表面 {Number}
Challenge/S10ToyStore	玩具店 {Number}
Challenge/S11TreasureIsland	宝藏岛
Challenge/Endless	无尽堆叠
Challenge/Number1	①
Challenge/Number2	②
Challenge/Number3	③
ChallengeExplain/S01Farm01	拿到了第一笔打工工资！
ChallengeExplain/S01Farm01First	把散乱的货物\n装上卡车吧
ChallengeExplain/S01Farm02	把牛抓起来装上卡车吧。
ChallengeExplain/S01Farm03	把萝卜一颗颗拔出来\n装上卡车吧。
ChallengeExplain/S02Circus01	鬼斧神工的平衡感，\n难度不小哦！
ChallengeExplain/S02Circus02	猴子玩杂技，\n惊险万分取得平衡。
ChallengeExplain/S02Circus03	出现啦！仓鼠军团！\n要保持平衡哦！
ChallengeExplain/S03Ocean01	抓住游来游去的鱼儿吧！
ChallengeExplain/S03Ocean02	限时3分钟，海鲜抓抓抓！
ChallengeExplain/S03Ocean03	掉进海里就算失败！\n大海上的交易。
ChallengeExplain/S04Museum01	将倒下的展品轻轻扶起来！
ChallengeExplain/S04Museum02	重现不可思议的艺术品吧！
ChallengeExplain/S04Museum03	把恐龙的骨架组装起来吧！
ChallengeExplain/S05HighSchool01	帮助啦啦队女孩完成表演吧！
ChallengeExplain/S05HighSchool02	把年轻的相扑选手\n叠起来吧！
ChallengeExplain/S05HighSchool03	在游泳池上搭起一座塔吧！
ChallengeExplain/S06WorkSite01	当心不要把柱子碰倒，\n会挨骂哦！
ChallengeExplain/S06WorkSite02	你正身处战国，小心忍者哦！
ChallengeExplain/S06WorkSite03	破坏岩山搭建神殿吧！
ChallengeExplain/S07Restaurant01	用许多食物做出\n营养均衡的沙拉
ChallengeExplain/S07Restaurant02	收集甜点把芭菲装得满满的！
ChallengeExplain/S07Restaurant03	绵软香甜的煎饼\n特别堆高高！
ChallengeExplain/S08Laboratory01	帮老博士组装屏幕上\n显示的图案吧！
ChallengeExplain/S08Laboratory02	可以组装出神秘的机器。
ChallengeExplain/S08Laboratory03	组装出保卫地球的机器人吧！
ChallengeExplain/S09Moon01	月亮是地球的卫星\n一起来调查吧！
ChallengeExplain/S09Moon02	一起来打败\n外星人派来的机器怪物吧！
ChallengeExplain/S09Moon03	外星人的头目要逃跑了\n快用散落的重物阻止他吧！
ChallengeExplain/S10ToyStore01	整理玩具后\n盖子要好好盖上哦
ChallengeExplain/S10ToyStore02	推车装得下\n所有布娃娃吗？
ChallengeExplain/S10ToyStore03	在很久很久以前\n某个地方有个积木国
ChallengeExplain/S11TreasureIsland00	在宝藏岛度假胜地度假
ChallengeExplain/Endless	总之堆高高吧！
Costume.txt
Costume/CosAnkhName	同款头巾
Costume/CosAnkhDescription	和可爱的店员同款
Costume/CosAstronautName	航天服
Costume/CosAstronautDescription	机器爪变得敏捷
Costume/CosBeeName	工蜂
Costume/CosBeeDescription	也会搬运花粉以外的货物
Costume/CosBeretName	画家贝雷帽
Costume/CosBeretDescription	时尚潮爆款，性能很普通
Costume/CosChampionName	冠军称号腰带
Costume/CosChampionDescription	世界第一精力充沛钢铁肌肉
Costume/CosChihuahuaName	小狗布娃娃
Costume/CosChihuahuaDescription	外表可爱，速度略快
Costume/CosChinaName	武打猴
Costume/CosChinaDescription	不晃动货物的修行
Costume/CosCookName	三星厨师帽
Costume/CosCookDescription	在厨房里利落地干活
Costume/CosDeliverymanName	配送员帽子
Costume/CosDeliverymanDescription	感谢您的配送
Costume/CosExplorerName	探险队员
Costume/CosExplorerDescription	不畏艰险的浪漫主义者
Costume/CosHakoName	Qbby的UFO
Costume/CosHakoDescription	能把箱子取出来吗？
Costume/CosHelmetName	安全帽
Costume/CosHelmetDescription	可以立刻停住，确认安全
Costume/CosKingName	奖牌大王
Costume/CosKingDescription	王者的威严
Costume/CosMufflerName	针织帽男
Costume/CosMufflerDescription	舒适保暖，速度容易下降
Costume/CosNightName	UFO睡衣
Costume/CosNightDescription	睡眼惺忪，很难停下
Costume/CosNinjaName	忍者装束
Costume/CosNinjaDescription	快得像一阵风
Costume/CosNormalName	标准天线
Costume/CosNormalDescription	可不是光溜溜哦
Costume/CosParasolName	褶边蕾丝遮阳伞
Costume/CosParasolDescription	沉重的货物也能轻松搬运
Costume/CosBatonName	乐队主指挥棒
Costume/CosBatonDescription	威风凛凛的鼓笛队
Costume/CosPierrotName	杂耍小丑
Costume/CosPierrotDescription	抓到的东西会剧烈摇晃
Costume/CosPostmanName	邮差先生
Costume/CosPostmanDescription	运送信件与笑颜
Costume/CosPowerName	动力装甲
Costume/CosPowerDescription	沉重的货物也轻而易举
Costume/CosPropellerName	竹蜻蜓飞行帽
Costume/CosPropellerDescription	可以自由地在天空飞翔吗～
Costume/CosRealName	逼真UFO
Costume/CosRealDescription	电光火石的速度
Costume/CosSailorName	年轻水手
Costume/CosSailorDescription	机器爪的速度变得非常快
Costume/CosShipFlagName	大渔旗
Costume/CosShipFlagDescription	可以快速地抓鱼
Costume/CosSilkHatName	英国绅士
Costume/CosSilkHatDescription	稳重成熟的成人服装
Costume/CosTigerName	老虎装
Costume/CosTigerDescription	拥有老虎的强大力量
Costume/CosTopKnotName	日本武士
Costume/CosTopKnotDescription	佩戴的武士刀只是装饰品
Costume/CosWitchName	魔女扫把
Costume/CosWitchDescription	只能在空中飞翔
Demo.txt
Demo/Farm01FirstText00	完蛋啦！\n我的宝贝大桔子都掉下来了！\n我一个人可搬不回卡车上啊……
Demo/Farm01FirstText01	哎呀？那边那个\n晃来晃去没事做的年轻人，\n能帮帮我吗？
Demo/Farm01Text00	哎呀，真是多亏有你啊！\n这是你的工钱\n尽管收下吧
Demo/Farm01Text01	……怎么了小伙子？\n这是你第一次打工拿到工资？
Demo/Farm01Text02	好好的年轻人\n一天到晚闲来无事……\n这么闲晃着也不是办法啊
Demo/Farm01Text03	看不惯一直晃来晃去的UFO\n大叔给了他一本打工杂志
Demo/Farm01Text04	UFO的地球生活\n从这里开始了
Demo/Tutorial01Text00	在想要抓住的物体上方按下\n<sprite=2> 或 <sprite=0> 键后就会出现机器爪
Demo/Tutorial01Text01	靠物体太近时机器爪不会出现
Demo/Tutorial01Text02	想要放开抓住的物体时\n再按一次 <sprite=2> 或 <sprite=0> 键就可以了\n
Demo/Tutorial02Text00	白色闪烁的物品\n就是重要货物
Demo/Tutorial02Text01	将目标数量的货物放到台上\n工作就完成啦！
Demo/Tutorial02Text02	将重要货物以外的货物放上去\n还能获得奖励
Demo/Tutorial02Text03	如果在规定时间内\n无法完成工作，奖励会取消！\n加班可不是好事
Demo/Moon03Text00	干得真棒！UFO！
Demo/Moon03Text01	虽然有艰难险阻，你的表现\n超出了我的预料！
Demo/Moon03Text02	对地球工作文化的调查\n到此已经全部结束了！
Demo/Moon03Text03	恭喜啊！\n请你速速回来！
Demo/MedalTutorialText00	打工时如果能达到隐藏条件\n可以获得奖章
Demo/MedalTutorialText01	收集奖章后\n可以挑战的工作会增加！
Demo/MedalTutorialText02	还有！！\n完成一次获得3枚奖章的工作后\n就可以挑战稍有难度的★★模式！
Demo/TimeupTutorialText00	剩余时间变成0时将不能获得奖励。
Demo/TimeupTutorialText01	按 <sprite=5> 键就会停止工作\n可以选择重新开始
MessageLabels.txt
EmptyText01	
Share/ExplainText	把你辛勤工作的一面展现给\n还没工作的大家看看吧！{Next}\n按 <sprite=5> 键就能拍下\n出色完成工作时的纪念照片……{Next}\n可以上传到社交网站！\n……如果不清楚就忽略吧！{Next}\n作为分享的谢礼\n准备了每个工作不同的插画哦！
EmptyText02	
EmptyText03	
Share/ErrorText	无法分享
Share/ShareText	用 <sprite=5> 键分享
MainMenu/AchievementButtonText	光荣记录
MainMenu/JobOfferButtonText	找工作
MainMenu/MultiPlayButtonText	两人
MainMenu/ToSinglePlayButtonText	再见
MainMenu/ShopButtonText	商店
MainMenu/MultiGuideTitle	两人
MainMenu/MultiGuideText	两人一起挑战工作
MainMenu/TicketWarning	需要机票\n请在商店购买
TreasureIsland/TicketName	机票
TreasureIsland/TicketPurchaseText	前往热带度假胜地宝藏岛
Challenge/PageLockTitle	去收集奖章吧
Challenge/PageLockText	收集到{MedalNum}枚奖章，就能打开\n下一个关卡呢
ClearChecker/ExplainText	这是“光荣记录”{Next}\n来挑战排得满满的\n课题吧{Next}\n如果完成同一个框内的4个课题\n就会给予奖励\n可以查看“UFO的回忆”！{Next}\n……虽说是奖励\n也不是什么很厉害的东西啦
PresentWindow/CompleteTitle	收集完所有奖章了
PresentWindow/EndlessRewardTitle	排行榜第1名
PresentWindow/TreasureIslandRewardTitle	宝藏岛通关
PresentWindow/Text	获得了特典服装\n{CompleteCostume}
FittingRoom/NegativeText	算了
FittingRoom/PositiveText	决定了
Endless/AltitudeDemoText	ｍ突破！
Endless/SupportBlock	魔法块
EmptyText04	
Endless/SubTitle	无尽堆叠
Endless/StartButtonName	开始
Endless/RecordButtonName	查看纪录
Endless/HowtoButtonName	游玩方法
Endless/IntroductionMainText	把直升机搬运来的货物\n高高地堆上去\n并注意不要掉落！\n也要注意限制时间！
Endless/IntroductionSubText01	目标！
Endless/IntroductionSubText02	新纪录！
Endless/IntroductionSubText03	有时候会用\n魔法力量帮忙
Staffroll/TicketPurchaseAvailable	完成大工作后就是度假！\n可以前往热带度假胜地\n宝藏岛了！{Next}\n礼物是1张机票\n请务必要去哦{Next}\n机票也可以在商店购买
Alert/PedestalJudgeNG	碰到平台外的东西\n就无法通关哦！
Challenge/EndlessTicketTitle	无尽堆叠
Challenge/EndlessTicketMainText	可以堆到多高呢？
Challenge/TreasureIslandTicketTitle	宝藏岛
Challenge/TreasureIslandTicketMainText	热带度假胜地
Staffroll/MachigaiText	左右的画各有5个不同之处哦！
Staffroll/CharaText	希望你一开始就告诉我
ClearChecker/GroupTitle01	农场的\n回忆
ClearChecker/GroupTitle02	马戏团的\n回忆\n
ClearChecker/GroupTitle03	海边的\n回忆
ClearChecker/GroupTitle04	博物馆的\n回忆
ClearChecker/GroupTitle05	高中的\n回忆
ClearChecker/GroupTitle06	建筑工地的\n回忆
ClearChecker/GroupTitle07	餐厅的\n回忆
ClearChecker/GroupTitle08	实验室的\n回忆
ClearChecker/GroupTitle09	月球表面的\n回忆
ClearChecker/GroupTitle10	玩具店的\n回忆
ClearChecker/GroupTitle11	无尽堆叠的\n回忆
ClearChecker/GroupTitle12	商店的\n回忆
Shop.txt
Shop/SoldOutText	卖完了
Shop/NegativeButtonText	算了
Shop/PositiveButtonText	购买！
Shop/AllPurchasedText00	！！！！\n终于把所有商品都卖光了！
Shop/AllPurchasedText01	钱也攒了不少。我可以关店\n去环游世界吃遍美食啦！
Shop/AllPurchasedText02	感谢惠顾！\n有缘再会哦！
Shop/CloseText00	（放着一封信）
Shop/CloseText01	我关店出去玩了\n隔壁的婆婆会帮忙照顾我的猫\n我很放心
Shop/ExitText00	欢迎再来～
Shop/FirstWelcomText00	！\n欢迎光临！
Shop/FirstWelcomText01	这里是大宇宙服装店的\n地球分店！
Shop/FirstWelcomText02	我特意配合地球的景色来布置店面\n却只有孩子来买东西……
Shop/FirstWelcomText03	你真是个好人！\n请买点什么吧！
Shop/FirstWelcomText04	有些商品穿上身后\n机器爪的动作会有略有不同哦
Shop/PurchaseCancelText00	请慢慢挑选哦
Shop/PurchaseFailText00	非常遗憾，你的钱款不足……
Shop/PurchaseSuccessText00	感谢惠顾～\n很适合你呢～
Shop/PurchaseTicketSuccessText00	慢走～\n旅途愉快～
Shop/PurchaseTicketConfirmationText00	{Description}\n{Name}\n价钱是{Price}<sprite=1>
Shop/FirstPurchaseSuccessText00	我只告诉你哦……
Shop/FirstPurchaseSuccessText01	在工作时按 <sprite=3> 或 <sprite=6>\n好像会出现什么哦
Shop/FirstPurchaseSuccessText02	出现什么会根据\n穿着的物品有所不同……
Shop/FirstPurchaseSuccessText03	请试一试哦！
Shop/TicketPurchaseAvailableText00	我要扩大事业规模！\n作为商人踏出新的一步～！
Shop/TicketPurchaseAvailableText01	我开始销售前往热带度假胜地\n宝藏岛的特价机票了
Shop/TicketPurchaseAvailableText02	虽然要获得销售机票的经营许可\n还真是费了很大工夫……
Shop/TicketPurchaseAvailableText03	以后也请多光顾本店<sprite=7>
Shop/WelcomeText00	欢迎光临！\n只要把这些商品全部卖完\n就能关店放长假了！
Shop/WelcomeText01	嗨！\n欢迎光临！\n真高兴看到你再次光临！
Shop/WelcomeText02	欢迎光临！\n地球的顾客根本不来买…… 唉…… 
Shop/WelcomeText03	欢迎光临！\n既然买了就穿去工作吧！
Shop/WelcomeText04	欢迎光临！\n请买点什么吧！
Shop/PurchaseConfirmation	{Description}\n“{Name}”是吧\n价钱是{Price}<sprite=1>
Staffroll.txt
Staffroll/Position00	DIRECTOR
Staffroll/Name00	TERUHIKO SUZUKI
Staffroll/Position01	<cspace=-0.06em>PROJECT MANAGEMENT</cspace>
Staffroll/Name01	KOJIRO OOKI
Staffroll/Position02	PROGRAMMING
Staffroll/Name02	KEITA YAMADA\nSATORU YOSHIDA\n<cspace=-0.1em>SHINYA WAKAYAMA</cspace>\nKOKI TAJIMA\n<cspace=-0.01em>YUTO NAKAYAMA</cspace>\n<cspace=-0.095em>HIROMU WATANABE</cspace>\n<cspace=-0.05em>TATSUYA NOGUCHI</cspace>
Staffroll/Position03	DESIGN
Staffroll/Name03	KANAKO OMORI\nMAO YAMASE
Staffroll/Position04	SOUND
Staffroll/Name04	MEGUMI OHARA\nSHOGO SAKAI
Staffroll/Position05	ARTWORK
Staffroll/Name05	<size=91%>RIEKO KAWAHARA\nTOMOMI OZAKI</size>
Staffroll/Position06	TECHNICAL SUPPORT
Staffroll/Name06	<size=91%>SHINYA WATANABE\nRYOICHIRO ATONO\nTOSHIYUKI TAGOYA\nKAZUKI SEKIMORI\nTETSUYA NOGE\nKOICHIRO HIRANO</size>
Staffroll/Position07	TESTING
Staffroll/Name07	MASARU KOBAYASHI\nDAIKI MORIYAMA\nMAKI YOSHITAKE\nAIHO KUBO\nHAL DEBUG TEAM\nMario Club Co., Ltd.
Staffroll/Position08	NOA LOCALIZATION
Staffroll/Name08	MICHAEL BENEDETTO\nGABRIELA BERGOLLO-DROUYN\nMARJOLAINE DROUIN\nRAYMOND ELLIGET\nNICKO GONZALEZ DE SANTIAGO\nSARA HOAD\nBILL HUTCHENS\nCÉSAR PÉREZ\nERIN PETERSON\nCAROLINA QUESADA\nFANNIE SENÉCAL\nLUDOVIC TIENTCHEU
Staffroll/Position09	NOA LOCALIZATION MANAGEMENT
Staffroll/Name09	NATE BIHLDORFF\nREIKO NINOMIYA\nRICH AMTOWER\nANN LIN\nTIM O'LEARY\nÁLEX ZARZA
Staffroll/Position10	NOA PRODUCT TESTING
Staffroll/Name10	KENTARO NISHIMURA\nKIRK BUCHANAN\nTOMO ISHIYAMA\nSEAN EGAN\nTOMOKO MIKAMI\nANDY KOLDEN\nJIM HOLDEMAN\nDAVID FIGLAR\nTAKUYA NISHIWAKI \nTOM HERTZOG\nMICHAEL SAHLIN\nJAMES DILLON\nJOSH YAGI-STANTON\nJAKE LOKHOLM \nLAURA VINADO\nALISON JEUDEVINE\nISAAC NELSON-KING\n<cspace=-0.05em>PRODUCT TESTING TECHNICIANS</cspace>
Staffroll/Position11	NOE LOCALISATION PRODUCERS
Staffroll/Name11	FLAVIA MADONIA\nMATTHEW MAWER
Staffroll/Position12	NOE TRANSLATION
Staffroll/Name12	PATRICK JOYCE\nDANIELLE JORGENSON-MURRAY\nCLÉMENCE DIERYCK\nDAVID CAUSSÈQUE\nMIRKO CAPOCELLI\nANNA TARANTINI\nSEBASTIAN BRÜCK\nSASCHA WEINARD\nAINHOA BERNAD HURTADO\nJÓNATAN MARCOS MILLÁN
Staffroll/Position13	NOE QUALITY ASSURANCE
Staffroll/Name13	SEBASTIAN DONNERSTAG\nSTEFFEN LOTZ\nOLIVER MUELLER\nGUILLAUME DESCHAMPS\nALESSANDRO CROSA\nSARAH NIST\nÁNGELES GARRIDO
Staffroll/Position14	NOK LOCALIZATION COORDINATION
Staffroll/Name14	DONGYEON KIM
Staffroll/Position15	NOK TRANSLATION
Staffroll/Name15	YUNJIN PARK
Staffroll/Position16	NOK QUALITY ASSURANCE
Staffroll/Name16	JEEWAN CHUN
Staffroll/Position17	NHL LOCALIZATION COORDINATION
Staffroll/Name17	WANG ZHONG LONG
Staffroll/Position18	NHL TRANSLATION
Staffroll/Name18	NATALIE YU\nSEAN SHEN
Staffroll/Position19	NHL QUALITY ASSURANCE
Staffroll/Name19	DIGITAL HEARTS Co., Ltd.
Staffroll/Position20	iQue LOCALIZATION COORDINATION
Staffroll/Name20	KEISUKE FUKUSHIMA
Staffroll/Position21	iQue TRANSLATION
Staffroll/Name21	LING YAYUN
Staffroll/Position22	iQue QUALITY ASSURANCE
Staffroll/Name22	YAN GANG 
Staffroll/Position23	SPECIAL THANKS
Staffroll/Name23	Full-time HAL Employees\nHIROAKI IKARASHI\nSATOSHI ISHIDA\nNOBUTO KUROKI\nJEFF MILLER\nNOE COMMUNICATION COORDINATOR GROUP
Staffroll/Position24	COORDINATORS
Staffroll/Name24	KEI NINOMIYA\nKAZUYOSHI  TORIYAMA\nKENTA NAKANISHI
Staffroll/Position25	PRODUCERS
Staffroll/Name25	YOSHIYA TANIGUCHI\nTOYOKAZU NONAKA\nAKIRA KINASHI
Staffroll/Position26	GENERAL PRODUCERS
Staffroll/Name26	SHIGEFUMI KAWASE\nSHINYA TAKAHASHI\nKATSUYA EGUCHI
Staffroll/Position27	EXECUTIVE PRODUCER
Staffroll/Name27	SHUNTARO FURUKAWA
