credits.txt
CREDIT_0_000_TITLE	Metroid Dread
CREDIT_54_005	Caleb Pauley
CREDIT_54_006	NOA Product Testing Team
CREDIT_55_000_SUBTITLE	NOE Quality Assurance
CREDIT_55_001	Steffen Lotz
CREDIT_55_002	Marco Gruden
CREDIT_55_003	NOE Quality Assurance Team
CREDIT_56_000_SUBTITLE	NOK Quality Assurance
CREDIT_56_001	Eodo Lee
CREDIT_56_002	DIGITAL HEARTS Co., Ltd.
CREDIT_57_000_SUBTITLE	NHL Quality Assurance
CREDIT_57_001	Umemura Eiju
CREDIT_57_002	Digital Hearts Linguitronics Taiwan Co., Ltd.
CREDIT_58_000_SUBTITLE	iQue Quality Assurance
CREDIT_58_001	Hu Huiming
CREDIT_58_002	iQue Quality Assurance Team
CREDIT_59_000_SUBTITLE	Debug
CREDIT_59_001	Takeshi Tamura
CREDIT_59_002	Shigeo Takada
CREDIT_59_003	Sayaka Takagi
CREDIT_59_004	Fuma Sato
CREDIT_59_005	Mario Club Co., Ltd.
CREDIT_59_006	Pole To Win Co.,Ltd.
CREDIT_59_007	AIQVE ONE Inc.
CREDIT_60_000_SUBTITLE	Technical Support
CREDIT_60_001	Rubén Ruiz
CREDIT_60_002	Ángel Novillo Ramírez
CREDIT_60_003	Gerardo Pirla Díaz
CREDIT_60_004	Kazuki Tsukuda
CREDIT_60_005	Mitsuo Iwamoto
CREDIT_61_000_SUBTITLE	Additional Developers
CREDIT_61_001	Fernando Ferrando Terrádez
CREDIT_61_002	Elisa Galindo García
CREDIT_61_003	Rafael Martínez García
CREDIT_61_004	Eduardo Lozano Munera
CREDIT_61_005	Pablo Martí Castañares
CREDIT_61_006	Jonás López Moreno
CREDIT_61_007	Néstor Aguirre Fernández
CREDIT_61_008	Abraham Pérez Pérez
CREDIT_61_009	Eduardo Gallo Enamorado
CREDIT_61_010	Sergio Cifuentes Bermejo
CREDIT_61_011	Enrique Jesús García Amezcua
CREDIT_61_012	Agustín Cámara de la Serna
CREDIT_61_013	Marta Díez Pastor
CREDIT_61_014	Odín Fernández Moreno
CREDIT_61_015	Alvaro Villegas González
CREDIT_62_000_SUBTITLE	Advisers
CREDIT_62_001	Masa Miyazaki
CREDIT_62_002	Kosei Kitamura
CREDIT_63_000_SUBTITLE	Business
CREDIT_63_001	Mercè Salichs Salvador
CREDIT_63_002	Ignacio Navas
CREDIT_64_000_SUBTITLE	NOA Product Development
CREDIT_64_001	James Helssen
CREDIT_65_000_SUBTITLE	Very Special Thanks
CREDIT_65_001	Nate Bihldorff
CREDIT_66_000_SUBTITLE	Special Thanks
CREDIT_66_001	Begoña Alonso Rodríguez
CREDIT_66_002	Toyokazu Nonaka
CREDIT_66_003	Hiro Yamada
CREDIT_67_000_SUBTITLE	Project Manager
CREDIT_67_001	Katsuya Yamano
CREDIT_68_000_SUBTITLE	Executive Manager
CREDIT_68_001	Enric Álvarez
CREDIT_69_000_SUBTITLE	General Producer
CREDIT_69_001	Shinya Takahashi
CREDIT_70_000_SUBTITLE	Executive Producer
CREDIT_70_001	Shuntaro Furukawa
CREDIT_200_000_SUBTITLE	    
CREDIT_200_001	   
CREDIT_A_SUBTITLE_COMPANY_NAME_1	© Nintendo|Nintendo and Mercury Steam Entertainment are the authors of this|software for the purpose of copyright. All rights reserved.|Nintendo et Mercury Steam Entertainment sont les auteurs de ce|logiciel au regard du droit d'auteur. Tous droits réservés.
CREDIT_A_SUBTITLE_COMPANY_NAME_2	    
CREDIT_A_SUBTITLE_COMPANY_NAME_3	    
CREDIT_A_SUBTITLE_COMPANY_NAME_4	    
CREDIT_A_SUBTITLE_COMPANY_NAME_5	    
CREDIT_END	_END_
