common_AvatarCustomize.msbt
AVATARCLOTHES0000000	White T-shirt
AVATARHEADGEAR0000035	Camo Helmet
AVATARHEADGEAR0000036	Large Bow
AVATARHEADGEAR0000037	Jester Hat
AVATARHEADGEAR0000038	Candle Hat
AVATARHEADGEAR0000039	Viking Helmet
AVATARHEADGEAR0000040	Pirate Hat
AVATARHEADGEAR0000041	Wizard Hat
AVATARHEADGEAR0000042	Iron Helmet
AVATARHEADGEAR0000043	Powdered Wig
AVATARHEADGEAR0000044	Samurai Helmet
AVATARHEADGEAR0000045	Top Hat
AVATARHEADGEAR0000046	White Fedora
AVATARHEADGEAR0000047	Perm Wig
AVATARHEADGEAR0000048	Beret
AVATARHEADGEAR0000049	Anime Wig (Black)
AVATARHEADGEAR0000050	Anime Wig (Pink)
AVATARHEADGEAR0000051	Eggshell
AVATARHEADGEAR0000052	Paper Bag
AVATARHEADGEAR0000053	Reindeer Hood
AVATARHEADGEAR0000054	Silver Wig
AVATARHEADGEAR0000055	Rascal Wig
AVATARHEADGEAR0000056	Knit Hat
AVATARHEADGEAR0000057	Cow Hood
AVATARHEADGEAR0000058	Cat Ears
AVATARHEADGEAR0000059	Horns
AVATARHEADGEAR0000060	Hibiscus
AVATARHEADGEAR0000061	Crab Hood
AVATARHEADGEAR0000062	Wonderland Wig
AVATARHEADGEAR0000063	Pumpkin Hood
AVATARHEADGEAR0000064	Turban
AVATARHEADGEAR0000065	Wrestling Headgear
AVATARHEADGEAR0000066	Cowboy Hat
AVATARHEADGEAR0000067	Sombrero
AVATARHEADGEAR0000068	Pompadour
AVATARHEADGEAR0000069	Flower Crown
AVATARHEADGEAR0000070	Calico Hood
AVATARHEADGEAR0000071	Ringlet Wig
AVATARHEADGEAR0000072	Red Riding Hood
AVATARHEADGEAR0000073	Welding Mask
AVATARHEADGEAR0000074	Ice-Cream Hat
AVATARHEADGEAR0000075	Glamorous Wig
AVATARHEADGEAR0000076	Jiangshi Hat
AVATARHEADGEAR0000077	Alien Hood
AVATARHEADGEAR0000078	Anglerfish Hood
AVATARHEADGEAR0000079	Panda Hood
AVATARHEADGEAR0000080	Forest Hat
AVATARHEADGEAR0000081	Wrestler Mask
AVATARHEADGEAR0000082	Head Mirror
AVATARHEADGEAR0000083	Aviator Hat
AVATARHEADGEAR0000084	Double-Bun Wig
AVATARHEADGEAR0000085	Dragon Hood
AVATARHEADGEAR0000086	Nurse Cap
AVATARHEADGEAR0000087	Bun Wig
AVATARHEADGEAR0000088	Sunflower Hood
AVATARHEADGEAR0000089	Rain Cap
AVATARHEADGEAR0000090	Santa Hat
AVATARHEADGEAR0000091	Squid Hat
AVATARHEADGEAR0000092	Tengu Wig
AVATARHEADGEAR0000093	Dog Hood
AVATARHEADGEAR0000094	Eboshi Hat
AVATARHEADGEAR0000095	Antenna
AVATARHEADGEAR0000096	Feathered Cap
AVATARHEADGEAR0000097	Shark Hood
AVATARHEADGEAR0000098	Mermaid Fins
AVATARHEADGEAR0000099	Frankenstein Hood
AVATARHEADGEAR0000100	Unicorn Hood
AVATARHEADGEAR0000101	Dumpling Hood
AVATARHEADGEAR0000102	Pizza Hood
AVATARHEADGEAR0000103	Purple Hat
AVATARHEADGEAR0000104	Kappa Plate
AVATARHEADGEAR0000105	Mummy Wrap
AVATARHEADGEAR0000106	Star Hood
AVATARHEADGEAR0000107	Conical Hat
AVATARHEADGEAR0000108	Kitsune Mask
AVATARHEADGEAR0000109	Newsie Cap
AVATARHEADGEAR0000110	Safari Hat
AVATARHEADGEAR0000111	Zombie Hood
AVATARHEADGEAR0000112	Samba Headdress
AVATARHEADGEAR0000113	Toque Hat
AVATARHEADGEAR0000114	Bandana
AVATARHEADGEAR0000115	Mane
AVATARHEADGEAR0000116	Kettle Hood
AVATARHEADGEAR0000117	Martial-Arts Wig
AVATARHEADGEAR0000118	Grass Crown
AVATARHEADGEAR0000119	Swimming Cap
AVATARHEADGEAR0000120	Dr. Lobe Disguise
AVATARHEADGEAR0000121	Wolf Hood
AVATARHEADGEAR0000122	Tiger Hood
AVATARHEADGEAR0000123	Chicken Hood
AVATARHEADGEAR0000124	Nutcracker Hat
AVATARHEADGEAR0000125	Pharaoh Headdress
AVATARHEADGEAR0000126	Golden Fillet
AVATARACCESSORIES9999999	None
AVATARACCESSORIES0000000	Square Glasses
AVATARACCESSORIES0000001	Round Glasses
AVATARACCESSORIES0000002	Sunglasses
AVATARACCESSORIES0000003	Sport Sunglasses
AVATARACCESSORIES0000004	Aviator Sunglasses
AVATARACCESSORIES0000005	Disguise
AVATARACCESSORIES0000006	Sci-fi Visor
AVATARACCESSORIES0000007	Star Glasses
AVATARACCESSORIES0000008	Snorkel and Mask
AVATARACCESSORIES0000009	Ski Goggles
AVATARACCESSORIES0000010	Venetian Mask
AVATARACCESSORIES0000011	Round Sunglasses
AVATARACCESSORIES0000012	Tortoise Sunglasses
AVATARACCESSORIES0000013	Heart Glasses
AVATARACCESSORIES0000014	Duck Bill
AVATARACCESSORIES0000015	Nose Bandage
AVATARACCESSORIES0000016	Tango Rose
AVATARACCESSORIES0000017	Monocle
AVATARACCESSORIES0000019	Clown Nose
AVATARACCESSORIES0000020	White Mask
AVATARACCESSORIES0000021	Black Mask
AVATARACCESSORIES0000022	Cat Whiskers
AVATARACCESSORIES0000023	Big Square Glasses
AVATARACCESSORIES0000025	Hockey Mask
AVATARACCESSORIES0000026	Crossed Bandages
AVATARACCESSORIES0000027	Bandage
AVATARACCESSORIES0000028	Blush
AVATARACCESSORIES0000029	Dog Nose
AVATARACCESSORIES0000030	Half-Rim Glasses
AVATARACCESSORIES0000031	Thief Mask
AVATARACCESSORIES0000033	Worried Eyebrows
AVATARACCESSORIES0000034	Thick Eyebrows
AVATARACCESSORIES0000035	Chic Eyebrows
AVATARACCESSORIES0000036	Butterfly Mask
AVATARACCESSORIES0000037	Broken Glasses
AVATARACCESSORIES0000039	Tear Makeup
AVATARACCESSORIES0000040	Half Mask
AVATARACCESSORIES0000041	Leaf Mask
AVATARACCESSORIES0000043	Red Glasses
AVATARACCESSORIES0000044	Bottom-Rimmed Glasses
AVATARACCESSORIES0000045	Beaded Headband
AVATARACCESSORIES0000046	Silver Glasses
AVATARACCESSORIES0000047	Flame Sunglasses
AVATARACCESSORIES0000048	Samurai Mask
AVATARACCESSORIES0000049	Octagonal Glasses
AVATARACCESSORIES0000050	Sci-fi Glasses
AVATARACCESSORIES0000051	Tengu Mask
common_HakariQuote.msbt
TurningRoulette_01	The player spinning for the 1st match is...
TurningRoulette_02	The player spinning for the 2nd match is...
TurningRoulette_03	The player spinning for the 3rd match is...
TurningRoulette_04	The player spinning for the 4th match is...
TurningRoulette_05	The player spinning for the 5th match is...
TurningRouletteYou	{[0100]}!
RightHolderDecision_01	The player picking the 1st activity is...
RightHolderDecision_02	The player picking the 2nd activity is...
RightHolderDecision_03	The player picking the 3rd activity is...
RightHolderDecision_04	The player picking the 4th activity is...
RightHolderDecision_05	The player picking the 5th activity is...
RightHolderDecisionYou	{[0100]}!
Party_Handicap_01	Now, select which level of {color[ff1010ff]}difficulty\n{color[000000ff]}you'd like to tackle during this activity.
Party_Handicap_02	If you're not sure, take the Beginner Class!\nI recommend Sprout Class for young children.
Party_Handicap_03	{[0100]}, do you think you're ready to try \nchallenging yourself in a new Class?
Party_Handicap_04	Do you want to try changing the\n{color[ff1010ff]}difficulty{color[000000ff]}? I'd like to see a close\ncontest!
BattleResult_00	The winner of this\nBig Brain battle is...
BattleResult_Win	{[0100]}!
BattleResult_WinYou	you!
BattleResult_Lose	your Ghost opponent!
BattleResult_Draw	Why, it's a tie!
BattleMenu_5genres_Finish	You completed a battle in all five\ncategories! Wonderful!
BattleMenu_Perfect_00	There are no more Ghost opponents!
BattleMenu_Perfect_01	Select {color[ff1010ff]}Change All{color[000000ff]} to look for more\nGhosts.
MainMenu_Support_01	This is locked because you're using\n{color[ff1010ff]}Sprout Support{color[000000ff]}!
MainMenu_Support_02	Be sure to check Sprout Support in\n{color[ff1010ff]}Options{color[000000ff]}.
MainMenu_Lock_01	Hmm... I wonder what this button does.
MainMenu_Lock_02	Try to earn {color[ff1010ff]}Gold Medals{color[000000ff]} in every\nPractice activity. It might be worth\nyour while!
MainMenu_Unlock_01	CONGRATULATIONS!
MainMenu_Unlock_02	You earned a Gold Medal in every Practice\nactivity, so {color[ff1010ff]}Super Practice{color[000000ff]} is now open!
MainMenu_Unlock_03	In this harder Practice, every activity\nstarts in the {color[ff1010ff]}Advanced Class{color[000000ff]}!
MainMenu_Unlock_04	I do hope you'll give it a try!
MainMenu_BattleCaution_01	First, why not try flexing your brain\nin {color[ff1010ff]}Practice{color[000000ff]} or even with a {color[ff1010ff]}Test{color[000000ff]}?
MainMenu_Recommend_00_01	How would you like to flex your brain\ntoday?
MainMenu_Recommend_01_01	Your Big Brain Brawn is looking good! Why\nnot challenge yourself to a {color[ff1010ff]}Ghost Clash{color[000000ff]}?
MainMenu_Recommend_02_01	In my opinion, {color[ff1010ff]}Practice {color[000000ff]}is where the\njourney toward a higher Big Brain\nBrawn score truly begins.
MainMenu_Recommend_03_01	Why not give {color[ff1010ff]}Super Practice{color[000000ff]} a try?\nIt could be just the challenge for you!
MainMenu_Recommend_04_01	Are you ready to prove your brain\nbrawniness in a {color[ff1010ff]}Test{color[000000ff]}?
MainMenu_Recommend_05_01	I recommend starting with {color[ff1010ff]}Practice{color[000000ff]} and\nthen following up with a {color[ff1010ff]}Ghost Clash{color[000000ff]}.
Stretch_Results1_02	The results are in...
Stretch_Results2_Record_01	Wow! Yes! Indeed, woo-hoo!\nIt's a new {color[ff1010ff]}High Score{color[000000ff]}!
Stretch_Results2_Record_02	Your brain is most impressive!\nCongratulations!
Stretch_Results2_ScoreUp_01	Goodness! Your Big Brain Brawn score\nhas grown by {color[ff1010ff]}{[0101]}{color[000000ff]} since last time!
Stretch_Results2_NearRecord99_01	Wonderful Practice! You nearly had a\nnew High Score!
Stretch_Results2_NearRecord96_01	SO CLOSE! Just a little more, and you\nwould have had a new High Score!
Stretch_Results3_First_01	That was your first time doing this\nPractice activity! What did you think?
Stretch_Results3_First_MAX_01	I-I'm speechless! This score...and on\nyour first try? Incredible!
Stretch_Results4_08_01	Wh-wh-what?! Your Big Brain Brawn \nscore has bested the {color[ff1010ff]}{[0101]}{color[000000ff]} mark!
Stretch_Results4_08_02	And I've got just the thing for an\noccasion such as this! In fact, it's\nquite special...
Stretch_Results4_08_03	Ta-da! It's a {color[ff1010ff]}Platinum Lobe Medal{color[000000ff]}!
Stretch_Results4_07_01	Oh. My. Goodness! What a thing! To\nsee your Big Brain Brawn score\ncross {color[ff1010ff]}{[0101]}{color[000000ff]}!
Stretch_Results4_07_02	Simply amazing! Now then, to\ncommemorate this moment...
Stretch_Results4_07_03	allow me to bestow this {color[ff1010ff]}3★{color[000000ff]} {color[ff1010ff]}Gold Lobe\nMedal {color[000000ff]}upon you!
Stretch_Results4_06_01	My medulla oblongata! Your Big Brain\nBrawn score has conquered the\n{color[ff1010ff]}{[0101]}{color[000000ff]} mark!
Stretch_Results4_06_02	How wonderful! Now then, to\ncommemorate this moment...
Stretch_Results4_06_03	allow me to present you with this\n{color[ff1010ff]}2★ Gold Lobe Medal{color[000000ff]}!
Stretch_Results4_05_01	Ah! Your Big Brain Brawn score has\ntopped {color[ff1010ff]}{[0101]}{color[000000ff]}!
Stretch_Results4_05_02	Superb, yes, and splendid too! Now\nthen, to commemorate this moment...
Stretch_Results4_05_03	I'll give you a{color[ff1010ff]} 1★ Gold Lobe Medal{color[000000ff]}!
Stretch_Results4_04_01	You've pushed your Big Brain Brawn\nscore right across the {color[ff1010ff]}{[0101]}{color[000000ff]} line!
Stretch_Results4_04_02	Now, to commemorate this moment...
Stretch_Results4_04_03	I'll give you this {color[ff1010ff]}3★ Silver Lobe Medal{color[000000ff]}!
Stretch_Results4_03_01	It seems your Big Brain Brawn score\nhas cleared {color[ff1010ff]}{[0101]}{color[000000ff]}!
Stretch_Results4_03_02	Now, to commemorate this moment...
Stretch_Results4_03_03	here is your {color[ff1010ff]}2★ Silver Lobe Medal{color[000000ff]}!
Stretch_Results4_02_01	Your Big Brain Brawn score has hit\nthe {color[ff1010ff]}{[0101]}{color[000000ff]} mark!
Stretch_Results4_02_02	Now, to commemorate this moment...
Stretch_Results4_02_03	I'm giving you a {color[ff1010ff]}1★ Silver Lobe Medal{color[000000ff]}!
Stretch_Results4_01_01	Your Big Brain Brawn score has\ncrossed the {color[ff1010ff]}{[0101]}{color[000000ff]} mark!
Stretch_Results4_01_02	Now, to commemorate this moment...
Stretch_Results4_01_03	I'm giving you a {color[ff1010ff]}Bronze Lobe Medal{color[000000ff]}!
Stretch_Results5_Medal_01	I have high expectations of you going\nforward!
Stretch_Results5_Down_01	Let's do another Practice when you're\nready to give it another go!
Stretch_Results5_10times_01	Once you've stretched and flexed your\nbrain a bit, consider trying a {color[ff1010ff]}Test{color[000000ff]}.
Stretch_Results5_20times_01	You've thoroughly stretched and flexed\nyour brain, haven't you?
Stretch_Results5_20times_02	Why don't we head right on into a\n{color[ff1010ff]}Test{color[000000ff]} then?
Stretch_Results5_08_01	Practicing increased your brain brawn!\nBy all means, continue to stretch and\nflex that brain!
Stretch_Results5_07_01	This drive you have to go after ever\nbrawnier heights... It's truly inspiring!
Stretch_Results5_06_01	Even after earning a Gold Medal, you\nstill stretched and flexed that brain of\nyours... Fantastic!
Stretch_Results5_05_01	Keep aiming for a new High Score.\nPerhaps even more medals await!
Stretch_Results5_04_01	Keep aiming for a Big Brain Brawn score of\n{color[ff1010ff]}400{color[000000ff]}. Reach that, and a Gold Medal is yours!
Stretch_Results5_03_01	Try to beat a Big Brain Brawn score of\n{color[ff1010ff]}250{color[000000ff]}. Do that, and the next medal is yours!
Stretch_Results5_02_01	Next, aim for a Big Brain Brawn score of\n{color[ff1010ff]}150{color[000000ff]}. Top that, and you'll be on your way!
Stretch_Results5_01_01	Next, aim for a Big Brain Brawn score\nof more than {color[ff1010ff]}100{color[000000ff]}. A new medal awaits!
Stretch_Results5_00_01	First, aim for a Big Brain Brawn score\nof {color[ff1010ff]}50{color[000000ff]}. I have a medal waiting for you!
Event_Get_PtMedal_01	Your first {color[ff1010ff]}Platinum Lobe Medal{color[000000ff]}!\nCongratulations!
Event_Get_PtMedal_02	Keep up this energy, and see if you can't\nget a High Score in other activities.
Event_Comp_Medals_01	Why...can it be? In {color[ff1010ff]}Practice{color[000000ff]}, you earned\nmedals in {color[ff1010ff]}each and every activity{color[000000ff]}!
Event_Comp_Medals_02	Your feat has left me quite...emotional.\nI'm crying tears of joy—I assure you!
Event_Comp_GldMedals_01	And...you've completed your collection\nof {color[ff1010ff]}1★ Gold Lobe Medals{color[000000ff]}!
Event_Comp_GldMedals_02	Huzzah and hooray! I'm so thrilled by\nyour achievement, I feel quite giddy!
Event_Comp_GldMedals_03	Now, let this inspire us to go forth and\nreach for even higher heights!
Event_Compl_Gld2Medals_01	You did it! Incredible! Wonderful!
Event_Compl_Gld2Medals_02	What's that? You...don't know what I'm\ntalking about? Oh, come now...
Event_Compl_Gld2Medals_03	Why, you completed your collection of\n{color[ff1010ff]}2★ Gold Lobe Medals{color[000000ff]}! Accolades\nare in order!
Event_Compl_Gld2Medals_04	Your Big Brain is a cut above the rest!\nSplendid! Magnificent!
Event_Comp_Gld3Medals_01	And...oh my!
Event_Comp_Gld3Medals_02	Just like that, you've completed your\ncollection of {color[ff1010ff]}3★ Gold Lobe Medals{color[000000ff]}!\nCongratulations!
Event_Comp_Gld3Medals_03	Amazing... Almost TOO amazing, even.\nYes, this is truly amazing indeed!
Event_Comp_Gld3Medals_04	It must be said... You possess one of\nthe brawniest of the Big Brains!
Event_Comp_PtMedals_01	Err... I don't mean to startle you, but\nI have an important announcement...
Event_Comp_PtMedals_02	You have earned a complete collection\nof {color[ff1010ff]}Platinum Lobe Medals{color[000000ff]}! OUTSTANDING!
Event_Comp_PtMedals_03	What an incredible effort it was! Who\nknew such a thing was even possible?!
Event_Comp_PtMedals_04	To see a student of mine achieve such\na thing... Why, it fills me with pride!
Event_Open_SpStretch_01	Yes, it seems the time has come for the\ndoor to the next challenge to open...
Event_Open_SpStretch_02	I have something to share with you.\nPlease, if you would, select Done.
Event_CompP_GldMedals_01	Now, this medal is one we really should\ncelebrate properly!
Event_CompP_GldMedals_02	You have completed your collection of\n{color[ff1010ff]}1★ Gold Lobe Medals {color[000000ff]}in Super Practice!
Event_CompP_GldMedals_03	Seeing your continued efforts, yes, I am\nthoroughly impressed!
Event_CompP_Gld2Medals_01	And it seems I owe you some\ncongratulations!
Event_CompP_Gld2Medals_02	You've completed your collection of\n{color[ff1010ff]}2★ Gold Lobe Medals {color[000000ff]}in Super Practice!
Event_CompP_Gld2Medals_03	Without a doubt, you possess the\nbrawniest brain at this academy!
Event_CompP_Gld2Medals_04	Oh dear... The one with the brawniest\nbrain is supposed to be ME!
Event_CompP_Gld2Medals_05	Well, perhaps the time has come for a\nnew generation to take the lead.
Event_CompP_Gld2Medals_06	How would you like to be headmaster\nof this academy, {[0100]}?
Event_CompP_Gld3Medals_01	How shall I put this? I have begun to\nwonder...
Event_CompP_Gld3Medals_02	just how high your score might go?
Event_CompP_Gld3Medals_03	You see, you've now earned a complete\ncollection of {color[ff1010ff]}3★ Gold Lobe Medals {color[000000ff]}in\nSuper Practice!
Event_CompP_Gld3Medals_04	To make it this far... Impressive indeed!
Event_CompP_Gld3Medals_05	The only thing to do now...is see how\nfar this journey takes you!
Event_CompP_PtMedals_01	At last! The moment has arrived...
Event_CompP_PtMedals_02	and it is a remarkable moment, indeed!
Event_CompP_PtMedals_03	You have now earned a complete\ncollection of {color[ff1010ff]}Platinum Lobe Medals\n{color[000000ff]}in Super Practice!
Event_CompP_PtMedals_04	As head of this academy, nothing could\nplease me more.
Event_CompP_PtMedals_05	From the bottom of my heart, I say\ncongratulations and thank you,\n{[0100]}!
Test_Results01_01_01	Well done!
Test_Results02_01_01	How was your first Test?
Test_Results02_01_02	Your Test results are reflected in your\n{color[ff1010ff]}Big Brain Brawn{color[000000ff]} score.
Test_Results02_01_03	The {color[ff1010ff]}higher your score{color[000000ff]}, the more\nimpressive your performance.
Test_Results02_01_04	You may be interested to know...
Test_Results02_01_05	my Big Brain Brawn score is around\n{color[ff1010ff]}3300{color[000000ff]}.
Test_Results02_01_06	An average person who hasn't spent\ntime in Practice will score around {color[ff1010ff]}1500{color[000000ff]}.
Test_Results02_01_06_02	And someone using Sprout Support\nusually scores around {color[ff1010ff]}250{color[000000ff]}.
Test_Results02_01_07	Well, yes, I suppose I am pretty\namazing then. *ahem*
Test_Results02_01_08	Without further ado, let's take a look at\nthe Test results.
Test_Results02_02_01	Now then, let's get right to those Test\nresults!
Test_Results03_01_01	Hmm... You didn't reach your\nHigh Score.
Test_Results03_01_02	Well, that's life for you, isn't it? Best to\nshake it off and keep moving forward!
Test_Results03_02_01	My, my! It seems there are plenty of\nareas that could use some stretching\nand flexing.
Test_Results03_03_01	Hmm... This is a score that calls for\nmore stretching and flexing.
Test_Results03_04_01	Well, well! This score suggests you've\nbeen stretching and flexing!
Test_Results03_05_01	Why, that's a fairly good score!
Test_Results03_06_01	Aha! This is a very good score indeed!
Test_Results03_07_01	Incredible! Your score is about the\nsame as mine!
Test_Results03_07_02	I must say, {[0100]}...\nYou're doing quite well.
Test_Results03_08_01	Wh-what's this?! Très magnifique!
Test_Results03_08_02	A Big Brain so brawny it has surpassed\neven my own!
Test_Results03_08_03	I...think I may need some time to come\nto grips with this development.
Test_Results03_09_01	*gasp* I...I cannot believe it!
Test_Results03_09_02	You've far exceeded even my own\nBig Brain Brawn!
Test_Results04_01_01	Now then, it's time to give you your\n{color[ff1010ff]}Brain Grade{color[000000ff]}!
