common_AvatarCustomize.msbt
AVATARCLOTHES0000000	白色T恤
AVATARCLOTHES0000077	草裙舞服装
AVATARCLOTHES0000078	度假泳装
AVATARCLOTHES0000079	树叶服装
AVATARCLOTHES0000080	粗野服装
AVATARCLOTHES0000081	草莓服装
AVATARCLOTHES0000082	橘子服装
AVATARCLOTHES0000083	奶牛服装
AVATARCLOTHES0000084	驯鹿服装
AVATARCLOTHES0000085	蛋壳服装
AVATARCLOTHES0000086	跑者服装
AVATARCLOTHES0000087	工作人员服装
AVATARCLOTHES0000088	街头服装
AVATARCLOTHES0000089	刺绣飞行外套
AVATARCLOTHES0000090	黑色洋装
AVATARCLOTHES0000091	户外服装
AVATARCLOTHES0000092	职业玩家服装
AVATARCLOTHES0000093	三花猫服装
AVATARCLOTHES0000094	华丽服装
AVATARCLOTHES0000095	僵尸服装
AVATARCLOTHES0000096	UFO服装
AVATARCLOTHES0000097	灯笼鱼服装
AVATARCLOTHES0000098	熊猫服装
AVATARCLOTHES0000099	橄榄球服装
AVATARCLOTHES0000100	摔角选手服装
AVATARCLOTHES0000101	飞行外套
AVATARCLOTHES0000102	中式服装
AVATARCLOTHES0000103	龙服装
AVATARCLOTHES0000104	甜筒饼干服装
AVATARCLOTHES0000105	花纹连身裙
AVATARCLOTHES0000106	圣诞老人服装
AVATARCLOTHES0000107	蝙蝠服装
AVATARCLOTHES0000108	求生服装
AVATARCLOTHES0000109	护士服
AVATARCLOTHES0000110	斗篷
AVATARCLOTHES0000111	天狗服装
AVATARCLOTHES0000112	森林服装
AVATARCLOTHES0000113	旅行服装
AVATARCLOTHES0000114	蓑衣
AVATARCLOTHES0000115	胡桃夹子服装
AVATARCLOTHES0000116	人鱼服装
AVATARCLOTHES0000117	纱丽服装
AVATARCLOTHES0000118	鲨鱼服装
AVATARCLOTHES0000119	狗服装
AVATARCLOTHES0000120	办公室服装
AVATARCLOTHES0000121	星星图案服装
AVATARCLOTHES0000122	提洛尔服装
AVATARCLOTHES0000123	科学怪人服装
AVATARCLOTHES0000124	木乃伊服装
AVATARCLOTHES0000125	乌龟服装
AVATARCLOTHES0000126	圆点服装
AVATARCLOTHES0000127	云朵服装
AVATARCLOTHES0000128	拉面碗服装
AVATARCLOTHES0000129	独角兽服装
AVATARCLOTHES0000130	鸡服装
AVATARCLOTHES0000131	狼服装
AVATARCLOTHES0000132	老虎服装
AVATARCLOTHES0000133	蛋糕服装
AVATARCLOTHES0000134	桑巴服装
AVATARCLOTHES0000135	披风服装
AVATARCLOTHES0000140	排球服装
AVATARCLOTHES0000141	玉米服装
AVATARCLOTHES0000142	鱿鱼服装
AVATARCLOTHES0000143	孙悟空服装
AVATARCLOTHES0000144	工地服装
AVATARCLOTHES0000145	潜水服
AVATARCLOTHES0000146	优雅套装
AVATARCLOTHES0000147	高级定制套装
AVATARHEADGEAR9999999	无穿戴
AVATARHEADGEAR0000000	熊帽子
AVATARHEADGEAR0000001	兔子帽子
AVATARHEADGEAR0000002	大象帽子
AVATARHEADGEAR0000003	青蛙帽子
AVATARHEADGEAR0000004	睡帽
AVATARHEADGEAR0000005	草帽
AVATARHEADGEAR0000006	棒球帽子
AVATARHEADGEAR0000007	美式足球头盔
AVATARHEADGEAR0000008	忍者头巾
AVATARHEADGEAR0000009	消防员帽子
AVATARHEADGEAR0000010	全罩式头盔
AVATARHEADGEAR0000011	厨师帽子
AVATARHEADGEAR0000012	侦探帽子
AVATARHEADGEAR0000013	单车头盔
AVATARHEADGEAR0000014	太空装头盔
AVATARHEADGEAR0000015	学士帽
AVATARHEADGEAR0000016	机长帽子
AVATARHEADGEAR0000017	庞克假发
AVATARHEADGEAR0000018	草莓帽子
AVATARHEADGEAR0000019	橘子帽子
AVATARHEADGEAR0000020	苹果帽子
AVATARHEADGEAR0000021	皇冠
AVATARHEADGEAR0000022	头冠
AVATARHEADGEAR0000023	爆炸头假发
AVATARHEADGEAR0000024	学者假发
AVATARHEADGEAR0000025	和服假发
AVATARHEADGEAR0000026	白色蝴蝶结
AVATARHEADGEAR0000027	遮阳帽
AVATARHEADGEAR0000028	渔夫帽子
AVATARHEADGEAR0000029	耳机帽子
AVATARHEADGEAR0000030	绅士帽
AVATARHEADGEAR0000031	派对帽子
AVATARHEADGEAR0000032	工地安全帽
AVATARHEADGEAR0000033	水手帽子
AVATARHEADGEAR0000034	探险帽
AVATARHEADGEAR0000035	迷彩头盔
AVATARHEADGEAR0000036	大蝴蝶结
AVATARHEADGEAR0000037	小丑帽子
AVATARHEADGEAR0000038	蜡烛帽子
AVATARHEADGEAR0000039	维京人帽子
AVATARHEADGEAR0000040	海盗帽子
AVATARHEADGEAR0000041	魔法师帽子
AVATARHEADGEAR0000042	铁头盔
AVATARHEADGEAR0000043	音乐家假发
AVATARHEADGEAR0000044	武士头盔
AVATARHEADGEAR0000045	大礼帽
AVATARHEADGEAR0000046	白色绅士帽
AVATARHEADGEAR0000047	卷发假发
AVATARHEADGEAR0000048	贝雷帽
AVATARHEADGEAR0000049	动画假发（黑）
AVATARHEADGEAR0000050	动画假发（粉红）
AVATARHEADGEAR0000051	蛋壳帽子
AVATARHEADGEAR0000052	纸袋帽子
AVATARHEADGEAR0000053	驯鹿帽子
AVATARHEADGEAR0000054	银色假发
AVATARHEADGEAR0000055	顽皮假发
AVATARHEADGEAR0000056	针织帽
AVATARHEADGEAR0000057	奶牛帽子
AVATARHEADGEAR0000058	猫耳朵
AVATARHEADGEAR0000059	角
AVATARHEADGEAR0000060	扶桑花头饰
AVATARHEADGEAR0000061	螃蟹帽子
AVATARHEADGEAR0000062	爱丽丝假发
AVATARHEADGEAR0000063	南瓜帽子
AVATARHEADGEAR0000064	特本头巾
AVATARHEADGEAR0000065	头部护具
AVATARHEADGEAR0000066	西部牛仔帽子
AVATARHEADGEAR0000067	墨西哥草帽
AVATARHEADGEAR0000068	飞机头假发
AVATARHEADGEAR0000069	花冠
AVATARHEADGEAR0000070	三花猫帽子
AVATARHEADGEAR0000071	竖卷假发
AVATARHEADGEAR0000072	小红帽头巾
AVATARHEADGEAR0000073	焊接面具
AVATARHEADGEAR0000074	冰淇淋帽子
AVATARHEADGEAR0000075	名媛假发
AVATARHEADGEAR0000076	僵尸帽子
AVATARHEADGEAR0000077	外星人帽子
AVATARHEADGEAR0000078	灯笼鱼帽子
AVATARHEADGEAR0000079	熊猫帽子
AVATARHEADGEAR0000080	森林帽子
AVATARHEADGEAR0000081	摔角面具
AVATARHEADGEAR0000082	头镜
AVATARHEADGEAR0000083	飞行帽
AVATARHEADGEAR0000084	双丸子头假发
AVATARHEADGEAR0000085	龙帽子
AVATARHEADGEAR0000086	护士帽
AVATARHEADGEAR0000087	丸子头假发
AVATARHEADGEAR0000088	向日葵帽子
AVATARHEADGEAR0000089	上学帽
AVATARHEADGEAR0000090	圣诞老人帽子
AVATARHEADGEAR0000091	鱿鱼帽子
AVATARHEADGEAR0000092	天狗假发
AVATARHEADGEAR0000093	狗帽子
AVATARHEADGEAR0000094	乌帽子
AVATARHEADGEAR0000095	触角
AVATARHEADGEAR0000096	羽毛帽子
AVATARHEADGEAR0000097	鲨鱼帽子
AVATARHEADGEAR0000098	人鱼发饰
AVATARHEADGEAR0000099	科学怪人帽子
AVATARHEADGEAR0000100	独角兽帽子
AVATARHEADGEAR0000101	小笼包帽子
AVATARHEADGEAR0000102	披萨帽子
AVATARHEADGEAR0000103	紫色帽子
AVATARHEADGEAR0000104	河童头顶
AVATARHEADGEAR0000105	木乃伊帽子
AVATARHEADGEAR0000106	星星帽子
AVATARHEADGEAR0000107	斗笠
AVATARHEADGEAR0000108	狐狸面具
AVATARHEADGEAR0000109	报童帽
AVATARHEADGEAR0000110	野外帽
AVATARHEADGEAR0000111	丧尸帽子
AVATARHEADGEAR0000112	桑巴发饰
AVATARHEADGEAR0000113	小礼帽
AVATARHEADGEAR0000114	三角头巾
AVATARHEADGEAR0000115	鬃毛
AVATARHEADGEAR0000116	茶壶帽子
AVATARHEADGEAR0000117	格斗家假发
AVATARHEADGEAR0000118	草编花冠
AVATARHEADGEAR0000119	泳帽
AVATARHEADGEAR0000120	秤博士帽子
AVATARHEADGEAR0000121	狼帽子
AVATARHEADGEAR0000122	老虎帽子
AVATARHEADGEAR0000123	鸡帽子
AVATARHEADGEAR0000124	胡桃夹子帽子
AVATARHEADGEAR0000125	图坦卡门帽子
AVATARHEADGEAR0000126	紧箍儿
AVATARACCESSORIES9999999	无穿戴
AVATARACCESSORIES0000000	方形眼镜
AVATARACCESSORIES0000001	圆形眼镜
AVATARACCESSORIES0000002	墨镜
AVATARACCESSORIES0000003	运动墨镜
AVATARACCESSORIES0000004	机长墨镜
AVATARACCESSORIES0000005	鼻子胡子眼镜
AVATARACCESSORIES0000006	太空护目镜
AVATARACCESSORIES0000007	星星眼镜
AVATARACCESSORIES0000008	潜水镜
AVATARACCESSORIES0000009	滑雪护目镜
AVATARACCESSORIES0000010	威尼斯面具
AVATARACCESSORIES0000011	圆形墨镜
AVATARACCESSORIES0000012	弧形墨镜
AVATARACCESSORIES0000013	爱心眼镜
AVATARACCESSORIES0000014	鸭子嘴巴
AVATARACCESSORIES0000015	鼻头创可贴
AVATARACCESSORIES0000016	口中玫瑰花
AVATARACCESSORIES0000017	单边眼镜
AVATARACCESSORIES0000019	小丑鼻子
AVATARACCESSORIES0000020	白色口罩
AVATARACCESSORIES0000021	黑色口罩
AVATARACCESSORIES0000022	猫胡须
AVATARACCESSORIES0000023	大方形眼镜
AVATARACCESSORIES0000025	曲棍球面具
AVATARACCESSORIES0000026	十字创可贴
AVATARACCESSORIES0000027	创可贴
AVATARACCESSORIES0000028	粉红色脸颊
AVATARACCESSORIES0000029	狗鼻子
AVATARACCESSORIES0000030	眉框眼镜
AVATARACCESSORIES0000031	怪盗面具
AVATARACCESSORIES0000033	八字眉
AVATARACCESSORIES0000034	粗眉
AVATARACCESSORIES0000035	精致眉
AVATARACCESSORIES0000036	蝴蝶面具
AVATARACCESSORIES0000037	破烂眼镜
AVATARACCESSORIES0000039	眼泪妆
AVATARACCESSORIES0000040	半边面具
AVATARACCESSORIES0000041	树叶面具
AVATARACCESSORIES0000043	红色眼镜
AVATARACCESSORIES0000044	下半框眼镜
AVATARACCESSORIES0000045	细绳发带
AVATARACCESSORIES0000046	银色眼镜
AVATARACCESSORIES0000047	火焰墨镜
AVATARACCESSORIES0000048	武士头盔面具
AVATARACCESSORIES0000049	八角形眼镜
AVATARACCESSORIES0000050	科幻眼镜
AVATARACCESSORIES0000051	天狗面具
common_HakariQuote.msbt
TurningRoulette_01	第1场比赛的轮盘，负责转动的是……
TurningRoulette_02	第2场比赛的轮盘，负责转动的是……
TurningRoulette_03	第3场比赛的轮盘，负责转动的是……
TurningRoulette_04	第4场比赛的轮盘，负责转动的是……
TurningRoulette_05	第5场比赛的轮盘，负责转动的是……
TurningRouletteYou	{[0100]}！
RightHolderDecision_01	第1场比赛的考题，负责选择的是……
RightHolderDecision_02	第2场比赛的考题，负责选择的是……
RightHolderDecision_03	第3场比赛的考题，负责选择的是……
RightHolderDecision_04	第4场比赛的考题，负责选择的是……
RightHolderDecision_05	第5场比赛的考题，负责选择的是……
RightHolderDecisionYou	{[0100]}！
Party_Handicap_01	请选择考题的{color[ff1010ff]}难易度{color[000000ff]}！
Party_Handicap_02	犹豫的话，可以先选择初级班！\n小孩子则可以选择幼儿班！
Party_Handicap_03	{[0100]}！\n要挑战看看其他的班级吗？
Party_Handicap_04	要变更{color[ff1010ff]}难易度{color[000000ff]}吗？\n我想看一场势均力敌的比赛！
BattleResult_00	这次的灵活大脑对战\n获胜的是……
BattleResult_Win	{[0100]}！
BattleResult_WinYou	你获胜了！
BattleResult_Lose	对方的幽灵\n获胜！
BattleResult_Draw	平手！
BattleMenu_5genres_Finish	5个类别全都对战过了！\n太棒了！
BattleMenu_Perfect_00	对方的幽灵\n已消失！
BattleMenu_Perfect_01	按“{color[ff1010ff]}全部更换{color[000000ff]}”来搜索幽灵吧！
MainMenu_Support_01	使用了{color[ff1010ff]}简易辅助{color[000000ff]}，\n所以这里上锁了！
MainMenu_Support_02	请在{color[ff1010ff]}设定{color[000000ff]}中\n查看简易辅助的功能吧♪
MainMenu_Lock_01	这个按键……\n真让人好奇呢。
MainMenu_Lock_02	所有的伸展都获得{color[ff1010ff]}金奖牌{color[000000ff]}的话，\n可能会发生什么事……
MainMenu_Unlock_01	恭喜你！
MainMenu_Unlock_02	所有的伸展都获得金奖牌了……\n{color[ff1010ff]}超级伸展{color[000000ff]}已开放！
MainMenu_Unlock_03	这个困难的伸展\n将直接从{color[ff1010ff]}高级班{color[000000ff]}的考题开始！
MainMenu_Unlock_04	请务必挑战看看！
MainMenu_BattleCaution_01	请先以{color[ff1010ff]}伸展{color[000000ff]}或是{color[ff1010ff]}测试\n{color[000000ff]}来放松大脑吧♪
MainMenu_Recommend_00_01	今天要怎样放松大脑呢？
MainMenu_Recommend_01_01	你的大脑感觉很灵活！\n要挑战看看{color[ff1010ff]}幽灵对战{color[000000ff]}吗？
MainMenu_Recommend_02_01	让大脑更加灵活的方法，\n还是要从{color[ff1010ff]}伸展{color[000000ff]}开始练习吧。
MainMenu_Recommend_03_01	要挑战看看{color[ff1010ff]}超级伸展{color[000000ff]}吗？
MainMenu_Recommend_04_01	要用{color[ff1010ff]}测试\n{color[000000ff]}来试试大脑的本事吗？
MainMenu_Recommend_05_01	先{color[ff1010ff]}伸展{color[000000ff]}！\n接着再进行{color[ff1010ff]}幽灵对战{color[000000ff]}，怎么样？
Stretch_Results1_02	好的，结果是……！？
Stretch_Results2_Record_01	哇！哇！哇！\n刷新{color[ff1010ff]}最佳记录{color[000000ff]}了！
Stretch_Results2_Record_02	你的大脑超级灵活！\n恭喜你！
Stretch_Results2_ScoreUp_01	哇！\n跟上一次比，提升了{color[ff1010ff]}{[0101]}{color[000000ff]}！
Stretch_Results2_NearRecord99_01	伸展得不错！！\n离最佳记录，只差一点点！
Stretch_Results2_NearRecord96_01	真可惜！！\n差一点就能刷新最佳记录了！
Stretch_Results3_First_01	第一次尝试这个伸展，\n感觉怎么样？
Stretch_Results3_First_MAX_01	……！！！！！！！！\n第一次就有这样的记录，真厉害！！
Stretch_Results4_08_01	竟！竟！竟然！\n你的大脑灵活度超过{color[ff1010ff]}{[0101]}{color[000000ff]}了！
Stretch_Results4_08_02	就是为了这一刻！\n让我送你特别的奖牌吧！
Stretch_Results4_08_03	锵锵！\n特制！{color[ff1010ff]}白金秤奖牌{color[000000ff]}！
Stretch_Results4_07_01	哎呀呀呀！\n你的大脑灵活度超过{color[ff1010ff]}{[0101]}{color[000000ff]}了！
Stretch_Results4_07_02	太棒了！\n那么，作为纪念……
Stretch_Results4_07_03	我要送你{color[ff1010ff]}金秤奖牌（★3）{color[000000ff]}！
Stretch_Results4_06_01	哎呀！\n你的大脑灵活度超过{color[ff1010ff]}{[0101]}{color[000000ff]}了！
Stretch_Results4_06_02	太棒了！\n那么，作为纪念……
Stretch_Results4_06_03	我要送你{color[ff1010ff]}金秤奖牌（★2）{color[000000ff]}！
Stretch_Results4_05_01	啊！\n你的大脑灵活度超过{color[ff1010ff]}{[0101]}{color[000000ff]}了！
Stretch_Results4_05_02	太棒了！\n那么，作为纪念……
Stretch_Results4_05_03	我要送你{color[ff1010ff]}金秤奖牌（★1）{color[000000ff]}！
Stretch_Results4_04_01	你的大脑灵活度\n超过{color[ff1010ff]}{[0101]}{color[000000ff]}了！
Stretch_Results4_04_02	那么，作为纪念……
Stretch_Results4_04_03	我要送你{color[ff1010ff]}银秤奖牌（★3）{color[000000ff]}！
Stretch_Results4_03_01	你的大脑灵活度\n超过{color[ff1010ff]}{[0101]}{color[000000ff]}了！
Stretch_Results4_03_02	那么，作为纪念……
Stretch_Results4_03_03	我要送你{color[ff1010ff]}银秤奖牌（★2）{color[000000ff]}！
Stretch_Results4_02_01	你的大脑灵活度\n超过{color[ff1010ff]}{[0101]}{color[000000ff]}了！
Stretch_Results4_02_02	那么，作为纪念……
Stretch_Results4_02_03	我要送你{color[ff1010ff]}银秤奖牌（★1）{color[000000ff]}！
Stretch_Results4_01_01	你的大脑灵活度\n超过{color[ff1010ff]}{[0101]}{color[000000ff]}了！
Stretch_Results4_01_02	那么，作为纪念……
Stretch_Results4_01_03	我要送你{color[ff1010ff]}铜秤奖牌{color[000000ff]}！
Stretch_Results5_Medal_01	接下来也很期待你的表现！
Stretch_Results5_Down_01	让大脑喘口气，\n再继续伸展吧！
Stretch_Results5_10times_01	如果大脑已经放松了，\n要不要挑战看看{color[ff1010ff]}测试{color[000000ff]}呢？
Stretch_Results5_20times_01	你已经充分按摩放松大脑了吧。
Stretch_Results5_20times_02	现在就来挑战看看{color[ff1010ff]}测试{color[000000ff]}吧？
Stretch_Results5_08_01	这个伸展是灵活度的极致！\n接下来也请好好放松大脑！
Stretch_Results5_07_01	不断突破自我的态度……\n真是太厉害了！！
Stretch_Results5_06_01	即使获得了金奖牌，\n也还是继续按摩放松大脑……真是太酷了！
Stretch_Results5_05_01	目标是最佳记录！\n在那前方有更多的奖牌等着你……！？
Stretch_Results5_04_01	目标是灵活度{color[ff1010ff]}400{color[000000ff]}！\n超过的话，就会获得金奖牌……！？
Stretch_Results5_03_01	目标是灵活度{color[ff1010ff]}250{color[000000ff]}！\n超过的话，就能获得下一个奖牌……！？
Stretch_Results5_02_01	接下来的目标是灵活度{color[ff1010ff]}150{color[000000ff]}！\n超过的话，你就能独当一面了！
Stretch_Results5_01_01	接下来的目标是灵活度{color[ff1010ff]}100{color[000000ff]}！\n奖牌的颜色可能会改变……！？
Stretch_Results5_00_01	首先的目标是灵活度{color[ff1010ff]}50{color[000000ff]}！\n我已经准备好纪念的奖牌了。
Event_Get_PtMedal_01	第一次获得{color[ff1010ff]}白金秤奖牌{color[000000ff]}！\n恭喜你！
Event_Get_PtMedal_02	保持这个状态，再去挑战看看\n其他考题的记录吧！？
Event_Comp_Medals_01	……！{color[ff1010ff]}全部的伸展\n{color[000000ff]}都获得奖牌了！
Event_Comp_Medals_02	博士我眼泛泪光了！\n真是太棒了！恭喜你！
Event_Comp_GldMedals_01	然后！\n{color[ff1010ff]}金秤奖牌（★1）{color[000000ff]}全部收集完成了！
Event_Comp_GldMedals_02	恭喜你！！\n实在太棒了，我甘拜下风……
Event_Comp_GldMedals_03	接下来也要朝向更高的目标，\n一鼓作气地迈进吧！
Event_Compl_Gld2Medals_01	成功了呢！\n太棒了！！
Event_Compl_Gld2Medals_02	嗯？不知道我在说什么？\n你也真是的……
Event_Compl_Gld2Medals_03	{color[ff1010ff]}金秤奖牌（★2）{color[000000ff]}全部收集完成了！\n恭喜你！！
Event_Compl_Gld2Medals_04	出类拔萃的灵活大脑！\n佩服、佩服！真是太厉害了！
Event_Comp_Gld3Medals_01	然后竟然！
Event_Comp_Gld3Medals_02	{color[ff1010ff]}金秤奖牌（★3）{color[000000ff]}全部收集完成了！\n恭喜你！！
Event_Comp_Gld3Medals_03	厉害……太厉害了……\n真的是很厉害的记录哦！
Event_Comp_Gld3Medals_04	你！果然就是！\n灵活大脑中的灵活大脑啊！
Event_Comp_PtMedals_01	呃……虽然有点唐突，\n但我这边有个重要的通知……
Event_Comp_PtMedals_02	{color[ff1010ff]}白金秤奖牌{color[000000ff]}全部收集完成了！\n恭喜你！！！！！
Event_Comp_PtMedals_03	多么了不起的努力啊……！\n没想到真的会有这种事发生……
Event_Comp_PtMedals_04	对于学生出乎意料的记录，\n我感慨万千……！谢谢！
Event_Open_SpStretch_01	好的，是时候该打开\n通往下一个挑战的大门了……
Event_Open_SpStretch_02	我有事情要告诉你！\n请按“结束”。
Event_CompP_GldMedals_01	这次的奖牌\n是值得好好纪念的奖牌……！
Event_CompP_GldMedals_02	超级伸展的{color[ff1010ff]}金秤奖牌（★1）{color[000000ff]}\n全部收集完成了！
Event_CompP_GldMedals_03	你努力不懈的态度……\n我真心感到佩服！
Event_CompP_Gld2Medals_01	然后然后！\n恭喜你！
Event_CompP_Gld2Medals_02	超级伸展的{color[ff1010ff]}金秤奖牌（★2）\n{color[000000ff]}全部收集完成了！
Event_CompP_Gld2Medals_03	哟！我们学校第一的\n灵活大脑！
Event_CompP_Gld2Medals_04	……哎呀，\n那其实是我！
Event_CompP_Gld2Medals_05	虽然我想这么说，\n但，也是时候该世代交替了……
Event_CompP_Gld2Medals_06	{[0100]}，\n你有兴趣当校长吗？
Event_CompP_Gld3Medals_01	……该怎么说呢，\n我常常不经意地思索。
Event_CompP_Gld3Medals_02	你究竟要刷新多少次记录呢？
Event_CompP_Gld3Medals_03	超级伸展的{color[ff1010ff]}金秤奖牌（★3）\n{color[000000ff]}全部收集完成了！
Event_CompP_Gld3Medals_04	恭喜你！\n终于来到这一步了！！
Event_CompP_Gld3Medals_05	既然如此，\n能走多远就走多远吧！！
Event_CompP_PtMedals_01	然后！\n这一刻终于到来了……
Event_CompP_PtMedals_02	我正在见证\n非常不得了的瞬间！
Event_CompP_PtMedals_03	超级伸展的{color[ff1010ff]}白金秤奖牌\n{color[000000ff]}全部收集完成了！！！
Event_CompP_PtMedals_04	作为校长，\n没有比这更开心的事情了……
Event_CompP_PtMedals_05	让我发自内心跟你说声恭喜！\n{[0100]}，谢谢你！！！！！
Test_Results01_01_01	辛苦你了！
Test_Results02_01_01	第一次做测试，\n感觉如何？
Test_Results02_01_02	测试的结果\n会用{color[ff1010ff]}灵活度{color[000000ff]}来表示。
Test_Results02_01_03	灵活度的{color[ff1010ff]}数字越大\n{color[000000ff]}代表你越厉害！
Test_Results02_01_04	顺带一提……
Test_Results02_01_05	我的灵活度大约是{color[ff1010ff]}3300{color[000000ff]}。
Test_Results02_01_06	没有进行伸展的\n一般人大约是{color[ff1010ff]}1500{color[000000ff]}……
Test_Results02_01_06_02	使用简易辅助的人，\n大约有{color[ff1010ff]}250{color[000000ff]}……
Test_Results02_01_07	所以我还蛮厉害的哦！\n嘿嘿！
Test_Results02_01_08	……好的！\n那我们来看看测试的结果吧！
Test_Results02_02_01	那我们马上来看看测试的结果吧！
Test_Results03_01_01	嗯！没能刷新最佳记录！
Test_Results03_01_02	不过，这种事也是会有的啦！\n换个方式想吧！
Test_Results03_02_01	这、这！就像是钻石的原石一样，\n还有很多需要按摩放松的空间！
Test_Results03_03_01	嗯！这灵活度\n值得去按摩放松！
Test_Results03_04_01	呵！\n这是适度得到放松的灵活度！
Test_Results03_05_01	哦！\n不错的灵活度！
Test_Results03_06_01	呵呵！\n这灵活度非常不错！
Test_Results03_07_01	哦哦！太棒了！\n跟我的灵活度不相上下！
Test_Results03_07_02	{[0100]}……\n很不错嘛。
Test_Results03_08_01	竟……竟然！\n难以置信！！
Test_Results03_08_02	没想到你的大脑\n竟然会比我还灵活……！
Test_Results03_08_03	接下来请让我\n一个人静一静……
Test_Results03_09_01	哇啊！\n难以置信！！
Test_Results03_09_02	我的灵活大脑\n完全被你超越了……！
Test_Results04_01_01	那么，\n我要发表你的{color[ff1010ff]}头脑段位{color[000000ff]}了！
Test_Results05_01_01	恭喜你！
Test_Results05_01_02	这就是你现在的\n{color[ff1010ff]}头脑段位{color[000000ff]}！
Test_Results05_01_03	接下来才要正式开始！\n一起朝更高的目标迈进吧！
Test_Results05_02_01	这就是你这次的\n{color[ff1010ff]}头脑段位{color[000000ff]}！
Test_Results05_03_01	你做到了！！\n更新为新的{color[ff1010ff]}头脑段位{color[000000ff]}了！
Test_Results05_03_02	你未来的潜力\n是无限大的！
Test_Results05_04_01	竟……竟……竟然！\n是{color[ff1010ff]}灵活大脑王{color[000000ff]}！！！！！
Test_Results05_04_02	这是灵活大脑的终极证明……\n是传说中的头脑段位……！
Test_Results05_04_03	学生之中竟然有{color[ff1010ff]}灵活大脑王{color[000000ff]}存在……\n我真的感到非常骄傲！！
Test_Results05_05_01	你已经获得了灵活大脑王的段位。
Test_Results05_05_02	灵活大脑王的存在，\n让本校引以为傲！
Test_Results05_05_03	接下来也请你挑战最佳记录，\n继续按摩放松！
Test_Results06_01_01	那么，来仔细看看\n测试结果吧！
Test_Results07_ZZ_01	……虽然我是这么想的，\n但还是先等你习惯测试后再说吧！
Test_Results07_00_01	首先！这次的结果\n非常平均！
Test_Results07_00_02	你可以继续像这样很平均地放松大脑！\n也可以找出擅长的类别来放松大脑！
Test_Results07_cmm	首先！
Test_Results07_01_01	你最好的类别是{color[ff1010ff]}直觉{color[000000ff]}！
Test_Results07_01_02	在关键时刻，\n你可以相信自己的直觉！
Test_Results07_02_01	你最好的类别是{color[ff1010ff]}记忆{color[000000ff]}！
