common_AvatarCustomize.msbt
AVATARCLOTHES0000000	しろいＴシャツ
AVATARHEADGEAR0000019	オレンジのぼうし
AVATARHEADGEAR0000020	りんごのぼうし
AVATARHEADGEAR0000021	おうかん
AVATARHEADGEAR0000022	ティアラ
AVATARHEADGEAR0000023	アフロのカツラ
AVATARHEADGEAR0000024	がくしゃなカツラ
AVATARHEADGEAR0000025	にほんがみのカツラ
AVATARHEADGEAR0000026	しろいリボン
AVATARHEADGEAR0000027	サンバイザー
AVATARHEADGEAR0000028	つりびとのぼうし 
AVATARHEADGEAR0000029	ヘッドホン
AVATARHEADGEAR0000030	なかおれハット
AVATARHEADGEAR0000031	パーティぼうし
AVATARHEADGEAR0000032	ヘルメット
AVATARHEADGEAR0000033	セーラーのぼうし
AVATARHEADGEAR0000034	たんけんぼう
AVATARHEADGEAR0000035	めいさいのヘルメット
AVATARHEADGEAR0000036	おおきいリボン
AVATARHEADGEAR0000037	ピエロのぼうし
AVATARHEADGEAR0000038	ロウソクのぼうし
AVATARHEADGEAR0000039	バイキングのぼうし
AVATARHEADGEAR0000040	かいぞくのぼうし
AVATARHEADGEAR0000041	まほうつかいのぼうし
AVATARHEADGEAR0000042	てつのカブト
AVATARHEADGEAR0000043	おんがくかなカツラ
AVATARHEADGEAR0000044	かぶと
AVATARHEADGEAR0000045	シルクハット 
AVATARHEADGEAR0000046	しろいなかおれハット
AVATARHEADGEAR0000047	パーマのカツラ
AVATARHEADGEAR0000048	ベレーぼう
AVATARHEADGEAR0000049	アニメのカツラ（くろ）
AVATARHEADGEAR0000050	アニメのカツラ（ピンク）
AVATARHEADGEAR0000051	たまごのから
AVATARHEADGEAR0000052	かみぶくろ
AVATARHEADGEAR0000053	トナカイのぼうし
AVATARHEADGEAR0000054	シルバーのカツラ
AVATARHEADGEAR0000055	わんぱくなカツラ 
AVATARHEADGEAR0000056	ニットぼう
AVATARHEADGEAR0000057	ウシのぼうし
AVATARHEADGEAR0000058	ねこみみ
AVATARHEADGEAR0000059	つの
AVATARHEADGEAR0000060	ハイビスカス
AVATARHEADGEAR0000061	カニのぼうし
AVATARHEADGEAR0000062	アリスのカツラ
AVATARHEADGEAR0000063	カボチャのぼうし
AVATARHEADGEAR0000064	ターバン
AVATARHEADGEAR0000065	ヘッドギア
AVATARHEADGEAR0000066	ウェスタンなぼうし
AVATARHEADGEAR0000067	ソンブレロ
AVATARHEADGEAR0000068	リーゼントのカツラ
AVATARHEADGEAR0000069	はなかんむり
AVATARHEADGEAR0000070	みけねこのぼうし
AVATARHEADGEAR0000071	たてロールのカツラ
AVATARHEADGEAR0000072	あかずきん
AVATARHEADGEAR0000073	ようせつマスク
AVATARHEADGEAR0000074	ソフトクリームのぼうし
AVATARHEADGEAR0000075	セレブなカツラ
AVATARHEADGEAR0000076	キョンシーのぼうし 
AVATARHEADGEAR0000077	うちゅうじんのぼうし
AVATARHEADGEAR0000078	アンコウのぼうし
AVATARHEADGEAR0000079	パンダのぼうし
AVATARHEADGEAR0000080	もりのぼうし
AVATARHEADGEAR0000081	レスラーのマスク
AVATARHEADGEAR0000082	がくたいきょう
AVATARHEADGEAR0000083	フライトぼう
AVATARHEADGEAR0000084	おだんご２つのカツラ
AVATARHEADGEAR0000085	ドラゴンのぼうし
AVATARHEADGEAR0000086	ナースキャップ
AVATARHEADGEAR0000087	おだんごヘアのカツラ
AVATARHEADGEAR0000088	ヒマワリのぼうし
AVATARHEADGEAR0000089	つうがくぼう
AVATARHEADGEAR0000090	サンタクロースのぼうし
AVATARHEADGEAR0000091	イカのぼうし
AVATARHEADGEAR0000092	てんぐのカツラ
AVATARHEADGEAR0000093	イヌのぼうし
AVATARHEADGEAR0000094	えぼし
AVATARHEADGEAR0000095	しょっかく
AVATARHEADGEAR0000096	はねのぼうし
AVATARHEADGEAR0000097	サメのぼうし
AVATARHEADGEAR0000098	にんぎょのかざり
AVATARHEADGEAR0000099	フランケンのぼうし
AVATARHEADGEAR0000100	ユニコーンのぼうし
AVATARHEADGEAR0000101	しょうろんぽうのぼうし
AVATARHEADGEAR0000102	ピザのぼうし
AVATARHEADGEAR0000103	むらさきのぼうし
AVATARHEADGEAR0000104	カッパのさら
AVATARHEADGEAR0000105	ミイラのぼうし
AVATARHEADGEAR0000106	ほしのぼうし
AVATARHEADGEAR0000107	かさぼうし
AVATARHEADGEAR0000108	キツネのおめん
AVATARHEADGEAR0000109	キャスケット
AVATARHEADGEAR0000110	サファリハット 
AVATARHEADGEAR0000111	ゾンビのぼうし
AVATARHEADGEAR0000112	サンバのかみかざり
AVATARHEADGEAR0000113	トークハット
AVATARHEADGEAR0000114	さんかくきん
AVATARHEADGEAR0000115	たてがみ
AVATARHEADGEAR0000116	やかんのぼうし
AVATARHEADGEAR0000117	かくとうかのカツラ
AVATARHEADGEAR0000118	くさのかんむり
AVATARHEADGEAR0000119	スイミングキャップ
AVATARHEADGEAR0000120	ハカリせんせいのぼうし
AVATARHEADGEAR0000121	オオカミのぼうし
AVATARHEADGEAR0000122	トラのぼうし
AVATARHEADGEAR0000123	ニワトリのぼうし
AVATARHEADGEAR0000124	くるみわりなぼうし
AVATARHEADGEAR0000125	ツタンカーメンなぼうし
AVATARHEADGEAR0000126	きんこじ
AVATARACCESSORIES9999999	みにつけない
AVATARACCESSORIES0000000	しかくいメガネ
AVATARACCESSORIES0000001	まるいメガネ
AVATARACCESSORIES0000002	サングラス
AVATARACCESSORIES0000003	スポーツサングラス
AVATARACCESSORIES0000004	パイロットサングラス
AVATARACCESSORIES0000005	ひげはなめがね
AVATARACCESSORIES0000006	スペースゴーグル
AVATARACCESSORIES0000007	ほしがためがね
AVATARACCESSORIES0000008	シュノーケル
AVATARACCESSORIES0000009	スノーゴーグル
AVATARACCESSORIES0000010	ベネチアンマスク
AVATARACCESSORIES0000011	まるいサングラス
AVATARACCESSORIES0000012	ラウンドサングラス
AVATARACCESSORIES0000013	ハートメガネ 
AVATARACCESSORIES0000014	アヒルのくち
AVATARACCESSORIES0000015	はなばんそうこう 
AVATARACCESSORIES0000016	くわえバラ
AVATARACCESSORIES0000017	かためがね
AVATARACCESSORIES0000019	ピエロのはな
AVATARACCESSORIES0000020	しろいマスク
AVATARACCESSORIES0000021	くろいマスク
AVATARACCESSORIES0000022	ねこひげ
AVATARACCESSORIES0000023	ビッグスクエアめがね
AVATARACCESSORIES0000025	ホッケーマスク
AVATARACCESSORIES0000026	ばってんばんそうこう
AVATARACCESSORIES0000027	ばんそうこう
AVATARACCESSORIES0000028	ピンクのほっぺ
AVATARACCESSORIES0000029	イヌのはな
AVATARACCESSORIES0000030	ハーフリムのめがね
AVATARACCESSORIES0000031	かいとうマスク
AVATARACCESSORIES0000033	こまりマユ
AVATARACCESSORIES0000034	ふといマユ
AVATARACCESSORIES0000035	きりっとしたマユ
AVATARACCESSORIES0000036	ちょうのマスク
AVATARACCESSORIES0000037	こわれためがね
AVATARACCESSORIES0000039	なみだメイク
AVATARACCESSORIES0000040	はんぶんのかめん
AVATARACCESSORIES0000041	このはのおめん
AVATARACCESSORIES0000043	あかいめがね
AVATARACCESSORIES0000044	アンダーリムのめがね
AVATARACCESSORIES0000045	ひものヘアバンド
AVATARACCESSORIES0000046	シルバーのめがね
AVATARACCESSORIES0000047	ほのおのサングラス
AVATARACCESSORIES0000048	かぶとのマスク
AVATARACCESSORIES0000049	オクタゴンめがね
AVATARACCESSORIES0000050	SFめがね
AVATARACCESSORIES0000051	てんぐのおめん
common_HakariQuote.msbt
TurningRoulette_01	１{r2[しあいめ]}試合目{/r2}のルーレットをまわすのは…
TurningRoulette_02	２{r2[しあいめ]}試合目{/r2}のルーレットをまわすのは…
TurningRoulette_03	３{r2[しあいめ]}試合目{/r2}のルーレットをまわすのは…
TurningRoulette_04	４{r2[しあいめ]}試合目{/r2}のルーレットをまわすのは…
TurningRoulette_05	５{r2[しあいめ]}試合目{/r2}のルーレットをまわすのは…
TurningRouletteYou	{[0100]}さんです！
RightHolderDecision_01	１{r2[しあいめ]}試合目{/r2}のもんだいを えらぶのは…
RightHolderDecision_02	２{r2[しあいめ]}試合目{/r2}のもんだいを えらぶのは…
RightHolderDecision_03	３{r2[しあいめ]}試合目{/r2}のもんだいを えらぶのは…
RightHolderDecision_04	４{r2[しあいめ]}試合目{/r2}のもんだいを えらぶのは…
RightHolderDecision_05	５{r2[しあいめ]}試合目{/r2}のもんだいを えらぶのは…
RightHolderDecisionYou	{[0100]}さんです！
Party_Handicap_01	もんだいの{color[ff1010ff]}なんいど{color[000000ff]}を\nえらんでください！
Party_Handicap_02	まよったら {r2[しょきゅう]}初級{/r2}クラス をどうぞ！\nちいさいおこさまは {r2[ようじ]}幼児{/r2}クラス！
Party_Handicap_03	{[0100]}さん！\nほかのクラスにチャレンジしてみる？
Party_Handicap_04	{color[ff1010ff]}なんいど{color[000000ff]}を かえてみますか？\n{r2[せっせん]}接戦{/r2}が みたいです！
BattleResult_00	こんかいの\nやわらかあたまバトルは…
BattleResult_Win	{[0100]}さんの\nかち！
BattleResult_WinYou	アナタのかち！
BattleResult_Lose	あいてのゴーストの\nかち！
BattleResult_Draw	ひきわけ！
BattleMenu_5genres_Finish	５ジャンルぜんぶバトルしました！\nスバラシイ！！
BattleMenu_Perfect_00	あいてのゴーストが\nいなくなりました！
BattleMenu_Perfect_01	「{color[ff1010ff]}ぜんぶチェンジ{color[000000ff]}」をおして\nゴーストをさがしましょう！
MainMenu_Support_01	{color[ff1010ff]}かんたんサポート{color[000000ff]}をつかっているので\nここはロックしています！
MainMenu_Support_02	かんたんサポートは\n{color[ff1010ff]}せってい{color[000000ff]}でかくにんしてくださいね♪
MainMenu_Lock_01	このボタン…\nきになりますよね
MainMenu_Lock_02	ストレッチをすべて\n{color[ff1010ff]}{r2[きん]}金{/r2}のメダル{color[000000ff]}にすると なにかわかるかも…
MainMenu_Unlock_01	オメデトーございます！
MainMenu_Unlock_02	ストレッチがすべて{r2[きん]}金{/r2}のメダルになったので…\n{color[ff1010ff]}{r2[ちょう]}超{/r2}ストレッチ{color[000000ff]}をオープンしました！
MainMenu_Unlock_03	いきなり{color[ff1010ff]}{r2[じょうきゅう]}上級{/r2}クラス{color[000000ff]}のもんだいから\nはじまるハードなストレッチ！
MainMenu_Unlock_04	ぜひ チャレンジしてみてください！
MainMenu_BattleCaution_01	まずは{color[ff1010ff]}ストレッチ{color[000000ff]}か{color[ff1010ff]}テスト{color[000000ff]}で\nあたまをほぐしてください♪
MainMenu_Recommend_00_01	きょうはどうやって\nあたまを ほぐしましょうか？
MainMenu_Recommend_01_01	あたまのやわらかさがイイかんじ！\n{color[ff1010ff]}ゴーストバトル{color[000000ff]}にチャレンジしてみては？
MainMenu_Recommend_02_01	やはり やわらかあたまのキホン、\n{color[ff1010ff]}ストレッチ{color[000000ff]}から でしょうかね
MainMenu_Recommend_03_01	{color[ff1010ff]}{r2[ちょう]}超{/r2}ストレッチ{color[000000ff]}に\nチャレンジしてみては？
MainMenu_Recommend_04_01	{color[ff1010ff]}テスト{color[000000ff]}で\nあたまのうでだめしはいかが？
MainMenu_Recommend_05_01	まず{color[ff1010ff]}ストレッチ{color[000000ff]}！{color[ff1010ff]}\n{color[000000ff]}からの{color[ff1010ff]}ゴーストバトル{color[000000ff]}でしょうか
Stretch_Results1_02	さて、けっかは…！？
Stretch_Results2_Record_01	キタ！キタ！キタ！\n{color[ff1010ff]}ベストきろく{color[000000ff]}こうしん！
Stretch_Results2_Record_02	チョーやわらか！\nおめでとうございます！
Stretch_Results2_ScoreUp_01	キタ！\n{r2[ぜんかい]}前回{/r2}より {color[ff1010ff]}{[0101]}{color[000000ff]}アップです！
Stretch_Results2_NearRecord99_01	ナイス ストレッチ！！\nベストきろくまで あとチョット！
Stretch_Results2_NearRecord96_01	オシイー！！\nもうすこしで ベストきろくでした！
Stretch_Results3_First_01	このストレッチは はじめて！\nいかがでしたか？
Stretch_Results3_First_MAX_01	…！！！！！！！！\nはじめてで このきろくはスゴイ！！
Stretch_Results4_08_01	ナ！ナ！ナント！\nやわらか{r2[ど]}度{/r2}が{color[ff1010ff]}{[0101]}{color[000000ff]}をこえちゃってます！
Stretch_Results4_08_02	こんなときのために！\nとくべつなメダルをさしあげましょう！
Stretch_Results4_08_03	ジャジャーン！\n{r2[とくせい]}特製{/r2}！{color[ff1010ff]}プラチナハカリメダル{color[000000ff]}！
Stretch_Results4_07_01	アララララ！\nやわらか{r2[ど]}度{/r2}が{color[ff1010ff]}{[0101]}{color[000000ff]}をこえてます！
Stretch_Results4_07_02	スバラシイ！\nそれでは{r2[きねん]}記念{/r2}に…
Stretch_Results4_07_03	{color[ff1010ff]}{r2[きん]}金{/r2}のハカリメダル（★３）{color[000000ff]}を\nさしあげます！
Stretch_Results4_06_01	アラ！\nやわらか{r2[ど]}度{/r2}が{color[ff1010ff]}{[0101]}{color[000000ff]}をこえてます！
Stretch_Results4_06_02	スバラシイ！\nそれでは{r2[きねん]}記念{/r2}に…
Stretch_Results4_06_03	{color[ff1010ff]}{r2[きん]}金{/r2}のハカリメダル（★２）{color[000000ff]}を\nさしあげます！
Stretch_Results4_05_01	アッ！\nやわらか{r2[ど]}度{/r2}が{color[ff1010ff]}{[0101]}{color[000000ff]}をこえてます！
Stretch_Results4_05_02	スバラシイ！\nそれでは{r2[きねん]}記念{/r2}に…
Stretch_Results4_05_03	{color[ff1010ff]}{r2[きん]}金{/r2}のハカリメダル（★１）{color[000000ff]}を\nさしあげます！
Stretch_Results4_04_01	やわらか{r2[ど]}度{/r2}が\n{color[ff1010ff]}{[0101]}{color[000000ff]}をこえました！
Stretch_Results4_04_02	それでは{r2[きねん]}記念{/r2}に…
Stretch_Results4_04_03	{color[ff1010ff]}{r2[ぎん]}銀{/r2}のハカリメダル（★３）{color[000000ff]}を\nさしあげます！
Stretch_Results4_03_01	やわらか{r2[ど]}度{/r2}が\n{color[ff1010ff]}{[0101]}{color[000000ff]}をこえました！
Stretch_Results4_03_02	それでは{r2[きねん]}記念{/r2}に…
Stretch_Results4_03_03	{color[ff1010ff]}{r2[ぎん]}銀{/r2}のハカリメダル（★２）{color[000000ff]}を\nさしあげます！
Stretch_Results4_02_01	やわらか{r2[ど]}度{/r2}が\n{color[ff1010ff]}{[0101]}{color[000000ff]}をこえました！
Stretch_Results4_02_02	それでは{r2[きねん]}記念{/r2}に…
Stretch_Results4_02_03	{color[ff1010ff]}{r2[ぎん]}銀{/r2}のハカリメダル（★１）{color[000000ff]}を\nさしあげます！
Stretch_Results4_01_01	やわらか{r2[ど]}度{/r2}が\n{color[ff1010ff]}{[0101]}{color[000000ff]}をこえました！
Stretch_Results4_01_02	それでは{r2[きねん]}記念{/r2}に…
Stretch_Results4_01_03	{color[ff1010ff]}{r2[どう]}銅{/r2}のハカリメダル{color[000000ff]}を\nさしあげます！
Stretch_Results5_Medal_01	これからも\nキタイしています！
Stretch_Results5_Down_01	あたまをきりかえて\nまたストレッチしてください！
Stretch_Results5_10times_01	あたまがほぐれてきたら\n{color[ff1010ff]}テスト{color[000000ff]}にチャレンジしてみては？
Stretch_Results5_20times_01	じゅうぶん\nあたまをもみほぐしましたね
Stretch_Results5_20times_02	ここはひとつ、\n{color[ff1010ff]}テスト{color[000000ff]}にチャレンジしてみては？
Stretch_Results5_08_01	このストレッチは やわらかのキワミ！\nこれからもノビノビほぐしてください！
Stretch_Results5_07_01	さらなるたかみをめざす そのしせい…\nアメイジング！！
Stretch_Results5_06_01	{r2[きん]}金{/r2}のメダルをてにいれても\nまだ もみほぐすなんて…カッコイイ！
Stretch_Results5_05_01	めざせ ベストきろく！\nそのさきに さらなるメダルが…！？
Stretch_Results5_04_01	めざせ やわらか{r2[ど]}度{/r2}{color[ff1010ff]}400{color[000000ff]}！\nこれをこえると {r2[きん]}金{/r2}のメダルが…！？
Stretch_Results5_03_01	めざせ やわらか{r2[ど]}度{/r2}{color[ff1010ff]}250{color[000000ff]}！\nこれをこえると つぎのメダルが…！？
Stretch_Results5_02_01	つぎは めざせ やわらか{r2[ど]}度{/r2}{color[ff1010ff]}150{color[000000ff]}！\nこれをこえると イッチョマエ！
Stretch_Results5_01_01	つぎは めざせ やわらか{r2[ど]}度{/r2}{color[ff1010ff]}100{color[000000ff]}！\nメダルのいろが かわるかも…！？
Stretch_Results5_00_01	まずは めざせ やわらか{r2[ど]}度{/r2}{color[ff1010ff]}50{color[000000ff]}！\nきねんのメダルをよういしております
Event_Get_PtMedal_01	はじめての {color[ff1010ff]}プラチナハカリメダル{color[000000ff]}！\nおめでとうございます！
Event_Get_PtMedal_02	このチョーシで ほかのもんだいも\nきろくに チャレンジしてみては！？
Event_Comp_Medals_01	…！ {color[ff1010ff]}すべてのストレッチ{color[000000ff]}で\nメダルをゲットしました！
Event_Comp_Medals_02	ワタクシ、ひとみがウルウルしてます！\nスバラシイ！オメデトーございます！
Event_Comp_GldMedals_01	そして！\n{color[ff1010ff]}{r2[きん]}金{/r2}のハカリメダル（★１）{color[000000ff]}コンプリート！
Event_Comp_GldMedals_02	オメデトーございます！！\nスバラシすぎて とけちゃいそう…
Event_Comp_GldMedals_03	さらなるたかみを めざして\nこれからも ハリキッテまいりましょう！
Event_Compl_Gld2Medals_01	やりましたね！\nスバラシイ！！
Event_Compl_Gld2Medals_02	ン？ なんのコトかわからない？\nやだなあ もう…
Event_Compl_Gld2Medals_03	{color[ff1010ff]}{r2[きん]}金{/r2}のハカリメダル（★２）{color[000000ff]}コンプリート！\nオメデトーございまーす！！
Event_Compl_Gld2Medals_04	なみはずれた やわらかあたまです！\nアッパレです！さいこうです！
Event_Comp_Gld3Medals_01	そして ナント！
Event_Comp_Gld3Medals_02	{color[ff1010ff]}{r2[きん]}金{/r2}のハカリメダル（★３）{color[000000ff]}コンプリート！\nオメデトーございまーす！！
Event_Comp_Gld3Medals_03	すごい…すごすぎます…\nホントに スゴイきろくです！
Event_Comp_Gld3Medals_04	アナタは！まさに！\nやわらかあたま オブ やわらかあたま です！
Event_Comp_PtMedals_01	えー… トツゼンですが\nここで だいじな おしらせです…
Event_Comp_PtMedals_02	{color[ff1010ff]}プラチナハカリメダル{color[000000ff]}コンプリート！\nオメデトーございまーーーーーす！！！！！
Event_Comp_PtMedals_03	なんというドリョク…！\nこんなこと、ありえるのでしょうか…
Event_Comp_PtMedals_04	{r2[じゅくせい]}塾生{/r2}の とんでもないきろくに\nワタクシ、カンムリョウです…！ありがとう！
Event_Open_SpStretch_01	さあ つぎのチャレンジへの\nトビラをひらくときが きました…
Event_Open_SpStretch_02	おつたえすることがございます！\n「おわる」を おしてください
Event_CompP_GldMedals_01	こんかいのメダルは\nきねんすべきメダルになりました…！
Event_CompP_GldMedals_02	{r2[ちょう]}超{/r2}ストレッチで\n{color[ff1010ff]}{r2[きん]}金{/r2}のハカリメダル（★１）{color[000000ff]}コンプリート！
Event_CompP_GldMedals_03	ドリョクをつづける そのしせい…\nカンプクいたしました！
Event_CompP_Gld2Medals_01	そしてそして！\nオメデトーございます！
Event_CompP_Gld2Medals_02	{r2[ちょう]}超{/r2}ストレッチで\n{color[ff1010ff]}{r2[きん]}金{/r2}のハカリメダル（★２）{color[000000ff]}コンプリート！
Event_CompP_Gld2Medals_03	ヨッ！{r2[とうじゅく]}当塾{/r2}イチの\nやわらかあたま！
Event_CompP_Gld2Medals_04	…おっと\nそれはワタクシでした！
Event_CompP_Gld2Medals_05	と、いいたいところですが\nせだいコータイのときでしょうか…
Event_CompP_Gld2Medals_06	{[0100]}さん\n{r2[じゅくちょう]}塾長{/r2}、いかがです？
Event_CompP_Gld3Medals_01	…なんというか\nふと おもうのですよ
Event_CompP_Gld3Medals_02	いったい アナタは\nどこまできろくを のばすのよ？と
Event_CompP_Gld3Medals_03	{r2[ちょう]}超{/r2}ストレッチで\n{color[ff1010ff]}{r2[きん]}金{/r2}のハカリメダル（★３）{color[000000ff]}コンプリート！
Event_CompP_Gld3Medals_04	オメデトーございます！ \nついに ここまでキテシマッタ！！
Event_CompP_Gld3Medals_05	こうなったら\nいけるところまで ゴーゴーです！！
Event_CompP_PtMedals_01	そして！\nついに このときがやってきました…
Event_CompP_PtMedals_02	ワタクシ、とんでもない\nしゅんかんに たちあっております！
Event_CompP_PtMedals_03	{r2[ちょう]}超{/r2}ストレッチで\n{color[ff1010ff]}プラチナハカリメダル{color[000000ff]}コンプリート！！！
