ActorType\ArmorHead.msbt
Armor_015_Head_Name	Hylian Hood
Armor_126_Head_Name	Sapphire Circlet
Armor_126_Head_Desc	A Gerudo headpiece set with a sapphire,\nwhich harnesses the power of ice to make\nthe heat more bearable. A Great Fairy\nhas increased its defense by two levels.
Armor_125_Head_Name	Sapphire Circlet
Armor_125_Head_Desc	A Gerudo headpiece set with a sapphire,\nwhich harnesses the power of ice to make\nthe heat more bearable. A Great Fairy\nhas increased its defense by one level.
Armor_026_Head_Name	Sapphire Circlet
Armor_026_Head_Desc	An intricate headpiece crafted with Gerudo\ngoldsmith techniques. It's set with a\nsapphire, a gem that harnesses the power\nof ice to make hot climates more tolerable.
Armor_067_Head_Name	Desert Voe Headband
Armor_067_Head_Desc	Gerudo armor for males. Contains sapphire,\nwhich harnesses the power of ice to make\nthe heat more bearable. A Great Fairy\nincreased its defense to its maximum level.
Armor_066_Head_Name	Desert Voe Headband
Armor_066_Head_Desc	Gerudo armor for males. Contains sapphire,\nwhich harnesses the power of ice to make\nthe heat more bearable. A Great Fairy\nhas increased its defense by three levels.
Armor_065_Head_Name	Desert Voe Headband
Armor_065_Head_Desc	Gerudo armor for males. Contains sapphire,\nwhich harnesses the power of ice to make\nthe heat more bearable. A Great Fairy\nhas increased its defense by two levels.
Armor_040_Head_Name	Desert Voe Headband
Armor_040_Head_Desc	Gerudo armor for males. Contains sapphire,\nwhich harnesses the power of ice to make\nthe heat more bearable. A Great Fairy\nhas increased its defense by one level.
Armor_008_Head_Name	Desert Voe Headband
Armor_008_Head_Desc	Gerudo-made armor for males sold rarely by\nGerudo retailers. It contains sapphire, a gem\nthat harnesses the power of ice to make the\nheat more bearable.
Armor_053_Head_Name	Gerudo Veil
Armor_053_Head_Desc	A mask worn by Gerudo women. It protects\nthe skin from the harsh sun, but don't expect\nit to protect much in combat...
Armor_132_Head_Name	Topaz Earrings
Armor_132_Head_Desc	Earrings made with topaz, which harnesses\nthe power of lightning to increase electricity\nresistance. A Great Fairy has increased\ntheir defense to its maximum level.
Armor_131_Head_Name	Topaz Earrings
Armor_131_Head_Desc	Earrings made with topaz, which harnesses\nthe power of lightning to increase electricity\nresistance. A Great Fairy has increased\ntheir defense by three levels.
Armor_130_Head_Name	Topaz Earrings
Armor_130_Head_Desc	Earrings made with topaz, which harnesses\nthe power of lightning to increase electricity\nresistance. A Great Fairy has increased\ntheir defense by two levels.
Armor_129_Head_Name	Topaz Earrings
Armor_129_Head_Desc	Earrings made with topaz, which harnesses\nthe power of lightning to increase electricity\nresistance. A Great Fairy has increased\ntheir defense by one level.
Armor_027_Head_Name	Topaz Earrings
Armor_027_Head_Desc	Earrings made by Gerudo craft workers.\nThey're made with topaz, a gem that\nharnesses the power of lightning to increase\nelectricity resistance.
Armor_106_Head_Name	Rubber Helm
Armor_106_Head_Desc	An electricity-resistant helmet made from\nan ancient material called "rubber."\nA Great Fairy has increased its defense\nto its maximum level.
Armor_105_Head_Name	Rubber Helm
Armor_105_Head_Desc	An electricity-resistant helmet made from\nan ancient material called "rubber."\nA Great Fairy has increased its defense\nby three levels.
Armor_104_Head_Name	Rubber Helm
Armor_104_Head_Desc	An electricity-resistant helmet made from\nan ancient material called "rubber."\nA Great Fairy has increased its defense\nby two levels.
Armor_103_Head_Name	Rubber Helm
Armor_103_Head_Desc	An electricity-resistant helmet made from\nan ancient material called "rubber."\nA Great Fairy has increased its defense\nby one level.
Armor_046_Head_Name	Rubber Helm
Armor_046_Head_Desc	A helmet made from ancient techniques and\nelectricity-resistant material. It's made from\nsomething called "rubber," a material that\ncan no longer be found.
Armor_076_Head_Name	Flamebreaker Helm
Armor_076_Head_Desc	Stone headgear made for tourists by Goron\ncrafters. Not only is it flame resistant, but\nit also covers your entire head. A Great\nFairy has increased its level to maximum.
Armor_075_Head_Name	Flamebreaker Helm
Armor_075_Head_Desc	Stone headgear made for tourists by Goron\ncrafters. Not only is it flame resistant, but\nit also covers your entire head. A Great\nFairy has increased its level by three.
Armor_074_Head_Name	Flamebreaker Helm
Armor_074_Head_Desc	Stone headgear made for tourists by Goron\ncrafters. Not only is it flame resistant, but\nit also covers your entire head. A Great\nFairy has increased its level by two.
Armor_037_Head_Name	Flamebreaker Helm
Armor_037_Head_Desc	Stone headgear made for tourists by Goron\ncrafters. Not only is it flame resistant, but\nit also covers your entire head. A Great\nFairy has increased its level by one.
Armor_011_Head_Name	Flamebreaker Helm
Armor_011_Head_Desc	Stone headgear made by Goron craftsmen\nto protect tourists visiting Goron City. As if its\nflame resistance isn't enough of a selling\npoint, it also covers your entire head!
Armor_136_Head_Name	Opal Earrings
Armor_136_Head_Desc	Earrings containing opal, a gem that\nharnesses the power of water to increase\nyour swimming speed. A Great Fairy has\nincreased their defense to its maximum level.
Armor_135_Head_Name	Opal Earrings
Armor_135_Head_Desc	Earrings containing opal, a gem that\nharnesses the power of water to increase\nyour swimming speed. A Great Fairy has\nincreased their defense by three levels.
Armor_134_Head_Name	Opal Earrings
Armor_134_Head_Desc	Earrings containing opal, a gem that\nharnesses the power of water to increase\nyour swimming speed. A Great Fairy has\nincreased their defense by two levels.
Armor_133_Head_Name	Opal Earrings
Armor_133_Head_Desc	Earrings containing opal, a gem that\nharnesses the power of water to increase\nyour swimming speed. A Great Fairy has\nincreased their defense by one level.
Armor_028_Head_Name	Opal Earrings
Armor_028_Head_Desc	Earrings sold at Gerudo jewelry shops.\nThey contain opal, a gem that harnesses\nthe power of water to increase your\nswimming speed.
Armor_064_Head_Name	Zora Helm
Armor_064_Head_Desc	Zora headgear made from dragon scales.\nIncreases swimming speed and allows you to\n\x0e\0\x03\x02\x02\0spin\x0e\0\x03\x02ÿÿ to attack underwater. A Great Fairy has\nincreased its defense to its maximum level.
Armor_063_Head_Name	Zora Helm
Armor_063_Head_Desc	Zora headgear made from dragon scales.\nIncreases swimming speed and allows you to\n\x0e\0\x03\x02\x02\0spin\x0e\0\x03\x02ÿÿ to attack underwater. A Great Fairy has\nincreased its defense by three levels.
Armor_062_Head_Name	Zora Helm
Armor_062_Head_Desc	Zora headgear made from dragon scales.\nIncreases swimming speed and allows you to\n\x0e\0\x03\x02\x02\0spin\x0e\0\x03\x02ÿÿ to attack underwater. A Great Fairy has\nincreased its defense by two levels.
Armor_007_Head_Name	Zora Helm
Armor_007_Head_Desc	Zora headgear made from dragon scales.\nIncreases swimming speed and allows you to\n\x0e\0\x03\x02\x02\0spin\x0e\0\x03\x02ÿÿ to attack underwater. A Great Fairy has\nincreased its defense by one level.
Armor_006_Head_Name	Zora Helm
Armor_006_Head_Desc	Zora headgear made from dragon scales.\nIncreases swimming speed and allows you\nto \x0e\0\x03\x02\x02\0spin\x0e\0\x03\x02ÿÿ to attack underwater.
Armor_079_Head_Name	Stealth Mask
Armor_079_Head_Desc	A Sheikah-made mask that suppresses the\nnoisy rustling of clothes. Perfect for sneaking\nabout. A Great Fairy has increased\nits defense to its maximum level.
Armor_078_Head_Name	Stealth Mask
Armor_078_Head_Desc	A Sheikah-made mask that suppresses the\nnoisy rustling of clothes. Perfect for sneaking\nabout. A Great Fairy has increased\nits defense by three levels.
Armor_077_Head_Name	Stealth Mask
Armor_077_Head_Desc	A Sheikah-made mask that suppresses the\nnoisy rustling of clothes. Perfect for sneaking\nabout. A Great Fairy has increased\nits defense by two levels.
Armor_042_Head_Name	Stealth Mask
Armor_042_Head_Desc	A Sheikah-made mask that suppresses the\nnoisy rustling of clothes. Perfect for sneaking\nabout. A Great Fairy has increased\nits defense by one level.
Armor_012_Head_Name	Stealth Mask
Armor_012_Head_Desc	It may look like a regular cloth mask, but it\nwas made using Sheikah crafting techniques\nto suppress the noisy rustling of clothes.\nPerfect for sneaking about.
Armor_224_Head_Name	Sheik's Mask
Armor_224_Head_Desc	A mask said to have been worn by a Sheikah\nwho saved a time-traveling hero. Ideal for\nundercover work. A Great Fairy has\nincreased its defense to its maximum level.
Armor_223_Head_Name	Sheik's Mask
Armor_223_Head_Desc	A mask said to have been worn by a Sheikah\nwho saved a time-traveling hero. Ideal for\nundercover work. A Great Fairy has\nincreased its defense by three levels.
Armor_222_Head_Name	Sheik's Mask
Armor_222_Head_Desc	A mask said to have been worn by a Sheikah\nwho saved a time-traveling hero. Ideal for\nundercover work. A Great Fairy has\nincreased its defense by two levels.
Armor_221_Head_Name	Sheik's Mask
Armor_221_Head_Desc	A mask said to have been worn by a Sheikah\nwho saved a time-traveling hero. Ideal for\nundercover work. A Great Fairy has\nincreased its defense by one level.
Armor_220_Head_Name	Sheik's Mask
Armor_220_Head_Desc	A mask said to have been worn by a Sheikah\nwho saved a time-traveling hero. Made from\nthe finest of Sheikah stealth fabrics, it is\nthe final word in undercover gear.
Armor_115_Head_Name	Thunder Helm
Armor_115_Head_Desc	A precious heirloom passed down among the\nGerudo. It deflects lightning strikes and is\ntraditionally worn only by the Gerudo chief.
Armor_086_Head_Name	Climber's Bandanna
Armor_086_Head_Desc	This bandanna uses ancient technology\nthat enhances core strength to improve\nyour climbing ability. A Great Fairy\nincreased its defense to its maximum level.
Armor_085_Head_Name	Climber's Bandanna
Armor_085_Head_Desc	This bandanna uses ancient technology\nthat enhances core strength to improve\nyour climbing ability. A Great Fairy\nhas increased its defense by three levels.
Armor_084_Head_Name	Climber's Bandanna
Armor_084_Head_Desc	This bandanna uses ancient technology\nthat enhances core strength to improve\nyour climbing ability. A Great Fairy\nhas increased its defense by two levels.
Armor_083_Head_Name	Climber's Bandanna
Armor_083_Head_Desc	This bandanna uses ancient technology\nthat enhances core strength to improve\nyour climbing ability. A Great Fairy\nhas increased its defense by one level.
Armor_014_Head_Name	Climber's Bandanna
Armor_014_Head_Desc	It may look like a regular bandanna, but it's\nactually infused with ancient technology that\nenhances core strength to improve your\nclimbing ability.
Armor_114_Head_Name	Barbarian Helm
Armor_114_Head_Desc	A helmet once worn by the warriors of an\nancient warlike tribe from the Faron region.\nA Great Fairy has increased its defense to its\nmaximum level.
Armor_113_Head_Name	Barbarian Helm
Armor_113_Head_Desc	A helmet once worn by the warriors of an\nancient warlike tribe from the Faron region.\nA Great Fairy has increased its defense by\nthree levels.
Armor_112_Head_Name	Barbarian Helm
Armor_112_Head_Desc	A helmet once worn by the warriors of an\nancient warlike tribe from the Faron region.\nA Great Fairy has increased its defense by\ntwo levels.
Armor_111_Head_Name	Barbarian Helm
Armor_111_Head_Desc	A helmet once worn by the warriors of an\nancient warlike tribe from the Faron region.\nA Great Fairy has increased its defense by\none level.
Armor_048_Head_Name	Barbarian Helm
Armor_048_Head_Desc	A helmet once worn by the warriors of an\nancient warlike tribe from the Faron region.\nWearing it draws out your inner animal,\nincreasing your strength and battle prowess.
Armor_229_Head_Name	Fierce Deity Mask
Armor_229_Head_Desc	A mask worn by a hero from a world in which\nthe moon was falling, legends say. Wearing it\nprovides godlike power. A Great Fairy\nincreased its defense to its maximum level.
Armor_228_Head_Name	Fierce Deity Mask
Armor_228_Head_Desc	A mask worn by a hero from a world in which\nthe moon was falling, legends say. Wearing it\nprovides godlike power. A Great Fairy\nhas increased its defense by three levels.
Armor_227_Head_Name	Fierce Deity Mask
Armor_227_Head_Desc	A mask worn by a hero from a world in which\nthe moon was falling, legends say. Wearing it\nprovides godlike power. A Great Fairy\nhas increased its defense by two levels.
Armor_226_Head_Name	Fierce Deity Mask
Armor_226_Head_Desc	A mask worn by a hero from a world in which\nthe moon was falling, legends say. Wearing it\nprovides godlike power. A Great Fairy\nhas increased its defense by one level.
Armor_225_Head_Name	Fierce Deity Mask
Armor_225_Head_Desc	Legends say this mask was once worn by a\nhero from a world in which the moon\nthreatened to fall. It looks scary, but wearing\nit offers fierce, godlike power.
Armor_090_Head_Name	Radiant Mask
Armor_090_Head_Desc	A special mask for members of the Gerudo\nSecret Club that gives off a lurid, mysterious\nglow in the dark. A Great Fairy has\nincreased its defense to its maximum level.
Armor_089_Head_Name	Radiant Mask
Armor_089_Head_Desc	A special mask for members of the Gerudo\nSecret Club that gives off a lurid, mysterious\nglow in the dark. A Great Fairy has\nincreased its defense by three levels.
Armor_088_Head_Name	Radiant Mask
Armor_088_Head_Desc	A special mask for members of the Gerudo\nSecret Club that gives off a lurid, mysterious\nglow in the dark. A Great Fairy has\nincreased its defense by two levels.
Armor_087_Head_Name	Radiant Mask
Armor_087_Head_Desc	A special mask for members of the Gerudo\nSecret Club that gives off a lurid, mysterious\nglow in the dark. A Great Fairy has\nincreased its defense by one level.
Armor_017_Head_Name	Radiant Mask
Armor_017_Head_Desc	A special mask for members of the Gerudo\nSecret Club. Painted with dye made from\ncrushed luminous stones, it gives off a lurid,\nmysterious glow in the dark.
Armor_120_Head_Name	Diamond Circlet
Armor_120_Head_Desc	A headpiece set with a diamond, which uses\nthe power of light to reduce damage from\nancient enemies. A Great Fairy increased\nits defense to its maximum level.
Armor_119_Head_Name	Diamond Circlet
Armor_119_Head_Desc	A headpiece set with a diamond, which uses\nthe power of light to reduce damage from\nancient enemies. A Great Fairy has\nincreased its defense by three levels.
Armor_118_Head_Name	Diamond Circlet
Armor_118_Head_Desc	A headpiece set with a diamond, which uses\nthe power of light to reduce damage from\nancient enemies. A Great Fairy has\nincreased its defense by two levels.
Armor_117_Head_Name	Diamond Circlet
Armor_117_Head_Desc	A headpiece set with a diamond, which uses\nthe power of light to reduce damage from\nancient enemies. A Great Fairy has\nincreased its defense by one level.
Armor_024_Head_Name	Diamond Circlet
Armor_024_Head_Desc	A luxurious headpiece sold at Gerudo\njewelry shops. It's decorated with a diamond,\nwhich harnesses the power of light to reduce\ndamage received from ancient enemies.
Armor_102_Head_Name	Ancient Helm
Armor_102_Head_Desc	Headgear that uses Guardian parts to\ndecrease the damage from ancient energy\nattacks. A Great Fairy has increased its\ndefense to its maximum level.
Armor_101_Head_Name	Ancient Helm
Armor_101_Head_Desc	Headgear that uses Guardian parts to\ndecrease the damage from ancient energy\nattacks. A Great Fairy has increased its\ndefense by three levels.
Armor_100_Head_Name	Ancient Helm
Armor_100_Head_Desc	Headgear that uses Guardian parts to\ndecrease the damage from ancient energy\nattacks. A Great Fairy has increased its\ndefense by two levels.
Armor_099_Head_Name	Ancient Helm
Armor_099_Head_Desc	Headgear that uses Guardian parts to\ndecrease the damage from ancient energy\nattacks. A Great Fairy has increased its\ndefense by one level.
Armor_021_Head_Name	Ancient Helm
Armor_021_Head_Desc	This headgear is the result of Robbie's\nresearch. It uses Guardian parts to decrease\ndamage from ancient energy attacks.
Armor_022_Head_Name	Bokoblin Mask
Armor_022_Head_Desc	Kilton's handmade Bokoblin headgear. It's\nalmost charming in a cute, monstrous kind of\nway... Equip it to blend in with Bokoblins.
Armor_045_Head_Name	Moblin Mask
Armor_045_Head_Desc	Kilton's handmade Moblin headgear. It's\ndesigned to replicate the Moblin's distinct\nlong nose and large horn. Equip it to\nblend in with Moblins.
Armor_055_Head_Name	Lizalfos Mask
Armor_055_Head_Desc	Kilton's handmade Lizalfos headgear. It's\ndesigned to replicate the unique tongue and\nhorn of the Lizalfos. Equip it to blend in\nwith Lizalfos.
Armor_056_Head_Name	Lynel Mask
Armor_056_Head_Desc	Kilton's handmade Lynel headgear. It's so\nwell crafted, it can deceive a real Lynel.\nEquip it to blend in with Lynels, but don't\nlinger too long. Those beasts are smart.
Armor_160_Head_Name	Dark Hood
Armor_160_Head_Desc	This headgear is the product of Kilton's\nmonster research. He crafted it with a\nmonster born from the shadows in mind. The\neyes glow an eerie red in the dark.
Armor_204_Head_Name	Cap of Time
Armor_204_Head_Desc	According to legend, this cap was once\nworn by a hero who traveled through time.\nA Great Fairy has increased its defense\nto its maximum level.
Armor_203_Head_Name	Cap of Time
Armor_203_Head_Desc	According to legend, this cap was once\nworn by a hero who traveled through time.\nA Great Fairy has increased its defense\nby three levels.
Armor_202_Head_Name	Cap of Time
Armor_202_Head_Desc	According to legend, this cap was once\nworn by a hero who traveled through time.\nA Great Fairy has increased its defense\nby two levels.
Armor_201_Head_Name	Cap of Time
Armor_201_Head_Desc	According to legend, this cap was once\nworn by a hero who traveled through time.\nA Great Fairy has increased its defense\nby one level.
Armor_200_Head_Name	Cap of Time
Armor_200_Head_Desc	According to legend, this cap was once\nworn by a hero who traveled through time.\nA truly timeless item perfect for kids and\nadults alike!
Armor_209_Head_Name	Cap of the Wind
Armor_209_Head_Desc	According to legend, this cap was treasured\nby a hero who traveled the Great Sea.\nA Great Fairy has increased its\ndefense to its maximum level.
Armor_208_Head_Name	Cap of the Wind
Armor_208_Head_Desc	According to legend, this cap was treasured\nby a hero who traveled the Great Sea.\nA Great Fairy has increased its\ndefense by three levels.
Armor_207_Head_Name	Cap of the Wind
Armor_207_Head_Desc	According to legend, this cap was treasured\nby a hero who traveled the Great Sea.\nA Great Fairy has increased its\ndefense by two levels.
Armor_206_Head_Name	Cap of the Wind
Armor_206_Head_Desc	According to legend, this cap was treasured\nby a hero who traveled the Great Sea.\nA Great Fairy has increased its\ndefense by one level.
Armor_205_Head_Name	Cap of the Wind
Armor_205_Head_Desc	According to legend, this cap was treasured\nby a hero who traveled the Great Sea. It\nflaps quite serenely in a soft sea breeze.
Armor_214_Head_Name	Cap of Twilight
Armor_214_Head_Desc	According to legend, this cap was once worn\nby a hero who battled the monsters of\ntwilight. A Great Fairy has increased\nits defense to its maximum level.
Armor_213_Head_Name	Cap of Twilight
Armor_213_Head_Desc	According to legend, this cap was once worn\nby a hero who battled the monsters of\ntwilight. A Great Fairy has increased\nits defense by three levels.
Armor_212_Head_Name	Cap of Twilight
Armor_212_Head_Desc	According to legend, this cap was once worn\nby a hero who battled the monsters of\ntwilight. A Great Fairy has increased\nits defense by two levels.
Armor_211_Head_Name	Cap of Twilight
Armor_211_Head_Desc	According to legend, this cap was once worn\nby a hero who battled the monsters of\ntwilight. A Great Fairy has increased\nits defense by one level.
Armor_210_Head_Name	Cap of Twilight
Armor_210_Head_Desc	According to legend, this cap was once worn\nby a hero who battled the monsters of\ntwilight. For one reason or another, it\nseems to smell of some beast...
Armor_219_Head_Name	Cap of the Sky
Armor_219_Head_Desc	According to legend, this cap was once worn\nby a hero who appeared from the sky riding\na mighty bird. A Great Fairy has increased\nits defense to its maximum level.
Armor_218_Head_Name	Cap of the Sky
Armor_218_Head_Desc	According to legend, this cap was once worn\nby a hero who appeared from the sky riding\na mighty bird. A Great Fairy has increased\nits defense by three levels.
Armor_217_Head_Name	Cap of the Sky
Armor_217_Head_Desc	According to legend, this cap was once worn\nby a hero who appeared from the sky riding\na mighty bird. A Great Fairy has increased\nits defense by two levels.
Armor_216_Head_Name	Cap of the Sky
Armor_216_Head_Desc	According to legend, this cap was once worn\nby a hero who appeared from the sky riding\na mighty bird. A Great Fairy has increased\nits defense by one level.
Armor_215_Head_Name	Cap of the Sky
Armor_215_Head_Desc	According to legend, this cap was once worn\nby a hero who appeared from the sky riding\na mighty bird. Perfect for those who long\nto take to the skies.
Armor_234_Head_Name	Cap of the Hero
Armor_234_Head_Desc	According to legend, this cap was\nonce treasured by an ancient hero.\nA Great Fairy has increased its\ndefense to its maximum level.
Armor_233_Head_Name	Cap of the Hero
Armor_233_Head_Desc	According to legend, this cap was\nonce treasured by an ancient hero.\nA Great Fairy has increased its\ndefense by three levels.
Armor_232_Head_Name	Cap of the Hero
Armor_232_Head_Desc	According to legend, this cap was once\ntreasured by an ancient hero. A Great\nFairy has increased its defense by two levels.
Armor_231_Head_Name	Cap of the Hero
Armor_231_Head_Desc	According to legend, this cap was once\ntreasured by an ancient hero. A Great\nFairy has increased its defense by one level.
Armor_230_Head_Name	Cap of the Hero
Armor_230_Head_Desc	According to legend, this cap was once\ntreasured by an ancient hero. It's quite the\nsimple cap, yet there's something about it\nthat's just so appealing...
Armor_061_Head_Name	Cap of the Wild
Armor_061_Head_Desc	According to legend, this cap was crafted\nfor a hero who travels the wild lands.\nA Great Fairy has increased its defense\nto its maximum level.
Armor_060_Head_Name	Cap of the Wild
Armor_060_Head_Desc	According to legend, this cap was crafted\nfor a hero who travels the wild lands.\nA Great Fairy has increased its defense\nby three levels.
Armor_039_Head_Name	Cap of the Wild
Armor_039_Head_Desc	According to legend, this cap was crafted for\na hero who travels the wild lands. A Great\nFairy has increased its defense by two levels.
Armor_035_Head_Name	Cap of the Wild
Armor_035_Head_Desc	According to legend, this cap was crafted for\na hero who travels the wild lands. A Great\nFairy has increased its defense by one level.
Armor_005_Head_Name	Cap of the Wild
Armor_005_Head_Desc	According to legend, this cap was crafted for\na hero who travels the wild lands. Wearing it\njust feels so right.
Armor_176_Head_Name	Korok Mask
Armor_176_Head_Desc	A mask inspired by those fun-loving Koroks.\nIt shakes when one is hiding nearby.\nIt's a rather rare find.
Armor_172_Head_Name	Majora's Mask
Armor_172_Head_Desc	An eerie mask passed down from ancient\ntimes. Wearing it makes it harder for certain\nenemies to spot you. It's a rather rare find.
Armor_174_Head_Name	Tingle's Hood
Armor_174_Head_Desc	There was once a man who claimed to be\nthe very reincarnation of a fairy. He treasured\nthis hood, and so will you. After all, it's a\nrather rare find. Kooloo-Limpah!
Armor_173_Head_Name	Midna's Helmet
Armor_173_Head_Desc	A helmet much like the one Midna wore when\nshe fought alongside the Hero of Twilight.\nIt's a rather rare find.
Armor_171_Head_Name	Phantom Helmet
Armor_171_Head_Desc	Myths abound about armored phantoms that\nterrorized brave heroes. This helmet looks\njust like the ones they supposedly wore.\nIt's a rather rare find.
Armor_177_Head_Name	Ravio's Hood
Armor_177_Head_Desc	The hood of a traveling merchant who had a\nbracelet that could turn the wearer into a\npainting. Wearing it increases your sideways\nclimbing speed. It's a rather rare find.
Armor_178_Head_Name	Zant's Helmet
Armor_178_Head_Desc	The ruthless Usurper King of the Twilight\nRealm wore a helmet much like this one...\nIt's a rather rare find.
Armor_179_Head_Name	Royal Guard Cap
Armor_179_Head_Desc	This spiffy cap is part of the uniform for\nHyrule's Royal Guard. It's lighter than\nit looks and easy to move around in.\nIt's a rather rare find.
Armor_180_Head_Name	Phantom Ganon Skull
Armor_180_Head_Desc	Some believe this eerie headgear is inspirited\nby a dark entity resembling the Great King\nof Evil himself. It's a rather rare find.
Armor_189_Head_Name	Vah Ruta Divine Helm
Armor_189_Head_Desc	A treasure gifted to the one who controls\nDivine Beast Vah Ruta. It endows its user\nwith enhanced abilities. A Great Fairy has\nincreased its defense to its maximum level.
Armor_188_Head_Name	Vah Ruta Divine Helm
Armor_188_Head_Desc	A treasure gifted to the one who controls\nDivine Beast Vah Ruta. It endows its user\nwith enhanced abilities. A Great Fairy has\nincreased its defense by three levels.
Armor_187_Head_Name	Vah Ruta Divine Helm
