ActorType\ArmorHead.msbt
Armor_015_Head_Name	海利亚兜帽
Armor_138_Head_Desc	使用蕴含大地之力量的宝石琥珀所制成的耳坠。\n装备后因其加护，防御力会增加。\n通过大精灵的力量，能使防御力提高2级。
Armor_137_Head_Name	琥珀耳坠
Armor_137_Head_Desc	使用蕴含大地之力量的宝石琥珀所制成的耳坠。\n装备后因其加护，防御力会增加。\n通过大精灵的力量，能使防御力提高1级。
Armor_029_Head_Name	琥珀耳坠
Armor_029_Head_Desc	陈列在格鲁德珠宝店里的经典商品之一。\n使用蕴含大地之力量的宝石琥珀所制成的耳坠。\n装备后因其加护，防御力会增加。
Armor_124_Head_Name	红宝石头饰
Armor_124_Head_Desc	格鲁德的传统头饰。因蕴含火之力量的\n红宝石加护，会发挥耐寒效果。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_123_Head_Name	红宝石头饰
Armor_123_Head_Desc	格鲁德的传统头饰。因蕴含火之力量的\n红宝石加护，会发挥耐寒效果。\n通过大精灵的力量，能使防御力提高3级。
Armor_122_Head_Name	红宝石头饰
Armor_122_Head_Desc	格鲁德的传统头饰。因蕴含火之力量的\n红宝石加护，会发挥耐寒效果。\n通过大精灵的力量，能使防御力提高2级。
Armor_121_Head_Name	红宝石头饰
Armor_121_Head_Desc	格鲁德的传统头饰。因蕴含火之力量的\n红宝石加护，会发挥耐寒效果。\n通过大精灵的力量，能使防御力提高1级。
Armor_025_Head_Name	红宝石头饰
Armor_025_Head_Desc	由格鲁德的宝石工匠打造的传统头饰。\n因蕴含火之力量的红宝石加护，\n戴在头上就会发挥耐寒效果。
Armor_073_Head_Name	防雪羽饰
Armor_073_Head_Desc	由雪鸟的羽毛和红宝石搭配而成的\n利特族的羽饰。有加强防寒的效果。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_072_Head_Name	防雪羽饰
Armor_072_Head_Desc	由雪鸟的羽毛和红宝石搭配而成的\n利特族的羽饰。有加强防寒的效果。\n通过大精灵的力量，能使防御力提高3级。
Armor_071_Head_Name	防雪羽饰
Armor_071_Head_Desc	由雪鸟的羽毛和红宝石搭配而成的\n利特族的羽饰。有加强防寒的效果。\n通过大精灵的力量，能使防御力提高2级。
Armor_036_Head_Name	防雪羽饰
Armor_036_Head_Desc	由雪鸟的羽毛和红宝石搭配而成的\n利特族的羽饰。有加强防寒的效果。\n通过大精灵的力量，能使防御力提高1级。
Armor_009_Head_Name	防雪羽饰
Armor_009_Head_Desc	由雪鸟的优质羽毛和蕴含火之力量的红宝石\n搭配而成的利特族羽饰。\n戴在身上就会有加强防寒的效果。
Armor_128_Head_Name	蓝宝石头饰
Armor_128_Head_Desc	格鲁德的精巧头饰。据说蓝宝石蕴含着\n冰之力量，因其加护，会发挥耐热效果。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_127_Head_Name	蓝宝石头饰
Armor_127_Head_Desc	格鲁德的精巧头饰。据说蓝宝石蕴含着\n冰之力量，因其加护，会发挥耐热效果。\n通过大精灵的力量，能使防御力提高3级。
Armor_126_Head_Name	蓝宝石头饰
Armor_126_Head_Desc	格鲁德的精巧头饰。据说蓝宝石蕴含着\n冰之力量，因其加护，会发挥耐热效果。\n通过大精灵的力量，能使防御力提高2级。
Armor_125_Head_Name	蓝宝石头饰
Armor_125_Head_Desc	格鲁德的精巧头饰。据说蓝宝石蕴含着\n冰之力量，因其加护，会发挥耐热效果。\n通过大精灵的力量，能使防御力提高1级。
Armor_026_Head_Name	蓝宝石头饰
Armor_026_Head_Desc	以格鲁德的雕金技术制作而成的精巧头饰。\n据说蓝宝石蕴含着冰之力量，\n装备后因其加护，会发挥耐热效果。
Armor_067_Head_Name	热沙护额
Armor_067_Head_Desc	格鲁德族制作的男性用防具。额头上的蓝宝石\n蕴含着冰之力量，因其加护，会发挥耐热效果。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_066_Head_Name	热沙护额
Armor_066_Head_Desc	格鲁德族制作的男性用防具。额头上的蓝宝石\n蕴含着冰之力量，因其加护，会发挥耐热效果。\n通过大精灵的力量，能使防御力提高3级。
Armor_065_Head_Name	热沙护额
Armor_065_Head_Desc	格鲁德族制作的男性用防具。额头上的蓝宝石\n蕴含着冰之力量，因其加护，会发挥耐热效果。\n通过大精灵的力量，能使防御力提高2级。
Armor_040_Head_Name	热沙护额
Armor_040_Head_Desc	格鲁德族制作的男性用防具。额头上的蓝宝石\n蕴含着冰之力量，因其加护，会发挥耐热效果。\n通过大精灵的力量，能使防御力提高1级。
Armor_008_Head_Name	热沙护额
Armor_008_Head_Desc	在格鲁德秘密俱乐部里偷偷售卖的男性用防具。\n额头上镶嵌的蓝宝石蕴含着冰之力量，\n因其加护，会发挥耐热效果。
Armor_053_Head_Name	淑女面罩
Armor_053_Head_Desc	格鲁德族女性携带的面罩。\n它可以抵挡沙漠日晒保护肌肤，\n但不能指望它在战斗中起到防具的作用。
Armor_132_Head_Name	黄玉耳坠
Armor_132_Head_Desc	在格鲁德加工的耳坠。据说因蕴含\n雷之力量的黄玉加护，会发挥耐电效果。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_131_Head_Name	黄玉耳坠
Armor_131_Head_Desc	在格鲁德加工的耳坠。据说因蕴含\n雷之力量的黄玉加护，会发挥耐电效果。\n通过大精灵的力量，能使防御力提高3级。
Armor_130_Head_Name	黄玉耳坠
Armor_130_Head_Desc	在格鲁德加工的耳坠。据说因蕴含\n雷之力量的黄玉加护，会发挥耐电效果。\n通过大精灵的力量，能使防御力提高2级。
Armor_129_Head_Name	黄玉耳坠
Armor_129_Head_Desc	在格鲁德加工的耳坠。据说因蕴含\n雷之力量的黄玉加护，会发挥耐电效果。\n通过大精灵的力量，能使防御力提高1级。
Armor_027_Head_Name	黄玉耳坠
Armor_027_Head_Desc	格鲁德的宝石工匠将据说蕴含着\n雷之力量的黄玉加工成耳坠。\n戴上之后因其加护，会发挥耐电效果。
Armor_106_Head_Name	橡胶头盔
Armor_106_Head_Desc	据说是使用橡胶这种不容易导电的\n特殊材料制成的帽子，具有耐电性能。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_105_Head_Name	橡胶头盔
Armor_105_Head_Desc	据说是使用橡胶这种不容易导电的\n特殊材料制成的帽子，具有耐电性能。\n通过大精灵的力量，能使防御力提高3级。
Armor_104_Head_Name	橡胶头盔
Armor_104_Head_Desc	据说是使用橡胶这种不容易导电的\n特殊材料制成的帽子，具有耐电性能。\n通过大精灵的力量，能使防御力提高2级。
Armor_103_Head_Name	橡胶头盔
Armor_103_Head_Desc	据说是使用橡胶这种不容易导电的\n特殊材料制成的帽子，具有耐电性能。\n通过大精灵的力量，能使防御力提高1级。
Armor_046_Head_Name	橡胶头盔
Armor_046_Head_Desc	以古代技术制成的具有耐电性能的帽子。\n好像是用已失传的橡胶这种\n不容易导电的特殊材料制成的。
Armor_076_Head_Name	耐火石盔
Armor_076_Head_Desc	鼓隆族的工匠面向观光客制作的石制头盔。\n可以整个套在头上，具有耐火性能。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_075_Head_Name	耐火石盔
Armor_075_Head_Desc	鼓隆族的工匠面向观光客制作的石制头盔。\n可以整个套在头上，具有耐火性能。\n通过大精灵的力量，能使防御力提高3级。
Armor_074_Head_Name	耐火石盔
Armor_074_Head_Desc	鼓隆族的工匠面向观光客制作的石制头盔。\n可以整个套在头上，具有耐火性能。\n通过大精灵的力量，能使防御力提高2级。
Armor_037_Head_Name	耐火石盔
Armor_037_Head_Desc	鼓隆族的工匠面向观光客制作的石制头盔。\n可以整个套在头上，具有耐火性能。\n通过大精灵的力量，能使防御力提高1级。
Armor_011_Head_Name	耐火石盔
Armor_011_Head_Desc	鼓隆族的工匠面向拜访鼓隆城的观光客\n而打造的石制头盔。\n可以整个套在头上，具有耐火性能。
Armor_136_Head_Name	蛋白石耳坠
Armor_136_Head_Desc	因蕴含水之力量的蛋白石耳坠加护，\n戴上之后，会提升游泳速度。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_135_Head_Name	蛋白石耳坠
Armor_135_Head_Desc	因蕴含水之力量的蛋白石耳坠加护，\n戴上之后，会提升游泳速度。\n通过大精灵的力量，能使防御力提高3级。
Armor_134_Head_Name	蛋白石耳坠
Armor_134_Head_Desc	因蕴含水之力量的蛋白石耳坠加护，\n戴上之后，会提升游泳速度。\n通过大精灵的力量，能使防御力提高2级。
Armor_133_Head_Name	蛋白石耳坠
Armor_133_Head_Desc	因蕴含水之力量的蛋白石耳坠加护，\n戴上之后，会提升游泳速度。\n通过大精灵的力量，能使防御力提高1级。
Armor_028_Head_Name	蛋白石耳坠
Armor_028_Head_Desc	在格鲁德珠宝店里出售的耳坠。\n因蕴含水之力量的蛋白石加护，\n戴上之后，会提升游泳速度。
Armor_064_Head_Name	卓拉头盔
Armor_064_Head_Desc	卓拉头盔拥有龙鳞之力，不仅能提高\n游泳速度，还能让佩戴者使出\x0e\0\x03\x02\x02\0旋转攻击\x0e\0\x03\x02ÿÿ。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_063_Head_Name	卓拉头盔
Armor_063_Head_Desc	卓拉头盔拥有龙鳞之力，不仅能提高\n游泳速度，还能让佩戴者使出\x0e\0\x03\x02\x02\0旋转攻击\x0e\0\x03\x02ÿÿ。\n通过大精灵的力量，能使防御力提高3级。
Armor_062_Head_Name	卓拉头盔
Armor_062_Head_Desc	卓拉头盔拥有龙鳞之力，不仅能提高\n游泳速度，还能让佩戴者使出\x0e\0\x03\x02\x02\0旋转攻击\x0e\0\x03\x02ÿÿ。\n通过大精灵的力量，能使防御力提高2级。
Armor_007_Head_Name	卓拉头盔
Armor_007_Head_Desc	卓拉头盔拥有龙鳞之力，不仅能提高\n游泳速度，还能让佩戴者使出\x0e\0\x03\x02\x02\0旋转攻击\x0e\0\x03\x02ÿÿ。\n通过大精灵的力量，能使防御力提高1级。
Armor_006_Head_Name	卓拉头盔
Armor_006_Head_Desc	卓拉族自古留传下来的头盔。\n据说使用龙鳞制成，可以提高游泳的速度。\n游泳时还能使出\x0e\0\x03\x02\x02\0旋转攻击\x0e\0\x03\x02ÿÿ。
Armor_079_Head_Name	潜行面罩
Armor_079_Head_Desc	采用希卡族的技术，对彻底抑制衣服摩擦的声音\n下了一番功夫的面罩。最适合隐秘行动。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_078_Head_Name	潜行面罩
Armor_078_Head_Desc	采用希卡族的技术，对彻底抑制衣服摩擦的声音\n下了一番功夫的面罩。最适合隐秘行动。\n通过大精灵的力量，能使防御力提高3级。
Armor_077_Head_Name	潜行面罩
Armor_077_Head_Desc	采用希卡族的技术，对彻底抑制衣服摩擦的声音\n下了一番功夫的面罩。最适合隐秘行动。\n通过大精灵的力量，能使防御力提高2级。
Armor_042_Head_Name	潜行面罩
Armor_042_Head_Desc	采用希卡族的技术，对彻底抑制衣服摩擦的声音\n下了一番功夫的面罩。最适合隐秘行动。\n通过大精灵的力量，能使防御力提高1级。
Armor_012_Head_Name	潜行面罩
Armor_012_Head_Desc	看着像是普通的织布面罩，但其实是\n采用希卡族的技术，对彻底抑制衣服摩擦的声音\n下了一番功夫。最适合隐秘行动。
Armor_224_Head_Name	希克面罩
Armor_224_Head_Desc	据说是希卡族所佩戴的面罩，他们帮助过\n一个穿越时空而来的勇者。最适合隐秘行动。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_223_Head_Name	希克面罩
Armor_223_Head_Desc	据说是希卡族所佩戴的面罩，他们帮助过\n一个穿越时空而来的勇者。最适合隐秘行动。\n通过大精灵的力量，能使防御力提高3级。
Armor_222_Head_Name	希克面罩
Armor_222_Head_Desc	据说是希卡族所佩戴的面罩，他们帮助过\n一个穿越时空而来的勇者。最适合隐秘行动。\n通过大精灵的力量，能使防御力提高2级。
Armor_221_Head_Name	希克面罩
Armor_221_Head_Desc	据说是希卡族所佩戴的面罩，他们帮助过\n一个穿越时空而来的勇者。最适合隐秘行动。\n通过大精灵的力量，能使防御力提高1级。
Armor_220_Head_Name	希克面罩
Armor_220_Head_Desc	据说是希卡族所佩戴的面罩，他们帮助过\n一个穿越时空而来的勇者。静音性能好。\n用的是希卡之布，最适合隐秘行动。
Armor_115_Head_Name	雷鸣头盔
Armor_115_Head_Desc	作为格鲁德族的神器而代代相传的头盔。\n据说能够弹开一切雷击，只有格鲁德的族长\n才能正确驾驭此力。
Armor_086_Head_Name	攀登头巾
Armor_086_Head_Desc	用的是古代技术，可以调整佩戴者的身体平衡，\n并提高爬墙能力的头巾。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_085_Head_Name	攀登头巾
Armor_085_Head_Desc	用的是古代技术，可以调整佩戴者的身体平衡，\n并提高爬墙能力的头巾。\n通过大精灵的力量，能使防御力提高3级。
Armor_084_Head_Name	攀登头巾
Armor_084_Head_Desc	用的是古代技术，可以调整佩戴者的身体平衡，\n并提高爬墙能力的头巾。\n通过大精灵的力量，能使防御力提高2级。
Armor_083_Head_Name	攀登头巾
Armor_083_Head_Desc	用的是古代技术，可以调整佩戴者的身体平衡，\n并提高爬墙能力的头巾。\n通过大精灵的力量，能使防御力提高1级。
Armor_014_Head_Name	攀登头巾
Armor_014_Head_Desc	看上去只是一块头巾，但其实是使用了\n古代的技术，可以调整佩戴者的身体平衡，\n并提高爬墙能力。
Armor_114_Head_Name	蛮族头盔
Armor_114_Head_Desc	战斗部族的头盔。刻在上面的古文\n能够让被戴者鼓舞精神，增加攻击力。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_113_Head_Name	蛮族头盔
Armor_113_Head_Desc	战斗部族的头盔。刻在上面的古文\n能够让被戴者鼓舞精神，增加攻击力。\n通过大精灵的力量，能使防御力提高3级。
Armor_112_Head_Name	蛮族头盔
Armor_112_Head_Desc	战斗部族的头盔。刻在上面的古文\n能够让被戴者鼓舞精神，增加攻击力。\n通过大精灵的力量，能使防御力提高2级。
Armor_111_Head_Name	蛮族头盔
Armor_111_Head_Desc	战斗部族的头盔。刻在上面的古文\n能够让被戴者鼓舞精神，增加攻击力。\n通过大精灵的力量，能使防御力提高1级。
Armor_048_Head_Name	蛮族头盔
Armor_048_Head_Desc	据说是太古时代居住在费罗尼地区的\n战斗部族的头盔。刻在上面的古文\n能够让被戴者鼓舞精神，增加攻击力。
Armor_229_Head_Name	鬼神帽子
Armor_229_Head_Desc	落月世界的勇者所携带的防具。\n戴上之后，身体里会涌出鬼神般的力量。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_228_Head_Name	鬼神帽子
Armor_228_Head_Desc	落月世界的勇者所携带的防具。\n戴上之后，身体里会涌出鬼神般的力量。\n通过大精灵的力量，能使防御力提高3级。
Armor_227_Head_Name	鬼神帽子
Armor_227_Head_Desc	落月世界的勇者所携带的防具。\n戴上之后，身体里会涌出鬼神般的力量。\n通过大精灵的力量，能使防御力提高2级。
Armor_226_Head_Name	鬼神帽子
Armor_226_Head_Desc	落月世界的勇者所携带的防具。\n戴上之后，身体里会涌出鬼神般的力量。\n通过大精灵的力量，能使防御力提高1级。
Armor_225_Head_Name	鬼神帽子
Armor_225_Head_Desc	落月世界的勇者所携带的防具。\n看上去有些恐怖，但戴上之后，\n身体里会涌出鬼神般的力量。
Armor_090_Head_Name	夜光面罩
Armor_090_Head_Desc	格鲁德秘密俱乐部的特制面罩。\n上面涂有夜光石经研磨萃取后的染料。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_089_Head_Name	夜光面罩
Armor_089_Head_Desc	格鲁德秘密俱乐部的特制面罩。\n上面涂有夜光石经研磨萃取后的染料。\n通过大精灵的力量，能使防御力提高3级。
Armor_088_Head_Name	夜光面罩
Armor_088_Head_Desc	格鲁德秘密俱乐部的特制面罩。\n上面涂有夜光石经研磨萃取后的染料。\n通过大精灵的力量，能使防御力提高2级。
Armor_087_Head_Name	夜光面罩
Armor_087_Head_Desc	格鲁德秘密俱乐部的特制面罩。\n上面涂有夜光石经研磨萃取后的染料。\n通过大精灵的力量，能使防御力提高1级。
Armor_017_Head_Name	夜光面罩
Armor_017_Head_Desc	格鲁德秘密俱乐部的特制面罩。\n上面涂有夜光石经研磨萃取后的染料。\n在黑暗中会发出朦胧的光，满满的诡异。
Armor_120_Head_Name	钻石头饰
Armor_120_Head_Desc	因蕴含光之力量的钻石加护，\n还能减轻从古代敌人那受到的伤害。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_119_Head_Name	钻石头饰
Armor_119_Head_Desc	因蕴含光之力量的钻石加护，\n还能减轻从古代敌人那受到的伤害。\n通过大精灵的力量，能使防御力提高3级。
Armor_118_Head_Name	钻石头饰
Armor_118_Head_Desc	因蕴含光之力量的钻石加护，\n还能减轻从古代敌人那受到的伤害。\n通过大精灵的力量，能使防御力提高2级。
Armor_117_Head_Name	钻石头饰
Armor_117_Head_Desc	因蕴含光之力量的钻石加护，\n还能减轻从古代敌人那受到的伤害。\n通过大精灵的力量，能使防御力提高1级。
Armor_024_Head_Name	钻石头饰
Armor_024_Head_Desc	在格鲁德珠宝店里出售的豪华头饰。\n因蕴含光之力量的钻石加护，\n还能减轻从古代敌人那受到的伤害。
Armor_102_Head_Name	古代兵装·头盔
Armor_102_Head_Desc	用守护者的零件加工而成的头盔。\n具有减轻古代能量攻击的效果。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_101_Head_Name	古代兵装·头盔
Armor_101_Head_Desc	用守护者的零件加工而成的头盔。\n具有减轻古代能量攻击的效果。\n通过大精灵的力量，能使防御力提高3级。
Armor_100_Head_Name	古代兵装·头盔
Armor_100_Head_Desc	用守护者的零件加工而成的头盔。\n具有减轻古代能量攻击的效果。\n通过大精灵的力量，能使防御力提高2级。
Armor_099_Head_Name	古代兵装·头盔
Armor_099_Head_Desc	用守护者的零件加工而成的头盔。\n具有减轻古代能量攻击的效果。\n通过大精灵的力量，能使防御力提高1级。
Armor_021_Head_Name	古代兵装·头盔
Armor_021_Head_Desc	可以说这个头盔是洛贝利研究成果的结晶。\n用守护者的零件加工而成，\n具有减轻古代能量攻击的效果。
Armor_022_Head_Name	波克布林面罩
Armor_022_Head_Desc	吉尔顿亲手制作的波克布林面罩。\n做得相当可爱。\n戴上之后，很难被波克布林发现。
Armor_045_Head_Name	莫力布林面罩
Armor_045_Head_Desc	吉尔顿亲手制作的莫力布林面罩。\n特色的长鼻子和大大的角都被再现出来。\n戴上之后，很难被莫力布林发现。
Armor_055_Head_Name	蜥蜴战士面罩
Armor_055_Head_Desc	吉尔顿亲手制作的蜥蜴战士面罩。\n形状复杂的角和舌头都被制作得栩栩如生。\n戴上之后，很难被蜥蜴战士发现。
Armor_056_Head_Name	莱尼尔面罩
Armor_056_Head_Desc	吉尔顿亲手制作的莱尼尔面罩。\n惟妙惟肖，甚至能骗过莱尼尔的眼睛。\n戴上之后，很难被它发现。
Armor_160_Head_Name	黑暗头套
Armor_160_Head_Desc	活用了吉尔顿怪物研究成果的防具。\n好像是以影子里诞生的怪物为原型设计的。\n红色眼睛还会在黑暗中发出诡异的光。
Armor_204_Head_Name	时光之勇者帽子
Armor_204_Head_Desc	据说是穿越时空而来的勇者所佩戴的帽子。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_203_Head_Name	时光之勇者帽子
Armor_203_Head_Desc	据说是穿越时空而来的勇者所佩戴的帽子。\n通过大精灵的力量，能使防御力提高3级。
Armor_202_Head_Name	时光之勇者帽子
Armor_202_Head_Desc	据说是穿越时空而来的勇者所佩戴的帽子。\n通过大精灵的力量，能使防御力提高2级。
Armor_201_Head_Name	时光之勇者帽子
Armor_201_Head_Desc	据说是穿越时空而来的勇者所佩戴的帽子。\n通过大精灵的力量，能使防御力提高1级。
Armor_200_Head_Name	时光之勇者帽子
Armor_200_Head_Desc	据说是穿越时空而来的勇者所佩戴的帽子。\n无论是小孩还是大人都想戴的精品。
Armor_209_Head_Name	风之勇者帽子
Armor_209_Head_Desc	据说是在大海上旅行的勇者爱戴的帽子。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_208_Head_Name	风之勇者帽子
Armor_208_Head_Desc	据说是在大海上旅行的勇者爱戴的帽子。\n通过大精灵的力量，能使防御力提高3级。
Armor_207_Head_Name	风之勇者帽子
Armor_207_Head_Desc	据说是在大海上旅行的勇者爱戴的帽子。\n通过大精灵的力量，能使防御力提高2级。
Armor_206_Head_Name	风之勇者帽子
Armor_206_Head_Desc	据说是在大海上旅行的勇者爱戴的帽子。\n通过大精灵的力量，能使防御力提高1级。
Armor_205_Head_Name	风之勇者帽子
Armor_205_Head_Desc	据说是在大海上旅行的勇者爱戴的帽子。\n经常随着柔和的海风飘动。
Armor_214_Head_Name	黄昏之勇者帽子
Armor_214_Head_Desc	据说是和黄昏怪物战斗的勇者所佩戴的帽子。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_213_Head_Name	黄昏之勇者帽子
Armor_213_Head_Desc	据说是和黄昏怪物战斗的勇者所佩戴的帽子。\n通过大精灵的力量，能使防御力提高3级。
Armor_212_Head_Name	黄昏之勇者帽子
Armor_212_Head_Desc	据说是和黄昏怪物战斗的勇者所佩戴的帽子。\n通过大精灵的力量，能使防御力提高2级。
Armor_211_Head_Name	黄昏之勇者帽子
Armor_211_Head_Desc	据说是和黄昏怪物战斗的勇者所佩戴的帽子。\n通过大精灵的力量，能使防御力提高1级。
Armor_210_Head_Name	黄昏之勇者帽子
Armor_210_Head_Desc	据说是和黄昏怪物战斗的勇者所佩戴的帽子。\n不知为何，有股野兽的臭味。
Armor_219_Head_Name	天空之勇者帽子
Armor_219_Head_Desc	据说是乘着大鸟从空中\n出现的勇者经常戴着的帽子。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_218_Head_Name	天空之勇者帽子
Armor_218_Head_Desc	据说是乘着大鸟从空中\n出现的勇者经常戴着的帽子。\n通过大精灵的力量，能使防御力提高3级。
Armor_217_Head_Name	天空之勇者帽子
Armor_217_Head_Desc	据说是乘着大鸟从空中\n出现的勇者经常戴着的帽子。\n通过大精灵的力量，能使防御力提高2级。
Armor_216_Head_Name	天空之勇者帽子
Armor_216_Head_Desc	据说是乘着大鸟从空中\n出现的勇者经常戴着的帽子。\n通过大精灵的力量，能使防御力提高1级。
Armor_215_Head_Name	天空之勇者帽子
Armor_215_Head_Desc	据说是乘着大鸟从空中\n出现的勇者经常戴着的帽子。\n是一顶适合空中飞行时佩戴的精品。
Armor_234_Head_Name	初始之勇者帽子
Armor_234_Head_Desc	据说是古代勇者爱戴的帽子。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_233_Head_Name	初始之勇者帽子
Armor_233_Head_Desc	据说是古代勇者爱戴的帽子。\n通过大精灵的力量，能使防御力提高3级。
Armor_232_Head_Name	初始之勇者帽子
Armor_232_Head_Desc	据说是古代勇者爱戴的帽子。\n通过大精灵的力量，能使防御力提高2级。
Armor_231_Head_Name	初始之勇者帽子
Armor_231_Head_Desc	据说是古代勇者爱戴的帽子。\n通过大精灵的力量，能使防御力提高1级。
Armor_230_Head_Name	初始之勇者帽子
Armor_230_Head_Desc	据说是古代勇者爱戴的帽子。\n虽说制作简单，但也是其魅力所在的一款精品。
Armor_061_Head_Name	旷野之勇者帽子
Armor_061_Head_Desc	据说是为旷野之旅的勇者量身定做的帽子。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_060_Head_Name	旷野之勇者帽子
Armor_060_Head_Desc	据说是为旷野之旅的勇者量身定做的帽子。\n通过大精灵的力量，能使防御力提高3级。
Armor_039_Head_Name	旷野之勇者帽子
Armor_039_Head_Desc	据说是为旷野之旅的勇者量身定做的帽子。\n通过大精灵的力量，能使防御力提高2级。
Armor_035_Head_Name	旷野之勇者帽子
Armor_035_Head_Desc	据说是为旷野之旅的勇者量身定做的帽子。\n通过大精灵的力量，能使防御力提高1级。
Armor_005_Head_Name	旷野之勇者帽子
Armor_005_Head_Desc	据说是为旷野之旅的勇者量身定做的帽子。\n不知为何，总觉得戴着特别合适。
Armor_176_Head_Name	克洛格的面具
Armor_176_Head_Desc	仿照克洛格们戴着的面具制作而成。\n如果有克洛格隐藏在附近，就会咯噔咯噔地摇晃。\n这样的珍品并非轻易就能得到。
Armor_172_Head_Name	魔吉拉的面具
Armor_172_Head_Desc	从太古时期留传下来的面具。\n戴上它的话，有些怪物就不容易发现自己。\n这样的珍品并非轻易就能得到。
Armor_174_Head_Name	汀空的头巾
Armor_174_Head_Desc	向往成为精灵的男子所爱佩戴的头巾。\n好像对于那个男子来说，绿色是精灵的象征。\n貌似这样的物品并非轻易就能得到。
Armor_173_Head_Name	米多娜的王冠
Armor_173_Head_Desc	据说是和黄昏勇者一起为海拉鲁而战的\n影子女王所佩戴的王冠。\n这样的珍贵物品并非轻易就能得到。
Armor_171_Head_Name	幻影头盔
Armor_171_Head_Desc	据说是以前甲胄怪物所戴的，\n连勇者都觉得毛骨悚然，令人害怕的头盔。\n这样的珍贵物品并非轻易就能得到。
Armor_177_Head_Name	罗维奥的头巾
Armor_177_Head_Desc	戴上神奇手镯就能变成壁画的旅行商人的头巾。\n虽然这个无法变成壁画，但横向攀爬速度很快。\n这样的珍品并非轻易就能得到。
Armor_178_Head_Name	藏特头盔
