AbilityList.msbt
$TownAbilityListAttackText	攻擊力
CopyAbility_Detail_VolcanoFire	轟地一聲，火山要爆發了！\n大地的地熱造就了威力強大的烈火！\n砰砰砰地發射岩漿子彈，\n命中目標後連大地也熊熊燃燒化作焦土！
CopyAbility_Detail_DragonFire	奇幻的怪物終於現身了！\n呼出氣息宛如火焰噴射器，\n釋放燃燒攻擊時會拍動翅膀！\n長按時就像龍在空中滑翔飛舞！
CopyAbility_Detail_Hammer	威力超群，強而有力的錘子。\n雖然攻擊距離短了一點點，\n卻能夠把樁和敵人都打扁！\n長按進行蓄力，必殺技……鬼殺！
CopyAbility_Detail_ToyHammer	會發出嗶嗶聲，非常可愛的錘子。\n但這可不是玩具喔！\n不論樁還是敵人都會被打得扁扁的，\n連射能力也一舉獲得提升！
CopyAbility_Detail_RockHammer	又重又堅硬，狂野無比的錘子！\n雖然不太具備連續攻擊的能力……\n但能夠使出敲下去就讓大地龜裂，\n十分疼痛的一擊，造成巨大的傷害！
CopyAbility_Detail_DededeHammer	自稱大王的那位所拿的錘子！\n變身狂野的蒙面俠後，\n雙手使出威力十足的強勢攻擊！\n就用這最強的錘子，來……上吧！
CopyAbility_Detail_Ice	好冷喔～！使用吐息，呼～呼～呼～\n把冰塊踢飛吧！\n使用溜冰衝刺輕快地移動，\n不論在泥沼還是岩漿上都能迅速衝刺！
CopyAbility_Detail_FrostyIce	戴著可愛帽子的冰霜冰凍。\n呼～呼～吹出吐息，\n創造出一個又一個的雪人。\n哎呀，長相都一模一樣呢！
CopyAbility_Detail_BlizzardIce	帶來嚴寒暴雪的暴風雪！\n帥氣的帽子是冰之頭冠。\n不斷吹出寒冰吐息，並使用冰錐攻擊，\n是最強的冰凍能力！
CopyAbility_Detail_Needle	滾來滾去～滾來滾去～\n利用碰到會很～痛的尖刺攻擊敵人！\n刺中並捲入星星或敵人，\n最後一口氣放開，讓所有東西受到撞擊吧！
CopyAbility_Detail_JunkNeedle	使用廢品素材連續戳刺，\n滾動的針碰到可是會更痛的喔！\n砰地發射後，無數的廢品刺\n會飛向四周，好痛好痛！
CopyAbility_Detail_CrystalNeedle	由天然素材構成，硬邦邦的水晶。\n只要一釋放，水晶就會四處飛散！\n滾動的時間也會變得更～長，\n在地上留下尖刺陷阱吧！
CopyAbility_Detail_Ranger	星星子彈發射！\n閃耀光芒的射擊，距離可是很遠的喔。\n戴上威風凜凜的探險帽，\n選定目標後蓄力，發射！
CopyAbility_Detail_EliteRanger	頭戴貴族帽子，造型華麗的探巡隊。\n雙手各拿著連發槍！\n蓄力射擊也變成連續射擊，\n不放過任何目標，一定會命中紅心！
CopyAbility_Detail_SpaceRanger	飛向宇宙吧！太空探巡隊！\n從雷射槍到雷射光束一應俱全！\n閃耀光芒的子彈只要擊中敵人\n就能連續命中，傷害也會倍增！
CopyAbility_Detail_Sleep	再睡1分鐘……Zzz……\n讓我……再睡一下嘛……好睏……Zz……\n睡覺期間……會回復……一點點……\nZz……Zz……z……
CopyAbility_Detail_DeepSleep	迷迷糊糊……Zzz……\n走向……床邊……鑽進被窩……Zz……\n起床以後……會拿出……真本事的……\nZz……Zz……z……
CopyAbility_Detail_Sword	戴著綠色帽子的劍之勇者\n朝著新世界前進！\n不但能斬斷各種東西，還能累積威力，\n目標是成為新‧世界的利劍大師！
CopyAbility_Detail_GigantSword	巨大的利劍真不愧龐大利劍之名！\n雖然有點重所以拿起來很辛苦，\n但防禦堪稱鐵壁！能夠架起盾牌，\n緩慢前進保護自己並不斷進攻！
CopyAbility_Detail_MetaSword	感覺就像變成了對手的魅塔騎士利劍！\n體力足夠時還能發出射擊。\n滑壘後用跳躍向上躍起使出連擊，\n帥氣地決定勝負！
CopyAbility_Detail_MorphoSword	在決戰中為執行審判而現身的夢蝶。\n雖然這是模仿其外型、令人畏懼的紅色能力，\n不過連惡夢都能一口吃掉的卡比，\n應該能輕易地熟練使用此能力吧。
CopyAbility_Detail_Tornado	轉啊轉，轉啊轉地轉個不停！\n別具特色的操作雖然讓人頭昏眼花，\n但不論是敵人、方塊還是星星都能捲起，\n旋轉後放開造成傷害！
CopyAbility_Detail_SwanTornado	更加優雅，更加美麗。\n雖然柔軟但是威力卻提升了！\n利用風和羽毛將敵人捲進去，\n使出芭蕾般的舞蹈，華麗地進行攻擊！
CopyAbility_Detail_StormTornado	帶來不安的龍捲風，雷聲隆隆的風暴！\n暴風再加上轟鳴聲，\n雷鳴響起，狂雷電擊！\n使用風與電的雙重攻擊來進攻吧！
CopyAbility_MaxStrengthenedName	{[0309|0000]}{[0109|0200]}{[010a|0300]}
AdviceWindow.msbt
Msg_DeformWithAbility	{[1905|04cd]}看來似乎可以{color[ff4d2fff]}不捨棄{color[000000ff]}複製能力\n就使用塞滿嘴呢。{[0004]}試著保持現有能力，\n按{color[ff4d2fff]}{[0701|0100]}{color[000000ff]}吸入看看吧！
Msg_NoticeDropStarVacuum	{[1907|00cd]}敵人發動攻擊時所{color[ff4d2fff]}掉落的星星{color[000000ff]}\n似乎可以透過{color[ff4d2fff]}按{[0701|0100]}吸入後{color[000000ff]}，{color[ff4d2fff]}\n再按一次{[0701|0100]}{color[000000ff]}來吐出喔。{[0004]}沒有複製能力的時候，\n就吐出掉落的星星撞擊吧！
Msg_GuideToBlueprint	{[1402]}{[1903|00cd]}先等一下！\n你還沒拿{color[ff4d2fff]}設計圖{color[000000ff]}呢。{[0004]}設計圖是很重要的，\n{color[ff4d2fff]}別忘記拿囉{color[000000ff]}。
Msg_UseStockItemAtPinch	{[1905|05cd]}{[1402]}卡比小心，體力只剩下一點了！\n{color[ff4d2fff]}長按{[0702|0200]}{color[000000ff]}來使用現有的道具吧！
Msg_EstorySoulCompleted	{[1907|01cd]}這麼一來，這附近的獅王的靈魂\n好像{color[ff4d2fff]}都已經找到了{color[000000ff]}呢。繼續前進吧！
Msg_ManyRetryAtBoss_ExistNotPassedBlueprint	{[1909|00cd]}對了，卡比！\n說起來，你之前拿到了{color[ff4d2fff]}設計圖{color[000000ff]}對吧。{[0004]}那就前往小鎮的{color[ff4d2fff]}瓦豆魯迪武器店{color[000000ff]}，\n試著進化出更強大的能力吧！
Msg_ManyRetryAtBoss_UsedCopyAbilityAbleToEvolution	{[1909|00cd]}對了，卡比！\n你剛才在戰鬥中所使用的\n{color[ff4d2fff]}{[030a]}{color[000000ff]}能力好像可以{color[ff4d2fff]}進化{color[000000ff]}囉。{[0004]}試著使用進化後的{color[ff4d2fff]}強大能力{color[000000ff]}\n去挑戰魔王吧！
Msg_ManyRetryAtBoss_CopyAbilityAbleToUseEvoluted	{[1909|00cd]}對了，卡比！\n{color[ff4d2fff]}進化{color[000000ff]}之後的複製能力\n似乎非常地{color[ff4d2fff]}強大{color[000000ff]}喔。{[0004]}既然有各式各樣的能力，\n試著使用{color[ff4d2fff]}別的能力{color[000000ff]}來戰鬥\n或許也是不錯的選擇呢！
Msg_ManyRetryAtBoss_GuideToFoodShop_01	{[1909|00cd]}對了，卡比！\n你有在使用{color[ff4d2fff]}庫存道具{color[000000ff]}嗎？\n只要{color[ff4d2fff]}長按{[0702|0200]}{color[000000ff]}，就算在戰鬥中也能使用喔。
Msg_ManyRetryAtBoss_GuideToFoodShop_02	使用食物類的庫存道具\n還可以{color[ff4d2fff]}回復{color[000000ff]}體力呢。{[0004]}只要前往小鎮的{color[ff4d2fff]}瓦豆魯迪咖啡店{color[000000ff]}，{color[ff4d2fff]}\n{color[000000ff]}隨時都可以購買！
Arena.msbt
$ArenaEntryFirstRewardText	首次過關\n報酬
$ArenaEntrySubtitle1Text	報酬
ArenaPlayer_Single_Text	一人
ArenaPlayer_Multi_Text	兩人
ArenaEntry_ScoreTitle_Text	{[0302|0000]} 最佳過關時間
ArenaEntry_ChangeRankToSingle_Text	切換為一人
ArenaEntry_ChangeRankToMulti_Text	切換為兩人
$ArenaEntryEraseRecordText	刪除記錄
$ArenaEntryRank1stText	1
$ArenaEntryRank2ndText	2
$ArenaEntryRank3rdText	3
ArenaEntry_RestBattleCount_Text	剩下 {[0301|0000]}戰
$ArenaEntryBtnText	參加
ArenaEntry_BattleCountTitle_Text	共{[0301|0000]}戰
ArenaRevival_ReMatch_Text	要從第{[0301|0000]}戰開始重試嗎？
ArenaRevival_RevivalBtn_Text	消耗{[0100|8000]}{[0301|0000]}重試
$ReavivalBtnFromTheFirst	從頭重新開始
$ReavivalBtnGiveUp	放棄
$ArenaResultGameOverTitleHeadText	第
$ArenaResultGameOverTitleText	戰敗退……
ArenaResult_ScoreTitle_Text	{[0302|0000]} 最佳過關時間
$ArenaResultRecordText	新記錄！
$More	還有
$Final	最終戰
$Games	戰
$Next	NEXT
ArenaLive_FirstBattleStart_01	{[1b00|00cd]}{[1401]}好！終於要開始了！\n讓我們歡迎卡比選手入場～！
ArenaLive_FirstBattleStart_02	{[1b00|00cd]}{[1401]}歡迎粉紅色挑戰者！\n卡比選手登場～！
ArenaLive_FirstBattleStart_03	{[1b00|00cd]}{[1401]}歡迎關注度排行第1名！\n卡比選手入場～！
ArenaLive_NormalBattleStart_01	{[1b00|00cd]}{[1401]}卡比選手令人熱血沸騰的戰鬥\n炒熱了整個會場的氣氛！
ArenaLive_NormalBattleStart_02	{[1b00|00cd]}{[1401]}究竟卡比選手能持續獲勝到第幾戰呢？\n真是越來越令人期待了！
ArenaLive_NormalBattleStart_03	{[1b00|00cd]}{[1401]}整個會場就像在為卡比選手\n加油一樣歡聲雷動～！
ArenaLive_NormalBattleStart_04	{[1b00|00cd]}{[1401]}以優勝為目標，繼續前進吧！\n卡比選手！
ArenaLive_NormalBattleStart_05	{[1b00|00cd]}{[1401]}不愧是卡比選手，氣勢十足！\n他如此強大的秘訣究竟是什麼呢！
ArenaLive_NormalBattleStart_06	{[1b00|00cd]}{[1401]}卡比選手在下一場戰鬥中，\n又會展開怎樣的激烈戰鬥呢！？
ArenaLive_NormalBattleStart_07	{[1b00|00cd]}{[1401]}卡比選手戰鬥時華麗的身姿，\n讓人連1秒都無法移開視線！！
ArenaLive_NormalBattleStart_08	{[1b00|00cd]}{[1401]}會場的歡呼聲完全停不下來！\n連我都克制不住地跟著興奮起來啦——！
ArenaLive_NormalBattleStart_09	{[1b00|00cd]}{[1401]}大家的英雄——卡比選手！\n精彩的戰鬥還在持續進行！
ArenaLive_NormalBattleStart_10	{[1b00|00cd]}{[1401]}卡比選手戰鬥時令人讚嘆的英姿，\n讓觀眾都看出神了呢～！
ArenaLive_NormalBattleStart_11	{[1b00|00cd]}{[1401]}繼精彩的各種招式之後……\n卡比選手又會讓我們見識到怎樣的招式呢！？
ArenaLive_LastBattleStart_01	{[1b00|00cd]}{[1401]}令人熱血沸騰的戰鬥也將進入高潮～！\n直到最後都不容錯過～！
ArenaLive_LastBattleStart_02	{[1b00|00cd]}{[1401]}最後的戰鬥終於要開始了！\n會場的氣氛……也來到最高點——！
ArenaLive_LastBattleStart_03	{[1b00|00cd]}{[1401]}終於迎來最後一場戰鬥了！\n勝利的女神會對誰露出微笑呢！？
ArenaLive_BossBattleExtraLobby01_01	{[1b01|00cd]}雖然實況的播報聲無法傳到神秘空間裡……\n但我會在這個房間等你的！！
ArenaLive_BossBattleExtraLobby01_02	{[1b01|00cd]}聽說神秘空間裡有一群非常厲害的傢伙……\n雖然實況只到這個房間為止，你還是要加油喔！
ArenaLive_BossBattleExtraLobby01_03	{[1b01|00cd]}雖然我們沒辦法前往神秘空間……\n但我會待在這個房間等你平安回來的！！
ArenaLive_BossBattleExtraLobby02	{[1401]}{[1b01|02cd]}即使在神秘空間裡戰鬥也無所畏懼！\n不愧是一路獲勝至此的粉紅色英雄！
ArenaLive_BossBattleExtraLobby03	{[1401]}{[1b01|02cd]}剛才的戰鬥好像十分可怕，但你平安無事呢。\n繼續以優勝為目標奮戰吧！！
ArenaLive_BossBattleExtraLobby04	{[1401]}{[1b01|02cd]}卡比選手，你的狀況似乎很不錯呢！\n請保持這個狀態繼續努力吧！
ArenaLive_BossBattleExtraLobby05	{[1b01|00cd]}我想這一定會是場艱難的戰鬥……\n但休息也是很重要的喔！
ArenaLive_BossBattleExtraLobby06	{[1b01|00cd]}不愧是外號「粉紅色惡魔」的卡比選手，\n真是身經百戰！
ArenaLive_BossBattleExtraLobby07	{[1401]}{[1b01|02cd]}卡比選手，狀況很不錯喔！\n請做好準備，下一戰也要加油！！
ArenaLive_BossBattleExtraLobby08	{[1b01|00cd]}卡比選手！小心別大意了。\n接下來還會遇到更多可怕的對手喔！
ArenaLive_BossBattleExtraLobby09	{[1b01|00cd]}接下來敵人的強度也會顯著提升喔！\n重整態勢後繼續加油吧！
ArenaLive_BossBattleExtraLobby10	{[1b01|00cd]}不愧是粉紅色惡魔……\n看來取得優勝也肯定不是夢！
ArenaLive_BossBattleExtraLobby11	{[1401]}{[1b01|02cd]}上吧，卡比選手！\n你一定能夠獲得勝利的！
ArenaLive_BossBattleExtraLobby12_01	{[1b01|00cd]}終……終於來到最終決戰了～！\n祝你旗開得勝！！
ArenaLive_BossBattleExtraLobby12_02	{[1401]}{[1b01|02cd]}克服了困難重重的戰鬥……\n下一場就是最終決戰了！加、加油啊～！！
ArenaLive_BossBattleExtraLobby12_03	{[1401]}{[1b01|02cd]}終於來到最終決戰了……\n我相信你一定會平安回來的！！
ArenaLive_KirbyPinch_01	{[1b00|01cd]}{[1402]}這下糟糕了！！\n卡比選手快被擊倒啦！
ArenaLive_KirbyPinch_02	{[1b00|01cd]}{[1402]}卡比選手！狀況岌岌可危！\n他到底能不能撐下去呢！？
ArenaLive_KirbyPinch_03	{[1b00|01cd]}{[1402]}卡比選手情勢險峻！\n他會就這樣被打倒嗎！？
ArenaLive_BossAngry_01	{[1b00|01cd]}喔！對手也終於要拿出真本事了嗎！？\n別輸給對方啊，卡比選手！
ArenaLive_BossAngry_02	{[1b00|01cd]}戰鬥也進入後半階段了！！\n接下來的戰鬥也不容錯過！
ArenaLive_BossAngry_03	{[1b00|01cd]}卡比選手的攻擊見效了！\n對手接下來也要拿出真本事了嗎！？
ArenaLive_SelectRevivalCount1	{[1b01|00cd]}卡比選手支撐不住倒下了！\n他還能夠站起來嗎？
ArenaLive_SelectRevivalCount2	{[1b01|00cd]}卡比選手又倒下了～！\n他能夠再次站起來嗎！？
ArenaLive_SelectRevivalCount3	{[1b01|00cd]}卡比選手的狀況越來越艱難了嗎？\n他還能繼續戰鬥嗎！？
ArenaLive_SelectRevivalCount4	{[1b01|00cd]}已經連站起來都很吃力了嗎？\n現在正是該奮力一搏的時候！！
ArenaLive_SelectRevivalCount5	{[1b01|00cd]}卡比選手！是否難以取得勝利了呢！？\n不！他一定能獲勝的！加油啊！！
ArenaLive_BattleStartRevivalCount1	{[1b00|00cd]}{[1401]}卡比選手再次入場～！\n看來他還能再戰！！
ArenaLive_BattleStartRevivalCount2	{[1b00|00cd]}卡比選手！他還沒放棄！\n看來這場戰鬥還是相當值得期待呢！！
ArenaLive_BattleStartRevivalCount3	{[1b00|00cd]}卡比選手接連面對了幾場艱難的戰鬥！\n希望他還能繼續努力。
ArenaLive_BattleStartRevivalCount4	{[1b00|00cd]}都走到這一步了，\n真希望卡比選手能取得優勝！加油啊！！
ArenaLive_BattleStartRevivalCount5	{[1b00|00cd]}加油啊！卡比選手！\n我們都會陪著你的！！
ArenaLive_ExtraLobbyRevivalCount1	{[1b01|00cd]}卡比選手，你沒事吧！？\n真正的戰鬥現在才要開始呢！
ArenaLive_ExtraLobbyRevivalCount2	{[1b01|00cd]}卡比選手！現在還不能放棄。\n就從這一戰開始力挽狂瀾吧！！
ArenaLive_ExtraLobbyRevivalCount3	{[1b01|00cd]}雖然這是場艱難的戰鬥，\n但可不能輕言放棄啊，卡比選手！
ArenaLive_ExtraLobbyRevivalCount4	{[1b01|00cd]}現在正是該奮力一搏的時候了。\n加油啊！！卡比選手！！
ArenaLive_ExtraLobbyRevivalCount5	{[1b01|00cd]}別認輸啊，卡比選手！！\n我相信你一定能取得優勝的。
ArenaLive_GameOverLv1_01	{[1402]}{[1b01|01cd]}真的是太可惜了……\n期待你下次再來挑戰！
ArenaLive_GameOverLv1_02	{[1402]}{[1b01|01cd]}卡比選手！\n你今天狀態不好嗎！？
ArenaLive_GameOverLv1_03	{[1402]}{[1b01|01cd]}這次結果距離優勝還十分遙遠。\n卡比選手，別認輸！下次還有機會的！
ArenaLive_GameOverLv2_01	{[1b01|00cd]}這次雖然輸了，\n但下次一定要以優勝為目標加油喔！
ArenaLive_GameOverLv2_02	{[1b01|00cd]}期待你今後的努力！\n看來只能多加訓練了！
ArenaLive_GameOverLv2_03	{[1b01|00cd]}雖然這次無法獲得優勝，\n但我能感覺到你還有成長的空間！
ArenaLive_GameOverLv3_01	{[1b01|00cd]}真可惜，都已經一路贏到這裡了，\n這次敗北實在令人惋惜！
ArenaLive_GameOverLv3_02	{[1b01|00cd]}前期的表現其實挺不錯的，\n是不是後期有些累了呢？
ArenaLive_GameOverLv3_03	{[1b01|00cd]}卡比選手，雖然你一路奮鬥至此……\n可惜卻沒能取得優勝啊！
ArenaLive_GameOverLv4_01	{[1b01|00cd]}感覺只差一步就能取得優勝了。\n真讓人期待你下次參賽的表現！
ArenaLive_GameOverLv4_02	{[1b01|00cd]}戰鬥中雖然有不少令人驚豔的表現，\n但還是未能獲得優勝啊……
ArenaLive_GameOverLv4_03	{[1b01|00cd]}終於看到優勝的曙光了！\n彷彿還能聽見充滿期待的加油聲。
ArenaLive_GameOverLv5_01	{[1b01|00cd]}卡比選手！這實在太讓人不甘心啦～！\n相信你下次絕對會獲得優勝的！！
ArenaLive_GameOverLv5_02	{[1b01|00cd]}距離獲得優勝就只差一點點了！\n希望你不要放棄，下次再來挑戰！
ArenaLive_GameOverLv5_03	{[1b01|00cd]}沒想到會在最後的最後遇上強敵……\n勝利明明就在眼前了！
ArenaLive_ResultClearFirst_CartelOfMetaKnight	{[1401]}{[1b01|02cd]}沒想到你竟然贏過魅塔騎士選手了！\n恭喜你獲得了首次優勝～！
ArenaLive_ResultClearFirst_BossBattle	{[1401]}{[1b01|02cd]}你的表現真是太出色了！\n粉紅色的英雄，恭喜你首次獲得了優勝～！
ArenaLive_ResultClearFirst_BossBattleExtra	{[1401]}{[1b01|02cd]}你竟然能從那個空間平安歸來……\n真不愧是來自波普之星的卡比～！！
ArenaLive_ResultClear_01	{[1401]}{[1b01|02cd]}真是場激烈的戰鬥！\n也期待你參加下次大會時的表現喔～！
ArenaLive_ResultClear_02	{[1401]}{[1b01|02cd]}真是場發揮穩定的戰鬥呢！\n是由精湛的戰鬥技巧所帶來的勝利！
ArenaLive_ResultClear_03	{[1401]}{[1b01|02cd]}結果很不錯呢！\n期待你下次也能獲得優勝喔～！
ArenaLive_ResultClearRankIn_01	{[1401]}{[1b01|02cd]}真是場精彩的戰鬥！\n期待你能再次更新自己的過關時間！！
ArenaLive_ResultClearRankIn_02	{[1401]}{[1b01|02cd]}你獲得了不錯的時間成績喔！\n下次就以第1名的記錄為目標吧！！
ArenaLive_ResultClearRankIn_03	{[1401]}{[1b01|02cd]}很可惜，這次你無法更新第1名的記錄！\n不過依然是場精彩的戰鬥！！
ArenaLive_ResultClearNewRecord_01	{[1401]}{[1b01|02cd]}卡比選手締造出了\n前所未聞的時間成績！！
ArenaLive_ResultClearNewRecord_02	{[1401]}{[1b01|02cd]}竟然更新記錄了！\n卡比選手以前所未見的時間成績取得了優勝！
ArenaLive_ResultClearNewRecord_03	{[1401]}{[1b01|02cd]}終於打破歷史記錄了！\n恭喜你更新了最佳過關時間！！
ArenaLive_ResultClear_BossBattleExtra_01	{[1401]}{[1b01|02cd]}那似乎是個可怕的空間……\n恭喜你平安存活下來～！！
ArenaLive_ResultClear_BossBattleExtra_02	{[1401]}{[1b01|02cd]}不愧是在這個世界和其他世界\n都所向無敵的卡比選手……恭喜你平安存活～！！
ArenaLive_ResultClear_BossBattleExtra_03	{[1401]}{[1b01|02cd]}看來你也漸漸習慣那個空間裡的戰鬥了！\n恭喜你平安存活下來！！
ArenaLive_ResultClearRankIn_BossBattleExtra_01	{[1401]}{[1b01|02cd]}雖然是在那個可怕的空間裡戰鬥，\n卻依然創造了完美的記錄……不愧是星之卡比！！
ArenaLive_ResultClearRankIn_BossBattleExtra_02	{[1401]}{[1b01|02cd]}這記錄挺不錯的耶！？\n果然不論在哪個空間裡，卡比選手都是無敵的！
ArenaLive_ResultClearRankIn_BossBattleExtra_03	{[1401]}{[1b01|02cd]}卡比選手成功存活下來了！！\n下次就以第1名的時間成績為目標吧～！
ArenaLive_ResultClearNewRecord_BossBattleExtra_01	{[1401]}{[1b01|02cd]}不但面對任何空間都無所畏懼，甚至還創下了\n第1名的新記錄……！不愧是星之卡比！！
ArenaLive_ResultClearNewRecord_BossBattleExtra_02	{[1401]}{[1b01|02cd]}在那個空間裡到底發生了什麼樣的戰鬥……\n星之卡比，以新記錄拿下了優勝！！
ArenaLive_ResultClearNewRecord_BossBattleExtra_03	{[1401]}{[1b01|02cd]}在那個空間裡到底發生了什麼……！竟然更新了\n第1名的新記錄，不愧是我們的星之卡比！！
Caption.msbt
ElevatorDemoAnnounce	語言設定……自動……{[0004]}認證系統……運轉……{[0004]}認證中……認證中……{[0004]}確認入館代碼。{[0004]}再次啟動館內導航。{[0004]}準備好了嗎？{[0004]}科學研究所「實驗室‧摸索發覺」的{[0004]}緊張刺激的發現夢幻遊覽！{[0004]}那麼最後，{[0004]}來介紹一下所謂的{[0004]}究極生命體「ID-F86」。{[0004]}自從ID-F86飛來這個行星後，{[0004]}便不斷地對許多原生種{[0004]}進行侵略活動。{[0004]}研究對策隊伍對其危險性感到不安，{[0004]}便捕獲這個對象。{[0004]}自此以來，這間研究所開始研究開發{[0004]}ID-F86所擁有的空間轉移能力，{[0004]}如今，我們已掌握到{[0004]}行星之間傳送技術的基礎！{[0004]}但是，研究開發後的第30年……{[0004]}卻發生那件歷史性的傳送實驗事故。{[0004]}因為事故，從體內分離出的個體{[0004]}逃到了設施外面。{[0004]}到了現在，都還沒有找到。{[0004]}從此之後，ID-F86就再也沒有{[0004]}重啟任何活動，{[0004]}現在也被永久保存在{[0004]}這實驗室‧摸索發覺的最上層的{[0004]}永恆膠囊之中。{[0004]}那麼，請看！{[0004]}究極生命體——ID-F86！
ThemeSong	來吧　準備好了嗎？{[0004]}已經看得到囉　NEW WORLD{[0004]}那是不可思議的夢幻國度　一起來玩吧{[0004]}儘管歡笑與哭泣　大口塞滿嘴　吃飽睡午覺{[0004]}那是任誰也無法打擾　專屬於你的FIELD{[0004]}就連那片天空也都是你的畫布{[0004]}奔馳吧{[0004]}乘上你心所向的汽車{[0004]}風兒啊{[0004]}輕拂過耀眼的草原　歡迎來到NEW WORLD！{[0004]}
ThemeSongLocalLyric	STRANGE HORIZON. READY TO GO.{[0004]}FEAST YOUR EYES ON A NEW WORLD!{[0004]}A NEW DREAMLAND. A PLACE WHERE YOU'LL LAUGH AND SMILE.{[0004]}ALONG THE WAY, STUFF YOUR BELLY AND NAP AWHILE.{[0004]}NO ONE CAN HOLD YOU BACK. NEW FIELDS FULL OF MYSTERY.{[0004]}THE SKY'S OPENED UP, AND THERE'S SO MUCH TO SEE.{[0004]}RUNNING WILD!{[0004]}JUST LET YOUR HEART TAKE THE WHEEL AND SHOW YOU THE WAY.{[0004]}FRESH SPRING BREEZE!{[0004]}ADVENTURE IS AWAITING YOU IN THE FIELDS OF A NEW WORLD!
FullThemeSong	來吧　準備好了嗎？{[0004]}已經看得到囉　NEW WORLD{[0004]}那是不可思議的夢幻國度　一起來玩吧{[0004]}儘管歡笑與哭泣　大口塞滿嘴　吃飽睡午覺{[0004]}那是任誰也無法打擾　專屬於你的FIELD{[0004]}就連那片天空也都是你的畫布{[0004]}奔馳吧{[0004]}乘上你心所向的汽車{[0004]}風兒啊{[0004]}輕拂過耀眼的草原　歡迎來到NEW WORLD！{[0004]}閉上雙眼　就能感受到{[0004]}那海浪的低鳴　NEW WORLD{[0004]}只要有美食品嚐　再鬱悶的心也會豁然開朗{[0004]}迫不及待的心情　穿過那扇令人心跳加速的門扉{[0004]}別擔心　只要與你在一起就擁有FREEDOM{[0004]}海浪捲走了褪下的衣物{[0004]}一起歡笑吧{[0004]}我會一直陪伴在你身旁{[0004]}不論是誰{[0004]}心中都滿懷著各自的愛　歡迎來到NEW WORLD！{[0004]}奔馳吧{[0004]}乘上你心所向的汽車{[0004]}風兒啊{[0004]}輕拂過耀眼的草原　歡迎你的到來{[0004]}帶著雀躍的心　你就是自由的{[0004]}心中滿懷著各自的愛　Wow Oh Oh！{[0004]}NEW WORLD{[0004]}NEW WORLD{[0004]}NEW WORLD{[0004]}
