AbilityList.msbt
$TownAbilityListAttackText	攻击力
CopyAbility_Detail_GigantSword	巨大的利剑真不愧庞大利剑之名！\n有点重，所以拿起来很辛苦，\n但防御堪称铁壁！能够架起盾牌，\n缓慢前进保护自己并不断进攻！
CopyAbility_Detail_MetaSword	握上魅塔骑士利剑，宛如对手魅塔骑士一般！\n体力足够时还能释放射击。\n滑垒后用跳跃向上跃起使出连击，\n帅气地决定胜负！
CopyAbility_Detail_MorphoSword	在决战中为执行审判而现身的梦蝶。\n虽然这是模仿了其外型、令人畏惧的红色能力，\n不过卡比就连噩梦都能一口吞掉，\n应该很轻易就能熟练使用这项能力吧。
CopyAbility_Detail_Tornado	转啊转，转啊转地转个不停！\n别具特色的操作让人头昏眼花，\n但不论是敌人、方块还是星星都能卷起，\n旋转后放开造成伤害！
CopyAbility_Detail_SwanTornado	更加优雅，更加美丽。\n虽柔软但威力却提升了！\n利用风和羽毛将敌人卷入，\n使出芭蕾般的舞蹈，华丽地进行攻击！
CopyAbility_Detail_StormTornado	危险的龙卷风，雷声隆隆的风暴！\n暴风再加上轰鸣声，\n雷鸣响起，狂雷电击！\n使用风与电的双重攻击来进攻吧！
CopyAbility_MaxStrengthenedName	{[0309|0000]}{[0109|0200]}{[010a|0300]}
AdviceWindow.msbt
Msg_DeformWithAbility	{[1905|04cd]}看来似乎可以{color[ff4d2fff]}不舍弃{color[000000ff]}复制能力\n就使用塞满嘴呢。{[0004]}试着保持现有能力，\n按{color[ff4d2fff]}{[0701|0100]}{color[000000ff]}吸入看看吧！
Msg_NoticeDropStarVacuum	{[1907|00cd]}敌人发动攻击时所{color[ff4d2fff]}掉落的星星{color[000000ff]}\n似乎可以通过{color[ff4d2fff]}按{[0701|0100]}吸入后{color[000000ff]}，{color[ff4d2fff]}\n再按一次{[0701|0100]}{color[000000ff]}来吐出哦。{[0004]}没有复制能力的时候，\n就吐出掉落的星星射向敌人吧！
Msg_GuideToBlueprint	{[1402]}{[1903|00cd]}先等一下！\n你还没拿{color[ff4d2fff]}设计图{color[000000ff]}呢。{[0004]}设计图是很重要的，\n{color[ff4d2fff]}别忘了拿哦{color[000000ff]}。
Msg_UseStockItemAtPinch	{[1905|05cd]}{[1402]}卡比小心，体力只剩下一点了！\n{color[ff4d2fff]}长按{[0702|0200]}{color[000000ff]}来使用持有的道具吧！
Msg_EstorySoulCompleted	{[1907|01cd]}这么一来，这附近的狮王的灵魂\n{color[ff4d2fff]}好像都已经找到了{color[000000ff]}呢。继续前进吧！
Msg_ManyRetryAtBoss_ExistNotPassedBlueprint	{[1909|00cd]}对了，卡比！\n说起来，你之前拿到了{color[ff4d2fff]}设计图{color[000000ff]}对吧。{[0004]}那就前往小镇上的{color[ff4d2fff]}瓦豆鲁迪武器店{color[000000ff]}，\n试着进化出更强大的能力吧！
Msg_ManyRetryAtBoss_UsedCopyAbilityAbleToEvolution	{[1909|00cd]}对了，卡比！\n你刚才在战斗中所使用的\n{color[ff4d2fff]}{[030a]}{color[000000ff]}能力好像可以{color[ff4d2fff]}进化{color[000000ff]}了哦。{[0004]}试着使用进化后的{color[ff4d2fff]}强大能力{color[000000ff]}\n去挑战魔王吧！
Msg_ManyRetryAtBoss_CopyAbilityAbleToUseEvoluted	{[1909|00cd]}对了，卡比！\n{color[ff4d2fff]}进化{color[000000ff]}后的复制能力\n似乎非常{color[ff4d2fff]}强大{color[000000ff]}哦。{[0004]}既然有各式各样的能力，\n试着使用{color[ff4d2fff]}别的能力{color[000000ff]}来战斗\n或许也是不错的选择呢！
Msg_ManyRetryAtBoss_GuideToFoodShop_01	{[1909|00cd]}对了，卡比！\n你有在使用{color[ff4d2fff]}库存道具{color[000000ff]}吗？\n只要{color[ff4d2fff]}长按{[0702|0200]}{color[000000ff]}，就算在战斗中也能使用哦。
Msg_ManyRetryAtBoss_GuideToFoodShop_02	使用食物类的库存道具\n还可以{color[ff4d2fff]}回复{color[000000ff]}体力呢。{[0004]}只要前往小镇的{color[ff4d2fff]}瓦豆鲁迪咖啡店{color[000000ff]}，\n随时都可以购买！
Arena.msbt
$ArenaEntryFirstRewardText	首次过关\n报酬
$ArenaEntrySubtitle1Text	报酬
ArenaPlayer_Single_Text	单人
ArenaPlayer_Multi_Text	双人
ArenaEntry_ScoreTitle_Text	{[0302|0000]} 最佳时间
ArenaEntry_ChangeRankToSingle_Text	切换为单人
ArenaEntry_ChangeRankToMulti_Text	切换为双人
$ArenaEntryEraseRecordText	删除记录
$ArenaEntryRank1stText	1
$ArenaEntryRank2ndText	2
$ArenaEntryRank3rdText	3
ArenaEntry_RestBattleCount_Text	剩余 {[0301|0000]}战
$ArenaEntryBtnText	参加
ArenaEntry_BattleCountTitle_Text	共{[0301|0000]}战
ArenaRevival_ReMatch_Text	要从第{[0301|0000]}战开始重试吗？
ArenaRevival_RevivalBtn_Text	消耗{[0100|8000]}{[0301|0000]}重试
$ReavivalBtnFromTheFirst	从头重新开始
$ReavivalBtnGiveUp	放弃
$ArenaResultGameOverTitleHeadText	第
$ArenaResultGameOverTitleText	战败退……
ArenaResult_ScoreTitle_Text	{[0302|0000]} 最佳时间
$ArenaResultRecordText	新纪录！
$More	还有
$Final	最终战
$Games	战
$Next	NEXT
ArenaLive_FirstBattleStart_01	{[1b00|00cd]}{[1401]}好！终于要开始了！\n让我们欢迎卡比选手入场～！
ArenaLive_FirstBattleStart_02	{[1b00|00cd]}{[1401]}欢迎粉红色挑战者！\n卡比选手登场～！
ArenaLive_FirstBattleStart_03	{[1b00|00cd]}{[1401]}欢迎关注度排行第1名！\n卡比选手入场～！
ArenaLive_NormalBattleStart_01	{[1b00|00cd]}{[1401]}卡比选手令人热血沸腾的战斗\n炒热了整个赛场的气氛！
ArenaLive_NormalBattleStart_02	{[1b00|00cd]}{[1401]}究竟卡比选手能持续获胜到第几战呢？\n真是越来越令人期待了！
ArenaLive_NormalBattleStart_03	{[1b00|00cd]}{[1401]}整个赛场就像在为卡比选手\n加油一样欢声雷动～！
ArenaLive_NormalBattleStart_04	{[1b00|00cd]}{[1401]}以优胜为目标，继续前进吧！\n卡比选手！
ArenaLive_NormalBattleStart_05	{[1b00|00cd]}{[1401]}不愧是卡比选手，气势十足！\n他如此强大的秘诀究竟是什么呢！
ArenaLive_NormalBattleStart_06	{[1b00|00cd]}{[1401]}卡比选手在下一场战斗中，\n又会展开怎样激烈的战斗呢！？
ArenaLive_NormalBattleStart_07	{[1b00|00cd]}{[1401]}卡比选手华丽的战斗\n让人连1秒都无法移开视线！！
ArenaLive_NormalBattleStart_08	{[1b00|00cd]}{[1401]}赛场的欢呼声完全停不下来！\n连我都克制不住地跟着兴奋起来啦——！
ArenaLive_NormalBattleStart_09	{[1b00|00cd]}{[1401]}大家的英雄——卡比选手！\n精彩的战斗还在持续进行！
ArenaLive_NormalBattleStart_10	{[1b00|00cd]}{[1401]}卡比选手战斗时令人赞叹的英姿，\n让观众都看出神了呢～！
ArenaLive_NormalBattleStart_11	{[1b00|00cd]}{[1401]}继精彩的各种招式之后……\n卡比选手还会让我们见识到怎样的招式呢！？
ArenaLive_LastBattleStart_01	{[1b00|00cd]}{[1401]}令人热血沸腾的战斗也将进入高潮～！\n直到最后都不容错过～！
ArenaLive_LastBattleStart_02	{[1b00|00cd]}{[1401]}最后的战斗终于要开始了！\n赛场的气氛……也来到最高点——！
ArenaLive_LastBattleStart_03	{[1b00|00cd]}{[1401]}终于迎来最后一场战斗了！\n胜利的女神会对谁露出微笑呢！？
ArenaLive_BossBattleExtraLobby01_01	{[1b01|00cd]}虽然实况的播报声无法传进神秘空间中……\n但我会在这个房间等你的！！
ArenaLive_BossBattleExtraLobby01_02	{[1b01|00cd]}听说神秘空间里有一群非常厉害的家伙……\n虽然实况声只能传到这个房间为止，但你也要加油哦！
ArenaLive_BossBattleExtraLobby01_03	{[1b01|00cd]}虽然我们无法前往神秘空间……\n但我们会在这个房间里等你平安归来的！！
ArenaLive_BossBattleExtraLobby02	{[1401]}{[1b01|02cd]}即使在神秘空间中战斗也无所畏惧！\n不愧是一路过关斩将的粉红色英雄！
ArenaLive_BossBattleExtraLobby03	{[1401]}{[1b01|02cd]}虽然似乎经历了一场惊险的战斗，但你平安无事呢。\n继续以优胜为目标奋战吧！！
ArenaLive_BossBattleExtraLobby04	{[1401]}{[1b01|02cd]}卡比选手，你的状态似乎很不错呢！\n请保持下去，继续努力吧！
ArenaLive_BossBattleExtraLobby05	{[1b01|00cd]}我想这一定是场艰难的战斗……\n休息也是很重要的哦！
ArenaLive_BossBattleExtraLobby06	{[1b01|00cd]}不愧是拥有“粉红色恶魔”称号的卡比选手，\n真可谓是身经百战啊！
ArenaLive_BossBattleExtraLobby07	{[1401]}{[1b01|02cd]}卡比选手，状态很不错哦！\n请做好准备，下一场战斗也要加油哦！！
ArenaLive_BossBattleExtraLobby08	{[1b01|00cd]}卡比选手，千万不要大意了。\n接下来还会遇到更加可怕的对手哦！
ArenaLive_BossBattleExtraLobby09	{[1b01|00cd]}接下来敌人的强度也会显著提升哦！\n重整态势，继续加油吧！
ArenaLive_BossBattleExtraLobby10	{[1b01|00cd]}不愧是粉红色恶魔……\n看来取得优胜并不是白日做梦！
ArenaLive_BossBattleExtraLobby11	{[1401]}{[1b01|02cd]}上吧，卡比选手！\n你一定能够获得胜利的！
ArenaLive_BossBattleExtraLobby12_01	{[1b01|00cd]}终……终于来到最终决战了～！\n祝你旗开得胜！！
ArenaLive_BossBattleExtraLobby12_02	{[1401]}{[1b01|02cd]}你克服了困难重重的诸多战斗……\n下一场就是最终决战了！加、加油啊～！！
ArenaLive_BossBattleExtraLobby12_03	{[1401]}{[1b01|02cd]}终于下一场就是最终决战了……\n我相信你一定会平安回来的！！
ArenaLive_KirbyPinch_01	{[1b00|01cd]}{[1402]}这下糟糕了！！\n卡比选手快被击倒啦！
ArenaLive_KirbyPinch_02	{[1b00|01cd]}{[1402]}卡比选手！状况岌岌可危！\n他到底能不能撑下去呢！？
ArenaLive_KirbyPinch_03	{[1b00|01cd]}{[1402]}卡比选手情势险峻！\n他会就这样被打倒吗！？
ArenaLive_BossAngry_01	{[1b00|01cd]}喔！对手也终于要拿出真本事了吗！？\n别输给对方啊，卡比选手！
ArenaLive_BossAngry_02	{[1b00|01cd]}战斗也进入后半阶段了！！\n接下来的战斗也不容错过！
ArenaLive_BossAngry_03	{[1b00|01cd]}卡比选手的攻击见效了！\n对手接下来也要拿出真本事了吗！？
ArenaLive_SelectRevivalCount1	{[1b01|00cd]}卡比选手撑不住倒下了！\n他还能够站起来吗？
ArenaLive_SelectRevivalCount2	{[1b01|00cd]}卡比选手又倒下了～！\n他还能够再次站起来吗！？
ArenaLive_SelectRevivalCount3	{[1b01|00cd]}卡比选手越来越吃不消了吗？\n他还能继续战斗吗！？
ArenaLive_SelectRevivalCount4	{[1b01|00cd]}已经连站起来都很吃力了吗？\n现在正是奋力一搏的时刻！！
ArenaLive_SelectRevivalCount5	{[1b01|00cd]}卡比选手！难道离胜利越来越远了吗！？\n不！他一定能够获胜的！加油啊！！
ArenaLive_BattleStartRevivalCount1	{[1b00|00cd]}{[1401]}卡比选手再次入场～！\n看来他还能再战上几回合！！
ArenaLive_BattleStartRevivalCount2	{[1b00|00cd]}卡比选手！他还没放弃！\n看来这场战斗还是相当值得期待的呢！！
ArenaLive_BattleStartRevivalCount3	{[1b00|00cd]}艰难的战斗一场接着一场呢！\n希望卡比选手还能再加把劲啊。
ArenaLive_BattleStartRevivalCount4	{[1b00|00cd]}都走到这一步了，\n真希望卡比选手能取得优胜！加油啊！！
ArenaLive_BattleStartRevivalCount5	{[1b00|00cd]}加油啊！卡比选手！\n我们会陪着你的！！
ArenaLive_ExtraLobbyRevivalCount1	{[1b01|00cd]}卡比选手，你不要紧吧！？\n真正的战斗现在才要开始呢！
ArenaLive_ExtraLobbyRevivalCount2	{[1b01|00cd]}卡比选手！现在还不是放弃的时候。\n就从这一战开始力挽狂澜吧！！
ArenaLive_ExtraLobbyRevivalCount3	{[1b01|00cd]}虽然这场战斗十分艰辛，\n但你可不能轻言放弃啊，卡比选手！
ArenaLive_ExtraLobbyRevivalCount4	{[1b01|00cd]}现在正是奋力一搏的时刻。\n加油啊！！卡比选手！！
ArenaLive_ExtraLobbyRevivalCount5	{[1b01|00cd]}别认输啊，卡比选手！！\n我相信你一定能取得优胜的。
ArenaLive_GameOverLv1_01	{[1402]}{[1b01|01cd]}真的是太可惜了……\n期待你下次再来挑战！
ArenaLive_GameOverLv1_02	{[1402]}{[1b01|01cd]}卡比选手！\n你今天状态不好吗！？
ArenaLive_GameOverLv1_03	{[1402]}{[1b01|01cd]}这次结果距离优胜还十分遥远。\n卡比选手，别认输！下次还有机会的！
ArenaLive_GameOverLv2_01	{[1b01|00cd]}这次虽然输了，\n但下次一定要以优胜为目标加油哦！
ArenaLive_GameOverLv2_02	{[1b01|00cd]}期待你今后的努力！\n看来只能多加训练了！
ArenaLive_GameOverLv2_03	{[1b01|00cd]}虽然这次未能获得优胜，\n但我能感觉到你还有成长的空间！
ArenaLive_GameOverLv3_01	{[1b01|00cd]}真可惜，都已经一路赢到这里了，\n这次败北实在令人惋惜！
ArenaLive_GameOverLv3_02	{[1b01|00cd]}前面的表现还挺不错的，\n后面是不是有些累了呢？
ArenaLive_GameOverLv3_03	{[1b01|00cd]}卡比选手，尽管你一路奋斗至此……\n可惜还是没能取得优胜啊！
ArenaLive_GameOverLv4_01	{[1b01|00cd]}感觉只差一步就能取得优胜了。\n真让人期待你下次参赛的表现！
ArenaLive_GameOverLv4_02	{[1b01|00cd]}战斗中虽然有不少令人惊艳的表现，\n但还是未能获得优胜啊……
ArenaLive_GameOverLv4_03	{[1b01|00cd]}终于看到了优胜的曙光！\n还能听到充满期待的加油声。
ArenaLive_GameOverLv5_01	{[1b01|00cd]}卡比选手！这实在太让人不甘心啦～！\n相信你下次绝对会获得优胜的！！
ArenaLive_GameOverLv5_02	{[1b01|00cd]}距离获得优胜就只差一点点了！\n希望你不要放弃，下次再来挑战！
ArenaLive_GameOverLv5_03	{[1b01|00cd]}没想到会在最后的最后遇上强敌……\n胜利明明就在眼前了！
ArenaLive_ResultClearFirst_CartelOfMetaKnight	{[1401]}{[1b01|02cd]}没想到你竟然赢过了魅塔骑士选手！\n恭喜你获得了首次优胜～！
ArenaLive_ResultClearFirst_BossBattle	{[1401]}{[1b01|02cd]}你的表现真是太出色了！\n粉红色英雄，恭喜你首次获得优胜～！
ArenaLive_ResultClearFirst_BossBattleExtra	{[1401]}{[1b01|02cd]}你竟然能从那个空间平安归来……\n真不愧是来自波普之星的星之卡比～！！
ArenaLive_ResultClear_01	{[1401]}{[1b01|02cd]}真是场激烈的战斗！\n期待你下次参加大赛时的表现～！
ArenaLive_ResultClear_02	{[1401]}{[1b01|02cd]}真是场发挥稳定的战斗！\n这是精湛的战斗技巧带来的胜利！
ArenaLive_ResultClear_03	{[1401]}{[1b01|02cd]}结果很不错！\n期待你下次也能获得优胜～！
ArenaLive_ResultClearRankIn_01	{[1401]}{[1b01|02cd]}真是场精彩的战斗！\n期待你能够再次更新自己的过关时间！！
ArenaLive_ResultClearRankIn_02	{[1401]}{[1b01|02cd]}你获得了不错的成绩哦！\n下次就以第1名的最佳记录为目标吧！！
ArenaLive_ResultClearRankIn_03	{[1401]}{[1b01|02cd]}很可惜，这次未能更新第1名的最佳记录！\n不过依然是场精彩的战斗！！
ArenaLive_ResultClearNewRecord_01	{[1401]}{[1b01|02cd]}卡比选手缔造出了\n前所未有的过关时间成绩！！
ArenaLive_ResultClearNewRecord_02	{[1401]}{[1b01|02cd]}竟然更新纪录了！\n他以前所未有的成绩获得了优胜！
ArenaLive_ResultClearNewRecord_03	{[1401]}{[1b01|02cd]}终于打破历史纪录了！\n恭喜你更新了最佳时间记录！！
ArenaLive_ResultClear_BossBattleExtra_01	{[1401]}{[1b01|02cd]}那似乎是个很可怕的空间……\n恭喜你平安生还～！！
ArenaLive_ResultClear_BossBattleExtra_02	{[1401]}{[1b01|02cd]}不愧是在这个世界和其他世界\n都所向无敌的卡比选手……恭喜你平安生还～！！
ArenaLive_ResultClear_BossBattleExtra_03	{[1401]}{[1b01|02cd]}看来你也逐渐习惯在那个空间的战斗了！\n恭喜你平安生还！！
ArenaLive_ResultClearRankIn_BossBattleExtra_01	{[1401]}{[1b01|02cd]}虽然是在那个可怕的空间战斗，\n但依然创下了出色的记录……不愧是星之卡比！！
ArenaLive_ResultClearRankIn_BossBattleExtra_02	{[1401]}{[1b01|02cd]}这记录挺不错的呢！？\n果然不管在哪个空间，卡比选手都是所向无敌的！
ArenaLive_ResultClearRankIn_BossBattleExtra_03	{[1401]}{[1b01|02cd]}卡比选手成功生还！！\n下次就以第1名的时间成绩为目标吧～！
ArenaLive_ResultClearNewRecord_BossBattleExtra_01	{[1401]}{[1b01|02cd]}无论是怎样的空间都能毫不畏惧挺身对抗，\n甚至创下了第1名的新纪录……！不愧是星之卡比！！
ArenaLive_ResultClearNewRecord_BossBattleExtra_02	{[1401]}{[1b01|02cd]}在那个空间里到底发生了怎样的战斗……\n星之卡比，以新纪录拿下了优胜！！
ArenaLive_ResultClearNewRecord_BossBattleExtra_03	{[1401]}{[1b01|02cd]}在那个空间里到底发生了什么……！竟然创下了\n第1名的新纪录，不愧是我们的星之卡比！！
Caption.msbt
ElevatorDemoAnnounce	语言设定……自动……{[0004]}认证系统……运转……{[0004]}认证中……认证中……{[0004]}确认入馆代码。{[0004]}再次启动馆内导航。{[0004]}准备好了吗？{[0004]}科学研究所“实验室·摸索发觉”的{[0004]}紧张刺激的发现梦幻游览！{[0004]}那么最后，{[0004]}来介绍一下所谓的{[0004]}究极生命体“ID-F86”。{[0004]}自从ID-F86飞来这个行星后，{[0004]}便不断地对许多原生种{[0004]}进行侵略活动。{[0004]}研究对策队伍对其危险性感到不安，{[0004]}便捕获了这个对象。{[0004]}之后，这间研究所开始研究开发{[0004]}ID-F86所拥有的空间转移能力，{[0004]}如今，我们已掌握到{[0004]}行星之间传送技术的基础了！{[0004]}但是，研究开发后的第30年……{[0004]}却发生了那件历史性的传送实验事故。{[0004]}因为事故，从体内分离出的个体{[0004]}逃到了设施外面。{[0004]}直到现在还没找到。{[0004]}从那以后，ID-F86就再也没有{[0004]}重启任何活动，{[0004]}现在也被永久保存在{[0004]}这实验室·摸索发觉的最上层的{[0004]}永恒胶囊之中。{[0004]}那么，请看！{[0004]}究极生命体——ID-F86！
ThemeSong	来吧　准备好了吗？{[0004]}已经看得到咯　NEW WORLD{[0004]}那是不可思议的梦幻国度　一起来玩吧{[0004]}尽管欢笑与哭泣　大口塞满嘴　吃饱睡午觉{[0004]}那是任谁也无法打扰　专属于你的FIELD{[0004]}就连那片天空也都是你的画布{[0004]}奔驰吧{[0004]}乘上你心所向的汽车{[0004]}风儿啊{[0004]}轻拂过耀眼的草原　欢迎来到NEW WORLD！{[0004]}
ThemeSongLocalLyric	STRANGE HORIZON. READY TO GO.{[0004]}FEAST YOUR EYES ON A NEW WORLD!{[0004]}A NEW DREAMLAND. A PLACE WHERE YOU'LL LAUGH AND SMILE.{[0004]}ALONG THE WAY, STUFF YOUR BELLY AND NAP AWHILE.{[0004]}NO ONE CAN HOLD YOU BACK. NEW FIELDS FULL OF MYSTERY.{[0004]}THE SKY'S OPENED UP, AND THERE'S SO MUCH TO SEE.{[0004]}RUNNING WILD!{[0004]}JUST LET YOUR HEART TAKE THE WHEEL AND SHOW YOU THE WAY.{[0004]}FRESH SPRING BREEZE!{[0004]}ADVENTURE IS AWAITING YOU IN THE FIELDS OF A NEW WORLD!
FullThemeSong	来吧　准备好了吗？{[0004]}已经看得到咯　NEW WORLD{[0004]}那是不可思议的梦幻国度　一起来玩吧{[0004]}尽管欢笑与哭泣　大口塞满嘴　吃饱睡午觉{[0004]}那是任谁也无法打扰　专属于你的FIELD{[0004]}就连那片天空也都是你的画布{[0004]}奔驰吧{[0004]}乘上你心所向的汽车{[0004]}风儿啊{[0004]}轻拂过耀眼的草原　欢迎来到NEW WORLD！{[0004]}闭上双眼　就能感受到{[0004]}那海浪的低鸣　NEW WORLD{[0004]}只要有美食品尝　再郁闷的心也会豁然开朗{[0004]}迫不及待的心情　穿过那扇令人心跳加速的门扉{[0004]}别担心　只要与你在一起就拥有FREEDOM{[0004]}海浪卷走了褪下的衣物{[0004]}一起欢笑吧{[0004]}我会一直陪伴在你身旁{[0004]}不论是谁{[0004]}心中都满怀着各自的爱　欢迎来到NEW WORLD！{[0004]}奔驰吧{[0004]}乘上你心所向的汽车{[0004]}风儿啊{[0004]}轻拂过耀眼的草原　欢迎你的到来{[0004]}带着雀跃的心　你就是自由的{[0004]}心中满怀着各自的爱　Wow Oh Oh！{[0004]}NEW WORLD{[0004]}NEW WORLD{[0004]}NEW WORLD{[0004]}
