AbilityList.msbt
$TownAbilityListAttackText	こうげき{r2[りょく]}力{/r2}
Msg_ManyRetryAtBoss_ExistNotPassedBlueprint	{[1909|00cd]}ねぇ、カービィ！\nそういえば {color[ff4d2fff]}せっけい{r2[ず]}図{/r2}{color[000000ff]}を もっていたよね。{[0004]}{r2[まち]}町{/r2}の {color[ff4d2fff]}ワドルディのぶき{r2[や]}屋{/r2}{color[000000ff]}に いって\n{r2[つよ]}強{/r2}い のうりょくに しんかさせて みようよ！
Msg_ManyRetryAtBoss_UsedCopyAbilityAbleToEvolution	{[1909|00cd]}ねぇ、カービィ！\nさっきの たたかいで つかった\n{color[ff4d2fff]}{[030a]}{color[000000ff]}のうりょくは {color[ff4d2fff]}しんか{color[000000ff]}できる みたい。{[0004]}しんか させた {color[ff4d2fff]}{r2[つよ]}強{/r2}いのうりょく{color[000000ff]}を つかって\nボスに いどんで みようよ！
Msg_ManyRetryAtBoss_CopyAbilityAbleToUseEvoluted	{[1909|00cd]}ねぇ、カービィ！\n{color[ff4d2fff]}しんか{color[000000ff]}した コピーのうりょくは\nとっても {color[ff4d2fff]}{r2[つよ]}強{/r2}い{color[000000ff]}みたいだよ。{[0004]}いろんな こせいの のうりょくが あるから、\n{color[ff4d2fff]}ちがう のうりょく{color[000000ff]}で たたかって みても\nいいかも！
Msg_ManyRetryAtBoss_GuideToFoodShop_01	{[1909|00cd]}ねぇ、カービィ！\n{color[ff4d2fff]}ストックアイテム{color[000000ff]}って つかってる？\n{color[ff4d2fff]}{[0702|0200]}{r2[なが]}長{/r2}おし{color[000000ff]}で バトル{r2[ちゅう]}中{/r2}でも つかえるよ。
Msg_ManyRetryAtBoss_GuideToFoodShop_02	たべものの ストックアイテムを つかえば\n{r2[たいりょく]}体力{/r2}を {color[ff4d2fff]}かいふく{color[000000ff]}できるんだよ。{[0004]}{r2[まち]}町{/r2}の{color[ff4d2fff]}ワドルディカフェ{color[000000ff]}に いけば\nいつでも {r2[か]}買{/r2}えるからね！
Arena.msbt
$ArenaEntryFirstRewardText	{r2[しょかい]}初回{/r2}クリア\nほうしゅう
$ArenaEntrySubtitle1Text	ほうしゅう{r2[きん]}金{/r2}
ArenaPlayer_Single_Text	ひとりで
ArenaPlayer_Multi_Text	ふたりで
ArenaEntry_ScoreTitle_Text	{[0302|0000]} ベストタイム
ArenaEntry_ChangeRankToSingle_Text	ひとりにきりかえ
ArenaEntry_ChangeRankToMulti_Text	ふたりにきりかえ
$ArenaEntryEraseRecordText	きろくをけす
$ArenaEntryRank1stText	1
$ArenaEntryRank2ndText	2
$ArenaEntryRank3rdText	3
ArenaEntry_RestBattleCount_Text	のこり {[0301|0000]}{r2[せん]}戦{/r2}
$ArenaEntryBtnText	エントリーする
ArenaEntry_BattleCountTitle_Text	{r2[ぜん]}全{/r2}{[0301|0000]}{r2[せん]}戦{/r2}
ArenaRevival_ReMatch_Text	{[0301|0000]}{r2[せんめ]}戦目{/r2}から リトライしますか？
ArenaRevival_RevivalBtn_Text	{[0100|8000]}{[0301|0000]}で リトライする
$ReavivalBtnFromTheFirst	はじめから やりなおす
$ReavivalBtnGiveUp	ギブアップ
$ArenaResultGameOverTitleText	戦目敗退…
$ArenaResultGameOverTitleRubyText	せんめはいたい
ArenaResult_ScoreTitle_Text	{[0302|0000]} ベストタイム
$ArenaResultRecordText	しんきろく！
$More	あと
$Final	{r2[さいしゅうせん]}最終戦{/r2}
$Games	{r2[せん]}戦{/r2}
$Next	NEXT
ArenaLive_FirstBattleStart_01	{[1b00|00cd]}{[1401]}さぁ いよいよ はじまります！\nカービィせん{r2[しゅ]}手{/r2}の にゅうじょうだぁ～っ！
ArenaLive_FirstBattleStart_02	{[1b00|00cd]}{[1401]}ピンクのチャレンジャー！\nカービィせん{r2[しゅ]}手{/r2}の とうじょうだぁ～っ！
ArenaLive_FirstBattleStart_03	{[1b00|00cd]}{[1401]}ちゅうもく{r2[ど]}度{/r2} ナンバー１！\nカービィせん{r2[しゅ]}手{/r2}の にゅうじょうです～っ！
ArenaLive_NormalBattleStart_01	{[1b00|00cd]}{[1401]}カービィせん{r2[しゅ]}手{/r2}の アツい たたかいに\n{r2[かいじょう]}会場{/r2}の テンションも {r2[たか]}高{/r2}まってきましたぁっ！
ArenaLive_NormalBattleStart_02	{[1b00|00cd]}{[1401]}カービィせん{r2[しゅ]}手{/r2}は どこまで かちすすめるのか？\nきたいが {r2[たか]}高{/r2}まりますっ！
ArenaLive_NormalBattleStart_03	{[1b00|00cd]}{[1401]}カービィせん{r2[しゅ]}手{/r2}を おうえんするように\n{r2[かいじょう]}会場{/r2}には かん{r2[せい]}声{/r2}が ひびきわたっています～っ！
ArenaLive_NormalBattleStart_04	{[1b00|00cd]}{[1401]}ゆうしょう めざして\nすすめ！カービィせん{r2[しゅ]}手{/r2}！
ArenaLive_NormalBattleStart_05	{[1b00|00cd]}{[1401]}カービィせん{r2[しゅ]}手{/r2} さすがの いきおいです！\nあの{r2[つよ]}強{/r2}さのヒミツは なんなのでしょうか！
ArenaLive_NormalBattleStart_06	{[1b00|00cd]}{[1401]}カービィせん{r2[しゅ]}手{/r2}、つぎのバトルでは\nどのような ねっせんを くりひろげるのか！？
ArenaLive_NormalBattleStart_07	{[1b00|00cd]}{[1401]}カービィせん{r2[しゅ]}手{/r2}の かれいな たたかいに\n１{r2[びょう]}秒{/r2}たりとも {r2[め]}目{/r2}がはなせませんっ！！
ArenaLive_NormalBattleStart_08	{[1b00|00cd]}{[1401]}{r2[かいじょう]}会場{/r2}の かんせいが なりやみません！\nわたしの こうふんも おさえられませーんっ！
ArenaLive_NormalBattleStart_09	{[1b00|00cd]}{[1401]}みんなのヒーロー、カービィせん{r2[しゅ]}手{/r2}！\nすばらしい たたかいが つづいていますっ！
ArenaLive_NormalBattleStart_10	{[1b00|00cd]}{[1401]}カービィせん{r2[しゅ]}手{/r2}の みごとな たたかいっぷりに\nかんきゃくも ほれぼれしていますよぉ～！
ArenaLive_NormalBattleStart_11	{[1b00|00cd]}{[1401]}すばらしい ワザのかずかず…\nつぎは どんなワザを {r2[み]}見{/r2}せてくれるのか！？
ArenaLive_LastBattleStart_01	{[1b00|00cd]}{[1401]}アツい たたかいも クライマックスだぁ～っ！\nさいごまで {r2[み]}見{/r2}のがせませ～ん！
ArenaLive_LastBattleStart_02	{[1b00|00cd]}{[1401]}いよいよ はじまった ラストバトル！\n{r2[かいじょう]}会場{/r2}も さいこうに… もり{r2[あ]}上{/r2}がっております！
ArenaLive_LastBattleStart_03	{[1b00|00cd]}{[1401]}ついに ラストバトルです！\nしょうりの {r2[め]}女{/r2}がみは どちらに ほほえむのか！？
ArenaLive_BossBattleExtraLobby01_01	{[1b01|00cd]}ナゾの{r2[くうかん]}空間{/r2}まで じっきょうは おとどけ\nできませんが… このへやで まっていますよ！！
ArenaLive_BossBattleExtraLobby01_02	{[1b01|00cd]}とてつもない ヤツらが ナゾの{r2[くうかん]}空間{/r2}に いるとか…\nじっきょうは このへやまでですが、がんばって！
ArenaLive_BossBattleExtraLobby01_03	{[1b01|00cd]}ナゾの{r2[くうかん]}空間{/r2}まで われわれは {r2[い]}行{/r2}けませんが…\nこのへやで ぶじ、せいかんを まっていますよ！！
ArenaLive_BossBattleExtraLobby02	{[1401]}{[1b01|02cd]}ナゾの{r2[くうかん]}空間{/r2}での たたかいでも おそれしらず！\nさすがは かちぬいてきた ピンクのヒーローです！
ArenaLive_BossBattleExtraLobby03	{[1401]}{[1b01|02cd]}おそろしいバトルの ようですが ごぶじですね。\nそのまま ゆうしょうを めざしましょう！！
ArenaLive_BossBattleExtraLobby04	{[1401]}{[1b01|02cd]}カービィせん{r2[しゅ]}手{/r2}、こうちょうな ようですね！\nこのちょうしで がんばってくださいっ！
ArenaLive_BossBattleExtraLobby05	{[1b01|00cd]}きっと きびしいバトルかと おもいますが…\nきゅうけいすることも たいせつですよ！
ArenaLive_BossBattleExtraLobby06	{[1b01|00cd]}さすがは ピンクのあくま という いみょうを\nもつ カービィせん{r2[しゅ]}手{/r2}、{r2[ひゃくせん]}百戦{/r2}れんま ですね！
ArenaLive_BossBattleExtraLobby07	{[1401]}{[1b01|02cd]}いい ちょうしです カービィせん{r2[しゅ]}手{/r2}！\nじゅんびして、つぎも がんばってくださいっ！！
ArenaLive_BossBattleExtraLobby08	{[1b01|00cd]}カービィせん{r2[しゅ]}手{/r2}！ ゆだんは きんもつです。\nココから さらに ヤバいヤツらが つづきます！
ArenaLive_BossBattleExtraLobby09	{[1b01|00cd]}てきも かくだんに {r2[つよ]}強{/r2}くなっていきますよ！\nたいせいをととのえて ファイトですっ！
ArenaLive_BossBattleExtraLobby10	{[1b01|00cd]}さすがは ピンクのあくま…\nゆうしょうも きっと、ゆめでは ありません！
ArenaLive_BossBattleExtraLobby11	{[1401]}{[1b01|02cd]}それ{r2[い]}行{/r2}け、カービィせん{r2[しゅ]}手{/r2}！\nきっと しょうりは あなたの{r2[て]}手{/r2}にっ！
ArenaLive_BossBattleExtraLobby12_01	{[1b01|00cd]}つ、つ、ついに ラストバトルですー！\nどうか ごぶうんを！！
ArenaLive_BossBattleExtraLobby12_02	{[1401]}{[1b01|02cd]}きびしい たたかいを のりこえて…\nつぎこそ ラストバトル！ が、がんばれぇーっ！！
ArenaLive_BossBattleExtraLobby12_03	{[1401]}{[1b01|02cd]}とうとう つぎが ラストです…\nぶじに かえってくると、{r2[しん]}信{/r2}じていますよっ！！
ArenaLive_KirbyPinch_01	{[1b00|01cd]}{[1402]}これは いけない！！\nカービィせん{r2[しゅ]}手{/r2} ノックダウンすんぜんだぞ！
ArenaLive_KirbyPinch_02	{[1b00|01cd]}{[1402]}カービィせん{r2[しゅ]}手{/r2}！ フラフラです！\nもちこたえられるか！？
ArenaLive_KirbyPinch_03	{[1b00|01cd]}{[1402]}カービィせん{r2[しゅ]}手{/r2} きびしそうです！\nこのまま やぶれてしまうのか！？
ArenaLive_BossAngry_01	{[1b00|01cd]}おーっと あいても いよいよ{r2[ほんき]}本気{/r2}モードか！？\nまけるな、カービィせん{r2[しゅ]}手{/r2}！
ArenaLive_BossAngry_02	{[1b00|01cd]}たたかいも {r2[こうはん]}後半{/r2}へ とつにゅうだ！!\nこのあとも {r2[み]}見{/r2}のがせません！
ArenaLive_BossAngry_03	{[1b00|01cd]}カービィせん{r2[しゅ]}手{/r2}の こうげきが きいているぞ！\nここからは あいても {r2[ほんき]}本気{/r2}を{r2[だ]}出{/r2}すか！？
ArenaLive_SelectRevivalCount1	{[1b01|00cd]}たまらず ダウン！\n{r2[た]}立{/r2}ち{r2[あ]}上{/r2}がることが できるでしょうか？
ArenaLive_SelectRevivalCount2	{[1b01|00cd]}ここで またしても ダウンだー！\nふたたび {r2[た]}立{/r2}ち{r2[あ]}上{/r2}がることは できるか！？
ArenaLive_SelectRevivalCount3	{[1b01|00cd]}カービィせん{r2[しゅ]}手{/r2} つらくなってきたか？\nまだ たたかえるのか！？
ArenaLive_SelectRevivalCount4	{[1b01|00cd]}もう {r2[た]}立{/r2}ち{r2[あ]}上{/r2}がるのは キツイか？\nここが ふんばり どころです！！
ArenaLive_SelectRevivalCount5	{[1b01|00cd]}カービィせん{r2[しゅ]}手{/r2}！ {r2[か]}勝{/r2}つのは きびしいのか！？\nいや！ きっと{r2[か]}勝{/r2}てるはずだ！ がんばれっ！！
ArenaLive_BattleStartRevivalCount1	{[1b00|00cd]}{[1401]}カービィせん{r2[しゅ]}手{/r2}の さいにゅうじょうだぁ～！\nまだまだ たたかえそうです！！
ArenaLive_BattleStartRevivalCount2	{[1b00|00cd]}カービィせん{r2[しゅ]}手{/r2}！ まだ あきらめていません！\nこれは まだまだ きたいできそうですね！！
ArenaLive_BattleStartRevivalCount3	{[1b00|00cd]}きびしい たたかいが つづいてますね！\nカービィせん{r2[しゅ]}手{/r2}には がんばってほしいです。
ArenaLive_BattleStartRevivalCount4	{[1b00|00cd]}ここまできたら カービィせん{r2[しゅ]}手{/r2}には\nゆうしょうしてほしいです！ がんばれ！！
ArenaLive_BattleStartRevivalCount5	{[1b00|00cd]}がんばれ！カービィせん{r2[しゅ]}手{/r2}！\nわたしたちも ついているぞ！！
ArenaLive_ExtraLobbyRevivalCount1	{[1b01|00cd]}カービィせん{r2[しゅ]}手{/r2} だいじょうぶですか！？\nまだまだ これからですよ！
ArenaLive_ExtraLobbyRevivalCount2	{[1b01|00cd]}カービィせん{r2[しゅ]}手{/r2}！ まだ あきらめてはダメです。\nここから ばんかいして {r2[い]}行{/r2}きましょう！！
ArenaLive_ExtraLobbyRevivalCount3	{[1b01|00cd]}きびしい たたかいですが\nあきらめてはダメですよ。 カービィせん{r2[しゅ]}手{/r2}！
ArenaLive_ExtraLobbyRevivalCount4	{[1b01|00cd]}ここが ふんばりところですよ。\nがんばれ！！ カービィせん{r2[しゅ]}手{/r2}！！
ArenaLive_ExtraLobbyRevivalCount5	{[1b01|00cd]}まけないで カービィせん{r2[しゅ]}手{/r2}！！\nあなたなら かならず ゆうしょうできます。
ArenaLive_GameOverLv1_01	{[1402]}{[1b01|01cd]}ひじょうに ざんねんですね…\nつぎの さんかに きたいしたいです！
ArenaLive_GameOverLv1_02	{[1402]}{[1b01|01cd]}カービィせん{r2[しゅ]}手{/r2}！\n{r2[こんかい]}今回{/r2}は ほんちょうしでは なかったか！？
ArenaLive_GameOverLv1_03	{[1402]}{[1b01|01cd]}ゆうしょうには ほどとおい けっかでした。\nまけるな カービィせん{r2[しゅ]}手{/r2}！ またつぎがあるぞ！
ArenaLive_GameOverLv2_01	{[1b01|00cd]}{r2[こんかい]}今回{/r2}は まけてしまいましたが\nつぎこそ ゆうしょうめざして ファイトです！
ArenaLive_GameOverLv2_02	{[1b01|00cd]}{r2[こんご]}今後{/r2}の がんばりに きたいです！\nトレーニング あるのみですね！
ArenaLive_GameOverLv2_03	{[1b01|00cd]}ゆうしょうすることは できませんでしたが\nのびしろを かんじますね！
ArenaLive_GameOverLv3_01	{[1b01|00cd]}おしいところまで {r2[い]}行{/r2}っただけあって\n{r2[こんかい]}今回{/r2}の はいたいは ざんねんです！
ArenaLive_GameOverLv3_02	{[1b01|00cd]}じょばんは よかったんですが\n{r2[すこ]}少{/r2}し こうはんで つかれてしまったか？
ArenaLive_GameOverLv3_03	{[1b01|00cd]}カービィせん{r2[しゅ]}手{/r2}！ けんとうしましたが…\nおしくも ゆうしょうは できず！
ArenaLive_GameOverLv4_01	{[1b01|00cd]}あと{r2[いっぽ]}一歩{/r2}で ゆうしょう できそうでしたね。\nこれは つぎのさんかが たのしみです！
ArenaLive_GameOverLv4_02	{[1b01|00cd]}バトル{r2[ちゅう]}中{/r2}に なんども {r2[ひか]}光{/r2}るものがありましたが\nゆうしょうに {r2[て]}手{/r2}が とどきませんでした…
ArenaLive_GameOverLv4_03	{[1b01|00cd]}ついに ゆうしょうが {r2[み]}見{/r2}えてきましたね！\nきたいの せいえんも {r2[き]}聞{/r2}こえてきます。
ArenaLive_GameOverLv5_01	{[1b01|00cd]}カービィせん{r2[しゅ]}手{/r2}！ これは くやしいぞぉ～！\nつぎは まちがいなく ゆうしょうですね！！
