AbilityList.msbt
$TownAbilityListAttackText	Power
CopyAbility_Detail_StormTornado	Ominous clouds! Powerful winds! This scary\nstorm roars to life with the press of a button.\nPull enemies into your cyclone by swirling\ninto them, then attack with lightning!
CopyAbility_MaxStrengthenedName	{[0309|0000]}{[0109|0200]}{[010a|0300]}
AdviceWindow.msbt
Msg_DeformWithAbility	{[1905|04cd]}Ooh! It looks like you can inhale this big object\nwithout {color[ff4d2fff]}dropping {color[000000ff]}your current Copy Ability...{[0004]}Approach the object, then press {color[ff4d2fff]}{[0701|0100]} {color[000000ff]}to give it a try!
Msg_NoticeDropStarVacuum	{[1907|00cd]}See the {color[ff4d2fff]}stars{color[000000ff]} that keep popping up? You can use {color[ff4d2fff]}{[0701|0100]}\nto inhale them{color[000000ff]}, then spit 'em back out with {color[ff4d2fff]}{[0701|0100]} again{color[000000ff]}!{[0004]}If you don't have a Copy Ability handy, try to spit\nthose stars back at the enemy. That'll show 'em!
Msg_GuideToBlueprint	{[1402]}{[1903|00cd]}Whoa, hang on! You almost left a {color[ff4d2fff]}blueprint{color[000000ff]} behind.{[0004]}Blueprints are important, so be sure to{color[ff4d2fff]} grab them{color[000000ff]}.
Msg_UseStockItemAtPinch	{[1905|05cd]}{[1402]}Watch out, Kirby! Your health is running low!\n{color[ff4d2fff]}Hold down {[0702|0200]} {color[000000ff]}to use your stock item and heal up!
Msg_EstorySoulCompleted	{[1907|01cd]}Looks like you've already {color[ff4d2fff]}collected all the pieces {color[000000ff]}of\nLeon's Soul in this spot. Let's check the next area!
Msg_ManyRetryAtBoss_ExistNotPassedBlueprint	{[1909|00cd]}Hey, Kirby! Didn't you pick up a {color[ff4d2fff]}blueprint{color[000000ff]}?{[0004]}You should bring it to {color[ff4d2fff]}Waddle Dee's Weapons Shop\n{color[000000ff]}to evolve the ability into something more powerful!
Msg_ManyRetryAtBoss_UsedCopyAbilityAbleToEvolution	{[1909|00cd]}Hey, Kirby! I think the {color[ff4d2fff]}{[030a]} {color[000000ff]}ability you used in that\nlast battle is ready to be {color[ff4d2fff]}evolved{color[000000ff]}...{[0004]}We can {color[ff4d2fff]}evolve that ability to be even stronger{color[000000ff]}, then\ncome back and use it to fight the boss!
Msg_ManyRetryAtBoss_CopyAbilityAbleToUseEvoluted	{[1909|00cd]}Hey, Kirby! {color[ff4d2fff]}Evolved {color[000000ff]}Copy Abilities are {color[ff4d2fff]}extra\npowerful{color[000000ff]}, aren't they?{[0004]}They all have unique qualities too. Try experimenting\nwith {color[ff4d2fff]}different abilities {color[000000ff]}when you fight!
Msg_ManyRetryAtBoss_GuideToFoodShop_01	{[1909|00cd]}Don't forget about your {color[ff4d2fff]}stock items{color[000000ff]}, Kirby! Just {color[ff4d2fff]}hold\ndown {[0702|0200]}{color[000000ff]} to use them. It even works during battles!
Msg_ManyRetryAtBoss_GuideToFoodShop_02	If you have food saved as a stock item, you can use\nit to {color[ff4d2fff]}recover {color[000000ff]}some health.{[0004]}Just stop by the {color[ff4d2fff]}Waddle Dee Café {color[000000ff]}in town and grab\na to-go order!
Arena.msbt
$ArenaEntryFirstRewardText	First-Time\nClear Reward
$ArenaEntrySubtitle1Text	Rewards
ArenaPlayer_Single_Text	Solo
ArenaPlayer_Multi_Text	Co-op
ArenaEntry_ScoreTitle_Text	Best {[0302|0000]} Times
ArenaEntry_ChangeRankToSingle_Text	Switch to Solo
ArenaEntry_ChangeRankToMulti_Text	Switch to Co-op
$ArenaEntryEraseRecordText	Delete Records
$ArenaEntryRank1stText	1
$ArenaEntryRank2ndText	2
$ArenaEntryRank3rdText	3
ArenaEntry_RestBattleCount_Text	{[0301|0000]} Battles Left
$ArenaEntryBtnText	Enter
ArenaEntry_BattleCountTitle_Text	{[0301|0000]} Battles
ArenaRevival_ReMatch_Text	Retry from battle {[0301|0000]}?
ArenaRevival_RevivalBtn_Text	Retry (pay {[0100|8000]} {[0301|0000]})
$ReavivalBtnFromTheFirst	Start over
$ReavivalBtnGiveUp	Give up
$ArenaResultGameOverTitleText	KO'd in Round
$ArenaResultGameOverTitleRubyText	Round
ArenaResult_ScoreTitle_Text	Best {[0302|0000]} Times
$ArenaResultRecordText	New Record!
$More	MORE
$Final	FINAL\nBATTLE
$Next	NEXT
ArenaLive_FirstBattleStart_01	{[1b00|00cd]}{[1401]}Here we go, folks! Kirby has entered\nthe arenaaa!
ArenaLive_FirstBattleStart_02	{[1b00|00cd]}{[1401]}The puffy, pink pugilist has arrived! Kirby\nmakes his way into the arenaaa!
ArenaLive_FirstBattleStart_03	{[1b00|00cd]}{[1401]}Kirby has entered the arena, and the crowd\nhas entered hype mode!
ArenaLive_NormalBattleStart_01	{[1b00|00cd]}{[1401]}This battle's heating up, and the crowd\nis going wiiild!
ArenaLive_NormalBattleStart_02	{[1b00|00cd]}{[1401]}How long can Kirby keep up this victory\nstreak?! The crowd is hyped to find out!
ArenaLive_NormalBattleStart_03	{[1b00|00cd]}{[1401]}The crowd's cheers for Kirby are\nechoing off every wall in the arena!
ArenaLive_NormalBattleStart_04	{[1b00|00cd]}{[1401]}Go, Kirby! Victory is within your grasp!
ArenaLive_NormalBattleStart_05	{[1b00|00cd]}{[1401]}Kirby may never be stopped! What is the\nsecret to his colossal strength?!
ArenaLive_NormalBattleStart_06	{[1b00|00cd]}{[1401]}Things are heating up. What amazing\nmoves will Kirby show us next?
ArenaLive_NormalBattleStart_07	{[1b00|00cd]}{[1401]}You just can't take your eyes off him, folks!\nDon't even blink, or you'll miss the action!
ArenaLive_NormalBattleStart_08	{[1b00|00cd]}{[1401]}The crowd can't contain its excitement!\nI can't even contain my own! Go, Kirby!
ArenaLive_NormalBattleStart_09	{[1b00|00cd]}{[1401]}Time to clap and cheer—our hero is here!\nKirby's ready for another rooound!
ArenaLive_NormalBattleStart_10	{[1b00|00cd]}{[1401]}Kirby's martial might has everyone\nmesmerized! What will he do next?!
ArenaLive_NormalBattleStart_11	{[1b00|00cd]}{[1401]}So many dazzling moves! What amazing\nskill will Kirby show us next?!
ArenaLive_LastBattleStart_01	{[1b00|00cd]}{[1401]}It's down to this! The final battle! Whatever\nyou do, don't get up for snacks now!
ArenaLive_LastBattleStart_02	{[1b00|00cd]}{[1401]}The last battle is upon us, and the crowd\nis really going wild! Make some noiiise!
ArenaLive_LastBattleStart_03	{[1b00|00cd]}{[1401]}Finally! The last battle! Which warrior will\nthe goddess of victory smile upon today?!
ArenaLive_BossBattleExtraLobby01_01	{[1b01|00cd]}My voice can't reach this mysterious\narena, but you'll hear me in this room!
ArenaLive_BossBattleExtraLobby01_02	{[1b01|00cd]}Looks like you'll face some powerful foes.\nI'll track your progress from this room!
ArenaLive_BossBattleExtraLobby01_03	{[1b01|00cd]}We can't follow you into this mysterious\narena...but we'll be watching from here!
ArenaLive_BossBattleExtraLobby02	{[1401]}{[1b01|02cd]}No fear, not even in this mysterious\narena! Our pink prizefighter is on fire!
ArenaLive_BossBattleExtraLobby03	{[1401]}{[1b01|02cd]}Hoo-wee! That last battle looked tough.\nKeep going, Kirby! We believe in you!
ArenaLive_BossBattleExtraLobby04	{[1401]}{[1b01|02cd]}He's doing great in there, folks! Keep it\nup, Kirby—and good luck!
ArenaLive_BossBattleExtraLobby05	{[1b01|00cd]}Another intense battle surely awaits...\nTake a moment to rest, Kirby!
ArenaLive_BossBattleExtraLobby06	{[1b01|00cd]}Our hero is a veteran of battle, folks.\nSome circles call him the "Pink Demon"!
ArenaLive_BossBattleExtraLobby07	{[1401]}{[1b01|02cd]}You've come so far, Kirby! Prepare for\nthe next round. We're rooting for you!
ArenaLive_BossBattleExtraLobby08	{[1b01|00cd]}Kirby! Don't let your guard down! Your\nfoes will only get wilder from here!
ArenaLive_BossBattleExtraLobby09	{[1b01|00cd]}Each enemy is more powerful than the\nlast... Patch yourself up and fight on!
ArenaLive_BossBattleExtraLobby10	{[1b01|00cd]}He's still in it, folks! We expect nothing\nless from the "Pink Demon" himself!
ArenaLive_BossBattleExtraLobby11	{[1401]}{[1b01|02cd]}Go, Kirby! Fight on! Precious victory is\nwithin your grasp!
ArenaLive_BossBattleExtraLobby12_01	{[1b01|00cd]}F-f-finally! It's the f-f-final battle!\n*gulp* We wish you luck, Kirby!
ArenaLive_BossBattleExtraLobby12_02	{[1401]}{[1b01|02cd]}Such skill! So many intense battles! Now\nyou must face your final foe... Good luck!
ArenaLive_BossBattleExtraLobby12_03	{[1401]}{[1b01|02cd]}The next battle is also the last... Go finish\nthis fight and come back safe, Kirby!
ArenaLive_KirbyPinch_01	{[1b00|01cd]}{[1402]}Kirby is taking a beating! It's looking dire\nout there, folks, but don't lose hope yet!
ArenaLive_KirbyPinch_02	{[1b00|01cd]}{[1402]}Our hero is on his last leg! He can't take\nmuch more of this... Watch yourself, Kirby!
ArenaLive_KirbyPinch_03	{[1b00|01cd]}{[1402]}Things are looking rough for Kirby! Is this\nthe end, or can the puffball turn it around?!
ArenaLive_BossAngry_01	{[1b00|01cd]}Hang on to something, folks! Kirby's foe\nis about to go all out! Watch out, Kirby!
ArenaLive_BossAngry_02	{[1b00|01cd]}This battle's about to get way more intense!\nKeep those eyes aimed at the arena, folks!
ArenaLive_BossAngry_03	{[1b00|01cd]}Kirby's offense has made his opponent\ndesperate! Things are about to get tough!
ArenaLive_SelectRevivalCount1	{[1b01|00cd]}Oh no! Kirby's down for the count, folks!\nCan he get back on his feet in time?!
ArenaLive_SelectRevivalCount2	{[1b01|00cd]}Down again?! Come on, Kirby!\nUp and at 'em!
ArenaLive_SelectRevivalCount3	{[1b01|00cd]}Has Kirby finally fallen for good? Will he\nfind his footing and fight on?!
ArenaLive_SelectRevivalCount4	{[1b01|00cd]}He can't take much more, but this is the\ntrue test! Tough it out, Kirby!
ArenaLive_SelectRevivalCount5	{[1b01|00cd]}Has our hero truly met his match? Never!\nYou can do it, Kirby! I know you can!
ArenaLive_BattleStartRevivalCount1	{[1b00|00cd]}{[1401]}Kirby's back to it! This fight is far from\nover, folks!
ArenaLive_BattleStartRevivalCount2	{[1b00|00cd]}Kirby hasn't given up yet! Let's see what\nnew surprises he has in store!
ArenaLive_BattleStartRevivalCount3	{[1b00|00cd]}Incredible! The brutal battle continues!\nGood luck, Kirby!
ArenaLive_BattleStartRevivalCount4	{[1b00|00cd]}Go, go, Kirbyyy! He refuses to quit!\nYou can't help but root for him!
ArenaLive_BattleStartRevivalCount5	{[1b00|00cd]}Yes! Go, Kirby! We're right here with you!
ArenaLive_ExtraLobbyRevivalCount1	{[1b01|00cd]}You OK, Kirby? The true test of skill\nhasn't even started yet!
ArenaLive_ExtraLobbyRevivalCount2	{[1b01|00cd]}Don't give up now, Kirby! Take a moment\nto recover, then dive back into it!
ArenaLive_ExtraLobbyRevivalCount3	{[1b01|00cd]}It's a tough battle for sure, but don't\ngive up, Kirby! We believe in you!
ArenaLive_ExtraLobbyRevivalCount4	{[1b01|00cd]}Stand your ground, Kirby! You've got this\nnext battle in the bag!
ArenaLive_ExtraLobbyRevivalCount5	{[1b01|00cd]}Don't give up, Kirby! We know you can\ndo it! We know you can win!
ArenaLive_GameOverLv1_01	{[1402]}{[1b01|01cd]}Oh no! You hate to see it end so soon...\nLet's hope Kirby fares better next time!
ArenaLive_GameOverLv1_02	{[1402]}{[1b01|01cd]}Oof! Not the most impressive showing from\nour hero, but we love him all the same!
ArenaLive_GameOverLv1_03	{[1402]}{[1b01|01cd]}Our hero fell far short of victory...but don't\ngive up, Kirby! There's always next time!
ArenaLive_GameOverLv2_01	{[1b01|00cd]}He fell short this time, but here's hoping he\nreturns to fight again! See you soon, Kirby!
ArenaLive_GameOverLv2_02	{[1b01|00cd]}Aaand that's the match, folks! Tough luck,\nKirby. We'll see you in your next attempt!
ArenaLive_GameOverLv2_03	{[1b01|00cd]}Kirby's tasting bitter defeat for now...but\nthe little fella's got potential. Next time!
ArenaLive_GameOverLv3_01	{[1b01|00cd]}Awww, and he was on such a roll! A tough\ndefeat, but he's sure to get 'em next time.
ArenaLive_GameOverLv3_02	{[1b01|00cd]}A stellar start, but the plucky puffball finally\nhit his limit. Tough luck, Kirby!
ArenaLive_GameOverLv3_03	{[1b01|00cd]}Kirby gave it his all, but fate stopped him\njust short of victory!
ArenaLive_GameOverLv4_01	{[1b01|00cd]}So close to victory... Imagine how exciting\nthe next attempt will be! Try again, Kirby!
ArenaLive_GameOverLv4_02	{[1b01|00cd]}Shocking defeat! Kirby put on quite a show,\nbut it wasn't enough to cinch the win! Aww.
ArenaLive_GameOverLv4_03	{[1b01|00cd]}Victory was so close! Cheers are echoing\nin from the future... Return to fight again!
ArenaLive_GameOverLv5_01	{[1b01|00cd]}Oof! A mortifying defeat for our hero, Kirby!\nDon't worry, folks—he'll get 'em next time!
ArenaLive_GameOverLv5_02	{[1b01|00cd]}Oh no! So close! This one's a heartbreaker,\nfolks... Let's hope he tries again soon!
ArenaLive_GameOverLv5_03	{[1b01|00cd]}Nooo! Bested by his final opponent with\nvictory in sight... Sorry, Kirby!
ArenaLive_ResultClearFirst_CartelOfMetaKnight	{[1401]}{[1b01|02cd]}Whoa! A stunning victory over the lone\nswordsman, Meta Knight! KIRBY WINS!
ArenaLive_ResultClearFirst_BossBattle	{[1401]}{[1b01|02cd]}Wow! Our beloved, pink puffball is the\nlast fighter standing! KIRBY WINS!
ArenaLive_ResultClearFirst_BossBattleExtra	{[1401]}{[1b01|02cd]}He made it back! The champion of Planet\nPopstar has done it! KIRBY WIIIIINS!
ArenaLive_ResultClear_01	{[1401]}{[1b01|02cd]}What a heated battle! I'll bet the next\ntourney gets even more intense!
ArenaLive_ResultClear_02	{[1401]}{[1b01|02cd]}A solid show of skill indeed! We always\nknew Kirby would come out on top!
ArenaLive_ResultClear_03	{[1401]}{[1b01|02cd]}Such an amazing victory! Knowing Kirby,\nmany more are sure to follow!
ArenaLive_ResultClearRankIn_01	{[1401]}{[1b01|02cd]}What an amazing battle! Let's see if he\ncan do it again, only faster!
ArenaLive_ResultClearRankIn_02	{[1401]}{[1b01|02cd]}What an impressive record! Next time,\naim for that top spot!
ArenaLive_ResultClearRankIn_03	{[1401]}{[1b01|02cd]}No new record this time...but wow, what\na battle! Stupendous job, Kirby!
ArenaLive_ResultClearNewRecord_01	{[1401]}{[1b01|02cd]}An impressive new record! Kirby has set\na high bar for the tourneys to come!
ArenaLive_ResultClearNewRecord_02	{[1401]}{[1b01|02cd]}Look at that, folks! Kirby has set a new\nrecord for an unbelievable victory!
ArenaLive_ResultClearNewRecord_03	{[1401]}{[1b01|02cd]}History has been rewritten! There's a new\nbest time to beat, and it belongs to Kirby!
ArenaLive_ResultClear_BossBattleExtra_01	{[1401]}{[1b01|02cd]}What a grueling gauntlet that was...but \nour hero still made it out alive!
ArenaLive_ResultClear_BossBattleExtra_02	{[1401]}{[1b01|02cd]}In this and any other world, Kirby is\nsimply unstoppable!
ArenaLive_ResultClear_BossBattleExtra_03	{[1401]}{[1b01|02cd]}That mysterious arena is no match for our\nplucky prizefighter! Congrats, Kirby!
ArenaLive_ResultClearRankIn_BossBattleExtra_01	{[1401]}{[1b01|02cd]}It was a harrowing battle in a mysterious\narena...but Kirby still set a new record!
ArenaLive_ResultClearRankIn_BossBattleExtra_02	{[1401]}{[1b01|02cd]}An impressive new record! Kirby's a force\nto be reckoned with in any arena!
ArenaLive_ResultClearRankIn_BossBattleExtra_03	{[1401]}{[1b01|02cd]}Kirby lives to fight on! Will he return to\nbeat his own record time? We'll see!
ArenaLive_ResultClearNewRecord_BossBattleExtra_01	{[1401]}{[1b01|02cd]}Kirby's bottomless courage has earned\nhim a new top record! Way to go!
ArenaLive_ResultClearNewRecord_BossBattleExtra_02	{[1401]}{[1b01|02cd]}What manner of battle just took place?\nWho knows? But Kirby set a new record!
ArenaLive_ResultClearNewRecord_BossBattleExtra_03	{[1401]}{[1b01|02cd]}What just happened? I have no idea, but\nKirby gets to claim a new top record!
Caption.msbt
ElevatorDemoAnnounce	Automatic language detection...activated.{[0004]}Authentication system...activated.{[0004]}Authenticating... Authenticating...{[0004]}Entry code approved.{[0004]}Initiating facility navigation protocol.{[0004]}Welcome, visitors,{[0004]}to the Dream Discoveries Tour of our science facility,{[0004]}Lab Discovera!{[0004]}On this thrilling tour,{[0004]}you'll be introduced to the ultimate life-form,{[0004]}specimen ID-F86!{[0004]}From the moment ID-F86 arrived on our planet,{[0004]}it began a campaign of destruction{[0004]}that threatened the native wildlife of our entire world.{[0004]}Luckily, our research team managed to capture it{[0004]}before it could complete its invasion.{[0004]}Once it was contained, our lab began studying{[0004]}ID-F86's spatial teleportation ability—{[0004]}research that laid the groundwork{[0004]}for the planetary warp technology we enjoy today!{[0004]}However, 30 years after our research began,{[0004]}a "warp-experiment incident" occurred in this facility.{[0004]}A new life-form, separated from the main specimen,{[0004]}escaped in the aftermath.{[0004]}That new subspecimen has yet to be recovered.{[0004]}In the time since, ID-F86{[0004]}has shown no signs of activity.{[0004]}It is now kept in a state of permanent stasis{[0004]}within the custom-made Eternal Capsule{[0004]}here on the top level of Lab Discovera.{[0004]}And here we are!{[0004]}Let's meet the ultimate life-form: specimen ID-F86!
ThemeSong	Strange horizon. Ready to go.{[0004]}Feast your eyes on a new world!{[0004]}A new dreamland. A place where you'll laugh and smile.{[0004]}Along the way, stuff your belly and nap awhile.{[0004]}No one can hold you back. New fields full of mystery.{[0004]}The sky's opened up, and there's so much to see.{[0004]}Running wild!{[0004]}Just let your heart take the wheel and show you the way.{[0004]}Fresh spring breeze!{[0004]}Adventure is awaiting you in the fields of a new world!{[0004]}
ThemeSongLocalLyric	STRANGE HORIZON. READY TO GO.{[0004]}FEAST YOUR EYES ON A NEW WORLD!{[0004]}A NEW DREAMLAND. A PLACE WHERE YOU'LL LAUGH AND SMILE.{[0004]}ALONG THE WAY, STUFF YOUR BELLY AND NAP AWHILE.{[0004]}NO ONE CAN HOLD YOU BACK. NEW FIELDS FULL OF MYSTERY.{[0004]}THE SKY'S OPENED UP, AND THERE'S SO MUCH TO SEE.{[0004]}RUNNING WILD!{[0004]}JUST LET YOUR HEART TAKE THE WHEEL AND SHOW YOU THE WAY.{[0004]}FRESH SPRING BREEZE!{[0004]}ADVENTURE IS AWAITING YOU IN THE FIELDS OF A NEW WORLD!
FullThemeSong	Strange horizon. Ready to go.{[0004]}Feast your eyes on a new world!{[0004]}A new dreamland. A place where you'll laugh and smile.{[0004]}Along the way, stuff your belly and nap awhile.{[0004]}No one can hold you back. New fields full of mystery.{[0004]}The sky's opened up, and there's so much to see.{[0004]}Running wild!{[0004]}Just let your heart take the wheel and show you the way.{[0004]}Fresh spring breeze!{[0004]}Adventure is awaiting you in the fields of a new world!{[0004]}Strange emotion. What do you feel?{[0004]}The roaring ocean of a new world!{[0004]}Don't be afraid. Face your fears—you'll hunger for more.{[0004]}The tension builds; plunge ahead on this thrilling tour.{[0004]}Think of the friends you've made, all of them living free.{[0004]}Their cares have been washed away by a wild sea.{[0004]}Laughing loud!{[0004]}Even if you're far apart, they're right by your side.{[0004]}Hearts full of love!{[0004]}Everyone is welcome to live in this new world.{[0004]}Running wild!{[0004]}Just let your heart take the wheel and show you the way.{[0004]}Fresh spring breeze!{[0004]}Adventure is awaiting you in the fields of a—{[0004]}Open hearts already fluttering free and riding the breeze.{[0004]}Nothing but love to share with everyone we know. Whoa!{[0004]}New world{[0004]}New world{[0004]}New world{[0004]}
