glossary.msbt
gl_799	クッパケーキ
hsmg602_tlp_win_condition00	★を{r2[け]}消{/r2}してハイスコアを{r2[めざ]}目指{/r2}せ！
hsmg602_tlp_win_condition01	ライバルよりたくさんブロックを{r2[け]}消{/r2}せ！
hsmg603_tlp_win_condition01	ライバルよりたくさんボールを{r2[け]}消{/r2}せ！
hsmg402_MGctrlGuide	 {r2[ゆきだま]}雪玉{/r2}を{r2[つく]}作{/r2}る({r2[れんだ]}連打{/r2})
hsmg215_MGctrlGuide	{r2[まえ]}前{/r2}のプレイヤー  {r2[ほうこう]}方向{/r2}　　{r2[うし]}後{/r2}ろのプレイヤー  はばたく
hsmg501_MGctrlGuide	 {r2[いどう]}移動{/r2}　 ボールを{r2[う]}打{/r2}つ　 ジャンプ
hsmg502_MGctrlGuide	 {r2[いどう]}移動{/r2}　 パス/タックル　 {r2[つよ]}強{/r2}いショット　 {r2[よわ]}弱{/r2}いショット
hsmg503_MGctrlGuide	 {r2[いどう]}移動{/r2}　 パス/タックル　 ける
hsmg_ui_pts	[0]{size[3c00]}pts{size[6400]}
hsmg_speed_3digit	[0]
hsmg_speed_max	MAX
hsmg_speed	km/h
hsmg_consecutive_wins	[0]勝
hsmg_record_privateTimer	[0]:[1].[2]
hsmg404_count	[0]
hsmg404_answer	[0]
hsmg407_jump	[0]
hsmg425_pageNumber	[0]
hsmg430_tlp_memory	{r2[ばしょ]}場所{/r2}を{r2[おぼ]}覚{/r2}えよう！
hsmg430_tlp_return	{r2[もと]}元{/r2}の{r2[ばしょ]}場所{/r2}にもどそう！
hsmg441_tlp_select	{r2[じゅんばん]}順番{/r2}{r2[ぎ]}決{/r2}め
hsmg441_tlp_hole_in_one	ホールインワン
hsmg441_number	[0]
hsmg441_score_distance_2point	[0].[1]
hsmg441_score_m	m
hsmg441_skip	/スキップ
hsmg444_skip	/スキップ
hsmg444_count	[0]°
hsmg445_gauge	[0]
hsmg445_replay	REPLAY
hsmg447_rank	[0]
hsmg449_answer	[0]
hsmg701_jump	[0]
hsmg501_tlp_matchPoint	マッチポイント
hsmg503_tlp_gorl	ゴール！
hsmg503_tlp_kickoff	キックオフ！
hsmg601_tlp_miss	ミス
hsmg602_score	スコア
hsmg602_score_myself	[0]
hsmg602_score_high	[0]
hsmg602_level	レベル
hsmg602_level_myself	[0]
hsmg602_star	{r2[け]}消{/r2}す★の{r2[かず]}数{/r2}
hsmg602_star_myself	[0]/[1]
hsmg602_level_clear	レベル[0]クリア！
hsmg602_next_level	レベル[0]
hsmg603_score	スコア
hsmg603_score_myself	[0]
hsmg603_score_high	[0]
hsmg603_level	レベル
hsmg603_level_myself	[0]
hsmg603_level_clear	レベル[0]クリア！
hsmg603_next_level	レベル[0]
hsmg603_timer_count	[0].[1]
hsmg_inst.msbt
inst_mgWarning	{color[ffffffff]}{color[000000ff]}{color[110c1dff]}コントローラーのスティックを\r\n{r2[て]}手{/r2}のひらなどの{r2[よわ]}弱{/r2}い{r2[ぶぶん]}部分{/r2}で\r\n{r2[そうさ]}操作{/r2}しないでください。{color[000000ff]}
inst_mgTitle	[0]
inst_tlp_ctrl	{r2[そうさ]}操作{/r2}してみよう
inst_OK	OK！
inst_readyOK	/　スタート！
inst_ctrl_ui	{r2[そうさ]}操作{/r2}{r2[ほうほう]}方法{/r2}
inst_ctrl_side01	{r2[ひとり]}1人{/r2}{r2[がわ]}側{/r2}
inst_ctrl_side03	3{r2[にんがわ]}人側{/r2}
inst_vs	VS
inst_abandonedtimer	[0]
inst_hsmg401_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg401_ctrl01	 ジャンプ
inst_hsmg401_ctrl02	→ ヒップドロップ
inst_hsmg402_ctrl00	 {r2[ゆき]}雪{/r2}{r2[だま]}玉{/r2}を{r2[つく]}作{/r2}る({r2[れんだ]}連打{/r2})
inst_hsmg402_ctrl01	 {r2[いどう]}移動{/r2}
inst_hsmg402_ctrl02	 {r2[ゆきだま]}雪玉{/r2}を{r2[お]}押{/r2}し{r2[だ]}出{/r2}す
inst_hsmg403_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg403_ctrl01	 ジャンプ
inst_hsmg403_ctrl02	 パンチ
inst_hsmg403_ctrl03	→ ヒップドロップ
inst_hsmg404_ctrl00	 カウント ＋1
inst_hsmg404_ctrl01	 カウント －1
inst_hsmg405_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg405_ctrl01	 ジャンプ
inst_hsmg406_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg407_ctrl00	 ジャンプ
inst_hsmg408_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg408_ctrl01	 {r2[だい]}大{/r2}ジャンプ
inst_hsmg408_ctrl02	 {r2[かいてん]}回転{/r2}({r2[だい]}大{/r2}ジャンプ{r2[ちゅう]}中{/r2})
inst_hsmg409_ctrl00	 ふる
inst_hsmg410_ctrl00	 {r2[む]}向{/r2}き
inst_hsmg410_ctrl01	 ジャンプ
inst_hsmg411_ctrl00	 {r2[あな]}穴{/r2}を{r2[えら]}選{/r2}ぶ
inst_hsmg411_ctrl01	 {r2[かお]}顔{/r2}を{r2[だ]}出{/r2}す({r2[お]}押{/r2}している{r2[あいだ]}間{/r2})
inst_hsmg412_ctrl00	 {r2[しろ]}白{/r2}い{r2[はた]}旗{/r2}をあげる
inst_hsmg412_ctrl01	 {r2[あか]}赤{/r2}い{r2[はた]}旗{/r2}をあげる
inst_hsmg413_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg414_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg414_ctrl01	 ジャンプ
inst_hsmg415_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg416_ctrl00	 {r2[て]}照{/r2}らす
inst_hsmg417_ctrl00	＋ {r2[ま]}巻{/r2}く({r2[どうじ]}同時{/r2}{r2[れんだ]}連打{/r2})
inst_hsmg418_ctrl00	 たたく({r2[れんだ]}連打{/r2})
inst_hsmg419_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg419_ctrl01	 ジャンプ
inst_hsmg420_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg421_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg421_ctrl01	 ジャンプ
inst_hsmg421_ctrl02	 パンチ
inst_hsmg421_ctrl03	→ ヒップドロップ
inst_hsmg422_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg423_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg424_ctrl00	 {r2[いどう]}移動{/r2}して{r2[てがみ]}手紙{/r2}を{r2[ひろ]}拾{/r2}う／わたす
inst_hsmg425_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg426_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg427_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg427_ctrl01	 {r2[はっしゃ]}発射{/r2}
inst_hsmg427_ctrl02	 {r2[うえ]}上{/r2}に{r2[はっしゃ]}発射{/r2}
inst_hsmg427_ctrl03	/ {r2[ほうこう]}方向{/r2}{r2[こてい]}固定{/r2}({r2[お]}押{/r2}している{r2[あいだ]}間{/r2})
inst_hsmg428_ctrl00	 {r2[えら]}選{/r2}ぶ
inst_hsmg428_ctrl01	 {r2[お]}押{/r2}す
inst_hsmg429_ctrl00	 ジャンプ
inst_hsmg430_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg430_ctrl01	 つかむ/{r2[お]}置{/r2}く
inst_hsmg430_ctrl02	 カーテンを{r2[し]}閉{/r2}める/{r2[あ]}開{/r2}ける
inst_hsmg431_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg431_ctrl01	 {r2[かお]}顔{/r2}をつかむ({r2[お]}押{/r2}している{r2[あいだ]}間{/r2})
inst_hsmg431_ctrl02	 リセット
inst_hsmg432_ctrl00	 {r2[すす]}進{/r2}む
inst_hsmg432_ctrl01	 バック
inst_hsmg432_ctrl02	 {r2[む]}向{/r2}きを{r2[か]}変{/r2}える
inst_hsmg433_ctrl00	 {r2[およ]}泳{/r2}ぐ({r2[れんだ]}連打{/r2})
inst_hsmg433_ctrl01	 もぐる
inst_hsmg434_ctrl00	 {r2[はっしゃ]}発射{/r2}
inst_hsmg435_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg436_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg437_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg437_ctrl01	 ジャンプ
inst_hsmg437_ctrl02	 パンチ
inst_hsmg437_ctrl03	→ キック
inst_hsmg438_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg438_ctrl01	 ジャンプ
inst_hsmg438_ctrl02	 パンチ
inst_hsmg438_ctrl03	→ ヒップドロップ
inst_hsmg439_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg439_ctrl01	を{r2[はな]}離{/r2}す　タルに{r2[かく]}隠{/r2}れる
inst_hsmg440_ctrl00	の{r2[かくど]}角度{/r2}　スピード{r2[ちょうせい]}調整{/r2}
inst_hsmg441_ctrl00	 {r2[ほうこう]}方向{/r2}
inst_hsmg441_ctrl01	 {r2[つよ]}強{/r2}さ
inst_hsmg441_ctrl02	 {r2[う]}打{/r2}つ
inst_hsmg442_ctrl00	 カゴを{r2[お]}落{/r2}とす
inst_hsmg443_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg443_ctrl01	 ジャンプ
inst_hsmg444_ctrl00	 {r2[じゅんばん]}順番{/r2}に{r2[お]}押{/r2}して{r2[かいてん]}回転{/r2}
inst_hsmg444_ctrl99	 {r2[じゅんばん]}順番{/r2}に{r2[お]}押{/r2}して{r2[かいてん]}回転{/r2}
inst_hsmg445_ctrl00	 {r2[すす]}進{/r2}む({r2[こうご]}交互{/r2})
inst_hsmg446_ctrl00	 {r2[ほうこう]}方向{/r2}
inst_hsmg446_ctrl01	 {r2[ぜんしん]}前進{/r2}({r2[お]}押{/r2}している{r2[あいだ]}間{/r2})
inst_hsmg447_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg447_ctrl01	 スピード1{r2[だんかい]}段階{/r2}UP
inst_hsmg448_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg448_ctrl01	 ドアに{r2[はい]}入{/r2}る
inst_hsmg449_ctrl00	 カウント ＋1
inst_hsmg101_ctrl10	 ジャンプ
inst_hsmg101_ctrl11	→ ヒップドロップ
inst_hsmg101_ctrl30	 {r2[いどう]}移動{/r2}
inst_hsmg101_ctrl31	 ジャンプ
inst_hsmg102_ctrl10	 {r2[いわ]}岩{/r2}を{r2[お]}落{/r2}とす{r2[ほうこう]}方向{/r2}
inst_hsmg102_ctrl11	 {r2[いわ]}岩{/r2}を{r2[お]}落{/r2}とす
inst_hsmg102_ctrl30	 {r2[いどう]}移動{/r2}
inst_hsmg103_ctrl10	 {r2[いどう]}移動{/r2}
inst_hsmg103_ctrl30	 {r2[いどう]}移動{/r2}
inst_hsmg103_ctrl31	 ジャンプ
inst_hsmg103_ctrl32	→ ヒップドロップ
inst_hsmg104_ctrl10	 {r2[に]}逃{/r2}げる({r2[れんだ]}連打{/r2})
inst_hsmg104_ctrl11	 ジャンプ
inst_hsmg104_ctrl30	 ジャンプ
inst_hsmg104_ctrl31	→ ヒップドロップ
inst_hsmg105_ctrl00	 つなを{r2[ひ]}引{/r2}く({r2[まわ]}回{/r2}す)
inst_hsmg106_ctrl10	 {r2[いどう]}移動{/r2}
inst_hsmg106_ctrl11	 もぐる({r2[お]}押{/r2}している{r2[あいだ]}間{/r2})
inst_hsmg106_ctrl30	 サーチライト{r2[いどう]}移動{/r2}
inst_hsmg107_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg108_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg108_ctrl01	 {r2[かそく]}加速{/r2}
inst_hsmg108_ctrl02	 {r2[げんそく]}減速{/r2}
inst_hsmg109_ctrl10	 {r2[ひだり]}左{/r2}{r2[かいてん]}回転{/r2}
inst_hsmg109_ctrl11	 {r2[みぎ]}右{/r2}{r2[かいてん]}回転{/r2}
inst_hsmg109_ctrl30	 {r2[いどう]}移動{/r2}
inst_hsmg110_ctrl10	 {r2[いどう]}移動{/r2}
inst_hsmg110_ctrl11	 ダッシュ
inst_hsmg110_ctrl30	 {r2[いどう]}移動{/r2}
inst_hsmg110_ctrl31	 タックル
inst_hsmg111_ctrl10	 {r2[いどう]}移動{/r2}
inst_hsmg111_ctrl11	 {r2[ゆみ]}弓{/r2}を{r2[かま]}構{/r2}える/{r2[や]}矢{/r2}を{r2[い]}射{/r2}る
inst_hsmg111_ctrl30	 {r2[いどう]}移動{/r2}
inst_hsmg112_ctrl10	 {r2[いどう]}移動{/r2}
inst_hsmg112_ctrl11	 ジャンプ
inst_hsmg112_ctrl30	 {r2[ほうこう]}方向{/r2}
inst_hsmg112_ctrl31	 シュート
inst_hsmg112_ctrl32	 {r2[つよ]}強{/r2}いシュート({r2[ながお]}長押{/r2}し）
inst_hsmg113_ctrl10	 トゲこんぼうの{r2[ほうこう]}方向{/r2}
inst_hsmg113_ctrl30	 {r2[いどう]}移動{/r2}
inst_hsmg114_ctrl10	 スイッチを{r2[えら]}選{/r2}ぶ
inst_hsmg114_ctrl11	 {r2[お]}押{/r2}す
inst_hsmg114_ctrl30	 {r2[かく]}隠{/r2}れる{r2[ばしょ]}場所{/r2}を{r2[えら]}選{/r2}ぶ
inst_hsmg115_ctrl00	 {r2[じょうげさゆう]}上下左右{/r2}（たおしている{r2[あいだ]}間{/r2}）
inst_hsmg115_ctrl01	 {r2[しょうめん]}正面{/r2}を{r2[む]}向{/r2}く({r2[はな]}離{/r2}す)
inst_hsmg201_ctrl00	 {r2[みぎあし]}右足{/r2}を{r2[だ]}出{/r2}す
inst_hsmg201_ctrl01	 {r2[ひだりあし]}左足{/r2}を{r2[だ]}出{/r2}す
inst_hsmg202_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg202_ctrl01	 ピザを{r2[た]}食{/r2}べる({r2[れんだ]}連打{/r2})
inst_hsmg203_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg203_ctrl01	 ジャンプ
inst_hsmg204_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg205_ctrl00	 {r2[ざいりょう]}材料{/r2}を{r2[も]}持{/r2}つ/{r2[お]}置{/r2}く
inst_hsmg206_ctrl00	 ボブスレーを{r2[お]}押{/r2}す({r2[れんだ]}連打{/r2})
inst_hsmg206_ctrl01	 {r2[かそく]}加速{/r2}
inst_hsmg206_ctrl02	 {r2[げんそく]}減速{/r2}
inst_hsmg206_ctrl03	 {r2[ほうこう]}方向{/r2}
inst_hsmg207_ctrl00	 バランスを{r2[と]}取{/r2}る
inst_hsmg207_ctrl01	 {r2[かそく]}加速{/r2}({r2[れんだ]}連打{/r2})
inst_hsmg207_ctrl02	 ブレーキ
inst_hsmg208_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg209_ctrl00	 {r2[も]}持{/r2}つ({r2[お]}押{/r2}している{r2[あいだ]}間{/r2})
inst_hsmg209_ctrl01	 {r2[はな]}離{/r2}す({r2[はな]}離{/r2}す)
inst_hsmg210_ctrl00	 {r2[ひ]}引{/r2}く({r2[お]}押{/r2}している{r2[あいだ]}間{/r2})
inst_hsmg210_ctrl01	 {r2[お]}押{/r2}す({r2[お]}押{/r2}している{r2[あいだ]}間{/r2})
inst_hsmg211_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg211_ctrl01	 スイッチを{r2[お]}押{/r2}す
inst_hsmg212_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg212_ctrl01	 ジャンプ
inst_hsmg213_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg213_ctrl01	 パンチ
inst_hsmg213_ctrl02	 ジャンプ
inst_hsmg213_ctrl03	→ キック
inst_hsmg214_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg214_ctrl01	 ペンキを{r2[はっしゃ]}発射{/r2}
inst_hsmg215_ctrlGuide00	{r2[まえ]}前{/r2}のプレイヤー
inst_hsmg215_ctrlGuide01	{r2[うし]}後{/r2}ろのプレイヤー
inst_hsmg215_ctrl00	 {r2[ほうこう]}方向{/r2}
inst_hsmg215_ctrl10	 はばたく
inst_hsmg701_ctrl00	 ジャンプ
inst_hsmg702_ctrl00	 {r2[と]}飛{/r2}び{r2[うつ]}移{/r2}る
inst_hsmg703_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg704_ctrl00	 に{r2[いどう]}移動{/r2}
inst_hsmg704_ctrl01	 に{r2[いどう]}移動{/r2}
inst_hsmg705_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg801_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg801_ctrl01	 ジャンプ
inst_hsmg801_ctrl02	→ ヒップドロップ
inst_hsmg802_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg802_ctrl01	 パラソルを{r2[ひら]}開{/r2}く/{r2[と]}閉{/r2}じる
inst_hsmg803_ctrl00	 たおす{r2[かくど]}角度{/r2}で{r2[きょり]}距離{/r2}を{r2[ちょうせい]}調整{/r2}
inst_hsmg803_ctrl01	 {r2[と]}飛{/r2}ばす({r2[はな]}離{/r2}す)
inst_hsmg803_ctrl02	 リールを{r2[ま]}巻{/r2}く({r2[まわ]}回{/r2}す)
inst_hsmg804_ctrl00	 {r2[はこ]}箱{/r2}を{r2[あ]}開{/r2}ける
inst_hsmg805_ctrl10	 {r2[すな]}砂{/r2}を{r2[みぎ]}右{/r2}{r2[かいてん]}回転{/r2}
inst_hsmg805_ctrl11	 {r2[すな]}砂{/r2}を{r2[ひだり]}左{/r2}{r2[かいてん]}回転{/r2}
inst_hsmg805_ctrl30	 {r2[いどう]}移動{/r2}
inst_hsmg806_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg807_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg808_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg808_ctrl01	 ジャンプ
inst_hsmg809_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg810_ctrl00	 {r2[ほうこう]}方向{/r2}
inst_hsmg810_ctrl01	 こぐ({r2[れんだ]}連打{/r2})
inst_hsmg501_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg501_ctrl01	 ボールを{r2[う]}打{/r2}つ
inst_hsmg501_ctrl02	 ジャンプ
inst_hsmg501_ctrl03	→ アタック(ジャンプ{r2[ちゅう]}中{/r2}) 
inst_hsmg502_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg502_ctrl01	 パス/タックル
inst_hsmg502_ctrl02	 {r2[つよ]}強{/r2}いショット
inst_hsmg502_ctrl03	 {r2[よわ]}弱{/r2}いショット
inst_hsmg503_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg503_ctrl01	 パス/タックル
inst_hsmg503_ctrl02	 ける
inst_hsmg503_ctrl03	＋ ける{r2[ほうこう]}方向{/r2}({r2[お]}押{/r2}している{r2[あいだ]}間{/r2})
inst_hsmg601_ctrl00	 {r2[いどう]}移動{/r2}
inst_hsmg601_ctrl01	 {r2[はや]}速{/r2}く{r2[いどう]}移動{/r2}
inst_hsmg601_ctrl02	 {r2[らっか]}落下{/r2}
inst_hsmg601_ctrl03	 {r2[じょうげ]}上下{/r2}{r2[い]}入{/r2}れかえ
inst_hsmg602_ctrl00	 カーソル{r2[いどう]}移動{/r2}
inst_hsmg602_ctrl01	 ブロックを{r2[うえ]}上{/r2}に{r2[おく]}送{/r2}る
inst_hsmg602_ctrl02	＋ {r2[はこ]}運{/r2}ぶ({r2[お]}押{/r2}している{r2[あいだ]}間{/r2})
inst_hsmg602_ctrl03	 {r2[じょうしょう]}上昇{/r2}させる
inst_hsmg603_ctrl00	 ステージ{r2[かいてん]}回転{/r2}
inst_hsmg603_ctrl01	 ボールを{r2[お]}落{/r2}とす
inst_hsmg401_rule	わたしが{r2[だ]}出{/r2}すパネルと {r2[おな]}同{/r2}じ{r2[もよう]}模様{/r2}のキノコに\r\nすばやく{r2[いどう]}移動{/r2}しましょう。
inst_hsmg402_rule	{r2[つく]}作{/r2}った{r2[ゆき]}雪{/r2}{r2[だま]}玉{/r2}を{r2[おお]}大{/r2}きくして\r\nライバルにぶつけましょう。
inst_hsmg403_rule	オンプをライバルより{r2[さき]}先{/r2}に{r2[と]}取{/r2}りましょう。\r\n{r2[め]}目{/r2}が{r2[まわ]}回{/r2}っているので{r2[おも]}思{/r2}ったようには{r2[うご]}動{/r2}けません！
inst_hsmg404_rule	キャラクターの{r2[かず]}数{/r2}をかぞえましょう。\r\n{r2[さいご]}最後{/r2}に{r2[こた]}答{/r2}え{r2[あ]}合{/r2}わせをしますよ。
inst_hsmg405_rule	すべる{r2[こおり]}氷{/r2}の{r2[うえ]}上{/r2}で{color[ff3502ff]}トゲゾー{color[000000ff]}{color[110c1dff]}から {r2[に]}逃{/r2}げてください！{color[000000ff]}
inst_hsmg406_rule	{r2[たいあ]}体当{/r2}たりしてライバルを{r2[お]}落{/r2}としましょう。
inst_hsmg407_rule	ほのおのロープに{r2[あ]}当{/r2}たらないよう\r\nタイミングよくジャンプしましょう。
inst_hsmg408_rule	ライバル{r2[たち]}達{/r2}を{r2[お]}落{/r2}としましょう。\r\n{r2[だい]}大{/r2}ジャンプ{r2[ちゅう]}中{/r2}に{r2[かいてん]}回転{/r2}で{r2[あいて]}相手{/r2}を はじけますよ！
inst_hsmg409_rule	ボールをタイミングよく{r2[う]}打{/r2}ち{r2[かえ]}返{/r2}しましょう。
inst_hsmg410_rule	{r2[は]}葉{/r2}っぱに{r2[と]}飛{/r2}び{r2[の]}乗{/r2}って{r2[だれ]}誰{/r2}よりも{r2[たか]}高{/r2}く{r2[のぼ]}登{/r2}りましょう。
inst_hsmg411_rule	{color[ff3502ff]}チョロプー{color[000000ff]}{color[110c1dff]}に{r2[み]}見{/r2}つからないように{r2[き]}気{/r2}をつけて！\r\n{r2[いちばん]}一番{/r2}{r2[なが]}長{/r2}い{r2[じかん]}時間{/r2} {r2[かお]}顔{/r2}を{r2[だ]}出{/r2}していた{r2[ひと]}人{/r2}の{r2[か]}勝{/r2}ちです。{color[000000ff]}
inst_hsmg412_rule	{color[ff3502ff]}ヘイホー{color[000000ff]}{color[110c1dff]}と{r2[おな]}同{/r2}じ{r2[いろ]}色{/r2}の{r2[はた]}旗{/r2}をあげましょう。\r\n{r2[はた]}旗{/r2}をあげるスピードは どんどん{r2[はや]}速{/r2}くなりますよ！{color[000000ff]}
inst_hsmg413_rule	キレイに{r2[せん]}線{/r2}をなぞって {r2[かせき]}化石{/r2}を{r2[はっくつ]}発掘{/r2}しましょう。
inst_hsmg414_rule	かたむけてコウラをすべらせ\r\nすべてのパネルをめくりましょう。
inst_hsmg415_rule	お{r2[てほん]}手本{/r2}の{r2[せん]}線{/r2}をクレヨンで\r\nキレイに なぞりましょう。 
inst_hsmg416_rule	{color[ff3502ff]}ワンワン{color[000000ff]}{color[110c1dff]}をギリギリまで{r2[ひ]}引{/r2}きつけて\r\nライトで{r2[て]}照{/r2}らして{r2[と]}止{/r2}めましょう。{color[000000ff]}
inst_hsmg417_rule	ぜんまいを たくさん{r2[ま]}巻{/r2}いて\r\nライバルより{r2[とお]}遠{/r2}くへ{r2[と]}飛{/r2}ばしましょう。
inst_hsmg418_rule	ハンマーでたたいて {color[ff3502ff]}サンボ{color[000000ff]}{color[110c1dff]}を{r2[はや]}早{/r2}く{r2[と]}飛{/r2}ばしましょう。\r\n5{r2[かい]}回{/r2}たたくと1つ{r2[と]}飛{/r2}びます。{color[000000ff]}
inst_hsmg419_rule	グラグラゆれる{r2[しま]}島{/r2}から\r\n{r2[お]}落{/r2}ちないように{r2[い]}生{/r2}き{r2[のこ]}残{/r2}ってください！
inst_hsmg420_rule	{color[ff3502ff]}パックンフラワー{color[000000ff]}{color[110c1dff]}に たくさん{r2[みず]}水{/r2}をあげましょう。{color[000000ff]}
inst_hsmg421_rule	{color[ff3502ff]}{r2[きょだい]}巨大{/r2}キノコ{color[000000ff]}{color[110c1dff]}を{r2[と]}取{/r2}って ライバルに{r2[たいあ]}体当{/r2}たりしましょう。{color[000000ff]}
inst_hsmg422_rule	{r2[お]}押{/r2}しよせる{color[ff3502ff]}ペンギン{color[000000ff]}{color[110c1dff]}をかわして\r\n{r2[うみ]}海{/r2}に{r2[お]}落{/r2}ちないようにしてください！{color[000000ff]}
inst_hsmg423_rule	{r2[じめん]}地面{/r2}の{r2[かげ]}影{/r2}をたよりに\r\n{r2[お]}落{/r2}ちてくるアイスをキャッチしましょう。
inst_hsmg424_rule	{r2[そら]}空{/r2}から{r2[ふ]}降{/r2}ってきた{r2[てがみ]}手紙{/r2}を{r2[ひろ]}拾{/r2}って\r\n{color[ff3502ff]}ヘイホー{color[000000ff]}{color[110c1dff]}に{r2[とど]}届{/r2}けましょう。{color[000000ff]}
inst_hsmg425_rule	たおれてくるぺージに つぶされないように\r\n{r2[あな]}穴{/r2}へ{r2[に]}逃{/r2}げこんでください！
inst_hsmg426_rule	クネクネした{r2[ほそ]}細{/r2}い{r2[みち]}道{/r2}から{r2[お]}落{/r2}ちないように\r\nゴールを{r2[めざ]}目指{/r2}しましょう。
inst_hsmg427_rule	{r2[せんしゃ]}戦車{/r2}でライバルと {r2[う]}撃{/r2}ち{r2[あ]}合{/r2}いましょう。\r\n2回{r2[う]}撃{/r2}たれるとリタイアです！
