glossary.msbt
gl_799	Bowser Cake
hsmg402_MGctrlGuide	Mash  to Make Snowball
hsmg215_MGctrlGuide	Front Player  Steer  Rear Player  Flap Wings
hsmg501_MGctrlGuide	 Move   Hit Ball   Jump
hsmg502_MGctrlGuide	 Move   Pass / Tackle   Power Shot   Normal Shot
hsmg503_MGctrlGuide	 Move   Pass / Tackle   Shoot
hsmg_ui_pts	[0] {size[3c00]}pts.{size[6400]}
hsmg_speed_3digit	[0]
hsmg_speed_max	MAX
hsmg_speed	mph
hsmg_consecutive_wins	Wins: [0]
hsmg_record_privateTimer	[0]:[1].[2]
hsmg404_count	[0]
hsmg404_answer	[0]
hsmg407_jump	[0]
hsmg425_pageNumber	[0]
hsmg430_tlp_memory	Remember where each item goes!
hsmg430_tlp_return	Return the items to their spots!
hsmg441_tlp_select	Let's decide the order!
hsmg441_tlp_hole_in_one	Hole in one!
hsmg441_number	[0]
hsmg441_score_distance_2point	[0].[1]
hsmg441_score_m	yd.
hsmg441_skip	/ Skip
hsmg444_skip	/ Skip
hsmg444_count	[0]°
hsmg445_gauge	[0]
hsmg445_replay	REPLAY
hsmg447_rank	[0]
hsmg449_answer	[0]
hsmg701_jump	[0]
hsmg501_tlp_matchPoint	Match Point
hsmg503_tlp_gorl	GOAL!
hsmg503_tlp_kickoff	Kickoff!
hsmg601_tlp_miss	Too Bad!
hsmg602_score	Score
hsmg602_score_myself	[0]
hsmg602_score_high	[0]
hsmg602_level	Level
hsmg602_level_myself	[0]
hsmg602_star	★ Stars Left
hsmg602_star_myself	[0]/[1]
hsmg602_level_clear	Level [0] Cleared!
hsmg602_next_level	Level [0]
hsmg603_score	Score
hsmg603_score_myself	[0]
hsmg603_score_high	[0]
hsmg603_level	Level
hsmg603_level_myself	[0]
hsmg603_level_clear	Level [0] Cleared!
hsmg603_next_level	Level [0]
hsmg603_timer_count	[0].[1]
hsmg_inst.msbt
inst_mgWarning	{color[ffffffff]}{color[000000ff]} {color[110c1dff]}To avoid irritation to your\r\nskin and/or damage to the\r\ncontrol stick, do not rotate it\r\nwith the palm of your hand.{color[000000ff]}
inst_mgTitle	[0]
inst_tlp_ctrl	Practice Time!
inst_OK	Ready!
inst_readyOK	/ Start!
inst_ctrl_ui	Controls
inst_ctrl_side01	Solo Side
inst_ctrl_side03	Team Side
inst_vs	vs.
inst_abandonedtimer	[0]
inst_hsmg401_ctrl00	 Move
inst_hsmg401_ctrl01	 Jump
inst_hsmg401_ctrl02	→ Ground Pound
inst_hsmg402_ctrl00	Mash  to Make Snowball
inst_hsmg402_ctrl01	 Move
inst_hsmg402_ctrl02	 Push Snowball
inst_hsmg403_ctrl00	 Move
inst_hsmg403_ctrl01	 Jump
inst_hsmg403_ctrl02	 Punch
inst_hsmg403_ctrl03	→ Ground Pound
inst_hsmg404_ctrl00	 Count +1
inst_hsmg404_ctrl01	 Count -1
inst_hsmg405_ctrl00	 Move
inst_hsmg405_ctrl01	 Jump
inst_hsmg406_ctrl00	 Move
inst_hsmg407_ctrl00	 Jump
inst_hsmg408_ctrl00	 Move
inst_hsmg408_ctrl01	 Big Jump
inst_hsmg408_ctrl02	 During Big Jump: Spin Attack
inst_hsmg409_ctrl00	 Swing
inst_hsmg410_ctrl00	 Aim Jump
inst_hsmg410_ctrl01	 Jump
inst_hsmg411_ctrl00	 Change Position
inst_hsmg411_ctrl01	Hold  to Poke Head Out
inst_hsmg412_ctrl00	 Raise White Flag
inst_hsmg412_ctrl01	 Raise Red Flag
inst_hsmg413_ctrl00	 Move
inst_hsmg414_ctrl00	 Move
inst_hsmg414_ctrl01	 Jump
inst_hsmg415_ctrl00	 Move
inst_hsmg416_ctrl00	 Stop the Chain Chomp
inst_hsmg417_ctrl00	Mash ＋ to Wind Up
inst_hsmg418_ctrl00	Mash  to Swing Hammer
inst_hsmg419_ctrl00	 Move
inst_hsmg419_ctrl01	 Jump
inst_hsmg420_ctrl00	 Move
inst_hsmg421_ctrl00	 Move
inst_hsmg421_ctrl01	 Jump
inst_hsmg421_ctrl02	 Punch
inst_hsmg421_ctrl03	→ Ground Pound
inst_hsmg422_ctrl00	 Move
inst_hsmg423_ctrl00	 Move
inst_hsmg424_ctrl00	 Move / Handle Letters
inst_hsmg425_ctrl00	 Move
inst_hsmg426_ctrl00	 Move
inst_hsmg427_ctrl00	 Move
inst_hsmg427_ctrl01	 Shoot
inst_hsmg427_ctrl02	 Shoot Upward
inst_hsmg427_ctrl03	Hold / to Strafe
inst_hsmg428_ctrl00	 Select Switch
inst_hsmg428_ctrl01	 Hit Switch
inst_hsmg429_ctrl00	 Jump
inst_hsmg430_ctrl00	 Move
inst_hsmg430_ctrl01	 Grab / Place Item
inst_hsmg430_ctrl02	 Move Curtain
inst_hsmg431_ctrl00	 Move
inst_hsmg431_ctrl01	Hold  to Grab/Move Face
inst_hsmg431_ctrl02	 Reset
inst_hsmg432_ctrl00	  Move Forward
inst_hsmg432_ctrl01	  Move Backward
inst_hsmg432_ctrl02	  Change Direction
inst_hsmg433_ctrl00	Mash  to Swim
inst_hsmg433_ctrl01	 Dive
inst_hsmg434_ctrl00	 Fire
inst_hsmg435_ctrl00	 Move
inst_hsmg436_ctrl00	 Move
inst_hsmg437_ctrl00	 Move
inst_hsmg437_ctrl01	 Jump
inst_hsmg437_ctrl02	 Punch
inst_hsmg437_ctrl03	→ Kick
inst_hsmg438_ctrl00	 Move
inst_hsmg438_ctrl01	 Jump
inst_hsmg438_ctrl02	 Push Rival
inst_hsmg438_ctrl03	→ Ground Pound
inst_hsmg439_ctrl00	 Move
inst_hsmg439_ctrl01	Release  to Hide in Barrel
inst_hsmg440_ctrl00	Tilt  to Speed Up
inst_hsmg441_ctrl00	 Aim
inst_hsmg441_ctrl01	 Power
inst_hsmg441_ctrl02	 Swing
inst_hsmg442_ctrl00	 Drop Cage
inst_hsmg443_ctrl00	 Move
inst_hsmg443_ctrl01	 Jump
inst_hsmg444_ctrl00	 To Spin, Press in Order
inst_hsmg444_ctrl99	 To Spin, Press in Order
inst_hsmg445_ctrl00	Alternate  to Ride
inst_hsmg446_ctrl00	 Turn
inst_hsmg446_ctrl01	Hold  to Move Forward
inst_hsmg447_ctrl00	 Move
inst_hsmg447_ctrl01	 Accelerate
inst_hsmg448_ctrl00	 Move
inst_hsmg448_ctrl01	 Enter
inst_hsmg449_ctrl00	 Count +1
inst_hsmg101_ctrl10	 Jump
inst_hsmg101_ctrl11	→ Ground Pound
inst_hsmg101_ctrl30	 Move
inst_hsmg101_ctrl31	 Jump
inst_hsmg102_ctrl10	 Aim Boulder
inst_hsmg102_ctrl11	 Drop Boulder
inst_hsmg102_ctrl30	 Move
inst_hsmg103_ctrl10	 Move
inst_hsmg103_ctrl30	 Move
inst_hsmg103_ctrl31	 Jump
inst_hsmg103_ctrl32	→ Ground Pound
inst_hsmg104_ctrl10	Mash  to Skate
inst_hsmg104_ctrl11	 Jump
inst_hsmg104_ctrl30	 Jump
inst_hsmg104_ctrl31	→ Ground Pound
inst_hsmg105_ctrl00	Rotate : Pull Rope
inst_hsmg106_ctrl10	 Move
inst_hsmg106_ctrl11	Hold : Dive
inst_hsmg106_ctrl30	 Move Searchlight
inst_hsmg107_ctrl00	 Move
inst_hsmg108_ctrl00	 Steer
inst_hsmg108_ctrl01	 Accelerate
inst_hsmg108_ctrl02	 Brake
inst_hsmg109_ctrl10	 Spin Stage 
inst_hsmg109_ctrl11	 Spin Stage 
inst_hsmg109_ctrl30	 Move
inst_hsmg110_ctrl10	 Move
inst_hsmg110_ctrl11	 Dash
inst_hsmg110_ctrl30	 Move
inst_hsmg110_ctrl31	 Tackle
inst_hsmg111_ctrl10	 Move
inst_hsmg111_ctrl11	 Set and Shoot Arrow
inst_hsmg111_ctrl30	 Move
inst_hsmg112_ctrl10	 Move
inst_hsmg112_ctrl11	 Jump
inst_hsmg112_ctrl30	 Aim
inst_hsmg112_ctrl31	 Shoot
inst_hsmg112_ctrl32	Hold  for Power Shot
inst_hsmg113_ctrl10	 Direct Skewers
inst_hsmg113_ctrl30	 Move
inst_hsmg114_ctrl10	 Move
inst_hsmg114_ctrl11	 Push Switch
inst_hsmg114_ctrl30	, , , or : Choose Hiding Place
inst_hsmg115_ctrl00	 Move Head
inst_hsmg115_ctrl01	Release  to Look Forward
inst_hsmg201_ctrl00	 Move Right Leg
inst_hsmg201_ctrl01	 Move Left Leg
inst_hsmg202_ctrl00	 Move
inst_hsmg202_ctrl01	Mash  to Eat
inst_hsmg203_ctrl00	 Move
inst_hsmg203_ctrl01	 Jump
inst_hsmg204_ctrl00	 Move
inst_hsmg205_ctrl00	 Pick Up / Put Down
inst_hsmg206_ctrl00	Mash  to Push Sled
inst_hsmg206_ctrl01	 Accelerate
inst_hsmg206_ctrl02	 Slow Down
inst_hsmg206_ctrl03	 Steer
inst_hsmg207_ctrl00	 Shift Weight
inst_hsmg207_ctrl01	Mash  to Accelerate
inst_hsmg207_ctrl02	 Brake
inst_hsmg208_ctrl00	 Move
inst_hsmg209_ctrl00	Press  to Grab Cherries
inst_hsmg209_ctrl01	Release  to Drop Cherries
inst_hsmg210_ctrl00	Hold : Pull Pump Up
inst_hsmg210_ctrl01	Hold : Push Pump Down
inst_hsmg211_ctrl00	 Move
inst_hsmg211_ctrl01	 Press Button
inst_hsmg212_ctrl00	 Move
inst_hsmg212_ctrl01	 Jump
inst_hsmg213_ctrl00	 Move
inst_hsmg213_ctrl01	 Punch
inst_hsmg213_ctrl02	 Jump
inst_hsmg213_ctrl03	→: Kick
inst_hsmg214_ctrl00	 Move
inst_hsmg214_ctrl01	 Shoot Paint
inst_hsmg215_ctrlGuide00	Front Player
inst_hsmg215_ctrlGuide01	Rear Player
inst_hsmg215_ctrl00	 Steer
inst_hsmg215_ctrl10	 Flap Wings
inst_hsmg701_ctrl00	 Jump
inst_hsmg702_ctrl00	 Jump
inst_hsmg703_ctrl00	 Move
inst_hsmg704_ctrl00	 Move 
inst_hsmg704_ctrl01	 Move 
inst_hsmg705_ctrl00	 Move
inst_hsmg801_ctrl00	 Move
inst_hsmg801_ctrl01	 Jump
inst_hsmg801_ctrl02	→ Ground Pound
inst_hsmg802_ctrl00	 Move
inst_hsmg802_ctrl01	 Open / Close Umbrella
inst_hsmg803_ctrl00	 Adjust Cast Distance
inst_hsmg803_ctrl01	Release  to Cast Line Out
inst_hsmg803_ctrl02	Rotate : Reel Line In
inst_hsmg804_ctrl00	 Open a Box
inst_hsmg805_ctrl10	 Spin Sand 
inst_hsmg805_ctrl11	 Spin Sand 
inst_hsmg805_ctrl30	 Move
inst_hsmg806_ctrl00	 Move
inst_hsmg807_ctrl00	 Move
inst_hsmg808_ctrl00	 Move
inst_hsmg808_ctrl01	 Jump
inst_hsmg809_ctrl00	 Move
inst_hsmg810_ctrl00	 Steer
inst_hsmg810_ctrl01	Mash  to Paddle
inst_hsmg501_ctrl00	 Move
inst_hsmg501_ctrl01	 Hit Ball
inst_hsmg501_ctrl02	 Jump
inst_hsmg501_ctrl03	→ While Jumping: Spike
inst_hsmg502_ctrl00	 Move
inst_hsmg502_ctrl01	 Pass / Tackle
inst_hsmg502_ctrl02	 Power Shot
inst_hsmg502_ctrl03	 Normal Shot
inst_hsmg503_ctrl00	 Move
inst_hsmg503_ctrl01	 Pass / Tackle
inst_hsmg503_ctrl02	 Shoot
inst_hsmg503_ctrl03	Hold ＋ to Aim
inst_hsmg601_ctrl00	 Move
inst_hsmg601_ctrl01	 Quick Drop
inst_hsmg601_ctrl02	 Instant Drop
inst_hsmg601_ctrl03	 Flip Block
inst_hsmg602_ctrl00	 Move Cursor
inst_hsmg602_ctrl01	 Send Block Up
inst_hsmg602_ctrl02	＋ Carry Block
inst_hsmg602_ctrl03	 Raise Blocks
inst_hsmg603_ctrl00	 Rotate Field
inst_hsmg603_ctrl01	 Drop Ball
inst_hsmg401_rule	Hurry and move to the pattern that\r\nmatches the sign I hold up!
inst_hsmg402_rule	Roll up a big snowball to push out your rivals!
inst_hsmg403_rule	Fight through the dizziness to grab\r\nthe clefs hovering above the record.\r\nCollect the most clefs to win!
inst_hsmg404_rule	Count how many characters are milling about.\r\nWhoever is right when roll call comes wins!
inst_hsmg405_rule	Avoid the {color[ff3502ff]}Spinies {color[000000ff]}{color[110c1dff]}that slide\r\naround the slippery ice.{color[000000ff]}
inst_hsmg406_rule	Bump your rivals off the edge.
inst_hsmg407_rule	The flaming rope spins and spins...\r\nJump the rope without touching the flames.
inst_hsmg408_rule	Knock your rivals off the playing field. Do a\r\nspin attack to push them farther away!
inst_hsmg409_rule	Swing at just the right moment\r\nto hit the machine's pitches.
inst_hsmg410_rule	Jump from leaf to leaf, and climb\r\nhigher than everyone else.
inst_hsmg411_rule	Peek out of the holes, but don't let\r\na {color[ff3502ff]}Monty Mole{color[000000ff]}{color[110c1dff]} whack your head!\r\nThe player who stays out longest wins!{color[000000ff]}
inst_hsmg412_rule	Raise the same color of flag that {color[ff3502ff]}Shy Guy{color[000000ff]}{color[110c1dff]}\r\nraises. He's going to go faster and faster!{color[000000ff]}
inst_hsmg413_rule	Cut along the lines, and dig\r\nup the fossilized figures.
inst_hsmg414_rule	Tilt to slide the shell and\r\nuncover all the panels.
inst_hsmg415_rule	Trace the guideline carefully\r\nwith your crayon!
inst_hsmg416_rule	Let the {color[ff3502ff]}Chain Chomp{color[000000ff]}{color[110c1dff]} come as close as\r\npossible, and stop it with the flashlight.\r\nWhoever stops it the closest wins!{color[000000ff]}
inst_hsmg417_rule	Wind up as fast as you can so your\r\nmechanical Fly Guy flies the farthest!
inst_hsmg418_rule	Keep swinging your hammer to knock\r\n{color[ff3502ff]}Pokey{color[110c1dff]} down to size! Each segment\r\ntakes five hits to knock out.{color[ff3502ff]}{color[000000ff]}
inst_hsmg419_rule	Try your best not to fall off the island\r\nas it rocks and tilts!
inst_hsmg420_rule	Water your {color[ff3502ff]}Piranha Plant{color[000000ff]} {color[110c1dff]}to help it grow!{color[000000ff]}
inst_hsmg421_rule	Grab the{color[ff3502ff]} Mega Mushroom{color[000000ff]}{color[110c1dff]} and\r\nram into your rivals!{color[000000ff]}
inst_hsmg422_rule	Avoid the pushy {color[ff3502ff]}penguins{color[000000ff]}{color[110c1dff]}\r\nwithout falling into the water!\r\nLast one standing wins!{color[000000ff]}
inst_hsmg423_rule	Keep an eye on the shadows to catch\r\nthe falling scoops of ice cream!\r\nCatch the most scoops to win!
inst_hsmg424_rule	Pick up letters falling from the sky,\r\nand give them back to the {color[ff3502ff]}Shy Guy{color[000000ff]}{color[110c1dff]}!{color[000000ff]}
inst_hsmg425_rule	Stand under the holes in the falling pages\r\nso you don't get flattened!
inst_hsmg426_rule	Be careful not to fall off the winding path\r\non your way to the goal!
inst_hsmg427_rule	Shoot the rival tanks! Get\r\nhit twice, and you're out.
inst_hsmg428_rule	Take turns pressing the switches. If\r\n{color[ff3502ff]}Bowser{color[000000ff]}{color[110c1dff]} blows up on you, you're out.{color[000000ff]}
inst_hsmg429_rule	Collect fruit. Adjust the number on the\r\nblock to avoid catching the honeycomb\r\non your turn.
inst_hsmg430_rule	Try to return all the scattered items to their\r\noriginal spots. When you're done, shut your\r\ncurtain to stop others from cheating.
inst_hsmg431_rule	Pull and tug {color[ff3502ff]}Bowser{color[000000ff]}{color[110c1dff]}'s face\r\nto try to match the example.{color[000000ff]}
inst_hsmg432_rule	Use the spikes on your car\r\nto burst your rivals' balloons!
inst_hsmg433_rule	Swim for your life to avoid the giant {color[ff3502ff]}Cheep\r\nCheep{color[000000ff]}{color[110c1dff]}! Dive at the right moments to\r\navoid the bombs in the water.{color[000000ff]}
inst_hsmg434_rule	Aim for your rivals and fire away! But be\r\ncareful—it won't count if it hits their cannon.
inst_hsmg435_rule	{color[ff3502ff]}Bowser{color[000000ff]}{color[110c1dff]} is lurking in the darkness!\r\nAvoid him and his fire-breathing attack.\r\nKeep running until the very end!{color[000000ff]}
inst_hsmg436_rule	Dodge {color[ff3502ff]}Bowser{color[000000ff]}{color[110c1dff]}'s rolling spike spheres\r\nat all costs!{color[000000ff]}
inst_hsmg437_rule	Stay safe until time runs out. Be\r\ncareful not to fall into a hole!
inst_hsmg438_rule	Get to the center of the platform and\r\nface the camera just in time for the\r\npicture to be taken!
inst_hsmg439_rule	Sneak to the button and out the door\r\nwhile {color[ff3502ff]}Chain Chomp{color[000000ff]}{color[110c1dff]} snores. Hide in\r\nthe barrel so you don't get noticed!{color[000000ff]}
inst_hsmg440_rule	Drive four laps, but watch your speed.\r\nGoing too fast around the curves\r\nwill make you spin out, so be careful!
inst_hsmg441_rule	Hit the ball toward the flag. The player who\r\nhits their ball closest to the hole wins!
inst_hsmg442_rule	Drop your cage at the right moment to\r\ncapture as many {color[ff3502ff]}Goombas{color[000000ff]}{color[110c1dff]} as you can!{color[000000ff]}
inst_hsmg443_rule	Jump on {color[ff3502ff]}Koopa Paratroopas{color[000000ff]}{color[110c1dff]} to reach\r\nbreathtaking heights! Whoever reaches\r\nthe highest altitude wins!{color[000000ff]}
inst_hsmg444_rule	Outspin everyone else\r\non your snowboard!
inst_hsmg445_rule	Race on your wooden horse. If you speed\r\nup too much, it'll get tired, so watch out!
inst_hsmg446_rule	Be the first to finish five laps around the rink.\r\nTry your best not to lose speed!
inst_hsmg447_rule	Steer your hovercraft to the finish line.\r\nGo as fast as you can,\r\nbut watch out for {color[ff3502ff]}Urchins{color[000000ff]}{color[110c1dff]}!{color[000000ff]}
inst_hsmg448_rule	Find the door that leads to the floor below.\r\nBe the first to escape the manor to win!
inst_hsmg449_rule	Count the number of {color[ff3502ff]}Goombas{color[000000ff]}{color[110c1dff]} that run by.\r\nBe careful, because once you've decided on\r\nyour count, you can't change it.{color[000000ff]}
inst_hsmg101_rule	Solo side: Ground-pound the boat to send\r\nwaves toward your rivals. Team side: Jump\r\nover the waves!
inst_hsmg102_rule	Solo side: Roll boulders down the slope to\r\ninterfere with the climbers. Team side: Dodge\r\nthe boulders and get to the top!
inst_hsmg103_rule	Solo side: Roll around to dodge the falling\r\ncoconuts. Team side: Ground-pound to drop\r\ncoconuts on the solo player!
inst_hsmg104_rule	Solo side: Mash the button to escape!\r\nTeam side: Ground-pound to feed {color[ff3502ff]}Petey\r\nPiranha{color[000000ff]}{color[110c1dff]} with rain.{color[000000ff]}
inst_hsmg105_rule	Solo side: Use your super strength to pull the\r\nrope and drag the opposing team off the cliff!\r\nTeam side: Pull your rival off the cliff first!
inst_hsmg106_rule	Solo side: Stay out of the spotlight!\r\nTeam side: All of you must shine all three\r\nsearchlights on the solo player together.
inst_hsmg107_rule	Solo side: Don't get crushed. Team side:\r\nCooperate to chase down the solo player.
inst_hsmg108_rule	Solo side: Try to pop your rivals' tubes.\r\nTeam side: Steer clear until you reach\r\nthe goal.
inst_hsmg109_rule	Solo side: Spin the stage to make your\r\nrivals fall into a hole.\r\nTeam side: Don't fall into the holes.
inst_hsmg110_rule	Solo side: Run the ball to the end zone.\r\nTeam side: Tackle the runner.
inst_hsmg111_rule	Solo side: Try to hit the moving targets.\r\nTeam side: Avoid getting hit.
inst_hsmg112_rule	Solo side: Play as the goalie and block shots.\r\nTeam side: Play as the kickers, and try to\r\nmake 10 goals.
inst_hsmg113_rule	Solo side: Select a direction to attack.\r\nTry to fake out your rivals! Team side:\r\nRun and hide!
inst_hsmg114_rule	Solo side: Find your rivals!\r\nTeam side: Hide!
inst_hsmg115_rule	Solo side: Choose a direction to look by the\r\ntime the music stops. Team side: Look a\r\ndifferent direction. Don't get tricked!
inst_hsmg201_rule	Teammates must move their feet at the\r\nsame time to move ahead! You'll trip if you\r\nget the timing wrong.
inst_hsmg202_rule	Pair up to gobble as much of the giant pizza\r\nas you can! Pepperoni and crust take longer\r\nto chomp.
inst_hsmg203_rule	Help your teammate to clear all the obstacles\r\nin this dark, dreary dungeon!
inst_hsmg204_rule	Knock the shell into your rivals' goal.\r\nThe first team to score three goals wins!
inst_hsmg205_rule	Work as a pair and make cakes.\r\nOne player places cakes.\r\nThe other, strawberries!
inst_hsmg206_rule	Team up with another player for a race.\r\nCooperate with your partner so you don't\r\nfall off the edge. Fall, and you lose the race!
inst_hsmg207_rule	Race the handcars in teams of two. Be \r\ncareful not to pick up too much speed on\r\na curve. Fall into the lava, and you're out!
inst_hsmg208_rule	Work together with your partner to\r\nsurround the stamps with your crayons.
inst_hsmg209_rule	Pass the cherries at the right time, and\r\nput as many as you can in the basket.
inst_hsmg210_rule	Pump air into the {color[ff3502ff]}Bowser balloon{color[000000ff]}{color[110c1dff]} until it pops!\r\nPay attention to the gauge, and get in as\r\nmuch air as you can with each pump.{color[000000ff]}
inst_hsmg211_rule	Blow up the other side! Press the buttons\r\nthat light up to send {color[ff3502ff]}Bob-ombs{color[000000ff]}{color[110c1dff]} to your\r\nrivals. Hit them 10 times to win!{color[000000ff]}
inst_hsmg212_rule	Jump to avoid the\r\nspiky turnstile!
inst_hsmg213_rule	Break down the boulders blocking the road,\r\nand be the first team to the goal!
inst_hsmg214_rule	Shoot {color[ff3502ff]}Goombas{color[000000ff]}{color[110c1dff]} to paint\r\nthem your team color.{color[000000ff]}
inst_hsmg215_rule	Control the plane with another player,\r\nand fly to the finish line!
inst_hsmg701_rule	Jump and avoid the clock's\r\nspinning hands. Don't get hit!
inst_hsmg702_rule	Jump at the right moment\r\nbetween swinging vines\r\nto reach the goal!
inst_hsmg703_rule	Navigate through a series of spinning gates,\r\nand make your way to the goal!
inst_hsmg704_rule	Race a Shell through the winding pipe, and\r\nget to the finish line before your rival.\r\nNavigate well to avoid the {color[ff3502ff]}Amps{color[000000ff]}{color[110c1dff]}!{color[000000ff]}
inst_hsmg705_rule	Dodge the floating asteroids, and be\r\nthe first to reach the finish line!
inst_hsmg801_rule	Try to get the {color[ffffffff]}{color[000000ff]} {color[110c1dff]}coins, but watch out for\r\nhammers. Your {color[000000ff]}{color[ffffffff]}{color[000000ff]}{color[110c1dff]} coins get zeroed out\r\nif you fall off the edge!{color[000000ff]}
inst_hsmg802_rule	Collect the {color[ffffffff]}{color[000000ff]} {color[110c1dff]}coins as you fall.\r\nWatch out for hammers!{color[000000ff]}
inst_hsmg803_rule	Collect {color[ffffffff]} {color[000000ff]}{color[110c1dff]}coins by fishing them out of\r\nthe water. Adjust the distance of your\r\ncast with the Stick. Land a big one!{color[000000ff]}
inst_hsmg804_rule	Watch the boxes as they get x-rayed\r\nto see what's inside. Try to open\r\nboxes with {color[ffffffff]}{color[000000ff]} {color[110c1dff]}coins in them!{color[000000ff]}
inst_hsmg805_rule	Solo side: Stop your rivals from collecting\r\n{color[ffffffff]} {color[000000ff]}{color[110c1dff]}coins! Team side: If you get sucked into\r\nthe quicksand, you lose.{color[000000ff]}
inst_hsmg806_rule	Collect {color[ffffffff]} {color[000000ff]}{color[110c1dff]}coins that travel down the river.\r\nBe careful not to hit the floating logs!{color[000000ff]}
inst_hsmg807_rule	Grab as many {color[ffffffff]}{color[000000ff]} {color[110c1dff]}coins as possible.\r\nDon't fall off, or you'll lose time!{color[000000ff]}
inst_hsmg808_rule	{color[110c1dff]}Grab {color[ffffffff]}{color[110c1dff]} coins, but watch\r\nout for {color[ff3502ff]}Piranha Plants{color[110c1dff]}!{color[000000ff]}
inst_hsmg809_rule	Use the seesaw to launch into the air and\r\ncollect as many floating {color[ffffffff]} {color[000000ff]}{color[110c1dff]}coins as you can.\r\nEach player only gets two jumps though!{color[000000ff]}
inst_hsmg810_rule	Climb aboard a two-person raft, and\r\ncollect {color[ffffffff]} {color[000000ff]}{color[110c1dff]}coins. Be careful not to get\r\nhit by the hammers!{color[000000ff]}
inst_hsmg501_rule	This is a beach-volleyball match! Return the\r\nball within three volleys, and try to reach the\r\npoint goal before the other team!
inst_hsmg502_rule	This is an ice-hockey match! Don't forget\r\nto use your normal shot. It's useful!
inst_hsmg503_rule	Split into teams of two, and get kicking!\r\nAim the shell at the opposing team's\r\n{color[ff3502ff]}Goombas{color[000000ff]}{color[110c1dff]} to take them out and win!{color[000000ff]}
inst_hsmg601_rule	Break blocks by connecting two or more of\r\nthe same color. {color[ff3502ff]}Thwomps{color[000000ff]}{color[110c1dff]} will occasionally\r\nfall and squash blocks for you.{color[000000ff]}
inst_hsmg601_rule2	Break blocks by connecting two or more of\r\nthe same color. {color[ff3502ff]}Thwomps{color[000000ff]}{color[110c1dff]} will occasionally\r\nfall and squash blocks for you.{color[000000ff]}
inst_hsmg602_rule	Connect five or more blocks to remove them!\r\nEliminate ★s to clear a level. If your timer \r\nreaches zero, it's game over.
inst_hsmg602_rule2	Connect five or more blocks to remove them!\r\nIf your timer reaches zero, it's game over.\r\nRemove ↑ and ↓ blocks to pester your rival.
inst_hsmg603_rule	Connect five or more balls to remove them!\r\nRemove enough to clear a level. If 10 balls\r\nstick out past the edge, that's game over.
inst_hsmg603_rule2	Connect five or more balls to remove them!\r\nNumbered balls go to your rival if removed. \r\nIf 10 balls cross the edge, it's game over.
hsmg_item.msbt
hsmg900_tlp_gotItem	GOT IT!
hsmg900_tlp_miss	TOO BAD!
hsmg901_tlp_smallRule	Aim the shuttle!
hsmg902_tlp_smallRule	Pop a balloon!
hsmg903_tlp_smallRule	Stop the wheel!
hsmg904_tlp_smallRule	Jump to a barrel!
hsmg905_tlp_smallRule00	Focus!
hsmg905_tlp_smallRule02	Break a barrel!
hsmg901_pop_ctrl02	Mash : Raise hammer /  Drop hammer
hsmg902_pop_ctrl00	 Shoot arrow
hsmg903_pop_ctrl00	 Press button
hsmg904_pop_ctrl00	 Jump
hsmg905_pop_ctrl02	 Move /  Attack
hsmm01.msbt
hsmm01_mgtype	[0]
hsmm01_winHist	Wins/Losses
