glossary.msbt
gl_799	酷霸王蛋糕
hsmg215_MGctrlGuide	前面的玩家  控制方向　　后面的玩家  拍动翅膀
hsmg501_MGctrlGuide	 移动　 击球　 跳跃
hsmg502_MGctrlGuide	 移动　 传球或冲撞　 强力射门　 轻轻射门
hsmg503_MGctrlGuide	 移动　 传球或冲撞　 踢球
hsmg_ui_pts	[0]{size[3c00]}pts{size[6400]}
hsmg_speed_3digit	[0]
hsmg_speed_max	MAX
hsmg_speed	km/h
hsmg_consecutive_wins	[0]胜
hsmg_record_privateTimer	[0]:[1].[2]
hsmg404_count	[0]
hsmg404_answer	[0]
hsmg407_jump	[0]
hsmg425_pageNumber	[0]
hsmg430_tlp_memory	记住位置吧！
hsmg430_tlp_return	放回原处吧！
hsmg441_tlp_select	决定顺序
hsmg441_tlp_hole_in_one	一杆入洞
hsmg441_number	[0]
hsmg441_score_distance_2point	[0].[1]
hsmg441_score_m	m
hsmg441_skip	/跳过
hsmg444_skip	/跳过
hsmg444_count	[0]°
hsmg445_gauge	[0]
hsmg445_replay	回放
hsmg447_rank	[0]
hsmg449_answer	[0]
hsmg701_jump	[0]
hsmg501_tlp_matchPoint	赛点
hsmg503_tlp_gorl	进球！
hsmg503_tlp_kickoff	开球
hsmg601_tlp_miss	失误
hsmg602_score	得分
hsmg602_score_myself	[0]
hsmg602_score_high	[0]
hsmg602_level	等级
hsmg602_level_myself	[0]
hsmg602_star	消除★的数量
hsmg602_star_myself	[0]/[1]
hsmg602_level_clear	等级[0]达成！
hsmg602_next_level	等级[0]
hsmg603_score	得分
hsmg603_score_myself	[0]
hsmg603_score_high	[0]
hsmg603_level	等级
hsmg603_level_myself	[0]
hsmg603_level_clear	等级[0]达成！
hsmg603_next_level	等级[0]
hsmg603_timer_count	[0].[1]
hsmg_inst.msbt
inst_mgWarning	{color[ffffffff]}{color[000000ff]}{color[110c1dff]}请勿用手掌等\r\n易受伤害的皮肤部位\r\n操作手柄的摇杆。{color[000000ff]}
inst_mgTitle	[0]
inst_tlp_ctrl	试着来操作看看吧
inst_OK	OK！
inst_readyOK	/　开始！
inst_ctrl_ui	操作方法
inst_ctrl_side01	1人阵营
inst_ctrl_side03	3人阵营
inst_vs	VS
inst_abandonedtimer	[0]
inst_hsmg401_ctrl00	 移动
inst_hsmg401_ctrl01	 跳跃
inst_hsmg401_ctrl02	→ 撞地
inst_hsmg402_ctrl00	 制作雪球（连按）
inst_hsmg402_ctrl01	 移动
inst_hsmg402_ctrl02	 推动雪球
inst_hsmg403_ctrl00	 移动
inst_hsmg403_ctrl01	 跳跃
inst_hsmg403_ctrl02	 击拳
inst_hsmg403_ctrl03	→ 撞地
inst_hsmg404_ctrl00	 计数＋1
inst_hsmg404_ctrl01	 计数－1
inst_hsmg405_ctrl00	 移动
inst_hsmg405_ctrl01	 跳跃
inst_hsmg406_ctrl00	 移动
inst_hsmg407_ctrl00	 跳跃
inst_hsmg408_ctrl00	 移动
inst_hsmg408_ctrl01	 大跳跃
inst_hsmg408_ctrl02	 旋转（跳跃时）
inst_hsmg409_ctrl00	 挥动
inst_hsmg410_ctrl00	 方向
inst_hsmg410_ctrl01	 跳跃
inst_hsmg411_ctrl00	 选择洞穴
inst_hsmg411_ctrl01	 伸头（按住时）
inst_hsmg412_ctrl00	 举白旗
inst_hsmg412_ctrl01	 举红旗
inst_hsmg413_ctrl00	 移动
inst_hsmg414_ctrl00	 移动
inst_hsmg414_ctrl01	 跳跃
inst_hsmg415_ctrl00	 移动
inst_hsmg416_ctrl00	 照亮
inst_hsmg417_ctrl00	＋ 转动（同时连按）
inst_hsmg418_ctrl00	 敲击（连按）
inst_hsmg419_ctrl00	 移动
inst_hsmg419_ctrl01	 跳跃
inst_hsmg420_ctrl00	 移动
inst_hsmg421_ctrl00	 移动
inst_hsmg421_ctrl01	 跳跃
inst_hsmg421_ctrl02	 击拳
inst_hsmg421_ctrl03	→ 撞地
inst_hsmg422_ctrl00	 移动
inst_hsmg423_ctrl00	 移动
inst_hsmg424_ctrl00	 移动取信或送信
inst_hsmg425_ctrl00	 移动
inst_hsmg426_ctrl00	 移动
inst_hsmg427_ctrl00	 移动
inst_hsmg427_ctrl01	 发射
inst_hsmg427_ctrl02	 向上发射
inst_hsmg427_ctrl03	/ 固定方向（按住时）
inst_hsmg428_ctrl00	 选择
inst_hsmg428_ctrl01	 按下
inst_hsmg429_ctrl00	 跳跃
inst_hsmg430_ctrl00	 移动
inst_hsmg430_ctrl01	 抓取或放置
inst_hsmg430_ctrl02	 关闭或打开窗帘
inst_hsmg431_ctrl00	 移动
inst_hsmg431_ctrl01	 抓住脸部（按住时）
inst_hsmg431_ctrl02	 重置
inst_hsmg432_ctrl00	 前进
inst_hsmg432_ctrl01	 后退
inst_hsmg432_ctrl02	 改变方向
inst_hsmg433_ctrl00	 游泳（连按）
inst_hsmg433_ctrl01	 下潜
inst_hsmg434_ctrl00	 发射
inst_hsmg435_ctrl00	 移动
inst_hsmg436_ctrl00	 移动
inst_hsmg437_ctrl00	 移动
inst_hsmg437_ctrl01	 跳跃
inst_hsmg437_ctrl02	 击拳
inst_hsmg437_ctrl03	→ 脚踢
inst_hsmg438_ctrl00	 移动
inst_hsmg438_ctrl01	 跳跃
inst_hsmg438_ctrl02	 出拳
inst_hsmg438_ctrl03	→ 撞地
inst_hsmg439_ctrl00	 移动
inst_hsmg439_ctrl01	松开　躲入桶中
inst_hsmg440_ctrl00	的角度　调整速度
inst_hsmg441_ctrl00	 方向
inst_hsmg441_ctrl01	 强度
inst_hsmg441_ctrl02	 击打
inst_hsmg442_ctrl00	 放下笼子
inst_hsmg443_ctrl00	 移动
inst_hsmg443_ctrl01	 跳跃
inst_hsmg444_ctrl00	 依次按下旋转
inst_hsmg444_ctrl99	 依次按下旋转
inst_hsmg445_ctrl00	 前进（交替）
inst_hsmg446_ctrl00	 方向
inst_hsmg446_ctrl01	 前进（按住时）
inst_hsmg447_ctrl00	 移动
inst_hsmg447_ctrl01	 速度提升1档
inst_hsmg448_ctrl00	 移动
inst_hsmg448_ctrl01	 进门
inst_hsmg449_ctrl00	 计数＋1
inst_hsmg101_ctrl10	 跳跃
inst_hsmg101_ctrl11	→ 撞地
inst_hsmg101_ctrl30	 移动
inst_hsmg101_ctrl31	 跳跃
inst_hsmg102_ctrl10	 岩石落下的方向
inst_hsmg102_ctrl11	 滚动岩石
inst_hsmg102_ctrl30	 移动
inst_hsmg103_ctrl10	 移动
inst_hsmg103_ctrl30	 移动
inst_hsmg103_ctrl31	 跳跃
inst_hsmg103_ctrl32	→ 撞地
inst_hsmg104_ctrl10	 逃跑（连按）
inst_hsmg104_ctrl11	 跳跃
inst_hsmg104_ctrl30	 跳跃
inst_hsmg104_ctrl31	→ 撞地
inst_hsmg105_ctrl00	 拉绳子（旋转）
inst_hsmg106_ctrl10	 移动
inst_hsmg106_ctrl11	 下潜（按住时）
inst_hsmg106_ctrl30	 移动探照灯
inst_hsmg107_ctrl00	 移动
inst_hsmg108_ctrl00	 移动
inst_hsmg108_ctrl01	 加速
inst_hsmg108_ctrl02	 减速
inst_hsmg109_ctrl10	 左旋转
inst_hsmg109_ctrl11	 右旋转
inst_hsmg109_ctrl30	 移动
inst_hsmg110_ctrl10	 移动
inst_hsmg110_ctrl11	 冲刺
inst_hsmg110_ctrl30	 移动
inst_hsmg110_ctrl31	 冲撞
inst_hsmg111_ctrl10	 移动
inst_hsmg111_ctrl11	 拉弓或射箭
inst_hsmg111_ctrl30	 移动
inst_hsmg112_ctrl10	 移动
inst_hsmg112_ctrl11	 跳跃
inst_hsmg112_ctrl30	 方向
inst_hsmg112_ctrl31	 射门
inst_hsmg112_ctrl32	 强力射门（长按）
inst_hsmg113_ctrl10	 大狼牙棒的方向
inst_hsmg113_ctrl30	 移动
inst_hsmg114_ctrl10	 选择开关
inst_hsmg114_ctrl11	 按下
inst_hsmg114_ctrl30	 选择躲藏的地方
inst_hsmg115_ctrl00	 上下左右（推动时）
inst_hsmg115_ctrl01	 朝向正面（松开）
inst_hsmg201_ctrl00	 伸出右脚
inst_hsmg201_ctrl01	 伸出左脚
inst_hsmg202_ctrl00	 移动
inst_hsmg202_ctrl01	 吃披萨（连按）
inst_hsmg203_ctrl00	 移动
inst_hsmg203_ctrl01	 跳跃
inst_hsmg204_ctrl00	 移动
inst_hsmg205_ctrl00	 拿取或放置材料
inst_hsmg206_ctrl00	 推动雪橇（连按）
inst_hsmg206_ctrl01	 加速
inst_hsmg206_ctrl02	 减速
inst_hsmg206_ctrl03	 方向
inst_hsmg207_ctrl00	 保持平衡
inst_hsmg207_ctrl01	 加速（连按）
inst_hsmg207_ctrl02	 刹车
inst_hsmg208_ctrl00	 移动
inst_hsmg209_ctrl00	 拿取（按住）
inst_hsmg209_ctrl01	 放下（松开）
inst_hsmg210_ctrl00	 上拉（按住时）
inst_hsmg210_ctrl01	 下压（按住时）
inst_hsmg211_ctrl00	 移动
inst_hsmg211_ctrl01	 按下开关
inst_hsmg212_ctrl00	 移动
inst_hsmg212_ctrl01	 跳跃
inst_hsmg213_ctrl00	 移动
inst_hsmg213_ctrl01	 击拳
inst_hsmg213_ctrl02	 跳跃
inst_hsmg213_ctrl03	→ 脚踢
inst_hsmg214_ctrl00	 移动
inst_hsmg214_ctrl01	 喷射油漆
inst_hsmg215_ctrlGuide00	前面的玩家
inst_hsmg215_ctrlGuide01	后面的玩家
inst_hsmg215_ctrl00	 方向
inst_hsmg215_ctrl10	 挥动翅膀
inst_hsmg701_ctrl00	 跳跃
inst_hsmg702_ctrl00	 跳过去
inst_hsmg703_ctrl00	 移动
inst_hsmg704_ctrl00	 移动
inst_hsmg704_ctrl01	 移动
inst_hsmg705_ctrl00	 移动
inst_hsmg801_ctrl00	 移动
inst_hsmg801_ctrl01	 跳跃
inst_hsmg801_ctrl02	→ 撞地
inst_hsmg802_ctrl00	 移动
inst_hsmg802_ctrl01	 打开或关闭阳伞
inst_hsmg803_ctrl00	 根据推动角度调整距离
inst_hsmg803_ctrl01	 抛出（松开）
inst_hsmg803_ctrl02	 转动绕线器（旋转）
inst_hsmg804_ctrl00	 打开箱子
inst_hsmg805_ctrl10	 让沙子向右旋转
inst_hsmg805_ctrl11	 让沙子向左旋转
inst_hsmg805_ctrl30	 移动
inst_hsmg806_ctrl00	 移动
inst_hsmg807_ctrl00	 移动
inst_hsmg808_ctrl00	 移动
inst_hsmg808_ctrl01	 跳跃
inst_hsmg809_ctrl00	 移动
inst_hsmg810_ctrl00	 方向
inst_hsmg810_ctrl01	 划桨（连按）
inst_hsmg501_ctrl00	 移动
inst_hsmg501_ctrl01	 击球
inst_hsmg501_ctrl02	 跳跃
inst_hsmg501_ctrl03	→ 攻击（跳跃时）
inst_hsmg502_ctrl00	 移动
inst_hsmg502_ctrl01	 传球或冲撞
inst_hsmg502_ctrl02	 强力射门
inst_hsmg502_ctrl03	 轻轻射门
inst_hsmg503_ctrl00	 移动
inst_hsmg503_ctrl01	 传球或冲撞
inst_hsmg503_ctrl02	 踢球
inst_hsmg503_ctrl03	＋ 踢球方向（按住时）
inst_hsmg601_ctrl00	 移动
inst_hsmg601_ctrl01	 快速移动
inst_hsmg601_ctrl02	 落下
inst_hsmg601_ctrl03	 上下替换
inst_hsmg602_ctrl00	 移动光标
inst_hsmg602_ctrl01	 向上传送方块
inst_hsmg602_ctrl02	＋ 搬运（按住时）
inst_hsmg602_ctrl03	 向上移动
inst_hsmg603_ctrl00	 旋转场地
inst_hsmg603_ctrl01	 让球落下
inst_hsmg401_rule	快速移动到和我拿出的面板图案\r\n相同的蘑菇上去吧。
inst_hsmg402_rule	让制作的雪球越来越大，\r\n并用它来撞击对手。
inst_hsmg403_rule	比对手先得到音符吧。\r\n会让人晕头转向，无法随心所欲地移动！
inst_hsmg404_rule	数一数角色的数量吧！\r\n最后我们会给出答案。
inst_hsmg405_rule	请在滑溜溜的冰面上躲避{color[ff3502ff]}刺刺龟{color[000000ff]}{color[110c1dff]}！{color[000000ff]}
inst_hsmg406_rule	通过撞击将对手击落下去吧。
inst_hsmg407_rule	看好时机进行跳跃，\r\n注意不要被火焰绳打到。
inst_hsmg408_rule	将对手击落下去吧。\r\n在大跳跃时旋转可将对手弹飞！
inst_hsmg409_rule	看好时机把球打回去吧。
inst_hsmg410_rule	跳到叶子上，比其他人攀登得更高吧。
inst_hsmg411_rule	{color[110c1dff]}小心不要被{color[000000ff]}{color[ff3502ff]}黄鼹鼠{color[000000ff]}{color[110c1dff]}发现！\r\n伸头时间最长的人获胜。{color[000000ff]}
inst_hsmg412_rule	{color[110c1dff]}举起与{color[000000ff]}{color[ff3502ff]}嘿呵{color[000000ff]}{color[110c1dff]}所举颜色相同的旗子。\r\n举旗的速度会逐渐变快！{color[000000ff]}
inst_hsmg413_rule	好好描线，发掘化石吧！
inst_hsmg414_rule	倾斜场地让龟壳滑动，\r\n翻动所有面板吧。
inst_hsmg415_rule	用蜡笔将示例的线条\r\n漂亮地临摹下来吧。
inst_hsmg416_rule	{color[110c1dff]}吸引{color[000000ff]}{color[ff3502ff]}汪汪{color[000000ff]}{color[110c1dff]}，在它快要碰到你时，\r\n打开手电筒让它停下来。{color[000000ff]}
inst_hsmg417_rule	多多转动发条，\r\n比对手飞得更远吧。
inst_hsmg418_rule	挥动锤子尽快击飞{color[ff3502ff]}刺球丸子{color[000000ff]}{color[110c1dff]}。\r\n敲击5次可以击飞1个。{color[000000ff]}
inst_hsmg419_rule	不要从摇摇晃晃的岛上掉下去\r\n并努力生存到最后！
inst_hsmg420_rule	{color[110c1dff]}给{color[000000ff]}{color[ff3502ff]}吞食花{color[000000ff]}{color[110c1dff]}多多浇水吧。{color[000000ff]}
inst_hsmg421_rule	获取{color[ff3502ff]}巨大蘑菇{color[000000ff]}{color[110c1dff]}并撞击对手吧！{color[000000ff]}
inst_hsmg422_rule	躲避向你扑来的{color[ff3502ff]}企鹅{color[000000ff]}{color[110c1dff]}，\r\n尽量不要掉进海里。{color[000000ff]}
inst_hsmg423_rule	参照地面上的影子，\r\n抓住掉下来的冰激凌。
inst_hsmg424_rule	捡取从天而降的信件，\r\n并把它送到{color[ff3502ff]}嘿呵{color[000000ff]}{color[110c1dff]}手中。{color[000000ff]}
inst_hsmg425_rule	请躲进洞里，\r\n不要被倒下来的\r\n书页砸到！
inst_hsmg426_rule	不要从蜿蜒曲折的狭小道路上\r\n掉下来并抵达终点吧。
inst_hsmg427_rule	驾驶坦克和对手相互射击。\r\n被击中2次就出局！
inst_hsmg428_rule	每人轮流按下开关。\r\n爆炸的话就出局！
inst_hsmg429_rule	碰到蜂巢就出局。\r\n拿取水果的数字是关键！
inst_hsmg430_rule	请把掉落的物品放回原处。\r\n可以使用窗帘防止作弊。
inst_hsmg431_rule	{color[110c1dff]}拉扯{color[000000ff]}{color[ff3502ff]}酷霸王{color[000000ff]}{color[110c1dff]}的脸，\r\n让它变得和范例一样。{color[000000ff]}
inst_hsmg432_rule	利用车上的尖刺\r\n划破对手的气球吧。
inst_hsmg433_rule	请躲避{color[ff3502ff]}巨大的泡泡鱼{color[000000ff]}{color[110c1dff]}！\r\n精准躲避炸弹吧。{color[000000ff]}
inst_hsmg434_rule	仔细瞄准对手发射吧。\r\n不能被大炮击中哦！
inst_hsmg435_rule	{color[ff3502ff]}酷霸王{color[000000ff]}{color[110c1dff]}会在黑暗中发动袭击！\r\n请想办法逃走吧！{color[000000ff]}
inst_hsmg436_rule	请想办法不要被{color[ff3502ff]}酷霸王{color[000000ff]}\r\n{color[110c1dff]}扔出来的尖刺球击中！{color[000000ff]}
inst_hsmg437_rule	努力生存到最后吧。\r\n请小心不要从洞口掉下去！
inst_hsmg438_rule	在快门按下的瞬间，\r\n站到台子中间看向镜头。
inst_hsmg439_rule	请按下红色按键从出口逃出去。\r\n{color[ff3502ff]}汪汪{color[000000ff]}{color[110c1dff]}快要醒来时，就躲进桶里吧。{color[000000ff]}
inst_hsmg440_rule	这是只需调整速度的竞速比赛（4圈）。\r\n速度太快就会打转，要小心！
inst_hsmg441_rule	把球打到旗子那里吧。\r\n最接近旗子的人获胜。
inst_hsmg442_rule	看准时机放下笼子，\r\n多多捕获{color[ff3502ff]}栗宝宝{color[000000ff]}{color[110c1dff]}吧。{color[000000ff]}
inst_hsmg443_rule	一边以{color[ff3502ff]}飞行龟{color[000000ff]}{color[110c1dff]}为立足点\r\n一边跳跃着攀登吧。{color[000000ff]}
inst_hsmg444_rule	在空中尽可能多地\r\n旋转滑雪板吧。
inst_hsmg445_rule	骑着木马前进的比赛。\r\n请注意太快的话会筋疲力尽！
inst_hsmg446_rule	最先滑完5圈的人获胜。\r\n不要减速是关键！
inst_hsmg447_rule	尽快抵达终点吧。\r\n跳过去时注意不要撞到{color[ff3502ff]}海胆小子{color[000000ff]}{color[110c1dff]}！{color[000000ff]}
inst_hsmg448_rule	找到通往下层的门，\r\n尽快逃离洋楼。
inst_hsmg449_rule	数数有多少{color[ff3502ff]}栗宝宝{color[000000ff]}{color[110c1dff]}穿过了画面。\r\n按下的计数无法减少！{color[000000ff]}
inst_hsmg101_rule	1人请利用撞地掀起波浪，\r\n将对手从关卡上掀翻下去。\r\n另外3人通过跳跃不断躲避波浪。
inst_hsmg102_rule	3人努力抵达顶部。\r\n另外1人滚落岩石妨碍他们。
inst_hsmg103_rule	1人利用翻滚躲避椰子。\r\n另外3人利用撞地震落椰子\r\n并使其击中对手。
inst_hsmg104_rule	1人连按按键逃跑。\r\n另外3人利用撞地降下雨来，\r\n给予{color[ff3502ff]}吞食花老大{color[000000ff]}{color[110c1dff]}力量。{color[000000ff]}
inst_hsmg105_rule	拉动绳子让对手掉下去。\r\n穿{color[ff3502ff]}酷霸王{color[000000ff]}{color[110c1dff]}布偶装的那人\r\n力量会变得很大。{color[000000ff]}
inst_hsmg106_rule	让探照灯同时照到对手。\r\n1人需要躲避探照灯的照射。
inst_hsmg107_rule	3人齐心协力围追堵截。\r\n另外1人尽可能逃跑并小心不要被压扁。
inst_hsmg108_rule	1人利用带有尖刺的机器撞击对手。\r\n另外3人调节速度尽力躲避！
inst_hsmg109_rule	1人转动平台，让对手掉下去。\r\n另外3人请努力不要从洞口掉下去！
inst_hsmg110_rule	1人持球冲向终点。\r\n另外3人使用冲撞阻碍对手。
inst_hsmg111_rule	1人用箭射向对手的箭靶。\r\n另外3人进行躲避，不要让箭射中。
inst_hsmg112_rule	3人要争取获得10分。\r\n另外1人要防守球门。
inst_hsmg113_rule	3人要不断地躲避大狼牙棒！\r\n另外1人也可以做假动作！
inst_hsmg114_rule	3人要找好躲起来的地方。\r\n另外1人要在3次内找出所有人。
inst_hsmg115_rule	音乐结束后决定脸的朝向。\r\n3人选择的方向如果和另外1人的方向相同，就输了！\r\n另外还要注意假动作！
inst_hsmg201_rule	2人相互配合伸出同一只脚前进。\r\n如果没有掌握好时机就会摔倒！
inst_hsmg202_rule	相互配合，在时间结束前尽量多多食用披萨吧。\r\n腊肠和披萨边会比较有嚼劲！
inst_hsmg203_rule	2人相互配合尽快逃离\r\n布满机关的地下迷宫。
inst_hsmg204_rule	将龟壳射进对手的球门。\r\n率先获得3分的队伍获胜。
inst_hsmg205_rule	2人相互配合制作蛋糕。\r\n1人先把蛋糕坯子放好，\r\n另外1人再把草莓放上去。
inst_hsmg206_rule	2人相互配合的滑雪橇竞赛。\r\n转弯时注意配合不要掉落下去。\r\n掉落下去就出局！
inst_hsmg207_rule	2人相互配合的采矿车竞赛。\r\n转弯时注意不要速度太快。\r\n掉到熔岩上就出局！
inst_hsmg208_rule	2人相互配合使用蜡笔\r\n将动来动去的印章圈起来。
inst_hsmg209_rule	看准时机传递樱桃，\r\n将樱桃多多地运送到篮筐中。
inst_hsmg210_rule	尽快撑破{color[ff3502ff]}酷霸王气球{color[000000ff]}{color[110c1dff]}。\r\n仔细观察压力表，一次打入大量空气吧。{color[000000ff]}
inst_hsmg211_rule	请让{color[ff3502ff]}炸弹兵{color[000000ff]}{color[110c1dff]}在对手那边爆炸。\r\n先爆炸10次的人获胜！\r\n按下发光的开关后，炸弹兵就会朝向反方向。{color[000000ff]}
inst_hsmg212_rule	请跳着躲避\r\n转来转去的尖刺棒子！
inst_hsmg213_rule	击碎挡路的岩石，争取抵达终点。
inst_hsmg214_rule	{color[110c1dff]}给{color[000000ff]}{color[ff3502ff]}栗宝宝{color[000000ff]}{color[110c1dff]}涂色，\r\n将它变成自己队伍的颜色。{color[000000ff]}
inst_hsmg215_rule	2人组队操纵飞机\r\n争取抵达终点。
inst_hsmg701_rule	请用跳跃来躲避，\r\n不要撞到时钟上的长针！
inst_hsmg702_rule	看准时机在左右摇摆的\r\n藤蔓中穿梭并争取抵达终点。
inst_hsmg703_rule	穿过旋转门，\r\n争取抵达终点。
inst_hsmg704_rule	踩着龟壳比对手\r\n更快地抵达终点。\r\n请小心避开{color[ff3502ff]}霹雳球{color[000000ff]}{color[110c1dff]}！{color[000000ff]}
inst_hsmg705_rule	避开滚过来的石头\r\n并争取抵达终点。
inst_hsmg801_rule	小心锤子并收集{color[ffffffff]}{color[000000ff]}{color[110c1dff]}金币吧。\r\n如果失足掉下，{color[000000ff]}{color[ffffffff]}{color[000000ff]}{color[110c1dff]}金币就会归零！{color[000000ff]}
inst_hsmg802_rule	在下落的同时收集{color[ffffffff]}{color[000000ff]}{color[110c1dff]}金币。\r\n请小心锤子！{color[000000ff]}
inst_hsmg803_rule	{color[110c1dff]}钓起并收集{color[000000ff]}{color[ffffffff]}{color[000000ff]}{color[110c1dff]}金币。\r\n用摇杆调整距离，获取钓到贵重的东西吧。{color[000000ff]}
inst_hsmg804_rule	{color[110c1dff]}通过影像记住装入{color[000000ff]}{color[ffffffff]}{color[000000ff]}{color[110c1dff]}金币的箱子，\r\n等那个箱子来到跟前时，就打开它吧。{color[000000ff]}
inst_hsmg805_rule	{color[110c1dff]}请收集{color[000000ff]}{color[ffffffff]}{color[000000ff]}{color[110c1dff]}金币。\r\n3人被流沙吞没就出局。\r\n另外1人要阻碍他们拿取金币。{color[000000ff]}
inst_hsmg806_rule	收集流过来的{color[ffffffff]}{color[000000ff]}{color[110c1dff]}金币吧。\r\n注意不要撞上圆木！{color[000000ff]}
inst_hsmg807_rule	收集传过来的{color[ffffffff]}{color[000000ff]}{color[110c1dff]}金币。\r\n从传送带上掉下来的话，时间就会被浪费！{color[000000ff]}
inst_hsmg808_rule	{color[110c1dff]}收集{color[000000ff]}{color[ffffffff]}{color[000000ff]}{color[110c1dff]}金币。\r\n要小心{color[000000ff]}{color[ff3502ff]}吞食花{color[000000ff]}{color[110c1dff]}！{color[000000ff]}
inst_hsmg809_rule	收集飘浮在空中的{color[ffffffff]}{color[000000ff]}{color[110c1dff]}金币。\r\n可以使用跷跷板跳跃。\r\n每人有2次机会！{color[000000ff]}
inst_hsmg810_rule	2人划动木筏收集{color[ffffffff]}{color[000000ff]}{color[110c1dff]}金币。\r\n注意不要被锤子砸中！{color[000000ff]}
inst_hsmg501_rule	沙滩排球的对决。\r\n3次以内要把球打回到对方的场地。
inst_hsmg502_rule	冰上曲棍球的对决。\r\n好好使用轻轻射门吧。
inst_hsmg503_rule	2人组队{color[110c1dff]}使用龟壳将对手的{color[000000ff]}\r\n{color[ff3502ff]}栗宝宝{color[000000ff]}{color[110c1dff]}全部打倒。{color[000000ff]}
inst_hsmg601_rule	将两个以上相同颜色的方块\r\n连接在一起以便消除它们。\r\n{color[ff3502ff]}咚咚{color[000000ff]}{color[110c1dff]}会帮你把方块压碎。{color[000000ff]}
inst_hsmg601_rule2	将两个以上相同颜色的方块\r\n连接在一起以便消除它们。\r\n{color[ff3502ff]}咚咚{color[000000ff]}{color[110c1dff]}会帮你把方块压碎。{color[000000ff]}
inst_hsmg602_rule	连接5个以上的方块使其消除。\r\n消除指定数量的★就能过关！\r\n时间归零时，游戏就会结束。
inst_hsmg602_rule2	连接5个以上的方块使其消除。\r\n谁的时间先归零，谁就输了！\r\n消除↑↓方块后，能发送妨碍方块。
inst_hsmg603_rule	连接5个以上的球使其消除。\r\n消除指定的数量就能过关！\r\n从关卡上掉出10个球时，游戏就会结束。
inst_hsmg603_rule2	连接5个以上的球使其消除。\r\n消除带有数字的球后，就能将它发送给对手。\r\n从关卡上掉出10个球的一方将被判输！
hsmg_item.msbt
hsmg900_tlp_gotItem	GOT ITEM!
hsmg900_tlp_miss	MISS!
hsmg901_tlp_smallRule	以火箭瞄准！
hsmg902_tlp_smallRule	弄破气球！
hsmg903_tlp_smallRule	停下轮盘！
hsmg904_tlp_smallRule	跳上去！
hsmg905_tlp_smallRule00	不要看漏！
hsmg905_tlp_smallRule02	破坏木桶！
hsmg901_pop_ctrl02	连按向上举起　敲击
hsmg902_pop_ctrl00	射箭
hsmg903_pop_ctrl00	按下开关
hsmg904_pop_ctrl00	跳跃
hsmg905_pop_ctrl02	移动　出拳
hsmm01.msbt
hsmm01_mgtype	[0]
hsmm01_winHist	胜负表
hsmm01_ctlr_iconL	
hsmm01_ctlr_iconR	
hsmm01_ctlr_iconL01	
hsmm01_ctlr_iconR01	
hsmm01_mg_ctrl_winHist	胜负表
hsmm01_mg_ctrl_random	随机
hsmm01_mgname0	[0]
hsmm01_mgname1	[0]
hsmm01_vs00	vs
hsmm01_rule_mgname	[0]
hsmm01_rule_mgtype	[0]
hsmm01_match00	[0]分制比赛
hsmm01_match01	[0]分钟制比赛
hsmm01_plyNum00	游玩次数
hsmm01_record00	高分
hsmm01_record01	获胜次数
hsmm01_plyNum00_0	[0]次
hsmm01_record00_0	[0]
hsmm01_record00_0_m	[0]m
hsmm01_record00_0_point_m	[0].[1]m
hsmm01_record00_0_degree	[0]°
