glossary.msbt
gl_799	庫巴蛋糕
hsmg215_MGctrlGuide	前面的玩家  控制方向　　後面的玩家  拍動翅膀
hsmg501_MGctrlGuide	 移動　 擊球　 跳躍
hsmg502_MGctrlGuide	 移動　 傳球/攔阻　 強力射門　 輕輕射門
hsmg503_MGctrlGuide	 移動　 傳球/攔阻　 踢球
hsmg_ui_pts	[0]{size[3c00]}pts{size[6400]}
hsmg_speed_3digit	[0]
hsmg_speed_max	MAX
hsmg_speed	km/h
hsmg_consecutive_wins	[0]連勝
hsmg_record_privateTimer	[0]:[1].[2]
hsmg404_count	[0]
hsmg404_answer	[0]
hsmg407_jump	[0]
hsmg425_pageNumber	[0]
hsmg430_tlp_memory	記住位置吧！
hsmg430_tlp_return	放回原位吧！
hsmg441_tlp_select	決定順序
hsmg441_tlp_hole_in_one	一桿進洞
hsmg441_number	[0]
hsmg441_score_distance_2point	[0].[1]
hsmg441_score_m	m
hsmg441_skip	/跳過
hsmg444_skip	/跳過
hsmg444_count	[0]°
hsmg445_gauge	[0]
hsmg445_replay	REPLAY
hsmg447_rank	[0]
hsmg449_answer	[0]
hsmg701_jump	[0]
hsmg501_tlp_matchPoint	賽點
hsmg503_tlp_gorl	踢中！
hsmg503_tlp_kickoff	開球！
hsmg601_tlp_miss	失誤
hsmg602_score	得分
hsmg602_score_myself	[0]
hsmg602_score_high	[0]
hsmg602_level	等級
hsmg602_level_myself	[0]
hsmg602_star	消除★的數量
hsmg602_star_myself	[0]/[1]
hsmg602_level_clear	等級[0]達成！
hsmg602_next_level	等級[0]
hsmg603_score	得分
hsmg603_score_myself	[0]
hsmg603_score_high	[0]
hsmg603_level	等級
hsmg603_level_myself	[0]
hsmg603_level_clear	等級[0]達成！
hsmg603_next_level	等級[0]
hsmg603_timer_count	[0].[1]
hsmg_inst.msbt
inst_mgWarning	{color[ffffffff]}{color[000000ff]}{color[110c1dff]}請勿用掌心之類，\r\n皮膚較脆弱的部位，\r\n操作控制器的操控搖桿。{color[000000ff]}
inst_mgTitle	[0]
inst_tlp_ctrl	操作看看吧！
inst_OK	OK！
inst_readyOK	/　開始！
inst_ctrl_ui	操作方法
inst_ctrl_side01	1人陣營
inst_ctrl_side03	3人陣營
inst_vs	VS
inst_abandonedtimer	[0]
inst_hsmg401_ctrl00	 移動
inst_hsmg401_ctrl01	 跳躍
inst_hsmg401_ctrl02	→ 臀部撞地
inst_hsmg402_ctrl00	 製作雪球（連按）
inst_hsmg402_ctrl01	 移動
inst_hsmg402_ctrl02	 推雪球
inst_hsmg403_ctrl00	 移動
inst_hsmg403_ctrl01	 跳躍
inst_hsmg403_ctrl02	 出拳
inst_hsmg403_ctrl03	→ 臀部撞地
inst_hsmg404_ctrl00	 計數＋1
inst_hsmg404_ctrl01	 計數－1
inst_hsmg405_ctrl00	 移動
inst_hsmg405_ctrl01	 跳躍
inst_hsmg406_ctrl00	 移動
inst_hsmg407_ctrl00	 跳躍
inst_hsmg408_ctrl00	 移動
inst_hsmg408_ctrl01	 大跳躍
inst_hsmg408_ctrl02	 旋轉（大跳躍時）
inst_hsmg409_ctrl00	 揮動
inst_hsmg410_ctrl00	 方向
inst_hsmg410_ctrl01	 跳躍
inst_hsmg411_ctrl00	 選擇洞穴
inst_hsmg411_ctrl01	 探出頭（按住時）
inst_hsmg412_ctrl00	 舉白旗
inst_hsmg412_ctrl01	 舉紅旗
inst_hsmg413_ctrl00	 移動
inst_hsmg414_ctrl00	 移動
inst_hsmg414_ctrl01	 跳躍
inst_hsmg415_ctrl00	 移動
inst_hsmg416_ctrl00	 照亮
inst_hsmg417_ctrl00	＋ 轉動（同時連按）
inst_hsmg418_ctrl00	 敲擊（連按）
inst_hsmg419_ctrl00	 移動
inst_hsmg419_ctrl01	 跳躍
inst_hsmg420_ctrl00	 移動
inst_hsmg421_ctrl00	 移動
inst_hsmg421_ctrl01	 跳躍
inst_hsmg421_ctrl02	 出拳
inst_hsmg421_ctrl03	→ 臀部撞地
inst_hsmg422_ctrl00	 移動
inst_hsmg423_ctrl00	 移動
inst_hsmg424_ctrl00	 移動並撿拾/交付信件
inst_hsmg425_ctrl00	 移動
inst_hsmg426_ctrl00	 移動
inst_hsmg427_ctrl00	 移動
inst_hsmg427_ctrl01	 發射
inst_hsmg427_ctrl02	 向上發射
inst_hsmg427_ctrl03	/ 固定方向（按住時）
inst_hsmg428_ctrl00	 選擇
inst_hsmg428_ctrl01	 按下
inst_hsmg429_ctrl00	 跳躍
inst_hsmg430_ctrl00	 移動
inst_hsmg430_ctrl01	 抓住/擺放
inst_hsmg430_ctrl02	 打開/關閉簾子
inst_hsmg431_ctrl00	 移動
inst_hsmg431_ctrl01	 抓住臉部（按住時）
inst_hsmg431_ctrl02	 重置
inst_hsmg432_ctrl00	 前進
inst_hsmg432_ctrl01	 後退
inst_hsmg432_ctrl02	 更改方向
inst_hsmg433_ctrl00	 游泳（連按）
inst_hsmg433_ctrl01	 潛進水裡
inst_hsmg434_ctrl00	 發射
inst_hsmg435_ctrl00	 移動
inst_hsmg436_ctrl00	 移動
inst_hsmg437_ctrl00	 移動
inst_hsmg437_ctrl01	 跳躍
inst_hsmg437_ctrl02	 出拳
inst_hsmg437_ctrl03	→ 踢
inst_hsmg438_ctrl00	 移動
inst_hsmg438_ctrl01	 跳躍
inst_hsmg438_ctrl02	 出拳
inst_hsmg438_ctrl03	→ 臀部撞地
inst_hsmg439_ctrl00	 移動
inst_hsmg439_ctrl01	放開 躲進木桶
inst_hsmg440_ctrl00	的角度 調整速度
inst_hsmg441_ctrl00	 方向
inst_hsmg441_ctrl01	 強度
inst_hsmg441_ctrl02	 擊球
inst_hsmg442_ctrl00	 放下籠子
inst_hsmg443_ctrl00	 移動
inst_hsmg443_ctrl01	 跳躍
inst_hsmg444_ctrl00	 照順序按下並旋轉
inst_hsmg444_ctrl99	 照順序按下並旋轉
inst_hsmg445_ctrl00	 前進（交替）
inst_hsmg446_ctrl00	 方向
inst_hsmg446_ctrl01	 前進（按住時）
inst_hsmg447_ctrl00	 移動
inst_hsmg447_ctrl01	 速度提升1檔
inst_hsmg448_ctrl00	 移動
inst_hsmg448_ctrl01	 進去門裡
inst_hsmg449_ctrl00	 計數＋1
inst_hsmg101_ctrl10	 跳躍
inst_hsmg101_ctrl11	→ 臀部撞地
inst_hsmg101_ctrl30	 移動
inst_hsmg101_ctrl31	 跳躍
inst_hsmg102_ctrl10	 岩石落下的方向
inst_hsmg102_ctrl11	 落下岩石
inst_hsmg102_ctrl30	 移動
inst_hsmg103_ctrl10	 移動
inst_hsmg103_ctrl30	 移動
inst_hsmg103_ctrl31	 跳躍
inst_hsmg103_ctrl32	→ 臀部撞地
inst_hsmg104_ctrl10	 逃跑（連按）
inst_hsmg104_ctrl11	 跳躍
inst_hsmg104_ctrl30	 跳躍
inst_hsmg104_ctrl31	→ 臀部撞地
inst_hsmg105_ctrl00	 拉繩子（旋轉）
inst_hsmg106_ctrl10	 移動
inst_hsmg106_ctrl11	 潛進水裡（按住時）
inst_hsmg106_ctrl30	 移動探照燈
inst_hsmg107_ctrl00	 移動
inst_hsmg108_ctrl00	 移動
inst_hsmg108_ctrl01	 加速
inst_hsmg108_ctrl02	 減速
inst_hsmg109_ctrl10	 向左旋轉
inst_hsmg109_ctrl11	 向右旋轉
inst_hsmg109_ctrl30	 移動
inst_hsmg110_ctrl10	 移動
inst_hsmg110_ctrl11	 衝刺
inst_hsmg110_ctrl30	 移動
inst_hsmg110_ctrl31	 攔阻
inst_hsmg111_ctrl10	 移動
inst_hsmg111_ctrl11	 拉弓/射箭
inst_hsmg111_ctrl30	 移動
inst_hsmg112_ctrl10	 移動
inst_hsmg112_ctrl11	 跳躍
inst_hsmg112_ctrl30	 方向
inst_hsmg112_ctrl31	 射門
inst_hsmg112_ctrl32	 強力射門（長按）
inst_hsmg113_ctrl10	 大狼牙棒的方向
inst_hsmg113_ctrl30	 移動
inst_hsmg114_ctrl10	 選擇開關
inst_hsmg114_ctrl11	 按下
inst_hsmg114_ctrl30	 選擇躲藏位置
inst_hsmg115_ctrl00	 上下左右（推動時）
inst_hsmg115_ctrl01	 面向正面（放開）
inst_hsmg201_ctrl00	 踏出右腳
inst_hsmg201_ctrl01	 踏出左腳
inst_hsmg202_ctrl00	 移動
inst_hsmg202_ctrl01	 吃披薩（連按）
inst_hsmg203_ctrl00	 移動
inst_hsmg203_ctrl01	 跳躍
inst_hsmg204_ctrl00	 移動
inst_hsmg205_ctrl00	 拿取/放置材料
inst_hsmg206_ctrl00	 推雪撬（連按）
inst_hsmg206_ctrl01	 加速
inst_hsmg206_ctrl02	 減速
inst_hsmg206_ctrl03	 方向
inst_hsmg207_ctrl00	 保持平衡
inst_hsmg207_ctrl01	 加速（連按）
inst_hsmg207_ctrl02	 煞車
inst_hsmg208_ctrl00	 移動
inst_hsmg209_ctrl00	 拿取（按住時）
inst_hsmg209_ctrl01	 放開（放開）
inst_hsmg210_ctrl00	 上拉（按住時）
inst_hsmg210_ctrl01	 下壓（按住時）
inst_hsmg211_ctrl00	 移動
inst_hsmg211_ctrl01	 按下開關
inst_hsmg212_ctrl00	 移動
inst_hsmg212_ctrl01	 跳躍
inst_hsmg213_ctrl00	 移動
inst_hsmg213_ctrl01	 出拳
inst_hsmg213_ctrl02	 跳躍
inst_hsmg213_ctrl03	→ 踢
inst_hsmg214_ctrl00	 移動
inst_hsmg214_ctrl01	 發射油漆
inst_hsmg215_ctrlGuide00	前面的玩家
inst_hsmg215_ctrlGuide01	後面的玩家
inst_hsmg215_ctrl00	 方向
inst_hsmg215_ctrl10	拍動翅膀
inst_hsmg701_ctrl00	 跳躍
inst_hsmg702_ctrl00	 盪過去
inst_hsmg703_ctrl00	 移動
inst_hsmg704_ctrl00	 移動
inst_hsmg704_ctrl01	 移動
inst_hsmg705_ctrl00	 移動
inst_hsmg801_ctrl00	 移動
inst_hsmg801_ctrl01	 跳躍
inst_hsmg801_ctrl02	→ 臀部撞地
inst_hsmg802_ctrl00	 移動
inst_hsmg802_ctrl01	 撐開/收起陽傘
inst_hsmg803_ctrl00	 透過推動的角度來調整距離
inst_hsmg803_ctrl01	 拋桿（放開）
inst_hsmg803_ctrl02	 轉動捲線器（旋轉）
inst_hsmg804_ctrl00	 打開箱子
inst_hsmg805_ctrl10	 向右旋轉沙子
inst_hsmg805_ctrl11	 向左旋轉沙子
inst_hsmg805_ctrl30	 移動
inst_hsmg806_ctrl00	 移動
inst_hsmg807_ctrl00	 移動
inst_hsmg808_ctrl00	 移動
inst_hsmg808_ctrl01	 跳躍
inst_hsmg809_ctrl00	 移動
inst_hsmg810_ctrl00	 方向
inst_hsmg810_ctrl01	 划（連按）
inst_hsmg501_ctrl00	 移動
inst_hsmg501_ctrl01	 擊球
inst_hsmg501_ctrl02	 跳躍
inst_hsmg501_ctrl03	→ 攻擊（跳躍時）
inst_hsmg502_ctrl00	 移動
inst_hsmg502_ctrl01	 傳球/攔阻
inst_hsmg502_ctrl02	 強力射門
inst_hsmg502_ctrl03	 輕輕射門
inst_hsmg503_ctrl00	 移動
inst_hsmg503_ctrl01	 傳球/攔阻
inst_hsmg503_ctrl02	 踢球
inst_hsmg503_ctrl03	＋ 踢球方向（按住時）
inst_hsmg601_ctrl00	 移動
inst_hsmg601_ctrl01	 快速移動
inst_hsmg601_ctrl02	 落下
inst_hsmg601_ctrl03	 上下替換
inst_hsmg602_ctrl00	 移動游標
inst_hsmg602_ctrl01	 向上傳送磚塊
inst_hsmg602_ctrl02	＋ 搬運（按住時）
inst_hsmg602_ctrl03	 向上移動
inst_hsmg603_ctrl00	 旋轉舞台
inst_hsmg603_ctrl01	 讓球落下
inst_hsmg401_rule	快速移動到跟我舉起的板子\r\n相同圖案的蘑菇上吧。
inst_hsmg402_rule	將雪球越推越大後，\r\n朝對手滾過去吧。
inst_hsmg403_rule	比對手更快獲得音符吧。\r\n會變得頭暈目眩而無法隨意移動喔！
inst_hsmg404_rule	數一數角色的數量吧。\r\n最後會對答案喔。
inst_hsmg405_rule	在滑溜溜的冰上，努力閃躲{color[ff3502ff]}刺刺龜{color[000000ff]}{color[110c1dff]}吧！{color[000000ff]}
inst_hsmg406_rule	用身體把對手撞下去吧。
inst_hsmg407_rule	小心不要被火焰繩子打到，\r\n看準時機跳躍吧！
inst_hsmg408_rule	把對手撞下去吧。\r\n可以在大跳躍中透過旋轉把對手彈飛喔！
inst_hsmg409_rule	看準時機，把球打回去吧。
inst_hsmg410_rule	跳到魔豆樹葉上，\r\n爬得比任何人都高吧。
inst_hsmg411_rule	小心不要被{color[ff3502ff]}黃鼴鼠{color[000000ff]}{color[110c1dff]}發現喔。\r\n把頭探出來最久的人就獲勝。{color[000000ff]}
inst_hsmg412_rule	舉起和{color[ff3502ff]}嘿呵{color[000000ff]}{color[110c1dff]}相同顏色的旗子吧。\r\n舉旗的速度會越來越快喔！{color[000000ff]}
inst_hsmg413_rule	把線描得漂漂亮亮，\r\n挖掘出化石吧。
inst_hsmg414_rule	傾斜讓龜殼滑動，\r\n直到翻開所有的板子吧。
inst_hsmg415_rule	用蠟筆將示範的線條\r\n漂亮地描繪出來吧。
inst_hsmg416_rule	把{color[ff3502ff]}汪汪{color[000000ff]}{color[110c1dff]}引到快碰到自己的時候，\r\n用燈照亮，讓牠停下來。{color[000000ff]}
inst_hsmg417_rule	多多轉動發條，\r\n飛得比對手更遠吧。
inst_hsmg418_rule	以鎚子敲擊，快速地擊飛{color[ff3502ff]}刺球丸子{color[000000ff]}{color[110c1dff]}吧。\r\n每敲擊五次就能擊飛一個。{color[000000ff]}
inst_hsmg419_rule	小心不要從搖搖晃晃的島上掉下來，\r\n努力生存到最後吧！
inst_hsmg420_rule	多多給{color[ff3502ff]}吞食花{color[000000ff]}{color[110c1dff]}澆水吧。{color[000000ff]}
inst_hsmg421_rule	獲得{color[ff3502ff]}巨大蘑菇{color[000000ff]}{color[110c1dff]}後，\r\n用身體撞擊對手吧。{color[000000ff]}
inst_hsmg422_rule	躲開一群簇擁上來的{color[ff3502ff]}企鵝{color[000000ff]}{color[110c1dff]}，\r\n小心不要掉進海裡了！{color[000000ff]}
inst_hsmg423_rule	看好地上的影子，\r\n接住掉下來的冰淇淋吧。
inst_hsmg424_rule	撿拾從天而降的信件\r\n並交給{color[ff3502ff]}嘿呵{color[000000ff]}{color[110c1dff]}吧。{color[000000ff]}
inst_hsmg425_rule	請躲進洞裡，\r\n不要被倒下來的書頁壓扁了！
inst_hsmg426_rule	小心不要從彎來彎去的小路上掉下去了，\r\n努力抵達終點吧。
inst_hsmg427_rule	以戰車和對手互相射擊吧。\r\n被擊中兩次就出局！
inst_hsmg428_rule	每個人輪流按下開關吧。\r\n爆炸就出局！
inst_hsmg429_rule	碰到蜂巢就出局。\r\n拿取水果的數字是決勝的關鍵！
inst_hsmg430_rule	請將掉落的物品放回原處。\r\n為了防止作弊，記得使用簾子。
inst_hsmg431_rule	拖曳{color[ff3502ff]}庫巴{color[000000ff]}{color[110c1dff]}的臉，\r\n使其更接近範本的樣子吧。{color[000000ff]}
inst_hsmg432_rule	用車身的尖刺弄破對手的氣球吧。
inst_hsmg433_rule	請逃離{color[ff3502ff]}巨大泡泡魚{color[000000ff]}{color[110c1dff]}！\r\n精準地躲過炸彈吧。{color[000000ff]}
inst_hsmg434_rule	瞄準對手再發射吧。\r\n不能被大炮擊中喔！
inst_hsmg435_rule	{color[ff3502ff]}庫巴{color[000000ff]}{color[110c1dff]}會在黑暗中發動攻擊！\r\n請想辦法逃走吧！{color[000000ff]}
inst_hsmg436_rule	請想盡辦法躲過\r\n{color[ff3502ff]}庫巴{color[000000ff]}{color[110c1dff]}丟出來的尖刺球吧！{color[000000ff]}
inst_hsmg437_rule	努力生存到最後吧。\r\n要小心不要從洞口掉下去！
inst_hsmg438_rule	在按下快門的瞬間，\r\n站到正中間面向鏡頭吧。
inst_hsmg439_rule	請按下紅色按鍵從出口逃走。\r\n{color[ff3502ff]}汪汪{color[000000ff]}{color[110c1dff]}快醒來的時候，就躲進木桶裡吧。{color[000000ff]}
inst_hsmg440_rule	這是只需要調整速度的競賽(4圈)。\r\n速度太快會打轉，要小心喔！
inst_hsmg441_rule	朝著旗子，將球打過去吧。\r\n離球洞最近的人就獲勝。
inst_hsmg442_rule	看準時機放下籠子，\r\n多多捕獲{color[ff3502ff]}栗寶寶{color[000000ff]}{color[110c1dff]}吧。{color[000000ff]}
inst_hsmg443_rule	把{color[ff3502ff]}飛行龜{color[000000ff]}{color[110c1dff]}當作立足點，\r\n一直向上跳躍吧。{color[000000ff]}
inst_hsmg444_rule	盡量讓滑雪板\r\n在空中多旋轉幾次吧。
inst_hsmg445_rule	這是騎乘木馬前進的競賽。\r\n要注意速度，太快會累！
inst_hsmg446_rule	最快溜完5圈的人獲勝。\r\n決勝的關鍵是不要減速！
inst_hsmg447_rule	目標是要最快抵達終點。\r\n跳過去時，要小心不要撞到{color[ff3502ff]}海膽小子{color[000000ff]}{color[110c1dff]}。{color[000000ff]}
inst_hsmg448_rule	找出通往下層的門，\r\n盡快逃離洋樓吧。
inst_hsmg449_rule	數一數有多少{color[ff3502ff]}栗寶寶{color[000000ff]}{color[110c1dff]}穿過畫面吧。\r\n按下的數量無法返回喔！{color[000000ff]}
inst_hsmg101_rule	1人陣營請藉由臀部撞地引起波浪，\r\n讓對手從舞台上掉下去。\r\n3人陣營則藉由跳躍不斷地躲過波浪。
inst_hsmg102_rule	3人陣營要以攻頂為目標。\r\n1人陣營請落下岩石來阻礙對方。
inst_hsmg103_rule	1人陣營要在地上滾動以躲避椰子。\r\n3人陣營則要藉由臀部撞地讓椰子落下以擊中對手。
inst_hsmg104_rule	1人陣營要連按按鍵來逃跑。\r\n3人陣營則要藉由臀部撞地讓雨落下，\r\n給予{color[ff3502ff]}吞食花老大{color[000000ff]}{color[110c1dff]}力量。{color[000000ff]}
inst_hsmg105_rule	拉動繩子讓對手掉下去。\r\n1人陣營因穿著{color[ff3502ff]}庫巴{color[000000ff]}{color[110c1dff]}裝而變得強而有力。{color[000000ff]}
inst_hsmg106_rule	將探照燈同時照向對手吧。\r\n1人陣營則要努力逃離探照燈。
inst_hsmg107_rule	3人陣營要同心協力追逐對手。\r\n1人陣營則要努力逃跑，不要被壓扁了。
inst_hsmg108_rule	1人陣營要以帶有尖刺的裝置衝撞對手。\r\n3人陣營則要調整速度，努力逃跑！
inst_hsmg109_rule	1人陣營負責旋轉舞台，讓對手掉下去。\r\n3人陣營則要盡力避免從洞洞掉下去！
inst_hsmg110_rule	1人陣營要拿著球衝向終點。\r\n3人陣營則要攔阻對手前進。
inst_hsmg111_rule	1人陣營要用箭射向對手的箭靶。\r\n3人陣營則要避免被箭射中。
inst_hsmg112_rule	3人陣營要取得10分。\r\n1人陣營則要防守球門。
inst_hsmg113_rule	3人陣營請不斷逃離大狼牙棒！\r\n1人陣營也可以做假動作喔！
inst_hsmg114_rule	3人陣營要找好躲藏的地方。\r\n1人陣營請在3次之內找出所有人。
inst_hsmg115_rule	音樂停止後，決定臉朝的方向。\r\n3人陣營如果和1人陣營朝向相同方向就輸了。\r\n也要注意假動作喔！
inst_hsmg201_rule	2人相互配合，踏出同一邊的腳來前進。\r\n沒有掌握好時機就會摔倒喔！
inst_hsmg202_rule	在限制時間內，互相合作多吃一點大披薩吧。\r\n臘腸和披薩邊會比較有咬勁喔！
inst_hsmg203_rule	2人合作，快速逃出\r\n有很多機關的地下迷宮吧。
inst_hsmg204_rule	把龜殼撞進對手的球門吧。\r\n率先獲得3分的隊伍就獲勝。
inst_hsmg205_rule	2人合作做蛋糕。\r\n1人先把海綿蛋糕放好，\r\n另1人再放上草莓。
inst_hsmg206_rule	2人合作的滑雪橇競賽。\r\n轉彎時要互相配合，不要掉下去了。\r\n掉下去就出局！
inst_hsmg207_rule	2人合作的採礦車競賽。\r\n要小心過彎不能太快。\r\n掉下岩漿就出局！
inst_hsmg208_rule	2人合作把動來動去的印章\r\n用蠟筆圈起來。
inst_hsmg209_rule	看準時機傳遞櫻桃，\r\n多多把櫻桃運送到籃子裡吧。
inst_hsmg210_rule	快速把{color[ff3502ff]}庫巴氣球{color[000000ff]}{color[110c1dff]}弄破吧。\r\n仔細查看壓力錶，一次打入更多空氣吧。{color[000000ff]}
inst_hsmg211_rule	請讓{color[ff3502ff]}炸彈兵{color[000000ff]}{color[110c1dff]}在對方那裡爆炸。\r\n先讓炸彈兵爆炸10次就獲勝！\r\n按下亮起的開關，炸彈兵就會往反方向移動。{color[000000ff]}
inst_hsmg212_rule	請藉由跳躍來躲避\r\n轉來轉去的尖刺棒子！
inst_hsmg213_rule	破壞擋路的岩石，以終點為目標吧。
inst_hsmg214_rule	朝{color[ff3502ff]}栗寶寶{color[000000ff]}{color[110c1dff]}發射油漆，\r\n使其變成自己隊伍的顏色吧。{color[000000ff]}
inst_hsmg215_rule	2人一組操縱飛機以抵達終點。
inst_hsmg701_rule	請藉由跳躍來躲避，\r\n小心不要撞到時鐘上的指針！
inst_hsmg702_rule	抓住左右搖擺的藤蔓，\r\n看準時機盪過去以抵達終點吧。
inst_hsmg703_rule	通過旋轉門以抵達終點吧。
inst_hsmg704_rule	乘坐龜殼比對手更快\r\n抵達終點吧。\r\n請小心避開{color[ff3502ff]}霹靂球{color[000000ff]}{color[110c1dff]}！{color[000000ff]}
inst_hsmg705_rule	躲開飛過來的石頭\r\n並抵達終點吧。
inst_hsmg801_rule	一面留意鐵鎚，一面收集{color[ffffffff]}{color[000000ff]}{color[110c1dff]}金幣吧。\r\n失足掉落的話，{color[000000ff]}{color[ffffffff]}{color[000000ff]}{color[110c1dff]}金幣就會歸零喔！{color[000000ff]}
inst_hsmg802_rule	一面降落一面收集{color[ffffffff]}{color[000000ff]}{color[110c1dff]}金幣吧。\r\n要小心鐵鎚喔！{color[000000ff]}
inst_hsmg803_rule	釣起{color[ffffffff]}{color[000000ff]}{color[110c1dff]}金幣並收集起來吧。\r\n使用操控搖桿調整距離，以大魚為目標。{color[000000ff]}
inst_hsmg804_rule	看著影子，記住有{color[ffffffff]}{color[000000ff]}{color[110c1dff]}金幣的箱子，\r\n當那個箱子來到面前，就打開來吧。{color[000000ff]}
inst_hsmg805_rule	請收集{color[ffffffff]}{color[000000ff]}{color[110c1dff]}金幣吧。\r\n3人陣營被流沙吞噬就出局。\r\n1人陣營則要阻礙對方，讓對方無法獲得金幣。{color[000000ff]}
inst_hsmg806_rule	收集流過來的{color[ffffffff]}{color[000000ff]}{color[110c1dff]}金幣吧。\r\n請小心不要撞到圓木了！{color[000000ff]}
inst_hsmg807_rule	收集滑過來的{color[ffffffff]}{color[000000ff]}{color[110c1dff]}金幣吧。\r\n從輸送帶掉下去會損耗時間喔！{color[000000ff]}
inst_hsmg808_rule	收集{color[ffffffff]}{color[000000ff]}{color[110c1dff]}金幣吧。\r\n要小心{color[ff3502ff]}吞食花{color[110c1dff]}！{color[000000ff]}
inst_hsmg809_rule	把飄浮在空中的{color[ffffffff]}{color[000000ff]}{color[110c1dff]}金幣收集起來吧。\r\n用蹺蹺板來跳躍。\r\n1人有2次機會喔！{color[000000ff]}
inst_hsmg810_rule	2人一起划木筏來收集{color[ffffffff]}{color[000000ff]}{color[110c1dff]}金幣吧。\r\n要小心不要被鐵鎚砸到！{color[000000ff]}
inst_hsmg501_rule	沙灘排球的對決。\r\n在3次之內把排球打回對方的場地吧。
inst_hsmg502_rule	冰上曲棍球的對決。\r\n即使是輕輕射門，也要多加利用喔。
inst_hsmg503_rule	請2人一組，將對手的{color[ff3502ff]}栗寶寶{color[000000ff]}{color[110c1dff]}\r\n用龜殼全部擊倒。{color[000000ff]}
inst_hsmg601_rule	相同顏色的磚塊2個以上\r\n連起來就會消除。\r\n{color[ff3502ff]}咚咚{color[000000ff]}{color[110c1dff]}會幫忙壓扁磚塊。{color[000000ff]}
inst_hsmg601_rule2	相同顏色的磚塊2個以上\r\n連起來就會消除。\r\n{color[ff3502ff]}咚咚{color[000000ff]}{color[110c1dff]}會幫忙壓扁磚塊。{color[000000ff]}
inst_hsmg602_rule	連接5個以上的磚塊，使其消除。\r\n消除指定數量的★，就會達成等級！\r\n時間歸零時，遊戲結束。
inst_hsmg602_rule2	連接5個以上的磚塊，使其消除。\r\n時間先歸零的一方就輸了！\r\n消除↑↓磚塊，就能發送阻礙磚塊。
inst_hsmg603_rule	連接5個以上的球，使其消除。\r\n消除指定的數量，就會達成等級！\r\n從舞台上掉出10個時，遊戲結束。
inst_hsmg603_rule2	連接5個以上的球，使其消除。\r\n消除有數字的球，就能發送給對方！\r\n從舞台上掉出10個的一方就輸了！
hsmg_item.msbt
hsmg900_tlp_gotItem	GOT ITEM！
hsmg900_tlp_miss	MISS！
hsmg901_tlp_smallRule	以火箭瞄準！
hsmg902_tlp_smallRule	弄破氣球！
hsmg903_tlp_smallRule	停下輪盤！
hsmg904_tlp_smallRule	盪上去！
hsmg905_tlp_smallRule00	不要錯過！
hsmg905_tlp_smallRule02	弄壞木桶！
hsmg901_pop_ctrl02	連按向上舉起　敲擊
hsmg902_pop_ctrl00	射箭
hsmg903_pop_ctrl00	按下開關
hsmg904_pop_ctrl00	跳躍
hsmg905_pop_ctrl02	移動　出拳
hsmm01.msbt
hsmm01_mgtype	[0]
hsmm01_winHist	勝負表
hsmm01_ctlr_iconL	
hsmm01_ctlr_iconR	
hsmm01_ctlr_iconL01	
hsmm01_ctlr_iconR01	
hsmm01_mg_ctrl_winHist	勝負表
hsmm01_mg_ctrl_random	隨機
hsmm01_mgname0	[0]
hsmm01_mgname1	[0]
hsmm01_vs00	vs
hsmm01_rule_mgname	[0]
hsmm01_rule_mgtype	[0]
