affection.txt
msg_affection_talk_01	这位优秀的训练家，\c\n可以让我看看你和宝可梦的\n关系好不好吗？
msg_42fbff2fae7f20034ec24ac8a46f1dba	[~ 58]
msg_a13447920a3cc8a189142635d69ee986	[~ 59]
msg_2639d849c630e371e99b1e3df93b1042	[~ 60]
msg_31c8153d74b1f6c6bd926257f6be3045	[~ 61]
msg_ca502e4bcc19408bf0f0974d8fb0e7e7	[~ 62]
msg_be1d8d167b576307678297ab1207fba0	[~ 63]
msg_08075191a0bb029b25c7b7a177d63460	[~ 64]
msg_bd99b87ff4b1c8e7d20e71fa6bf97ed2	[~ 65]
msg_6c609a0b70532c355eb112f5face4d10	[~ 66]
msg_f3f9225a20f4e82a150cf23843e8aa16	[~ 67]
msg_2d6d73d6154b1e119544669b9fdb8cbd	[~ 68]
msg_0d4f6d38ee68a45896ec160fc42fc394	[~ 69]
msg_826a2950c61e905f4436503b3e32a495	[~ 70]
msg_999257d7751cb00e4e4b73e7d69e8710	[~ 71]
msg_8174293737b255926f06f9ce6b436320	[~ 72]
msg_e32c66af99b22af3b8b83602040bb81b	[~ 73]
msg_b22f36998e6ab9540b011dfecebabf24	[~ 74]
msg_edcf01ecb31c0277cd28bb1b0e4db921	[~ 75]
msg_a6dc7471a6f2a8dd1cdf32ef81f10575	[~ 76]
msg_0f2ed1027db1242ca7d2c206c9f0f716	[~ 77]
msg_6888d55516ddc50d5d79692313fb43c9	[~ 78]
msg_9b7ab28df87066895501c78ce855d060	[~ 79]
msg_8e4554d3940610de221e2dfc750794c0	[~ 80]
msg_eb06ed97c6a9d07981027cc242724aa6	[~ 81]
msg_ae618a631a95938b19e2b82734d689bb	[~ 82]
msg_354178ccbf58a87716ca41b9c86726ef	[~ 83]
msg_b2681be478b6947534546a0261d4b669	[~ 84]
msg_fb702dc97c60ea41a4ea1a3d8540618c	[~ 85]
msg_23dfdebdf693d50d7dc6dc8986f0be14	[~ 86]
msg_27fae72a57165531296d7e0422127a92	[~ 87]
msg_bf74baf51d3a9fc072799a618151bb1f	[~ 88]
msg_7404f98c120ad06015f48a6dcc3ea33c	[~ 89]
msg_cc5136709d8a5bed4f54aa14d110c19b	[~ 90]
msg_92e42a08313644f42a140611f76d39a7	[~ 91]
msg_f0bf4b1484de830f8721b2f1f01c10b2	[~ 92]
msg_4d88fe144cf21a9721e3276e44c41bdf	[~ 93]
msg_15d4001b87f73b487af7ea70e457a18d	[~ 94]
msg_e9c5bf6fa25821b04f547cf420ee5059	[~ 95]
msg_24e13f4f864687a13bac09f178ba991f	[~ 96]
msg_9364c08ab2e7008de511d59a4845e87b	[~ 97]
msg_694d8106968e2f6b43fdb71c9f427a1e	[~ 98]
msg_1815942ee4ff4f37c5d6840aa375dd53	[~ 99]
msg_64cde44ec1295f2252b0b8ebf382596a	[~ 100]
msg_673c4a3ce0c7dd61555823c5db4762e4	[~ 101]
msg_ca734d6eb8c5ae545072c0c811cf70ee	[~ 102]
msg_2550664dae7770c1c8860b9007fad8a6	[~ 103]
msg_7bb3fdab4abb6d4afed97d4ed1b11cf5	[~ 104]
msg_ccb67cb39c68c9f6e1d658acf6b9f753	[~ 105]
msg_f9ffa39bc5986a12f3e139ce08277a63	[~ 106]
msg_4a4aea152056ca9a6ed66ff9e671f943	[~ 107]
msg_1b66917ebd5e48626466a288044efe21	[~ 108]
msg_1ecd8c2b146634859848d2c28c30c354	[~ 109]
msg_a427102b8f4dfa425331728e18d52d0f	[~ 110]
msg_1f999f2cf8e53a865464b41b98faa184	[~ 111]
msg_d4b29ecf1989e2154f8e0e231164716e	[~ 112]
msg_f11a579ecb673c22fda0db78ea5b1034	[~ 113]
msg_126ebbf9f03682a5beccec9bb8817680	[~ 114]
msg_6633b9ccd4ced163a9fd804ba870b587	[~ 115]
msg_dd762fe17d071be8ffa87bf4db5e4254	[~ 116]
msg_4dac7066efdcbd85d9c01642e78572e6	[~ 117]
msg_bc9e49938c8a6f3784c964424201d786	[~ 118]
msg_d84979998b0079e7035d86331f4d6355	[~ 119]
msg_088f9b89d353ee6f22fd86778a7f8067	[~ 120]
msg_fcee5e95d8cb068d2f15834ee71d501c	[~ 121]
msg_7c502ea3b07fd831f3c29dd4e2d4c568	[~ 122]
msg_741eb728a579d1c529ea60463ed1cdba	[~ 123]
msg_6d2ae5babce6cc549d15714e91719809	[~ 124]
msg_b80a28318c94fa9a110857f3e549dc03	[~ 125]
msg_212b11a135a55a1176a3d0a824441120	[~ 126]
msg_4e89c035abd7f36c5817ca1fbdf049c4	[~ 127]
msg_181686972a44b362587dddae1aa4b936	[~ 128]
msg_d07ffc87288c75423b11a5b311f0a13d	[~ 129]
msg_4140b36326607b26ef47b72ee7c95a4c	[~ 130]
msg_1238d134285050b2bc46eb7e91170458	[~ 131]
msg_6189048711d22e032e102f5f96cc9731	[~ 132]
msg_4fd8d26a7d7e6953a5f71cce508bb404	[~ 133]
msg_74c13b30d977cba4b702ecf387b7df3b	[~ 134]
msg_4e1d6b7bbf158d5da56b681b6a3aa03e	[~ 135]
msg_8cc33f889730efa45cfde4d0be92565a	[~ 136]
msg_f711236d16eb82f5f045b9be0cef437a	[~ 137]
msg_6d0c33ac961885a07080b972bb82a5aa	[~ 138]
msg_ddf34ca8ee02daeccb83b3b370fa07e5	[~ 139]
msg_0e976e31c070f19899f4441ac12ca6f6	[~ 140]
msg_bb88a4d09d64133ae2644b48e750f2dd	[~ 141]
msg_c46daa576fd4406469b6a975ecf97c3b	[~ 142]
msg_2142a03976e68c88dcca980c7c7d1d22	[~ 143]
msg_29d08a1245b858f555116fb73cb508b3	[~ 144]
msg_18bfff6f2f7a6fdfc9a4a97b8fa6ada2	[~ 145]
msg_0aee3815f3db95cb719ef8749977564d	[~ 146]
msg_dfb79a7a8cf2277a4a821f109b662b86	[~ 147]
msg_950af518599a5d3761c047d95e768289	[~ 148]
msg_5872a88fd5882b661d3472b8e4e32e0a	[~ 149]
msg_e91b26d3e46a719f1a22253a6dca7bf9	[~ 150]
msg_6491153f631e238a0595f766f771f336	[~ 151]
msg_235cd8ef3267c81e72bbdc1706a4fefd	[~ 152]
msg_62ad7da3349fc70f04522ae0a9044dc3	[~ 153]
msg_2d4dd1a568b9664bcd74cd9db5f93344	[~ 154]
msg_fd761fd8d2f4fa2153446d08da852f3a	[~ 155]
msg_187c754acb09dea6f7f592ddd4c5ea68	[~ 156]
msg_b5ceaaa4f1ea0777a42538a429743805	[~ 157]
msg_d6d84084b24755cf22c31d282279a1d3	[~ 158]
msg_94214cf48987fdace13b147cc211fc5b	[~ 159]
msg_e80b7bc138ee9c6241313946482211fc	[~ 160]
msg_411c614393aa55f47450f3d7cae15785	[~ 161]
msg_996ca5fad23f79cf032fda52cfb82b06	[~ 162]
msg_e5b0a854d0fb6091a21156d526e9a198	[~ 163]
msg_14144f1bbf9d60864c2d5d21ef4fa9bc	[~ 164]
msg_35a078dcbba54f83aa4fe0cb3c5eb029	[~ 165]
msg_2f639550170826176fde13d15423fed4	[~ 166]
msg_6a7a548fda1964753c9855fc0e1afa69	[~ 167]
msg_f68060dce9b92d51065bb0a243947030	[~ 168]
msg_6b1580aa236e588509a285429a3ba184	[~ 169]
msg_01e454818f4671ae20b7391bf648a3e8	[~ 170]
msg_f10db9b316473c8bbbc4af6f83e8b695	[~ 171]
msg_38e1447ea3f385a703716117422d8dd1	[~ 172]
msg_4fbbb55c14b73b6251dff62552442947	[~ 173]
msg_9825962f96bf534f762fa23179d02618	[~ 174]
msg_2a06d551285d173e04bd1d01104c7bd2	[~ 175]
msg_6b66695be75348ef38f0436173dcf390	[~ 176]
msg_6a7e2a9a340f9dc90c54f36d325480fd	[~ 177]
msg_4733317d9e783afe6f9075194728a32d	[~ 178]
msg_704a8838aaa5fd418aeafffd38c34341	[~ 179]
msg_9e9c93a1f4832b9ebfcb9a49a44759e1	[~ 180]
msg_55ab372ff4691fd9a60d69292c97e6ca	[~ 181]
msg_0100030cda5449a08ffb9a43d31bf64c	[~ 182]
msg_e8f567dec52f5351443a8c8797ddf86d	[~ 183]
msg_decce92f73fa4ebf4a2b3aa200196af3	[~ 184]
msg_68952c5a321d6db0d4177bce70efcc22	[~ 185]
msg_c57dd95e065f8a4f276266c3df24fb45	[~ 186]
msg_98e7edc6bed56c4067e083cb65ed9426	[~ 187]
msg_d44cbe77fc9ff77ab1e25abd410371cb	[~ 188]
msg_5b7bb555316642aff97db68921b45b6e	[~ 189]
msg_3d7f78420e26064e766d8728723f16bf	[~ 190]
msg_c226ffbdb51bac0df869eca5aef17ea2	[~ 191]
msg_b9e3abad15c9e1f761b82b607aabf3a6	[~ 192]
msg_d9c6a59e3d0e9045481f102dffd54efa	[~ 193]
msg_c113e4d21c31dce37a8c9051f5f3eb1e	[~ 194]
msg_20c85ac8fe8b9f870430ad73537e238b	[~ 195]
msg_d2c9024789fdb10cabc6a22462fb14b6	[~ 196]
msg_1c39567a63e6c3cc740a31346c468818	[~ 197]
msg_4c41dbd0c3b83e2eca98f8c16e00e2c1	[~ 198]
msg_4f624606d1c77e297ec7575ad045575d	[~ 199]
msg_e310c4e20208f6357ddc7f65ee54ef64	[~ 200]
msg_7c576b4d2cd67c28f6fcd1240ba60957	[~ 201]
msg_a3825144c4bce02d9b548801f1c92845	[~ 202]
msg_4d538709bf686ee47354139a5e2b9ae8	[~ 203]
msg_ada315ac1506550b9a18eb7979bbf8bf	[~ 204]
msg_040b42e2015b8068f10fa9a99e141a79	[~ 205]
msg_eefb89f4205f96aa7b293498a0796de0	[~ 206]
msg_6120dbefd7d14a7973ae06e1887a97ce	[~ 207]
msg_82c8d9809cf9705090480355cc9d4961	[~ 208]
msg_43b4fa7c4f49062e5db03f9bfa97292b	[~ 209]
msg_c224ac8091b08a6645f69eb70b9c2e79	[~ 210]
msg_e1683e50b87d55cde50224334cca9352	[~ 211]
msg_c5303cc9bc0821fd8c8f1f8cb310122a	[~ 212]
msg_20b2396bb7ca40060124bc90e8335842	[~ 213]
msg_c8c191f7933c8b65e3a0437eb58bbf35	[~ 214]
msg_7a5d2ada6bf3f3c9a7bca0e532330c5f	[~ 215]
msg_a58b4dd7f5be22f47bbb6fe68f2e9289	[~ 216]
msg_6652f52757f3f627310691040556d96d	[~ 217]
msg_f035c97d3a81016c12bcb29ca969fb29	[~ 218]
msg_b4bf0fedfe92a66f71c14ca6a6c83894	[~ 219]
msg_003761f4ac8f98c5e7c4d02b6cf810b7	[~ 220]
msg_6c83da33de885f3224645cb8751da2a9	[~ 221]
msg_6a362c39d061d30a6ae134e2f88a2d0b	[~ 222]
msg_c1eed7cd7307d2ff8722cc8ef74ec2d0	[~ 223]
msg_f76399c4883c613c431330c26a7de7b0	[~ 224]
msg_b3485ad6d581b4398e37369a739f7b6a	[~ 225]
msg_d6dbb9acb81cc69085f7ebf5586d18dc	[~ 226]
msg_0f5a882a26c155c2e097d9273195f606	[~ 227]
msg_3b0f0a715e6c2fae9bb4bf097b78c006	[~ 228]
msg_4163743356c93a1ae502b8e1e5273f2d	[~ 229]
msg_77c63adf6b3457c3678059953a2202b2	[~ 230]
msg_26ec0cb6cdf5097ff0f8d66a92b34f23	[~ 231]
msg_9c61da9e4d5af9085aba1b1519457310	[~ 232]
msg_32147875f8c1704c999fe20e7d03db71	[~ 233]
msg_97f7bfe510f57c4a2db8c246bb353788	[~ 234]
msg_0544ef4ab9400f1a8fea4063add828e8	[~ 235]
msg_4522893493d292858ffd7f6a6ad07914	[~ 236]
msg_ca45a29db8ae67a1914d1f7b7fa8bafb	[~ 237]
msg_a4ede6499a7379cef276ee4f39030a5d	[~ 238]
msg_837c711b5b76ebe3c692ba922b6ed748	[~ 239]
msg_87a58cc1a0737f5bfad8b0cef7e01b0d	[~ 240]
msg_08789801d85872e28754758abfc81474	[~ 241]
msg_fee12bd6471aab1ead551285ce25ae04	[~ 242]
msg_1224f7d399a46b7bc0431a384d5a2412	[~ 243]
msg_824b33592b8559ba2e26c05060baf320	[~ 244]
msg_a1415289bd7045c5c9d8b15abf404258	[~ 245]
msg_22f77b6709a31344cffebf34b92e1920	[~ 246]
msg_508dd8adc685739d1333b2505ca40822	[~ 247]
msg_c77a80f904cfe80c520c35411c786c2f	[~ 248]
msg_6de8531cb012dde66b30766036ee5085	[~ 249]
msg_c16ae247015a4e44a5321a88e6ff7d59	[~ 250]
msg_29b1d441a49b3b8d1ec893dad7de8116	[~ 251]
msg_5200dd6234ea63b60ce7638426bada74	[~ 252]
msg_71e3aa49dc528559df09e5991c96ff0f	[~ 253]
msg_5c4d3fef6719083fdc73d004d0c6c5c4	[~ 254]
msg_e0affea012f09c27f3bd38eaa6ab2183	[~ 255]
msg_18c4870faf5ad186975790476490e32d	[~ 256]
msg_5ee9312ffab5b0e963e1d491d6daa00d	[~ 257]
msg_4dd2f7b756602d6172335a8c0e41e556	[~ 258]
msg_d57db0fd800c36489b60837abfde4c76	[~ 259]
msg_f41bfee040c338d12c3afb2bfb309cb7	[~ 260]
msg_bdd7dab0e1351188dbc3942b62dfc637	[~ 261]
msg_1a3e9ff0d5908306bd6b6441ba966719	[~ 262]
msg_b08c66defef2c0797a602d49e076d951	[~ 263]
msg_7f1229ac0eb1134a4ac703e092d782c4	[~ 264]
msg_88175f15b832070238b4da2be050870e	[~ 265]
msg_0a1e0d00a0d571f5b18b2653a22a620d	[~ 266]
msg_8a34ecce17bb17c3cbb8ea22e501ef61	[~ 267]
msg_1b1b18e6c2f4fd4fbbe7c82a532bf1e0	[~ 268]
msg_0ab8427b72cdade7af84fead19b74460	[~ 269]
msg_3606c13b448c75413d4e4ecbb06ea990	[~ 270]
msg_30af903989eb8783600849cdd25b711d	[~ 271]
msg_0b10cf13f3df5bfc8fc676eb4252ec6d	[~ 272]
msg_32a9b906c750012a9f2f362eb2f5b4ce	[~ 273]
msg_5bcea91b6c2345af28943dfe15706f9f	[~ 274]
msg_8a221e950a92331e2ebd96b06d60e917	[~ 275]
msg_58302b7315e8aab247affef5c04652f2	[~ 276]
msg_e8126f96b42bc8b9a744d56ce1d496e7	[~ 277]
msg_debc0ba593f6ac3bd2f35c7a2d305271	[~ 278]
msg_5787a2fa65bea79dc558d3c5391db690	[~ 279]
msg_4a295b8d3b1ecd54e7b4ae7fc8d2f3a4	[~ 280]
msg_8e3f42dac49d5424ea4b6faa90b97476	[~ 281]
msg_b1ff25439b9c2bb46379d6463d6e3dd2	[~ 282]
msg_bdd67859c8f3a1c9bb2c6d723bbf96ed	[~ 283]
msg_1bdb2cf5d08b972e1bfafe1d9776cafe	[~ 284]
msg_d20234f6e824e83ed5e82779d927c9ac	[~ 285]
msg_4ece625cd9221fbf1831b19c5df258c8	[~ 286]
msg_a9f3b3989757c0fe868b4c0572a60684	[~ 287]
msg_80c13cfb2a1d769270c8b68f3f219456	[~ 288]
msg_24b305c9bd4bfa5cf56f74f451c1e676	[~ 289]
msg_4dba8a0e93e5a03adf98ec184a839149	[~ 290]
msg_206f3553d3e53561186d2bc355119ea3	[~ 291]
msg_341df07d8e6791084ba54c573be0b4fc	[~ 292]
msg_5cf605122783c9250a0a4b74d799752d	[~ 293]
msg_585c231f8d9967bca3c6fcc74e974200	[~ 294]
msg_516abb842e1086e09613138313dd3942	[~ 295]
msg_3c9322b23df506a894efab81f4aceb12	[~ 296]
msg_3f68e24c36399be8f3b0a886248ab816	[~ 297]
msg_9b90b43b7e4e4a54a7b2411af46289a1	[~ 298]
msg_64767988e1daa186aeeea7108fe177d5	[~ 299]
msg_14ca90b691f8096192ee573e39f116bf	[~ 300]
msg_df0bd7c26cc02175ca79bdce75cb88b7	[~ 301]
msg_6c5c1595fad3635b84986043a014bb95	[~ 302]
msg_38dd3dfe1287f5c6103c1dece098aaf8	[~ 303]
msg_c574ac0b87b607567c83f92d62349d5a	[~ 304]
msg_6f3df49d1788c1733029d56a85a83a63	[~ 305]
msg_109de4a3df40f464e14e8f1517a90cfa	[~ 306]
msg_99d52684680f1e85588b0e68a5ee2469	[~ 307]
msg_26c51738c592f516f2044c6faf5f87ff	[~ 308]
msg_34429a213a7a3095d753bbb527d4c53f	[~ 309]
msg_d3caee122124dfb6b80070e099eec65a	[~ 310]
msg_01344255435ad9dcf28b0e882dff01c9	[~ 311]
msg_8bf5ec1d5acac2165e31233020f28177	[~ 312]
msg_da3bcec2b433896975ddc1dd32ade603	[~ 313]
msg_21a64ed8ccf66f7045a1daa646f50b4b	[~ 314]
msg_758b395a7e924956153ad191ab55cd0e	[~ 315]
msg_6b8daa874dbe68963043b387507fc68a	[~ 316]
msg_2d4382b195f043f823ec637628b0a8c2	[~ 317]
msg_06f1930cf0e00a962013185229b58899	[~ 318]
msg_6371b1c297fbc8d76fd2d2cf693dde3f	[~ 319]
msg_8e71363fee39741140f9ac732ac9b90f	[~ 320]
msg_ed5e79c9ff88f631f60183f7b0f662cb	[~ 321]
msg_a6e8afb5da21dc3e8e2df37385790de5	[~ 322]
msg_aa85b633fef3dfb863e6c3a07acf7b09	[~ 323]
msg_80a272128a7f2f2205750ba7619e5db9	[~ 324]
msg_14004255b03007e62b8762e4284422c2	[~ 325]
msg_0a68221d98fc68111985628021ca01c3	[~ 326]
msg_63525734776cf19bfb9a0b143c940cc0	[~ 327]
msg_e75b1eb287436fd0508e40f858392ae8	[~ 328]
msg_f8d21ac498bb8fc74554c6b238f63abc	[~ 329]
msg_68f5c114cf26630b874203fbf64d04f7	[~ 330]
msg_6df07185a2838f46a8b95dfded1036e6	[~ 331]
msg_e97bb59e3cf6be9eb3c8d2a8fba05009	[~ 332]
msg_19fa6c0fcbb10be3914e94a2594feedd	[~ 333]
msg_8c6f5d83d9800e5f27d4248de665701f	[~ 334]
msg_eaeb2b5480e281fc17f57e9912c6f42e	[~ 335]
msg_1b17346c62f60427ed98612ca3e0daf3	[~ 336]
msg_124414ae6d6ed2a986c0946c519e083a	[~ 337]
msg_bab308095f062755827bd97e223619f0	[~ 338]
msg_668ace24ca0435acfc12e408da417032	[~ 339]
msg_510cde9af252b47317c04e812363993a	[~ 340]
msg_bc091a580d9ab06eea45ac38f1ac6dae	[~ 341]
msg_e666d710a6432ccd54dae1b6c01acd91	[~ 342]
msg_d5763987fc466a7f0a08065d0441d390	[~ 343]
msg_070892ae3b49ae9c312918c79cccef2e	[~ 344]
msg_4a163a98de9b606a3b7b33810dfc7b30	[~ 345]
msg_b4ec67d774e89248ac342d4d9e3a087b	[~ 346]
msg_c57d7556fd19bddf1813b9db50f0664b	[~ 347]
msg_ad18b35a207b185455ca0ce9c3368b6e	[~ 348]
msg_fd49731abf1bbc59db7fc2144340bbe9	[~ 349]
msg_0e9326c5e04c4f246f3b155fc59a2268	[~ 350]
msg_03d46de7a00ac4dac45161d605a049b5	[~ 351]
msg_76d40bee72c239caa8f64ff12398cc8b	[~ 352]
msg_70c4451b93c6a0a3b37ba46173ea0463	[~ 353]
msg_3b26b525ee5c06dc0ed68dbb05c7e526	[~ 354]
msg_0fd6ce3ebe3219fa5508fec92296f0ab	[~ 355]
msg_e9bf7061442c7ff70bc85327a9efc6ba	[~ 356]
msg_b9bd853535f35e76ce34161539a9e31f	[~ 357]
msg_60a3f95939d88661527b15289f3c5558	[~ 358]
msg_cb1074404b38a4068e261479febfd1dd	[~ 359]
msg_d00d68c6a023c2abecd1664338626202	[~ 360]
msg_8c085d73607c81caabfe88e6d141763e	[~ 361]
msg_7848fef5f9f7f564a5a8a52ed8d593a0	[~ 362]
msg_6c52edb0d31f891d144aa2d0d5418648	[~ 363]
msg_e6906b87f120df41779ee874141eb147	[~ 364]
msg_f0c61c88c450c4d7139973fc35b14cc4	[~ 365]
msg_f582a8b652c3efcb7f11a34daad051f4	[~ 366]
msg_0d23ebec89c933da2b6a0ffd9a76dddc	[~ 367]
msg_a6d5c372a4c7bf313a65565c881c5dde	[~ 368]
msg_b818110757b8969a294ad0151230774e	[~ 369]
msg_7e17a786141199e13c6bab174bebb97b	[~ 370]
msg_e8436e4aa0309189ee303df4c19581b2	[~ 371]
msg_48a8630d38ee49e0037e21d56881bb0f	[~ 372]
msg_82605f29a43476b98bd38100319616c1	[~ 373]
msg_1680e8dfba4084e1d12a2562ae1b5e28	[~ 374]
msg_d8acc5131c124f8c98780d05af86a508	[~ 375]
msg_36210f05f5a24b29a00dd38e89fc9f28	[~ 376]
msg_8e58b860ed1a2eb1cfaea42243443f47	[~ 377]
msg_e541348b137e18a79603ae77e3159074	[~ 378]
msg_44fe2f43787cff370525892682578b6a	[~ 379]
msg_2c1b90387f6f8feb5551700784c05ea2	[~ 380]
msg_d4119bb774e95c050d47626706b64275	[~ 381]
msg_bed086af5fa7c9f59134b3265b2947e9	[~ 382]
msg_1a69b880ccf3ca46aada5f2547226e28	[~ 383]
msg_d7b32b6ad6a48ae96452521485d810c8	[~ 384]
msg_ea0cc01a76b34046bbf152886478b78e	[~ 385]
msg_ea0488b7c2967e316dbea762c68838d5	[~ 386]
byebye.txt
msg_byebye_talk_01	在月台旁停靠着\n开往机场的列车。\r\n要离开密阿雷市吗？
msg_byebye_select_01	留在密阿雷
msg_byebye_select_02	和密阿雷说拜拜
msg_byebye_talk_02	一旦乘上列车，\n就会与[VAR 018B(0001)]他们告别。\r\n确定要乘上列车吗？
msg_byebye_select_03	留在密阿雷
msg_byebye_select_04	和密阿雷说拜拜
msg_byebye_talk_03	如果在密阿雷市还有事情要做，\n在做完之前不应该离开这里。\r\n确定要乘上列车吗？
msg_byebye_select_05	留在密阿雷
msg_byebye_select_06	和密阿雷说拜拜
msg_byebye_talk_04	[VAR 0100(0000)]乘上了\n开往机场的列车！
msg_byebye_talk_06	拜拜，密阿雷市。
msg_byebye_talk_05	似乎不知不觉地\n在长椅上打瞌睡了……
cafe.txt
msg_waitress_01	您要喝点什么？
msg_waitress_select_01	咖啡饮品
msg_waitress_select_02	茶类饮品
msg_waitress_select_03	其他饮品
msg_waitress_select_04	还是算了
msg_waitress_02	期待您再次光临。
msg_waitress_07	价格是[VAR 0206(0000,0000)]，\n您要点一杯吗？
msg_waitress_08	您要喝点什么？
msg_waitress_03	非常抱歉，\n您的钱好像不够。
msg_waitress_04	是[VAR 01CF(0000)]对吧？\n请坐下稍等片刻。
msg_waitress_05	您点的[VAR 01CF(0000)]。
msg_waitress_06	要从咖啡馆出去吗？
msg_cafe_cmn_yes	是
msg_cafe_cmn_no	否
msg_d5cce031fbd0207d2d6bfa1f365331c9	[~ 14]
