Adventure.txt
MID_ADV_アドベンチャー外へ出る	Go outside?
MID_NFP_エラー_不明タグ	This is not an amiibo. Please make\nsure you are using an amiibo.
MID_NFP_エラー_タグ初期化	The amiibo data is corrupted. You can restore\nthe data if you have a Nintendo device that\nhas accessed this amiibo before. If not, please\nreset the amiibo via HOME Menu Settings →\namiibo Settings.
MID_NFP_エラー_未対応バージョン	This amiibo is not supported.\nPlease remove it from the NFC area.
MID_NFP_エラー_タグ違い	This is not the specified amiibo.
MID_NFP_エラー_書込失敗	An error has occurred while writing.\nThe amiibo data may have been corrupted.\nPlease attempt the read process once more.
MID_NFP_エラー_作成中_タグ破損	An error has occurred while creating.\nThe amiibo data may have been\ncorrupted. Restore data?
MID_NFP_エラー_タグ未破損	There was no need to restore the\namiibo data, as it was not corrupt.
MID_NFP_エラー_復旧不能	Failed to access backup data.\nThis amiibo cannot be restored.
MID_NFP_エラー作成済み	Data for Fire Emblem Echoes:\nShadows of Valentia has already\nbeen created.
MID_amiibo_NFCR&W_更新が必要	You must update the NFC reader/writer.\nIt can be updated by opening amiibo\nSettings via the HOME Menu Settings.
MID_NFP_エラー_復旧中_書き込みエラー	An error has occured while restoring.\nThe amiibo data may not have been\nrestored properly.
MID_NFP_エラー_汎用失敗	Process failed. Please try again.
MID_NFP_エラー_対象外	The amiibo you have set cannot\nbe scanned. Please remove it\nfrom Mila's Turnwheel.
MID_NFP_エラー_対象外_CTR	The amiibo you have set cannot\nbe scanned. Please remove it\nfrom the NFC area.
MID_NFP_エラー_セリカ_書き込めない	Celica's amiibo cannot be written to\nat this time. To write to this amiibo,\nplease advance the story.
MID_NFP_書き込み確認	$aWrite $a0's stats to the amiibo?
MID_NFP_復旧確認	This amiibo data is corrupted.\nRestore data?
MID_NFP_作成確認	This amiibo contains no data for\nFire Emblem Echoes	Shadows of\nValentia. Create data?
MID_NFP_削除確認	This amiibo cannot be written to, as another\ngame's data has been created on it. Erase data?
MID_NFP_登録確認	No owner information has been registered.\nRegister owner?
MID_NFP_データ未設定	Unregistered
MID_NFP_書込成功	Data successfully written.
MID_NFP_復旧成功	Data successfully restored.
MID_NFP_作成成功	Data has been created for\nFire Emblem Echoes:\nShadows of Valentia!
Backup.txt
MID_BACKUP_NOT_FOUND	Unable to access save data.\nPlease turn the power off and try again.
MID_BACKUP_NOT_FORMATTED	The game must be initialized\nbefore you can begin.
MID_BACKUP_VERIFICATION_FAILED	Corrupted save data has been found.\nThe corrupted data will be deleted.
MID_BACKUP_NOT_ENOUGH_SPACE	There is not enough free space\nto create save data.
MID_BACKUP_FORMAT	Initializing...\nPlease do not turn off the power.
MID_BACKUP_VERIFICATION_FAILED_FILE	Deleting corrupted save data...\nPlease do not turn off the power.
MID_BACKUP_FORMAT_COMPLETE	Initialization complete.
MID_BACKUP_EXT_MEDIA_NOT_FOUND	Could not detect an SD Card.
MID_BACKUP_EXT_OPERATION_DENIED	A problem occurred with the\nSD Card. Please turn the power off,\nreinsert the SD Card, and try again.
MID_BACKUP_EXT_VERIFICATION_FAILED	Corrupted save data has been found.\nThe corrupted data will be deleted.
MID_BACKUP_EXT_VERIFICATION_FAILED2	Corrupted save data has been found.\nThis data will be repaired.
MID_BACKUP_EXT_NOT_ENOUGH_SPACE	There is not enough free space\non the SD Card.
MID_BACKUP_EXT_WRITE_PROTECT	Write-protection is enabled on the\nSD Card. Please turn off the power,\nmove the SD Card's write-protection\nswitch to the unlocked position,\nand then try again.
Blacksmith.txt
MID_入店	Welcome!
MID_退店	Many thanks.
MID_SMITH_総合説明	By spending silver and gold marks,\nyou can forge your weapons and\nmake them stronger. Each weapon\nhas its own maximum potential.
MID_SMITH_練成	Forge
MID_H_SMITH_練成	Improve a weapon's capabilities.
MID_SMITH_錬成不可	This can't be forged.
MID_SMITH_名前刻印	Inscribe
MID_H_SMITH_名前刻印	Etch a name on the finished weapon.
MID_SMITH_名前消去	Erase
MID_H_SMITH_名前消去	Remove a weapon's inscription.
MID_SMITH_還元	Trade In
MID_H_SMITH_還元	Trade in items for silver and gold marks.
MID_SMITH_両替	Convert
MID_H_SMITH_両替	Convert between silver and gold marks.
MID_SMITH_両替_枚数	Select the number of marks.
MID_SMITH_両替_確認	$aConvert $a0 to $a1?
MID_SMITH_両替_結果	$aConverted $a0 to $a1.
MID_SMITH_練成_確認	$aForge this weapon?\n$a0 → $a1
MID_SMITH_練成_結果	Forging complete.
MID_SMITH_進化_確認	$aEvolve $a0?
MID_SMITH_進化_結果	$aEvolution complete!\n$a0 → $a1
MID_SMITH_名前刻印_確認	Inscribe a name?
MID_SMITH_名前刻印_不可	You can't inscribe any more names.
MID_SMITH_名前刻印_結果	$aInscription complete:\n"$a0"
MID_SMITH_名前刻印_キャンセル	No inscription was made.
MID_SMITH_名前消去_確認	$aRemove the current inscription,\n"$a0"?
MID_SMITH_名前消去_結果	The inscription has been removed.
MID_SMITH_還元_確認	$aTrade in the $a0?
MID_SMITH_還元_結果_1	$aTraded in the $a0\nfor $a1.
MID_SMITH_還元_結果_2	$aTraded in the $a0\nfor $a1 and $a2.
MID_SMITH_所持	Owner:
MID_SMITH_不明	???????
MID_SMITH_不明_単文字	?
BmapEV.txt
MID_BEV1_アルム	$SbpBGM_EVT_ENEMY2|0|$t0$Wmアルム|0$w0|$Wmルカ|6$w0|$Wsアルム|$Wa$SvpV_BMAP_BEV1_ARUM_00|$E驚,|Who are those women?$k\n$Wsルカ|$Wa$E怒,|$SvpV_BMAP_BEV1_ARUM_01|Those would be witches.$k$p$SvpV_BMAP_BEV1_ARUM_02|They are women who've offered their wills\nand souls to Rigel's patron god, Duma.$k$p$SvpV_BMAP_BEV1_ARUM_03|He gave them command of vast magic,\nbut little else of who they were remains.$k$p$SvpV_BMAP_BEV1_ARUM_04|$E悲,|Their tale is a sad one, but hardly\nunusual in a land so hungry for power.$k\n$Wsアルム|$Wa$E悲,|$SvpV_BMAP_BEV1_ARUM_05|$pThat's terrible...$k$p$SvpV_BMAP_BEV1_ARUM_06|If Rigel occupies Zofia, her people\ncould be subjected to the same fate...$k$p$SvpV_BMAP_BEV1_ARUM_07|$E怒,|I won't let that happen!$k\n$Sbs500|
MID_BEV1_セリカ	$SbpBGM_EVT_ENEMY2|0|$t0$Wmセリカ|0$w0|$Wmセーバー|6$w0|$Wsセリカ|$Wa$SvpV_BMAP_BEV1_CELLICA_00|$E驚,|Who are those women?$k\n$Wsセーバー|$Wa$E怒,|$SvpV_BMAP_BEV1_CELLICA_01|Ugh... Witches.\n$k$Wsセリカ|$Wa$SvpV_BMAP_BEV1_CELLICA_02|$E驚,|$pWhat?$k\n$Wsセーバー|$Wa$E怒,|$SvpV_BMAP_BEV1_CELLICA_03|$pThis whole thing is a bit outta my\nrealm of expertise,$k$p$SvpV_BMAP_BEV1_CELLICA_04|but apparently offering up your soul to\nDuma buys you enormous magic power.$k$p$SvpV_BMAP_BEV1_CELLICA_05|Problem is, you basically turn into a\nliving-husk sort of...thing.$k\n$Wsセリカ|$Wa$SvpV_BMAP_BEV1_CELLICA_06|$E怒,|$pThat's horrific!$k\n$Wsセーバー|$Wa$E悲,|$SvpV_BMAP_BEV1_CELLICA_07|It's also why the empire's so strong. I'm\nsure the Deliverance has its hands full.$k\n$Wsセリカ|$Wa$E悲,|$SvpV_BMAP_BEV1_CELLICA_08|$pAlm...$k\n$Sbs500|
Config.txt
MID_CONFIG_オフ	Off
MID_CONFIG_オン	On
MID_CONFIG_戦闘アニメ	Combat Animations
MID_CONFIG_戦闘アニメ_オフ	Off
MID_CONFIG_戦闘アニメ_オン	On
MID_CONFIG_戦闘アニメ_人間ユニット	Your Units
MID_CONFIG_戦闘アニメ_人間ターン	Your Turn
MID_H_CONFIG_戦闘アニメ_オフ	Do not show any combat animations.
MID_H_CONFIG_戦闘アニメ_オン	Show all combat animations.
MID_H_CONFIG_戦闘アニメ_人間ユニット	Only show animations involving your units.
MID_H_CONFIG_戦闘アニメ_人間ターン	Only show animations during your turn.
MID_CONFIG_補助アニメ	Other Animations
MID_CONFIG_補助アニメ_オフ	Off
MID_CONFIG_補助アニメ_オン	On
MID_CONFIG_補助アニメ_人間ユニット	Your Units
MID_CONFIG_補助アニメ_人間ターン	Your Turn
MID_H_CONFIG_補助アニメ_オフ	Do not show supplementary animations.
MID_H_CONFIG_補助アニメ_オン	Show supplementary animations.
MID_H_CONFIG_補助アニメ_人間ユニット	Only show supplementary animations involving your units.
MID_H_CONFIG_補助アニメ_人間ターン	Only show supplementary animations during your turn.
MID_CONFIG_戦闘予測タイプ	Combat Forecast
MID_CONFIG_戦闘予測タイプ_標準	Standard
MID_CONFIG_戦闘予測タイプ_簡易	Simplified
MID_H_CONFIG_戦闘予測タイプ_標準	Show the standard combat forecast.
MID_H_CONFIG_戦闘予測タイプ_簡易	Show a simplified combat forecast.
MID_CONFIG_ゲームスピード	Game Speed
MID_CONFIG_ゲームスピード_普通	Normal
MID_CONFIG_ゲームスピード_速い	Fast
MID_H_CONFIG_ゲームスピード_普通	Set game flow (movement, etc.) to normal.
MID_H_CONFIG_ゲームスピード_速い	Set game flow (movement, etc.) to fast.
MID_CONFIG_会話自動送り	Auto-Advance
MID_H_CONFIG_会話自動送り_オフ	Conversations require a button press to advance.
MID_H_CONFIG_会話自動送り_オン	Conversations advance automatically.
MID_CONFIG_ＡＩ	Skip Actions
MID_CONFIG_ＡＩ_オフ	Off
MID_CONFIG_ＡＩ_オン	On
MID_H_CONFIG_ＡＩ_オフ	Show actions for units you don't control.
MID_H_CONFIG_ＡＩ_オン	Skip actions for units you don't control.
MID_CONFIG_命令継続	Persistent Tactics
MID_CONFIG_命令継続_オフ	Off
MID_CONFIG_命令継続_オン	On
MID_CONFIG_命令継続_手動	Manual
MID_H_CONFIG_命令継続_オフ	Tactics do not remain in effect across multiple turns.
MID_H_CONFIG_命令継続_オン	Tactics remain in effect across multiple turns.
MID_H_CONFIG_命令継続_手動	Tactics must be confirmed at the start of each turn.
MID_CONFIG_スライドパッド	Circle Pad
MID_CONFIG_スライドパッド_アナログ	Analog
MID_CONFIG_スライドパッド_デジタル	Digital
MID_H_CONFIG_スライドパッド_アナログ	Move the cursor freely and smoothly.
MID_H_CONFIG_スライドパッド_デジタル	Limit the cursor to rigid, precise movement.
MID_CONFIG_オートカーソル	Cursor Memory
MID_CONFIG_オートカーソル_オフ	On
MID_CONFIG_オートカーソル_オン	Off
MID_H_CONFIG_オートカーソル_オフ	Start each turn with the cursor where you left it.
MID_H_CONFIG_オートカーソル_オン	Start each turn with the cursor on your leader.
MID_CONFIG_オートターンエンド	Smart End
MID_CONFIG_オートターンエンド_オフ	Off
MID_CONFIG_オートターンエンド_オン	On
MID_H_CONFIG_オートターンエンド_オフ	Turn does not end until End is selected.
MID_H_CONFIG_オートターンエンド_オン	Turn ends after all your units have taken action.
MID_CONFIG_ＨＰゲージ	HP Gauges
MID_CONFIG_ＨＰゲージ_オフ	Off
MID_CONFIG_ＨＰゲージ_オン	On
MID_H_CONFIG_ＨＰゲージ_オフ	Do not display HP gauges beneath units on the map.
MID_H_CONFIG_ＨＰゲージ_オン	Display HP gauges beneath units on the map.
MID_CONFIG_グリッド	Grid
MID_H_CONFIG_グリッド_オン	Display a grid on the map.
MID_H_CONFIG_グリッド_オフ	Do not display a grid on the map.
MID_CONFIG_カメラ左右回転	Horizontal Camera
MID_CONFIG_カメラ上下回転	Vertical Camera
MID_CONFIG_反転_オフ	Normal
MID_CONFIG_反転_オン	Inverted
MID_H_CONFIG_反転_オフ	The camera will move in the direction pressed.
MID_H_CONFIG_反転_オン	The camera will move opposite the direction pressed.
MID_CONFIG_音量BGM	Music Volume
MID_H_CONFIG_音量BGM	Adjust the volume of music.
MID_CONFIG_音量SE	SFX Volume
MID_H_CONFIG_音量SE	Adjust the volume of non-system sound effects.
MID_CONFIG_音量SysSE	System Volume
MID_H_CONFIG_音量SysSE	Adjust the volume of system sound effects.
MID_CONFIG_音量ボイス	Voice Volume
MID_H_CONFIG_音量ボイス	Adjust the volume of voices.
MID_CONFIG_ボイス再生	Story Voices
MID_H_CONFIG_ボイス再生_オン	Play voices during story scenes.
MID_H_CONFIG_ボイス再生_オフ	Mute voices during story scenes.
MID_CONFIG_スピーカーモード	Speaker Mode
MID_H_CONFIG_スピーカーモード_オン	Optimize sound output for system speakers.
MID_H_CONFIG_スピーカーモード_オフ	Do not optimize sound output for system speakers.
MID_CONFIG_BGM	Change Music
MID_H_CONFIG_BGM	$aSet background music to $a0.
MID_CONFIG_BGM_NAME_OVER	...
Decoration.txt
MID_勲章取得	$aYou got an award!\n$a0
MID_はじめての勝利	Maiden Victory
MID_ソフィアの英雄	Zofia's Champion
MID_聖廟の門番	Shrine Keeper
MID_聖地奪還	Temple Liberator
MID_終戦	Armistice
MID_人類の創世記	Humanity's Genesis
MID_戦術的退却	Strategic Retreat
MID_戦闘技術	Combat Artist
MID_地の利	Terrain Pro
MID_時の歯車	Wheel of Time
MID_騎士勲章	Renowned Knight
MID_将軍勲章	Renowned General
MID_覇王勲章	Renowned Conqueror
MID_アンダーテイカー	Undertaker
MID_トライアングルアタック	Triangle Attacker
MID_戦神の化身	Duma Incarnate
MID_女神の化身	Mila Incarnate
MID_匠の業物	Craftsmanship
MID_アカネイアの神器	Archanea's Regalia
MID_強き絆	Unbreakable Bonds
MID_圧倒的成長！	Meteoric Rise
MID_グルメの流儀	Gourmand
MID_歴戦の勇士	Seasoned Hero
MID_不滅の軍団	Indomitable Army
MID_命の重み	Cherisher of Life
MID_バレンシアの覇王	Valentia's Conqueror
MID_ドラゴンスレイヤー	Dragonslayer
MID_黄金コレクター	Gold Fiend
MID_絶望の拍動	Thrum of Despair
MID_電撃作戦	Blitzkrieg
MID_謎の遺物	Mystery Relics
MID_炎の紋章	Fire Emblem
MID_H_はじめての勝利	Awarded for winning your first battle.
MID_H_ソフィアの英雄	Awarded for liberating Zofia Castle.
MID_H_聖廟の門番	Awarded for defeating the Necrodragon\nat the Seabound Shrine.
MID_H_聖地奪還	Awarded for freeing the Temple of Mila\nfrom the Rigelian Empire.
MID_H_終戦	Awarded for bringing the war with the\nRigelian Empire to an end.
MID_H_人類の創世記	Awarded for ending the age of gods\nand ushering in a new era.
MID_H_戦術的退却	Awarded for perceiving unfavorable\nodds and making a wise retreat.
MID_H_戦闘技術	Awarded for using combat arts to\ngain the advantage in battle.
MID_H_地の利	Awarded for making use of terrain\nto gain the advantage in battle.
MID_H_時の歯車	Awarded for successfully using power\nbeyond the ken of mankind.
MID_H_騎士勲章	Awarded for gaining renown across the\nkingdom of Zofia.
MID_H_将軍勲章	Awarded for gaining renown across the\nentirety of Valentia.
MID_H_覇王勲章	Awarded for gaining renown in not\njust Valentia, but the world over.
MID_H_アンダーテイカー	Awarded for defeating a large number\nof undead creatures.
MID_H_トライアングルアタック	Awarded for using the legendary\nTriangle Attack combat art.
MID_H_戦神の化身	Awarded for learning and using\nAlm's ultimate art.
MID_H_女神の化身	Awarded for learning and using\nCelica's ultimate art.
MID_H_匠の業物	Awarded for improving a weapon's\npower through forging.
MID_H_アカネイアの神器	Awarded for collecting all three of\nArchanea's precious Regalia.
MID_H_強き絆	Awarded for building strong bonds\nbetween many of your comrades.
MID_H_圧倒的成長！	Awarded for achieving uncommon levels\nof growth.
MID_H_グルメの流儀	Awarded for trying a large number of\nfoods.
MID_H_歴戦の勇士	Awarded for attending a large number\nof battles.
MID_H_不滅の軍団	Awarded for surviving an incredible\nnumber of battles.
MID_H_命の重み	Awarded for surviving countless tough\nbattles and learning the value of life.
MID_H_バレンシアの覇王	Awarded for making it through an\nextremely difficult situation.
MID_H_ドラゴンスレイヤー	Awarded for defeating a large number\nof dragon enemies.
MID_H_黄金コレクター	Awarded for collecting a large number\nof gold marks.
MID_H_絶望の拍動	Awarded for containing the menace\nthat tried to bring ruin to the world.
MID_H_電撃作戦	Awarded for bringing an end to the\nwar in remarkably good time.
MID_H_謎の遺物	Awarded for collecting a series of\nrelics from the distant past.
MID_H_炎の紋章	Awarded for becoming one truly fit to\nbe called a ruler.
Dungeon.txt
MID_DNGTT1	$t0$Wmアルム|0$w0|$Wsアルム|$Wa$SvpV_SC_1_11_TT1_00|$E怒,|The enemy could be anywhere.\nWe need to proceed carefully.$k
MID_DNG_メニュー	Menu
MID_DNG_ダッシュ	Dash
MID_DNG_攻撃	Attack
MID_DNG_移動	Move
MID_DNG_一方通行	It can't be opened from this side.
MID_DNG_封鎖扉	The door is locked.
MID_DNG_盾入手確認	Take the shield?
MID_DNG_ヘルプ_飛び降り	Descend
MID_DNG_飛び降り確認	Proceed to the lower level?
MID_DNG_入手	$aItem received	$a0
MID_DNG_所持限界	You can't carry any more.
MID_DNG_見る	Examine Monument
MID_DNG_調べる	Examine
MID_DNG_覗く	Peer into Spring
MID_DNG_開ける	Open Door
MID_DNG_拾う	$aTake $a0
MID_DNG_敵がいる	(There are enemies ahead...)
MID_DNG_敵がいる_確認	Proceed?
MID_DNG_移動_確認	Use the magical transporter?
MID_DNG_脱出_確認	Withdraw from the dungeon?
MID_DNG_テーベの地下迷宮	Thabes Labyrinth
MID_DNG_テーベの地下迷宮_２階	Thabes Labyrinth\nSecond Basement
MID_DNG_テーベの地下迷宮_３階	Thabes Labyrinth\nThird Basement
MID_DNG_テーベの地下迷宮_４階	Thabes Labyrinth\nFourth Basement
MID_DNG_テーベの地下迷宮_５階	Thabes Labyrinth\nFifth Basement
MID_DNG_テーベの地下迷宮_６階	Thabes Labyrinth\nSixth Basement
MID_DNG_テーベの地下迷宮_７階	Thabes Labyrinth\nSeventh Basement
MID_DNG_テーベの地下迷宮_８階	Thabes Labyrinth\nEighth Basement
MID_DNG_テーベの地下迷宮_９階	Thabes Labyrinth\nNinth Basement
MID_DNG_テーベの地下迷宮_１０階	Thabes Labyrinth\nTenth Basement
MID_DNG_森のほこら_看板	"Seekers of treasure	come no\nfurther unless you possess power."
MID_DNG_森のほこら_宝箱トラップ	You hear a noise behind you...
MID_DNG_恐山のほこら_ドーマ像_初回	$ZDo you possess power?\nThen show it to me.$k
MID_DNG_恐山のほこら_ドーマ像_二回目以降	$ZShow me your power.$k
MID_DNG_恐山のほこら_ドーマ像_確認	Test yourself in battle?
MID_DNG_恐山のほこら_ドーマ像_勝利	$ZWell done.$k$pNow, open the gate ahead and seek\nmore power beyond.$k
MID_DNG_恐山のほこら_ドーマ像_撃破済み	$ZOpen the gate ahead and seek\nmore power beyond.$k
MID_DNG_恐山のほこら_看板１	"Show the idol your power to open\n the gates to hell."
MID_DNG_恐山のほこら_看板２	"Left	Gate of the Dead\n Right	Gate of the Living"
MID_DNG_恐山のほこら_看板３	"Left	Silver Shield\n Right	Blessed Shield\n Which do you desire?"
MID_DNG_迷いの森_看板１	"Follow the people to reach\nthe hamlet."
MID_DNG_迷いの森_看板２	"Follow the towers to reach\n the treasure."
MID_DNG_ドーマ神殿_看板１	"The true path lies in the\ndivine symbol."
MID_DNG_ドーマ神殿_看板２	"The Lion's Tail"
MID_DNG_ドーマ神殿_看板３	"Treasure Vault:\nOnly Rigelian royalty\nmay tread within."
MID_DNG_ドーマ神殿_看板４	"Offer now the Earth Mother's\ntwin relics."
MID_DNG_戦神の試練_力不足	You lack the power to venture\nfurther. Turn back.
MID_DNG_戦神の試練_クリア	Well done.$k$pI recognize the power you have\nshown in overcoming these trials.$k
MID_DNG_戦神の試練_看板１	Duma clashed violently with the\nruler of the divine dragons.\n —Valentian Revelations, Chapter 13
MID_DNG_戦神の試練_看板２	The ruler of the divine dragons was\nmerciful, so before Duma departed,\nshe gave him one of her own fangs,\nthe Kingsfang.\n —Valentian Revelations, Chapter 19
MID_DNG_戦神の試練_看板３	Falchion was the name given to the\nblade carved from the Kingsfang.\nIt was a sword of beginnings,\nan incarnation of the ruler herself.\n —Valentian Revelations, Chapter 20
MID_DNG_戦神の試練_看板４	Those who carry the divine dragon's\nblood and bear her mark can draw\nout the Kingsfang's true strength\nand manifest their royal power.\n —Valentian Revelations, Chapter 21
MID_DNG_戦神の試練_看板５	Duma and Mila bequeathed their\ndivine blood to two champions,\nand brought prosperity to their\nrespective nations.\n —Valentian Revelations, Chapter 37
MID_DNG_女神の試練_力不足	You lack the power to venture any\nfurther. Turn back.
MID_DNG_女神の試練_クリア	You have done well in overcoming\nthese trials.$k$pI now recognize your power.$k
MID_DNG_女神の試練_看板１	Brother Duma and sister Mila:\nboth Old Folk, and known as divine\ndragons in the land beyond.\n  —Valentian Revelations, Chapter 2
MID_DNG_女神の試練_看板２	When Duma was exiled by the\ndragons' ruler, Mila followed. At the\nend of their long journey, the two\nalighted here on this continent.\n —Valentian Revelations, Chapter 22
MID_DNG_女神の試練_看板３	Here in our land, Duma sought\npower to surpass all others, whilst\nMila sought peace and love. Their\npaths diverged, never to meet again.\n —Valentian Revelations, Chapter 26
MID_DNG_女神の試練_看板４	A war broke out that sundered land\nand sky; no living thing was safe.\nThe peals of thunder rang like an\nelegy sung by Mila herself.\n —Valentian Revelations, Chapter 29
