Adventure.txt
MID_ADV_アドベンチャー外へ出る	要到外头吗？
MID_お告げ_海のほこら内部_0	$t1$Wmミラ|5$VF隠|$w0|$Wsミラ|$Wa$VNMPID_ミラのしもべ|即使看似过不去，\n也可能会有道路。$k$p愿米拉引导你们。$k
MID_お告げ_森のほこら_0	$t1$Wmミラ|5$VF隠|$w0|$Wsミラ|$Wa$VNMPID_ミラのしもべ|只要打倒夺走人心的人，\n就能解放心灵被夺取并受操纵的人。$k$p愿米拉引导你们。$k
MID_お告げ_竜のほこら_0	$t1$Wmミラ|5$VF隠|$w0|$Wsミラ|$Wa$VNMPID_ミラのしもべ|你行走的路上有接连不断的苦难。$k$p愿米拉引导你们。$k
MID_お告げ_恐山のほこら_0	$t1$Wmミラ|5$VF隠|$w0|$Wsミラ|$Wa$VNMPID_ミラのしもべ|生者之门，乃是贪得无厌之人的路……\n若是不怕死，就去征服它吧。$k$p愿米拉引导你们。$k
MID_お告げ_迷いの森_0	$t1$Wmミラ|5$VF隠|$w0|$Wsミラ|$Wa$VNMPID_ミラのしもべ|你所追求的事物，\n就在东北方。$k$p愿米拉引导你们。$k
Amiibo.txt
MID_amiibo_初回シーケンス_成功	amiibo菜单开放了！
MID_amiibo_召喚開放	阿鲁姆与赛莉卡\n可以使用amiibo召唤了！
MID_amiibo_タッチ促す_アルムかセリカ	请用阿鲁姆或赛莉卡的amiibo\n触碰米拉齿轮。
MID_amiibo_タッチ促す_アルムかセリカ_CTR	请用阿鲁姆或赛莉卡的amiibo\n触碰FC读写器的\nNFC范围。
MID_amiibo_タッチ促す_アルム	请用阿鲁姆的amiibo\n触碰米拉齿轮。
MID_amiibo_タッチ促す_アルム_CTR	请用阿鲁姆的amiibo触碰\nNFC读写器的NFC范围。
MID_amiibo_タッチ促す_セリカ	请用赛莉卡的amiibo\n触碰米拉齿轮。
MID_amiibo_タッチ促す_セリカ_CTR	请用赛莉卡的amiibo触碰\nNFC读写器的NFC范围。
MID_amiibo_タッチ促す_召喚	请用要召唤的amiibo\n触碰米拉齿轮。
MID_amiibo_タッチ促す_召喚_CTR	请用要召唤的amiibo触碰\nNFC读写器的NFC范围。
MID_amiibo_タッチ促す_誰でも	请用amiibo\n触碰米拉齿轮。
MID_amiibo_タッチ促す_誰でも_CTR	请用amiibo触碰\nNFC读写器的NFC范围。
MID_amiibo_NFCRW_接続中	NFC读写器开启电源后，\n请靠近主机。
MID_amiibo_離すな_促す	请不要拿开amiibo。
MID_amiibo_APP領域作成_離すな_促す	正在建立\n“FIRE EMBLEM Echoes\n另一位英雄王”的数据。\n请不要拿开amiibo。
MID_amiibo_キャンセル	动作已取消。
MID_amiibo_削除キャンセル時	即使不将数据写入amiibo，\n也可以召唤amiibo，或游玩\n使用amiibo挑战的特别迷宫。
MID_amiibo_受付中	接收中
MID_amiibo_書込中	写入中
MID_amiibo_復元中	修复中
MID_amiibo_接続中	连接中
MID_amiibo_終了中	结束中
MID_amiibo_作成中	建立中
MID_NFP_エラー_スリープ	主机正在休眠状态。\n请重新再试一次。\n（除错：有机会使用吗？？）
MID_NFP_エラー_WiFiオフ	无线通信功能设为关闭，\n因此无法读取amiibo。\n请开启无线通信功能。
MID_NFP_エラー_タグ未発見	找不到amiibo，\n可能已远离NFC范围。
MID_NFP_エラー_不正処理	发生错误，\n请再试一次。
MID_NFP_エラー_接続キャンセル	与NFC读写器的连接被中断。
MID_NFP_エラー_タイムアウト	无法连接NFC读写器，\n请确认以下内容。\n‧NFC读写器的电源已开启\n‧红外线收发端确实相互对准
MID_NFP_エラー_赤外線故障	主机的红外线功能可能已损毁。\n请重新开机后再试一次。\n如果这则错误信息多次出现，\n请咨询服务中心。
MID_NFP_エラー_NFCR&W故障	NFC读写器可能已损毁。\n请重新开启NFC读写器后，再试一次。\n如果这则错误信息多次出现，\n请咨询服务中心。
MID_NFP_エラー_不明タグ	无法读取amiibo\n以外的数据。\n请确认触碰的物品。
MID_NFP_エラー_タグ初期化	amiibo的数据已损毁。如果是以前游玩过的\n主机，就有可能修复。若要直接使用，\n不修复的话，请从HOME菜单的\namiibo设定中初始化amiibo。
MID_NFP_エラー_未対応バージョン	未对应本款amiibo。\n请将amiibo移出NFC范围。
MID_NFP_エラー_タグ違い	非对应的amiibo。
MID_NFP_エラー_書込失敗	写入时发生错误。\namiibo的数据可能已损毁。\n请再尝试写入一次。
MID_NFP_エラー_作成中_タグ破損	建立时发生错误。\namiibo的数据可能已损毁。\n要修复数据吗？
MID_NFP_エラー_タグ未破損	amiibo的数据没有损毁，\n因此不需要修复。
MID_NFP_エラー_復旧不能	未能读取备份数据。\n无法修复amiibo。
MID_NFP_エラー作成済み	已经建立“FIRE EMBLEM Echoes\n另一位英雄王”的\n数据了。
MID_amiibo_NFCR&W_更新が必要	NFC读写器必须更新。\n可以从HOME菜单的\namiibo设定里进行更新。
MID_NFP_エラー_復旧中_書き込みエラー	修复时发生错误，\n因此amiibo的数据可能\n没有正常修复。
MID_NFP_エラー_汎用失敗	未能处理。\n请再试一次。
MID_NFP_エラー_対象外	触碰的amiibo\n未对应读取。\n请将amiibo移出米拉齿轮。
MID_NFP_エラー_対象外_CTR	触碰的amiibo\n未对应读取。\n请将amiibo移出NFC范围。
MID_NFP_エラー_セリカ_書き込めない	现在无法写入\n赛莉卡的amiibo。\n（随着故事进行，将会开放写入。）
MID_NFP_書き込み確認	$a要覆写$a0的\n强度到amiibo上吗？
MID_NFP_復旧確認	amiibo的数据已损毁。\n要修复数据吗？
MID_NFP_作成確認	amiibo里没有“FIRE EMBLEM Echoes\n另一位英雄王”的数据。\n要建立数据吗？
MID_NFP_削除確認	amiibo里已建立了其他游戏的数据，\n因此无法写入。\n要启动amiibo设定，将amiibo内写入的\n其他游戏数据删除吗？
MID_NFP_登録確認	尚未登录所有者信息。\n要登录吗？
MID_NFP_データ未設定	尚未登录
MID_NFP_書込成功	写入成功！
MID_NFP_復旧成功	修复成功！
MID_NFP_作成成功	已经建立“FIRE EMBLEM Echoes\n另一位英雄王”的数据了！
Backup.txt
MID_BACKUP_NOT_FOUND	存取保存数据失败。\n请关闭电源再重新插入卡片。
MID_BACKUP_NOT_FORMATTED	进行开始游戏的准备。
MID_BACKUP_VERIFICATION_FAILED	检测到毁损的储存资料。\n将删除毁损的储存资料。
MID_BACKUP_NOT_ENOUGH_SPACE	保存数据的剩余容量不足。
MID_BACKUP_FORMAT	正在进行开始游戏的准备。\n请勿关闭电源，\n或取出卡片。
MID_BACKUP_VERIFICATION_FAILED_FILE	正在删除保存数据。\n请勿关闭电源，\n或取出卡片。
MID_BACKUP_FORMAT_COMPLETE	开始游戏的准备已结束。
MID_BACKUP_EXT_MEDIA_NOT_FOUND	无法识别ＳＤ卡。
MID_BACKUP_EXT_OPERATION_DENIED	ＳＤ卡处理失败。\n请关闭电源再重新插入ＳＤ卡。
MID_BACKUP_EXT_VERIFICATION_FAILED	检测到毁损的储存资料。\n将删除毁损的储存资料。
MID_BACKUP_EXT_VERIFICATION_FAILED2	检测到毁损的储存资料。\n将重建毁损的储存资料。
MID_BACKUP_EXT_NOT_ENOUGH_SPACE	ＳＤ卡剩余容量不足。
MID_BACKUP_EXT_WRITE_PROTECT	ＳＤ卡已开启写保护。\n请先关闭电源\n及ＳＤ卡的写保护开关，\n再重新插入ＳＤ卡。
Blacksmith.txt
MID_入店	欢迎光临！
MID_退店	多谢惠顾。
MID_SMITH_総合説明	在“炼成”中支付银币或金币，\n就可以强化武器。\n强化的上限会\n根据武器而有所不同。
MID_SMITH_練成	炼成
MID_H_SMITH_練成	强化武器
MID_SMITH_錬成不可	无法炼成
MID_SMITH_名前刻印	刻名
MID_H_SMITH_名前刻印	为炼成的武器命名
MID_SMITH_名前消去	除名
MID_H_SMITH_名前消去	消除武器的命名
MID_SMITH_還元	换钱
MID_H_SMITH_還元	用武器等道具换钱，换成银币或金币
MID_SMITH_両替	兑换
MID_H_SMITH_両替	互相兑换银币和金币
MID_SMITH_両替_枚数	请决定枚数
MID_SMITH_両替_確認	$a要把$a0\n兑换成$a1吗？
MID_SMITH_両替_結果	$a把$a0\n兑换成$a1了
MID_SMITH_練成_確認	$a要把$a0\n炼成$a1吗？
MID_SMITH_練成_結果	$a把$a0\n炼成$a1了
MID_SMITH_進化_確認	$a要进化$a0吗？
MID_SMITH_進化_結果	$a$a0进化成\n$a1了！
MID_SMITH_名前刻印_確認	要刻印名字吗？
MID_SMITH_名前刻印_不可	不能再刻印名字了
MID_SMITH_名前刻印_結果	$a刻印为$a0了
MID_SMITH_名前刻印_キャンセル	已取消刻印
MID_SMITH_名前消去_確認	$a要消除$a0的名字吗？
MID_SMITH_名前消去_結果	已消除
MID_SMITH_還元_確認	$a要用$a0换钱吗？
MID_SMITH_還元_結果_1	$a交出$a0后，\n获得了\n$a1\n
MID_SMITH_還元_結果_2	$a交出$a0后，\n获得了\n$a1<linefeed>和\n$a2\n
MID_SMITH_所持	持有
MID_SMITH_不明	？？？？？？？
MID_SMITH_不明_単文字	？
BmapEV.txt
MID_BEV1_アルム	$SbpBGM_EVT_ENEMY2|0|$t0$Wmアルム|0$w0|$Wmルカ|6$w0|$Wsアルム|$Wa$SvpV_BMAP_BEV1_ARUM_00|$E驚,|那些女人是……？$k\n$Wsルカ|$Wa$E怒,|$SvpV_BMAP_BEV1_ARUM_01|那些人\n被称为魔女。$k$p$SvpV_BMAP_BEV1_ARUM_02|她们将灵魂献给利盖尔帝国的\n始祖多玛神――$k$p$SvpV_BMAP_BEV1_ARUM_03|以此换取强大魔力，\n是丧失了自我的战争工具……$k$p$SvpV_BMAP_BEV1_ARUM_04|$E悲,|虽然可悲，\n但这在利盖尔帝国很常见。$k\n$Wsアルム|$Wa$E悲,|$SvpV_BMAP_BEV1_ARUM_05|$p…………！\n竟然有这种事……$k$p$SvpV_BMAP_BEV1_ARUM_06|万一被利盖尔占领，\n索菲亚的人民也会受到那样的对待吗？$k$p$SvpV_BMAP_BEV1_ARUM_07|$E怒,|我绝对不会让那种事发生！！$k\n$Sbs500|
MID_BEV1_セリカ	$SbpBGM_EVT_ENEMY2|0|$t0$Wmセリカ|0$w0|$Wmセーバー|6$w0|$Wsセリカ|$Wa$SvpV_BMAP_BEV1_CELLICA_00|$E驚,|那些女性是……$k\n$Wsセーバー|$Wa$E怒,|$SvpV_BMAP_BEV1_CELLICA_01|哦……\n那是魔女吧。$k\n$Wsセリカ|$Wa$SvpV_BMAP_BEV1_CELLICA_02|$E驚,|$p魔女？$k\n$Wsセーバー|$Wa$E怒,|$SvpV_BMAP_BEV1_CELLICA_03|我也不是很清楚，不过……$k$p$SvpV_BMAP_BEV1_CELLICA_04|听说只要把灵魂作为祭品献给多玛神，\n就能得到强大的魔力。$k$p$SvpV_BMAP_BEV1_CELLICA_05|只是，被献出灵魂的人，\n会变成失去自我的空壳。$k\n$Wsセリカ|$Wa$SvpV_BMAP_BEV1_CELLICA_06|$E怒,|$p怎么会……！\n竟有这么可怕的事……$k\n$Wsセーバー|$Wa$E悲,|$SvpV_BMAP_BEV1_CELLICA_07|所以利盖尔帝国才会如此强大。\n解放军想必也抗争得很辛苦吧。$k\n$Wsセリカ|$Wa$E悲,|$SvpV_BMAP_BEV1_CELLICA_08|……阿鲁姆……$k\n$Sbs500|
Config.txt
MID_CONFIG_オフ	关闭
MID_CONFIG_オン	开启
MID_CONFIG_戦闘アニメ	战斗动画
MID_CONFIG_戦闘アニメ_オフ	关闭
MID_CONFIG_戦闘アニメ_オン	开启
MID_CONFIG_戦闘アニメ_人間ユニット	我方单位
MID_CONFIG_戦闘アニメ_人間ターン	我方回合
MID_H_CONFIG_戦闘アニメ_オフ	不显示战斗动画
MID_H_CONFIG_戦闘アニメ_オン	显示战斗动画
MID_H_CONFIG_戦闘アニメ_人間ユニット	只在我军参战时显示战斗动画
MID_H_CONFIG_戦闘アニメ_人間ターン	只在我军回合时显示战斗动画
MID_CONFIG_補助アニメ	辅助动画
MID_CONFIG_補助アニメ_オフ	关闭
MID_CONFIG_補助アニメ_オン	开启
MID_CONFIG_補助アニメ_人間ユニット	我方单位
MID_CONFIG_補助アニメ_人間ターン	我方回合
MID_H_CONFIG_補助アニメ_オフ	不显示辅助动画
MID_H_CONFIG_補助アニメ_オン	显示辅助动画
MID_H_CONFIG_補助アニメ_人間ユニット	只在我军参战时显示辅助动画
MID_H_CONFIG_補助アニメ_人間ターン	只在我军回合时显示辅助动画
MID_CONFIG_戦闘予測タイプ	战斗预测类型
MID_CONFIG_戦闘予測タイプ_標準	标准
MID_CONFIG_戦闘予測タイプ_簡易	简易
MID_H_CONFIG_戦闘予測タイプ_標準	显示标准型战斗预测
MID_H_CONFIG_戦闘予測タイプ_簡易	显示简易型战斗预测
MID_CONFIG_ゲームスピード	游戏速度
MID_CONFIG_ゲームスピード_普通	普通
MID_CONFIG_ゲームスピード_速い	快速
MID_H_CONFIG_ゲームスピード_普通	游戏中的移动等速度采用普通速度
MID_H_CONFIG_ゲームスピード_速い	游戏中的移动等速度采用快速速度
MID_CONFIG_会話自動送り	对话自动进行
MID_H_CONFIG_会話自動送り_オフ	按下按钮切换到下一句对话
MID_H_CONFIG_会話自動送り_オン	自动切换到下一句对话
MID_CONFIG_ＡＩ	跳过ＡＩ
MID_CONFIG_ＡＩ_オフ	关闭
MID_CONFIG_ＡＩ_オン	开启
MID_H_CONFIG_ＡＩ_オフ	敌军与友军在号令中的行动全部显示
MID_H_CONFIG_ＡＩ_オン	敌军与友军在号令中的行动全部不显示
MID_CONFIG_命令継続	重复号令
MID_CONFIG_命令継続_オフ	关闭
MID_CONFIG_命令継続_オン	开启
MID_CONFIG_命令継続_手動	手动
MID_H_CONFIG_命令継続_オフ	我军回合开始时不重复号令
MID_H_CONFIG_命令継続_オン	我军回合开始时重复号令
MID_H_CONFIG_命令継続_手動	我军回合开始时再次确认号令
MID_CONFIG_スライドパッド	滑控钮
MID_CONFIG_スライドパッド_アナログ	模拟
MID_CONFIG_スライドパッド_デジタル	数字
MID_H_CONFIG_スライドパッド_アナログ	呈现操作滑控钮时特有的流畅动作
MID_H_CONFIG_スライドパッド_デジタル	呈现操作十字键时带些角度的动作
MID_CONFIG_オートカーソル	自动光标
MID_CONFIG_オートカーソル_オフ	关闭
MID_CONFIG_オートカーソル_オン	开启
MID_H_CONFIG_オートカーソル_オフ	回合开始时，光标保持在前一回合结束时的地方
MID_H_CONFIG_オートカーソル_オン	回合开始时，光标自动选择主角
MID_CONFIG_オートターンエンド	自动结束回合
MID_CONFIG_オートターンエンド_オフ	关闭
MID_CONFIG_オートターンエンド_オン	开启
MID_H_CONFIG_オートターンエンド_オフ	在选择“结束”指令前，不会结束我军回合
MID_H_CONFIG_オートターンエンド_オン	在全员行动后，自动结束该回合
MID_CONFIG_ＨＰゲージ	ＨＰ条
MID_CONFIG_ＨＰゲージ_オフ	关闭
MID_CONFIG_ＨＰゲージ_オン	开启
MID_H_CONFIG_ＨＰゲージ_オフ	不显示ＨＰ条
MID_H_CONFIG_ＨＰゲージ_オン	显示ＨＰ条
MID_CONFIG_グリッド	方格
MID_H_CONFIG_グリッド_オン	在地图上显示方格
MID_H_CONFIG_グリッド_オフ	在地图上不显示方格
MID_CONFIG_カメラ左右回転	视角的左右旋转
MID_CONFIG_カメラ上下回転	视角的上下旋转
MID_CONFIG_反転_オフ	标准
MID_CONFIG_反転_オン	反转
MID_H_CONFIG_反転_オフ	照相机旋转方向与按下的方向相同
MID_H_CONFIG_反転_オン	照相机旋转方向与按下的方向相反
MID_CONFIG_音量BGM	背景音乐音量
MID_H_CONFIG_音量BGM	调节背景音乐音量
MID_CONFIG_音量SE	音效音量
MID_H_CONFIG_音量SE	调节系统音效以外的音效音量
MID_CONFIG_音量SysSE	系统音效音量
MID_H_CONFIG_音量SysSE	调节系统音效音量
MID_CONFIG_音量ボイス	语音音量
MID_H_CONFIG_音量ボイス	调节语音音量
MID_CONFIG_ボイス再生	对话剧情语音
MID_H_CONFIG_ボイス再生_オン	播放对话剧情中的语音
MID_H_CONFIG_ボイス再生_オフ	不播放对话剧情中的语音
MID_CONFIG_スピーカーモード	扬声器模式
MID_H_CONFIG_スピーカーモード_オン	配合主机扬声器设置音频输出
MID_H_CONFIG_スピーカーモード_オフ	不配合主机扬声器设置音频输出
MID_CONFIG_BGM	更改背景音乐
MID_H_CONFIG_BGM	$a将地图与战斗的背景音乐更改为“$a0”
MID_CONFIG_BGM_NAME_OVER	……
Decoration.txt
MID_勲章取得	$a获得勋章$a0！
MID_はじめての勝利	【初次胜利】
MID_ソフィアの英雄	【索菲亚的英雄】
MID_聖廟の門番	【圣庙的守卫】
MID_聖地奪還	【夺回圣地】
MID_終戦	【终结战争】
MID_人類の創世記	【人类的创世纪】
MID_戦術的退却	【战略性撤退】
MID_戦闘技術	【战斗技术】
MID_地の利	【地利】
MID_時の歯車	【时间齿轮】
MID_騎士勲章	【骑士勋章】
MID_将軍勲章	【将军勋章】
MID_覇王勲章	【霸王勋章】
MID_アンダーテイカー	【送葬者】
MID_トライアングルアタック	【三角攻阵】
MID_戦神の化身	【战神的化身】
MID_女神の化身	【女神的化身】
MID_匠の業物	【名匠的利刃】
MID_アカネイアの神器	【阿卡奈亚的神器】
MID_強き絆	【深厚情谊】
MID_圧倒的成長！	【压倒性成长！】
MID_グルメの流儀	【美食家的作风】
MID_歴戦の勇士	【身经百战的勇士】
MID_不滅の軍団	【不灭的军团】
MID_命の重み	【生命的沉重】
MID_バレンシアの覇王	【瓦伦西亚的霸王】
MID_ドラゴンスレイヤー	【屠龙者】
MID_黄金コレクター	【黄金收藏家】
MID_絶望の拍動	【绝望的脉动】
MID_電撃作戦	【电击作战】
MID_謎の遺物	【神秘遗物】
MID_炎の紋章	【火焰纹章】
MID_H_はじめての勝利	初次战斗胜利，\n因此获颁这枚勋章
MID_H_ソフィアの英雄	解放了索菲亚城堡，\n为表彰功绩而获颁这枚勋章
MID_H_聖廟の門番	打败了海的祠堂的龙僵尸，\n为表彰功绩而获颁这枚勋章
MID_H_聖地奪還	从利盖尔帝国掌控中解放了米拉神殿，\n为表彰功绩而获颁这枚勋章
MID_H_終戦	终结了与利盖尔帝国的战争，\n为表彰功绩而获颁这枚勋章
MID_H_人類の創世記	终结了神祇的时代，引领世界走向新时代，\n获颁这枚勋章为证
MID_H_戦術的退却	认清自己身处的战场情况，冷静地撤退了，\n因此获颁这枚勋章
MID_H_戦闘技術	熟练地使用战技，促使战况变得有利，\n因此获颁这枚勋章
MID_H_地の利	活用地利，促使战况变得有利，\n因此获颁这枚勋章
MID_H_時の歯車	彻底使用了超越人类智慧的力量，\n为此获颁这枚勋章
MID_H_騎士勲章	在索菲亚王国变得家喻户晓，\n为此获颁这枚勋章
MID_H_将軍勲章	在瓦伦西亚大陆上声名远播，\n因此获颁这枚勋章
MID_H_覇王勲章	超越了大陆的界线，在世界上声名大噪，\n因此获颁这枚勋章
MID_H_アンダーテイカー	打败众多不死族的敌人，\n为表彰此事而获颁这枚勋章
MID_H_トライアングルアタック	使用了传说中的战技三角攻阵，\n为此获颁这枚勋章
MID_H_戦神の化身	学会并使用了阿鲁姆的奥义，\n为此获颁这枚勋章
MID_H_女神の化身	学会并使用了赛莉卡的奥义，\n为此获颁这枚勋章
MID_H_匠の業物	通过炼成而强化武器，\n为此获颁这枚勋章
MID_H_アカネイアの神器	集齐了阿卡奈亚王族的３件神器，\n为表彰伟业而获颁这枚勋章
MID_H_強き絆	和许多伙伴缔结深厚情谊，\n为表彰此事而获颁这枚勋章
MID_H_圧倒的成長！	完成了非常难得的成长，\n获颁这枚勋章作为纪念
MID_H_グルメの流儀	食用了许多食物，\n为表彰此事而获颁这枚勋章
MID_H_歴戦の勇士	进行过许多场战斗，\n因此获颁这枚勋章
MID_H_不滅の軍団	在无数的战斗中存活了下来，\n为表彰此事而获颁这枚勋章
MID_H_命の重み	理解生命的重量，跨越了重重苦难，\n为表彰此事而获颁这枚勋章
MID_H_バレンシアの覇王	克服了极其困难的状况，\n为此获颁这枚勋章
MID_H_ドラゴンスレイヤー	打倒了众多龙族的敌人，\n为表彰此事而获颁这枚勋章
MID_H_黄金コレクター	从为数众多的霸者身上收集了金币，\n为表彰此事而获颁这枚勋章
MID_H_絶望の拍動	封印了会毁灭世界的对手，\n因为此份功绩而获颁这枚勋章
MID_H_電撃作戦	非常快速地终结了战争，\n因为此份功绩而获颁这枚勋章
MID_H_謎の遺物	集齐了自古代流传下来的神秘遗物，\n为表彰功绩而获颁这枚勋章
MID_H_炎の紋章	被认可为名副其实的真正王者，\n因此获颁这枚勋章
Dungeon.txt
MID_DNGTT1	$t0$Wmアルム|0$w0|$Wsアルム|$Wa$SvpV_SC_1_11_TT1_00|$E怒,|不知道敌人躲在哪里……\n慎重地前进吧。$k
MID_DNG_メニュー	菜单
MID_DNG_ダッシュ	冲刺
MID_DNG_攻撃	攻击
MID_DNG_移動	移动
MID_DNG_一方通行	无法从这边打开
MID_DNG_封鎖扉	门紧闭着
MID_DNG_盾入手確認	要拿盾牌吗？
MID_DNG_ヘルプ_飛び降り	下楼
MID_DNG_飛び降り確認	要前往下一楼层吗？
MID_DNG_入手	$a获得$a0
MID_DNG_所持限界	无法持有更多物品
MID_DNG_見る	调查石碑
MID_DNG_調べる	调查
MID_DNG_覗く	窥探圣井
MID_DNG_開ける	开门
MID_DNG_拾う	$a捡起$a0
MID_DNG_敵がいる	（感觉得到敌人的气息……）
MID_DNG_敵がいる_確認	要前进吗？
MID_DNG_移動_確認	有传送的魔法阵，\n要使用吗？
MID_DNG_脱出_確認	将脱离迷宫，\n是否确认？
MID_DNG_テーベの地下迷宮	泰贝地下迷宫
MID_DNG_テーベの地下迷宮_２階	泰贝地下迷宫\n地下２层
MID_DNG_テーベの地下迷宮_３階	泰贝地下迷宫\n地下３层
MID_DNG_テーベの地下迷宮_４階	泰贝地下迷宫\n地下４层
MID_DNG_テーベの地下迷宮_５階	泰贝地下迷宫\n地下５层
MID_DNG_テーベの地下迷宮_６階	泰贝地下迷宫\n地下６层
MID_DNG_テーベの地下迷宮_７階	泰贝地下迷宫\n地下７层
MID_DNG_テーベの地下迷宮_８階	泰贝地下迷宫\n地下８层
MID_DNG_テーベの地下迷宮_９階	泰贝地下迷宫\n地下９层
MID_DNG_テーベの地下迷宮_１０階	泰贝地下迷宫\n地下１０层
MID_DNG_森のほこら_看板	“追求财宝之人啊，\n　汝若无能，便离去吧。”
MID_DNG_森のほこら_宝箱トラップ	身后传来某个声音……
MID_DNG_恐山のほこら_ドーマ像_初回	$Z“汝乃有能者？\n　既是如此，便向吾展示吧。”$k
MID_DNG_恐山のほこら_ドーマ像_二回目以降	$Z“向吾展示力量吧。”$k
MID_DNG_恐山のほこら_ドーマ像_確認	要挑战这场战斗吗？
MID_DNG_恐山のほこら_ドーマ像_勝利	$Z“精彩万分。”$k$p“开启前方之门，\n　追求更强大的力量吧。”$k
MID_DNG_恐山のほこら_ドーマ像_撃破済み	$Z“开启前方之门，\n　追求更强大的力量吧。”$k
MID_DNG_恐山のほこら_看板１	“向神像展示力量时，\n　地狱之门将会开启。”
MID_DNG_恐山のほこら_看板２	“左：死者之门。右：生者之门。”
MID_DNG_恐山のほこら_看板３	“左：银盾。右：圣盾。\n　你想要哪个？”
MID_DNG_迷いの森_看板１	“跟随人，通往村落。”
MID_DNG_迷いの森_看板２	“沿着塔，通往财宝。”
MID_DNG_ドーマ神殿_看板１	“正确的道路上有神的印记。”
MID_DNG_ドーマ神殿_看板２	“狮子的尾巴。”
MID_DNG_ドーマ神殿_看板３	“宝物库\n　除利盖尔王族之外，禁止进入。”
MID_DNG_ドーマ神殿_看板４	“献上大地母神的两项装备吧。”
MID_DNG_戦神の試練_力不足	凭汝等的力量，\n不得继续前进，\n归去吧。
MID_DNG_戦神の試練_クリア	“精彩万分。”$k$p“考验中获得胜利，\n吾认可汝等的力量。”$k
MID_DNG_戦神の試練_看板１	多玛和神龙王\n激烈地争吵。\n――瓦伦西亚默示录　第１３章
MID_DNG_戦神の試練_看板２	慈悲为怀的神龙王，\n让离去的多玛带走了自己的牙。\n――瓦伦西亚默示录　第１９章
MID_DNG_戦神の試練_看板３	法尔西昂是由作为王之牙的\n神龙王的牙齿削成的\n第一把剑，也是王的化身。\n――瓦伦西亚默示录　第２０章
MID_DNG_戦神の試練_看板４	继承神龙之血、拥有印记之人，\n可以引出王之牙的真正力量，\n那就是王之力的具现。\n――瓦伦西亚默示录　第２１章
MID_DNG_戦神の試練_看板５	多玛和米拉赐给两位英雄\n神龙之血，\n让他们去振兴自己的国家。\n――瓦伦西亚默示录　第３７章
MID_DNG_女神の試練_力不足	凭汝等的力量，\n无法再往前进，\n现在就归去吧。
MID_DNG_女神の試練_クリア	“漂亮地通过考验了呢。”$k$p“我认可你的力量。”$k
MID_DNG_女神の試練_看板１	多玛和米拉\n同是古代居民，亦为兄妹。\n是在遥远之地，人称神龙的存在。\n――瓦伦西亚默示录　第２章
