AlbumSave_UI.msbt
AlbumSave_Top_Help	アルバムに保存したい写真を　選んでください
ComWindow053_Info	オンラインのマイページから　写真を取り下げますか？\n\nこの写真を　もう一度　アップロードすると\nりんごメダルの枚数は　リセットされます。\n{color[0800]}りんごメダルをもらった数の　総数は　減りません{color[ffff]}
ComWindow053_Select1	はい
ComWindow053_Select2	いいえ
ComWindow054_Info	{color[0000]}世界中の　友だち{color[ffff]}が　撮った{color[0000]}写真{color[ffff]}や\n{color[0000]}ランキング{color[ffff]}が　確認できるよ！\n{color[0000]}マイページ{color[ffff]}では　色々　設定できるから\n気になったら　確認してみてね。
ComWindow054_Select1	OK
ComWindow055_Info	各{color[0000]}スコア{color[ffff]}の　{color[0000]}ランキング{color[ffff]}が　気になったら\nここに　見に来てね！\n{color[0000]}フレンド{color[ffff]}や　使っている{color[0000]}言語{color[ffff]}で\n絞り込むこともできるよ。
ComWindow055_Select1	OK
ComWindow056_Info	キミの　{color[0000]}プロフィール{color[ffff]}を　設定できるよ。\n世界中の　人に　見てもらいたい\n写真があったら　ここに　{color[0000]}アップロード{color[ffff]}してね！
ComWindow056_Select1	OK
ComWindow057_Info	写真を　アップロードしました。
ComWindow057_Select1	OK
ComWindow058_Info	オンラインのマイページから　写真を　取り下げました。
ComWindow058_Select1	OK
ComWindow059_Info	写真を　アップロードしています。\nしばらく　お待ちください。\n{[0301|00cd]}％
ComWindow060_Info	データを　取得しています。
ComWindow061_Info	通信しています。\nしばらく　お待ちください。
ComWindow064_Info	ネットワークエラーが　発生しました。
ComWindow064_Select1	OK
ComWindow065_Info	残り　保存枚数が　0枚のため\nこれ以上　撮影できません。\nエクストラ撮影を　終了します。
ComWindow065_Select1	OK
ComWindow067_Info	セーブデータの　拡張に　失敗しました。
ComWindow067_Select1	OK
ComWindow068_Info	未発見の　主役・ルートが　写っています。\n写真を　表示しますか？
ComWindow068_Select1	はい
ComWindow068_Select2	いいえ
ComWindow069_Info	博士に　写真を見せずに　終了しますか？
ComWindow069_Select1	はい
ComWindow069_Select2	いいえ
ComWindow070_Info	博士に　見せられる写真が　ありません。\nこのまま　終了します。
ComWindow070_Select1	OK
ComWindow071_Info	{color[0800]}オンラインの　注意事項{color[ffff]}{[0004]}オンラインでは　あなたの　{color[0800]}名前{color[ffff]}や　{color[0800]}コメント{color[ffff]}\n{color[0800]}アップロードした写真{color[ffff]}や　{color[0800]}タイトル{color[ffff]}などの\nコンテンツを　他の人も　見ることができます。\n\n不適切な　内容を　避けて　お楽しみください。{[0004]}違法な　内容　／　個人情報\n他人の権利を　侵害する　内容\n不快な　思いをさせる　内容\nを　含む　コンテンツの　アップロードや{[0004]}他の人に　不快な思いをさせる　行為\n不正行為は　しないでください。{[0004]}コンテンツや　ゲーム中の　行為には\n「{color[0800]}ニンテンドーアカウント利用規約{color[ffff]}」\nが　適用されます。\n違反している場合　コンテンツが　削除されたり\nオンライン接続が　制限されることがあります。{[0004]}不適切な　コンテンツは　通報できます。\n事実と　異なる　通報は　おやめください。\n\n「{color[0800]}ニンテンドーアカウント利用規約{color[ffff]}」に\n従って　お楽しみください。
ComWindow071_Select1	次へ
ComWindow075_Select1	OK
ComWindow076_Info	他の人の　{color[0000]}プロフィール{color[ffff]}が　確認できるよ。\n\nいい写真があったら　{color[0000]}りんごメダル{color[ffff]}を　贈ろう！{[0004]}もし　不快に感じたら　その内容を\n通報ボタンから　{color[0000]}通報{color[ffff]}してね。\n\n{color[0000]}ブロック{color[ffff]}すると　その人の　名前や　コメント\n写真を　非表示にできるよ。
ComWindow076_Select1	次へ
ComWindow076_Select2	OK
ComWindow077_Info	贈った　りんごメダルを　取り下げますか？
ComWindow077_Select1	はい
ComWindow077_Select2	いいえ
ComWindow078_Info	研究室から　オンラインを　選んで\n注意事項を　確認してください。
ComWindow078_Select1	OK
ComWindow080_Info	調査したあとは　{color[0000]}研究室{color[ffff]}の{color[0000]}マイスペース{color[ffff]}にある\n{color[0000]}アルバム{color[ffff]}に保存する　写真を　選べるよ。\n{color[0000]}エクストラ撮影{color[ffff]}では　設定を変更して\nもう一度　撮影できるから　試してみてね。
ComWindow080_Select1	OK
ComWindow081_Info	これ以上　アップロードできません。\nオンラインのマイページから　写真を　取り下げて\n枠を　空けてから　もう一度　お試しください。
ComWindow081_Select1	OK
ComWindow082_Info	表示できるデータがありません。\nランキングの　更新には\n時間が　かかる場合が　あります。
ComWindow082_Select1	OK
ComWindow083_Info	オンラインのマイページに　アップロードしますか？\n\nりんごメダルの枚数は　リセットされます。\n{color[0800]}りんごメダルをもらった数の　総数は　減りません{color[ffff]}
ComWindow083_Select1	はい
ComWindow083_Select2	いいえ
EvaluationPhotoCaption_Info.msbt
EV_Mot_Unknown_01_PCap	？？？
EV_Mot_Unknown_02_PCap	？？？
EV_Mot_Unknown_03_PCap	？？？
EV_Mot_CloseUp_01_PCap	どアップ！
EV_Mot_CloseUp_02_PCap	せっきんショット！
EV_Mot_CloseUp_03_PCap	ちかづきすぎ？
EV_Mot_Com_001-005_Wait_01_PCap	おちついてるね
EV_Mot_Com_001-005_Wait_02_PCap	よくみるカンジ
EV_Mot_Com_001-005_Wait_03_PCap	いつもどおりかな？
EV_Mot_Com_001-005_Wait_04_PCap	ふだんどおりかな？
EV_Mot_Com_001-005_Wait_05_PCap	のーんびり
EV_Mot_Com_006_Walk_01_PCap	どこにいくのかな？
EV_Mot_Com_007_Run_01_PCap	いそげいそげ！
EV_Mot_Com_008_Hit_01_PCap	あたっちゃった！
EV_Mot_Com_009_Eat_01_PCap	おしょくじタイム
EV_Mot_Com_010_Notice_01_PCap	まわりがきになる
EV_Mot_Com_011_Happy_01_PCap	ハッピーなきぶん
EV_Mot_Com_Ex_General_01_PCap	ちょっとレアかも？
EV_Mot_Com_Ex_General_02_PCap	いつもとちょっとちがうね
EV_Mot_Com_Ex_General_03_PCap	きょうみぶかいこうどうってやつ？
EV_Mot_Com_Ex_General_04_PCap	まったりちゅう？
EV_Mot_Com_Ex_General_05_PCap	いじょーナシ？
EV_Mot_Com_Ex_Sleep_01_PCap	おやすみタイム
EV_Mot_Com_Ex_LongNotice_01_PCap	きになっちゃう
EV_Mot_Com_Ex_Swim_01_PCap	スイスイおよぐよ～
EV_Mot_Com_Ex_Fly_01_PCap	ひこうちゅう
EV_Mot_Com_Ex_Music_01_PCap	おとがきになるのかな？
EV_Mot_Sp_P001_01_PCap	わすれものかな？
EV_Mot_Sp_P001_02_PCap	マッギョでなみのり？
EV_Mot_Sp_P001_04_PCap	みだしなみチェック
EV_Mot_Sp_P001_05_PCap	ポッドであそばないで～！
EV_Mot_Sp_P001_06_PCap	きめポーズ！
EV_Mot_Sp_P001_07_PCap	なみのりピカチュウ
EV_Mot_Sp_P001_08_PCap	なかよし
EV_Mot_Sp_P002_01_PCap	イヤイヤ
EV_Mot_Sp_P002_02_PCap	おはよ～
EV_Mot_Sp_P003_01_PCap	だいすきなじゅえき
EV_Mot_Sp_P003_02_PCap	ちからじまん！
EV_Mot_Sp_P003_03_PCap	どっちがつよいかな？
EV_Mot_Sp_P004_01_PCap	どっちがつよいかな？
EV_Mot_Sp_P004_02_PCap	ハデにとうじょう！
EV_Mot_Sp_P005_01_PCap	こんがりおいしそう！
EV_Mot_Sp_P005_02_PCap	なくなっちゃった！
EV_Mot_Sp_P006_01_PCap	ハイタッチ！
EV_Mot_Sp_P006_02_PCap	おしゃれしててカワイイ！
EV_Mot_Sp_P006_04_PCap	なかよくおやすみタイム
EV_Mot_Sp_P006_05_PCap	やったー！
EV_Mot_Sp_P007_01_PCap	そらをめざして
EV_Mot_Sp_P007_02_PCap	ハデにとうじょう！
EV_Mot_Sp_P007_03_PCap	いかくちゅう
EV_Mot_Sp_P008_03_PCap	なかよくおやすみタイム
EV_Mot_Sp_P009_01_PCap	まもってあげるからね
EV_Mot_Sp_P009_02_PCap	なかよしおやこ
EV_Mot_Sp_P010_02_PCap	つばさをひろげて
EV_Mot_Sp_P010_04_PCap	ビックリ！
EV_Mot_Sp_P011_01_PCap	スパッと！
EV_Mot_Sp_P011_02_PCap	おいかけっこ
EV_Mot_Sp_P012_01_PCap	おさんぽタイム
EV_Mot_Sp_P012_02_PCap	たのしいダンス
EV_Mot_Sp_P012_03_PCap	つかまった！
EV_Mot_Sp_P013_01_PCap	かたくなる！
EV_Mot_Sp_P013_02_PCap	たおれちゃった～
EV_Mot_Sp_P014_01_PCap	めそめそ
EV_Mot_Sp_P014_02_PCap	おいしいな～
EV_Mot_Sp_P015_01_PCap	ナイスはねる！
EV_Mot_Sp_P015_02_PCap	つかまった！
EV_Mot_Sp_P015_03_PCap	にげろー！
EV_Mot_Sp_P016_01_PCap	だいすきなじゅえき
EV_Mot_Sp_P016_02_PCap	ケンカちゅう
EV_Mot_Sp_P016_03_PCap	はんげきだ～！
EV_Mot_Sp_P016_04_PCap	きょうみしんしん
EV_Mot_Sp_P017_02_PCap	そらをめざして
EV_Mot_Sp_P017_04_PCap	カワイイうしろすがた
EV_Mot_Sp_P018_01_PCap	なかよしおやこ
EV_Mot_Sp_P019_01_PCap	こんがりおいしそう！
EV_Mot_Sp_P020_01_PCap	これはおいしいかな？
EV_Mot_Sp_P020_02_PCap	ビックリ！
EV_Mot_Sp_P021_01_PCap	いかくちゅう
EV_Mot_Sp_P021_02_PCap	いかりばくはつ
EV_Mot_Sp_P022_01_PCap	たべものちょーだい！
EV_Mot_Sp_P022_02_PCap	たべものちょーだい！
EV_Mot_Sp_P022_03_PCap	いれかえちゅう
EV_Mot_Sp_P022_04_PCap	キレイずき
EV_Mot_Sp_P023_01_PCap	ビックリ！
EV_Mot_Sp_P023_02_PCap	にげろー！
EV_Mot_Sp_P023_03_PCap	どうぞこちらへ
EV_Mot_Sp_P026_01_PCap	すいとってる？
EV_Mot_Sp_P026_02_PCap	しあわせなきぶん
EV_Mot_Sp_P027_01_PCap	とんじゃうよ～
EV_Mot_Sp_P027_02_PCap	おっとっと！
EV_Mot_Sp_P028_01_PCap	いかくちゅう
EV_Mot_Sp_P028_02_PCap	いいものみつけたぞ！
EV_Mot_Sp_P028_03_PCap	あなあけちゅう
EV_Mot_Sp_P028_04_PCap	こわい！
EV_Mot_Sp_P028_05_PCap	いかくちゅう
EV_Mot_Sp_P029_01_PCap	いかくちゅう
EV_Mot_Sp_P030_01_PCap	いかくちゅう
EV_Mot_Sp_P030_02_PCap	コミュニケーション
EV_Mot_Sp_P031_01_PCap	なかよしおやこ
EV_Mot_Sp_P032_01_PCap	すづくり
EV_Mot_Sp_P032_02_PCap	ひょっこり
EV_Mot_Sp_P032_03_PCap	およぐのきもちいいよ～
EV_Mot_Sp_P032_05_PCap	カワイイうしろすがた
EV_Mot_Sp_P034_01_PCap	イルミナげんしょう
EV_Mot_Sp_P034_02_PCap	ひこうちゅう
EV_Mot_Sp_P034_04_PCap	ビビヨンのたに
EV_Mot_Sp_P035_01_PCap	ちょっとかわいいかも？
EV_Mot_Sp_P035_02_PCap	いかくちゅう
EV_Mot_Sp_P036_01_PCap	りゅうのまい
EV_Mot_Sp_P036_02_PCap	ちゃんとたべてね
EV_Mot_Sp_P037_01_PCap	ごうかいなしおふき
EV_Mot_Sp_P037_02_PCap	ザッブーン！
EV_Mot_Sp_P039_01_PCap	マグマのぼり
EV_Mot_Sp_P039_02_PCap	ビックリさせてやる～！
EV_Mot_Sp_P040_01_PCap	やさしいかんじ
EV_Mot_Sp_P041_01_PCap	だいジャーンプ！
EV_Mot_Sp_P041_02_PCap	なかよし
EV_Mot_Sp_P041_03_PCap	ピカチュウをのせて
EV_Mot_Sp_P042_02_PCap	いかくちゅう
EV_Mot_Sp_P042_03_PCap	みんなでまったり
EV_Mot_Sp_P044_01_PCap	しきおりおり
EV_Mot_Sp_P045_01_PCap	たのしいダンス
EV_Mot_Sp_P045_02_PCap	たのしいダンス
EV_Mot_Sp_P045_03_PCap	はんげきだ～！
EV_Mot_Sp_P046_01_PCap	おこられちゃった！
EV_Mot_Sp_P046_02_PCap	きょうみしんしん
EV_Mot_Sp_P047_01_PCap	おやすみタイム
EV_Mot_Sp_P047_02_PCap	よつばのクローバー
EV_Mot_Sp_P048_01_PCap	ナイスキャッチ！
EV_Mot_Sp_P048_02_PCap	いかくちゅう
EV_Mot_Sp_P048_03_PCap	うるさ～い！
EV_Mot_Sp_P049_01_PCap	とっしんだー！
EV_Mot_Sp_P049_02_PCap	だいジャーンプ！
EV_Mot_Sp_P050_01_PCap	パンチされた！
EV_Mot_Sp_P050_02_PCap	ひなたぼっこ
EV_Mot_Sp_P052_01_PCap	たのしいダンス
EV_Mot_Sp_P052_02_PCap	どんなダンスがいいかな～？
EV_Mot_Sp_P053_01_PCap	いただきまーっす！
EV_Mot_Sp_P053_02_PCap	テンションあげてくよー！
EV_Mot_Sp_P054_01_PCap	トラブルはっせい？
EV_Mot_Sp_P054_02_PCap	おいかけっこ
EV_Mot_Sp_P054_03_PCap	どっちがはやいかな？
EV_Mot_Sp_P054_04_PCap	だいジャーンプ！
EV_Mot_Sp_P054_05_PCap	おいかけっこ
EV_Mot_Sp_P055_02_PCap	とんじゃうよ～
EV_Mot_Sp_P055_03_PCap	おいかけっこ
EV_Mot_Sp_P056_01_PCap	つかまった！
EV_Mot_Sp_P056_02_PCap	よりそって
EV_Mot_Sp_P056_03_PCap	ピンクでかわいい！
EV_Mot_Sp_P057_01_PCap	せいみつひこう
EV_Mot_Sp_P057_02_PCap	いかくちゅう
EV_Mot_Sp_P057_03_PCap	さかさまでねれるの？
EV_Mot_Sp_P058_02_PCap	めそめそ
EV_Mot_Sp_P059_01_PCap	ビリビリでおかえしだ～！
EV_Mot_Sp_P059_02_PCap	マッギョでなみのり？
EV_Mot_Sp_P059_03_PCap	たのしいきぶん
EV_Mot_Sp_P060_01_PCap	まるでハンター
EV_Mot_Sp_P061_01_PCap	ごーかけんらん！
EV_Mot_Sp_P061_02_PCap	たのしいダンス
EV_Mot_Sp_P062_01_PCap	つきよのコンサート
EV_Mot_Sp_P062_02_PCap	ゆうがなあそび
EV_Mot_Sp_P062_03_PCap	およぐのじょうずでしょ？
EV_Mot_Sp_P062_04_PCap	かれいなジャンプ
EV_Mot_Sp_P063_01_PCap	まちがえパンチ
EV_Mot_Sp_P063_02_PCap	なにかおちてこないかなー？
EV_Mot_Sp_P063_03_PCap	あやつりにんぎょう
EV_Mot_Sp_P063_04_PCap	ナワバリあらそい
EV_Mot_Sp_P064_01_PCap	たべてよ～！
EV_Mot_Sp_P064_02_PCap	まひるにまよなか？
EV_Mot_Sp_P064_03_PCap	とおぼえ
EV_Mot_Sp_P064_04_PCap	いかくちゅう
EV_Mot_Sp_P064_05_PCap	センチメンタル
EV_Mot_Sp_P064_06_PCap	すごいたたかい！
EV_Mot_Sp_P065_01_PCap	たのしいダンス
EV_Mot_Sp_P065_02_PCap	たのしいダンス
EV_Mot_Sp_P065_03_PCap	ハッピーなきぶん
EV_Mot_Sp_P066_01_PCap	ナワバリあらそい
EV_Mot_Sp_P066_02_PCap	かいてきなたび
EV_Mot_Sp_P066_03_PCap	おちちゃう！
EV_Mot_Sp_P067_01_PCap	たいでんちゅう
EV_Mot_Sp_P067_02_PCap	いかりばくはつ
EV_Mot_Sp_P068_01_PCap	はっしゃ！
EV_Mot_Sp_P068_02_PCap	ジェットふんしゃー！
EV_Mot_Sp_P069_01_PCap	がんばれのエール
EV_Mot_Sp_P069_02_PCap	なみのりタイム
EV_Mot_Sp_P069_03_PCap	スーパーテクニック
EV_Mot_Sp_P069_04_PCap	ブレイクダンス
EV_Mot_Sp_P070_01_PCap	すてきなメロディ
EV_Mot_Sp_P070_02_PCap	みずあそび
EV_Mot_Sp_P070_03_PCap	リラックス
EV_Mot_Sp_P071_01_PCap	どっちがはやいかな？
EV_Mot_Sp_P071_02_PCap	しあがってるね！
EV_Mot_Sp_P071_03_PCap	ぶあついきんにく
EV_Mot_Sp_P071_04_PCap	ちからづよいポーズ
EV_Mot_Sp_P071_05_PCap	うでたて100かいできるかな？
EV_Mot_Sp_P072_02_PCap	ハッピーなきぶん
EV_Mot_Sp_P072_03_PCap	みだしなみバッチリ！
EV_Mot_Sp_P072_04_PCap	こんがりおいしそう！
EV_Mot_Sp_P075_01_PCap	ハッピーなきぶん
EV_Mot_Sp_P075_02_PCap	おきにいりのばしょ
EV_Mot_Sp_P076_01_PCap	おやすみタイム
EV_Mot_Sp_P076_02_PCap	おやすみタイム
EV_Mot_Sp_P076_03_PCap	たのしいダンス
EV_Mot_Sp_P076_04_PCap	しょうげきのしゅんかん！
EV_Mot_Sp_P076_05_PCap	いかくちゅう
EV_Mot_Sp_P076_06_PCap	げんきいっぱい！
EV_Mot_Sp_P077_01_PCap	ハッピーなきぶん
EV_Mot_Sp_P078_01_PCap	ちょっかい
EV_Mot_Sp_P078_02_PCap	おいしーい！
