AlbumSave_UI.msbt
AlbumSave_Top_Help	アルバムにほぞんしたいしゃしんを　えらんでください
ComWindow027_Info	ほぞんまいすうの　のこりが5まいになりました。\n\nセーブデータを　かくちょうして\nほぞんまいすうを　{[0301|00cd]}まい　ふやしますか？\n{color[0800]}やく{[0302|00cd]}MBの　あきようりょうが　ひつようです{color[ffff]}
ComWindow027_Select1	はい
ComWindow027_Select2	いいえ
ComWindow028_Info	ほぞんまいすうの　のこりが0まいになりました。\n\nセーブデータを　かくちょうして\nほぞんまいすうを　{[0301|00cd]}まい　ふやしますか？\n{color[0800]}やく{[0302|00cd]}MBの　あきようりょうが　ひつようです{color[ffff]}
ComWindow028_Select1	はい
ComWindow028_Select2	いいえ
ComWindow029_Info	セーブデータを　かくちょうしますか？\n{color[0800]}かくちょうすると　もとにはもどせません{color[ffff]}
ComWindow029_Select1	はい
ComWindow029_Select2	いいえ
ComWindow030_Info	セーブデータを　かくちょうしています。\nしばらく　おまちください。\n{color[0800]}でんげんを　きらないでください{color[ffff]}
ComWindow031_Info	セーブデータの　かくちょうが　かんりょうしました。
ComWindow031_Select1	OK
ComWindow032_Info	セーブデータの　かくちょうが　かんりょうしました。\n{color[0800]}これいじょう　かくちょうできません{color[ffff]}
ComWindow032_Select1	OK
ComWindow033_Info	ほぞんまいすうの　のこりがありません。\nほぞんしているしゃしんを　さくじょしてください。\n{color[0800]}これいじょう　セーブデータは　かくちょうできません{color[ffff]}
ComWindow033_Select1	OK
ComWindow036_Info	このさつえいしゃを　ブロックしますか？
ComWindow036_Select1	はい
ComWindow036_Select2	いいえ
ComWindow037_Info	このさつえいしゃの　ブロックを　かいじょしますか？
ComWindow037_Select1	はい
ComWindow037_Select2	いいえ
ComWindow038_Info	このしゃしんの　タイトルや　ないようを\nつうほうしますか？
ComWindow038_Select1	はい
ComWindow038_Select2	いいえ
ComWindow039_Info	このさつえいしゃの　なまえや　コメントを\nつうほうしますか？
ComWindow039_Select1	はい
ComWindow039_Select2	いいえ
ComWindow040_Info	つうほうを　うけつけました。\n{color[0800]}そうしんは　じどうで　おこなわれます{color[ffff]}\n\nこのさつえいしゃの　なまえやコメント　しゃしんを\nひひょうじにするには　ブロックしてください。
ComWindow040_Select1	OK
ComWindow041_Info	これいじょう　さくじょするしゃしんは　えらべません。\nいちどに　さくじょできるのは　99まいまでです。
ComWindow041_Select1	OK
ComWindow042_Info	しゃしんを　さくじょしました。
ComWindow042_Select1	OK
ComWindow043_Info	ぼくに　しゃしんをみせると　ずかんにページができるよ。\nページないの　ポケモンに　ポインタをあわせて\n をおすと　{color[0000]}うごき{color[ffff]}や　{color[0000]}なきごえ{color[ffff]}が　かくにんできるんだ。\nちょうさすれば　{color[0000]}べつのすがた{color[ffff]}も　みれるようになるよ。
ComWindow043_Select1	OK
ComWindow044_Info	ちょうさした　{color[0000]}ルートのじょうほう{color[ffff]}が　かくにんできるよ。\nはっけんした{color[0000]}ポケモン{color[ffff]}や　{color[0000]}コレクション{color[ffff]}が\nちずにひょうじされるので　ふりかえることができるんだ。
ComWindow044_Select1	OK
ComWindow045_Info	{color[0000]}クリスタフラワー{color[ffff]}や　{color[0000]}レンティルのれきしにかかわるもの{color[ffff]}を\n{color[0000]}コレクション{color[ffff]}として　このずかんに　まとめていくよ。\nちょうさしたら　ページができるので\nときどき　かくにんしに　きてみてね。
ComWindow045_Select1	OK
ComWindow046_Info	ちょうさしたあと　ほぞんしたしゃしんと　{color[0000]}かこう{color[ffff]}や\n{color[0000]}エクストラさつえい{color[ffff]}した　しゃしんが　かくにんできるよ。\n{color[0000]}ほぞんまいすう{color[ffff]}が　たりなくなったら　かくちょうしてね。
ComWindow046_Select1	OK
ComWindow047_Info	ちょうさの　すすみぐあいに　おうじて\n{color[0000]}ちょうさしょうごう{color[ffff]}を　おくるよ。\nここでは　どんなものがあるのか？\nそれぞれ　どれくらい　すすんでいるのか？\nなどが　かくにんできるんだ。
ComWindow047_Select1	OK
ComWindow048_Info	ちょうさにかんする　さまざまなきろくを\nここに　まとめているよ。\nどんどん　こうしんされるから\nたまに　かくにんしに　きてみてね。
ComWindow048_Select1	OK
ComWindow049_Info	さつえいしたしゃしんに　{color[0000]}スタンプ{color[ffff]}などをはいちして\nさらに　たのしむことができるよ。\nちょうさを　すすめると　つかえるそざいが\nふえていくから　たのしみにしててね。
ComWindow049_Select1	OK
ComWindow050_Info	いろんなせっていを　つかいやすいように\nへんこうできるよ。\nちょうさちゅうでも　いちぶは　{color[0000]}ポーズメニュー{color[ffff]}から\nへんこうできるから　きになったら　かくにんしてみてね。
ComWindow050_Select1	OK
ComWindow051_Info	「{color[0000]}そのた{color[ffff]}」に　{color[0000]}クレジットひょうじ{color[ffff]}を　ついかしたよ。\nもういちど　みたくなったら\n「{color[0000]}さいせい{color[ffff]}」を　おしてみてね。
ComWindow051_Select1	OK
ComWindow052_Info	ベースキャンプで　さつえいしますか？
ComWindow052_Select1	はい
ComWindow052_Select2	いいえ
ComWindow053_Info	オンラインのマイページから　しゃしんをとりさげますか？\n\nこのしゃしんを　もういちど　アップロードすると\nりんごメダルのまいすうは　リセットされます。\n{color[0800]}りんごメダルをもらったかずの　そうすうは　へりません{color[ffff]}
ComWindow053_Select1	はい
ComWindow053_Select2	いいえ
ComWindow054_Info	{color[0000]}せかいじゅうの　ともだち{color[ffff]}が　とった{color[0000]}しゃしん{color[ffff]}や\n{color[0000]}ランキング{color[ffff]}が　かくにんできるよ！\n{color[0000]}マイページ{color[ffff]}では　いろいろ　せっていできるから\nきになったら　かくにんしてみてね。
ComWindow054_Select1	OK
ComWindow055_Info	かく{color[0000]}スコア{color[ffff]}の　{color[0000]}ランキング{color[ffff]}が　きになったら\nここに　みにきてね！\n{color[0000]}フレンド{color[ffff]}や　つかっている{color[0000]}げんご{color[ffff]}で\nしぼりこむこともできるよ。
ComWindow055_Select1	OK
ComWindow056_Info	キミの　{color[0000]}プロフィール{color[ffff]}を　せっていできるよ。\nせかいじゅうの　ひとに　みてもらいたい\nしゃしんがあったら　ここに　{color[0000]}アップロード{color[ffff]}してね！
ComWindow056_Select1	OK
ComWindow057_Info	しゃしんを　アップロードしました。
ComWindow057_Select1	OK
ComWindow058_Info	オンラインのマイページから　しゃしんを　とりさげました。
ComWindow058_Select1	OK
ComWindow059_Info	しゃしんを　アップロードしています。\nしばらく　おまちください。\n{[0301|00cd]}％
ComWindow060_Info	データを　しゅとくしています。
ComWindow061_Info	つうしんしています。\nしばらく　おまちください。
ComWindow064_Info	ネットワークエラーが　はっせいしました。
ComWindow064_Select1	OK
ComWindow065_Info	のこり　ほぞんまいすうが　0まいのため\nこれいじょう　さつえいできません。\nエクストラさつえいを　しゅうりょうします。
ComWindow065_Select1	OK
ComWindow067_Info	セーブデータの　かくちょうに　しっぱいしました。
ComWindow067_Select1	OK
ComWindow068_Info	みはっけんの　しゅやく・ルートが　うつっています。\nしゃしんを　ひょうじしますか？
ComWindow068_Select1	はい
ComWindow068_Select2	いいえ
ComWindow069_Info	はかせに　しゃしんをみせずに　しゅうりょうしますか？
ComWindow069_Select1	はい
ComWindow069_Select2	いいえ
ComWindow070_Info	はかせに　みせられるしゃしんが　ありません。\nこのまま　しゅうりょうします。
ComWindow070_Select1	OK
ComWindow071_Info	{color[0800]}オンラインの　ちゅういじこう{color[ffff]}{[0004]}オンラインでは　あなたの　{color[0800]}なまえ{color[ffff]}や　{color[0800]}コメント{color[ffff]}\n{color[0800]}アップロードしたしゃしん{color[ffff]}や　{color[0800]}タイトル{color[ffff]}などの\nコンテンツを　ほかのひとも　みることができます。\n\nふてきせつな　ないようを　さけて　おたのしみください。{[0004]}いほうな　ないよう　／　こじんじょうほう\nたにんのけんりを　しんがいする　ないよう\nふかいな　おもいをさせる　ないよう\nを　ふくむ　コンテンツの　アップロードや{[0004]}ほかのひとに　ふかいなおもいをさせる　こうい\nふせいこういは　しないでください。{[0004]}コンテンツや　ゲームちゅうの　こういには\n「{color[0800]}ニンテンドーアカウントりようきやく{color[ffff]}」\nが　てきようされます。\nいはんしているばあい　コンテンツが　さくじょされたり\nオンラインせつぞくが　せいげんされることがあります。{[0004]}ふてきせつな　コンテンツは　つうほうできます。\nじじつと　ことなる　つうほうは　おやめください。\n\n「{color[0800]}ニンテンドーアカウントりようきやく{color[ffff]}」に\nしたがって　おたのしみください。
ComWindow071_Select1	つぎへ
ComWindow075_Select1	OK
ComWindow076_Info	ほかのひとの　{color[0000]}プロフィール{color[ffff]}が　かくにんできるよ。\n\nいいしゃしんがあったら　{color[0000]}りんごメダル{color[ffff]}を　おくろう！{[0004]}もし　ふかいにかんじたら　そのないようを\nつうほうボタンから　{color[0000]}つうほう{color[ffff]}してね。\n\n{color[0000]}ブロック{color[ffff]}すると　そのひとの　なまえや　コメント\nしゃしんを　ひひょうじにできるよ。
ComWindow076_Select1	つぎへ
ComWindow076_Select2	OK
ComWindow077_Info	おくった　りんごメダルを　とりさげますか？
ComWindow077_Select1	はい
ComWindow077_Select2	いいえ
ComWindow078_Info	けんきゅうしつから　オンラインを　えらんで\nちゅういじこうを　かくにんしてください。
ComWindow078_Select1	OK
ComWindow080_Info	ちょうさしたあとは　{color[0000]}けんきゅうしつ{color[ffff]}の{color[0000]}マイスペース{color[ffff]}にある\n{color[0000]}アルバム{color[ffff]}にほぞんする　しゃしんを　えらべるよ。\n{color[0000]}エクストラさつえい{color[ffff]}では　せっていをへんこうして\nもういちど　さつえいできるから　ためしてみてね。
ComWindow080_Select1	OK
ComWindow081_Info	これいじょう　アップロードできません。\nオンラインのマイページから　しゃしんを　とりさげて\nわくを　あけてから　もういちど　おためしください。
ComWindow081_Select1	OK
ComWindow082_Info	ひょうじできるデータがありません。\nランキングの　こうしんには\nじかんが　かかるばあいが　あります。
ComWindow082_Select1	OK
ComWindow083_Info	オンラインのマイページに　アップロードしますか？\n\nりんごメダルのまいすうは　リセットされます。\n{color[0800]}りんごメダルをもらったかずの　そうすうは　へりません{color[ffff]}
ComWindow083_Select1	はい
ComWindow083_Select2	いいえ
ComWindow101_Info	{color[0800]}アップデートの　おしらせ{color[ffff]}{[0004]}「しんエリアの　ついか」\nカクレぬけみち（ひる・よる）\nヨーヨーリバー（ひる・よる）\nカラリこうや（ひる・よる）\n{color[0800]}かいほうじょうけんを　みたすひつようが　あります{color[ffff]}{[0004]}「かくしゅコンテンツの　ついか」\nフィルタ　／　スタンプ　／　フレーム\nプロフィールアイコン　／　ちょうさしょうごう\n{color[0800]}いちぶは　じょうけんを　みたすひつようが　あります{color[ffff]}{[0004]}「コンプリートじょうけんの　へんこう」\nコンテンツの　コンプリートじょうけんが\nいちぶ　へんこうされました。{[0004]}ついかされた　エリアでは\nあらたなポケモンとの　であいが　まっています。\nひきつづき　レンティルちほうの\nちょうさを　おたのしみください。
ComWindow101_Select1	つぎへ
ComWindow101_Select2	OK
ComWindow102_Info	ほんとうに　ベースキャンプに　もどりますか？\n{color[0800]}さつえいしたしゃしんは　なくなります{color[ffff]}
ComWindow102_Select1	はい
ComWindow102_Select2	いいえ
EvaluationPhotoCaption_Info.msbt
EV_Mot_Unknown_01_PCap	？？？
EV_Mot_Unknown_02_PCap	？？？
EV_Mot_Unknown_03_PCap	？？？
EV_Mot_CloseUp_01_PCap	どアップ！
EV_Mot_CloseUp_02_PCap	せっきんショット！
EV_Mot_CloseUp_03_PCap	ちかづきすぎ？
EV_Mot_Com_001-005_Wait_01_PCap	おちついてるね
EV_Mot_Com_001-005_Wait_02_PCap	よくみるカンジ
EV_Mot_Com_001-005_Wait_03_PCap	いつもどおりかな？
EV_Mot_Com_001-005_Wait_04_PCap	ふだんどおりかな？
EV_Mot_Com_001-005_Wait_05_PCap	のーんびり
EV_Mot_Com_006_Walk_01_PCap	どこにいくのかな？
EV_Mot_Com_007_Run_01_PCap	いそげいそげ！
EV_Mot_Com_008_Hit_01_PCap	あたっちゃった！
EV_Mot_Com_009_Eat_01_PCap	おしょくじタイム
EV_Mot_Com_010_Notice_01_PCap	まわりがきになる
EV_Mot_Com_011_Happy_01_PCap	ハッピーなきぶん
EV_Mot_Com_Ex_General_01_PCap	ちょっとレアかも？
EV_Mot_Com_Ex_General_02_PCap	いつもとちょっとちがうね
EV_Mot_Com_Ex_General_03_PCap	きょうみぶかいこうどうってやつ？
EV_Mot_Com_Ex_General_04_PCap	まったりちゅう？
EV_Mot_Com_Ex_General_05_PCap	いじょーナシ？
EV_Mot_Com_Ex_Sleep_01_PCap	おやすみタイム
EV_Mot_Com_Ex_LongNotice_01_PCap	きになっちゃう
EV_Mot_Com_Ex_Swim_01_PCap	スイスイおよぐよ～
EV_Mot_Com_Ex_Fly_01_PCap	ひこうちゅう
EV_Mot_Com_Ex_Music_01_PCap	おとがきになるのかな？
EV_Mot_Sp_P001_01_PCap	わすれものかな？
EV_Mot_Sp_P001_02_PCap	マッギョでなみのり？
EV_Mot_Sp_P001_04_PCap	みだしなみチェック
EV_Mot_Sp_P001_05_PCap	ポッドであそばないで～！
EV_Mot_Sp_P001_06_PCap	きめポーズ！
EV_Mot_Sp_P001_07_PCap	なみのりピカチュウ
EV_Mot_Sp_P001_08_PCap	なかよし
EV_Mot_Sp_P002_01_PCap	イヤイヤ
EV_Mot_Sp_P002_02_PCap	おはよ～
EV_Mot_Sp_P003_01_PCap	だいすきなじゅえき
EV_Mot_Sp_P003_02_PCap	ちからじまん！
EV_Mot_Sp_P003_03_PCap	どっちがつよいかな？
EV_Mot_Sp_P004_01_PCap	どっちがつよいかな？
EV_Mot_Sp_P004_02_PCap	ハデにとうじょう！
EV_Mot_Sp_P005_01_PCap	こんがりおいしそう！
EV_Mot_Sp_P005_02_PCap	なくなっちゃった！
EV_Mot_Sp_P006_01_PCap	ハイタッチ！
EV_Mot_Sp_P006_02_PCap	おしゃれしててカワイイ！
EV_Mot_Sp_P006_04_PCap	なかよくおやすみタイム
EV_Mot_Sp_P006_05_PCap	やったー！
EV_Mot_Sp_P006_06_PCap	おなかのベッド
EV_Mot_Sp_P007_01_PCap	そらをめざして
EV_Mot_Sp_P007_02_PCap	ハデにとうじょう！
EV_Mot_Sp_P007_03_PCap	いかくちゅう
EV_Mot_Sp_P008_03_PCap	なかよくおやすみタイム
EV_Mot_Sp_P009_01_PCap	まもってあげるからね
EV_Mot_Sp_P009_02_PCap	なかよしおやこ
EV_Mot_Sp_P010_02_PCap	つばさをひろげて
EV_Mot_Sp_P010_04_PCap	ビックリ！
EV_Mot_Sp_P011_01_PCap	スパッと！
EV_Mot_Sp_P011_02_PCap	おいかけっこ
EV_Mot_Sp_P012_01_PCap	おさんぽタイム
EV_Mot_Sp_P012_02_PCap	たのしいダンス
EV_Mot_Sp_P012_03_PCap	つかまった！
EV_Mot_Sp_P013_01_PCap	かたくなる！
EV_Mot_Sp_P013_02_PCap	たおれちゃった～
EV_Mot_Sp_P014_01_PCap	めそめそ
EV_Mot_Sp_P014_02_PCap	おいしいな～
EV_Mot_Sp_P015_01_PCap	ナイスはねる！
EV_Mot_Sp_P015_02_PCap	つかまった！
EV_Mot_Sp_P015_03_PCap	にげろー！
EV_Mot_Sp_P016_01_PCap	だいすきなじゅえき
EV_Mot_Sp_P016_02_PCap	ケンカちゅう
EV_Mot_Sp_P016_03_PCap	はんげきだ～！
EV_Mot_Sp_P016_04_PCap	きょうみしんしん
EV_Mot_Sp_P017_02_PCap	そらをめざして
EV_Mot_Sp_P017_04_PCap	カワイイうしろすがた
EV_Mot_Sp_P018_01_PCap	なかよしおやこ
EV_Mot_Sp_P019_01_PCap	こんがりおいしそう！
EV_Mot_Sp_P020_01_PCap	これはおいしいかな？
EV_Mot_Sp_P020_02_PCap	ビックリ！
EV_Mot_Sp_P021_01_PCap	いかくちゅう
EV_Mot_Sp_P021_02_PCap	いかりばくはつ
EV_Mot_Sp_P022_01_PCap	たべものちょーだい！
EV_Mot_Sp_P022_02_PCap	たべものちょーだい！
EV_Mot_Sp_P022_03_PCap	いれかえちゅう
EV_Mot_Sp_P022_04_PCap	キレイずき
EV_Mot_Sp_P023_01_PCap	ビックリ！
EV_Mot_Sp_P023_02_PCap	にげろー！
EV_Mot_Sp_P023_03_PCap	どうぞこちらへ
EV_Mot_Sp_P026_01_PCap	すいとってる？
EV_Mot_Sp_P026_02_PCap	しあわせなきぶん
EV_Mot_Sp_P027_01_PCap	とんじゃうよ～
EV_Mot_Sp_P027_02_PCap	おっとっと！
EV_Mot_Sp_P028_01_PCap	いかくちゅう
EV_Mot_Sp_P028_02_PCap	いいものみつけたぞ！
EV_Mot_Sp_P028_03_PCap	あなあけちゅう
EV_Mot_Sp_P028_04_PCap	こわい！
EV_Mot_Sp_P028_05_PCap	いかくちゅう
EV_Mot_Sp_P029_01_PCap	いかくちゅう
EV_Mot_Sp_P030_01_PCap	いかくちゅう
EV_Mot_Sp_P030_02_PCap	コミュニケーション
EV_Mot_Sp_P031_01_PCap	なかよしおやこ
EV_Mot_Sp_P032_01_PCap	すづくり
EV_Mot_Sp_P032_02_PCap	ひょっこり
EV_Mot_Sp_P032_03_PCap	およぐのきもちいいよ～
EV_Mot_Sp_P032_05_PCap	カワイイうしろすがた
EV_Mot_Sp_P034_01_PCap	イルミナげんしょう
EV_Mot_Sp_P034_02_PCap	ひこうちゅう
EV_Mot_Sp_P034_04_PCap	ビビヨンのたに
EV_Mot_Sp_P035_01_PCap	ちょっとかわいいかも？
EV_Mot_Sp_P035_02_PCap	いかくちゅう
EV_Mot_Sp_P036_01_PCap	りゅうのまい
EV_Mot_Sp_P036_02_PCap	ちゃんとたべてね
EV_Mot_Sp_P037_01_PCap	ごうかいなしおふき
EV_Mot_Sp_P037_02_PCap	ザッブーン！
EV_Mot_Sp_P039_01_PCap	マグマのぼり
EV_Mot_Sp_P039_02_PCap	ビックリさせてやる～！
EV_Mot_Sp_P040_01_PCap	やさしいかんじ
EV_Mot_Sp_P041_01_PCap	だいジャーンプ！
EV_Mot_Sp_P041_02_PCap	なかよし
EV_Mot_Sp_P041_03_PCap	ピカチュウをのせて
EV_Mot_Sp_P042_02_PCap	いかくちゅう
EV_Mot_Sp_P042_03_PCap	みんなでまったり
EV_Mot_Sp_P044_01_PCap	しきおりおり
EV_Mot_Sp_P045_01_PCap	たのしいダンス
EV_Mot_Sp_P045_02_PCap	たのしいダンス
EV_Mot_Sp_P045_03_PCap	はんげきだ～！
EV_Mot_Sp_P046_01_PCap	おこられちゃった！
EV_Mot_Sp_P046_02_PCap	きょうみしんしん
EV_Mot_Sp_P047_01_PCap	おやすみタイム
EV_Mot_Sp_P047_02_PCap	よつばのクローバー
EV_Mot_Sp_P048_01_PCap	ナイスキャッチ！
EV_Mot_Sp_P048_03_PCap	うるさ～い！
EV_Mot_Sp_P049_01_PCap	とっしんだー！
EV_Mot_Sp_P049_02_PCap	だいジャーンプ！
EV_Mot_Sp_P050_01_PCap	パンチされた！
EV_Mot_Sp_P050_02_PCap	ひなたぼっこ
EV_Mot_Sp_P051_01_PCap	リラックス
EV_Mot_Sp_P051_02_PCap	がお～！
EV_Mot_Sp_P051_03_PCap	ウトウト
EV_Mot_Sp_P051_04_PCap	だいジャーンプ！
EV_Mot_Sp_P052_01_PCap	たのしいダンス
EV_Mot_Sp_P052_02_PCap	どんなダンスがいいかな～？
EV_Mot_Sp_P053_01_PCap	いただきまーっす！
EV_Mot_Sp_P053_02_PCap	テンションあげてくよー！
EV_Mot_Sp_P054_01_PCap	トラブルはっせい？
EV_Mot_Sp_P054_02_PCap	おいかけっこ
EV_Mot_Sp_P054_03_PCap	どっちがはやいかな？
EV_Mot_Sp_P054_04_PCap	だいジャーンプ！
EV_Mot_Sp_P054_05_PCap	おいかけっこ
EV_Mot_Sp_P055_02_PCap	とんじゃうよ～
EV_Mot_Sp_P055_03_PCap	おいかけっこ
EV_Mot_Sp_P056_01_PCap	つかまった！
EV_Mot_Sp_P056_02_PCap	よりそって
EV_Mot_Sp_P056_03_PCap	ピンクでかわいい！
EV_Mot_Sp_P057_01_PCap	せいみつひこう
EV_Mot_Sp_P057_02_PCap	いかくちゅう
EV_Mot_Sp_P057_03_PCap	さかさまでねれるの？
EV_Mot_Sp_P058_02_PCap	めそめそ
EV_Mot_Sp_P059_01_PCap	ビリビリでおかえしだ～！
EV_Mot_Sp_P059_02_PCap	マッギョでなみのり？
EV_Mot_Sp_P059_03_PCap	たのしいきぶん
EV_Mot_Sp_P060_01_PCap	まるでハンター
EV_Mot_Sp_P061_01_PCap	ごーかけんらん！
EV_Mot_Sp_P061_02_PCap	たのしいダンス
EV_Mot_Sp_P062_01_PCap	つきよのコンサート
EV_Mot_Sp_P062_02_PCap	ゆうがなあそび
EV_Mot_Sp_P062_03_PCap	およぐのじょうずでしょ？
