AlbumSave_UI.msbt
AlbumSave_Top_Help	请选择想要保存到相册的照片。
ComWindow007_Info	要从路线的起点重新调查吗？\n{color[0800]}已拍摄的照片将会消失。{color[ffff]}
ComWindow007_Select1	是
ComWindow007_Select2	否
ComWindow008_Info	要跳过教学吗？
ComWindow008_Select1	是
ComWindow008_Select2	否
ComWindow010_Info	有未挑选照片的文件夹。\n确定要交给博士看了吗？
ComWindow010_Select1	是
ComWindow010_Select2	否
ComWindow011_Info	要把游戏设置恢复为初始状态吗？
ComWindow011_Select1	是
ComWindow011_Select2	否
ComWindow012_Info	要把相机设置恢复为初始状态吗？
ComWindow012_Select1	是
ComWindow012_Select2	否
ComWindow013_Info	要把按键设置恢复为初始状态吗？
ComWindow013_Select1	是
ComWindow013_Select2	否
ComWindow014_Info	要把声音设置恢复为初始状态吗？
ComWindow014_Select1	是
ComWindow014_Select2	否
ComWindow015_Info	要把其他设置恢复为初始状态吗？
ComWindow015_Select1	是
ComWindow015_Select2	否
ComWindow017_Info	要将照片上传至线上的我的页面吗？
ComWindow017_Select1	是
ComWindow017_Select2	否
ComWindow018_Info	要将照片保存到\nNintendo Switch的相册吗？
ComWindow018_Select1	是
ComWindow018_Select2	否
ComWindow019_Info	要删除照片吗？\n{color[0800]}照片一旦被删除，将无法复原。{color[ffff]}
ComWindow019_Select1	是
ComWindow019_Select2	否
ComWindow020_Info	正在保存照片……\n请稍等片刻。\n还剩{[0301|00cd]}张即可完成。
ComWindow021_Info	要批量删除所选择的照片吗？\n{color[0800]}照片一旦被删除，将无法复原。{color[ffff]}
ComWindow021_Select1	是
ComWindow021_Select2	否
ComWindow022_Info	要把加工后的照片\n保存为新的照片并结束吗？
ComWindow022_Select1	是
ComWindow022_Select2	否
ComWindow023_Info	确定不保存加工后的照片\n就结束吗？\n{color[0800]}加工的内容将会消失。{color[ffff]}
ComWindow023_Select1	是
ComWindow023_Select2	否
ComWindow024_Info	无法再使用更多的图章。
ComWindow024_Select1	OK
ComWindow025_Info	要恢复成初始状态吗？
ComWindow025_Select1	是
ComWindow025_Select2	否
ComWindow026_Info	确定要结束特殊拍摄吗？\n{color[0800]}所有设置内容将会消失。{color[ffff]}
ComWindow026_Select1	是
ComWindow026_Select2	否
ComWindow027_Info	可保存的照片数剩下5张。\n\n要扩充保存数据的容量，\n增加{[0301|00cd]}张可保存的照片数吗？\n{color[0800]}这会需要大约{[0302|00cd]}MB的剩余空间。{color[ffff]}
ComWindow027_Select1	是
ComWindow027_Select2	否
ComWindow028_Info	可保存的照片数剩下0张。\n\n要扩充保存数据的容量，\n增加{[0301|00cd]}张可保存的照片数吗？\n{color[0800]}这会需要大约{[0302|00cd]}MB的剩余空间。{color[ffff]}
ComWindow028_Select1	是
ComWindow028_Select2	否
ComWindow029_Info	要扩充保存数据的容量吗？\n{color[0800]}扩充后将无法复原。{color[ffff]}
ComWindow029_Select1	是
ComWindow029_Select2	否
ComWindow030_Info	正在扩充保存数据的容量……\n请稍等片刻。\n{color[0800]}请勿切断电源。{color[ffff]}
ComWindow031_Info	已成功扩充保存数据的容量。
ComWindow031_Select1	OK
ComWindow032_Info	已成功扩充保存数据的容量。\n{color[0800]}无法进一步扩充了。{color[ffff]}
ComWindow032_Select1	OK
ComWindow033_Info	可保存的照片数已满。\n请删除已保存的照片。\n{color[0800]}无法进一步扩充保存数据的容量。{color[ffff]}
ComWindow033_Select1	OK
ComWindow036_Info	要屏蔽此拍摄者吗？
ComWindow036_Select1	是
ComWindow036_Select2	否
ComWindow037_Info	要解除对此拍摄者的屏蔽吗？
ComWindow037_Select1	是
ComWindow037_Select2	否
ComWindow038_Info	要举报此照片的标题或内容吗？
ComWindow038_Select1	是
ComWindow038_Select2	否
ComWindow039_Info	要举报此拍摄者的名字或个性签名吗？
ComWindow039_Select1	是
ComWindow039_Select2	否
ComWindow040_Info	已受理举报。\n{color[0800]}举报的发送会自动进行。{color[ffff]}\n\n如果要隐藏此拍摄者的名字、个性签名及照片，\n请屏蔽此拍摄者。
ComWindow040_Select1	OK
ComWindow041_Info	无法选择更多想要删除的照片。\n每次最多只能删除99张。
ComWindow041_Select1	OK
ComWindow042_Info	已删除照片。
ComWindow042_Select1	OK
ComWindow043_Info	让我看一下照片，图鉴上就会生成页面。\n将游标对准页面上的宝可梦后按下  ，\n就能确认它的{color[0000]}动作{color[ffff]}和{color[0000]}叫声{color[ffff]}。\n进行调查的话，还能看到它{color[0000]}其他的样子{color[ffff]}。
ComWindow043_Select1	OK
ComWindow044_Info	在这里可以查看已调查的{color[0000]}路线的信息{color[ffff]}。\n地图上会显示已发现的{color[0000]}宝可梦{color[ffff]}和{color[0000]}收藏{color[ffff]}，\n可以用来回顾以前的调查。
ComWindow044_Select1	OK
ComWindow045_Info	{color[0000]}晶奇花{color[ffff]}和{color[0000]}与蓝蒂尔的历史有关的事物{color[ffff]}，\n我会持续整理在图鉴的{color[0000]}收藏{color[ffff]}里。\n在你调查之后就会生成页面，\n时不时地来确认一下吧。
ComWindow045_Select1	OK
ComWindow046_Info	调查结束后，可以查看保存下来的照片，\n还有{color[0000]}加工{color[ffff]}后以及{color[0000]}特殊拍摄{color[ffff]}后的照片哦。\n如果{color[0000]}保存照片数{color[ffff]}不够了，就扩充容量吧。
ComWindow046_Select1	OK
ComWindow047_Info	我会根据你的调查进度\n来授予你不同的{color[0000]}调查称号{color[ffff]}。\n你可以在这里确认有哪些称号，\n以及各自的进展。
ComWindow047_Select1	OK
ComWindow048_Info	这里整理了关于调查的各种记录。\n记录会持续更新，\n记得偶尔来查看一下啊。
ComWindow048_Select1	OK
ComWindow049_Info	你可以为拍摄的照片添加\n{color[0000]}图章{color[ffff]}等素材，享受更多乐趣。\n随着不断调查，能使用的素材\n也会越来越多，好好期待吧。
ComWindow049_Select1	OK
ComWindow050_Info	你可以更改各种设置，\n让操作更加顺手。\n即使在调查中也可以从{color[0000]}暂停菜单{color[ffff]}\n更改部分设置，记得确认一下吧。
ComWindow050_Select1	OK
ComWindow051_Info	已经在“{color[0000]}其他{color[ffff]}”添加了{color[0000]}制作团队{color[ffff]}。\n如果想再看一次，\n就按“{color[0000]}播放{color[ffff]}”吧。
ComWindow051_Select1	OK
ComWindow052_Info	你要在研究基地拍照吗？
ComWindow052_Select1	是
ComWindow052_Select2	否
ComWindow053_Info	要从线上的我的页面中撤回照片吗？\n\n再次上传这张照片时，\n苹果徽章的个数将会重置。\n{color[0800]}已获得的苹果徽章总数不会减少。{color[ffff]}
ComWindow053_Select1	是
ComWindow053_Select2	否
ComWindow054_Info	可以查看{color[0000]}世界各地的好友{color[ffff]}\n所拍摄的{color[0000]}照片{color[ffff]}和{color[0000]}排行榜{color[ffff]}！\n在{color[0000]}我的页面{color[ffff]}可以进行各种设置，\n感兴趣的话就确认一下吧。
ComWindow054_Select1	OK
ComWindow055_Info	如果你想查看各种{color[0000]}得分{color[ffff]}的{color[0000]}排行榜{color[ffff]}，\n就来这里看看吧！\n你也可以按照{color[0000]}好友{color[ffff]}，\n或是正在使用的{color[0000]}语言{color[ffff]}来筛选。
ComWindow055_Select1	OK
ComWindow056_Info	可以编辑你的{color[0000]}个人信息{color[ffff]}。\n如果有想让世界各地的人看的照片，\n就{color[0000]}上传{color[ffff]}到这里吧！
ComWindow056_Select1	OK
ComWindow057_Info	已上传照片。
ComWindow057_Select1	OK
ComWindow058_Info	已从线上的我的页面中撤回了照片。
ComWindow058_Select1	OK
ComWindow059_Info	正在上传照片……\n请稍等片刻。\n{[0301|00cd]}％。
ComWindow060_Info	正在获取数据……
ComWindow061_Info	正在连接……\n请稍等片刻。
ComWindow064_Info	发生了网络错误。
ComWindow064_Select1	OK
ComWindow065_Info	可保存的照片数剩下0张，\n已无法继续拍摄。\n即将结束特殊拍摄。
ComWindow065_Select1	OK
ComWindow067_Info	保存数据的容量扩充失败。
ComWindow067_Select1	OK
ComWindow068_Info	照片上有尚未发现的主角或路线。\n确定要显示照片吗？
ComWindow068_Select1	是
ComWindow068_Select2	否
ComWindow069_Info	确定不给博士看照片就结束吗？
ComWindow069_Select1	是
ComWindow069_Select2	否
ComWindow070_Info	没有可以交给博士看的照片。\n即将结束。
ComWindow070_Select1	OK
ComWindow071_Info	{color[0800]}线上的注意事项{color[ffff]}{[0004]}在线上，其他玩家能够看到你的\n{color[0800]}名字{color[ffff]}、{color[0800]}个性签名{color[ffff]}、{color[0800]}上传的照片{color[ffff]}\n以及{color[0800]}标题{color[ffff]}等内容。\n\n请在游戏中避开不良行为。{[0004]}请不要上传含有违法、个人信息、\n或侵害他人权利的内容，\n以及会令人感到不快的内容。\n请不要做出令人感到不快的行为或作弊行为。{[0004]}《{color[0800]}Nintendo Account使用条款{color[ffff]}》适用于\n你上传的内容以及在游戏中的行为。\n一旦违反上述条款，该内容将有可能被删除，\n你的账号也可能会被限制线上连接。{[0004]}发现不恰当的内容时，你可以进行举报，\n但请勿做出与事实不符的举报。\n\n享受本游戏乐趣的同时，请务必\n遵守《{color[0800]}Nintendo Account使用条款{color[ffff]}》。
ComWindow071_Select1	继续
ComWindow075_Select1	OK
ComWindow076_Info	你可以在这里查看其他人的{color[0000]}个人信息{color[ffff]}。\n\n如果你发现了喜欢的照片，\n就送出{color[0000]}苹果徽章{color[ffff]}吧！{[0004]}如果看到了令你感到不快的内容，\n就用举报按键{color[0000]}举报{color[ffff]}对方吧。\n\n一旦{color[0000]}屏蔽{color[ffff]}了对方，画面上将不会再\n显示对方的名字、个性签名和照片了。
ComWindow076_Select1	继续
ComWindow076_Select2	OK
ComWindow077_Info	要撤回已赠送的苹果徽章吗？
ComWindow077_Select1	是
ComWindow077_Select2	否
ComWindow078_Info	请从研究室选择“线上”，\n并查看注意事项。
ComWindow078_Select1	OK
ComWindow080_Info	调查之后，你可以选择照片保存到\n位于{color[0000]}研究室{color[ffff]}的{color[0000]}我的空间{color[ffff]}内的{color[0000]}相册{color[ffff]}。\n使用{color[0000]}特殊拍摄{color[ffff]}，则可以更改设置\n重新拍摄一次照片。你试试看吧。
ComWindow080_Select1	OK
ComWindow081_Info	无法再上传更多的照片。\n请从线上的我的页面中撤回照片，\n腾出空间后再试一次。
ComWindow081_Select1	OK
ComWindow082_Info	没有可以显示的数据。\n更新排行榜可能需要一些时间。
ComWindow082_Select1	OK
ComWindow083_Info	要将照片上传至线上的我的页面吗？\n\n苹果徽章的个数将会重置。\n{color[0800]}已获得的苹果徽章总数不会减少。{color[ffff]}
ComWindow083_Select1	是
ComWindow083_Select2	否
EvaluationPhotoCaption_Info.msbt
EV_Mot_Unknown_01_PCap	？？？
EV_Mot_Unknown_02_PCap	？？？
EV_Mot_Unknown_03_PCap	？？？
EV_Mot_CloseUp_01_PCap	特写！
EV_Mot_CloseUp_02_PCap	近距离拍摄！
EV_Mot_CloseUp_03_PCap	靠得太近了？
EV_Mot_Com_001-005_Wait_01_PCap	很冷静啊
EV_Mot_Com_001-005_Wait_02_PCap	常见的状态
EV_Mot_Com_001-005_Wait_03_PCap	一如既往？
EV_Mot_Com_001-005_Wait_04_PCap	似乎和平时没两样？
EV_Mot_Com_001-005_Wait_05_PCap	悠闲～自在
EV_Mot_Com_006_Walk_01_PCap	它要去哪里呢？
EV_Mot_Com_007_Run_01_PCap	快点！快点！
EV_Mot_Com_008_Hit_01_PCap	撞到了！
EV_Mot_Com_009_Eat_01_PCap	用餐时间
EV_Mot_Com_010_Notice_01_PCap	在意四周的模样
EV_Mot_Com_011_Happy_01_PCap	心情愉悦
EV_Mot_Com_Ex_General_01_PCap	可能比较少见？
EV_Mot_Com_Ex_General_02_PCap	和平时的样子有些不同呢
EV_Mot_Com_Ex_General_03_PCap	这正是值得调查的行动吗？
EV_Mot_Com_Ex_General_04_PCap	放松中？
EV_Mot_Com_Ex_General_05_PCap	一切正常？
EV_Mot_Com_Ex_Sleep_01_PCap	休息时间
EV_Mot_Com_Ex_LongNotice_01_PCap	很在意的模样
EV_Mot_Com_Ex_Swim_01_PCap	轻快游泳～
EV_Mot_Com_Ex_Fly_01_PCap	飞行中
EV_Mot_Com_Ex_Music_01_PCap	它对声音有些在意吗？
EV_Mot_Sp_P001_01_PCap	它忘了什么东西吗？
EV_Mot_Sp_P001_02_PCap	用泥巴鱼冲浪？
EV_Mot_Sp_P001_04_PCap	爱美的样子
EV_Mot_Sp_P001_05_PCap	不要在小艇上玩～！
EV_Mot_Sp_P001_06_PCap	招牌姿势！
EV_Mot_Sp_P001_07_PCap	冲浪的皮卡丘
EV_Mot_Sp_P001_08_PCap	感情和睦
EV_Mot_Sp_P002_01_PCap	心情不悦
EV_Mot_Sp_P002_02_PCap	早啊～
EV_Mot_Sp_P003_01_PCap	最爱的树液
EV_Mot_Sp_P003_02_PCap	引以为豪的力量！
EV_Mot_Sp_P003_03_PCap	哪个更强呢？
EV_Mot_Sp_P004_01_PCap	哪个更强呢？
EV_Mot_Sp_P004_02_PCap	华丽登场！
EV_Mot_Sp_P005_01_PCap	烤得熟透看起来很好吃！
EV_Mot_Sp_P005_02_PCap	烤没了！
EV_Mot_Sp_P006_01_PCap	击掌！
EV_Mot_Sp_P006_02_PCap	打扮得很可爱！
EV_Mot_Sp_P006_04_PCap	亲密的休息时间
EV_Mot_Sp_P006_05_PCap	太棒了～！
EV_Mot_Sp_P007_01_PCap	朝向天空
EV_Mot_Sp_P007_02_PCap	华丽登场！
EV_Mot_Sp_P007_03_PCap	威吓中
EV_Mot_Sp_P008_03_PCap	亲密的休息时间
EV_Mot_Sp_P009_01_PCap	我会保护你
EV_Mot_Sp_P009_02_PCap	感情和睦的亲子
EV_Mot_Sp_P010_02_PCap	张开翅膀
EV_Mot_Sp_P010_04_PCap	大吃一惊！
EV_Mot_Sp_P011_01_PCap	咔嚓！
EV_Mot_Sp_P011_02_PCap	追逐玩耍
EV_Mot_Sp_P012_01_PCap	散步时间
EV_Mot_Sp_P012_02_PCap	快乐的舞蹈
EV_Mot_Sp_P012_03_PCap	被捉到了！
EV_Mot_Sp_P013_01_PCap	变硬！
EV_Mot_Sp_P013_02_PCap	倒下来了～
EV_Mot_Sp_P014_01_PCap	哭哭啼啼
EV_Mot_Sp_P014_02_PCap	真好吃～
EV_Mot_Sp_P015_01_PCap	跳得好！
EV_Mot_Sp_P015_02_PCap	被捉到了！
EV_Mot_Sp_P015_03_PCap	快逃啊～！
EV_Mot_Sp_P016_01_PCap	最爱的树液
EV_Mot_Sp_P016_02_PCap	打架中
EV_Mot_Sp_P016_03_PCap	反击～！
EV_Mot_Sp_P016_04_PCap	兴致勃勃
EV_Mot_Sp_P017_02_PCap	朝向天空
EV_Mot_Sp_P017_04_PCap	可爱的背影
EV_Mot_Sp_P018_01_PCap	感情和睦的亲子
EV_Mot_Sp_P019_01_PCap	烤得熟透看起来很好吃！
EV_Mot_Sp_P020_01_PCap	这个好吃吗？
EV_Mot_Sp_P020_02_PCap	大吃一惊！
EV_Mot_Sp_P021_01_PCap	威吓中
EV_Mot_Sp_P021_02_PCap	怒火爆发
EV_Mot_Sp_P022_01_PCap	给我东西吃！
EV_Mot_Sp_P022_02_PCap	给我东西吃！
EV_Mot_Sp_P022_03_PCap	换沙子中
EV_Mot_Sp_P022_04_PCap	爱干净
EV_Mot_Sp_P023_01_PCap	大吃一惊！
EV_Mot_Sp_P023_02_PCap	快逃啊～！
EV_Mot_Sp_P023_03_PCap	请来这边
EV_Mot_Sp_P026_01_PCap	正在吸取中？
EV_Mot_Sp_P026_02_PCap	幸福的心情
EV_Mot_Sp_P027_01_PCap	飞起来了～
EV_Mot_Sp_P027_02_PCap	哎呀呀！
EV_Mot_Sp_P028_01_PCap	威吓中
EV_Mot_Sp_P028_02_PCap	我发现好东西啦！
EV_Mot_Sp_P028_03_PCap	挖洞中
EV_Mot_Sp_P028_04_PCap	好可怕！
EV_Mot_Sp_P028_05_PCap	威吓中
EV_Mot_Sp_P029_01_PCap	威吓中
EV_Mot_Sp_P030_01_PCap	威吓中
EV_Mot_Sp_P030_02_PCap	沟通
EV_Mot_Sp_P031_01_PCap	感情和睦的亲子
EV_Mot_Sp_P032_01_PCap	筑巢
EV_Mot_Sp_P032_02_PCap	探头张望
EV_Mot_Sp_P032_03_PCap	游泳好舒服哦～
EV_Mot_Sp_P032_05_PCap	可爱的背影
EV_Mot_Sp_P034_01_PCap	霓光现象
EV_Mot_Sp_P034_02_PCap	飞行中
EV_Mot_Sp_P034_04_PCap	彩粉蝶之谷
EV_Mot_Sp_P035_01_PCap	有点可爱！
EV_Mot_Sp_P035_02_PCap	威吓中
EV_Mot_Sp_P036_01_PCap	龙之舞
EV_Mot_Sp_P036_02_PCap	要好好吃饭哦
EV_Mot_Sp_P037_01_PCap	力道十足的喷水
EV_Mot_Sp_P037_02_PCap	扑通～！
EV_Mot_Sp_P039_01_PCap	登上岩浆瀑布
EV_Mot_Sp_P039_02_PCap	让你大吃一惊～！
EV_Mot_Sp_P040_01_PCap	温柔的感觉
EV_Mot_Sp_P041_01_PCap	跳～高高！
EV_Mot_Sp_P041_02_PCap	感情和睦
EV_Mot_Sp_P041_03_PCap	载着皮卡丘
EV_Mot_Sp_P042_02_PCap	威吓中
EV_Mot_Sp_P042_03_PCap	大家一起来放松
EV_Mot_Sp_P044_01_PCap	四季各异
EV_Mot_Sp_P045_01_PCap	快乐的舞蹈
EV_Mot_Sp_P045_02_PCap	快乐的舞蹈
EV_Mot_Sp_P045_03_PCap	反击～！
EV_Mot_Sp_P046_01_PCap	挨骂了！
EV_Mot_Sp_P046_02_PCap	兴致勃勃
EV_Mot_Sp_P047_01_PCap	休息时间
EV_Mot_Sp_P047_02_PCap	四叶草
EV_Mot_Sp_P048_01_PCap	捉得好！
EV_Mot_Sp_P048_02_PCap	威吓中
EV_Mot_Sp_P048_03_PCap	好～吵哦！
EV_Mot_Sp_P049_01_PCap	猛撞～！
EV_Mot_Sp_P049_02_PCap	跳～高高！
EV_Mot_Sp_P050_01_PCap	挨揍了！
EV_Mot_Sp_P050_02_PCap	晒太阳
EV_Mot_Sp_P052_01_PCap	快乐的舞蹈
EV_Mot_Sp_P052_02_PCap	跳什么舞好呢～？
EV_Mot_Sp_P053_01_PCap	我要开～动啦！
EV_Mot_Sp_P053_02_PCap	大家嗨起来～！
EV_Mot_Sp_P054_01_PCap	发生冲突了？
EV_Mot_Sp_P054_02_PCap	追逐玩耍
EV_Mot_Sp_P054_03_PCap	哪个更快呢？
EV_Mot_Sp_P054_04_PCap	跳～高高！
EV_Mot_Sp_P054_05_PCap	追逐玩耍
EV_Mot_Sp_P055_02_PCap	飞起来了～
EV_Mot_Sp_P055_03_PCap	追逐玩耍
EV_Mot_Sp_P056_01_PCap	被捉到了！
EV_Mot_Sp_P056_02_PCap	依偎
EV_Mot_Sp_P056_03_PCap	粉粉的好可爱！
EV_Mot_Sp_P057_01_PCap	精准飞行
EV_Mot_Sp_P057_02_PCap	威吓中
EV_Mot_Sp_P057_03_PCap	它倒过来也能睡？
EV_Mot_Sp_P058_02_PCap	哭哭啼啼
EV_Mot_Sp_P059_01_PCap	用电回敬你～！
EV_Mot_Sp_P059_02_PCap	用泥巴鱼冲浪？
EV_Mot_Sp_P059_03_PCap	心情舒畅
EV_Mot_Sp_P060_01_PCap	像猎人一样
EV_Mot_Sp_P061_01_PCap	华丽绚烂！
EV_Mot_Sp_P061_02_PCap	快乐的舞蹈
EV_Mot_Sp_P062_01_PCap	月夜中的演唱会
EV_Mot_Sp_P062_02_PCap	优雅的玩乐
EV_Mot_Sp_P062_03_PCap	游得很好吧？
EV_Mot_Sp_P062_04_PCap	华丽一跃
EV_Mot_Sp_P063_01_PCap	打错对象了
EV_Mot_Sp_P063_02_PCap	会不会有东西掉下来呢～？
EV_Mot_Sp_P063_03_PCap	傀儡
EV_Mot_Sp_P063_04_PCap	争夺地盘
EV_Mot_Sp_P064_01_PCap	快吃嘛～！
EV_Mot_Sp_P064_02_PCap	白昼里的黑夜？
EV_Mot_Sp_P064_03_PCap	长嚎
EV_Mot_Sp_P064_04_PCap	威吓中
EV_Mot_Sp_P064_05_PCap	多愁善感
EV_Mot_Sp_P064_06_PCap	好激烈的战斗！
EV_Mot_Sp_P065_01_PCap	快乐的舞蹈
EV_Mot_Sp_P065_02_PCap	快乐的舞蹈
EV_Mot_Sp_P065_03_PCap	心情愉悦
EV_Mot_Sp_P066_01_PCap	争夺地盘
EV_Mot_Sp_P066_02_PCap	畅快之旅
EV_Mot_Sp_P066_03_PCap	要掉下来了！
EV_Mot_Sp_P067_01_PCap	带电中
EV_Mot_Sp_P067_02_PCap	怒火爆发
EV_Mot_Sp_P068_01_PCap	发射！
EV_Mot_Sp_P068_02_PCap	喷射～！
EV_Mot_Sp_P069_01_PCap	鼓舞的欢呼声
EV_Mot_Sp_P069_02_PCap	冲浪时间
EV_Mot_Sp_P069_03_PCap	高超技术
EV_Mot_Sp_P069_04_PCap	跳霹雳舞
EV_Mot_Sp_P070_01_PCap	美妙旋律
EV_Mot_Sp_P070_02_PCap	玩水
EV_Mot_Sp_P070_03_PCap	放松
EV_Mot_Sp_P071_01_PCap	哪个更快呢？
EV_Mot_Sp_P071_02_PCap	塑造成型了啊！
EV_Mot_Sp_P071_03_PCap	壮实的肌肉
EV_Mot_Sp_P071_04_PCap	强而有力的姿势
EV_Mot_Sp_P071_05_PCap	能完成100次俯卧撑吗？
EV_Mot_Sp_P072_02_PCap	心情愉悦
EV_Mot_Sp_P072_03_PCap	形象完美！
EV_Mot_Sp_P072_04_PCap	烤得熟透看起来很好吃！
EV_Mot_Sp_P075_01_PCap	心情愉悦
EV_Mot_Sp_P075_02_PCap	最爱的地方
EV_Mot_Sp_P076_01_PCap	休息时间
EV_Mot_Sp_P076_02_PCap	休息时间
EV_Mot_Sp_P076_03_PCap	快乐的舞蹈
EV_Mot_Sp_P076_04_PCap	冲击的瞬间！
EV_Mot_Sp_P076_05_PCap	威吓中
EV_Mot_Sp_P076_06_PCap	活力充沛！
EV_Mot_Sp_P077_01_PCap	心情愉悦
EV_Mot_Sp_P078_01_PCap	找茬
EV_Mot_Sp_P078_02_PCap	美～味！
EV_Mot_Sp_P079_01_PCap	追逐玩耍
EV_Mot_Sp_P079_02_PCap	我会保护你
EV_Mot_Sp_P079_03_PCap	闪闪发光的对吧？
EV_Mot_Sp_P080_01_PCap	反击～！
EV_Mot_Sp_P080_02_PCap	遭受电击全身酥麻！
EV_Mot_Sp_P080_03_PCap	快逃啊～！
EV_Mot_Sp_P081_01_PCap	打架中
EV_Mot_Sp_P081_02_PCap	心情不悦
EV_Mot_Sp_P082_01_PCap	配送中
EV_Mot_Sp_P083_01_PCap	幸福的心情
EV_Mot_Sp_P083_02_PCap	打架中
EV_Mot_Sp_P083_03_PCap	打架中
EV_Mot_Sp_P085_01_PCap	威吓中
EV_Mot_Sp_P085_02_PCap	大吃一惊！
EV_Mot_Sp_P086_01_PCap	快乐的舞蹈
EV_Mot_Sp_P086_02_PCap	快乐的舞蹈
EV_Mot_Sp_P086_03_PCap	不要告诉蜂女王
EV_Mot_Sp_P086_04_PCap	挨骂了！
EV_Mot_Sp_P087_01_PCap	太棒了～！
EV_Mot_Sp_P087_02_PCap	威吓中
EV_Mot_Sp_P087_03_PCap	都困到不行了～
EV_Mot_Sp_P088_01_PCap	畅快的空中之旅
EV_Mot_Sp_P088_02_PCap	嬉闹中
EV_Mot_Sp_P089_01_PCap	快乐的舞蹈
EV_Mot_Sp_P089_02_PCap	像个指挥家！
EV_Mot_Sp_P089_03_PCap	说教
EV_Mot_Sp_P090_01_PCap	冰晶
EV_Mot_Sp_P090_02_PCap	我生气了哦～！
EV_Mot_Sp_P091_01_PCap	用餐中
EV_Mot_Sp_P091_02_PCap	超凡跳跃！
EV_Mot_Sp_P092_01_PCap	心情愉悦
EV_Mot_Sp_P092_02_PCap	哭哭啼啼
EV_Mot_Sp_P092_03_PCap	昏昏欲睡
EV_Mot_Sp_P093_01_PCap	配送中
EV_Mot_Sp_P093_02_PCap	到达目的地！
EV_Mot_Sp_P094_01_PCap	你好
