advresult.dat
msg_ui_advresult_00_01	調查報告
advsp_cap_35	裡面似乎裝著[VAR 0109(0000)]等\n共[VAR 0201(0001)]種道具。\n發現後送回給[VAR 0100(0002)]了。
advsp_cap_36	裡面似乎裝著[VAR 0109(0000)]等\n共[VAR 0201(0001)]種道具。\n發現後送回給[VAR 0100(0002)]了。
advsp_cap_37	裡面似乎裝著[VAR 0109(0000)]等\n共[VAR 0201(0001)]種道具。\n[VAR 0100(0002)]發現後送回來了。
advsp_cap_38	裡面似乎裝著[VAR 0109(0000)]等\n共[VAR 0201(0001)]種道具。\n[VAR 0100(0002)]發現後送回來了。
advsp_cap_39	裡面裝著[VAR 0109(0000)]等\n共[VAR 0201(0001)]種道具。
advsp_cap_40	裡面裝著[VAR 0109(0000)]等\n共[VAR 0201(0001)]種道具。
advsp_cap_41	[VAR 0100(0000)]的遺失物
advsp_cap_42	查看紀錄
advsp_cap_43	沒有遺失物
advsp_win_01	[VAR 0100(0000)]\n獲得了[VAR 0202(0001)]友好點數！\c
advsp_win_02	謝謝[VAR 1100(00FF,0101)]你妳將[VAR 0100(0001)]的\n遺失物送來！\c
advsp_win_03	n/a
advsp_win_04	n/a
advsp_win_05	n/a
advsp_win_06	n/a
advsp_win_07	n/a
advsp_win_08	從[VAR 0100(0000)]那裡\n收到了遺失的道具。\c
advsp_win_09	n/a
advsp_win_10	收到了謝禮，要收下嗎？
advsp_win_11	已將遺失物送到道具盒了。\c\n[VAR 0100(0000)]，謝謝！\c
advsp_win_12	n/a
advsp_win_13	n/a
advsp_win_14	n/a
advsp_win_15	[VAR 0100(0002)]獲得了\n[VAR 0202(0001)]個[VAR 0109(0000)]！\c
advsp_win_16	[VAR 0100(0002)]獲得了\n[VAR 0202(0001)]個[VAR 0109(0000)]！\c
advsp_sel_01	收下
advsp_sel_02	查看裡面的東西
advsp_sel_03	取消
advsp_sel_04	是
advsp_sel_05	否
advsp_namel_01	皆雄
advsp_namel_02	皆子
advsp_namel_03	彿助
advsp_namel_04	彿子
advsp_namel_05	辰藏
advsp_namel_06	辰江
advsp_namel_07	金吉
advsp_namel_08	金美
advsp_name.dat
advsp_namel_01	皆雄
advsp_namel_02	皆子
advsp_namel_03	彿助
advsp_namel_04	彿子
advsp_namel_05	辰藏
advsp_namel_06	辰江
advsp_namel_07	金吉
advsp_namel_08	金美
another_name.dat
msg_another_name_00	卡洛斯冠軍[VAR 0102(0000)]
msg_another_name_01	冠軍[VAR 0102(0000)]
msg_another_name_02	神奧冠軍[VAR 0102(0000)]
msg_another_name_03	摯友[VAR 0102(0000)]
msg_another_name_04	一起接受過試煉的[VAR 0102(0000)]
msg_another_name_05	經驗老到的[VAR 0102(0000)]
msg_another_name_06	高手[VAR 0102(0000)]
msg_another_name_07	那時很努力的[VAR 0102(0000)]
msg_another_name_08	那天精神抖擻的[VAR 0102(0000)]
msg_another_name_09	以前是膽小鬼的[VAR 0102(0000)]
msg_another_name_10	有著傷心過去的[VAR 0102(0000)]
msg_another_name_11	也曾犯錯的[VAR 0102(0000)]
msg_another_name_12	那天神清氣爽的[VAR 0102(0000)]
msg_another_name_13	總是在睡覺的[VAR 0102(0000)]
msg_another_name_14	笑口常開的[VAR 0102(0000)]
msg_another_name_15	豪華[VAR 0102(0000)]
msg_another_name_16	皇家[VAR 0102(0000)]
msg_another_name_17	豪華＆皇家[VAR 0102(0000)]
msg_another_name_18	成為繪畫模特兒的[VAR 0102(0000)]
msg_another_name_19	以自己的腳印為傲的[VAR 0102(0000)]
msg_another_name_20	保持紀錄的[VAR 0102(0000)]
msg_another_name_21	保持厲害紀錄的[VAR 0102(0000)]
msg_another_name_22	優勝者[VAR 0102(0000)]
msg_another_name_23	克服了困難的[VAR 0102(0000)]
msg_another_name_24	１００連勝的[VAR 0102(0000)]
msg_another_name_25	稱霸世界的[VAR 0102(0000)]
msg_another_name_26	喜歡寶可夢的[VAR 0102(0000)]
msg_another_name_27	度過了紀念日的[VAR 0102(0000)]
msg_another_name_28	參加了活動的[VAR 0102(0000)]
msg_another_name_29	總是在一起的[VAR 0102(0000)]
msg_another_name_30	特別日子裡的[VAR 0102(0000)]
msg_another_name_31	精彩回憶裡的[VAR 0102(0000)]
msg_another_name_32	夢想成真的[VAR 0102(0000)]
msg_another_name_33	對戰冠軍[VAR 0102(0000)]
msg_another_name_34	地區冠軍[VAR 0102(0000)]
msg_another_name_35	國家冠軍[VAR 0102(0000)]
msg_another_name_36	世界冠軍[VAR 0102(0000)]
msg_another_name_37	輝煌回憶裡的[VAR 0102(0000)]
msg_another_name_38	熱血回憶裡的[VAR 0102(0000)]
msg_another_name_39	豐緣冠軍[VAR 0102(0000)]
msg_another_name_40	傳奇明星[VAR 0102(0000)]
msg_another_name_41	曾是明星的[VAR 0102(0000)]
msg_another_name_42	當時美麗動人的[VAR 0102(0000)]
msg_another_name_43	曾是偶像的[VAR 0102(0000)]
msg_another_name_44	被稱作天才的[VAR 0102(0000)]
msg_another_name_45	曾經渾身肌肉的[VAR 0102(0000)]
msg_another_name_46	阿羅拉冠軍[VAR 0102(0000)]
msg_another_name_47	皇家大師[VAR 0102(0000)]
msg_another_name_48	對戰樹贏家[VAR 0102(0000)]
msg_another_name_49	對戰樹大師[VAR 0102(0000)]
msg_another_name_50	伽勒爾冠軍[VAR 0102(0000)]
msg_another_name_51	對戰塔大師[VAR 0102(0000)]
msg_another_name_52	級別對戰大師[VAR 0102(0000)]
msg_another_name_53	肚子餓扁了的[VAR 0102(0000)]
msg_another_name_54	想睡覺的[VAR 0102(0000)]
msg_another_name_55	開始犯睏的[VAR 0102(0000)]
msg_another_name_56	很早就醒來的[VAR 0102(0000)]
msg_another_name_57	盯著雲看的[VAR 0102(0000)]
msg_another_name_58	在雨中哽咽的[VAR 0102(0000)]
msg_another_name_59	對打雷大呼小叫的[VAR 0102(0000)]
msg_another_name_60	在雪裡打滾的[VAR 0102(0000)]
msg_another_name_61	凍得發抖的[VAR 0102(0000)]
msg_another_name_62	喉嚨乾渴的[VAR 0102(0000)]
msg_another_name_63	滿身沙子的[VAR 0102(0000)]
msg_another_name_64	對霧感到困惑的[VAR 0102(0000)]
msg_another_name_65	命中注定的[VAR 0102(0000)]
msg_another_name_66	剛釣上來活蹦亂跳的[VAR 0102(0000)]
msg_another_name_67	喜歡咖哩的[VAR 0102(0000)]
msg_another_name_68	不怕人的[VAR 0102(0000)]
msg_another_name_69	沒見過人類的[VAR 0102(0000)]
msg_another_name_70	脾氣暴躁的[VAR 0102(0000)]
msg_another_name_71	腦袋空空的[VAR 0102(0000)]
msg_another_name_74	心跳不已的[VAR 0102(0000)]
msg_another_name_75	興奮的[VAR 0102(0000)]
msg_another_name_76	感覺到氣場的[VAR 0102(0000)]
msg_another_name_77	酷酷的[VAR 0102(0000)]
msg_another_name_78	好鬥的[VAR 0102(0000)]
msg_another_name_79	在發呆的[VAR 0102(0000)]
msg_another_name_80	看起來很幸福的[VAR 0102(0000)]
msg_another_name_81	氣呼呼的[VAR 0102(0000)]
msg_another_name_82	笑瞇瞇的[VAR 0102(0000)]
msg_another_name_83	淚汪汪的[VAR 0102(0000)]
msg_another_name_84	心情好的[VAR 0102(0000)]
msg_another_name_85	心情不好的[VAR 0102(0000)]
msg_another_name_86	聰慧的[VAR 0102(0000)]
msg_another_name_87	狂暴的[VAR 0102(0000)]
msg_another_name_88	伺機而動的[VAR 0102(0000)]
msg_another_name_89	粗獷的[VAR 0102(0000)]
msg_another_name_90	溫柔的[VAR 0102(0000)]
msg_another_name_91	慌慌張張的[VAR 0102(0000)]
msg_another_name_92	充滿幹勁的[VAR 0102(0000)]
msg_another_name_93	毫無幹勁的[VAR 0102(0000)]
msg_another_name_94	囂張跋扈的[VAR 0102(0000)]
msg_another_name_95	缺乏自信的[VAR 0102(0000)]
msg_another_name_96	樸素的[VAR 0102(0000)]
msg_another_name_97	裝模作樣的[VAR 0102(0000)]
msg_another_name_98	精力充沛的[VAR 0102(0000)]
msg_another_name_99	看似疲憊的[VAR 0102(0000)]
app_common.dat
msg_common_18_keywait	[~ 0]
msg_common_28_keywait	[~ 1]
msg_common_01	[~ 2]
msg_common_02	[~ 3]
msg_common_03	[~ 4]
msg_common_04	[~ 5]
msg_common_05	[~ 6]
msg_common_06	[~ 7]
msg_common_07	[~ 8]
msg_common_08	[~ 9]
msg_common_08_02	[~ 10]
msg_common_09	[~ 11]
msg_common_10	[~ 12]
msg_common_11	[~ 13]
msg_common_11_02	[~ 14]
msg_common_12	[~ 15]
msg_common_12_02	[~ 16]
msg_common_14	[~ 17]
msg_common_16	[~ 18]
msg_common_16_02	[~ 19]
msg_common_16_04	[~ 20]
msg_common_16_05	[~ 21]
msg_common_16_07	[~ 22]
msg_common_18	[~ 23]
msg_common_18_02	[~ 24]
msg_common_18_03	[~ 25]
msg_common_18_04	[~ 26]
msg_common_18_05	[~ 27]
msg_common_18_07	[~ 28]
msg_common_18_10	[~ 29]
msg_common_20	[~ 30]
msg_common_20_02	[~ 31]
msg_common_20_03	[~ 32]
msg_common_21_03	[~ 33]
msg_common_22	[~ 34]
msg_common_22_02	[~ 35]
msg_common_23	[~ 36]
msg_common_23_02	[~ 37]
msg_common_24	[~ 38]
msg_common_24_03	[~ 39]
msg_common_24_05	[~ 40]
msg_common_24_10	[~ 41]
msg_common_25	[~ 42]
msg_common_32	[~ 43]
msg_common_S_01	[~ 44]
msg_common_S_02	[~ 45]
msg_common_S_03	[~ 46]
msg_common_S_04	[~ 47]
msg_common_S_05	[~ 48]
msg_common_S_06	[~ 49]
msg_common_S_07	[~ 50]
msg_common_S_08	[~ 51]
msg_common_S_09	[~ 52]
msg_common_S_10	[~ 53]
msg_common_S_12	[~ 54]
msg_common_S_16	[~ 55]
msg_common_Switch_Huge	[~ 56]
asinfo.dat
asinfo_01	正在寫入紀錄……
asinfo_02	本遊戲具備自動紀錄功能，\n會在顯示「正在寫入紀錄……」時，\n自動進行儲存。
bag.dat
msg_ui_bag_okodukai_00	盤纏
msg_ui_bag_okodukai_01	[VAR 0206(0000,0000)]
msg_ui_bag_category	[VAR 0112(0000)]
msg_ui_bag_itemname	[VAR 0109(0000)]
msg_ui_bag_lv_00	Lv.[VAR 0202(0000)]
msg_ui_bag_pokename	[VAR 0102(0000)]
msg_ui_bag_hp_01	/
msg_ui_bag_hp_02	[VAR 0203(0000,0000)]
msg_ui_bag_hp_03	[VAR 0203(0000,0000)]
msg_ui_bag_wazamachine_power	威力
msg_ui_bag_wazamachine_power_00	[VAR 0202(0000)]
msg_ui_bag_wazamachine_hit	命中
msg_ui_bag_wazamachine_power_01	[VAR 0202(0000)]
msg_ui_bag_wazamachine_nodata	-
msg_ui_bag_wazamachine_pp	PP
msg_ui_bag_wazamachine_pp_00	[VAR 0201(0000)]
msg_ui_bag_pp_00	[VAR 0201(0000)]/[VAR 0201(0001)]
msg_ui_bag_itemname_list	[VAR 0109(0000)]
msg_ui_bag_itemcount_00	×
msg_ui_bag_itemcount_01	[VAR 0202(0000)]
msg_ui_bag_option_decision	確定
msg_ui_bag_option_return	返回
msg_ui_bag_option_favorite	我的最愛
msg_ui_bag_option_sort	整理腰包
msg_ui_bag_noitem	空空如也
msg_ui_bag_wazamashine_msg_00	要對哪隻寶可夢使用？
msg_ui_bag_wazamashine_msg_01	[VAR 0107(0001)]不適合\n[VAR 0102(0000)]！\c\n無法學會[VAR 0107(0001)]！\c
msg_ui_bag_wazamashine_msg_02	[VAR 0102(0000)]原本就已經\n學會了[VAR 0107(0001)]。\c
msg_ui_bag_wazamashine_msg_05	啟動了招式學習器！\c
msg_ui_bag_wazamashine_msg_06	[VAR 0102(0000)]\n學會了[VAR 0107(0001)]！[VAR BE05(0004)][VAR BE05(0001)]\c
msg_ui_bag_wazamashine_msg_07	[VAR 0102(0000)]想要學習\n[VAR 0107(0001)]……\c\n為了學習[VAR 0107(0001)]，\n要忘記其他的招式嗎？
msg_ui_bag_wazamashine_msg_08	１[WAIT 20]、２[WAIT 20]…[WAIT 20]…[WAIT 20]空！[VAR BE05(0003)][VAR BE05(0000)]\c\n[VAR 0102(0000)]把[VAR 0107(0001)]\n的使用方法忘得一乾二淨了！\c\n於是……！\c\n[VAR 0102(0000)]學會了\n[VAR 0107(0002)]！[VAR BE05(0004)][VAR BE05(0001)]\c
msg_ui_bag_wazamashine_msg_09	[VAR 0102(0000)]最終沒有學會\n[VAR 0107(0001)]！\c
msg_ui_bag_wazamashine_msg_10	為了學習[VAR 0107(0000)]，\n請選擇要忘記的招式！\c
msg_ui_bag_wazamashine_msg_11	已啟動招式紀錄。\c
msg_ui_bag_wazamashine_msg_12	招式紀錄\n只能使用一次。\c
msg_ui_bag_wazamashine_msg_13	[VAR 0107(0000)]的\n招式紀錄已損壞。\c
msg_ui_bag_wazamashine_msg_14	招式紀錄將會損壞，\n確定要繼續嗎？
msg_ui_bag_wazamashine_msg_15	是
msg_ui_bag_wazamashine_msg_16	否
msg_ui_bag_wazamashine_memory_00	[VAR FF00(0002)]能學習！[VAR FF00(0000)]
msg_ui_bag_wazamashine_memory_01	[VAR FF00(0001)]不能學習[VAR FF00(0000)]
msg_ui_bag_wazamashine_memory_02	已學會
msg_ui_bag_tokuseicapsule_00	[VAR FF00(0002)]能使用[VAR FF00(0000)]
msg_ui_bag_tokuseicapsule_01	[VAR FF00(0001)]不能使用[VAR FF00(0000)]
msg_ui_bag_shop_01	[VAR 0202(0000)]
msg_ui_bag_shop_02	×
msg_ui_bag_shop_03	[VAR 0207(0000,0000)]
msg_ui_bag_shop_04	收購價
msg_ui_bag_shop_05	那麼，我用[VAR 0207(0000,0000)]\n跟您收購吧。\c\n確定要賣嗎？
msg_ui_bag_shop_06	是
msg_ui_bag_shop_07	否
msg_ui_bag_shop_08	---
msg_ui_bag_shop_09	要賣出多少個[VAR 0109(0000)]？
msg_ui_bag_shop_10	無法收購[VAR 0109(0000)]。\c
msg_ui_bag_shop_11	交出[VAR 0109(0000)]，\n獲得了[VAR 0207(0001,0000)]。\c
msg_ui_bag_shop_11_s	交出[VAR 0109(0000)]，\n獲得了[VAR 0207(0001,0000)]。\c
msg_ui_bag_shop_12_01	[~ 57]
msg_ui_bag_shop_12_02	[~ 58]
msg_ui_bag_sort_00	按種類排序
msg_ui_bag_sort_01	按名稱排序
msg_ui_bag_sort_02	NEW
msg_ui_bag_sort_03	按編號排序
msg_ui_bag_sort_04	我的最愛
msg_ui_bag_sort_05	退出
msg_ui_bag_sort_msg_00	要更改成哪種排序？
msg_ui_bag_sort_msg_01	按種類排序整理了持有物！\c
msg_ui_bag_sort_msg_02	按名稱排序整理了持有物！\c
msg_ui_bag_sort_msg_03	按編號排序整理了持有物！\c
msg_ui_bag_sort_msg_04	將我的最愛\n整理到列表上方了！\c
msg_ui_bag_sort_msg_05	將新獲得的持有物\n整理到列表上方了！\c
msg_ui_bag_use	使用
msg_ui_bag_have	攜帶
msg_ui_bag_leave	取消
msg_ui_bag_use_msg_01	[VAR 0102(0000)]的體力回復了[VAR 0202(0001)]！\c
msg_ui_bag_use_msg_02	[VAR 0102(0000)]恢復了活力！\c
msg_ui_bag_use_msg_03	[VAR 0102(0000)]中的毒消失得一乾二淨了！\c
msg_ui_bag_use_msg_04	[VAR 0102(0000)]身上的麻痺解除了！\c
msg_ui_bag_use_msg_05	[VAR 0102(0000)]的灼傷痊癒了！\c
msg_ui_bag_use_msg_06	[VAR 0102(0000)]身上的冰融化了！\c
msg_ui_bag_use_msg_08	[VAR 0102(0000)]醒過來了！\c
msg_ui_bag_use_msg_09	[VAR 0102(0000)]恢復健康了！\c
msg_ui_bag_use_msg_10	[VAR 0102(0000)]的[VAR 010D(0001)]\n基礎點數上升了！\c
msg_ui_bag_use_msg_11	和[VAR 0102(0000)]變得親密了一些！\c\n[VAR 010D(0001)]的基礎點數下降了！\c
msg_ui_bag_use_msg_12	和[VAR 0102(0000)]變得無比親密了！\c\n[VAR 010D(0001)]的基礎點數下降了！\c
msg_ui_bag_use_msg_13	和[VAR 0102(0000)]變得親密了一些！\c\n[VAR 010D(0001)]的基礎點數\n已經不能再降低了！\c
msg_ui_bag_use_msg_14	[VAR 0100(0000)]\n使用了[VAR 0109(0001)]！\c
msg_ui_bag_use_msg_15	之前使用的噴霧效果還沒消失！\c
msg_ui_bag_use_msg_16	讓寶可夢攜帶了[VAR 0109(0000)]！\c
msg_ui_bag_use_msg_17	收回[VAR 0109(0000)]，\n並讓寶可夢攜帶了[VAR 0109(0001)]！\c
msg_ui_bag_use_msg_19	現在使用沒有效果。\c
msg_ui_bag_use_msg_20	博士說過……\n[VAR 0100(0000)]！這種東西\r\n是要看場合來使用的啊。\c
msg_ui_bag_use_msg_21	沒有寶可夢！\c
msg_ui_bag_use_msg_22	要對哪隻寶可夢使用？
msg_ui_bag_use_msg_23	要讓哪隻寶可夢攜帶？
msg_ui_bag_use_msg_24	蛋無法攜帶道具。\c
msg_ui_bag_use_msg_25	ＰＰ回復了！\c
msg_ui_bag_use_msg_26	要把[VAR 0109(0000)]\n替換成[VAR 0109(0001)]嗎？
msg_ui_bag_use_msg_27	要回復哪個招式的ＰＰ？
msg_ui_bag_use_msg_28	要增加哪個招式的ＰＰ？
msg_ui_bag_use_msg_29	[VAR 0107(0000)]的ＰＰ增加了！\c
msg_ui_bag_use_msg_30	包包已滿，無法收回道具！\c
msg_ui_bag_use_msg_32	ＰＰ回復了！\c
msg_ui_bag_use_msg_39	不能對瀕死的寶可夢使用。\c
msg_ui_bag_use_msg_43	同行的隊伍已滿，無法分離。\c
msg_ui_bag_waza_00	[VAR 0107(0000)]
msg_ui_bag_use_union_msg_00	無法與瀕死的寶可夢合體。\c
msg_ui_bag_use_union_msg_01	無法與這隻寶可夢合體。\c
msg_ui_bag_use_union_msg_02	無法與蛋合體。\c
msg_ui_bag_use_union_msg_03	同行的隊伍已滿，無法分離。\c
msg_ui_bag_use_union_msg_04	[VAR 0101(0000)]的模樣改變了！\c
msg_ui_bag_use_union_msg_05	要和哪隻寶可夢合體？
msg_ui_bag_use_union_msg_08	[VAR 0102(0000)]忘記了\n[VAR 0107(0001)]……\c
msg_ui_bag_use_special_msg_00	要變更[VAR 0102(0000)]的特性嗎？
msg_ui_bag_use_special_msg_01	[VAR 0102(0000)]的特性\n變成了[VAR 0106(0001)]！[VAR BE05(0005)][VAR BE05(0001)]\c
msg_ui_bag_lvup_00	攻擊
msg_ui_bag_lvup_01	防禦
msg_ui_bag_lvup_02	特攻
msg_ui_bag_lvup_03	特防
msg_ui_bag_lvup_04	速度
msg_ui_bag_lvup_05	[VAR 0202(0000)]
msg_ui_bag_lvup_06	+[VAR 0201(0000)]
msg_ui_bag_lvup_07	HP
msg_ui_bag_use_msg_48	要改變[VAR 0102(0000)]的能力嗎？
msg_ui_bag_use_msg_49	因為[VAR 0109(0000)]的效果，\n[VAR 0102(0001)]的能力\r\n似乎產生了變化！[VAR BE05(0005)][VAR BE05(0001)]\c
msg_ui_bag_use_msg_50	要用幾個[VAR 0109(0001)]？
msg_ui_bag_use_msg_51	極巨化等級\n提升了[VAR 0201(0000)]級！\c
msg_ui_bag_use_msg_52	要用幾個[VAR 0109(0001)]？
msg_ui_bag_use_msg_53	無法從包包裡騎自行車。\c
msg_ui_bag_use_msg_54	無法從包包裡釣魚。\c
msg_ui_bag_use_msg_55	無法從包包裡\n使用寶可夢盒！\c
msg_ui_bag_use_msg_56	燈泡
msg_ui_bag_use_msg_57	微波爐
msg_ui_bag_use_msg_58	洗衣機
msg_ui_bag_use_msg_59	冰箱
msg_ui_bag_use_msg_60	電風扇
msg_ui_bag_use_msg_61	割草機
msg_ui_bag_use_msg_62	要訂購哪種電器呢？
msg_ui_bag_use_msg_63	在曠野地帶的巨巢中\n出現了[VAR 0101(0000)]！\c
msg_ui_bag_use_msg_64	在巨巢中\n已經出現了寶可夢。\c
msg_ui_bag_use_msg_65	n/a
msg_ui_bag_use_msg_66	n/a
msg_ui_bag_use_msg_67	n/a
msg_ui_bag_use_msg_68	n/a
msg_ui_bag_use_msg_69	……哦！？\n[VAR 0102(0000)]的樣子……！
msg_ui_bag_use_msg_70	繼續守望
msg_ui_bag_use_msg_71	取消
msg_ui_bag_use_msg_72	非勝利不可！\c
msg_ui_bag_use_msg_73	查看能力
msg_ui_bag_use_msg_74	進化
msg_ui_bag_esc_msg_00	真的要放生嗎？
msg_ui_bag_esc_msg_01	已將[VAR 0102(0000)]放生了。\n再見，[VAR 0102(0000)]。\c
msg_ui_bag_esc_msg_02	蛋無法放生！\c
msg_ui_bag_esc_msg_03	這樣就沒有可戰鬥的寶可夢了！\c
msg_ui_bag_dump_02	要丟棄幾個[VAR 0109(0000)]？
msg_ui_bag_dump_04	丟棄
msg_ui_bag_dump_03	查看能力
msg_ui_bag_optionbar_00	選擇
msg_ui_bag_optionbar_01	替換
msg_ui_bag_optionbar_02	返回
msg_ui_bag_optionbar_03	分１個
msg_ui_bag_optionbar_04	置放
msg_ui_bag_optionbar_05	取消
msg_ui_bag_use_msg_75	[VAR 0102(0000)]\n獲得了經驗值！\c
msg_ui_bag_use_msg_76	[VAR 0102(0000)]的\n等級提升了！\c
msg_ui_bag_use_msg_77	[VAR 0102(0000)]\n能夠進化了！\c
msg_ui_bag_use_msg_78	[VAR 0102(0000)]靈光一閃\n想到了新招式！\c
msg_ui_bag_use_msg_79	確定要繼續嗎？
msg_ui_bag_use_msg_80	要鍛鍊哪項能力？
msg_ui_bag_use_msg_81	已經鍛鍊到極限了！\c
msg_ui_bag_use_msg_82	[VAR 0102(0000)]的[VAR 010D(0001)]的\n奮鬥等級提升了！\c
msg_ui_bag_use_msg_83	無法用這個道具來鍛鍊！\c
msg_ui_bag_use_msg_84	現在無法使用。\c
msg_ui_bag_use_msg_85	變得不容易\n被寶可夢發現了！\c
msg_ui_bag_use_msg_86	放牧場已滿。\n現在無法捕捉寶可夢！\c
msg_ui_bag_use_msg_87	之前使用的噴霧效果還沒消失！\c
msg_ui_bag_waza_01	[VAR 0201(0000)]
msg_ui_bag_waza_02	/
msg_ui_bag_waza_03	[VAR 0201(0000)]
msg_ui_bag_use_msg_88	要精通哪個招式？
msg_ui_bag_use_msg_89	[VAR 0102(0000)]\n精通了招式！\c
msg_ui_bag_glv_00	奮鬥等級
msg_ui_bag_glv_01	[VAR 0201(0000)]
msg_ui_bag_check	查看
msg_ui_bag_use_msg_90	現在無法進化。\c
msg_ui_bag_senyou_menu_leave	取消
msg_ui_bag_expup	+[VAR 0206(0000,0000)]
msg_ui_bag_use_msg_91	[VAR 0102(0000)]的凍傷痊癒了！\c
msg_ui_bag_use_msg_92	[VAR 0102(0000)]的睡意消失了！\c
msg_ui_bag_next_exp	[VAR 0206(0000,0000)]
msg_ui_bag_use_msg_93	非勝利不可！\c
msg_ui_bag_use_msg_94	整理了腰包！\c
msg_ui_bag_use_msg_89_s	[VAR 0102(0000)]\n精通了招式！\c
msg_ui_bag_use_msg_78_s	[VAR 0102(0000)]靈光一閃\n想到了新招式！\c
bagresult.dat
msg_ui_bagresult_01_01	n/a
msg_ui_bagresult_01_02	n/a
msg_ui_bagresult_02_01	n/a
msg_ui_bagresult_02_02	n/a
msg_ui_bagresult_02_03	n/a
msg_ui_bagresult_02_04	n/a
msg_ui_bagresult_02_10	n/a
msg_ui_bagresult_02_11	n/a
msg_ui_bagresult_03_01	n/a
msg_ui_bagresult_03_02	n/a
msg_ui_bagresult_03_03	n/a
msg_ui_bagresult_03_04	n/a
msg_ui_bagresult_03_05	[~ 12]
msg_ui_bagresult_03_06	[~ 13]
msg_ui_bagresult_03_07	[~ 14]
msg_ui_bagresult_03_11	n/a
msg_ui_bagresult_03_12	n/a
msg_ui_bagresult_04_01	[~ 17]
msg_ui_bagresult_04_02	n/a
msg_ui_bagresult_04_03	[~ 19]
msg_ui_bagresult_04_04	[~ 20]
msg_ui_bagresult_04_05	[~ 21]
msg_ui_bagresult_04_06	n/a
msg_ui_bagresult_04_11	n/a
msg_ui_bagresult_04_12	n/a
msg_ui_bagresult_04_13	[~ 25]
msg_ui_bagresult_04_14	n/a
msg_ui_bagresult_04_15	[~ 27]
msg_ui_bagresult_04_16	n/a
