MESS_ARCHIVE_Amiibo


Message Name: Message


MID_amiibo_初回シーケンス_成功: amiiboメニューが開放されました！
MID_NFP_エラー_作成中_タグ破損: 作成中にエラーが発生しました。\namiiboのデータが壊れた可能性があります。\nデータを復旧しますか？
MID_NFP_エラー_タグ未破損: amiiboのデータが壊れていなかったため\n復旧する必要はありませんでした。
MID_NFP_エラー_復旧不能: バックアップデータへのアクセスに失敗しました。\nこのamiiboを復旧することはできません。
MID_NFP_エラー作成済み: すでに、「FIRE EMBLEM Echoes\nもうひとりの英雄王」のデータが\n作成されていました。
MID_amiibo_NFCR&W_更新が必要: NFCリーダー/ライターの更新が必要です。\nHOMEメニュー設定のamiibo設定から\n更新をすることができます。
MID_NFP_エラー_復旧中_書き込みエラー: 復旧中にエラーが発生したため\namiiboのデータが正しく復旧できなかった\n可能性があります。
MID_NFP_エラー_汎用失敗: 処理に失敗しました。\nもう一度やり直してみてください。
MID_NFP_エラー_対象外: タッチしたamiiboは\n読み込みに対応していません。\namiiboをミラの歯車から離してください。
MID_NFP_エラー_対象外_CTR: タッチしたamiiboは\n読み込みに対応していません。\namiiboをNFCエリアから離してください。
MID_NFP_エラー_セリカ_書き込めない: 現在セリカのamiiboに書き込みを\n行うことはできません。\n（物語を進めると書き込みできるようになります。）
MID_NFP_書き込み確認: $a$a0の強さを\namiiboに上書きしますか？
MID_NFP_復旧確認: amiiboのデータが壊れています。\nデータを復旧しますか？
MID_NFP_作成確認: amiiboに「FIRE EMBLEM Echoes\nもうひとりの英雄王」のデータがありません。\nデータを作成しますか？
MID_NFP_削除確認: amiiboに他のゲームのデータが\n作成されているため、書き込むことができません。\namiibo設定を起動し、amiiboに書き込まれている\n他のゲームのデータを削除しますか？
MID_NFP_登録確認: オーナー情報が登録されていません。\n登録しますか？
MID_NFP_データ未設定: 未登録
MID_NFP_書込成功: 書き込みに成功しました！
MID_NFP_復旧成功: 復旧に成功しました！
MID_NFP_作成成功: 「FIRE EMBLEM Echoes\nもうひとりの英雄王」のデータを作成しました！
