MESS_ARCHIVE_Item


Message Name: Message


MIID_不明: 不明なアイテム
MIID_聖なる指輪: 聖なる指輪
MIID_天使の指輪: 天使の指輪
MIID_速さの指輪: 速さの指輪
MIID_魔道の指輪: 魔道の指輪
MIID_祈りの指輪: 祈りの指輪
MIID_奥義書: グリモワール
MIID_サンゴの指輪: サンゴの指輪
MIID_ミラの指輪: ミラの指輪
MIID_怨嗟の指輪: 怨嗟の指輪
MIID_悪魔の指輪: 悪魔の指輪
MIID_形見の指輪: 形見の指輪
MIID_小さな歯車: 小さな歯車
MIID_ミラの歯車(アルム): ミラの歯車
MIID_ミラの歯車(セリカ): ミラの歯車
MIID_ミラの歯車: ミラの歯車
MIID_お土産の人形: お土産の人形
MIID_ガーゴイルの耳: ガーゴイルの耳
MIID_銀の盆: 銀の盆
MIID_牢獄の鍵: 牢獄の鍵
MIID_透明なひげ: 透明なひげ
MIID_スケルトン油: スケルトン油
MIID_竜のうろこ: 竜のうろこ
MIID_リマ家の腕輪: リマ家の腕輪
MIID_息子の日記: 息子の日記
MIID_木彫りのクマ: 木彫りのクマ
MIID_木彫りのミラ: 木彫りのミラ
MIID_木彫りのドーマ: 木彫りのドーマ
MIID_サンゴのかけら: サンゴのかけら
MIID_黒真珠: 黒真珠
MIID_扉の鍵: 扉の鍵
MIID_牢屋の鍵: 牢屋の鍵
MIID_赤い三角帽子: 赤い三角帽子
MIID_怪しい仮面: 怪しい仮面
MIID_ドーマの兜: ドーマの兜
MIID_ミラの髪飾り: ミラの髪飾り
MIID_エール: エール
MIID_のみかけのエール: のみかけのエール
MIID_スープ: スープ
MIID_さめたスープ: さめたスープ
MIID_葡萄酒: 葡萄酒
MIID_にんにく: にんにく
MIID_ラムの葡萄酒: ラムの葡萄酒
MIID_飲み水: 飲み水
MIID_ドーマのコケ: ドーマのコケ
MIID_ニシン: ニシン
MIID_ダゴンのきりみ: ダゴンのきりみ
MIID_発酵乳: 発酵乳
MIID_薬草のリキュール: 薬草のシロップ
MIID_オレンジ: オレンジ
MIID_異国のスパイス: 異国のスパイス
MIID_ソーセージ: ソーセージ
MIID_タテウオのひもの: タテウオのひもの
MIID_にんじん: にんじん
MIID_バター: バター
MIID_はちみつ: はちみつ
MIID_ハム: ハム
MIID_パン: パン
MIID_かじったパン: かじったパン
MIID_パンのかけら: パンのかけら
MIID_かたいパン: かたいパン
MIID_ほしにく: ほしにく
MIID_なまにく: なまにく
MIID_マナの草: マナの草
MIID_小麦粉: 小麦粉
MIID_穴あきチーズ: 穴あきチーズ
MIID_青カビチーズ: 青カビチーズ
MIID_スイートクッキー: スイートクッキー
MIID_聖獣のチーズ: 聖獣のチーズ
MIID_ネクタル: ネクタル
MIID_生命の木の実: 生命の木の実
MIID_アンブロシア: アンブロシア
MIID_黄金のリンゴ: 黄金のリンゴ
MIID_ソーマ: ソーマ
MIID_冥府のざくろ: 冥府のざくろ
MIID_金貨: 覇者の金貨
MIID_金貨袋: 金貨の袋
MIID_錆びた剣_鋼: 錆びた剣
MIID_錆びた槍_鋼: 錆びた槍
MIID_錆びた弓_鋼: 錆びた弓
MIID_錆びた盾_鉄: 錆びた盾
MIID_錆びた盾_鋼: 錆びた盾
MIID_錆びた斧_悪魔: 錆びた斧
MIID_銀貨: 銀貨
MIID_銀貨袋（小）: 銀貨の袋
MIID_銀貨袋（中）: 銀貨の中袋
MIID_銀貨袋（大）: 銀貨の大袋
MIID_記憶の欠片: 記憶の欠片
MIID_ブーツ: ブーツ
MIID_セブンソード: セブンソード
MIID_イレブンシールド: イレブンシールド
MIID_コラボの食べ物１: サラダチキン
MIID_コラボの食べ物２: うるもち食パン
MIID_コラボの食べ物３: うま辛チキン
MIID_コラボの食べ物４: ミルクレープ
MIID_コラボの食べ物５: 揚げ鶏ブラック
MIID_コラボの食べ物６: 純粋はちみつ
MIID_H_不明: 破損した追加コンテンツです\n再ダウンロードしてください
MIID_H_無し: なし
MIID_H_非公開: ？？？？？？？？？？
MIID_H_つるぎ: 標準的な剣
MIID_H_鉄の剣: 扱いやすい剣
MIID_H_鋼の剣: 鉄を鍛え威力を高めた剣
MIID_H_銀の剣: 貴重な金属で作られた剣
MIID_H_勇者の剣: 必殺の出やすい剣
MIID_H_暗黒の剣: 呪われた剣
MIID_H_いかづちの剣: 雷を発する剣
MIID_H_聖なる剣: 退魔の力を持つ剣
MIID_H_王家の剣: リゲル王から\nソフィア王へ贈られた剣
MIID_H_ファルシオン: 神をも滅する力を持つ剣
MIID_H_流星: 伝説の剣
MIID_H_黄金の短剣: 豪華な装飾が施された\n護身用の短剣
MIID_H_ツヴァイハンダー: 剣闘士のための剣
MIID_H_レディソード: 女性が使用すると\n威力が倍加する剣
MIID_H_メリクルソード: 三種の神器の一つ\n細く美しい幻の剣
MIID_H_宝剣ソフィア: ソフィア王家に伝わる宝剣
MIID_H_イルウーン: 破壊のみを追求した剣
MIID_H_レイピア: 刺突に特化した剣\n騎兵とアーマーに特効
MIID_H_やり: 標準的な槍
MIID_H_鉄の槍: 扱いやすい槍
MIID_H_鋼の槍: 鉄を鍛え威力を高めた槍
MIID_H_銀の槍: 貴重な金属で作られた槍
MIID_H_手やり: 投擲可能な槍
MIID_H_聖なる槍: 退魔の力を持つ槍
MIID_H_ナイトキラー: 騎兵に対して\n特別な効果を発揮する槍
MIID_H_グラディウス: 三種の神器の一つ\n岩をも貫く威力を持つ
MIID_H_太陽: 伝説の槍
MIID_H_ドーマの槍: 神の加護を受けた槍
MIID_H_皇帝の槍: リゲル皇帝の槍
MIID_H_クリムヒルド: 代償の槍
MIID_H_ロムファイア: 多くの技を秘めた長柄槍\n修練を必要とする
MIID_H_サウニオン: 投擲に特化した大槍
MIID_H_おの: 標準的な斧
MIID_H_薪割り斧: 薪を割るための斧\n戦いには向かない
MIID_H_デビルアクス: 呪われた斧
MIID_H_ゆみ: 標準的な弓
MIID_H_鉄の弓: 扱いやすい弓
MIID_H_鋼の弓: 鉄を鍛え威力を高めた弓
MIID_H_銀の弓: 貴重な金属で作られた弓
MIID_H_聖なる弓: 退魔の力を持つ弓
MIID_H_月光: 伝説の弓
MIID_H_パルティア: 三種の神器の一つ\n放たれた矢は聖なる炎を纏う
MIID_H_ミラの弓: 神の加護を受けた弓
MIID_H_長弓: 遠距離での戦闘に\n特化した弓
MIID_H_キラーボウ: 殺傷能力を高めた弓
MIID_H_シャイニングボウ: 魔道の力を宿す弓
MIID_H_神剣ファルシオン: 英雄の幻影が\n手にしている武器
MIID_H_裏剣ファルシオン: 英雄の幻影が\n手にしている武器
MIID_H_ラグネル: 英雄の幻影が\n手にしている武器
MIID_H_封印の剣: 英雄の幻影が\n手にしている武器
MIID_H_夜刀神・終夜: 英雄の幻影が\n手にしている武器
MIID_H_錆びた剣: 錆びついた剣\nこのままでは役に立たない
MIID_H_錆びた槍: 錆びついた槍\nこのままでは役に立たない
MIID_H_錆びた弓: 錆びついた弓\nこのままでは役に立たない
MIID_H_錆びた盾: 錆びついた盾\nこのままでは役に立たない
MIID_H_錆びた斧: 錆びついた斧\nこのままでは役に立たない
MIID_H_錆びた指輪: 錆びついた指輪\nこのままでは役に立たない
MIID_H_毒の剣: 毒が塗布された剣\n相手に毒を与える
MIID_H_毒の槍: 毒が塗布された槍\n相手に毒を与える
MIID_H_毒の弓: 毒が塗布された弓矢\n相手に毒を与える
MIID_H_毒の斧: 毒が塗布された斧\n相手に毒を与える
MIID_H_爪: 腐った爪
MIID_H_毒の爪: 毒が付着した爪
MIID_H_麻痺爪: 麻痺毒が付着した爪
MIID_H_牙: 鋭い牙
MIID_H_鎌: 血塗られた鎌
MIID_H_骨剣: 不気味な剣
MIID_H_棍棒: 巨大な棍棒
MIID_H_体当たり: 触手を使った攻撃
MIID_H_触手: 神の手\n大地を裂き、相手を襲う
MIID_H_火のブレス: 竜族の激しい炎\n人の防御は無力化される
MIID_H_水のブレス: 竜族の巨大な水塊\n人の防御は無力化される
MIID_H_剛爪: 相手を切り裂く\n強力な爪
MIID_H_邪竜のブレス: 邪竜が吐く闇の息吹\n人間の防御は無効化される
MIID_H_革の盾: 扱いやすい盾
MIID_H_鉄の盾: 鉄で作られた盾
MIID_H_鋼の盾: 鍛えた鋼で作られた盾
MIID_H_リオン家の盾: ソフィアの名門貴族\nリオン家の家宝の盾
MIID_H_フーガ家の盾: ソフィアの名門貴族\nフーガ家の家宝の盾
MIID_H_銀の盾: 貴重な金属で作られた盾
MIID_H_聖なる盾: 魔物に対し力を発揮する盾
MIID_H_魔封じの盾: 魔法によるダメージを\n半減させる盾
MIID_H_竜の盾: あらゆる攻撃に対して\n高い防御力を持つ盾
MIID_H_皇帝の盾: リゲル皇帝の盾
MIID_H_ドーマの盾: 戦神の加護を受けた盾
MIID_H_王家の盾: ソフィア王家に伝わる\n貴重な盾
MIID_H_賢者の盾: テーベの深部で\n何かを封じていた盾
MIID_H_聖なる指輪: 癒しの力を持つ指輪
MIID_H_天使の指輪: 幸運の祝福を受けた指輪\n運が２０上昇する
MIID_H_速さの指輪: 速さの祝福を受けた指輪\n速さと移動力が上昇する
MIID_H_魔道の指輪: 魔道の力を拡張する指輪\n黒魔法の射程距離が伸びる
MIID_H_祈りの指輪: 瀕死時に力を発揮し、\n使用者を救う事がある指輪
MIID_H_奥義書: 使用者の魔力を\n増幅させる指輪
MIID_H_サンゴの指輪: 自然の力を宿した指輪\n魔防が４アップする
MIID_H_ミラの指輪: 女神の加護を受けた指輪\n敵の必殺を封じる
MIID_H_怨嗟の指輪: 怨恨を増幅させ、黒魔法の\n射程距離を伸ばす指輪
MIID_H_悪魔の指輪: 呪いを受けた指輪\n所有者の身に変化を起こす
MIID_H_形見の指輪: ベルクトの母の形見の指輪
MIID_H_小さな歯車: ミラの歯車の力を\n増強する部品
MIID_H_ミラの歯車(アルム): 大地母神ミラの力を\n秘めている歯車
MIID_H_ミラの歯車(セリカ): 大地母神ミラの力を\n秘めている歯車
MIID_H_ミラの歯車: 大地母神ミラの力を\n秘めている歯車
MIID_H_お土産の人形: 小さな子どもが喜ぶ\n誰かの手作りの人形
MIID_H_ガーゴイルの耳: ガーゴイルからとられた耳\n石のように硬い
MIID_H_銀の盆: 貴族の家や神殿などで\n使われている盆
MIID_H_牢獄の鍵: 牢獄を開けることが\nできる鍵
MIID_H_透明なひげ: 向こう側が透けて\n見える特殊な竜のひげ
MIID_H_スケルトン油: スケルトンの頭から\n採取されるよく燃える油
MIID_H_竜のうろこ: 非常に硬くおおきなうろこ\n神秘的な力を持つ
MIID_H_リマ家の腕輪: ソフィアの王家である\nリマ家に伝わる豪華な腕輪
MIID_H_息子の日記: 家族のために竜のほこらに\n踏み込んだ少年の日記
MIID_H_木彫りのクマ: 心をこめて手彫りされた\nクマをかたどった木製の像
MIID_H_木彫りのミラ: 大地母神ミラをかたどった\n木製の像
MIID_H_木彫りのドーマ: 戦神ドーマをかたどった\n木製の像
MIID_H_サンゴのかけら: 美しい宝飾品などに\n加工されることが多い
MIID_H_黒真珠: 特殊な貝から採れる\n黒い色をした真珠
MIID_H_扉の鍵: 牢獄を開けることが\nできる鍵
MIID_H_牢屋の鍵: 牢獄を開けることが\nできる鍵
MIID_H_赤い三角帽子: 高級な布でつくられた\nおしゃれな帽子
MIID_H_怪しい仮面: 不気味な雰囲気の\n石製の仮面
MIID_H_ドーマの兜: 神の加護を受けた兜
MIID_H_ミラの髪飾り: 神の加護を受けた髪飾り
MIID_H_エール: 大陸で\nよく飲まれている飲料
MIID_H_のみかけのエール: 誰かが飲んだ後のエール
MIID_H_スープ: 肉で出汁をとった\n温かいスープ
MIID_H_さめたスープ: 長時間放置され\n冷たくなったスープ
MIID_H_葡萄酒: 葡萄を発酵させて作る飲料\n広く飲まれている
MIID_H_にんにく: いろいろな料理にかかせない\n風味の強い野菜
MIID_H_ラムの葡萄酒: かつてラムの村で\n製造されていた葡萄酒
MIID_H_飲み水: 飲むのに適した清潔な水
MIID_H_ドーマのコケ: 珍しいコケ\n回復効果がある
MIID_H_ニシン: バレンシアの各地で\nよく獲れる魚
MIID_H_ダゴンのきりみ: ソフィアの海に生息する\n幻の巨大生物の切り身
MIID_H_発酵乳: 乳を発酵させたもの\nさわやかな酸味がある
MIID_H_薬草のリキュール: 薬草を浸したシロップ\n薬効が高い
MIID_H_オレンジ: 大陸の各地で採れる\n酸味のある果物
MIID_H_異国のスパイス: 遠い国で取引されている\n風味の強い香辛料
MIID_H_ソーセージ: 豚の腸に肉を詰め\n燻製にした保存食
MIID_H_タテウオのひもの: ソフィア近海で獲れる\n魚の干物
MIID_H_にんじん: ほくほくとした甘みのある\n栄養価の高い野菜
MIID_H_バター: 家畜の乳の脂肪を凝固させ\n塩分を加えたもの
MIID_H_はちみつ: 蜜蜂の巣から採取される\n甘い蜜
MIID_H_ハム: 塩漬けにした肉の塊を\nよく熟成させたもの
MIID_H_パン: 大きなパン\n何度か使用できる
MIID_H_かじったパン: かじった跡のあるパン
MIID_H_パンのかけら: 一口分のパン
MIID_H_かたいパン: 乾燥してしまって\n硬くなった食べにくいパン
MIID_H_ほしにく: 薄切り肉を干したもの\n長期保存には適するが硬い
MIID_H_なまにく: 新鮮な赤身肉
MIID_H_マナの草: 暗い場所に生える草\n薬の材料になる
MIID_H_小麦粉: 乾燥させた小麦を\n挽いて粉にしたもの
MIID_H_穴あきチーズ: 羊の乳からつくられる\n素朴な味わいの硬いチーズ
MIID_H_青カビチーズ: 青カビで熟成させたチーズ\n強い臭気と塩気が特徴
MIID_H_スイートクッキー: 子どもたちが大好きな\n甘い焼き菓子
MIID_H_聖獣のチーズ: 非常に希少なチーズ\n食べると速さが増すという
MIID_H_ネクタル: 甘い神々の飲み物\n飲むと運が増すという
MIID_H_生命の木の実: 幻の生命の木の果実\n食べると生命力が増すという
MIID_H_アンブロシア: かぐわしい神々の食物\n食べると守備が増すという
MIID_H_黄金のリンゴ: 幻の知恵の木の果実\n食べると経験が得られる
MIID_H_ソーマ: 神秘的な植物の液汁\n飲むと力が増すといわれる
MIID_H_冥府のざくろ: 冥府に実るといわれるざくろ\n食べると技が増すという
MIID_H_金貨: 神々の時代に使われていた\n希少な金属でできた硬貨
MIID_H_金貨袋: 希少な金属でできた金貨が\n少し入った袋
MIID_H_銀貨: 古代の銀貨\n武器を強化する素材になる
MIID_H_銀貨袋（小）: 古代の銀貨が\n少し入っている袋
MIID_H_銀貨袋（中）: 古代の銀貨が\n入っている袋
MIID_H_銀貨袋（大）: 古代の銀貨が\n多く入った袋
MIID_H_記憶の欠片: 人の記憶が\n結晶化されたもの
MIID_H_ブーツ: 使用したユニットの\n移動力がアップする
MIID_H_セブンソード: ７ターンから１１ターンの間\n性能がアップする剣
MIID_H_イレブンシールド: ７ターンから１１ターンの間\n性能がアップする盾
MIID_H_コラボの食べ物１: シンプルな味付けの\nおいしい蒸し鶏
MIID_H_コラボの食べ物２: もっちりとした食感の\nおいしいパン
MIID_H_コラボの食べ物３: スパイスをきかせた\nおいしい揚げ鶏
MIID_H_コラボの食べ物４: コクのあるクリーム\nたっぷりのおいしいケーキ
MIID_H_コラボの食べ物５: にんにくの風味がきいた\nおいしい揚げ鶏
MIID_H_コラボの食べ物６: 風味豊かな\nおいしいはちみつ
MIID_CATEGORY_無し: 無し
MIID_CATEGORY_剣: 剣
MIID_CATEGORY_槍: 槍
MIID_CATEGORY_斧: 斧
MIID_CATEGORY_弓: 弓
MIID_CATEGORY_黒魔法: 黒魔法
MIID_CATEGORY_白魔法: 白魔法
MIID_CATEGORY_特殊: 特殊
MIID_CATEGORY_道具: 道具
MIID_TUT_銀貨: 【古の銀貨】を手に入れた。\n\nバレンシア大陸に広く流通している硬貨。\n武具の加工に利用される。
MIID_TUT_金貨: 【覇者の金貨】を手に入れた。\n\n太古の金属を使用したと言われる硬貨。\n不思議な力を秘めている。
MIID_TUT_記憶の欠片: 【記憶の欠片】\n\n人の思念が結晶化したもの。\nミラの歯車を通じて\n内容を識ることができる。
MIID_TUT_小さな歯車: 【小さな歯車】\n\nミラの歯車の部品。\n時間を巻き戻す回数が\n１回増加する。
MIID_TUT_息子の日記: ぼろぼろの日記の最後のページには\n無謀な冒険に出た後悔と、\n母親に対する謝罪のことばが\n激しい殴り書きで書かれていたが\n文章は途中で途切れてしまっている……
