MESS_ARCHIVE_Link


Message Name: Message


MID_LINK_NSD_CONFIRM: 配信データが壊れています。\n配信データを消去します。
MID_DLC_NOT_VERIFY: 追加コンテンツが壊れています。\n追加コンテンツをダウンロードし直してください。
MID_DLC_ERROR: ＳＤカードを認識できませんでした。\n追加コンテンツをダウンロードし直してください。
MID_DLC_NOT_CONTENT: 追加コンテンツが見つかりませんでした。
MID_DLC_NOT_TITLE: 追加コンテンツが見つかりませんでした。\n追加コンテンツ購入を行なうとご利用できます。
MID_DLC_CHECK: 追加コンテンツのチェックを行いますか？
MID_CEC_BOX_NAME: ファイアーエムブレム Echoes
MID_CEC_BOX_INFO: すれちがいレコードが更新されました。
MID_CEC_オーバー: これ以上、本体にすれちがい通信を登録できません。\n本体設定のすれちがい通信管理で\n他のソフトのすれちがい通信をやめてください。
MID_CEC_ビジー: すれちがい通信を\n登録できませんでした。\n時間をおいてから実行すると\n成功する可能性があります。
MID_CEC_規約確認: すれちがい通信を利用するには\n最新の利用規約に同意する必要があります。\nすれちがい通信を利用する場合は\n本体設定で『インターネット設定』→\n『その他の情報』→『利用規約の確認』を選び\n最新の利用規約に同意してください。
MID_CEC_保護者制限: 他のユーザーとのすれちがい通信が\n保護者により制限されているため、\nすれちがい通信を利用できません。
MID_CEC_登録失敗: すれちがい通信の\n登録に失敗しました。
MID_CEC_登録確認: すれちがい通信を利用して\nすれちがった他のプレイヤーと\n情報を交換することができます。\nすれちがい通信を登録しますか？
MID_CEC_停止確認: このセーブデータの\nすれちがい通信の受信を停止しますか？
MID_CEC_停止完了: このセーブデータの\nすれちがい通信の受信を停止しました。
MID_CEC_上書確認: 他のセーブデータで\nすれちがい通信を登録しています。\n上書きしてもよろしいですか？
MID_CEC_登録中: すれちがい通信登録中。\n本体の電源を切らないでください。
MID_CEC_登録完了: すれちがい通信の登録を行いました。\n登録したプロフィールカードの情報は\n「すれちがいレコード」に入るたびに\n更新されます。
MID_CEC_更新中: レコード更新中
MID_CEC_キャンセル: 後ですれちがい通信を\n登録したい場合は、\n「すれちがいレコード」を\n選択してください。
MID_CEC_受信停止確認: このセーブデータの\nすれちがい通信の受信を停止しますか？
MID_CEC_受信開始確認: このセーブデータの\nすれちがい通信の受信を有効にしますか？
MID_CEC_自動保存停止確認: このセーブデータの\nすれちがい通信の自動保存を停止しますか？
MID_CEC_自動保存停止完了: このセーブデータの\nすれちがい通信の自動保存を停止しました。
MID_CEC_自動保存開始確認: このセーブデータの\nすれちがい通信の自動保存を有効にしますか？
MID_CEC_自動保存開始完了: このセーブデータの\nすれちがい通信の自動保存を有効にしました。
MID_BOSS_ENTRY_TASK: いつの間に通信を利用して\nおしらせ（広告/宣伝を含む）とデータ\nを受信しますか？
MID_BOSS_ENTRY_REPORT: このソフトのプレイ情報を任天堂に送信します。\n送信された情報は、「ニンテンドー3DSネットワーク\nサービスに関する利用規約」または「ニンテンドー\nネットワーク利用規約」に基づき取り扱います。\n送信に同意しますか？
MID_BOSS_CONFIRM_STOP: いつの間に通信が登録されています。\nいつの間に通信を停止しますか？
MID_BOSS_CONFIRM_TASK: インターネットに繋いで\n現在配信されている\nデータを受信しますか？
MID_BOSS_EXEC_TASK: ダウンロード中です。\nＳＤカードや電源ボタンに\nさわらないでください。
MID_BOSS_CREATE_TASK: いつの間に通信登録中。\nＳＤカードや電源ボタンに\nさわらないでください。
MID_BOSS_CREATE_EXT: 追加データを作成中。\nＳＤカードや電源ボタンに\nさわらないでください。
MID_BOSS_STOP_TASK: いつの間に通信停止中。\nＳＤカードや電源ボタンに\nさわらないでください。
MID_BOSS_MOUNT_TASK: 配信データ確認中
MID_BOSS_RESULT_ENTRY: いつの間に通信を登録しました。
MID_BOSS_RESULT_STOP: いつの間に通信を停止しました。
MID_BOSS_NOT_EULA: いつの間に通信を利用するには\n最新の利用規約に同意する必要があります。\nいつの間に通信を利用する場合は\n本体設定で『インターネット設定』→\n『その他の情報』→『利用規約の確認』を選び\n最新の利用規約に同意してください。
MID_BOSS_NSD_DELETE: 配信データを消去しています。\nＳＤカードや電源ボタンに\nさわらないでください。
MID_BOSS_INIT_NOT_MEDIA: ＳＤカードを認識できませんでした。\nこのため、いつの間に通信を利用できません。\nいつの間に通信を停止しますか？
MID_BOSS_INIT_NOT_WRITE: ＳＤカードが書き込み禁止になっています。\nこのため、いつの間に通信を利用できません。\nいつの間に通信を停止しますか？
MID_BOSS_INIT_NOT_EXT: 追加データがみつかりませんでした。\nこのため、いつの間に通信を利用できません。\nいつの間に通信を停止しますか？
MID_BOSS_NOT_TASK: データを受信する前に\nいつの間に通信を\n登録する必要があります。
MID_BOSS_NOT_RECV: 新しいデータは\n受信できませんでした。
MID_BOSS_ERROR_ENTRY: いつの間に通信の登録に失敗しました。
MID_BOSS_ERROR_STOP: いつの間に通信の停止に失敗しました。
MID_BOSS_NOT_MEDIA: ＳＤカードを認識できませんでした。
MID_BOSS_NOT_WRITE: ＳＤカードが書き込み禁止になっています。\n電源を切ってＳＤカードの\n書き込み禁止スイッチを解除し\n差し直してください。
MID_BOSS_NOT_EXT: 追加データが見つかりませんでした。
MID_BOSS_NOT_STORAGE: いつの間に通信が登録されていません。
MID_BOSS_NOT_DELETE: 配信データの消去に失敗しました。\nいつの間に通信を登録し直してください。
MID_REPORT_CREATE_TASK: プレイ内容の送信を登録中。\nＳＤカードや電源ボタンに\nさわらないでください。
MID_REPORT_RESULT_ENTRY: プレイ内容の送信を登録しました。
MID_REPORT_ERROR_ENTRY: プレイ内容の送信の登録に失敗しました。
MID_REPORT_CONFIRM_STOP: プレイ内容の送信が登録されています。\nプレイ内容の送信を停止しますか？
MID_REPORT_STOP_TASK: プレイ内容の送信を停止中。\nＳＤカードや電源ボタンに\nさわらないでください。
MID_REPORT_RESULT_STOP: プレイ内容の送信を停止しました。
MID_DATASTORE_SEARCH_NO_DATA: 該当するデータが見つかりません。
MID_DATASTORE_GET_DATA_COMPLETE: 取得しました。
MID_DATASTORE_WAIT_CONNECTING: インターネットに接続中
MID_DATASTORE_WAIT_UPDATING: 更新中
MID_DATASTORE_WAIT_SEARCHING: 検索中
MID_DATASTORE_WAIT_GETTING: 取得中
MID_DATASTORE_WAIT_NG_WORD_CHECK: 受信したデータを確認中
MID_DATASTORE_ERROR_NOT_FOUND: データが見つかりません。
MID_DATASTORE_ERROR_INVALID_DATA: エラーが発生しました。
MID_LOCAL_EXCHANGE_NG_USERNAME: ？？？
MID_LOCAL_EXCHANGE_SEND_COMPLETE: 送信しました。
MID_LOCAL_EXCHANGE_RECEIVE_COMPLETE: 受信しました。
MID_LOCAL_ERROR_GENERAL: エラーが発生しました。
MID_LOCAL_ERROR_WIRELESS_OFF: 無線通信がOFFになっているため\n通信できません。\n無線通信をONにしてください。
MID_LOCAL_ERROR_INVALID_CONNECTION: エラーが発生しました。\n（※無線通信がOFFになっている場合は\n　　無線通信をONにしてください）
MID_LOCAL_ERROR_INVALID_DATA: エラーが発生しました。
MID_MATCH_NG_USERNAME: ？？？
MID_MATCH_WIFI_WAIT_CONNECT: インターネットに接続中
MID_MATCH_WIFI_ERROR_INVALID_DATA: エラーが発生しました。
MID_WIFI_ERROR_GENERAL: エラーが発生しました。\n■しばらく待ってやり直してください。\n■症状が直らない場合は\n　本体の取扱説明書に記載されている\n　任天堂テクニカルサポートセンターへ\n　お問い合わせください。
MID_WIFI_ERROR_GENERAL_00: エラーが発生しました。\n■しばらく待ってやり直してください。\n■症状が直らない場合は\n　本体の取扱説明書に記載されている\n　任天堂テクニカルサポートセンターへ\n　お問い合わせください。
MID_BOSS_セブンスポット_無効: 何もおきなかった
MID_BOSS_セブンスポット_失敗: 受信できませんでした
