MESS_ARCHIVE_水門内部_C


Message Name: Message


MID_ADV_C_デューテ: $Sbs1000|$t3$Wmデューテ|3$w0|$Wsデューテ|$Wa$SvpV_SC_3_27_ADV1_DYUTE_00|あっ、\nリュートお兄ちゃん！$k\n$SbpBGM_EVT_DAILY|0|$Wmリュート|7$w0|$Wsリュート|$Wa$E笑,|$SvpV_SC_3_27_ADV1_DYUTE_01|ああ、デューテ！\n正気に戻ったのだな。$k\n$Wsデューテ|$Wa$SvpV_SC_3_27_ADV1_DYUTE_02|$E驚,|ん？\n正気ってなんのこと？$k$p$SvpV_SC_3_27_ADV1_DYUTE_03|$E苦,|またお兄ちゃん、\nよくわかんないこと言って……$k$p………………\n………………$k$p$SvpV_SC_3_27_ADV1_DYUTE_05|$E驚,|えーっ？！\nボク、タタラに操られてたの？$k$p$SvpV_SC_3_27_ADV1_DYUTE_06|$E悲,|そうなんだ……\nごめんなさい、迷惑かけて。$k$p$SvpV_SC_3_27_ADV1_DYUTE_07|ボク、なにも覚えてなくて……$k\n$Wsリュート|$Wa$E笑,|$SvpV_SC_3_27_ADV1_DYUTE_08|いや。\nいいんだ、デューテ。$k$p$SvpV_SC_3_27_ADV1_DYUTE_09|お前が無事に戻ってくれれば\nそれで……$k\n$Wsデューテ|$Wa$E通常,|$SvpV_SC_3_27_ADV1_DYUTE_10|お兄ちゃん……\n心配かけてごめんね。$k$p$SvpV_SC_3_27_ADV1_DYUTE_11|$E笑,|解放軍の人たちも、ありがとう！$k$p$SvpV_SC_3_27_ADV1_DYUTE_12|$E通常,|お兄ちゃんは\nみんなと行くんだよね。$k$p$SvpV_SC_3_27_ADV1_DYUTE_13|$Eキメ,|ねえ、いっしょに行っていい？\nボクけっこう強いんだよ！$k\n$Sbs1000|
MID_SUB10_1_確認0: 話を聞きますか？
MID_SUB10_1_1: $Z$t1$Wmおじさん|5$VF隠|$w0|$Wsおじさん|$Wa$VNMPID_水門番|魔物のスケルトンを知っているかい？\nあの頭が燃えているやつさ。$k$pあの炎は、あいつらの頭にたまった\n油が燃えているものなんだ。$k$pその油で機械を磨くと\n驚くほど調子がよくなるんだよ。$k$p『スケルトン油』の使い心地を知ったら\nもうほかの油は使えないね。$k$pどうだろう、やつらを倒して\n『スケルトン油』を採ってきてくれないか？$k
MID_SUB10_2_1: $Z$t1$Wmおじさん|5$VF隠|$w0|$Wsおじさん|$Wa$VNMPID_水門番|『スケルトン油』は手に入ったかい？$k
MID_SUB10_2_確認1: 『スケルトン油』を渡しますか？
MID_SUB10_2_2: $Z$t1$Wmおじさん|5$VF隠|$w0|$Wsおじさん|$Wa$VNMPID_水門番|おお、これはまさしく\n『スケルトン油』！$k$pこれでこの水門も\n新品みたいにピカピカになるぞ！$k$pありがとうよ、これはお礼だ。$k
MID_SUB10_2_確認2: 『銀貨10枚』を受け取った。
MID_SUB10_2_3: $Z$t1$Wmおじさん|5$VF隠|$w0|$Wsおじさん|$Wa$VNMPID_水門番|なにしろ、これだけ巨大な水門だ。$k$p『スケルトン油』はいくらあっても\n足りないくらいだよ。$k$pまた手に入れたら\nぜひ持ってきてくれ。$k
MID_SUB10_2_確認3: 『命の木の実』を受け取った。
MID_SUB10_2_確認4: 『竜の鱗』を受け取った。
MID_SUB10_2_4: $Z$t1$Wmおじさん|5$VF隠|$w0|$Wsおじさん|$Wa$VNMPID_水門番|なんだ、いまさら惜しくなったのか？$k
