MESS_ARCHIVE_字幕


Message Name: Message


MID_字幕_エンディング_1: かくして
MID_字幕_一章ED_4: 歓喜した。
MID_字幕_一章ED_5: しかし、それはさらに辛く苦しい戦いの
MID_字幕_一章ED_6: 序曲にすぎないことを
MID_字幕_一章ED_7: このときのアルムは
MID_字幕_一章ED_8: まだ知るよしもないのであった――
MID_字幕_二章ED_1: 念願の再会を果たしたアルムとセリカ。
MID_字幕_二章ED_2: しかしそれは
MID_字幕_二章ED_3: 悲しい物別れに終わってしまう。
MID_字幕_二章ED_4: 一方は戦うことで、
MID_字幕_二章ED_5: また一方は神の力によって……
MID_字幕_二章ED_6: 違うかたちで
MID_字幕_二章ED_7: 共に平和を求めるふたり。
MID_字幕_二章ED_8: 彼らが再び手を取りあう日は
MID_字幕_二章ED_9: 来るのであろうか――
MID_字幕_三章ミラ神殿OP_1: 念願のミラの神殿に
MID_字幕_三章ミラ神殿OP_2: 辿りついたセリカたち。
MID_字幕_三章ミラ神殿OP_3: しかし、そこで目にしたものは
MID_字幕_三章ミラ神殿OP_4: 在りし日の面影もない、
MID_字幕_三章ミラ神殿OP_5: 変わり果てた神殿の姿であった……
MID_字幕_三章ED_1: アルムとセリカの働きにより
MID_字幕_三章ED_2: ソフィア水没の危機は免れた。
MID_字幕_三章ED_3: セリカは自分の運命を受け入れ、
MID_字幕_三章ED_4: ソフィア王女として生きることを誓う。
MID_字幕_三章ED_5: 一方、セリカが王女アンテーゼだと
MID_字幕_三章ED_6: 知ったアルムは
MID_字幕_三章ED_7: ソフィアをリゲルの手から守る決意を
MID_字幕_三章ED_8: ひとり、胸のうちで新たにした。
MID_字幕_三章ED_9: しかし、聖痕を持つ運命の子であるふたりに
MID_字幕_三章ED_10: 邪悪の手は再び迫りつつあった――
MID_字幕_四章ヌイババ館OP_1: 深き漆黒の闇の中に
MID_字幕_四章ヌイババ館OP_2: 彼らを見下ろす不気味な顔がある。
MID_字幕_四章ヌイババ館OP_3: 恐山の主と呼ばれ誰もが恐れおののく
MID_字幕_四章ヌイババ館OP_4: 伝説の妖術師ヌイババ……
MID_字幕_四章ヌイババ館OP_5: 魂と引きかえに得たその暗黒の呪文が
MID_字幕_四章ヌイババ館OP_6: ひとたび彼女の口から発せられれば
MID_字幕_四章ヌイババ館OP_7: 生きとし生けるものすべてに
MID_字幕_四章ヌイババ館OP_8: 確実な死がおとずれる。
MID_字幕_四章ヌイババ館OP_9: アルムよ、なぜ行く？
MID_字幕_四章ヌイババ館OP_10: この恐ろしい山に
MID_字幕_四章ヌイババ館OP_11: いったいなにがあるというのだ――
MID_字幕_四章ED_1: おのれの生い立ち、
MID_字幕_四章ED_2: マイセンとの修行の日々……
MID_字幕_四章ED_3: すべては父、皇帝ルドルフの
MID_字幕_四章ED_4: 遠大な計画であったことを知ったアルム。
MID_字幕_四章ED_5: しかし、聖痕の子の宿命は
MID_字幕_四章ED_6: 彼に立ち止まることを許さない。
MID_字幕_四章ED_7: 父を手にかけた悲しみを胸に
MID_字幕_四章ED_8: アルムは最後の戦いへ身を投じてゆく。
MID_字幕_四章ED_9: すべての元凶、邪神ドーマを倒し
MID_字幕_四章ED_10: バレンシアをその手に取りもどすために。
MID_字幕_四章ED_11: そして、いままさにドーマに
MID_字幕_四章ED_12: 身を捧げんとするセリカを救うために――
MID_字幕_三章森の村BT_1: ははっ、どうした平民が！
MID_字幕_三章森の村BT_2: この俺に一太刀いれてみろ！
MID_字幕_三章森の村BT_3: くっ……
MID_字幕_三章森の村BT_4: 平民じゃない、僕の名はアルムだ！！
MID_字幕_三章森の村BT_5: ああ、そうだったな。
MID_字幕_三章森の村BT_6: …………っ？！
MID_字幕_五章ドーマED_1: もう、よかろう……
MID_字幕_五章ドーマED_2: 勇者アルムよ、すべてをお前に託す……
MID_字幕_五章ドーマED_3: われら兄妹の意思を受けつぎ
MID_字幕_五章ドーマED_4: このバレンシアを治めるのだ……
MID_字幕_五章ドーマED_5: ドーマの強さと
MID_字幕_五章ドーマED_6: ミラの愛をもって人を正しく導け。
MID_字幕_五章ドーマED_7: われらのあやまちを
MID_字幕_五章ドーマED_8: ふたたび犯してはならぬ。
MID_字幕_五章ドーマED_9: そしてもう二度と
MID_字幕_五章ドーマED_10: われらの眠りを妨げてはならぬぞ……
MID_字幕_三章ソフィアの北BT_1: 目をさませ、フェルナン！
MID_字幕_三章ソフィアの北BT_2: お前は祖国ソフィアのために
MID_字幕_三章ソフィアの北BT_3: 戦っていたのではなかったのか？！
MID_字幕_三章ソフィアの北BT_4: 目をさますのはお前のほうだ、クレーベ！
MID_字幕_三章ソフィアの北BT_5: なに？！
MID_字幕_三章ソフィアの北BT_6: いいことを教えてやろう。
MID_字幕_三章ソフィアの北BT_7: お前たちが英雄だなんだと
MID_字幕_三章ソフィアの北BT_8: 祭り上げているあの小僧は
MID_字幕_三章ソフィアの北BT_9: マイセンの孫などではない！
MID_字幕_三章ソフィアの北BT_10: な……なんだって？！
MID_字幕_タイトルループ_1: むかしむかし、ドーマとミラのふたりの神様が
MID_字幕_タイトルループ_2: 長い長い間
MID_字幕_タイトルループ_3: 争っていました
MID_字幕_タイトルループ_4: ねえ、どうしてドーマとミラさまは
MID_字幕_タイトルループ_5: 仲良くできなかったのかしら？
MID_字幕_タイトルループ_6: 僕たちはずっと仲良しでいようね
MID_字幕_タイトルループ_7: ごめんなさいって謝ったら許してね
MID_字幕_憎しみの剣_1: 皇帝！　覚悟！！
MID_字幕_憎しみの剣_2: アルム！！
MID_字幕_憎しみの剣_3: 貴様のせいで
MID_字幕_憎しみの剣_4: 僕はすべてを失った！
MID_字幕_憎しみの剣_5: ソフィア王国も
MID_字幕_憎しみの剣_6: 仲間たちも
MID_字幕_憎しみの剣_7: そしてセリカも！
MID_字幕_憎しみの剣_8: やめて！
MID_字幕_憎しみの剣_9: 二人とも、私が見えないの？　だめよ！
MID_字幕_憎しみの剣_10: お願い、やめて！
MID_字幕_憎しみの剣_11: あっ！
MID_字幕_憎しみの剣_12: いやーーーー！！
MID_字幕_憎しみの剣_13: アルム……
MID_字幕_運命の子供たち_1: ん？
MID_字幕_運命の子供たち_2: アルム！
MID_字幕_運命の子供たち_3: え？！
MID_字幕_運命の子供たち_4: うわっ
MID_字幕_運命の子供たち_5: とっ……と……
MID_字幕_運命の子供たち_6: あっ！　あああ……！
MID_字幕_運命の子供たち_7: いたたたた……
MID_字幕_運命の子供たち_8: き、君は……セリカ？
MID_字幕_運命の子供たち_9: もしかして、セリカなの？
MID_字幕_運命の子供たち_10: アルム！　よかった、本当にまた会えた……！
MID_字幕_運命の子供たち_11: 私がラムの村を出てから７年間も……
MID_字幕_運命の子供たち_12: ずっと会えなかったもの……！
MID_字幕_運命の子供たち_13: セリカ……僕もずっと会いたかったんだ……！
MID_字幕_怒れる女神_1: ええっ？！
MID_字幕_怒れる女神_2: あ……あ……ああ……！
MID_字幕_怒れる女神_3: 急いで！
MID_字幕_怒れる女神_4: ミラさま、大変です！
MID_字幕_怒れる女神_5: ミラさま、お助けください！
MID_字幕_怒れる女神_6: ミラさま！！
MID_字幕_怒れる女神_7: リゲル皇帝が、わがソフィアで何を企んでいるのです。
MID_字幕_怒れる女神_8: 王の牙……
MID_字幕_怒れる女神_9: この剣の意味するところ、ミラさまであれば
MID_字幕_怒れる女神_10: 分らぬはずもありますまい
MID_字幕_怒れる女神_11: おのれ……
MID_字幕_怒れる女神_12: おのれ、われらが盟約を破るか！！
MID_字幕_怒れる女神_13: ドーマめ……！
MID_字幕_怒れる女神_14: ぬあああああ……！
MID_字幕_怒れる女神_15: ふん！　でええええい！
MID_字幕_英雄たちの戦い_1: 準備が整いました。
MID_字幕_英雄たちの戦い_2: わかった。
MID_字幕_英雄たちの戦い_3: アルムさま？
MID_字幕_英雄たちの戦い_4: あ、いや。大丈夫だ。
MID_字幕_英雄たちの戦い_5: みんな、いこう！
MID_字幕_英雄たちの戦い_6: 皇帝ルドルフを倒し、この戦いを終わらせるために！
MID_字幕_英雄たちの戦い_7: そして、ソフィアを守るために！
MID_字幕_英雄たちの戦い_8: ソフィアのために！
MID_字幕_英雄たちの戦い_9: 突撃だ―――！
MID_字幕_英雄たちの戦い_10: うおおおおおおお！
MID_字幕_英雄たちの戦い_11: 動きました！
MID_字幕_英雄たちの戦い_12: ふん……
MID_字幕_英雄たちの戦い_13: 迎え撃て！　やつらにリゲルの大地を踏ませるな！
MID_字幕_力の代償_1: ベルクトさま！
MID_字幕_力の代償_2: ベルクトさま……？
MID_字幕_力の代償_3: えっ？！
MID_字幕_力の代償_4: あ……あなたは……
MID_字幕_力の代償_5: まさか、リネアさまを……？！
MID_字幕_力の代償_6: うっ！
MID_字幕_力の代償_7: うう……ぐっ……
MID_字幕_力の代償_8: う……うわぁああああああ――！
MID_字幕_力の代償_9: クク……ハハハ……
MID_字幕_力の代償_10: ファーッハッハッハッハ！
MID_字幕_力の代償_11: ファーッハッハッハッハ……
MID_字幕_死闘A_1: ！！
MID_字幕_死闘A_2: セリカ！　無事だったのか！
MID_字幕_死闘A_3: ぬあああああ！
MID_字幕_死闘B_1: ぬあああああああ！
MID_字幕_死闘B_2: セリカ、やめてくれ！
MID_字幕_死闘B_3: アルム……
MID_字幕_死闘B_4: ！！
MID_字幕_死闘B_5: このままじゃ私、あなたを殺してしまう
MID_字幕_死闘B_6: だから
MID_字幕_死闘B_7: お願い、アルム
MID_字幕_死闘B_8: 私を殺して！
MID_字幕_死闘B_9: うわあああ……！
MID_字幕_死闘B_10: そんなこと……
MID_字幕_死闘B_11: できるわけないだろう！
MID_字幕_死闘B_12: ドーマの聖痕を持つものよ
MID_字幕_死闘B_13: ファルシオンをその手に取りなさい
MID_字幕_死闘B_14: ！！
MID_字幕_死闘B_15: なんだ、いったいどうなっているのだ！
MID_字幕_死闘B_16: ばかな！　まさか封印が解けるなどと……！
MID_字幕_死闘B_17: ひいい……
MID_字幕_死闘B_18: ひい！　ひいいい……！！
MID_字幕_死闘B_19: でぇええええい！
MID_字幕_死闘B_20: ファルシオンを信じなさい
MID_字幕_死闘B_21: でやあああ！
MID_字幕_死闘B_22: うそだろ……
MID_字幕_死闘B_23: こんなことってないだろう？
MID_字幕_死闘B_24: セリカ、セリカ！　しっかりしてくれ！
MID_字幕_死闘B_25: セリカ―――！！
MID_字幕_死闘B_26: うう……ううう……
MID_字幕_死闘B_27: えっ？
MID_字幕_死闘B_28: ……アルム？
MID_字幕_死闘B_29: セリカ……！
