MESS_ARCHIVE_後日談


Message Name: Message


MID_AFT_DLCで死亡: 戦いの中で倒れ、この世を去った……
MID_AFT_ソニア: 魔女にされた女性の治療法を求め\n各地を放浪していたようだ。\nとある地方で足取りが途絶え\nその後のことは不明である。\n彼女が姿を消した時期と前後して\n恐山のヌイババ館に\n新たな魔女が住みついたという噂が\nまことしやかに囁かれたという。
MID_AFT_ディーン: 戦いののち、彼の姿は\n勇者の剣と共に忽然と消えた。\nその後については一切記録もなく\n謎に包まれている。
MID_AFT_セーバー: ジェシーの傭兵王国建設に参加し\n共に基盤を作り上げた。\n自らも傭兵として\n生涯現役で戦い続け、\n幾度となくバレンシアの\n危機を救ったとされている。\nその傍らには美しい妻が\n常に寄り添っていたという。
MID_AFT_セーバー_1: 美しい妻と共に\nバレンシア統一王国の\n復興に尽力した。\n騎士団にこそ所属しなかったが\n傭兵時代の経験を生かして\n各地を渡り歩き、様々な\n揉め事を平定して回ったという。
MID_AFT_リュート: 自分の魔道はまだ未熟だと悟り\n海の向こうの大陸へと渡った。\nその後の足取りは知れないが、\n風変りな魔道士を追って\nバレンシアへやってくる荒くれ者が\n後を絶たなかったとか。
MID_AFT_デューテ: 終戦後は魔法を封印し\nひとりの女性として\n奔放に幸福な人生を送ったという。\n王都で理想の男性と結ばれたが\nたまに森の村へ帰っては\n兄の思い出話に花を咲かせていたとか。
MID_AFT_ティータ: ジークの記憶が\n戻らないことを祈りつつ\n彼と幸せに暮らした。\nときに離れることもあったが\n彼が帰るのはいつも\n彼女のもとであったという。
MID_AFT_ティータ_1: 最愛の人を失い、修道院へこもり\n祈りを捧げる日々を送っていた。\nそんな様子を見かねた旧友のひとりに\n熱心に口説かれ、彼の熱意に負け\nいっしょになったという。
MID_AFT_カチュア: エストを助けだすという目的を\n無事に果たし、晴れやかな顔で\n故郷へ帰っていった。\n彼女のその後の活躍については\nアカネイア大陸の歴史に詳しく\n語られている。
MID_AFT_カチュア_1: 姉妹を失い、悲しみを胸に\n故郷へ帰っていった。\nその後の彼女の活躍については\nアカネイア大陸の歴史に\n詳しく語られている。
MID_AFT_パオラ: エストを助けだすという目的を\n無事に果たし、晴れやかな顔で\n故郷へ帰っていった。\n彼女のその後の活躍については\nアカネイア大陸の歴史に詳しく\n語られている。
MID_AFT_パオラ_1: 姉妹を失い、悲しみを胸に\n故郷へ帰っていった。\nその後の彼女の活躍については\nアカネイア大陸の歴史に\n詳しく語られている。
MID_AFT_エスト: 無事に姉たちと再会し\n晴れやかな顔で\n故郷へ帰っていった。\nその後の彼女の活躍については\nアカネイア大陸の歴史に\n詳しく語られている。
MID_AFT_エスト_1: 姉妹を失い、悲しみを胸に\n故郷へ帰っていった。\nその後の彼女の活躍については\nアカネイア大陸の歴史に\n詳しく語られている。
MID_AFT_ジーク: 激しい戦いの中で\n彼の記憶は取り戻されていた。\nしかし、彼を愛するティータのためか\nその記憶があまりに\n辛いものであったのか、\n過去について彼が語ることはなく\nティータと共に生きたという。
MID_AFT_ジーク_1: 自分を深く愛してくれた\nティータの死を嘆き、\n忽然と姿を消した。\nアカネイア大陸で\n姿を見たものがいるという\n説もあるが、定かではない。
