MESS_ARCHIVE_Bgm


Message Name: Message


MKID_STRM_SYS_CASTLE_E1: 安息と豊穣の地
MKID_STRM_EVT_DIFFERENT_C1: 揺蕩う幻
MKID_STRM_EVT_GAG_E1: なにやってるの？
MKID_STRM_EVT_GAG_E2: 話、聞いてる？
MKID_STRM_EVT_FOOL_E1: …につける薬
MKID_STRM_EVT_LOVE_E1: 愛の歓呼
MKID_STRM_EVT_KINDLY_E1: 花片と風と
MKID_STRM_EVT_KINDLY_E2: 追憶の窓辺に
MKID_STRM_EVT_AQUA_C1: 吃水の乙女
MKID_STRM_EVT_AQUA_C2: 予感
MKID_STRM_EVT_AQUA_C3: 還れ、この優婉に
MKID_STRM_SYS_SHOP_E6: サービスしちゃうわっ≠
MKID_STRM_EVT_PEACE_E1: 希望の熾火
MKID_STRM_EVT_UNITE_C1: 新たなる力
MKID_STRM_EVT_MAP_E2R: 都の恵知
MKID_STRM_EVT_SAD_E1: 温もりは還らず
MKID_STRM_EVT_AMUSIA_E1: 享楽の都
MKID_STRM_SYS_BASE_A1: 決意～光
MKID_STRM_SYS_BASE_B1: 決意～闇
MKID_STRM_SYS_BASE_C1: 境界を往く者
MKID_STRM_SYS_BASE_E1: 異境への轍
MKID_STRM_SYS_DEAD_E1: 別離
MKID_STRM_SYS_GAMEOVER_E1: 慟哭
MKID_STRM_SYS_CC_A1: 躍進～光
MKID_STRM_SYS_CC_B1: 躍進～闇
MKID_STRM_SYS_SHOP_E1: 鼻歌と宝物
MKID_STRM_SYS_SHOP_E2: 勇ましき幻影
MKID_STRM_SYS_SHOP_E3: 天に任せて
MKID_STRM_SYS_SHOP_E4: 鎚音の行方
MKID_STRM_SYS_SHOP_E5: 貴婦人の鏡台
MKID_STRM_SYS_SPA_E1: 癒しと誘惑の泉
MKID_STRM_SYS_PRISON_E1: 報復への刻限
MKID_STRM_SYS_ARCHIVES_E1: 水の音匣
MKID_STRM_SYS_DINING_E1: 奇妙な食卓
MKID_STRM_SYS_LILITH_E1: 星の在り処
