MESS_ARCHIVE_Profile


Message Name: Message


MID_PROFILE_名前: 名前
MID_PROFILE_出身地_モナコ: モナコ
MID_PROFILE_出身地_モンテネグロ: モンテネグロ
MID_PROFILE_出身地_モントセラト: モントセラト
MID_PROFILE_出身地_モザンビーク: モザンビーク
MID_PROFILE_出身地_ナミビア: ナミビア
MID_PROFILE_出身地_オランダ: オランダ
MID_PROFILE_出身地_オランダ領アンティル: オランダ領アンティル
MID_PROFILE_出身地_ニュージーランド: ニュージーランド
MID_PROFILE_出身地_ニカラグア: ニカラグア
MID_PROFILE_出身地_ニジェール: ニジェール
MID_PROFILE_出身地_ノルウェー: ノルウェー
MID_PROFILE_出身地_オマーン: オマーン
MID_PROFILE_出身地_その他: その他
MID_PROFILE_出身地_パナマ: パナマ
MID_PROFILE_出身地_パラグアイ: パラグアイ
MID_PROFILE_出身地_ペルー: ペルー
MID_PROFILE_出身地_フィリピン: フィリピン
MID_PROFILE_出身地_ポーランド: ポーランド
MID_PROFILE_出身地_ポルトガル: ポルトガル
MID_PROFILE_出身地_カタール: カタール
MID_PROFILE_出身地_ルーマニア: ルーマニア
MID_PROFILE_出身地_ロシア: ロシア
MID_PROFILE_出身地_エルサルバドル: エルサルバドル
MID_PROFILE_出身地_サンマリノ: サンマリノ
MID_PROFILE_出身地_サウジアラビア: サウジアラビア
MID_PROFILE_出身地_セルビア: セルビア
MID_PROFILE_出身地_シンガポール: シンガポール
MID_PROFILE_出身地_スロバキア: スロバキア
MID_PROFILE_出身地_スロベニア: スロベニア
MID_PROFILE_出身地_ソマリア: ソマリア
MID_PROFILE_出身地_南アフリカ: 南アフリカ
MID_PROFILE_出身地_韓国: 韓国
MID_PROFILE_出身地_スペイン: スペイン
MID_PROFILE_出身地_セントキッツ・ネイビス: セントキッツ・ネイビス
MID_PROFILE_出身地_セントルシア: セントルシア
MID_PROFILE_出身地_セントビンセント・グレナディーン: セントビンセント・グレナディーン
MID_PROFILE_出身地_スーダン: スーダン
MID_PROFILE_出身地_スリナム: スリナム
MID_PROFILE_出身地_スワジランド: スワジランド
MID_PROFILE_出身地_スウェーデン: スウェーデン
MID_PROFILE_出身地_スイス: スイス
MID_PROFILE_出身地_シリア: シリア
MID_PROFILE_出身地_台湾: 台湾
MID_PROFILE_出身地_タイ: タイ
MID_PROFILE_出身地_トリニダード・トバゴ: トリニダード・トバゴ
MID_PROFILE_出身地_トルコ: トルコ
MID_PROFILE_出身地_タークス・カイコス諸島: タークス・カイコス諸島
MID_PROFILE_出身地_アラブ首長国連邦: アラブ首長国連邦
MID_PROFILE_出身地_イギリス: イギリス
MID_PROFILE_出身地_アメリカ: アメリカ
MID_PROFILE_出身地_ウルグアイ: ウルグアイ
MID_PROFILE_出身地_米領バージン諸島: 米領バージン諸島
MID_PROFILE_出身地_バチカン: バチカン
MID_PROFILE_出身地_ベネズエラ: ベネズエラ
MID_PROFILE_出身地_ザンビア: ザンビア
MID_PROFILE_出身地_ジンバブエ: ジンバブエ
MID_PROFILE_出身地_アカネイア王国: アカネイア王国
MID_PROFILE_出身地_アグストリア: アグストリア諸公連合
MID_PROFILE_出身地_アリティア王国: アリティア王国
MID_PROFILE_出身地_暗夜王国: 暗夜王国
MID_PROFILE_出身地_イーリス聖王国: イーリス聖王国
MID_PROFILE_出身地_イザーク王国: イザーク王国
MID_PROFILE_出身地_イズモ公国: イズモ公国
MID_PROFILE_出身地_イリア: イリア
MID_PROFILE_出身地_ヴァルム帝国: ヴァルム帝国
MID_PROFILE_出身地_ヴァロール島: ヴァロール島
MID_PROFILE_出身地_ヴェルダン王国: ヴェルダン王国
MID_PROFILE_出身地_エトルリア王国: エトルリア王国
MID_PROFILE_出身地_オレルアン王国: オレルアン王国
MID_PROFILE_出身地_カシミア: カシミア
MID_PROFILE_出身地_カダイン: カダイン
MID_PROFILE_出身地_ガリア王国: ガリア王国
MID_PROFILE_出身地_ガルダ: ガルダ
MID_PROFILE_出身地_カルチノ共和国: カルチノ共和国
MID_PROFILE_出身地_キルヴァス王国: キルヴァス王国
MID_PROFILE_出身地_グラ王国: グラ王国
MID_PROFILE_出身地_グラド帝国: グラド帝国
MID_PROFILE_出身地_グランベル王国: グランベル王国
MID_PROFILE_出身地_クリミア王国: クリミア王国
MID_PROFILE_出身地_グルニア王国: グルニア王国
MID_PROFILE_出身地_ゴルドア王国: ゴルドア王国
MID_PROFILE_出身地_サカ: サカ
MID_PROFILE_出身地_ジャハナ王国: ジャハナ王国
MID_PROFILE_出身地_シュヴァリエ公国: シュヴァリエ公国
MID_PROFILE_出身地_シレジア王国: シレジア王国
MID_PROFILE_出身地_ソフィア王国: ソフィア王国
MID_PROFILE_出身地_タリス王国: タリス王国
MID_PROFILE_出身地_ディール: ディール
MID_PROFILE_出身地_デイン王国: デイン王国
MID_PROFILE_出身地_テーベ: テーベ
MID_PROFILE_出身地_トラキア王国: トラキア王国
MID_PROFILE_出身地_ドルーア帝国: ドルーア帝国
MID_PROFILE_出身地_ナバタ: ナバタ
MID_PROFILE_出身地_ノーヴァ島: ノーヴァ島
MID_PROFILE_出身地_白夜王国: 白夜王国
MID_PROFILE_出身地_フウマ公国: フウマ公国
MID_PROFILE_出身地_フェニキス王国: フェニキス王国
MID_PROFILE_出身地_フェリア連合王国: フェリア連合王国
MID_PROFILE_出身地_フレリア王国: フレリア王国
MID_PROFILE_出身地_ベグニオン帝国: ベグニオン帝国
MID_PROFILE_出身地_ペラティ王国: ペラティ王国
MID_PROFILE_出身地_ベルン王国: ベルン王国
MID_PROFILE_出身地_ペレジア王国: ペレジア王国
MID_PROFILE_出身地_マケドニア王国: マケドニア王国
MID_PROFILE_出身地_ミューズ公国: ミューズ公国
MID_PROFILE_出身地_ラムの村: ラムの村
MID_PROFILE_出身地_リキア同盟: リキア同盟
MID_PROFILE_出身地_リゲル帝国: リゲル帝国
MID_PROFILE_出身地_ルネス王国: ルネス王国
MID_PROFILE_出身地_レフカンディ: レフカンディ
MID_PROFILE_出身地_レンスター王国: レンスター王国
MID_PROFILE_出身地_ロストン聖教国: ロストン聖教国
MID_PROFILE_出身地_透魔王国: 透魔王国
