MESS_ARCHIVE_Skill


Message Name: Message


MSID_無し: －－－－－－
MSID_H_G防御補正１: 物理攻撃によるダメージを\n－５する
MSID_H_G地形効果二倍: 地形効果を二倍にする
MSID_H_G物理間接半減: 遠距離からの物理攻撃による\nダメージを半減させる
MSID_H_G魔法反射: 魔法攻撃を跳ね返す
MSID_H_G物理半減: 物理攻撃によるダメージを\n半減させる
MSID_H_G魔法半減: 魔法攻撃によるダメージを\n半減させる
MSID_H_鉄剣２: 相手から反撃を受けない
MSID_H_雷剣２: 隣接する敵一体に\n強力な攻撃をおこなう
MSID_H_金剣２: 敵を撃破した場合\n食べ物を得る
MSID_H_女剣２: 魔力を込めた\n二連撃を放つ
MSID_H_鉄槍２: 離れた敵一体に\n槍を投げて攻撃する
MSID_H_鋼槍２: 隣接する敵一体に\n力を溜めた攻撃をおこなう
MSID_H_銀槍１: この攻撃を実行する時\n魔法への耐性を得る
MSID_H_銀槍２: 戦闘終了後\n相手を１マス押し出す
MSID_H_殺弓: 高速な二連射
MSID_H_滅殺: 滅殺
MSID_H_アルム奥義: アルム奥義
MSID_H_セリカ奥義: セリカ奥義
MSID_H_トライアングル: 姉妹の連携によって\n連続で攻撃を仕掛ける
MSID_H_主人公: 主人公
MSID_H_リゲル王家: リゲル王家
MSID_H_ソフィア王家: ソフィア王家
MSID_H_隣接回復: 毎ターン　隣接するユニットの\nＨＰを５回復する
MSID_H_自動回復: 毎ターン\nＨＰが５回復する
MSID_H_自動回復大: 毎ターン\nＨＰが回復する
MSID_H_自動回復祈祷師: 毎ターン\nＨＰが５回復する
MSID_H_吸収: 吸収
MSID_H_一撃死無効: 一撃死無効
MSID_H_神殺し: 【神】を滅ぼすことができる
MSID_H_地形効果無効: 地形効果無効
MSID_H_呪い: 一定の確率で\n使用者に呪いを放つ
MSID_H_呪い無効: 呪いの発生率を抑える
MSID_H_魔法武器: この武器による攻撃は\n魔法攻撃として扱う
MSID_H_威力固定: 威力固定
MSID_H_瀕死攻撃: 瀕死攻撃
MSID_H_魔法回避: 魔法回避
MSID_H_良成長: 良成長
MSID_H_きまぐれ成長: レベルアップの際　本人の\n資質と異なる成長をする
MSID_H_魔法射程＋１: 黒魔法の射程が\n１マス長くなる
MSID_H_魔法射程＋２: 黒魔法の射程が\n２マス長くなる
MSID_H_魔防＋: 魔防が５上昇する
MSID_H_魔法命中＋１０: 黒魔法の命中率が\n１０％上昇する
MSID_H_魔法威力＋５: 黒魔法の攻撃力が\n５上昇する
MSID_H_必殺全回避: 必殺攻撃を受けない
MSID_H_対魔物増強: 相手が【魔物】系を持つ時\n力は＋１０される
MSID_H_怨声: 攻撃射程に関わらず\n必ず反撃を行う
MSID_H_命中回避＋２０: 命中、回避＋１０
MSID_H_剣ダメージ半減: 剣ダメージ半減
MSID_H_槍ダメージ半減: 槍ダメージ半減
MSID_H_斧ダメージ半減: 斧ダメージ半減
MSID_H_弓ダメージ半減: 弓によるダメージを\n半減する
MSID_H_魔法ダメージ半減: 魔法によるダメージを\n半減する
MSID_H_対魔ダメージ半減: 【魔物】系から受ける\nダメージを半減する
MSID_H_弓ダメージ半減_兵種: 弓によるダメージを\n半減する
MSID_H_魔法ダメージ半減_兵種: 魔法によるダメージを\n半減する
MSID_H_弓魔ダメージ半減_道具: 弓、魔法によるダメージを\n半減する
MSID_H_消耗必殺: ＨＰが半分以下になった時\n必殺率が上昇する
MSID_H_巨大: 巨大
MSID_H_ダウンロード: ダウンロード
MSID_H_交換禁止: 交換禁止
MSID_H_敗北条件: 敗北条件
MSID_H_強制キリバト: 強制キリバト
MSID_H_強制オンバト: 強制オンバト
MSID_H_キリバト禁止: キリバト禁止
MSID_H_魔女ワープ: 相手の近くにワープし\nさらに行動を行う
MSID_H_召喚数乱数のみ: 召喚数乱数のみ
MSID_H_召喚確率高: 召喚確率高
MSID_H_召喚必ず: 召喚必ず
MSID_H_ディル無効: ディル無効
MSID_H_召喚AI: 召喚AI
MSID_H_召喚独立: 召喚独立
MSID_H_ビグル道連れ: ビグル道連れ
MSID_H_分裂: 一定の確率で分裂する
MSID_H_ダメージ床無効: ダメージ床無効
MSID_H_生存ロスト: 生存ロスト
MSID_H_祈り: ＨＰ０になる攻撃を受けた時\n運×２の確率で生き残る
MSID_H_攻撃時2回攻撃: 攻撃時2回攻撃
MSID_H_特殊演出: 特殊演出
MSID_H_準特殊演出: 準特殊演出
MSID_H_魔力射程: 魔力射程
MSID_H_半魔力射程: 半魔力射程
MSID_H_四半魔力射程: 四半魔力射程
MSID_H_弓射程＋１: 弓の攻撃射程が\n１マス伸びる
MSID_H_弓射程＋２: 弓の攻撃射程が\n２マス伸びる
MSID_H_被毒: 毎ターン\nＨＰが１０減少する
MSID_H_被毒２: 毎ターン\nＨＰが１０減少する
MSID_H_被毒３: 毎ターン\nＨＰが１０減少する
MSID_H_被足止め: 移動できない\nまた　回避率が３０％低下する
MSID_H_被足止め始: 移動できない\nまた　回避率が３０％低下する
MSID_H_被魔封じ: 魔法　ワープを使用できない
MSID_H_被魔封じ始: 魔法　ワープを使用できない
MSID_H_毒パッシブ: 攻撃が命中した場合\n相手に【毒】を付与する
MSID_H_足止めパッシブ: 攻撃が命中した場合\n相手に【移動封じ】を付与する
MSID_H_魔封じパッシブ: 攻撃が命中した場合\n相手に【魔封じ】を付与する
MSID_H_ドーマの加護: ドーマ神の力により\n相手の攻撃を封じる
MSID_H_メガクェイク: 大地の魔法\n敵全体にダメージを与える
MSID_H_ダークスパイク: 邪竜の棘\n範囲内の敵にダメージを与える
MSID_H_邪竜の鱗: 受けるダメージを半減する
MSID_H_赤の呪い: 周囲３マス内の\n敵の回避を２０低下させる
MSID_H_防御無効: 相手の防御を無視する
MSID_H_アルム攻撃禁止: アルム攻撃禁止
MSID_H_状態異常無効: 毒、麻痺などの\n状態異常を受けない
MSID_H_騎馬: 馬を操り戦場を駆ける\n移動力が高い
MSID_H_飛行: 移動や戦闘において\n地形の影響を受けない
MSID_H_鎧: 鎧を纏った兵士\n高い防御力を誇る
MSID_H_魔物: 呪われた生物\n高い生命力を持つ
MSID_H_上級魔物: 力を得て進化した魔物\nディルを無効化する
MSID_H_竜族: 幻とされている竜族\n圧倒的な力を持つ
MSID_H_神: 力を求め続け\n正気を失った神竜
MSID_H_神_ギムレー: 神の力と\n負の思念からなる邪竜
MSID_H_騎馬特効: 【騎馬】を持つ相手に対し\n特効を得る
MSID_H_飛行特効: 【飛行】を持つ相手に対し\n特効を得る
MSID_H_鎧特効: 【鎧兵】を持つ相手に対し\n特効を得る
MSID_H_魔物特効: 【魔物】系を持つ相手に対し\n特効を得る
MSID_H_女武器威力２倍: 女性が使用する時\n武器の威力は２倍になる
MSID_H_魔法ＨＰ消費無し: 魔法を使用する際\nＨＰを消費しない
MSID_H_ダメージ床無効_公開: 地形による\nダメージを受けない
MSID_H_amiibo召喚: amiiboをつかって\n幻影兵を召喚する
