MESS_ARCHIVE_System


Message Name: Message


MID_SYS_クラシック: クラシック
MID_SYS_支援: 支援
MID_SYS_レベルＳ: Ｓ
MID_SYS_レベルＡ: Ａ
MID_SYS_レベルＢ: Ｂ
MID_SYS_レベルＣ: Ｃ
MID_SYS_レベルＤ: Ｄ
MID_SYS_レベルＥ: Ｅ
MID_SYS_レベルＮ: －
MID_SYS_EN_レベルＳ: S
MID_SYS_EN_レベルＡ: A
MID_SYS_EN_レベルＢ: B
MID_SYS_EN_レベルＣ: C
MID_SYS_EN_レベルＤ: D
MID_SYS_EN_レベルＥ: E
MID_SYS_EN_レベルＮ: -
MID_SYS_待機不可: 待機不可
MID_SYS_スキップ中: スキップ中
MID_SYS_お任せ実行中: 号令解除
MID_SYS_お任せ解除中: 号令解除中
MID_SYS_ターン数: ターン
MID_SYS_会話自動送り開始: 自動送りオン
MID_SYS_会話自動送り停止: 自動送りオフ
MID_SYS_EN_軍資金単位: G
MID_SYS_銀貨: 古の銀貨
MID_SYS_金貨: 覇者の金貨
MID_SYS_勝利条件: 勝利条件
MID_SYS_ミス: MISS
MID_SYS_ノーダメージ: NO DAMAGE
MID_SYS_ガード: GUARD
MID_TLP_青軍フェイズ: Player　Phase
MID_TLP_赤軍フェイズ: Enemy　Phase
MID_TLP_緑軍フェイズ: Ally　Phase
MID_TLP_マップクリア: 戦闘終了
MID_TLP_退却: 退却
MID_MSG_アイテム入手: $a$a0を手に入れた
MID_MSG_アイテム送り: $a$a0を道具袋に送った
MID_MSG_ゴールド入手: $a$a0Ｇを手に入れた
MID_SYS_通貨入手: $a$a0枚を手に入れた
MID_MSG_材料入手: $a$a0を$a1個手に入れた
MID_MSG_アイテム略奪: $a$a0を奪われた
MID_MSG_ゴールド略奪: $a$a0Ｇを奪われた
MID_MSG_アイテム破損: $a$a0が壊れてしまった
MID_MSG_アイテム破損２: $a$a1の$a0が壊れてしまった
MID_MSG_疲労回復: 疲労が回復した
MID_MSG_パラメータアップ: $a$a0が$a1あがった
MID_MSG_パラメータダウン: $a$a0が$a1さがった
MID_MSG_武器レベルアップ: $a武器レベル$a0が$a2に上がった
MID_MSG_武器レベルアップ２: $a$a1の武器レベル$a0が$a2に上がった
MID_MSG_武器使用可能: $a$a0は\n新しい武器が使えるようになった！
MID_MSG_魔法習得: $a$a0は新しい魔法をおぼえた！
MID_MSG_戦技習得: $a$a0の戦技\n$a1を\n習得した！
MID_MSG_CC可能_村人: $a$a0は\nクラスチェンジする資格を得ました
MID_MSG_CC可能_村人以外: $a$a0は$a1に\nクラスチェンジする資格を得ました
MID_MSG_スキル習得: $a$a0は新しいスキルを習得した！
MID_MSG_スキル習得２: $a$a1はスキル\n$a0を\n習得した
MID_MSG_支援レベル上昇: $a$a0と$a1の\n支援レベルが$a2に上がった
MID_MSG_捕獲: $a$a0を捕獲した
MID_MSG_効果無し: 効果がなかった
MID_MSG_能力強化: $a$a0と$a1の調子が上がった
MID_MSG_武器経験値入手: 武器の扱いが上手くなった
MID_MSG_支援強化: $a$a0と$a1が仲良くなった
MID_MSG_通信交流終了: 通信交流が終了しました
MID_MSG_戦闘予測_死亡: 非常に危険です
MID_MSG_戦闘予測_特効: 敵の武器が危険です
MID_MSG_戦闘予測_3すくみ: 武器の相性が悪いです
MID_TRICK_命中: $a命中＋$a0
MID_TRICK_必殺: $a必殺＋$a0
MID_TRICK_回避: $a回避＋$a0
MID_TRICK_必殺回避: $a必殺回避＋$a0
MID_TRICK_ダメージ強化: $a与えるダメージ＋$a0
MID_TRICK_ダメージ軽減: $a受けるダメージ－$a0
MID_TRICK_ターンダメージ: $aターンダメージ$a0％
MID_TRICK_ターン回復: $aターン回復$a0％
MID_BTL_アタック: アタック！
MID_BTL_サポート: サポート！
MID_MESSAGECARD_紹介: よろしくお願いします。
MID_MESSAGECARD_広場: こんにちは。
MID_MESSAGECARD_玉座: ようこそ。
MID_MESSAGECARD_戦闘: 勝負！
MID_HISTORY_離脱: $a$a0にて離脱
MID_HISTORY_異伝: 異伝
MID_仲間入り_1: $a$a0が仲間になりました。
MID_仲間入り_2: $a$a0・$a1が仲間になりました。
MID_仲間入り_3: $a$a0・$a1・$a2が仲間になりました。
MID_アルム攻撃禁止_メッセージ: $a$a0は、なぜか攻撃してこない！
MID_ドーマの加護_メッセージ: $a$a0は攻撃を封じられた！
MID_ドーマの眼光_メッセージ: $a$a0は攻撃を封じられた！
MID_H_ULIST_クラス: 兵種でソートします
MID_H_ULIST_レベル: レベルでソートします
MID_H_ULIST_経験値: 経験値でソートします
MID_H_ULIST_ＨＰ: 現在のＨＰでソートします
MID_H_ULIST_ＭＨＰ: 最大ＨＰでソートします
MID_H_ULIST_力: 攻撃の強さでソートします
MID_H_ULIST_技: 技でソートします
MID_H_ULIST_速さ: 速さでソートします
MID_H_ULIST_幸運: 運の良さでソートします
MID_H_ULIST_守備: 守備でソートします
MID_H_ULIST_魔防: 魔法防御でソートします
MID_H_ULIST_命中: 命中率でソートします
MID_H_ULIST_必殺: 必殺率でソートします
MID_H_ULIST_物理回避: 物理回避率でソートします
MID_H_ULIST_魔法回避: 魔法回避率でソートします
MID_H_ULIST_移動: 移動力でソートします
MID_名声_加算100以上: 名声が高まった！
MID_名声_加算300以上: 名声が大きく高まった！
MID_名声_加算500以上: バレンシア大陸に名声がとどろいた！
MID_名声_等級アップ: $a名声の等級が「$a0」から\n「$a1」に上がった！
MID_記憶の欠片_無し: この記憶を覗くためには\n記憶の欠片が必要です
MID_ミラの歯車メニュー_NoItem: ミラの歯車が反応しない…
MID_ミラの歯車_警告: ミラの歯車から異音がしはじめた
MID_ミラの歯車_限界: ミラの歯車の調子がわるくなった！
MID_FIN: FIN
