MESS_ARCHIVE_GMap


Message Name: Message


MID_GMAP_N人: $a$a0人
MID_GMAP_COMMENT_沼の墓地: 毒の沼に侵食された\n不気味な墓地。\n恐ろしい魔物が\n出没するといわれる。
MID_GMAP_COMMENT_ドルクの砦: 毒の沼の中に建つ\n異様な雰囲気の砦。\n死竜を召喚するという\nドーマ教団の\n祈祷師ドルクの本拠地。
MID_GMAP_COMMENT_ドルクの砦内部: 毒の沼の中に建つ\n異様な雰囲気の砦。\n死竜を召喚するという\nドーマ教団の\n祈祷師ドルクの本拠地。
MID_GMAP_COMMENT_賢者の里: リゲル北東部に広がる\n広大な迷いの森の中に\nある隠れ里。\nこの場所には、偉大な\n賢者がいるといわれる。
MID_GMAP_COMMENT_ドーマの門: リゲル帝国領の\n東側を通る街道を\n塞ぐように造られた、\n神の名を冠する\n巨大な砦。
MID_GMAP_COMMENT_ドーマの沼: リゲル帝国の北端\nに位置する、\n神の名を冠する\n広大な毒の沼地。
MID_GMAP_COMMENT_ドーマの塔: ドーマ教団の本拠地。\n何らかの目的をもって\n古の時代に建設された\n神の名を冠する\n巨大な塔。
MID_GMAP_COMMENT_国境: ソフィア王国領と\nリゲル帝国領の国境。\nリゲル側の背後には、\n鬱蒼とした針葉樹林が\n広がっている。
MID_GMAP_COMMENT_リゲルの森: 平原に広がる\n鬱蒼とした針葉樹林。\nつねに薄暗いことから\nリゲルに住む者からは\n黒い森とも呼ばれている。
MID_GMAP_COMMENT_恐山: 大陸で最も高い山で、\nバレンシア全土を\n見渡すことができる。\n生者が踏み込むことを\n阻むようなただならぬ\n雰囲気がただよう。
MID_GMAP_COMMENT_恐山のほこら: 恐山に造られた\n謎の多いほこら。\nかなり深いところまで\n続いているらしく、\n数多くの宝が眠って\nいると言われる。
MID_GMAP_COMMENT_ヌイババ館: 恐山の頂に造られた\nドーマ教団の妖術師\nヌイババの本拠地。
MID_GMAP_COMMENT_ヌイババ館内部: 恐山の頂に造られた\nドーマ教団の妖術師\nヌイババの本拠地。
MID_GMAP_COMMENT_リゲル平野: 地形の起伏の多い\nリゲル帝国の領内に\nおいて数少ない平野部。
MID_GMAP_COMMENT_リゲルの村: リゲル領内にある村。\n葡萄の名産地。\nこの土地の冷涼な\n気候と丘陵地帯を\n利用して広大な\n葡萄畑が作られている。
MID_GMAP_COMMENT_リゲルの谷: 竜の火口の麓にある\n少し開けた土地。
MID_GMAP_COMMENT_竜の火口: リゲル帝国領の西部に\n位置する火山地帯。\n呪われた竜の山とも\n言われ地元の人間から\n恐れられている。
MID_GMAP_COMMENT_リゲルの滝: リゲル帝国領内にある\nバレンシア大陸でも\n最大の滝。\n落差が大きい上に、\n滝の水量も莫大である。
MID_GMAP_COMMENT_秘密のほこら: リゲルの滝の裏に\n隠れるようにつくられた\n謎につつまれた場所\nであり、その存在を\n知るものは少ない。
MID_GMAP_COMMENT_要塞: 山の中腹に造られた\n非常に堅牢な\n難攻不落の要塞。\nなにものにも破られた\nことのない、\nリゲル城の防衛の要。
MID_GMAP_COMMENT_リゲル城: 岩山の地形を利用して\n造られた城。\n砦のように無骨な\n実戦を意識した造りで、\n優美なソフィア城とは\n対照的な雰囲気を持つ。
MID_GMAP_COMMENT_リゲル城内部: 岩山の地形を利用して\n造られた城。\n砦のように無骨な\n実戦を意識した造りで、\n優美なソフィア城とは\n対照的な雰囲気を持つ。
MID_GMAP_COMMENT_アカネイア航路１: バレンシア大陸の\n東にあるといわれる\nアカネイア大陸に渡る\nための航路。
MID_GMAP_COMMENT_アカネイア航路２: バレンシア大陸の\n東にあるといわれる\nアカネイア大陸に渡る\nための航路。
MID_GMAP_COMMENT_アカネイア航路３: バレンシア大陸の\n東にあるといわれる\nアカネイア大陸に渡る\nための航路。
MID_GMAP_COMMENT_アカネイア航路４: バレンシア大陸の\n東にあるといわれる\nアカネイア大陸に渡る\nための航路。
MID_GMAP_COMMENT_アカネイア航路５: バレンシア大陸の\n東にあるといわれる\nアカネイア大陸に渡る\nための航路。
MID_GMAP_COMMENT_アカネイア航路６: バレンシア大陸の\n東にあるといわれる\nアカネイア大陸に渡る\nための航路。
MID_GMAP_COMMENT_フリアの港: 腕自慢の英雄フリアの\nもとに人々が集まり、\n作られた辺境の港。
MID_GMAP_COMMENT_テーベの地下迷宮: かつて魔道の力に\nあふれていた都市の\n巨大な亡骸。\n数百年の長きに渡り\nマーモトード砂漠の\n砂に埋もれながら\n眠り続けている。
MID_GMAP_SUB_思い出の味: 思い出の味
MID_GMAP_SUB_H_思い出の味: 物欲しげな老人から、かつてこの\n村で作られていたという\n「ラムの葡萄酒」を探してきてくれと\n依頼された。
MID_GMAP_SUB_チーズの帝王: チーズの帝王
MID_GMAP_SUB_H_チーズの帝王: チーズ好きの貴族から、\n大陸中のいろいろな種類のチーズを\nもってくるよう依頼された。
MID_GMAP_SUB_甘いお菓子づくり: 甘いお菓子づくり
MID_GMAP_SUB_H_甘いお菓子づくり: 酒場の主人の妻から、子どもたちの\nために焼くクッキーの材料として\n「小麦粉」「はちみつ」「バター」\nを集めてきて欲しいと依頼された。
MID_GMAP_SUB_おいしいひもの: おいしいひもの
MID_GMAP_SUB_H_おいしいひもの: 魚好きのおじさんから、山の中では\n手に入りにくいタテウオのひものを\nもってきてほしいと依頼された。
MID_GMAP_SUB_美味なるものには: 美味なるものには
MID_GMAP_SUB_H_美味なるものには: 貴族の料理人から、この世で\nもっとも旨い魚料理を作って主人を\n満足させるために「ダゴンの切り身」\nを持ってきて欲しいと依頼された。
MID_GMAP_SUB_神の飲み物: 神の飲み物
MID_GMAP_SUB_H_神の飲み物: 大魔道士から、「薬草のシロップ」\n「ガーゴイルの耳」「スケルトン油」\n「ドーマのコケ」の材料を持ってくれば\nネクタルを作ってやると\n持ちかけられた。
MID_GMAP_SUB_足りない歯車: 足りない歯車
MID_GMAP_SUB_H_足りない歯車: 神経質なシスターから、大陸中に\nちらばった「小さな歯車」を\n拾い集め、ミラの歯車の本来の機能を\n回復させてほしいと依頼された。
MID_GMAP_SUB_逸品の油: 逸品の油
MID_GMAP_SUB_H_逸品の油: 水門番から、設備の整備のために\n「スケルトン油」を持ってきて\n欲しいと依頼され、「スケルトン油」\nの採り方を教わった。
MID_GMAP_SUB_サンゴを集めてくれ: サンゴを集めてくれ
MID_GMAP_SUB_H_サンゴを集めてくれ: 大商人アレッシオから、\n「サンゴのかけら」を持っていれば\n高値で買取るという、うまい話を\n持ちかけられた。
MID_GMAP_SUB_価値ある指輪: 価値ある指輪
MID_GMAP_SUB_H_価値ある指輪: 大商人アレッシオから、\n「サンゴの指輪」を格安で譲っても\n良いという、うまい話を\n持ちかけられた。
MID_GMAP_SUB_死の商人: 死の商人
MID_GMAP_SUB_H_死の商人: 大商人アレッシオから、「鋼の槍」を\n持っていれば高値で買取るという、\nうまい話を持ちかけられた。
MID_GMAP_SUB_酒場の裏メニュー: 酒場の裏メニュー
MID_GMAP_SUB_H_酒場の裏メニュー: 酒場の主人に「マナの草」を\n３本渡せば、貴重なシロップを\nつくってくれるという。
MID_GMAP_SUB_最強の盾: 最強の盾
MID_GMAP_SUB_H_最強の盾: この村の鍛冶屋から「竜のうろこ」を\n４枚集めてくれば、最強と名高い\n「竜の盾」を作ってやると\n持ちかけられた。
MID_GMAP_SUB_王家の秘宝: 王家の秘宝
MID_GMAP_SUB_H_王家の秘宝: 学者風の男から、研究のために\n解放軍のアジトの一角の、\n王家の人間が葬られる区画に行き、\n王家の宝物を持ち帰って欲しいと\n依頼された。
MID_GMAP_SUB_輝きのデリカ: 輝きのデリカ
MID_GMAP_SUB_H_輝きのデリカ: 学者風の男から、「ドーマのコケ」\n「発酵乳」「オレンジ」を用意すれば\nアンブロシアを作ってやると\n持ちかけられた。
MID_GMAP_SUB_修道女の落とし物: 修道女の落とし物
MID_GMAP_SUB_H_修道女の落とし物: 狼狽するシスターから、水路に落とし\nミラ神殿のどこかに流されてしまった\n「銀の盆」の回収を依頼された。
MID_GMAP_SUB_ソフィア王に静寂を: ソフィア王に静寂を
MID_GMAP_SUB_H_ソフィア王に静寂を: 不気味な隠者から歴代ソフィア王の\n安らかな眠りのために、解放軍の\nアジトに出現した魔物を討伐して\n欲しいと依頼された。
MID_GMAP_SUB_盗賊をこらしめて: 盗賊をこらしめて
MID_GMAP_SUB_H_盗賊をこらしめて: 腹を立てる女性から、付近の盗賊を\n２０人ほど倒して仕返しして欲しいと\n依頼された。
MID_GMAP_SUB_死者にやすらぎを: 死者にやすらぎを
MID_GMAP_SUB_H_死者にやすらぎを: 物憂げな隠者から、ノーヴァの墓地に\n出現したゾンビを２０体ほど倒し、\n彼らに安らかな眠りを与えて\nやって欲しいと依頼された。
MID_GMAP_SUB_石の耳: 石の耳
MID_GMAP_SUB_H_石の耳: 薬の学者から、自らの研究のための\n素材として「ガーゴイルの耳」を３つ\n集めてきて欲しいと依頼され、\n「ガーゴイルの耳」の採り方を\n教わった。
MID_GMAP_SUB_家宝をとりもどせ　ドゼー編: 家宝をとりもどせ　ドゼー編
MID_GMAP_SUB_H_家宝をとりもどせ　ドゼー編: リオン家の当主を名乗る貴族から、\nドゼーに没収された家宝の盾を\n取り返して欲しいと依頼された。
MID_GMAP_SUB_家宝をとりもどせ　ギース編: 家宝をとりもどせ　ギース編
MID_GMAP_SUB_H_家宝をとりもどせ　ギース編: フーガ家の当主を名乗る貴族から、\n盗賊たちに盗み出された家宝の盾を\nギースのもとから取り返して欲しいと\n依頼された。
MID_GMAP_SUB_連れ去られた少女: 連れ去られた少女
MID_GMAP_SUB_H_連れ去られた少女: 村のおじさんから、ガーゴイルに\nさらわれ、森のほこらに連れて\nいかれた娘を助け出して欲しいと\n依頼された。
MID_GMAP_SUB_囚人の行方: 囚人の行方
MID_GMAP_SUB_H_囚人の行方: 商人の妻から、行方不明になった\n夫を探すため、森のほこらを\n捜索して欲しいと依頼された。
MID_GMAP_SUB_息子を探して: 息子を探して
MID_GMAP_SUB_H_息子を探して: くたびれた婦人から、竜のほこらに\n復活の井戸の水を取りに行った\n息子を探して欲しいと依頼された。
MID_GMAP_SUB_父親の思い出: 父親の思い出
MID_GMAP_SUB_H_父親の思い出: 旅の青年から、行方不明になった\n父親の情報を聞いた。\nいつでも赤い三角帽子をかぶった、\nお洒落な人物だったというが……
MID_GMAP_SUB_カワイイものほしいな: カワイイものほしいな
MID_GMAP_SUB_H_カワイイものほしいな: 森のほこらから救出した女の子が、\nカワイイものが欲しいのだという。\n何かカワイイものを持っていって\nやれば喜ぶかもしれない。
MID_GMAP_SUB_伝説の秘薬: 伝説の秘薬
MID_GMAP_SUB_H_伝説の秘薬: 途方にくれる婦人が、娘の病を\n治すために「薬草のシロップ」を\n欲しがっている。
MID_GMAP_SUB_奪われた仕事道具: 奪われた仕事道具
MID_GMAP_SUB_H_奪われた仕事道具: 素朴な木こりが、仕事道具の斧を\n盗賊に取り上げられてしまい\n途方にくれている。
MID_GMAP_SUB_奪われた偶像: 奪われた偶像
MID_GMAP_SUB_H_奪われた偶像: 素朴な木こりが、自作のドーマ像を\nうれしそうに見せびらかしてきた。\nこれを持っていると、いつもより\n調子がいいということだが……
MID_GMAP_SUB_出られなくなった男: 出られなくなった男
MID_GMAP_SUB_H_出られなくなった男: ほこらの奥にいた衰弱した男が、\n何か食べ物をくれと要求してくるが\n肉類でなければだめらしい。
MID_GMAP_SUB_天上の釣り糸: 天上の釣り糸
MID_GMAP_SUB_H_天上の釣り糸: 腕の良い漁師にダゴンの切り身が\n欲しいとお願いすると、透明な紐の\nようなものがあれば、ダゴンを\n釣り上げることができると言われた。
MID_GMAP_SUB_遙かなる遠き大地: 遙かなる遠き大地
MID_GMAP_SUB_H_遙かなる遠き大地: 異国の商人から、この大陸の東にある\nアカネイア大陸までの航路の護衛を\n依頼された。
