MESS_ARCHIVE_Result


Message Name: Message


MID_リザルト_戦果: 戦果
MID_リザルト_ジェニー_死亡: そんな……やだよお……
MID_リザルト_コンラート_完勝: この私がいるからには、必然といえよう。
MID_リザルト_コンラート_辛勝: 薄氷の勝利だな。精進せねば……
MID_リザルト_コンラート_死亡: 犠牲はつきものだというが……
MID_リザルト_コンラート_死亡_1: アンテーゼ…君の幸せだけを願っていたのに……！
MID_リザルト_セーバー_完勝: いつもこんだけ楽に勝てりゃいいんだがなあ。
MID_リザルト_セーバー_辛勝: ま、勝ちは勝ちだ。
MID_リザルト_セーバー_死亡: 勝つには勝ったが、辛いもんだな……
MID_リザルト_セーバー_死亡_1: お嬢ちゃん…あんたには、幸せになってほしかったぜ。
MID_リザルト_バルボ_完勝: 俺にかかれば、これくらい朝飯前よ。
MID_リザルト_バルボ_辛勝: ふう、ちょっとやばかったな。
MID_リザルト_バルボ_死亡: 守ってやれなくて、すまねえな……
MID_リザルト_カムイ_完勝: 楽して勝てると、気持ちいいねえ。
MID_リザルト_カムイ_辛勝: あーあ、無駄に疲れちまったぜ。
MID_リザルト_カムイ_死亡: ……ま、誰だって死ぬときは死ぬさ。
MID_リザルト_レオ_完勝: うふふっ、アタシってば完璧よねー
MID_リザルト_レオ_辛勝: あんもう、ドキドキしちゃった。
MID_リザルト_レオ_死亡: ごめんなさいね、助けてあげられなくて……
MID_リザルト_レオ_死亡_1: いやよ、兄貴！　アタシ、なんのために戦えばいいの？！
MID_リザルト_パオラ_完勝: やったわ、完璧な勝利じゃない？
MID_リザルト_パオラ_辛勝: なんとか勝てたわね。
MID_リザルト_パオラ_死亡: 仲間を失うのは辛いわね……
MID_リザルト_パオラ_死亡_1: なんてこと……！　ああ、私が代わりになれたらいいのに……
MID_リザルト_カチュア_完勝: あっけなかったわね。
MID_リザルト_カチュア_辛勝: 勝てたなら、まあいいわ。
MID_リザルト_カチュア_死亡: 守れなくて、ごめんね……
MID_リザルト_カチュア_死亡_1: うそよ、こんなの…私たち、誰も欠けちゃいけないのよ……？
MID_リザルト_アトラス_完勝: よっしゃあ、ざまあみろ！
MID_リザルト_アトラス_辛勝: ふう、危なかったぜ。
MID_リザルト_アトラス_死亡: 俺がもっと強けりゃ……
MID_リザルト_ジェシー_完勝: ふふん、楽勝だったね。
MID_リザルト_ジェシー_辛勝: はあ、次はもっと楽して勝ちたいよ。
MID_リザルト_ジェシー_死亡: 別れってのは嫌なもんだね……
MID_リザルト_ソニア_完勝: あら、もう終わり？　つまらないわ……
MID_リザルト_ソニア_辛勝: 手こずっちゃったわ、私らしくもない。
MID_リザルト_ソニア_死亡: 割り切らないとやってられないわ……
MID_リザルト_ディーン_完勝: つまらんな、この程度か。
MID_リザルト_ディーン_辛勝: なかなかやるではないか……
MID_リザルト_ディーン_死亡: 犠牲はつきものだ、いちいち嘆く暇はない。
MID_リザルト_エスト_完勝: 私がみんなの役にたったのなら嬉しいな。
MID_リザルト_エスト_辛勝: ふう、ギリギリだったね。大丈夫？
MID_リザルト_エスト_死亡: みんなで先に進めなくて残念だよ……
MID_リザルト_エスト_死亡_1: 姉さま！　やだやだ、こんなのいやーっ！！
MID_リザルト_ノーマ_完勝: ほっほっほ、楽勝じゃな。
MID_リザルト_ノーマ_辛勝: ふう、肝を冷やしたわい。
MID_リザルト_ノーマ_死亡: 若い者の死はこたえるのう……
MID_リザルト_ベルクト_完勝: 当然だ、勝利は常に俺と共にある。
MID_リザルト_ベルクト_辛勝: 俺をここまで追い詰めるとはな……
MID_リザルト_ベルクト_死亡: 犠牲はつきものだ、明日は我が身と知るがいい。
MID_リザルト_フェルナン_完勝: どうだ、これが俺の実力だ。
MID_リザルト_フェルナン_辛勝: くそっ、ここまで手こずるとはな……
MID_リザルト_フェルナン_死亡: 俺にもっと力があれば……
MID_リザルト_フェルナン_死亡_1: クレーベ、お前…なにをやっているんだ……！
