CoinRushCourseIn\CoinRushCourseIn_00\CoinRushCourseIn_00.msbt
T_Mii_00_PID01	正在挑戰自己的紀錄！
T_Message4_00_PID11	～目標：100萬枚金幣～\n\n在遊戲中收集到的金幣\n將記錄成「金幣數合計」。\n以100萬枚為目標\n收集金幣吧！
T_Message4_00_PID12	～{c[0040ff]}悄悄通訊{c[000000]}～\n\n發送並累計在遊戲收集到的金幣枚數，\n接收全世界金幣數合計的資訊和資料。\n（含瑪利歐相關廣告）
T_Message4_00_PID20	要在主機上登錄{c[0040ff]}悄悄通訊{c[000000]}嗎？\n\n將在SD卡上製作{c[0040ff]}悄悄通訊{c[000000]}\n所使用的新增資料。
T_Message4_00_PID31	未插入SD卡。
T_Message4_00_PID32	無法辨識SD卡。
T_Message4_00_PID33	插入SD卡插槽的設備無法使用。
T_Message4_00_PID34	SD卡已設定為防寫保護。\n請解除SD卡的防寫保護開關。
T_Message4_00_PID35	SD卡的剩餘容量不足，\n無法製作新增資料。
T_Message4_00_PID36	SD卡處理失敗。
T_Message4_00_PID40	已在主機上登錄{c[0040ff]}悄悄通訊{c[000000]}。\n\n已在SD卡上製作新增資料。
T_Message4_00_PID41	已在SD卡上製作新增資料。
T_Message4_00_PID44	{c[0040ff]}悄悄通訊{c[000000]}可以\n隨時在選項裡設定。
T_Message4_00_PID50	要開啟{c[0040ff]}悄悄通訊{c[000000]}，\n必須同意使用協議。\n請確認主機設定。
T_Message4_00_PID51	無{c[0040ff]}悄悄通訊{c[000000]}所使用的新增資料，\n即將在SD卡上製作。
T_Message4_00_PID52	新增資料已損壞，\n即將在SD卡上重新製作。
T_Message4_00_PID53	無法使用SD卡，\n即將退出{c[0040ff]}悄悄通訊{c[000000]}。
T_Message4_00_PID54	無法辨識新增關卡包。\n請在Shop確認。
T_Message4_00_PID60	確定要退出{c[0040ff]}悄悄通訊{c[000000]}嗎？
T_Message4_00_PID61	已退出{c[0040ff]}悄悄通訊{c[000000]}。
T_Message4_00_PID70	全世界收集到的金幣已超過\n\x0e\x01\x0b\x02\0\x1e枚！
T_Message4_00_PID80	正在刪除儲存資料……
T_Message4_00_PID81	請稍候。\n\n請不要碰觸SD卡\n或電源鍵。
T_Message4_00_PID82	請稍候。\n\n請不要碰觸電源鍵。
T_Message4_00_PID83	正在準備\n開始遊戲……
T_Message4_00_PID84	1234567890-^\\qwertyuiop@[\nasdfghjkl;:]zxcvbnm,./\\*-+\n!"#$%&'()=~|QWERTYUIOP`\{\nASDFGHJKL+*}ZXCVBNM<>?_\n１２３４５６７８９０－＾￥\n！”＃＄％＆’（）＝～｜
T_Message4_00_PID85	ｑｗｅｒｔｙｕｉｏｐ＠［\nＱＷＥＲＴＹＵＩＯＰ‘｛\nａｓｄｆｇｈｊｋｌ；：］\nＡＳＤＦＧＨＪＫＬ＋＊｝\nｚｘｃｖｂｎｍ，．／￥\nＺＸＣＶＢＮＭ＜＞？＿円説
T_Message4_00_PID86	一右雨円王音下火花貝学気九休玉金空月犬見\n五口校左三山子四糸字耳七車手十出女小上森\n人水正生青夕石赤千川先早草足村大男竹中虫\n町天田土二日入年白八百文木本名目立力林六
T_Message4_00_PID87	引羽雲園遠何科夏家歌画回会海絵外角楽活間\n丸岩顔汽記帰弓牛魚京強教近兄形計元言原戸\n古午後語工公広交光考行高黄合谷国黒今才細\n作算止市矢姉思紙寺自時室社弱首秋週春書少
T_Message4_00_PID88	場色食心新親図数西声星晴切雪船線前組走多\n太体台地池知茶昼長鳥朝直通弟店点電刀冬当\n東答頭同道読内南肉馬売買麦半番父風分聞米\n歩母方北毎妹万明鳴毛門夜野友用曜来里理話
T_Message4_00_PID89	悪安暗医委意育員院飲運泳駅央横屋温化荷開\n界階寒感漢館岸起期客究急級宮球去橋業曲局\n銀区苦具君係軽血決研県庫湖向幸港号根祭皿\n仕死使始指歯詩次事持式実写者主守取酒受州\n拾終習集住重宿所暑助昭消商章勝乗植申身神
T_Message4_00_PID90	真深進世整昔全相送想息速族他打対待代第題\n炭短談着注柱丁帳調追定庭笛鉄転都度投豆島\n湯登等動童農波配倍箱畑発反坂板皮悲美鼻筆\n氷表秒病品負部服福物平返勉放味命面問役薬\n由油有遊予羊洋葉陽様落流旅両緑礼列練路和
T_MessageC_00_PID00	發生錯誤。\n請先長按主機電源鍵關閉電源，\n並重新開啟電源後再試。
T_BtnB_00_PID00	取消
T_BtnB_00_PID01	刪除
T_BtnA_00_PID00	取消
T_BtnA_00_PID01	OK
T_BtnA_00_PID02	下一步
T_BtnA_00_PID03	退出
ContinueWindowTop\ContinueWindowTop_00\ContinueWindowTop_00.msbt
T_Continue_00	繼續
T_Continue2P_00	繼續
T_Continue2_00	繼續
CountDownStartTop\CountDownStartTop_00\CountDownStartTop_00.msbt
T_CountDown1_00	1
T_CountDown2_00	2
T_CountDown3_00	3
T_CDStart_00	START!
CourseClearTop\CourseClearTop_00\CourseClearTop_00.msbt
T_DummyText_00	COURSE CLEAR!
CourseInTop\CourseInTop_00\CourseInTop_00.msbt
T_CInWorld_00	WORLD \x0e\x07\0\0-\x0e\x07\x01\0
CourseSelect\CourseSelect_00\CourseSelect_00.msbt
T_Message_00_PID00	點觸來選擇想前往的世界
T_WorldName_00	W>
T_WorldName_01	W1
T_WorldName_02	W2
T_WorldName_03	W3
T_WorldName_04	W4
T_WorldName_05	W5
T_WorldName_06	W6
T_WorldName_07	W)
T_WorldName_08	W*
T_G_WorldName_00	W?
T_G_WorldName_07	W?
T_G_WorldName_08	W?
DemoCourseSelect\DemoCourseSelect_00\DemoCourseSelect_00.msbt
T_ButtonName_00	最初的關卡
T_WorldName_00	W1-1
T_ButtonName_01	尾巴瑪利歐
T_WorldName_01	W1-3
T_ButtonName_02	金環
T_WorldName_02	W1-4
T_ButtonName_03	金色瑪利歐
T_WorldName_03	W2-1
T_Message_00_PID00	請選擇關卡
DemoThanks\DemoThanks_00\DemoThanks_00.msbt
T_Thanks_00	感謝您的試玩！
T_Text_00	體驗版到此結束。\n後續內容請在正式版中繼續享受。
DemoTitle\DemoTitle_00\DemoTitle_00.msbt
T_Type1J_00	跳
T_Type1D_00	衝
T_YBtn_00	$
T_XBtn_00	#
T_BBtn_00	"
T_ABtn_00	!
T_Info_00	操作方法
T_Start_00	請按 $ 開始
DemoTitleTop\DemoTitleTop_00\DemoTitleTop_00.msbt
T_Text_00	體驗版
EventWindowTop\EventWindowTop_00\EventWindowTop_00.msbt
T_Message4_00_PID01	全部的{c[ffde00]}星星金幣{c[000000]}都已收集完畢！
T_Message4_00_PID02	全部過關！
T_Message4_00_PID03	{c[ffde00]}星星世界{c[000000]}出現了！
T_Message4_00_PID04	全部的{c[ffde00]}月亮金幣{c[000000]}都已收集完畢！
T_Message4_00_PID05	模式選擇畫面裡\n增加了金幣衝衝衝！
T_Message4_00_PID06	金幣衝衝衝裡\n增加了等級２ ！
T_Message4_00_PID07	金幣衝衝衝裡\n增加了等級３ ！
T_Message4_00_PID08	金幣衝衝衝的等級１裡\n能玩的世界增加了！
T_Message4_00_PID09	金幣衝衝衝的等級２裡\n能玩的世界增加了！
T_Message4_00_PID10	金幣衝衝衝的等級３裡\n能玩的世界增加了！
T_Message4_00_PID11	從現在起金之花\n存放在金幣衝衝衝了！
T_Message_00_PID20	{c[bae717]}金幣合計{c[000000]}\n達到500枚了！
T_Message_00_PID21	{c[bae717]}金幣合計{c[000000]}\n達到1000枚了！
T_Message_00_PID22	{c[bae717]}金幣合計{c[000000]}\n達到2000枚了！
T_Message_00_PID23	{c[bae717]}金幣合計{c[000000]}\n達到3000枚了！
T_Message_00_PID24	{c[bae717]}金幣合計{c[000000]}\n達到5000枚了！
T_Message_00_PID25	{c[bae717]}金幣合計{c[000000]}\n達到1萬枚了！
T_Message_00_PID26	{c[bae717]}金幣合計{c[000000]}\n達到1萬5千枚了！
T_Message_00_PID27	{c[bae717]}金幣合計{c[000000]}\n達到2萬枚了！
T_Message_00_PID28	{c[bae717]}金幣合計{c[000000]}\n達到2萬5千枚了！
T_Message_00_PID29	{c[bae717]}金幣合計{c[000000]}\n達到3萬枚了！
T_Message_00_PID30	{c[bae717]}金幣合計{c[000000]}\n達到3萬5千枚了！
T_Message_00_PID31	{c[bae717]}金幣合計{c[000000]}\n達到4萬枚了！
T_Message_00_PID32	{c[bae717]}金幣合計{c[000000]}\n達到4萬5千枚了！
T_Message_00_PID33	{c[bae717]}金幣合計{c[000000]}\n達到5萬枚了！
T_Message_00_PID34	{c[bae717]}金幣合計{c[000000]}\n達到6萬枚了！
T_Message_00_PID35	{c[bae717]}金幣合計{c[000000]}\n達到7萬枚了！
T_Message_00_PID36	{c[bae717]}金幣合計{c[000000]}\n達到8萬枚了！
T_Message_00_PID37	{c[bae717]}金幣合計{c[000000]}\n達到9萬枚了！
T_Message_00_PID38	{c[bae717]}金幣合計{c[000000]}\n達到10萬枚了！
T_Message_00_PID39	{c[bae717]}金幣合計{c[000000]}\n達到15萬枚了！
T_Message_00_PID40	{c[bae717]}金幣合計{c[000000]}\n達到20萬枚了！
T_Message_00_PID41	{c[bae717]}金幣合計{c[000000]}\n達到25萬枚了！
T_Message_00_PID42	{c[bae717]}金幣合計{c[000000]}\n達到30萬枚了！
T_Message_00_PID43	{c[bae717]}金幣合計{c[000000]}\n達到35萬枚了！
T_Message_00_PID44	{c[bae717]}金幣合計{c[000000]}\n達到40萬枚了！
T_Message_00_PID45	{c[bae717]}金幣合計{c[000000]}\n達到45萬枚了！
T_Message_00_PID46	{c[bae717]}金幣合計{c[000000]}\n達到50萬枚了！
T_Message_00_PID47	{c[bae717]}金幣合計{c[000000]}\n達到60萬枚了！
T_Message_00_PID48	{c[bae717]}金幣合計{c[000000]}\n達到70萬枚了！
T_Message_00_PID49	{c[bae717]}金幣合計{c[000000]}\n達到80萬枚了！
T_Message_00_PID50	{c[bae717]}金幣合計{c[000000]}\n達到90萬枚了！
T_Message_00_PID51	{c[bae717]}金幣合計{c[000000]}\n達到100萬枚了！
T_Message_00_PID61	達到10萬枚！\n收集之路才剛開始，加油！
T_Message_00_PID62	達到20萬枚！\n今晚也會夢到金幣！
T_Message_00_PID63	達到30萬枚！\n還有更多金幣在等著你！
T_Message_00_PID64	達到40萬枚！\n還差一點點就到一半了！
T_Message_00_PID65	做得好！ 達到50萬枚！\n收集金幣，魅力無法擋！
T_Message_00_PID66	達到60萬枚！\n收集金幣不手軟！
T_Message_00_PID67	達到70萬枚！\n金幣收集到欲罷不能！
T_Message_00_PID68	達到80萬枚！\n金幣！金幣！金幣！
T_Message_00_PID69	達到90萬枚！\n金幣塔高高聳立！
T_Message_00_PID70	厲害！100萬枚收集成功！\n送你成功的證明！
T_Message_00_PID71	不會吧！停止累計！\n已經數不清了！
T_Message_00_PID90	1234567890-^\\qwertyuiop@[\nasdfghjkl;:]zxcvbnm,./\\*-+\n!"#$%&'()=~|QWERTYUIOP`\{
T_Message_00_PID91	ASDFGHJKL+*}ZXCVBNM<>?_\n１２３４５６７８９０－＾￥\n！”＃＄％＆’（）＝～｜
T_Message_00_PID92	ｑｗｅｒｔｙｕｉｏｐ＠［\nＱＷＥＲＴＹＵＩＯＰ‘｛\nａｓｄｆｇｈｊｋｌ；：］
T_Message_00_PID93	ＡＳＤＦＧＨＪＫＬ＋＊｝\nｚｘｃｖｂｎｍ，．／￥\nＺＸＣＶＢＮＭ＜＞？＿
FileSelect\FileSelect_00\FileSelect_00.msbt
T_WorldName_00_PID00	WORLD\x0e\x07\x02\x02\0\xcd
T_NewFile_00	新遊戲
T_WorldName_01_PID00	WORLD\x0e\x07\x02\x02\0\xcd
T_NewFile_01	新遊戲
T_WorldName_02_PID00	WORLD\x0e\x07\x02\x02\0\xcd
T_NewFile_02	新遊戲
T_Copy2_03	複製
T_Copy_03	複製
T_Dlete2_04	刪除
T_Dlete_04	刪除
T_Message_00_PID00	請選擇檔案
T_Message_01_PID00	要複製哪一個檔案？
T_Message_01_PID01	要複製到哪一個檔案？
T_Message_01_PID02	要刪除哪一個檔案？
T_WorldName_04_PID00	WORLD\x0e\x07\x02\x02\0\xcd
T_WorldName_03_PID00	WORLD\x0e\x07\x02\x02\0\xcd
T_Yajirushi_00_PID00	↓
T_LeftBtn_00	取消
T_RightBtn_00	OK
T_MessageW_00_PID00	要複製嗎？
T_MessageW_00_PID01	確定要刪除嗎？
T_MessageW_01_PID00	複製中……
T_MessageW_01_PID01	刪除中……
T_MessageW_02_PID00	檔案複製完畢。
T_MessageW_02_PID01	檔案刪除完畢。
T_NewFile_03	新遊戲
T_BtnB_05	取消
T_BtnA_06	OK
GameOverTop\GameOverTop_00\GameOverTop_00.msbt
T_DummyText_00	GAME OVER
MapSceneTop\MapSceneTop_00\MapSceneTop_00.msbt
T_CourseNum_00_PID00	W\x0e\x06\x02\x02\0\xcd-\x0e\x06\x03\x02\x01\xcd
T_CourseNum_00_PID01	W\x0e\x06\x02\x02\0\xcd-\x0e\x06\x03\x02\x01\xcdP
T_CourseNum_00_PID02	W\x0e\x06\x02\x02\0\xcd-\x0e\x06\x03\x02\x01\xcdQ
MarioSelect\MarioSelect_00\MarioSelect_00.msbt
T_UserName_00_PID00	\x0e\x01\t\x02\0\n瑪利歐
T_UserName_01_PID00	\x0e\x01\t\x02\0\n瑪利歐
T_UserName_02_PID00	\x0e\x01\t\x02\0\n瑪利歐
T_Message_00_PID00	請選譯想一起玩的瑪利歐
NumberSelect\NumberSelect_00\NumberSelect_00.msbt
T_Number_00	單人遊戲
T_Number_01	雙人遊戲
T_Number_02	金幣衝衝衝
T_Option_00	選項
Option\Option_00\Option_00.msbt
T_ButtonName_00_PID00	操作方法
T_Type1Gray_00_PID00	類型 1
T_Type2Gray_00_PID00	類型 2
T_Type1J_00_PID00	跳
T_Type1D_00_PID00	衝
T_Type1Black_00_PID00	類型 1
T_Type2J_00_PID00	跳
T_Type2D_00_PID00	衝
T_Type2Black_00_PID00	類型 2
T_YBtn_00	$
T_XBtn_00	#
