CoinRushCourseIn\CoinRushCourseIn_00\CoinRushCourseIn_00.msbt
T_Mii_00_PID01	正在挑战自己的纪录！
T_Msg_00_PID00	　可以添加瞬缘连接。\n　可以通过瞬缘连接交换纪录。
T_Msg_00_PID01	　玩随机选出的３个关卡。\n挑战零失误，大量收集金币吧！
T_Msg_00_PID02	　使用交换到的瞬缘数据来玩，\n　还可以确认已保存的“自己的纪录”。
T_Msg_00_PID03	　可以购买能在金币冲冲冲里玩的新增关卡包。\n　在新增关卡包可以玩正篇中没有出现的关卡。
T_Msg_00_PID04	返回标题画面
T_MyCourse_00_PID00	\x0e\x01\x0c\x02\0@
T_MyCourse_00_PID01	等级１关卡包
T_MyCourse_00_PID02	等级２关卡包
T_MyCourse_00_PID03	等级３关卡包
T_MyCourse_00_PID04	非对应关卡包
T_MyCourse_00_PID05	ーーーーー
TheEndTop\TheEndTop_00\TheEndTop_00.msbt
T_TheEnd_00	THE END
TotalCoin\TotalCoin_00\TotalCoin_00.msbt
T_GetCoin_00_PID00	10000枚达成！
T_GetCoin_00_PID01	30000枚达成！
T_GetCoin_00_PID02	50000枚达成！
T_GetCoin_00_PID03	100000枚达成！
T_GetCoin_00_PID04	200000枚达成！
T_GetCoin_00_PID05	400000枚达成！
T_GetCoin_00_PID06	700000枚达成！
T_GetCoin_00_PID07	1000000枚达成！
