MESS_ARCHIVE_ギースの砦内部_C


Message Name: Message


MID_ADV_C_エスト1_1: $Sbs1000|$t0$Wmエスト|6$w0|$Wsエスト|$Wa$SvpV_SC_3_18_ADV1_EST1_1_00|$E笑,|帕奥拉姐姐、卡秋雅姐姐！$k\n$Wsエスト|$Wd$w0|$Wmパオラ|6$w0|$SbpBGM_EVT_MEET|0|$Wsパオラ|$Wa$SvpV_SC_3_18_ADV1_EST1_1_01|啊，爱丝特！\n还好你没事。$k$p$SvpV_SC_3_18_ADV1_EST1_1_02|$E悲,|你这个人\n总是让别人操心……$k\n$Wsパオラ|$Wd$w0|$Wmエスト|6$w0|$Wsエスト|$Wa$E悲,|$SvpV_SC_3_18_ADV1_EST1_1_03|对不起，帕奥拉姐姐。\n可是……$k$p$SvpV_SC_3_18_ADV1_EST1_1_04|啊啊，真的好可怕啊！！\n卡秋雅姐姐！$k\n$Wsエスト|$Wd$w0|$Wmカチュア|6$w0|$Wsカチュア|$Wa$E驚,|$SvpV_SC_3_18_ADV1_EST1_1_05|喂，等等……！$k$p$SvpV_SC_3_18_ADV1_EST1_1_06|$E苦,|爱丝特，你已经不是小孩了。$k\n$Wsカチュア|$Wd$w0|$Wmエスト|6$w0|$Wsエスト|$Wa$E悲,|$SvpV_SC_3_18_ADV1_EST1_1_07|可是……可是……！$k$p$SvpV_SC_3_18_ADV1_EST1_1_08|这种时候让我撒娇一下，\n有什么关系？$k\n$Wsエスト|$Wd$w0|$Wmカチュア|6$w0|$Wsカチュア|$Wa$E通常,|$SvpV_SC_3_18_ADV1_EST1_1_09|才不只是\n“这种时候”吧。$k$p$SvpV_SC_3_18_ADV1_EST1_1_10|你不是\n一天到晚都在撒娇吗？$k\n$Wsカチュア|$Wd$w0|$Wmエスト|6$w0|$Wsエスト|$Wa$E怒,|$SvpV_SC_3_18_ADV1_EST1_1_11|才……才没有呢！$k\n$Wsエスト|$Wd$w0|$Wmパオラ|6$w0|$Wsパオラ|$Wa$E驚,|$SvpV_SC_3_18_ADV1_EST1_1_12|好了，你们两个。$k$p$SvpV_SC_3_18_ADV1_EST1_1_13|难得见面，\n又要吵架了啊？$k$p$SvpV_SC_3_18_ADV1_EST1_1_14|$E特殊1,|真是的……$k\n$Wsパオラ|$Wd$w0|$Wmセリカ|6$w0|$Wsセリカ|$Wa$E笑,|$SvpV_SC_3_18_ADV1_EST1_1_15|呵呵……$k\n$Wsセリカ|$Wd$w0|$Wmパオラ|6$w0|$Wsパオラ|$Wa$E通常,|$SvpV_SC_3_18_ADV1_EST1_1_16|啊，赛莉卡！$k$p$SvpV_SC_3_18_ADV1_EST1_1_17|真不好意思，\n妹妹们这么吵闹。$k\n$Wsパオラ|$Wd$w0|$Wmセリカ|6$w0|$Wsセリカ|$Wa$E特殊1,|$SvpV_SC_3_18_ADV1_EST1_1_18|没关系的。\n最重要的是，平安无事真是太好了。$k\n$Wsセリカ|$Wd$w0|$Wmパオラ|6$w0|$Wsパオラ|$Wa$E通常,|$SvpV_SC_3_18_ADV1_EST1_1_19|这都是托你的福啊，赛莉卡。$k$p$SvpV_SC_3_18_ADV1_EST1_1_20|只有我和卡秋雅的话，\n是不可能救出爱丝特的。$k$p$SvpV_SC_3_18_ADV1_EST1_1_21|$E笑,|真的谢谢你……$k\n$Sbs1000|
MID_ADV_C_ソニア_SELECT: 要让索尼娅成为伙伴吗？
MID_ADV_C_ソニア2: $t3$Wmソニア|5$w0|$Wmセリカ|h$w0|$Wsソニア|$Wa$SvpV_SC_3_18_ADV1_SONYA2_00|$E怒,|哎呀，你不需要我吗？$k$p$SvpV_SC_3_18_ADV1_SONYA2_01|哼……\n你可不要后悔啊。$k
MID_ADV2_C_ソニア: $t3$Wmソニア|5$w0|$Wmセリカ|h$w0|$Wsソニア|$Wa$SvpV_SC_3_18_ADV2_SONYA_00|$E通常,|哎呀，事到如今你还想说什么呢？$k$p$SvpV_SC_3_18_ADV2_SONYA_01|希望我能帮忙？\n这样呀，要怎么办好呢？$k
MID_ADV_C_Door: 要打开门吗？
MID_SUB13_1_1: $Z$t1$Wmでっぷり商人|5$VF隠|$w0|$Wsでっぷり商人|$Wa$VNMPID_大商人アレッシオ|啊，是你！$k$p“珊瑚碎片”那件事，\n承蒙你照顾了呢。$k$p哎呀，糟糕了。\n期待又落空了。$k$p其实呢，有笔大交易呀。$k$p需要收集大量的“钢枪”。$k$p现在多哲已经死了，能帮忙的\n原本只剩下吉斯了……$k$p想不到连吉斯都被讨伐了！$k$p能打败连索菲亚骑士团\n都头疼的吉斯……$k$p到底那一群人有多可怕啊？$k$p啊啊，比起那些，\n重要的是“钢枪”。$k$p这次的委托人是个狠单位……\n搞砸的话连我的小命也可能不保。$k$p我已经想办法拼命收集了，\n但还需要5支。$k$p你如果有“钢枪”的话，\n能不能卖给我呀？$k$p我用比高于外面行情的价格购买。\n1支50枚银币怎么样？$k
MID_SUB13_1_確認1: 要卖出“钢枪”吗？
MID_SUB13_1_2: $Z$t1$Wmでっぷり商人|5$VF隠|$w0|$Wsでっぷり商人|$Wa$VNMPID_大商人アレッシオ|你愿意卖给我“钢枪”吗？$k$p哦哦，太感谢了！\n我会开更高的价钱给你的！！$k
MID_SUB13_1_確認2: 获得“50枚银币”。
MID_SUB13_1_3: $Z$t1$Wmでっぷり商人|5$VF隠|$w0|$Wsでっぷり商人|$Wa$VNMPID_大商人アレッシオ|竟然如此残忍……$k
MID_SUB13_2_1: $Z$t1$Wmでっぷり商人|5$VF隠|$w0|$Wsでっぷり商人|$Wa$VNMPID_大商人アレッシオ|“钢枪”还不够。\n如果你有的话，拜托卖给我吧！$k
MID_SUB13_3_1: $Z$t1$Wmでっぷり商人|5$VF隠|$w0|$Wsでっぷり商人|$Wa$VNMPID_大商人アレッシオ|太好了，有这些“钢枪”就够了！$k$p哎呀，真是太感谢了。\n这次应该真的可以大赚一笔了。$k$p那我赶快送去给委托人了。$k
MID_SUB13_4_1: $Z$t1$Wmでっぷり商人|5$VF隠|$w0|$Wsでっぷり商人|$Wa$VNMPID_大商人アレッシオ|哦哦，是你呀。$k$p其实委托人联络我，\n说不需要“钢枪”了。$k$p委托人很生气\n没收集到足够数量的枪……$k$p我决定先避避风头，\n直到状况稳定一点儿。$k
MID_SUB13_4_確認1: 大商人阿莱西奥离开了。
