MESS_ARCHIVE_字幕


Message Name: Message


MID_字幕_エンディング_1: 就这样，
MID_字幕_憎しみの剣_3: 都是你
MID_字幕_憎しみの剣_4: 害我失去了一切！
MID_字幕_憎しみの剣_5: 索菲亚王国
MID_字幕_憎しみの剣_6: 伙伴们
MID_字幕_憎しみの剣_7: 连赛莉卡都……
MID_字幕_憎しみの剣_8: 住手！
MID_字幕_憎しみの剣_9: 你们两个看不见我吗？不可以！
MID_字幕_憎しみの剣_10: 拜托你们，住手！
MID_字幕_憎しみの剣_11: 啊！
MID_字幕_憎しみの剣_12: 不要―――！！
MID_字幕_憎しみの剣_13: 阿鲁姆……
MID_字幕_運命の子供たち_1: 嗯？
MID_字幕_運命の子供たち_2: 阿鲁姆！！
MID_字幕_運命の子供たち_3: 诶！？
MID_字幕_運命の子供たち_4: 哇
MID_字幕_運命の子供たち_5: 呃……呃……
MID_字幕_運命の子供たち_6: 啊！啊啊啊……！
MID_字幕_運命の子供たち_7: 好疼啊……
MID_字幕_運命の子供たち_8: 你……你是……赛莉卡？
MID_字幕_運命の子供たち_9: 你是赛莉卡吗？
MID_字幕_運命の子供たち_10: 阿鲁姆！太好了，我们终于重逢了……！
MID_字幕_運命の子供たち_11: 我离开拉姆村整整７年……
MID_字幕_運命の子供たち_12: 一直都见不到你……！
MID_字幕_運命の子供たち_13: 赛莉卡……我也一直好想见你……！
MID_字幕_怒れる女神_1: 诶！？
MID_字幕_怒れる女神_2: 啊……啊……啊啊……！
MID_字幕_怒れる女神_3: 快！
MID_字幕_怒れる女神_4: 米拉大人，不好了！
MID_字幕_怒れる女神_5: 米拉大人，请救救我！
MID_字幕_怒れる女神_6: 米拉大人！！
MID_字幕_怒れる女神_7: 利盖尔皇帝到底在打我们索菲亚什么歪主意。
MID_字幕_怒れる女神_8: 王之牙……
MID_字幕_怒れる女神_9: 这把剑意味着什么，米拉大人的话
MID_字幕_怒れる女神_10: 不可能不知道
MID_字幕_怒れる女神_11: 混账东西……
MID_字幕_怒れる女神_12: 混账，竟敢打破盟约！！
MID_字幕_怒れる女神_13: 多玛你这混蛋……！
MID_字幕_怒れる女神_14: 啊啊啊啊啊……！
MID_字幕_怒れる女神_15: 哼！呀啊啊啊啊！
MID_字幕_英雄たちの戦い_1: 准备完毕。
MID_字幕_英雄たちの戦い_2: 我知道了。
MID_字幕_英雄たちの戦い_3: 阿鲁姆大人？
MID_字幕_英雄たちの戦い_4: 啊，没事。
MID_字幕_英雄たちの戦い_5: 走吧，各位！
MID_字幕_英雄たちの戦い_6: 打倒皇帝鲁道夫，结束这场战役！
MID_字幕_英雄たちの戦い_7: 为了守护索菲亚！
MID_字幕_英雄たちの戦い_8: 为了索菲亚！
MID_字幕_英雄たちの戦い_9: 冲啊！
MID_字幕_英雄たちの戦い_10: 喔喔喔喔喔喔！
MID_字幕_英雄たちの戦い_11: 来了！
MID_字幕_英雄たちの戦い_12: 哼……
MID_字幕_英雄たちの戦い_13: 迎战攻击！别让他们踏上利盖尔的大地！
MID_字幕_力の代償_1: 贝尔克特大人！
MID_字幕_力の代償_2: 贝尔克特大人……？
MID_字幕_力の代償_3: 诶！？
MID_字幕_力の代償_4: 您……您……
MID_字幕_力の代償_5: 您该不会把莉奈雅大人……！？
MID_字幕_力の代償_6: 呜！
MID_字幕_力の代償_7: 呜呜……呃……
MID_字幕_力の代償_8: 呜……呜哇啊啊啊啊啊！
MID_字幕_力の代償_9: 嘿……哈哈哈……
MID_字幕_力の代償_10: 哇哈哈哈哈！
MID_字幕_力の代償_11: 哇哈哈哈哈……
MID_字幕_死闘A_1: ！！
MID_字幕_死闘A_2: 赛莉卡！你没事吗！
MID_字幕_死闘A_3: 呜啊啊啊啊！
MID_字幕_死闘B_1: 呜啊啊啊啊啊啊！
MID_字幕_死闘B_2: 赛莉卡，住手！
MID_字幕_死闘B_3: 阿鲁姆……
MID_字幕_死闘B_4: ！！
MID_字幕_死闘B_5: 再这样下去，我会杀了你的
MID_字幕_死闘B_6: 所以
MID_字幕_死闘B_7: 求你了，阿鲁姆
MID_字幕_死闘B_8: 杀了我！
MID_字幕_死闘B_9: 呜哇啊啊啊……！
MID_字幕_死闘B_10: 我怎么可能……
MID_字幕_死闘B_11: 下得了手！
MID_字幕_死闘B_12: 拥有多玛圣痕之人啊
MID_字幕_死闘B_13: 拿起法尔西昂
MID_字幕_死闘B_14: ！！
MID_字幕_死闘B_15: 到底是怎么回事！
MID_字幕_死闘B_16: 怎么可能！封印竟然解除了……！
MID_字幕_死闘B_17: 咿……
MID_字幕_死闘B_18: 咿！咿……！！
MID_字幕_死闘B_19: 嘿呀啊啊啊！
MID_字幕_死闘B_20: 相信法尔西昂
MID_字幕_死闘B_21: 嘿呀啊啊啊！
MID_字幕_死闘B_22: 不会吧……
MID_字幕_死闘B_23: 怎么会有这种事？
MID_字幕_死闘B_24: 赛莉卡，赛莉卡！你振作一点儿！
MID_字幕_死闘B_25: 赛莉卡！！
MID_字幕_死闘B_26: 呜……呜呜……
MID_字幕_死闘B_27: 诶？
MID_字幕_死闘B_28: ……阿鲁姆？
MID_字幕_死闘B_29: 赛莉卡……！
