MESS_ARCHIVE_後日談


Message Name: Message


MID_AFT_DLCで死亡: 在战争中倒下辞世……
MID_AFT_アトラス: 他回到有弟弟们等待的山中村落，\n像往常一样以伐木为生。\n他保卫村落远离盗贼魔爪，\n似乎因此深受民众爱戴。\n虽已不再从军，\n但一旦遭逢紧急状况，只要王妃委托，\n据说他就会飞快前往赴命。
MID_AFT_ジェシー: 在过去的吉斯领地上\n建立起新的佣兵国家，\n并自立为王。\n据说一旦遭逢紧急状况，\n便会积极协助阿鲁姆一世等人。\n他的名号――沙漠的佣兵王，\n至今仍继续流传着。
MID_AFT_ソニア: 据说她为了寻找方法\n医治变成魔女的女性，\n而四处流浪着。\n于某地失去消息后，\n便行踪不明。\n就在她失踪的那段期间前后，\n据传恐山的奴伊巴巴馆，\n疑似有新的魔女入住……
MID_AFT_ディーン: 战争结束后，他与勇者之剑\n突然一同消失无踪。\n之后便完全没有他的相关记录，\n一切成谜。
MID_AFT_セーバー: 协助杰西建立起佣兵王国，\n一同打造其基础。\n自己也以佣兵的身份\n毕生投入战斗中，\n并曾数次\n拯救瓦伦西亚脱离危机。\n据说其美丽的妻子\n总是常伴左右。
MID_AFT_セーバー_1: 与美丽的妻子一同\n为复兴瓦伦西亚统一王国\n尽心尽力。\n虽不隶属于骑士团，\n但据说他凭着佣兵时期的经验\n游走于各地，\n并且平定了各式各样的纷争。
MID_AFT_リュート: 在领悟到自己的魔道尚未精熟后，\n他便渡海前往另一端的大陆。\n之后的行踪虽不得而知，\n但据说不断有好斗之人，\n为寻找古怪的魔道士\n而来到瓦伦西亚。
MID_AFT_デューテ: 终战后，据说她便不再使用魔法，\n以一位普通女性的身份，\n过着奔放且幸福的日子。\n在王都与理想的男性结为了连理，\n但每当她偶尔回到森林村落，\n便会热烈地谈起哥哥的往事。
MID_AFT_ティータ: 她边祈祷着\n吉克不要恢复记忆，\n边与他过着幸福的生活。\n虽偶尔会分隔两地，\n但据说他的归所，\n总是有她在的地方。
MID_AFT_ティータ_1: 失去最爱的人后，\n她便将自己关在修道院中，每日祈祷。\n但一名旧识不忍看她如此，\n便展开热烈追求。据说她被其热情打动，\n两人最终结为连理。
MID_AFT_カチュア: 顺利达成\n救出爱丝特的目的后，\n便满足地回到了故乡。\n关于她之后的活跃事迹，\n在阿卡奈亚大陆的历史中\n有详细的描述。
MID_AFT_カチュア_1: 失去姐妹后，\n便满怀悲伤地回到了故乡。\n关于她之后的活跃事迹，\n在阿卡奈亚大陆的历史中\n有详细的描述。
MID_AFT_パオラ: 顺利达成\n救出爱丝特的目的后，\n便满足地回到了故乡。\n关于她之后的活跃事迹，\n在阿卡奈亚大陆的历史中\n有详细的描述。
MID_AFT_パオラ_1: 失去姐妹后，\n便满怀悲伤地回到了故乡。\n关于她之后的活跃事迹，\n在阿卡奈亚大陆的历史中\n有详细的描述。
MID_AFT_エスト: 顺利与姐姐们重逢后，\n便满足地\n回到了故乡。\n关于她之后的活跃事迹，\n在阿卡奈亚大陆的历史中\n有详细的描述。
MID_AFT_エスト_1: 失去姐妹后，\n便满怀悲伤地回到了故乡。\n关于她之后的活跃事迹，\n在阿卡奈亚大陆的历史中\n有详细的描述。
MID_AFT_ジーク: 在激烈的战事中，\n他恢复了记忆。\n但不知是为了深爱着他的缇塔，\n抑或是那段记忆\n实在过于痛苦，\n据说他绝口不提过去的事，\n与缇塔一同生活。
MID_AFT_ジーク_1: 他对深爱自己的缇塔死去一事\n悲叹万分，\n因而忽然消失了行踪。\n据说有人曾在阿卡奈亚大陆\n见到过他的身影，\n但此说法真伪不明。
