MESS_ARCHIVE_ResidentMenu


Message Name: Message


MID_MENU_戻る: 返回
MID_MENU_持ち物_並べ替え: 更改排序
MID_MENU_持ち物_使う: 使用
MID_MENU_持ち物_使う確認: $a要使用$a0吗？
MID_MENU_持ち物_渡す確認: $a要交出$a0吗？
MID_MENU_持ち物_食べる: 食用
MID_MENU_持ち物_食べる確認: $a要食用$a0吗？
MID_MENU_持ち物_飲む: 饮用
MID_MENU_持ち物_飲む確認: $a要饮用$a0吗？
MID_MENU_持ち物_スキルの書_確認: $a要学会$a0吗？\n（技能栏中如果没有空位，\n　学会的技能会新增到\n　更换技能的已学会技能栏）
MID_MENU_持ち物_交換: 易物
MID_MENU_持ち物_捨てる: 丢弃
MID_MENU_持ち物_捨てる説明: 无法持有更多道具。\n请选择１件道具\n丢弃。
MID_MENU_持ち物_送る説明: 无法持有更多道具。\n请选择要装进\n行囊里的道具。
MID_MENU_持ち物_捨てる確認: $a真的要丢弃$a0吗？
MID_MENU_持ち物_送る確認: $a要把$a0装进行囊吗？
MID_MENU_輸送隊_お供え説明: 请选择要\n上供的食物。
MID_MENU_輸送隊_捨てる説明: 行囊已经装满了。\n请选择要丢弃的\n道具。
MID_MENU_輸送隊_配達説明: 请选择要商人\n保管的道具。
MID_MENU_輸送隊_渡す説明: 请选择要交出的\n道具。
MID_MENU_輸送隊_見せる説明: 请选择要展现的\n道具。
MID_MENU_スキル_忘却確認: $a要卸下$a0吗？
MID_MENU_スキル_忘却: 装备的技能\n太多了。\n请选择１种\n技能卸下。
MID_MENU_クラスチェンジ確認: $a要转职成$a0吗？
MID_MENU_クラスチェンジ確認_アイテム使用: $a要使用$a0\n转职成$a1吗？
MID_MENU_エターナル確認: 要将等级上限提升５个等级吗？
MID_MENU_仲間入り確認: $a要让$a0成为伙伴吗？\n（即使不成为伙伴，\n也会新增到追随者名录中）
MID_MENU_召喚_限界: 幻影兵的数量已达上限
MID_MENU_クラスチェンジ: 转职
MID_H_MENU_クラスチェンジ: 进行转职
MID_MENU_お供え: 上供
MID_H_MENU_お供え: 上供食物，恢复疲劳
MID_H_MENU_お供え_歯車: 上供食物，恢复疲劳并修复米拉齿轮
MID_MENU_Amiibo: amiibo
MID_H_MENU_Amiibo: 可以使用amiibo游玩
MID_MENU_Amiibo_Write: 写入
MID_H_MENU_Amiibo_Write: 让amiibo反映出游戏中的强度
MID_MENU_Amiibo_Dungeon: 迷宫
MID_H_MENU_Amiibo_Dungeon: 使用amiibo，挑战特殊的迷宫
MID_H_MENU_Amiibo_Dungeon_NG: 在迷宫或据点中无法使用。
MID_MENU_Duma_Dungeon: 战神的考验
MID_H_MENU_Duma_Dungeon: 可以挑战战神多玛的考验
MID_MENU_Mila_Dungeon: 女神的考验
MID_H_MENU_Mila_Dungeon: 可以挑战女神米拉的考验
MID_MENU_AmiiboDung_女神の試練_説明: 在女神米拉的迷宫中挑战强敌！\n游玩此迷宫需要有赛莉卡的amiibo。
MID_MENU_AmiiboDung_戦神の試練_説明: 在战神多玛的迷宫中挑战强敌！\n游玩此迷宫需要有阿鲁姆的amiibo。
MID_MENU_記憶の欠片: 记忆碎片
MID_H_MENU_記憶の欠片: 可以使用记忆碎片观看往事
MID_MENU_支援会話回想: 支援对话回想
MID_H_MENU_支援会話回想: 可以观看单位之间的对话
MID_H_MENU_記憶の欠片_誘導: 要观看哪个记忆呢？
MID_H_INFO_クラスチェンジ可能: 获得转职资格的证明
MID_H_INFO_レベル: 看出成为这个兵种后，\n累积了多少经验的基准
MID_H_INFO_経験値: 累积战斗经验的数值，\n达到１００就会升级
MID_H_INFO_ＨＰ: 生命力　当前值／上限值\n变为０即阵亡
MID_H_INFO_疲労度_元気: 疲劳度\n经历战斗就会累积，\n一旦到达极限，最大HP就会下降\n当前精神饱满
MID_H_INFO_疲労度_通常: 疲劳度\n经历战斗就会累积，\n一旦到达极限，最大HP就会下降\n当前状态一般
MID_H_INFO_疲労度_ピンチ: 疲劳度\n经历战斗就会累积，\n一旦到达极限，最大HP就会下降\n当前状态危险
MID_H_INFO_疲労度_疲労: 疲劳度\n经历战斗就会累积，\n一旦到达极限，最大HP就会下降\n当前疲惫不堪
MID_H_INFO_支援ユニット: 情谊深厚的伙伴
MID_H_INFO_力: 攻击的强度　数值越大，\n给敌人的伤害越大
MID_H_INFO_技: 技巧　数值越大，\n命中或暴击率越高
MID_H_INFO_速さ: 速度　数值越大，回避几率越高\n比敌人高就有机会追击（攻击２次）
MID_H_INFO_幸運: 幸运程度　会影响很多方面\n数值越大，越不易遭敌人暴击
MID_H_INFO_守備: 防守　数值越大，敌人使用剑等\n武器造成的物理攻击伤害越小
MID_H_INFO_魔防: 魔法防御　数值越大，敌人使用\n魔法攻击所造成的伤害越小
MID_H_INFO_移動: 移动力　数值越大，\n就可以在越大的范围内移动
MID_H_INFO_攻撃: 武器或魔法的攻击力
MID_H_INFO_命中: 数值越大，攻击越容易命中敌人
MID_H_INFO_必殺: 数值越大，越容易使出暴击
MID_H_INFO_回避: 数值越大，越容易避开敌人攻击
MID_H_INFO_戦闘力: 单位的综合\n强度标准
MID_H_INFO_戦力: 军队的综合强度标准
MID_H_INFO_未習得戦技: 尚未学会的战技
MID_MENU_詳細UIに変更: 变更为普通界面了
MID_MENU_簡単UIに変更: 变更为简化界面了
MID_MENU_バックアップ_記録中: 正在保存数据。\n请勿关闭电源，\n或取出卡片。
MID_MENU_バックアップ_記録中2: 数据更新中。
MID_MENU_バックアップ_記録確認: 要保存数据吗？
MID_MENU_バックアップ_記録無し確認: 不保存数据就\n前进到下一章吗？
MID_MENU_バックアップ_記録無し確認_メインメニュー: 不保存数据就\n返回主菜单吗？
MID_MENU_バックアップ_中断削除確認: 中断数据将会消失，是否确认？
MID_MENU_バックアップ_削除確認: 是否确认删除数据？
MID_MENU_バックアップ_コピー確認: 要复制数据吗？
MID_MENU_バックアップ_消去中: 正在删除保存数据。\n请勿关闭电源，\n或取出卡片。
MID_MENU_バックアップ_中断消去中: 正在删除中断数据。\n请勿关闭电源，\n或取出卡片。
MID_MENU_バックアップ_ロード失敗: 未能读取保存数据。
MID_MENU_ファイル_ロード失敗: 未能读取档案。
MID_MENU_ファイル_バージョンエラー: 保存数据版本与游戏不同，\n因此未能读取。\n请将游戏更新到最新版本。
MID_戦績_TURN: TURN
MID_戦績_MVP: MVP
MID_戦績_MVPなし: 无
MID_戦績_MVPコネクト: ＆
MID_Movie_Skip: 跳过
MID_追加コンテンツ_破損_警告: 追加内容已毁损。\n若要正常开始游戏。\n请在特别项目菜单中，\n重新下载追加内容。
MID_追加コンテンツ_破損_中断: 找不到追加内容，\n因此无法开始游戏。\n请在特别项目菜单中，\n重新下载追加内容。
MID_AMIIBO_召喚確認: $a是否消耗$a0HP，\n在$a1回合内\n召唤单位？
MID_AMIIBO_召喚二回目: 已经召唤过amiibo了。\n将会消除先前召唤的amiibo，\n是否确认？
MID_AMIIBO_召喚済み: 无法召唤相同的amiibo。
MID_AMIIBO_召喚オーバー: 无法召唤更多\namiibo。
