MESS_ARCHIVE_Skill


Message Name: Message


MSID_無し: －－－－－－
MSID_H_G物理半減: 物理攻击所造成的\n伤害减半
MSID_H_G魔法半減: 魔法攻击所造成的\n伤害减半
MSID_H_鉄剣２: 不会受到对手的反击
MSID_H_雷剣２: 对一名相邻的敌人\n进行强力攻击
MSID_H_金剣２: 若击败敌方，\n则可获得食物
MSID_H_女剣２: 施放蕴含魔力的\n二连击
MSID_H_鉄槍２: 对一名不相邻的敌人\n进行掷枪攻击
MSID_H_鋼槍２: 对一名相邻的敌人\n进行蓄力攻击
MSID_H_銀槍１: 进行此攻击时，\n将获得对魔法的抗性
MSID_H_銀槍２: 战斗结束后，\n使对手推进１格
MSID_H_殺弓: 进行高速的二连射
MSID_H_滅殺: 灭杀
MSID_H_アルム奥義: 阿鲁姆的奥义
MSID_H_セリカ奥義: 赛莉卡的奥义
MSID_H_トライアングル: 与姐妹联手，\n进行连续攻击
MSID_H_主人公: 主角
MSID_H_リゲル王家: 利盖尔王族
MSID_H_ソフィア王家: 索菲亚王族
MSID_H_隣接回復: 每回合\n相邻单位之ＨＰ均恢复５
MSID_H_自動回復: 每回合\nＨＰ均恢复５
MSID_H_自動回復大: 每回合\nＨＰ均恢复
MSID_H_自動回復祈祷師: 每回合\nＨＰ均恢复５
MSID_H_吸収: 吸收
MSID_H_一撃死無効: 使一击死亡无效
MSID_H_神殺し: 可将【神】消灭
MSID_H_地形効果無効: 使地形效果无效
MSID_H_呪い: 以一定几率\n对使用者施以诅咒
MSID_H_呪い無効: 抑制诅咒的发生几率
MSID_H_魔法武器: 将此武器的攻击\n视为魔法攻击
MSID_H_威力固定: 固定威力值
MSID_H_瀕死攻撃: 进行濒死攻击
MSID_H_魔法回避: 进行魔法回避
MSID_H_良成長: 高成长
MSID_H_きまぐれ成長: 升级时，异于本身资质的部分\n将会成长
MSID_H_魔法射程＋１: 黑魔法的射程\n增加１格
MSID_H_魔法射程＋２: 黑魔法的射程\n增加２格
MSID_H_魔防＋: 魔防值提升５
MSID_H_魔法命中＋１０: 黑魔法的命中率\n提升１０％
MSID_H_魔法威力＋５: 黑魔法的攻击力\n提升５
MSID_H_必殺全回避: 不会受到暴击攻击
MSID_H_対魔物増強: 对手持有【魔物】系时，\n力量＋１０
MSID_H_怨声: 不受攻击射程影响，\n必定进行反击
MSID_H_命中回避＋２０: 命中、回避＋１０
MSID_H_剣ダメージ半減: 剑所造成的伤害减半
MSID_H_槍ダメージ半減: 枪所造成的伤害减半
MSID_H_斧ダメージ半減: 斧所造成的伤害减半
MSID_H_弓ダメージ半減: 弓所造成的\n伤害减半
MSID_H_魔法ダメージ半減: 魔法所造成的\n伤害减半
MSID_H_対魔ダメージ半減: 【魔物】系所造成的\n伤害减半
MSID_H_弓ダメージ半減_兵種: 弓所造成的\n伤害减半
MSID_H_魔法ダメージ半減_兵種: 魔法所造成的\n伤害减半
MSID_H_弓魔ダメージ半減_道具: 弓、魔法所造成的\n伤害减半
MSID_H_消耗必殺: ＨＰ在一半以下时，\n暴击率提升
MSID_H_巨大: 巨大
MSID_H_ダウンロード: 下载
MSID_H_交換禁止: 禁止交换
MSID_H_敗北条件: 败北条件
MSID_H_強制キリバト: 强制切换战斗
MSID_H_強制オンバト: 强制地图战斗
MSID_H_キリバト禁止: 禁止切换战斗
MSID_H_魔女ワープ: 传送到对手附近，\n并进行行动
MSID_H_召喚数乱数のみ: 召唤数量仅随机
MSID_H_召喚確率高: 高几率召唤
MSID_H_召喚必ず: 必定召唤
MSID_H_ディル無効: 灭魔无效
MSID_H_召喚AI: 召唤AI
MSID_H_召喚独立: 召唤独立
MSID_H_ビグル道連れ: 比格鲁同行
MSID_H_分裂: 以一定几率进行分裂
MSID_H_ダメージ床無効: 使地板所造成的伤害无效
MSID_H_生存ロスト: 亡逝
MSID_H_祈り: 受到使ＨＰ为０的攻击时，\n将以幸运×２的几率存活
MSID_H_攻撃時2回攻撃: 攻击时，可进行2次攻击
MSID_H_特殊演出: 特殊演出
MSID_H_準特殊演出: 准特殊演出
MSID_H_魔力射程: 魔力射程
MSID_H_半魔力射程: １／２魔力射程
MSID_H_四半魔力射程: １／４魔力射程
MSID_H_弓射程＋１: 弓的攻击射程\n增加１格
MSID_H_弓射程＋２: 弓的攻击射程\n增加２格
MSID_H_被毒: 每回合\nＨＰ减少１０
MSID_H_被毒２: 每回合\nＨＰ减少１０
MSID_H_被毒３: 每回合\nＨＰ减少１０
MSID_H_被足止め: 无法移动，\n且回避率下降３０％
MSID_H_被足止め始: 无法移动，\n且回避率下降３０％
MSID_H_被魔封じ: 无法使用魔法、传送
MSID_H_被魔封じ始: 无法使用魔法、传送
MSID_H_毒パッシブ: 若攻击命中，\n将使对手陷入【中毒】状态
MSID_H_足止めパッシブ: 若攻击命中，\n将使对手陷入【封锁移动】状态
MSID_H_魔封じパッシブ: 若攻击命中，\n将使对手陷入【封锁魔法】状态
MSID_H_ドーマの加護: 借助多玛神之力，\n封锁对手的攻击
MSID_H_メガクェイク: 大地魔法\n对敌方全体造成伤害
MSID_H_ダークスパイク: 邪龙的刺棘\n对范围内的敌人造成伤害
MSID_H_邪竜の鱗: 所受伤害减半
MSID_H_赤の呪い: 使周边３格内的敌人\n回避值下降２０
MSID_H_防御無効: 无视对手的防御
MSID_H_アルム攻撃禁止: 阿鲁姆禁止攻击
MSID_H_状態異常無効: 不会陷入\n毒、麻痹等异常状态
MSID_H_騎馬: 骑着马奔驰战场\n高移动力
MSID_H_飛行: 移动或战斗时，\n将不受地形影响
MSID_H_鎧: 穿着铠甲的士兵\n以高防御力著称
MSID_H_魔物: 受诅咒的生物\n具有高生命力
MSID_H_上級魔物: 获得力量而进化的魔物\n可使灭魔无效化
MSID_H_竜族: 存在稀有的龙族\n具有压倒性的力量
MSID_H_神: 持续追求力量，\n最后失去自我的神龙
MSID_H_神_ギムレー: 由神之力与负面意念\n所形成的邪龙
MSID_H_騎馬特効: 对持有【骑马】的对手\n具有攻击特效
MSID_H_飛行特効: 对持有【飞行】的对手\n具有攻击特效
MSID_H_鎧特効: 对持有【铠兵】的对手\n具有攻击特效
MSID_H_魔物特効: 对持有【魔物】系的对手\n具有攻击特效
MSID_H_女武器威力２倍: 女性使用时，\n武器威力变为２倍
MSID_H_魔法ＨＰ消費無し: 使用魔法时，\n将不消耗ＨＰ
MSID_H_ダメージ床無効_公開: 不会受到\n来自地形的伤害
MSID_H_amiibo召喚: 使用amiibo，\n召唤幻影兵
