MESS_ARCHIVE_Link


Message Name: Message


MID_LINK_NSD_CONFIRM: 发送数据已损毁。\n将删除发送数据。
MID_CEC_BOX_NAME: FIRE EMBLEM Echoes
MID_CEC_BOX_INFO: 瞬缘记录已更新。
MID_CEC_オーバー: 主机已无法再登录瞬缘连接。\n请在主机设置的瞬缘连接管理，\n停止其他软件的瞬缘连接。
MID_CEC_ビジー: 无法登录\n瞬缘连接。\n稍后重新尝试，\n便可能成功执行。
MID_CEC_規約確認: 使用瞬缘连接\n需先同意最新的使用协议。\n若要使用瞬缘连接，\n请在主机设置中依次选择\n“网络设置”⇒“其他信息”⇒\n“确认使用协议”，同意最新的使用协议。
MID_CEC_保護者制限: 与其他用户的瞬缘连接\n受家长或监护人限制，\n因此无法使用瞬缘连接。
MID_CEC_登録失敗: 未能登录\n瞬缘连接。
MID_CEC_登録確認: 使用瞬缘连接\n便可与其他玩家\n交换信息。\n要登录瞬缘连接吗？
MID_CEC_停止確認: 要停止接收\n此保存数据的瞬缘连接吗？
MID_CEC_停止完了: 已停止接收\n此保存数据的瞬缘连接。
MID_CEC_上書確認: 已用其他保存信息\n登录瞬缘连接。\n确定要覆写数据吗？
MID_CEC_登録中: 正在登录瞬缘连接。\n请勿关闭主机电源。
MID_CEC_登録完了: 已登录瞬缘连接。\n已登录的简历卡信息\n将于每次进入\n“瞬缘记录”时更新。
MID_CEC_更新中: 正在更新瞬缘记录
MID_CEC_キャンセル: 若要稍后再登录\n瞬缘连接，\n请选择\n“瞬缘记录”。
MID_CEC_受信停止確認: 要停止接收\n此保存数据的瞬缘连接吗？
MID_CEC_受信開始確認: 要开始接收\n此保存数据的瞬缘连接吗？
MID_CEC_自動保存停止確認: 要停止自动保存\n此保存数据的瞬缘连接吗？
MID_CEC_自動保存停止完了: 已停止自动保存\n此保存数据的瞬缘连接。
MID_CEC_自動保存開始確認: 要开始自动保存\n此保存数据的瞬缘连接吗？
MID_CEC_自動保存開始完了: 已开始自动保存\n此保存数据的瞬缘连接。
MID_BOSS_ENTRY_TASK: 要使用悄然连接，\n接收通知（含广告／宣传）\n及数据吗？
MID_BOSS_ENTRY_REPORT: 此软件的游戏信息将发送给任天堂参考。\n发送的信息将根据\n“Nintendo 3DS网络服务使用协议”或\n“Nintendo Network使用协议”进行处理。\n同意发送游戏信息吗？
MID_BOSS_CONFIRM_STOP: 已登录悄然连接。\n要停止悄然连接吗？
MID_BOSS_CONFIRM_TASK: 要连接至网络，\n接收当前\n已发送的数据吗？
MID_BOSS_EXEC_TASK: 正在下载。\n请勿触碰ＳＤ卡，\n或是电源键。
MID_BOSS_CREATE_TASK: 正在登录悄然连接。\n请勿触碰ＳＤ卡，\n或是电源键。
MID_BOSS_CREATE_EXT: 正在建立追加数据。\n请勿触碰ＳＤ卡，\n或是电源键。
MID_BOSS_STOP_TASK: 正在停止悄然连接。\n请勿触碰ＳＤ卡，\n或是电源键。
MID_BOSS_MOUNT_TASK: 正在确认发送数据
MID_BOSS_RESULT_ENTRY: 已登录悄然连接。
MID_BOSS_RESULT_STOP: 已停止悄然连接。
MID_BOSS_NOT_EULA: 使用悄然连接\n需先同意最新的使用协议。\n若要使用悄然连接，\n请在主机设置中依次选择\n“网络设置”⇒“其他信息”⇒\n“确认使用协议”，同意最新的使用协议。
MID_BOSS_NSD_DELETE: 正在删除发送数据。\n请勿触碰ＳＤ卡，\n或是电源键。
MID_BOSS_INIT_NOT_MEDIA: 无法识别ＳＤ卡，\n因此无法使用悄然连接。\n要停止悄然连接吗？
MID_BOSS_INIT_NOT_WRITE: ＳＤ卡已开启写保护。\n因此无法使用悄然连接。\n要停止悄然连接吗？
MID_BOSS_INIT_NOT_EXT: 找不到追加数据，\n因此无法使用悄然连接。\n要停止悄然连接吗？
MID_BOSS_NOT_TASK: 接收数据前，\n必须登录\n悄然连接。
MID_BOSS_NOT_RECV: 无法接收\n新数据。
MID_BOSS_ERROR_ENTRY: 未能登录悄然连接。
MID_BOSS_ERROR_STOP: 未能停止悄然连接。
MID_BOSS_NOT_MEDIA: 无法识别ＳＤ卡。
MID_BOSS_NOT_WRITE: ＳＤ卡已开启写保护。\n请先关闭电源\n及ＳＤ卡的写保护开关，\n再重新插入ＳＤ卡。
MID_BOSS_NOT_EXT: 找不到追加数据。
MID_BOSS_NOT_STORAGE: 尚未登录悄然连接。
MID_BOSS_NOT_DELETE: 未能删除发送数据。\n请重新登录悄然连接。
MID_REPORT_CREATE_TASK: 正在登录传送游玩内容。\n请勿触碰ＳＤ卡，\n或是电源键。
MID_REPORT_RESULT_ENTRY: 已登录传送游玩内容。
MID_REPORT_ERROR_ENTRY: 未能登录传送游玩内容。
MID_REPORT_CONFIRM_STOP: 正在登录传送游玩内容。\n要停止传送游玩内容吗？
MID_REPORT_STOP_TASK: 正在停止传送游玩内容。\n请勿触碰ＳＤ卡，\n或是电源键。
MID_REPORT_RESULT_STOP: 已停止传送游玩内容。
MID_DATASTORE_SEARCH_NO_DATA: 找不到相关数据。
MID_DATASTORE_GET_DATA_COMPLETE: 已取得。
MID_DATASTORE_WAIT_CONNECTING: 正在连接至网络
MID_DATASTORE_WAIT_UPDATING: 正在更新
MID_DATASTORE_WAIT_SEARCHING: 正在搜索
MID_DATASTORE_WAIT_GETTING: 正在取得
MID_DATASTORE_WAIT_NG_WORD_CHECK: 正在确认已接收数据
MID_DATASTORE_ERROR_NOT_FOUND: 找不到数据。
MID_DATASTORE_ERROR_INVALID_DATA: 发生错误。
MID_LOCAL_EXCHANGE_NG_USERNAME: ？？？
MID_LOCAL_EXCHANGE_SEND_COMPLETE: 已传送。
MID_LOCAL_EXCHANGE_RECEIVE_COMPLETE: 已接收。
MID_LOCAL_ERROR_GENERAL: 发生错误。
MID_LOCAL_ERROR_WIRELESS_OFF: 由于无线通信已关闭，\n因此无法通信。\n请开启无线通信。
MID_LOCAL_ERROR_INVALID_CONNECTION: 发生错误。\n（※若无线通信已关闭，\n　　请开启无线通信。）
MID_LOCAL_ERROR_INVALID_DATA: 发生错误。
MID_MATCH_NG_USERNAME: ？？？
MID_MATCH_WIFI_WAIT_CONNECT: 正在连接至网络
MID_MATCH_WIFI_ERROR_INVALID_DATA: 发生错误。
MID_WIFI_ERROR_GENERAL: 发生错误。\n■请稍后再试。\n■如果症状无法恢复，\n　请咨询主机使用说明书上的\n　任天堂技术服务中心。
MID_WIFI_ERROR_GENERAL_00: 发生错误。\n■请稍后再试。\n■如果症状无法恢复，\n　请咨询主机使用说明书上的\n　任天堂技术服务中心。
MID_BOSS_セブンスポット_無効: 无反应
MID_BOSS_セブンスポット_失敗: 接收失败
