MESS_ARCHIVE_System


Message Name: Message


MID_SYS_クラシック: 经典
MID_MSG_アイテム入手: $a获得$a0
MID_MSG_アイテム送り: $a$a0已送至行囊
MID_MSG_ゴールド入手: $a获得$a0Ｇ
MID_SYS_通貨入手: $a获得$a0枚
MID_MSG_材料入手: $a获得$a1个$a0了
MID_MSG_アイテム略奪: $a$a0被夺走了
MID_MSG_ゴールド略奪: $a$a0Ｇ被夺走了
MID_MSG_アイテム破損: $a$a0损毁了
MID_MSG_アイテム破損２: $a$a1的$a0损毁了
MID_MSG_疲労回復: 疲劳恢复了
MID_MSG_パラメータアップ: $a$a0的$a1提升了
MID_MSG_パラメータダウン: $a$a0的$a1下降了
MID_MSG_武器レベルアップ: $a武器等级$a0提升至$a2了
MID_MSG_武器レベルアップ２: $a$a1的武器等级$a0提升至$a2了
MID_MSG_武器使用可能: $a$a0能使用\n新武器了！
MID_MSG_魔法習得: $a$a0学会新魔法了！
MID_MSG_戦技習得: $a$a0修得战技\n$a1了！
MID_MSG_CC可能_村人: $a$a0获得\n转职的资格了
MID_MSG_CC可能_村人以外: $a$a0获得转职为\n$a1的资格了
MID_MSG_スキル習得: $a$a0修得新技能了！
MID_MSG_スキル習得２: $a$a1修得技能\n$a0了
MID_MSG_支援レベル上昇: $a$a0与$a1的\n支援等级提升至$a2
MID_MSG_捕獲: $a捕获$a0了
MID_MSG_効果無し: 无效果
MID_MSG_能力強化: $a$a0与$a1的状态提升了
MID_MSG_武器経験値入手: 操控武器的技术提升了
MID_MSG_支援強化: $a$a0与$a1的感情提升了
MID_MSG_通信交流終了: 已结束通信交流
MID_MSG_戦闘予測_死亡: 非常危险
MID_MSG_戦闘予測_特効: 敌方的武器很危险
MID_MSG_戦闘予測_3すくみ: 武器的契合度不佳
MID_TRICK_命中: $a命中＋$a0
MID_TRICK_必殺: $a暴击＋$a0
MID_TRICK_回避: $a回避＋$a0
MID_TRICK_必殺回避: $a暴击回避＋$a0
MID_TRICK_ダメージ強化: $a造成伤害＋$a0
MID_TRICK_ダメージ軽減: $a所受伤害－$a0
MID_TRICK_ターンダメージ: $a回合伤害$a0％
MID_TRICK_ターン回復: $a回合恢复$a0％
MID_BTL_アタック: 攻击！
MID_BTL_サポート: 支援！
MID_MESSAGECARD_紹介: 请多指教。
MID_MESSAGECARD_広場: 你好。
MID_MESSAGECARD_玉座: 欢迎。
MID_MESSAGECARD_戦闘: 决一胜负！
MID_HISTORY_離脱: $a于$a0脱离
MID_HISTORY_異伝: 异传
MID_仲間入り_1: $a$a0成为伙伴了。
MID_仲間入り_2: $a$a0、$a1成为伙伴了。
MID_仲間入り_3: $a$a0、$a1、$a2成为伙伴了。
MID_アルム攻撃禁止_メッセージ: $a$a0不知为何并未攻击！
MID_ドーマの加護_メッセージ: $a$a0的攻击被封锁了！
MID_ドーマの眼光_メッセージ: $a$a0的攻击被封锁了！
MID_H_ULIST_クラス: 以兵种排序
MID_H_ULIST_レベル: 以等级排序
MID_H_ULIST_経験値: 以经验值排序
MID_H_ULIST_ＨＰ: 以目前ＨＰ排序
MID_H_ULIST_ＭＨＰ: 以最大ＨＰ排序
MID_H_ULIST_力: 以攻击强度排序
MID_H_ULIST_技: 以技巧排序
MID_H_ULIST_速さ: 以速度排序
MID_H_ULIST_幸運: 以幸运排序
MID_H_ULIST_守備: 以防守排序
MID_H_ULIST_魔防: 以魔法防御排序
MID_H_ULIST_命中: 以命中率排序
MID_H_ULIST_必殺: 以暴击率排序
MID_H_ULIST_物理回避: 以物理回避率排序
MID_H_ULIST_魔法回避: 以魔法回避率排序
MID_H_ULIST_移動: 以移动力排序
MID_名声_加算100以上: 名声提高了！
MID_名声_加算300以上: 名声大幅提高了！
MID_名声_加算500以上: 名声响彻了瓦伦西亚大陆！
MID_名声_等級アップ: $a名声等级自“$a0”\n提升至“$a1”了！
MID_記憶の欠片_無し: 要窥视此记忆\n必须有记忆碎片
MID_ミラの歯車メニュー_NoItem: 米拉齿轮毫无反应……
MID_ミラの歯車_警告: 米拉齿轮开始发出怪声
MID_ミラの歯車_限界: 米拉齿轮的状态变差了！
MID_FIN: FIN
