challenge_mode.msbt
Challenge_Title_001	ドングリへいげんを かけぬけろ！
Challenge_Message2_006	65.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message3_006	61.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Title_008	ツララのどうくつダッシュ
Challenge_Content_008	100.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いないで ゴールをめざせ！
Challenge_Message1_008	100.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message2_008	80.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message3_008	73.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Title_009	雪山のキラーをこえて！
Challenge_Content_009	65.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いないで ゴールをめざせ！
Challenge_Message1_009	65.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message2_009	55.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message3_009	51.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Title_011	セイドンに ご用心！
Challenge_Content_011	70.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いないで ゴールをめざせ！
Challenge_Message1_011	70.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message2_011	58.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message3_011	55.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Title_012	どくぬま きけん地たい
Challenge_Content_012	80.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いないで ゴールをめざせ！
Challenge_Message1_012	80.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message2_012	70.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message3_012	65.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Title_018	ネジ式リフトで  もうダッシュ！
Challenge_Content_018	90.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いないで ゴールリングをめざせ！
Challenge_Message1_018	90.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message2_018	75.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message3_018	65.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Title_020	ズングリたいじと コイン集め
Challenge_Content_020	ズングリをすべてたおして コインを集めろ！\n※ゆかに着地すると しゅうりょう！
Challenge_Message1_020	40まい
Challenge_Message2_020	60まい
Challenge_Message3_020	67まい
Challenge_Title_022	おしろのコインにご注意！
Challenge_Content_022	コインを取らずに ゴールリングをめざせ！\n※コインを6まい いじょう取ると失敗
Challenge_Message1_022	5まい
Challenge_Message2_022	2まい
Challenge_Message3_022	0まい
Challenge_Title_023	急いで集めろ！さばくの かくしコイン
Challenge_Content_023	Pスイッチをふんでコインを集めろ！\n※Pスイッチの効果が切れたら しゅうりょう
Challenge_Message1_023	46まい
Challenge_Message2_023	50まい
Challenge_Message3_023	52まい
Challenge_Title_024	コインをさけつつ かけぬけろ！
Challenge_Content_024	コインを1まいも取らずに\n70.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いないで ゴールをめざせ！
Challenge_Message1_024	70.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message2_024	58.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message3_024	53.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Title_026	イガクリボー そしてコイン取るべからず
Challenge_Content_026	コインを取らずに ゴールをめざせ！\n※コインを6まい いじょう取ると失敗
Challenge_Message1_026	5まい
Challenge_Message2_026	2まい
Challenge_Message3_026	0まい
Challenge_Title_028	どう取る！？ オバケやしきのコイン集め
Challenge_Content_028	取り方を工夫して コインをたくさん集めろ！\n※取れるコインが 全部無くなると しゅうりょう
Challenge_Message1_028	135まい
Challenge_Message2_028	145まい
Challenge_Message3_028	150まい
Challenge_Title_031	雲の世界 コインをよけまくれ！
Challenge_Content_031	コインを取らずに ゴールをめざせ！\n※コインを6まい いじょう取ると失敗
Challenge_Message1_031	5まい
Challenge_Message2_031	2まい
Challenge_Message3_031	0まい
Challenge_Title_032	キラーとリフトで コインをさけて！？
Challenge_Content_032	コインを取らずに ゴールリングをめざせ！\n※コインを6まい いじょう取ると失敗
Challenge_Message1_032	5まい
Challenge_Message2_032	2まい
Challenge_Message3_032	0まい
Challenge_Title_033	さっそうと ほねコースター
Challenge_Content_033	コインをたくさん集めて ゴールをめざせ！
Challenge_Message1_033	120まい
Challenge_Message2_033	130まい
Challenge_Message3_033	140まい
Challenge_Title_034	てき！ コイン！ すべてからの とう走！
Challenge_Content_034	てきをキズつけず コインを取らずに ゴールをめざせ！\n※コインを6まい いじょう取ると失敗
Challenge_Message1_034	5まい
Challenge_Message2_034	2まい
Challenge_Message3_034	0まい
Challenge_Title_035	３段ジャンプで ピョンピョンピョン
Challenge_Content_035	走りながら れんぞくでジャンプして\nコインをたくさん集めて ゴールをめざせ！
Challenge_Message1_035	75まい
Challenge_Message2_035	82まい
Challenge_Message3_035	86まい
Challenge_Title_037	ガケの上の200まいコイン
Challenge_Content_037	コインをたくさん集めて ゴールをめざせ！
Challenge_Message1_037	160まい
Challenge_Message2_037	195まい
Challenge_Message3_037	200まい
Challenge_Title_039	ジュゲムの雲に乗って
Challenge_Content_039	ジュゲムの雲をうばって\nコインを集めろ！
Challenge_Message1_039	120まい
Challenge_Message2_039	130まい
Challenge_Message3_039	140まい
Challenge_Title_040	プロペラで かけ上がれ！ テレサの輪！
Challenge_Content_040	プロペラ状態で、50.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いないで  ゴールリングをめざせ！
Challenge_Message1_040	50.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message2_040	30.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message3_040	23.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Title_041	みずべの谷の ムササビ飛行
Challenge_Content_041	ムササビ状態で ゆかに着地せずに\nゴールをめざせ！
Challenge_Message1_041	-
Challenge_Message2_041	-
Challenge_Message3_041	条件クリア
Challenge_Title_044	キラーの上で 1UPダンス
Challenge_Content_044	てきを ふんで れんぞく1UPをめざせ！
Challenge_Message1_044	1UP
Challenge_Message2_044	20UP
Challenge_Message3_044	60UP
Challenge_Title_045	飛行船のれんぞく１UP
Challenge_Content_045	てきやタマを ふんで れんぞく1UPをめざせ！
Challenge_Message1_045	10UP
Challenge_Message2_045	15UP
Challenge_Message3_045	20UP
Challenge_Title_048	イワヘムの上のノコノコさん
Challenge_Content_048	てきをふんで れんぞく1UPをめざせ！
Challenge_Message1_048	1UP
Challenge_Message2_048	15UP
Challenge_Message3_048	30UP
Challenge_Title_049	スター アンド スター
Challenge_Content_049	れんぞくスターで てきをたおして\nれんぞく1UPをめざせ！
Challenge_Message1_049	60UP
Challenge_Message2_049	70UP
Challenge_Message3_049	77UP
Challenge_Title_057	げきとつ！ ラリーとの空中戦！
Challenge_Content_057	ゆかに着地せずに ボスをたおせ！
Challenge_Message1_057	-
Challenge_Message2_057	-
Challenge_Message3_057	条件クリア
Challenge_Title_058	きょだい生物に ご注意を！
Challenge_Content_058	てきを できるだけ キズつけずに ゴールをめざせ！\n※てきを3かい キズつけると失敗
Challenge_Message1_058	2かい
Challenge_Message2_058	1かい
Challenge_Message3_058	0かい
Challenge_Title_059	きょだい生物の ドキドキ橋わたし
Challenge_Content_059	ムササビ状態で ゆかに着地せずに\nゴールをめざせ！
Challenge_Message1_059	-
Challenge_Message2_059	-
Challenge_Message3_059	条件クリア
Challenge_Title_064	夕焼け空 マメのすがたで ひとっとび！
Challenge_Content_064	スネークブロックをつかわずに\nマメ状態で ゴールをめざせ！
Challenge_Message1_064	-
Challenge_Message2_064	-
Challenge_Message3_064	条件クリア
Challenge_Title_067	ロッククライミングなんて 大きらい！
Challenge_Content_067	ガケにつかまらずに ゴールリングをめざせ！
Challenge_Message1_067	-
Challenge_Message2_067	-
Challenge_Message3_067	条件クリア
Challenge_Title_068	しゃくねつ 上昇リフト 使用禁止
Challenge_Content_068	リフトをつかわずに ゴールリングをめざせ！
Challenge_Message1_068	-
Challenge_Message2_068	-
Challenge_Message3_068	条件クリア
Challenge_Title_069	しゃくねつ 上昇リフト 停止にご注意！
Challenge_Content_069	リフトに てきやコインを乗せずに\nゴールリングをめざせ！
Challenge_Message1_069	-
Challenge_Message2_069	-
Challenge_Message3_069	条件クリア
Challenge_Title_070	わたしを ゴールに連れてって！ リターンズ！
Challenge_Content_070	チョロプーを リフトに乗せて、ゴールまで連れていけ！
Challenge_Message1_070	-
Challenge_Message2_070	-
Challenge_Message3_070	条件クリア
Challenge_Title_071	もっときけんな ファイアボール！ 
Challenge_Content_071	ファイアボールを さけつづけろ！
Challenge_Message1_071	15.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いじょう
Challenge_Message2_071	25.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いじょう
Challenge_Message3_071	40.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いじょう
Challenge_Title_085	テレサのおどりをかいくぐれ！
Challenge_Content_085	40.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いないで ゴールをめざせ！
Challenge_Message1_085	40.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message2_085	24.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message3_085	15.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Title_086	テレサのおどりをかいくぐれ ただしマメで！
Challenge_Content_086	マメ状態で、40.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いないで ゴールをめざせ！
Challenge_Message1_086	40.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message2_086	24.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message3_086	15.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Title_088	ランデブー でかクリボー！
Challenge_Content_088	てきを ふんで れんぞく1UPをめざせ！
Challenge_Message1_088	14UP
Challenge_Message2_088	16UP
Challenge_Message3_088	18UP
Challenge_Title_089	走って すべって ジャンプして！？
Challenge_Content_089	坂を上手にすべって\n40.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いないで ゴールをめざせ！
Challenge_Message1_089	40.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message2_089	33.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message3_089	30.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Title_090	パタパタで ドタバタ！
Challenge_Content_090	順序良く てきをふんで\nれんぞく1UPをめざせ！
Challenge_Message1_090	4UP
Challenge_Message2_090	6UP
Challenge_Message3_090	8UP
Challenge_Title_091	ふんでカキボー
Challenge_Content_091	てきをふんで れんぞく1UPをめざせ！
Challenge_Message1_091	1UP
Challenge_Message2_091	2UP
Challenge_Message3_091	3UP
Challenge_Title_093	およげ ペンギン！ トーピードをふりきれ！
Challenge_Content_093	ペンギン状態で、60.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いないで ゴールリングをめざせ！
Challenge_Message1_093	60.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message2_093	50.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message3_093	45.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Title_095	アワの世界の空中さんぽ
Challenge_Content_095	ちびヨッシーのアワに乗って \nゴールリングをめざせ！
Challenge_Message1_095	-
Challenge_Message2_095	-
Challenge_Message3_095	条件クリア
Challenge_Title_097	暗やみコースターで コインさがし
Challenge_Content_097	コインをたくさん集めて ゴールをめざせ！
Challenge_Message1_097	150まい
Challenge_Message2_097	168まい
Challenge_Message3_097	175まい
Challenge_Title_098	クッパ飛行船のあぶないコイン
Challenge_Content_098	コインを取らず てきをキズつけずに \nゴールリングをめざせ！
Challenge_Message1_098	-
Challenge_Message2_098	-
Challenge_Message3_098	条件クリア
Challenge_Title_100	ダッシュは げん禁！ きょうふのおしろ！
Challenge_Content_100	ダッシュをつかわずに、ゴールリングをめざせ！
Challenge_Message1_100	-
Challenge_Message2_100	-
Challenge_Message3_100	条件クリア
Challenge_Title_101	コインもダメ！ ダッシュ げん禁のおしろ！
Challenge_Content_101	ダッシュをつかわず コインも取らずに ゴールリングをめざせ！\n※コインを6まい いじょう取ると失敗
Challenge_Message1_101	5まい
Challenge_Message2_101	2まい
Challenge_Message3_101	0まい
Challenge_Title_102	ふうせんフワフワ  空中さんぽ
Challenge_Content_102	50.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いないで コインをすべて集めろ！
Challenge_Message1_102	50.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message2_102	38.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message3_102	30.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Title_104	キノコの上を かけぬけろ！
Challenge_Content_104	75.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いないで ゴールをめざせ！
Challenge_Message1_104	75.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message2_104	63.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message3_104	58.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Title_107	歩くパックン！くさりで とびこえて！
Challenge_Content_107	75.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いないで ゴールをめざせ！
Challenge_Message1_107	75.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message2_107	70.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message3_107	65.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Title_109	キラーのおかの 消えたリフト！
Challenge_Content_109	スターコインを取れ！
Challenge_Message1_109	-
Challenge_Message2_109	-
Challenge_Message3_109	条件クリア
Challenge_Title_112	ボムへいさん 大かつやく
Challenge_Content_112	100.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いないで コインをすべて集めろ！
Challenge_Message1_112	100.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message2_112	65.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message3_112	50.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Title_114	スピンジャンプで くるくるアタック！
Challenge_Content_114	スピンジャンプだけで\nてきを ふんで れんぞく1UPをめざせ！
Challenge_Message1_114	3UP
Challenge_Message2_114	7UP
Challenge_Message3_114	14UP
Challenge_Title_115	ペンギンで 楽しい スケート！
Challenge_Content_115	ペンギン状態で地面をすべって \nてきをたおし、れんぞく1UPをめざせ！
Challenge_Message1_115	25UP
Challenge_Message2_115	30UP
Challenge_Message3_115	32UP
Challenge_Title_118	グラグラ岩の上にも3年！
Challenge_Content_118	グラグラ岩から落ちないように、\nジャンプしながら たえつづけろ！
Challenge_Message1_118	15.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いじょう
Challenge_Message2_118	40.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いじょう
Challenge_Message3_118	60.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いじょう
Challenge_Title_119	クリボー ぴょんぴょん！
Challenge_Content_119	てきをふんで れんぞく1UPをめざせ！
Challenge_Message1_119	1UP
Challenge_Message2_119	20UP
Challenge_Message3_119	40UP
Challenge_Title_122	カベに おい込まれた 3びきのカロン！
Challenge_Content_122	てきをふんで れんぞく1UPをめざせ！\n※カベキックを上手につかって時間をかせげ
Challenge_Message1_122	1UP
Challenge_Message2_122	15UP
Challenge_Message3_122	30UP
Challenge_Title_123	マメでドキドキ ガケのぼり！
Challenge_Content_123	マメ状態で ゆかに着地せずに\n100.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いないで ゴールリングをめざせ！
Challenge_Message1_123	100.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message2_123	40.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message3_123	25.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Title_124	はじめての タイムアタック
Challenge_Content_124	ダッシュをつかって、35.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いないで ゴールをめざせ！
Challenge_Message1_124	35.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message2_124	25.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message3_124	21.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Title_126	グラグラ岩の上にも3年！ジャンプはダメよ
Challenge_Content_126	グラグラ岩から落ちないように、たえつづけろ！\n※ただし ジャンプは禁止！
Challenge_Message1_126	10.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いじょう
Challenge_Message2_126	20.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いじょう
Challenge_Message3_126	30.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いじょう
Challenge_Title_128	ムササビつかって、ゆうがに おさんぽ
Challenge_Content_128	ムササビ状態で できるだけ れんぞく1UPをして ゴールをめざせ！\n※ゆかに着地すると しゅうりょう
Challenge_Message1_128	0UP
Challenge_Message2_128	1UP
Challenge_Message3_128	5UP
Challenge_Title_129	きけんな ファイアボール！
Challenge_Content_129	ファイアボールを さけつづけろ！
Challenge_Message1_129	15.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いじょう
Challenge_Message2_129	25.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いじょう
Challenge_Message3_129	40.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いじょう
Challenge_Title_130	わたしを ゴールに連れてって！
Challenge_Content_130	チョロプーを リフトに乗せて、ゴールまで連れていけ！
Challenge_Message1_130	-
Challenge_Message2_130	-
Challenge_Message3_130	条件クリア
Challenge_Title_132	きけんなコインと でかパックン
Challenge_Content_132	コインを取らずに ゴールリングをめざせ！\n※コインを6まい いじょう取ると失敗
Challenge_Message1_132	5まい
Challenge_Message2_132	2まい
Challenge_Message3_132	0まい
course_name.msbt
CourseName_1-1	はじまりのドングリへいげん
CourseName_1-2	いろいろ ななめな どうくつ
CourseName_1-3	ドングリへいげんの ヨッシー
CourseName_1-4	ふわふわキノコのアスレチック
CourseName_1-5	せりあがる大地のパックンフラワー
CourseName_1-TOWER1	ぐるぐる はぐるまのとりで
CourseName_1-CASTLE	レミーの ゆらゆらブランコの城
CourseName_SECRET-SECRET1	ひみつのゲッソーのそうくつ
CourseName_2-1	キョロキョロ イワヘム地たい
CourseName_2-2	サンボだらけの どうくつ
CourseName_2-3	暗やみ ファイアスネーク
CourseName_2-4	坂道ゴロゴロ ガボンのてっきゅう
CourseName_2-5	さばくに生える キノコにガボン
CourseName_2-6	はなさかジュゲムとまわる大地
CourseName_2-TOWER1	まいてのぼって 石のとりで
CourseName_2-CASTLE	モートンの せまるブロックの城
CourseName_SECRET-SECRET2	パックンだらけの氷せかい
CourseName_3-1	ふんすいビーチ
CourseName_3-2	みなみの島の 海中さんぽ
CourseName_3-3	プクプクがとぶ 海の上
CourseName_3-4	とげとげウニラのいわば
CourseName_3-5	タツノンがすむ かいていどうくつ
CourseName_3-GHOST	テレサがひそむ ちんぼつせん
CourseName_3-TOWER1	きけん！ トゲこんぼうのとりで
CourseName_3-CASTLE	ラリーの トーピードがせまる水の城
CourseName_SECRET-SECRET3	空にのびる きょだいマメの木
CourseName_4-1	夜空に光る ほしリフト
CourseName_4-2	ペンタローがいっぱいのユキの地
CourseName_4-3	パンパンはじけるイガクリボーの雪原
CourseName_4-4	てんびんリフトで 雪山のぼり
CourseName_4-5	ツララずらずらのどうくつ
CourseName_4-GHOST	ゆれる オバケやしき
CourseName_4-TOWER1	雨アラレ ツララだらけのとりで
CourseName_4-CASTLE	ウェンディの たちはだかるドッスンの城
CourseName_SECRET-SECRET4	セイドンのいる みずうみ
CourseName_5-1	きょだいのジャングル
CourseName_5-2	ドクドクぬまのクルクル丸太ばし
CourseName_5-3	イバラムシのすむ森
CourseName_5-4	絵の中のオバケぬま
CourseName_5-5	しんかいにねむる いせき
CourseName_5-6	どくぬまにうかぶ シーソー丸太
CourseName_5-7	ジャンプ ハナチャンのせなか
CourseName_5-GHOST	出口はどこ 暗やみやしき
CourseName_5-TOWER1	大きなスネークブロックのとりで
CourseName_5-CASTLE	イギーの ようがんおしよせる城
CourseName_SECRET-SECRET5	せまりくるパタメットのたいぐん
CourseName_5-AIRSHIP	大ほういっぱい きょだいせんかん
CourseName_6-1	ガケの上のチョロボン
